"";"artist";"title";"album";"text";"url";"metadata"
"1";"257ers";"Hoodwatcher Intro";"Scheiss auf rappen";"[Skit: Jewlz da Hoodwatcher]
Hier ist Jewlz
Der Hoodwatcher
Ey, wat is' mit dir
Na ihr Fickers
Jetzt ist hier RambaZamba du Flachköpper
Boha Junge jetzt sach doch mal wat mit dir is'
Hee - AKK!
So jetzt hier erstmal alles kaputt ficken
(Hehehehe)
Komm, jetzt mal ganz ehrlich, wat is' mit dir
(He-he)
Bangerrang, 257ers
Ehrlich mal ohne Scheiss, ich frag mich wat mir dir is', alta
Scheiss auf RappenBangerrang, 257 ist der BossJoorayniss, Hell jiiiiieeaaaaahhhh, Bleibende Schäden, altaKeiner hat gesagt, dass es leicht wird, Wo is Al, altaEy Jau, Tripplemix, Hoodwatcher Shit, Pottsound, Mikroleada's Lifestyle Shit, altaBeatboxin Shit, Slax Shit, Whem Im Ridin' Shit, When Im Ridin' mit alles, alles Shit, altaGeh mit Bibbi und Tina, What a love, altaWas du laberst, Technoscheisse, AKK!Farmer, hier dingens weißt du hier, Farmer du BauerTrack 3 oder 8 oder 12, ich weiß es nichtMir Banane und so, Was?Zwischen Himmel und Hölle
Jaja, Jewlz da Hoodwatcher ist schon unterwegs alta
Hier mit 257ers so weißte
So Boss ja Boss
Alles klar hör mal hier die Kacke da
Komm hör, hör
Du sollst hören hab ich gesagt
Bastard, ok";"https://genius.com/257ers-hoodwatcher-intro-lyrics";"Released April 24, 2008
Featuring

    
      Favorite, Jason, Jewlz da Hoodwatcher & 1 more
Writers

    
      257ers, Favorite, Jason & 5 more"
"2";"257ers";"257 ist der Boss";"Scheiss auf rappen";"[Intro: ?]
Ja, da ist er wieder
Schneewittchen und die 257 Zwerge
Aka, wieder der selbe Haufen

[Hook: ?]
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss

[Part 1: Shneezin]
Ich bin Highficker, was wenn
Step ans Mic und mach peinliche Faxen
Eigentlich krass, denn ich meide die Spasten
Die seit dem ich 13 bin, Eicheln anfassen
Ich leb' in Unfug und Pöbel
Brauch kein Grund um dich zu verprügeln
Denn ich bin verrückt, wie beim Umzug Möbel
Ich hab' Bock rum zu vögeln
Hab' Bock deiner Sis in den Mund
Oder dein Hund zu vögeln (ehh, was!?)
Der Pimmel unnahbar groß
Die Stimme die wunderbar flowed
Ich bringe dir Hunderte um Kids die kommen und dich holen
Kommen wie befohlen und dich ordentlich versohlen
Und dann weißt du warum wir der Boss sind wenn die Ohren glühen wie Kohlen
Warum bin ich so, warum bin ich dope
Warum bin ich Shneezin und warum seid ihr so hohl
Warum bin ich so, warum bin ich dope
Und warum seid ihr so hohl

[Hook: ?]
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss

[Part 2: Mike]
Gott hat mich erschaffen
Weil er dachte das es dope wär
Doch jetzt will er mich wieder loswerden
Plädiert dabei auf Notwehr
Und wer, soll bei der Scheiße noch helfen
Ich sag nur eines, meiner
Ich makiert noch weiter den Helden
Und ihr seid scheiße in Stellen
Denn sowas gibt's selten
Seit 15 Jahren ohne Job
Seit 10 davon am Zelten
Und du Spinner lässt lieber das rappen
Bin immernoch einer der Besten
Und du nur Goldmedaliengewinner bei Paralympischen Actions
Und ich ficke mich dumm und dämlich lange
Lass mir 'nen bunten Penis blasen
Chille dann in der Villa-Kunterbunt mit diesem Rhesusaffen
Bin ganz schön bekloppt
(Mehr merkt als Shot)
Lieb mein Leben eigentlich schon so aber am meisten besoffen
Ich geb nen Toast in die Runde aber 'n Fuck auf die anderen
Bin ein Idiotischer Junge, was schon die Lehrer erkannt haben
Also sitz ich jetzt im Studio am Bierchen exen
Und vertreibe mir meine Zeit weiter mit Tiersexhäftchen

[Hook: ?]
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss

[Part 3: Keule]
Ich hab 'nen Zacken in der Krone und bastel den Blunt
Keule, AKK, der hat nicht alle Tassen im Schank
Der Nigga Don Besoffski
Trinkt nicht viel auch wenn's nicht oft ist
Und ich bin der Schwager von Uschi
Aka the godfather of Mutti
Mach auf Rider mit nem Fahrrad von Puki
Und war leider zu verballert für 'nen Jahr an der Uni
Ich will keine Scheine und Pops wie am Fließband
Ich hab nur Scheisse im Kopf wie ein Peacejunk
Und wir sind alles, aber nicht wie ihr
Mit der Glatze sieht Shneezin aus wie Britney Spears
Fickt Producer euch, brauch keine Beats, Langen
Unsere big band ist Jense mit der Triangel
Ey wenn ihr wollt können wir Freunde sein
Aber vorher macht euch nützlich, keult mir einen

[Hook: ?]
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss

[Part 4: Slax]
{polnisch}
Cześć wamNo i Slax znów powróciłNo i każdy wie, że on ci mame życie skróciłRzucił sobie Tabletke za setkeNo i spóźnił do swojej dziwki, sie kłóciłKto ma rację, kto ma pracePowiedz mi kto sie znajdzie zakopany w paczceTy jebana suka będziesz tylko jedynaA ja będe pedofilem, no i zgwałce twojego synaJesteś pocięta, znaleziona w pojemnikachKażdy wie że nagle byłaś u Sebastiana OlejnikaTak jak u rzeźnika, zgwałcona i pociętaWysłana w paczce do matki, więc ona też pamiętaJa sobie skręcam, skręta za skrętaJaram sobie i nad kobietami sie znęcamNagle mordować, ja myślę że to bez sensuTakże biorę Kobiete i bije jak Bud Spencer

[Hook: ?]
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss

[Outro: ?]
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss

Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss
Vier fünf zwei fünf sieben
Zwei fünf sieben ist der Boss";"https://genius.com/257ers-257-ist-der-boss-lyrics";"Released April 24, 2008
Featuring

    
      Favorite, Jason, Jewlz da Hoodwatcher & 1 more
Writers

    
      257ers, Favorite, Jason & 5 more"
"3";"257ers";"Joorayniss (Uranus Shit)";"Scheiss auf rappen";"[Intro]
Yeah - Jiiiiihhiiii
Rapunzel one (Bambambababam)
Wieder back

[Part 1: Shneezin]
Jap, da bin ich bin ich wieder back
Und dann bin ich wieder weg
Weil ich doch kein bock hab'
Ich sag noch ein Vodka und ich scheiss auf Rappen
Ich bin meist auf Crack und leid' an Kreislaufschwäche
Bin dumm und brauch sogar zum checken ein Laufzettel
Ich bin mies im Arsch und schau tief ins Gras
Weil ich wieder keine Patte hab für Speed und Graaas
Daaas bin ich
Ich bin es, bleibs, jedem anderen wärs peinlich
Ich bin eigentlich ganz normal
Und deine Braut kriegt ne Cumshot-Bemalung
Ich bin anders wie Punker, anders wie Allah
Anna die meint sie wär anders bewandert
Doch ich bin echt noch cool als hätt ich Eisen gefressen
Ich bin weit aus besser als die meisten Rapper also...

[Hook 3x]
Show me, your anus
Come closer
Your anus
Come closer
Your anus
Come closer

Show me, your anus";"https://genius.com/257ers-joorayniss-uranus-shit-lyrics";"Released April 24, 2008
Featuring

    
      Favorite, Jason, Jewlz da Hoodwatcher & 1 more
Writers

    
      257ers, Favorite, Jason & 5 more"
"4";"257ers";"Hell jiiiiieeaaaaahhhh";"Scheiss auf rappen";"[Intro]
Yüa 257
Rumpelstilzchen one

[Part 1: Keule]
Ich bin sternhagelvoll und hab meinen Namen vergessen
Ich bin gut drauf, ich hab Bock 'nen Klaren zu exen
Ich will einfach ficken, Keule Don Besoffski
Die Alte liegt schon vor mir, doch ich treff das Loch nicht
Kopffick (yeah), ey Nutte bitte helf mir schnell
Ich find den Eingang nicht, aber kein Wunder bei dem Pelz
Ich trink den Underberg und pell mir ein
Die Tunten da wollen Helden sein, komm runter man
Du hast in deiner Unterhose Rally-Stripes
Gib den Ballantines, zieh dir die Bälle rein
Ich pack die Keule aus und drück der Nutte meinen Prengel rein
Ich hab 3 Meter Durchmesser, 3 Fuß
Sie hat zwar nicht ihre Tage, aber liegt in ihrem Blut
Sorry Nutte, doch ich fick die Scheisse
Nenn mich Keule oder nenn mich Dick Don Diamond
Wenn ich komm (yeah), Schreit deine Mami ""Alarm""
Denn sie ist feucht, als würd sie grad' im Regen Cabrio fahren (ah)

[Hook 2x]
Hell jiiiiieeaaaaahhhh
Keule, Shneezin, Mike Shit
Alle drei besoffen auf der Suche nach 'nem Freifick
Lass uns rein Bitch
Und sei froh, dass wir dich nehmen
Eigentlich ist uns das peinlich

[Part 2: Mike]
Wir strugglen voll besoffen durch die Stadt
Haben den Puff langsam satt
Machen auf Bloods und ein bisschen auf Crips
Weil Keule der Trottel hat nur 'nen blaues Stirnband mit
Und wir sind grauenhaft gefickt
Weil wir den Korn nicht mischen
Und schreien die Leute um und sagen:
""Das ist 'ne Horny Mission!""
Denn wir wollen genau das tun was schon Josef mit Maria machte
Kaviar Bukkake Party und angekackt da liegen lassen
Wir würden gerne miese Sachen mit Frauen und unserem Penis machen
Wie Deep-throat, von hinten wegklatschen, versehentlich paar Stiefsöhne machen
Aber dann nach der Session chillig Peace-Köpfe paffen
Wir haben Klasse, ich meine die 8te geschafft
Leider danach nur verkackt, weil da irgendetwas zwischen kam
Ne Hook, 'nen dickes Pack und unsere Ambition zum Größenwahn

[Hook 2x]
Hell jiiiiieeaaaaahhhh
Keule, Shneezin, Mike Shit
Alle drei besoffen auf der Suche nach nen Freifick
Lass uns rein Bitch
Und sei froh, dass wir dich nehmen
Eigentlich ist uns das peinlich

[Part 3: Shneezin]
Ey mein Discovery Channel ist Comedy Central
""Alter is was Dawg?"". Ich hab' Bugs Bunny gesampelt
Und mach paar bucks mit money und bring paar Bunnys zum dancen
Ich bin Drunken as Hell, Drunken as Hell
Ich hab 'ne halbe Pulle leer und noch 'ne Ganze bestellt
Komm gib die Flasche, ich will pausenlos reiern
Frauen begeiern, Eimer saufen und feiern
Nach Hause, kochen und schlafen
Aufstehen, rausgehen, Sixer kaufen, ausleeren, noch nen Sixer ausleeren
Chilln und erst ma nen Horn aufbocken
Und dann Korn und Vodsen saufen, Porno glotzen (ahh - schwul)
Boah bin ich besoffen ich geh los und mach die Bars klar
Glas gemastert geb ich Gas und trink noch faster
Bin am Arsch wie nen Aftereimer, reinern wegen Tequila, Bitch
Ich reier immer wieder und hab' Durst wie ein Penner
Ja man erster Hennessey, trink du nur dein Champanger
Ich trink Paderborner Pennerbier

[Hook 2x]
Hell jiiiiieeaaaaahhhh
Keule, Shneezin, Mike Shit
Alle drei besoffen auf der Suche nach nen Freifick
Lass uns rein Bitch
Und sei froh, dass wir dich nehmen
Eigentlich ist uns das peinlich";"https://genius.com/257ers-hell-jiiiiieeaaaaahhhh-lyrics";"Released April 24, 2008
Featuring

    
      Favorite, Jason, Jewlz da Hoodwatcher & 1 more
Writers

    
      257ers, Favorite, Jason & 5 more"
"5";"257ers";"Rothirschwurst Skit";"Scheiss auf rappen";"[Frau Juhl]
Oh, und jetzt geben sie mir bitte noch zwei Rothirschwürste
Also die sind ganz fantastisch
Sagen sie mal, was ist denn das Geheimnis dahinter, wenn ich fragen darf?

[Metzgermeister Holger]
Hehe, das ist eine lange Geschichte, Frau Juhl
Würste haben mich immer fasziniert, wissen sie?
Man könnte schon fast sagen, dass es sogar etwas mythologisches hat
Ein Tier zu töten, und anschließend steckt man das Fleisch höhnisch in dessen eigenen Darm
Können sie sich vielleicht etwas erniedrigenderes vorstellen, als in den eigenen Arsch gestopft zu werden?

[Frau Juhl]
Nein.. das kann ich nicht

[Metzgermeister Holger]
Aber das ist eine der kleinen Freuden, die wir Menschen in unserem Leben haben";"https://genius.com/257ers-rothirschwurst-skit-lyrics";"Released April 24, 2008
Featuring

    
      Favorite, Jason, Jewlz da Hoodwatcher & 1 more
Writers

    
      257ers, Favorite, Jason & 5 more"
"6";"257ers";"Bleibende Schäden";"Scheiss auf rappen";"[Part 1: Keule]
Ich bin 'n dummer, verpickelter, geistig unterentwickelter
Rapper dessen erste Worte: ""Gib mir den Whisky!"" warn
Ich bin 'n Drogenjunkie und n' Alkoholiker
Und spritz mir dreimal täglich Heroin und Anabolika
Seit ich mit 13 'nen Raubmord in 'ner Bank hatte
Seh' ich die Sonne nicht mehr ohne Maulkorb und 'ner Zwangsjacke
Ich chill' den ganzen Tag in 'nem Raum ohne Fenster
Mit Matratzen ausgekleidet auf Grund meiner launischen Denkart
Ich chill' am Lenkrad und ziel mit Absicht auf Leute
Die Schneeketten plus dein Kopf ergeben, Krasse Geräusche
Ich hab Verwandte enttäuscht, bin der geborene Verlierer
Kuck 24/7 fern und sauf Korn und Tequila
Ich zünd' die Kirche an - während im Gottesdienst Leute sind
Freu mich, steh' davor und schrei 'rum, dass ich der Teufel bin
Ich bin besessen und krank
Trag' in der linken ein Messer und in der rechten mein' Schwanz

[Hook]
Das sind bleibende Schäden, nicht leicht zu beheben
Aufgrund von Medikamenten, Drogen und nur Scheiße im Leben
Bleibende Schäden, nicht leicht zu beheben
Und die Polizei sucht nach deiner Leiche vergebens
Bleibende Schäden, nicht leicht zu beheben
Aufgrund von Medikamenten, Drogen und nur Scheiße im Leben
Bleibende Schäden, nicht leicht zu beheben
Zünd' die Kirche an und du hast mein' Segen!

[Part 2: Keule]
Ich krieg morgens früh um sechs meine erste Dosis Valium
Die Schwester meint, das muss so sein, ich sei ein Kannibale und
Das sei auch der Grund warum sie mich an dieses Bett ketten
Mir sei nicht zu helfen und ich solle keinen Mensch essen
Soll kein Crack rauchen und mir keine Pappen kleben
Bitte sag mir nur noch eins: wo is' dann der Spaß im Leben?
Ich hör' stimmen und ich lebe in der Dunkelheit
Und aufgrund der kranken Texte bin ich ewig ungesignt
Ich bin kaputt und auf 'nem Selbstzerstörungstrip
Und wenn ich mich grad schon zerhack', zerleg' ich dich doch einfach mit
Ich scheiß' auf Gott, auf die Bibel und das Weltvermächtnis
Leider bin ich zu sehr mit dem Glauben an mich slebst beschäftigt
Und Leute fragen mich, warum ich so ne Scheiße laber'
Ich schlaf' jede Nacht in meinem Keller an nem Fleischerhaken
Und ich scheiß wat drauf, wenn ihr meint ich bin ungepflegt
Ich hab HIV, Tripper, Syphilis und Lungenkrebs

[Hook]";"https://genius.com/257ers-bleibende-schaden-lyrics";"Released April 24, 2008
Featuring

    
      Favorite, Jason, Jewlz da Hoodwatcher & 1 more
Writers

    
      257ers, Favorite, Jason & 5 more"
"7";"257ers";"Keiner hat gesagt, dass es leicht wird";"Scheiss auf rappen";"[Intro]
Chüa, ah, 257, yes

[Part 1: Shneezin]
Guck dich an, was ist mit dir passiert?
Dir gehts schlecht und keinen intererssierts
Die Welt kehrt dir den Rücken und sie redet nicht
Und du willst durchblicken im dunklen
Doch dir fehlt die Sicht, weil alles zu vernebelt ist
Das Leben ist ein steiniger Weg
Den du gehen musst, ohne aufzugeben
Das ist leben, das ist redefluss
Das ist im game sein und geben was du geben musst
Nehm was du nehmen musst
Das ist die einsame stille
Der glaube an sich selbst
Und ein eiserner wille
Das sind Worte auf Papier, die mein ganzes life in Sätze fassen
Worte auf Papier, die die vergangenheit vergessen lassen (chüa)
Und keiner hat gesagt, dass es leicht wird
Doch wir opfern unser Leben für den Scheiß hier
Und ich danke meinem Dad und meiner M om das ich bin wer ich bin
I can get what I want!

[Hook]
Heb die Hand und kämpf und geh dein' Weg
Leb' dein Leben, als wärs schon zu spät
Sag es wie du meinst, sag es wie du denkst
Und du wirst schaffen was du dir immer erträumt hast

Heb die Hand und kämpf und geh dein' Weg
Leb' dein Leben als wärs schon zu spät
Blick nach vorn und Faust nach oben und
Lass dich nicht blenden von den tausend Idioten!

[Part 2: Mike]
Ganz egal wie du dich fühlst, mach das beste aus deinem Leben
Nicht bei Rückschlägen zurücktreten und alles dafür geben
Lass das Reden, da so'n Gerede nichts bringt
Du musst jetzt Taten sprechen lassen
Die losen Worte brauchen Sinn und du spinnst
Wenn du jetzt sagst, dass du am Ziel bist
Schonwieder nur Gerede, denn du weißt nichtmal wo das Ziel ist
Es kann dir niemand offenbaren bei den Fragen die dich plagen
Hast du selber nur die Antwort und all' die anderen nichts zu sagen
Man sei stark, denn Selbstvertrauen ist alles
Und Problem ist gut zu lösen wenn du die Sorgen einfach fallen lässt
Mach weiter wie gehabt
Bleib' straight auf deinem Pfad
Alle Wege führen nach Rom, aber was willst du denn da?
Es geht um dein Leben, deine Träume auf deinem Weg
(Ganz egal) Wohin die Reise auch geht
Es ist deine Entscheidung, hier zählt nur deine eigene Meinung
Ob nun Stop von A nach B oder nur strugglen ohne Peilung

[Hook]
Heb die Hand und kämpf und geh dein' Weg
Leb' dein Leben, als wärs schon zu spät
Sag es wie du meinst, sag es wie du denkst
Und du wirst schaffen was du dir immer erträumt hast

Heb die Hand und kämpf und geh dein' Weg
Leb' dein Leben als wärs schon zu spät
Blick nach vorn und Faust nach oben und
Lass dich nicht blenden von den tausend Idioten!

[Part 3: Keule]
Ich könnt' jetzt sagen wie lass den Kopf nicht hängen
Steh wieder auf
Oder irgendwas wie heb' deine Faust
Sowas ähnliches wie leb deinen Traum
Geb dir ein Ruck aber geb es nicht auf
Geh deinen Weg, auch wenn er weit ist
Niemand hat behauptet das es leicht ist
Keiner hat gesagt es geht schnell
Ich könnt' sowas sagen wie sei einfach du selbst
Oder sowas wie das leben ist hart
Und wenn du nicht hart im nehmen bist im leben versagst
Oder leb in den Tag, streb nach fame und geb Gas
Denn im Leben ist nach mehr als leeren Reden gefragt
Aber ich sag dir mach was du denkst
Tu' was du für richtig hälst, lass dich nicht drängen
Nur wenn dus willst wird es so wie es sein soll
Nur wenn dus willst bleibt der scheiß wie er ist!

[Hook 2x]
Heb die Hand und kämpf und geh dein' Weg
Leb' dein Leben, als wärs schon zu spät
Sag es wie du meinst, sag es wie du denkst
Und du wirst schaffen was du dir immer erträumt hast

Heb die Hand und kämpf und geh dein' Weg
Leb' dein Leben als wärs schon zu spät
Blick nach vorn und Faust nach oben und
Lass dich nicht blenden von den tausend Idioten!";"https://genius.com/257ers-keiner-hat-gesagt-dass-es-leicht-wird-lyrics";"Released April 24, 2008
Featuring

    
      Favorite, Jason, Jewlz da Hoodwatcher & 1 more
Writers

    
      257ers, Favorite, Jason & 5 more"
"8";"257ers";"Feuchte Eier";"Scheiss auf rappen";"[Intro]
Ah - Yeah - 257ers
Wir haben ein Recht auf feuchte Eier

[Part 1: Keule]
Okay denn guck mal bitte mal hier, guck, guck
Ey ich gebe dir Peitschenschläge
Komm mir nicht mit du hast Stil
Boha, ich hab ne Eisensäge
Bleiben Schäden, kein Problem in dich rein zu treten, Schädeltrauma (yeah)
Ey ich mach dir Beine wie Prothesenbauer
Warte bitte ich heavy Regenschauer
Komm mir mal bitte nicht mit Russenmafia
Machma keine Muckenlaster
Doch du bist 'nen Suppenkasper
Du stinkst nach rotem Wasser
Du kannst mir einen schrubben, Bastard
Guck doch mal bitte, du, du passt perfekt ins Schwuchtelraster

[Part 2: Shneezin]
Ich gebe dir Miese, dat ist so als wenn du in Scherben fällst
Ich gebe dir Hiebe und du Missgeburt gibst Fersengeld
Sag wer hat dich herbestellt, du Vorzeigeclown
Alta ey, ich drop ne Line und bin der Gott bei den Frauen
257 ist der Boss und du gehst Bordsteine kaufen
Ey du wirst von vornherein ohrgefeigt, kriegst Borderline
Und siehst dann wie 'ne Moorleiche aus
Ey ich borg mir deine Frau und zwar so lange bis mein Pillemann wie Schornsteine raucht

[Hook 2x]
Ey wir schlagen dein Ass (dein Ass, dein Ass)
Und deine Freunde feiern
Und wir haben das Recht
Auf feuchte Eier

[Part 3: Teenytus]
[?]
Zeig mir einen der so ist wie ich
Teenytus das Übertalent
Du peinlicher Gaus bist neidisch
Und der eigentlich gar nicht wie deutsche
Du bist nichts wie Leute die wären der Boss
Wären der Boss im Zimmer sitzt hat er kein Bock auf dich
Weil du [?] bist
Und es ist nicht cool, nein
Solltest dann etwa cool sein
Hör mal wer da hämmert an der Tür
Ist es jetzt Zeit für Tool Time Rap
[?]
Ich hab die Faxen dicke
Teenytus der Raposoph
Dogg, du riechst nach Katzenpisse
Und du merkst, dass es so langsam um dein Arsch geht
SHN, Teenytus, Keule und mein Nigga Starfaze

[Hook 2x]
Ey wir schlagen dein S (dein S, dein S)
Und deine Freunde feiern
Und wir haben das Recht
Auf feuchte Eier

[Part 4: Starfaze]
Alle Frauen sind Schweine, ich bin unter aller Sau
Dass heißt wenn ich pissen gehe, hängt eine Nutte an meinem Schlauch
Sie guckt dann einmal auf diesen Schwanz, wie groß er wird
Und ich geh all-in, wie riskante Pokerspieler
Star zu dem fucking faze
Macht dem Namen alle Ehre
Genau wie dein Vater namens Esel
Apropos, deine Perle darf den Zoo nicht besuchen
Wieso? Weil die Leute vorm Zoo sie schon suchen
Du sagst dein Schwanz ist so groß wie ne Stute
Wichsen geht nicht ohne mikroskopischer Lupe
Das ist Flow ohne Skrupel
Du Sohn einer Hure, die ihr Koks bei dem Bruder von dem Bruder einer Hure besorgt
So, ich weiß auch wie man Huren besorgt
Weil ich weiß wie man es Huren besorgt
Gib dieser Hure ein Wort, dass du im Endeffekt sowieso nicht hälst
Am besten nie etwas halten wie von Tokio Hotel

[Hook 2x]
Ey wir schlagen dein S (dein S, dein S)
Und deine Freunde feiern
Und wir haben das Recht
Auf feuchte Eier

[do not speak turkish]";"https://genius.com/257ers-feuchte-eier-lyrics";"Released April 24, 2008
Featuring

    
      Favorite, Jason, Jewlz da Hoodwatcher & 1 more
Writers

    
      257ers, Favorite, Jason & 5 more"
"9";"257ers";"Wo is Al Skit";"Scheiss auf rappen";"[Keule]
Ey Shneezin
[Shneezin]
Heh?
[Keule]
Wo ist Al?
[Shneezin]
Al? - Al is' im Wunderland";"https://genius.com/257ers-wo-is-al-skit-lyrics";"Released April 24, 2008
Featuring

    
      Favorite, Jason, Jewlz da Hoodwatcher & 1 more
Writers

    
      257ers, Favorite, Jason & 5 more"
"10";"257ers";"Ey Jau!";"Scheiss auf rappen";"[Intro]
Das is' Shneezin 257
Aka Alice im Wunderland One
Mit diesem Keule und Mikroleadaz

[Part 1: Shneezin]
Ey ich geh' mit starkem Alkohol in 'ner Tragetasche holen
Fick deine Bitch auf Crack und sie wird feucht wie Badelatschensolen
Du hast grademal ne Hakennase
Bro du kriegst grade ahnungslos vor die Hakennase
Und dann ist sie broke
Ich bin dope wie 'ne Wagenladung Cokeladung smoke (I smoke)
Und mach nicht die Welle du Lappen es auf der Stelle zu lassen
Wär heller oder ich bring Trommelfälle wie Bälle zum platzen
Wie bellende Katzen ist der Flow nicht normal
Man ich flow nicht normal hab für die Show nicht bezahlt
Und du Clown, gib auf man
Ich nehm den Lauf und hau' dir die Faust in Maul
Und du bounct vor die Hauswand
Du wirst geklatscht wie Applaus ich bin drauf
Und lach dich aus wie ne fette Frau die bauchtanzt
(Hahaha) Ach wieder diese scheiße
Ich meditiere wenn ich schreibe und das Weed in meiner Pfeife
Ist der Enigma für die Reime wie Barkeeper in der Kneipe
Yo ich bin wie Gitarren ich hab G's auf meiner Seite

[Hook 2x]
Ey Jau!
Ach Scheiss auf Rappen du Lappen
Ich rap nur weil dat irgend so 'ne Alte geil fand
Ey Jau!
Scheiss auf Rappen im ernst
Ich rap nur, weil ich keine Arbeit und zu viel Zeit hab

[Bridge]
Ja komm Langen, wat is', ja mach auch fertig wenn du so viel Zeit hast

[Part 2: Keule]
Ey du kommst ins Staunen wenn ich sagIch zeig dir wo der Hammer hängt, wie Baumarktpersonal
Fick dein Powerrangerclan
Ich hab dich tausendmal gewarnt
Ey du bist 'ne halbe Sache wie ein Ohr von Nicki Lauda, man ich sah
Noch nicht einmal ne Gage
Ich bin eigentlich nur aus Zufall in die Cypher geraten
Und will die Leistung vermarkten
Lies in der Zeitung mein' Namen
Ihr könnt ruhig weiter verarmen
Keule macht es wie ein Hund, Dog ich scheiss auf die Straßen
Und ich bin übertalentiert
Im Rüben deformieren
Und Typen demolieren
Ey du hyperventilierst
Wenn ich mit den Überresten deiner Brüder meinem Kühlergrill verzier
Und ihr könnt mir den Puller lutschen
Wir sind 257, ihr seid 0815 (shit)
Und ihr habt mich entäuscht mir euren Moves
Deine Eltern sind zwei Männer, deutscher Rap ist schwul

[Hook 2x]
Ey Jau!
Ach Scheiss auf Rappen du Lappen
Ich rap nur weil dat irgend so 'ne Alte geil fand
Ey Jau!
Scheiss auf Rappen im ernst
Ich rap nur, weil ich keine Arbeit und zu viel Zeit hab

[Part 3: Mike]
Ich bin ein gut gesylter Gammler
Mit dem Drang zum übertreiben
Identitätsverlust ist alles
Ich weiß nicht mal wie ich heiß
Aber bin pimp
Und werde bald Rapstar du Hurensohn
Die sechs Schnallen die du hattest
Warn am Klettverschlussturnschuh
Wenn ich rap
Dann bin ich bin oft blauer als 'n Weihnachtskarpfen
Fick mit 257 und du brauchst haufenweise Einsatzwagen
Dann gibt es auch kein Ausweg mehr
Wie ein Stau in 'ner Einbahnstraße
Ihr seid nicht den Haufen wert, den ich raushau
Wenn ich ein Lauf habe
Dein Style erinnert mich krass an 'ne Schreibblockade
Du passt dich jedem an
Dann zieh bitte weiter, scheiß Normade
Vorne an der LadenkasseShneezin mit seiner Tragetasche
Und ich komme endlich wiederAuf das Level das ich Tage hatte, klare Sache
Du wirst geballert bis der Arzt kommt
Ich scheiß auf dieses Battle
Und will endlich wieder klar kommen

[Hook 2x]
Ey Jau!
Ach Scheiss auf Rappen du Lappen
Ich rap nur weil dat irgend so 'ne Alte geil fand
Ey Jau!
Scheiss auf Rappen im ernst
Ich rap nur, weil ich keine Arbeit und zu viel Zeit hab";"https://genius.com/257ers-ey-jau-lyrics";"Released April 24, 2008
Featuring

    
      Favorite, Jason, Jewlz da Hoodwatcher & 1 more
Writers

    
      257ers, Favorite, Jason & 5 more"
