"";"artist";"title";"album";"text";"url";"metadata"
"1";"AnnenMayKantereit";"Oft gefragt";"Alles nix konkretes";"[Songtext zu „Oft gefragt“]

[Strophe 1]
Du hast mich angezogen, ausgezogen, großgezogenUnd wir sind umgezogen, ich hab' dich angelogen
Ich nehme keine Drogen, und in der Schule war ich auch
Du hast dich oft gefragt, was mich zerreißtIch wollte nicht, dass du es weißt
Du warst allein zuhaus, hast mich vermisstUnd dich gefragt, was du noch für mich bistUnd dich gefragt, was du noch für mich bist

[Refrain]
Zuhause bist immer nur duZuhause bist immer nur du

[Strophe 2]
Du hast mich abgeholt und hingebrachtBist mitten in der Nacht wegen mir aufgewachtIch hab' in letzter Zeit so oft daran gedacht
Wir war'n in Prag, Paris und Wien, in der Bretagne und BerlinAber nicht in Kopenhagen
Du hast dich oft gefragt, was mich zerreißtUnd ich hab' aufgehört, mich das zu fragen
Du warst allein zuhaus, hast mich vermisstUnd dich gefragt, was du noch für mich bistUnd dich gefragt, was du noch für mich bist

[Refrain]
Zuhause bist immer nur duZuhause bist immer nur du

[Outro]
Ich hab' keine Heimat, ich hab' nur dichDu bist Zuhause für immer und michDu bist Zuhause für immer und michDu bist Zuhause für immer und michDu bist Zuhause für immer und michDu bist Zuhause für immer und michDu bist Zuhause für immer und michHab' keine Heimat, ich hab' nur dichDu bist zu Hause für immer und mich";"https://genius.com/Annenmaykantereit-oft-gefragt-lyrics";"Released March 18, 2016
Copyright ©

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Phonographic Copyright ℗

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Photography

    
      Martin Lamberty
Design

    
      Marcin Krawczyk, Daniel Ludwig & Martin Lamberty
Producers

    
      Moses Schneider & Tim Tautorat
Writers

    
      Christopher Annen, Henning May, Malte Huck & 2 more
Assistant Mixing Engineer

    
      Aleksandr Sitnikov
Bass

    
      Malte Huck
Composer

    
      Christopher Annen, Henning May, Malte Huck & 2 more"
"2";"AnnenMayKantereit";"Pocahontas";"Alles nix konkretes";"[Songtext zu „Pocahontas“]

[Strophe 1]
An der Haltestelle stehenUnd es tut weh dich schon wieder so wiederzusehenUnd es tut weh, dass wir gleich wieder gehen
Und es tut weh, dass man sich nur sieht
Weil bei mir so viel Zeug von dir rumliegtDas ich nicht mehr ertrage
Ich halt' dich nicht festUnd lass' dich nicht los
Du gibst mir den RestDie Tasche ist groß

[Refrain 1]
Es tut mir leid,Pocahontas
Ich hoffe, du weißt das
Es tut mir leid, Pocahontas
Ich hoffe, du weißt das

[Strophe 2]
Und eigentlich sind wir viel zu lang' zusammen
Um jetzt damit aufzuhörenAber das ist 'n verdammt beschissener Grund
Und mir ist nicht egalWie gut du mich kennstUnd mir ist nicht egalWie du mich nennstUnd mir ist nicht egalWo du grade pennst

[Refrain 2]
Es tut mir leid, Pocahontas
Ich hoffe, du weißt das
Es tut mir leid, Pocahontas
Ich hoffe, du weißt das
Tut mir so leid, Pocahontas
Pocahontas
Pocahontas
Pocahontas
Es tut mir leid, Pocahontas
Ich hoffe, du weißt das
Es tut mir leid, Pocahontas
Du weißt das

[Outro]
Ich halt' dich nicht festUnd lass' dich nicht losIch halt' dich nicht fest";"https://genius.com/Annenmaykantereit-pocahontas-lyrics";"Released March 18, 2016
Copyright ©

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Phonographic Copyright ℗

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Photography

    
      Martin Lamberty
Design

    
      Marcin Krawczyk, Daniel Ludwig & Martin Lamberty
Producers

    
      Moses Schneider & Tim Tautorat
Writers

    
      Christopher Annen, Henning May, Malte Huck & 2 more
Assistant Mixing Engineer

    
      Aleksandr Sitnikov
Bass

    
      Malte Huck
Composer

    
      Christopher Annen, Henning May, Malte Huck & 2 more"
"3";"AnnenMayKantereit";"Es geht mir gut";"Alles nix konkretes";"[Songtext zu „Es geht mir gut“]

[Strophe 1]
Du hörst dir tausend Geschichten an
Was ich alles machen werde, wie und wo und wann
Und dieses und jenes
Aberalles nix Konkretes

[Strophe 2]
Ich stell' mich selber dar, als ob nichts war
Und ich sag': „Über gestern sprechen wir morgen, mach' dir keine Sorgen“
Denn du machst dir unnötig Sorgen

[Refrain]
Es geht mir gutEs geht mir eigentlich immer gutEs geht mir gutEs geht mir gutEs geht mir eigentlich immer gutEs geht mir gut

[Strophe 3]
Und dann stehst du wieder vor meiner TürUnd fragst mich: „Wie geht es dir?“Und dann sag' ich dir, was du hören willstUnd dann bist du wieder still

[Strophe 4]
„Ach weißt du, muss, muss, bei dir? Und sonst so? Was geht heute Abend?“„Ach weißt du, muss, muss, bei dir? Und sonst so? Was geht heute Abend?“
Immer die gleichen Fragen

[Refrain]
Es geht mir gut
Es geht mir eigentlich immer gut
Es geht mir gut
Es geht mir gut
Es geht mir eigentlich immer gut
Es geht mir gut
Denn

[Bridge]
Und wie geht's dir denn so?
Und das hätt' ich an deiner Stelle auch gesagt

[Refrain]
Es geht mir gut
Es geht mir eigentlich immer gut
Es geht mir gut
Es geht mir gut
Es geht mir eigentlich immer gut
Es geht mir gut

[Outro]
Frag' doch nicht so blöd!";"https://genius.com/Annenmaykantereit-es-geht-mir-gut-lyrics";"Released March 18, 2016
Copyright ©

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Phonographic Copyright ℗

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Photography

    
      Martin Lamberty
Design

    
      Marcin Krawczyk, Daniel Ludwig & Martin Lamberty
Producers

    
      Moses Schneider & Tim Tautorat
Writers

    
      Christopher Annen, Henning May, Malte Huck & 2 more
Assistant Mixing Engineer

    
      Aleksandr Sitnikov
Bass

    
      Malte Huck
Composer

    
      Christopher Annen, Henning May, Malte Huck & 2 more"
"4";"AnnenMayKantereit";"3. Stock";"Alles nix konkretes";"[Songtext zu „3. Stock“]

[Strophe 1]
Immer wieder schön dich wiederzuseh'nWird immer schlimmer, wenn du gehst
Am Bahnhof stehst um den Zug zu nehmen
Sich lang' nicht wiederseh'n
Wird schon irgendwie gehen
Macht manchmal traurig

[Refrain]
Ich würd' gern mit dir in 'ner Altbauwohnung wohn'nZwei Zimmer, Küche, Bad und 'n kleiner Balkon
Ich würd' gern mit dir in 'ner Altbauwohnung wohn'n
Mit 'nem kleinen Balkon

[Strophe 2]
Immer wieder warten in leisen TelefonatenWorauf genau weiß ich nicht, vielleicht auf dein Gesicht
Erzähl mir von dir, um mich abzulenkenWenn das traurige Gedanken denken beginnt
Beide blind, jeder auf seine Weise SchisserVertrauen ist gut, Kontrolle für Besserwisser

[Refrain]
Ich würd' gern mit dir in 'ner Altbauwohnung wohn'n
Zwei Zimmer, Küche, Bad und 'n kleiner Balkon
Ich würd' gern mit dir in 'ner Altbauwohnung wohn'n
Mit 'nem kleinen Balkon

[Bridge]
Unsre Telefonate haben kein Ende, aus und gutGab es nie legst du als Erste aufIn meinem Hochbett liegt ein Bild von dir
Unsre Telefonate haben kein Ende, aus und gut
Gab es nie legst du als Erste auf
In meinem Hochbett liegt ein Bild von dir

[Outro]
Ich würd' gern mit dir in 'ner Altbauwohnung wohn'n
Zwei Zimmer, Küche, Bad und 'n kleiner Balkon
Ich würd' gern mit dir in 'ner Altbauwohnung wohn'n
Ich würde auch manchmal morgens Brötchen hol'n";"https://genius.com/Annenmaykantereit-3-stock-lyrics";"Released March 18, 2016
Copyright ©

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Phonographic Copyright ℗

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Photography

    
      Martin Lamberty
Design

    
      Marcin Krawczyk, Daniel Ludwig & Martin Lamberty
Producers

    
      Moses Schneider & Tim Tautorat
Writers

    
      Christopher Annen, Henning May, Malte Huck & 2 more
Assistant Mixing Engineer

    
      Aleksandr Sitnikov
Bass

    
      Malte Huck
Composer

    
      Christopher Annen, Henning May, Malte Huck & 2 more"
"5";"AnnenMayKantereit";"Wohin du gehst";"Alles nix konkretes";"[Songtext zu „Wohin du gehst“]

[Strophe 1]
Wohin du gehst, sagst du nicht mehr
Wenn wir uns sehen fällt mir das Fragen schwer
Du hast jetzt neue Leute, die dich besser kennen
Und nach'm Feiern bei dir pennen

[Strophe 2]
Du hast jetzt neue Leute, die dich besser kennen
Und nach'm Feiern bei dir pennen
Du kennst mich nur noch, wie ich früher war
Rote Augen, langes Haar

[Pre-Refrain]
Wenn wir uns sehen, dann ist das immer nur 'ne StundeUm elf willst du schon geh'n und holst die letzte Runde

[Refrain 1]
Wohin du gehst, sagst du nicht mehr
Wenn wir uns sehen fällt mir das Fragen schwer
Wohin du gehst, sagst du nicht mehr
Mir fällt das Fragen schwer

[Strophe 3]
Ich hab' dir nie verziehen einfach wegzuziehenIch hab' dich noch nicht mal angeschrien
Du kennst mich nur noch, wie ich früher war
Breites Grinsen, langes Haar
Und manchmal sehen wir uns bei Leuten, die wir beide kennen
Aber anstatt wegzurennen, schauen wir uns heimlich an
Weil man sich nicht mehr kennenlernen kann
Weil man sich nicht mehr kennenlernen kann

[Bridge]
Wohin du gehst, sagst du nicht mehr

[Refrain]
Wohin du gehst, sagst du nicht mehr
Wenn wir uns sehen fällt mir das Fragen schwer
Wohin du gehst, sagst du nicht mehr
Mir fällt das Fragen schwer

[Outro]
Wohin ich geh', sag' ich nicht mehrDir fällt bestimmt das Fragen schwer";"https://genius.com/Annenmaykantereit-wohin-du-gehst-lyrics";"Released March 18, 2016
Copyright ©

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Phonographic Copyright ℗

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Photography

    
      Martin Lamberty
Design

    
      Marcin Krawczyk, Daniel Ludwig & Martin Lamberty
Producers

    
      Moses Schneider & Tim Tautorat
Writers

    
      Christopher Annen, Henning May, Malte Huck & 2 more
Assistant Mixing Engineer

    
      Aleksandr Sitnikov
Bass

    
      Malte Huck
Composer

    
      Christopher Annen, Henning May, Malte Huck & 2 more"
"6";"AnnenMayKantereit";"Mir wär’ lieber, du weinst";"Alles nix konkretes";"[Songtext zu „Mir wär' lieber, du weinst“]

[Strophe]
Wir treffen uns seit Tagen nur noch in deinem Bett
Ich vermisse deine Fragen und du bist viel zu nett
Ich bin zu jung und noch nicht alt genug
Und das mit uns tut mir nicht gut
Und ich würd' mich so gern von dir entfernen

[Pre-Refrain 1]
Und ich will nicht mehr wissen, wo du pennstIch will nicht mehr wissen, wie du mich nennst
Ich will nicht mehr wissen, dass du mich so gut kennstIch versteh' doch eh nicht, was du meinst

Und du versprichst mir ein VersprechenNur um mich zu unterbrechen
Und du versprichst mir ein Versprechen
Nur um mich zu unterbrechen

[Refrain 1]
Mir wär' lieber du weinst, mir wär' lieber du weinstMir wär' lieber du weinst, mir wär' lieber du weinstMir wär' lieber du weinst, mir wär' lieber du weinstIch versteh doch eh nicht, was du meinst

[Pre-Refrain 2]
Und ich will wirklich nicht mehr wissen, wo du pennst
Ich will nicht mehr wissen, wie du mich nennst
Ich will nicht mehr wissen, dass du mich so gut kennst
Ich versteh doch eh nicht, was du meinst

Und du versprichst dich beim Versprechen
Nur um mich zu unterbrechen
Und du versprichst dich beim Versprechen
Nur um mich zu unterbrechen

[Refrain 1]
Mir wär' lieber du weinst, mir wär' lieber du weinstMir wär' lieber du weinst, mir wär' lieber du weinstMir wär' lieber du weinst, mir wär' lieber du weinstIch versteh doch eh nicht, was du meinst

[Refrain 2]
Mir wär' lieber du weinst, mir wär' lieber du weinst
Mir wär' lieber du weinst, mir wär' lieber du weinst
Mir wär' lieber du weinst, mir wär' lieber du weinst
Wir dreh'n uns im Kreis";"https://genius.com/Annenmaykantereit-mir-war-lieber-du-weinst-lyrics";"Released March 18, 2016
Copyright ©

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Phonographic Copyright ℗

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Photography

    
      Martin Lamberty
Design

    
      Marcin Krawczyk, Daniel Ludwig & Martin Lamberty
Producers

    
      Moses Schneider & Tim Tautorat
Writers

    
      Christopher Annen, Henning May, Malte Huck & 2 more
Assistant Mixing Engineer

    
      Aleksandr Sitnikov
Bass

    
      Malte Huck
Composer

    
      Christopher Annen, Henning May, Malte Huck & 2 more"
"7";"AnnenMayKantereit";"Bitte bleib";"Alles nix konkretes";"[Songtext zu „Bitte bleib“]

[Strophe 1]
Und du sagst, dass du gehst
Und du sagst, dass du meinst was du sagst, wenn du gehst
Und du sagst, dass du hoffst, dass ich das versteh'
Und du sagst,dass du hoffst, dass du einer meiner Freunde bleibst
Und dass du mir mal schreibst wie's dir geht
Und du sagst, es tut dir fürchterlich leid

[Pre-Refrain]
Und dann sagst du zu mir: „Sag' doch auch mal was“
Und dann denk' ich mir: „Gut, bevor du gehst, sag' ich was“

[Refrain]
Bitte bleib', bitte bleib', bitte bleib', bitte bleib' nicht wie du bist
Bitte bleib', bitte bleib', bitte bleib', bitte bleib' nicht wie du bist
Bitte bleib', bitte bleib', bitte bleib', bitte bleib' nicht wie du bist
Und wunder' dich nicht, wenn alles scheiße ist und du mich vermisst

[Interlude]
Und vielleicht hätte ich das auch nur ganz gern gesagt, aber hab' es nicht

[Strophe 2]
Eigentlich wollt' ich nur sagen: ich hab' dir nicht verzieh'n
Man könnte sozusagen sagen: ich bin krass bedient
Und ich versprech' dir, wenn wir uns das nächste Mal zufällig irgendwo sehenDann wird das richtig peinlich

[Pre-Refrain]
Und überhaupt dieses: „Sag doch auch mal was!“
Ich sag doch dauernd was
Ich kann mich langsam selber nicht mehr hören

[Outro]
Bitte bleib', bitte bleib', bitte bleib', bitte bleib' nicht wie du bist
Bitte bleib', bitte bleib', bitte bleib', bitte bleib' nicht wie du bist
Bitte bleib', bitte bleib', bitte bleib', bitte bleib' nicht wie du bist
Und ruf mich nicht mitten in der Nacht an, wenn alles scheiße ist und du mich vermisst";"https://genius.com/Annenmaykantereit-bitte-bleib-lyrics";"Released March 18, 2016
Copyright ©

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Phonographic Copyright ℗

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Photography

    
      Martin Lamberty
Design

    
      Marcin Krawczyk, Daniel Ludwig & Martin Lamberty
Producers

    
      Moses Schneider & Tim Tautorat
Writers

    
      Christopher Annen, Henning May, Malte Huck & 2 more
Assistant Mixing Engineer

    
      Aleksandr Sitnikov
Bass

    
      Malte Huck
Composer

    
      Christopher Annen, Henning May, Malte Huck & 2 more"
"8";"AnnenMayKantereit";"Neues Zimmer";"Alles nix konkretes";"[Songtext zu „Neues Zimmer“]

[Strophe 1]
In meinem neuen Zimmer stehen noch immer die Kartons, halb ausgepackt und die Wand ist nackt
Und über mir trinken lauter laute Leute Bier bis kurz nach vier und ich bin abgefuckt
Und die Matratze kratzte in der ersten Nacht
Ohne Lattenrost
Ich krieg' noch keine Post
Ummelden ist noch mehr Stress
Gut, dass ich das eh vergess'

[Refrain]
In meinem neuen Zimmer stehen noch immer die Kartons und ich weiß nicht, was ich als erstes machen soll
In meinem neuen Zimmer
In meinem neuen Zimmer
In meinem neuen Zimmer
In meinem neuen Zimmer

[Strophe 2]
Jede Nacht werd' ich wach, weil ich die neuen Geräusche um mich rum nicht richtig kenne
Und wenn ich endlich penne
Ist schon wieder hell am Morgen
Und ich hab' die gleichen Sorgen wie am Tag zuvor
Ich muss tausend Sachen machen
Und ich nehm' mir viel zu viel vor
Ich hab' nur ausgepackt, nicht eingeräumt
Ich hab' im leeren Raum geträumt, wie es wohl aussehen könnte
Und jetzt hilft mir die Glühbirne beim Sachen suchen, weil ich die festen Plätze erst noch finden muss

[Refrain]
In meinem neuen Zimmer stehen noch immer die Kartons und ich weiß nicht, was ich als erstes machen soll
In meinem neuen Zimmer
In meinem neuen Zimmer
In meinem neuen Zimmer
In meinem neuen Zimmer";"https://genius.com/Annenmaykantereit-neues-zimmer-lyrics";"Released March 18, 2016
Copyright ©

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Phonographic Copyright ℗

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Photography

    
      Martin Lamberty
Design

    
      Marcin Krawczyk, Daniel Ludwig & Martin Lamberty
Producers

    
      Moses Schneider & Tim Tautorat
Writers

    
      Christopher Annen, Henning May, Malte Huck & 2 more
Assistant Mixing Engineer

    
      Aleksandr Sitnikov
Bass

    
      Malte Huck
Composer

    
      Christopher Annen, Henning May, Malte Huck & 2 more"
"9";"AnnenMayKantereit";"Barfuß am Klavier";"Alles nix konkretes";"[Songtext zu „Barfuß am Klavier“]

[Refrain]
Und ich sitz' schon wieder
Barfuß am Klavier
Ich träume LiebesliederUnd sing dabei von Dir

[Strophe 1]
Du und ich, wir waren wunderlichNicht für mich, für die, die es störteWenn man uns nachts hörte

Ich hab mit dir gemeinsam einsam rumgesessen und geschwiegen
Ich erinner' mich am besten ans gemeinsam einsam liegen, jeden Morgen
Danach, bei dir, du nackt im Bett und ich barfuß am Klavier

[Refrain]
Und ich sitz' schon wieder
Barfuß am Klavier
Ich träume LiebesliederUnd sing dabei von Dir

[Strophe 2]
Und du und ich, wir war'n mal wirUnd sind jetzt nichtsDu da, ich hierDu wolltest alles wissen und das hat mich vertrieben
Eigentlich dich, du bist nicht länger geblieben bei mir
Also sitz ich, um zu lieben, lieber barfuß am Klavier

[Refrain]
Und ich sitz' schon wieder
Barfuß am Klavier
Ich träume LiebesliederUnd sing dabei von Dir

[Interlude]
Und du und ich, das war zu wenig

[Outro]
Und ich sitz' schon wieder
Barfuß am Klavier
Und träum dabei von dir
Ich träum dabei von dir
Ich träum dabei von dir
Ich träum dabei von dir";"https://genius.com/Annenmaykantereit-barfu-am-klavier-lyrics";"Released March 18, 2016
Copyright ©

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Phonographic Copyright ℗

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Photography

    
      Martin Lamberty
Design

    
      Marcin Krawczyk, Daniel Ludwig & Martin Lamberty
Producers

    
      Moses Schneider & Tim Tautorat
Writers

    
      Christopher Annen, Henning May, Malte Huck & 2 more
Assistant Mixing Engineer

    
      Aleksandr Sitnikov
Bass

    
      Malte Huck
Composer

    
      Christopher Annen, Henning May, Malte Huck & 2 more"
"10";"AnnenMayKantereit";"21,22,23";"Alles nix konkretes";"[Songtext zu „21,22,23“]


[Refrain]
Und du wirst 21, 22, 23Und du kannst noch gar nicht wissen, was du willstUnd du wirst 24, 25, 26Und du tanzt nicht mehr wie früher

[Strophe 1]
Und du und deine FreundeIhr seid alle am studier'nUnd ihr wartet draufDass irgendwas passiert
Hast du überhaupt 'ne AhnungWo du grade stehst?Du verschwendest deine Jugend zwischen Kneipen und WGs

[Refrain]
Und du wirst 21, 22, 23Und du kannst noch gar nicht wissen, was du willstUnd du wirst 24, 25, 26Und du tanzt nicht mehr wie früher
Und du tanzt nicht mehr wie früher

[Strophe 2]
Und manchmal wirst du melancholisch
Im Straßenlaternenlicht
Am Wochenende gehst du feiern
Und machst dich natürlich dicht
Und du hältst deine Träume absichtlich klein
Um am Ende nicht enttäuscht zu sein

[Refrain]
Und du wirst 21, 22, 23Und du kannst noch gar nicht wissen, was du willstUnd du wirst 24, 25, 26Und du tanzt nicht mehr wie früherUnd du tanzt nicht mehr wie früher

[Strophe 3]
Und du sagst immer, dass liegt alles nicht an dir
Und bestellst dir noch ein Bier
Und wenn ich dich dann frage, was du werden willstDann sagst du immer nur: „Ich weiß nicht, Hauptsache nicht Mitte 30Hauptsache nicht Mitte 30“

[Refrain]
Und du wirst 21, 22, 23Und du kannst noch gar nicht wissen, was du willstUnd du wirst 24, 25, 26Und du tanzt nicht mehr wie früherUnd du tanzt nicht mehr wie früher

Und du wirst 21, 22, 23, 24, 25, 26, 27, 28, 29";"https://genius.com/Annenmaykantereit-212223-lyrics";"Released March 18, 2016
Copyright ©

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Phonographic Copyright ℗

    
      Christopher Annen, Henning May, Severin Kantereit GbR
Photography

    
      Martin Lamberty
Design

    
      Marcin Krawczyk, Daniel Ludwig & Martin Lamberty
Producers

    
      Moses Schneider & Tim Tautorat
Writers

    
      Christopher Annen, Henning May, Malte Huck & 2 more
Assistant Mixing Engineer

    
      Aleksandr Sitnikov
Bass

    
      Malte Huck
Composer

    
      Christopher Annen, Henning May, Malte Huck & 2 more"
