"";"artist";"title";"album";"text";"url";"metadata"
"1";"Bela B";"B-vertüre";"Bingo";"Schaut mal her, wer hätte das gedacht?
Dass Bela so etwas mal macht?
Ein Soloalbum
Mit Tschingderassabum
Und auch Gitarren gespielt von eurem Grafen
Grad eben ham wir noch daran geschraubt
Bis eben ham wir´s selber nicht geglaubt
Nun endlich liegt es vor
Belastend für dein Ohr
Als spielten tausen Engel ihre Harfen
Schaut mal her, wer hätte das gedacht?
Dass der Graf ein Soloalbum macht?
Wunderbar und neu
Von unserm Pornoboy
Bela, wir wolln sofort mit dir schlafen
Viel zu oft wurd ich danach gefragt
Wir haben es zu hoffen nicht gewagt
Wie kam er darauf bloß?
Die Spannung, sie ist groß
UND JETZT GEHTS ENDLICH LOOOOOOS...";"https://genius.com/Bela-b-b-verture-lyrics";"Released 2006
Featuring

    
      Charlotte Roche
Writers

    
      Bela B & Charlotte Roche
Backing Vocals

    
      Ruth Renner
Guitar

    
      Gerhard Schmalzl"
"2";"Bela B";"Gitarre Runter";"Bingo";"Frag nicht warum sie mich aufregen
Diese Menschen ohne Sinn
Da gibts tatsächlich auch Kollegen
Da hängt das Brett gleich unterm Kinn
Kleine feuchte Griffbrettgucker
Sie spielen wie der Nikolaus
Der Volksmund nennt sie gern auch Rocker
Und sehen dabei leider Scheiße aus
Sag mir warum
Hängt die Gitarre so weit oben
Häng sie doch um
Als hätt's du sie grad aufgehoben
Das sieht sonst dumm aus
Und alles andere als schön
Mach die Gitarre runter
Wir wollen deinen Sack nicht sehen
Mach die Gitarre runter
Wir wollen deinen Sack nicht sehen
Nicht sehen....
Sei tolerant, hör ich sie sagen
Was verstehst du schon davon
Als Schlagzeuger mit nervösem Magen
Fehlt mir leider die Diskretion
Viele Meister lernte ich kennen
Die spielten gern mal übern Durst
Ließen Finger übers Griffbrett rennen
Und sahen dabei doch aus wie ne Wurst
Sag mir warum
Hängt die Gitarre so weit oben
Häng sie doch um
Als hätt's du sie grad aufgehoben
Das sieht sonst dumm aus
Und alles andere als schön
Mach die Gitarre runter
Wir wollen deinen Sack nicht sehen
Mach die Gitarre runter
Wir wollen deinen Sack nicht sehen
Nicht sehen....";"https://genius.com/Bela-b-gitarre-runter-lyrics";"Released 2006
Featuring

    
      Charlotte Roche
Writers

    
      Bela B & Charlotte Roche
Backing Vocals

    
      Ruth Renner
Guitar

    
      Gerhard Schmalzl"
"3";"Bela B";"Tag Mit Schutzumschlag";"Bingo";"Kindersex im Internet
Live im Kannibalenchat
Die NPD wirbt um unser Vertrauen
Terroranschlag simultan
Fahrt zur Arbeit nicht mit der Bahn
Von welcher Arbeit reden wir genau?
Wie schön wäre ne Pause jetzt
Wo keiner schreit und keiner hetzt
Und jeder einfach mal die Schnauze hält
So ein Tag wär wunderschön
Es würd uns so viel besser gehen
Ein Durchatmen für die ganze Welt
Niemand stirbt und niemand leidet
Niemand, der sich heute beklagt
Niemand ist böse, weil niemand mehr streiten mag
An diesem schönen Tag  der Tag mit Schutzumschlag
Ein Wahlbetrüger, dumm wien Klo
Führt wieder Krieg im Nirgendwo
Berufen von Gott dem Allmächtigen
Kommt einer her und sagt mir
Was soll all der Schmerz und all der Hass
Die unser Leben beeinträchtigen?
Und ich denk mir
Wie kann das gehen?
Der Tag heut wäre richtig schön
Macht der Wunsch mich schon zum Verdächtigen?
Niemand stirbt und niemand leidet
Niemand, der sich heute beklagt
Niemand ist böse, weil niemand mehr streiten mag
An diesem schönen Tag
Wenn ich es euch doch sag
Ein Tag, den jeder mag - der Tag mit Schutzumschlag";"https://genius.com/Bela-b-tag-mit-schutzumschlag-lyrics";"Released 2006
Featuring

    
      Charlotte Roche
Writers

    
      Bela B & Charlotte Roche
Backing Vocals

    
      Ruth Renner
Guitar

    
      Gerhard Schmalzl"
"4";"Bela B";"Irgendetwas Bleibt";"Bingo";"Du hast gearbeitet wie ein Tier
Und es hat keinen interessiert
Hattest dein Ziel stets im Visier
Doch nur dein Spiegelbild hat applaudiert
Und es war trotzdem nicht umsonst
Im Zweifel war es für die Kunst
Allein darauf lässt dus nicht beruhen
Denn wenn du ehrlich zu dir bist
Weißt du wenns nochmal soweit ist
Du würdest alles ganz genauso tun, denn
Irgendetwas bleibt
Irgendetwas bleibt ganz sicher zurück
Als Zeugnis für eine Hoffnung
Ein zu früh versprochenes Glück
Der Traum ist aus
Er bliebt nur für einen kurzen Augenblick
Doch es bleibt etwas bleibt
Immer bleibt etwas zurück
Jetzt ist sie vorbei
Die Liebe, die ein Leben hält
So lange gab es nur euch Zwei
Jetzt bist du der einsamste Mensch der Welt
Gelähmt vom allertiefstem Schmerz
Verfluchst du dein verletztes Herz
Und die Erinnerung lässt dich nicht ruhen
Das zu verkraften fällt dir schwer
Doch wenns noch einmal soweit wär
Würdest dus wieder ganz genauso tun, denn
(2x)
Irgendetwas bleibt
Irgendetwas bleibt ganz sicher zurück
Als Zeugnis für eine Hoffnung
Ein zu früh versprochenes Glück
Der Traum ist aus
Er bliebt nur für einen kurzen Augenblick
Doch es bleibt etwas bleibt
Immer bleibt etwas zurück
Irgendwas bleibt immer...
Irgendwas bleibt immer...
(So war es und so wird es immer sein - für immer und für immer)";"https://genius.com/Bela-b-irgendetwas-bleibt-lyrics";"Released 2006
Featuring

    
      Charlotte Roche
Writers

    
      Bela B & Charlotte Roche
Backing Vocals

    
      Ruth Renner
Guitar

    
      Gerhard Schmalzl"
"5";"Bela B";"Traumfrau";"Bingo";"Ich stehe auf der Bühne und die Menge jubelt laut
Und während ich so singe, merk ich: He, das ist geklaut
Die Erkenntnis trifft mich hart, ich verlier die Contenance
Ich hör sofort zu singen auf, das ist die einzige Chance
Ich verzweifle an mir selbst und werde sentimental
Ich starre vor mich hin und seh mit einem Mal:
Meine Traumfrau - sie steht hier vor mir
Hallo Traumfrau - du gehörst zu mir
Traumfrau - du bist so wunderschön
Hallo Traumfrau - wie konnt ich dich nur übersehn?
Da vergess ich doch den ganzen Urheberrechtsscheiß
Jetzt mach ich einzig und allein das Engelsgesicht heiß
Ich wage nicht mehr wegzuschaun aus Angst, du bist fort
Ich wünsch mich einfach nur mit dir weit weg von diesem Ort
Und dann passierts: Dein Blick trifft meinen und die Funken sprühn
Das Mikrofon in meiner Hand fängt plötzlich an zu glühn
Hallo Traumfrau - ja, du bist gemeint
Hallo Traumfrau - bald sind wir vereint
Traumfrau - du bist für mich gemacht
Hallo Traumfrau - was machst du heute Nacht?";"https://genius.com/Bela-b-traumfrau-lyrics";"Released 2006
Featuring

    
      Charlotte Roche
Writers

    
      Bela B & Charlotte Roche
Backing Vocals

    
      Ruth Renner
Guitar

    
      Gerhard Schmalzl"
"6";"Bela B";"Was Ist Nur Los...?";"Bingo";"Was ist nur los mit mir?
Warum mach ich alles kompliziert
Ein falsches Wort von dir
Schon bin ich wieder explodiert
Grad eben war ich noch total entspannt
War der treueste Boy den du jemals gekannt
Doch es reicht ein Moment
Bis die Luft wieder brennt
Was ist nur los mit mir...
Was ist nur los mit dir?
Warum bist du so exponiert
Ein falsches Wort von mir
Schon machst du alles kompliziert
Grad eben warst du noch total entspannt
Warst das allerbeste Girl, das ich jemals gekannt
Doch es reicht ein Moment
Bis die Luft wieder brennt
Was ist nur los mit dir...
Was ist nur los mit dir...
Was ist nur los mit uns?
Warum ist es wieder eskaliert?
Liebe ist eine Kunst
Die mit viel Verständnis funktioniert
Grad eben noch sind wir total entspannt
Sind ein traumhaftes Paar, du und ich Hand in Hand
Als die Stimmung umschwenkt
Und die Luft Feuer fängt
Was ist nur los mit uns...";"https://genius.com/Bela-b-was-ist-nur-los-lyrics";"Released 2006
Featuring

    
      Charlotte Roche
Writers

    
      Bela B & Charlotte Roche
Backing Vocals

    
      Ruth Renner
Guitar

    
      Gerhard Schmalzl"
"7";"Bela B";"1.2.3....";"Bingo";"Écoutez, s'il vous plaît
I'm from another planet

Fünf Uhr früh in der Nachtbar
Und noch längst kein Schlaf in Sicht
Ich bin zum Denken hier
Starre in mein Bier
Nur reden will ich nicht
Da tippt mir was auf die Schulter
Und grinst sich in meine Welt
Sagt, sie tut ihm leid
Seine Aufdringlichkeit
Nennt mich Dirk und hat uns Schnaps bestellt
Und ich sag ihm

Erstens
Du machst hier einen Fehler
Zweitens
Für dich immer noch Bela
Drittens
Ich trinke nicht mit jedem
Viertens
Ich will nicht mit dir reden
(Aaahh) Ich will nicht mit dir reden
M-m

Sensitive is various when plain

Ehrlichkeit irritiert ihn
Und ich zieh mich zurück
Da plötzlich seh ich sie
Die Frau zum Niederknien
Und ich versuch mein Glück
Willst du 'nen Drink?
Hey, komm doch mal näher

Denn erstens
Hi, ich bin der Bela
Zweitens
Ich mag Nelson Mandela
Drittens
Ich bin keiner von den Blöden
Viertens
Ich will nur mit dir reden
(Aaahh) Nur ein bisschen mit dir reden
Hm-hm

Mademoiselle
Let's schwing the dance leg

Und sie sagt
Erstens
Ich bin mit meinem Freund hier
Zweitens
Er ist ein Megafan von dir
Drittens
Ich werd ihn mal rüberwinken
Und viertens
Er würd gern was mit dir trinken
(Aaahh) Nur was mit dir trinken

Erstens
Hey, ich komm gleich wieder
Zweitens
H-H-Hol ihn schon mal rüber
Drittens
Bitte nicht falsch verstehn
Viertens
Das sieht nur so aus, als würd ich gehn
(Aaahh) Das sieht nur so aus, als würd ich gehn
(Aaahh) Das sieht nur so aus, als würd ich gehn
(Aaahh) Das sieht so aus, als würd ich gehn

Bei uns zu Hause gehen alle rückwärts";"https://genius.com/Bela-b-123-lyrics";"Released 2006
Featuring

    
      Charlotte Roche
Writers

    
      Bela B & Charlotte Roche
Backing Vocals

    
      Ruth Renner
Guitar

    
      Gerhard Schmalzl"
"8";"Bela B";"Sie Hat Was Vermisst";"Bingo";"Ich traf dich an, als gebrochenen Mann
Das unfassbare war geschehen
Sie hat dich verlassen, du kannst es nicht fassen
Und versuchst zu verstehen, denn du hast es nicht kommen gesehen
Es ist einfach vorbei, ohne Streit und Geschrei
Und du verstehst die Welt nicht mehr
Siehst nur deinen Schmerz, dein gebrochenes Herz
Und kannst es nicht verstehen, denn du hast es nicht kommen gesehen
Sie ist gegangen und ließ dich ratlos zurück
Sie ist gegangen und mit ihr ging auch dein Glück
Ich kann verstehen dass du traurig und auch wütend auf sie bist
Doch sie ist gegangen, denn sie hat was vermisst
Du hast ihr vertraut, hast immer auf sie gebaut
Du wusstest was sie anpackt wird gut
So hat sie sich entfernt, sie wurde garstig wie Bernd
Es wurde still ums euch Zwei, darum hörtest du nicht ihren Schrei
Sie ist gegangen und ließ dich ratlos zurück
Sie ist gegangen und mit ihr ging auch dein Glück
Ich kann verstehen dass du traurig und auch wütend auf sie bist
Doch sie ist gegangen, denn sie hat was vermisst
Sie ist gegangen und ließ dich ratlos zurück
Sie ist gegangen und mit ihr ging all dein Glück
Denk noch einmal darüber nach, auch wenn du wütend auf sie bist
Sie ist gegangen, denn sie hat dich vermisst
Ja sie ist gegangen, denn sie hat dich vermisst
Hat dich vermisst....";"https://genius.com/Bela-b-sie-hat-was-vermisst-lyrics";"Released 2006
Featuring

    
      Charlotte Roche
Writers

    
      Bela B & Charlotte Roche
Backing Vocals

    
      Ruth Renner
Guitar

    
      Gerhard Schmalzl"
"9";"Bela B";"Der Vampir Mit Dem Colt";"Bingo";"Die Flügel seines Pferdes flattern leise im Wind Sind die Fenster noch offen? Schließ sie lieber, mein Kind Geh ihm besser aus dem Weg, der Rat ist ernst gemeint Das Gute hat in ihm seinen schlimmsten Feind
Man weiß nicht, wer er ist, nur: Ihn zu treffen ist nicht gut Doch er sinnt nicht nach Geld oder Gold Er zieht schneller als der Wind und danach trinkt er dein Blut Es ist der Vampir mit dem Colt ... Nur ein Vampir mit 'nem Colt
Doch wie immer gibt es einen, der hält sich für superklug Er sagt, der Wilde Westen hat schon Probleme genug Also zog er los mit dem Gewehr in der Hand Und es war seine Leiche, die man kurz darauf fand
Man weiß nicht, wer er ist, nur: Ihn zu treffen ist nicht gut ...Nur ein Vampir mit 'nem Colt
Bei ihm nützt kein Knoblauch und kein Kruzifix Er schießt es dir vom Hals - da kennt er nix Und so mancher Held hat nicht an die Legende geglaubt Und lag später zwar schlauer, doch tot im Staub
Man weiß nicht, wer er ist, nur: Ihn zu treffen ist nicht gut Doch er sinnt nicht... Vampir mit 'nem Colt";"https://genius.com/Bela-b-der-vampir-mit-dem-colt-lyrics";"Released 2006
Featuring

    
      Charlotte Roche
Writers

    
      Bela B & Charlotte Roche
Backing Vocals

    
      Ruth Renner
Guitar

    
      Gerhard Schmalzl"
"10";"Bela B";"Versuchs Doch Mal Mit Mir";"Bingo";"Wunderschön, so stehst du da
Unendlich weit und doch so nah
Mir fehl der Mut, ich weiß nicht recht
Ich kann nichts tun, und mir wird schlecht
Das große Glück ist manchmal auch ganz klein
Und manchmal übergibt es sich
Ein bisschen Kotze kann doch auch ganz niedlich sein
Nur ich glaub' so siehst du das nicht
Wie kann ich dir nur imponieren?
Was muss ich tun, was muss passieren?
Das was du suchst, ist heut' nicht hier
Versuch es doch einmal mit mir
Das große Glück ist manchmal auch ganz klein
Und echte Liebe kennt keinen Preis
Sie ist wahrhaftig, ehrlich, pur und rein
Und manchmal riecht sie ein bisschen nach Schweiß
All die Schönen und Perfekten, das hier ist nicht ihr Revier
Millionäre, Architekten, die sind alle heut' nicht hier
Versuchs' doch mal mit mir
Versuchs' doch mal mit mir...
All die Schönen und Geleckten, das hier ist nicht ihr Revier
Nimm doch mal einen Defekten, der passt eh besser zu dir
Versuchs' doch mal mit mir
Versuchs' doch mal mit mir...
Hey Mädchen, ich bin der Mann für dir";"https://genius.com/Bela-b-versuchs-doch-mal-mit-mir-lyrics";"Released 2006
Featuring

    
      Charlotte Roche
Writers

    
      Bela B & Charlotte Roche
Backing Vocals

    
      Ruth Renner
Guitar

    
      Gerhard Schmalzl"
