artist,title,album,text,url,metadata
Böhse Onkelz,Feuer,Adios,"[Strophe 1]
Die Revolution braucht neue Lieder
Volle Deckung, wir sind es wieder
Wir sind onklifiziert, voll und ganz
Wir sind Teil einer Protestallianz
Ein Himmelfahrtskommando kommt übers Land
Unwiderstehlicher Widerstand
Kinder und Frauen werden evakuiert
Wir bringen euch Feuer; Zeit, dass was passiert

[Refrain]
Feuer
Wir bringen euch Feuer
Wir bringen Feuer
Und Fäkaliensprache
Die Onkelz kommen, bitte weitersagen

Feuer
Wir bringen euch Feuer
Wir bringen Feuer
Das hier ist Männersache
Wollt ihr der Geschichte Feuer unter'm Hintern machen?

[Strophe 2]
In jeder Straße, im Land der Paranoia
In jeder Stadt brennt unser Feuer
Wir schulden euch nichts, wir machen die Regeln
Bitter, aber so ist das Leben
Ihr werdet heulen, mit den Ohren schlackern
In den Knien zittern und mit den Zähnen klappern
Das Böse in Person ist wieder auf Mission
Gib mir das Mikrofon, gib mir das Mikrofon

[Refrain]
Feuer
Wir bringen euch Feuer
Wir bringen Feuer
Und Fäkaliensprache
Die Onkelz kommen, bitte weitersagen

Feuer
Wir bringen euch Feuer
Wir bringen Feuer
Das hier ist Männersache
Wollt ihr der Geschichte Feuer unter'm Hintern machen?

[Bridge]
Die letzte Warnung; tut, was wir sagen
Dann übersteht ihr das ohne großen Schaden
Vier, drei, zwei, eins

[Refrain]
Feuer
Wir bringen euch Feuer
Wir bringen Feuer
Und Fäkaliensprache
Die Onkelz kommen, bitte weitersagen

Feuer
Wir bringen euch Feuer
Wir bringen Feuer
Das hier ist Männersache
Wollt ihr der Geschichte Feuer unter'm Hintern machen?

[Outro]
Vier, drei, zwei, eins
Feuer
Wir bringen euch Feuer
Wir bringen Feuer
Das hier ist Männersache
Wollt ihr der Geschichte Feuer unter'm Hintern machen?
Feuer",https://genius.com/Bohse-onkelz-feuer-lyrics,"Released July 26, 2004
Producers

    
      Michael Mainx & Stephan Weidner
Writers

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Co-Producer

    
      Michael Mainx
Composer

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Copyright ©

    
      regel23"
Böhse Onkelz,Immer auf der Suche,Adios,"[Strophe 1]
Die Nacht ist denen, die sie sich nehmen
50 Gramm Wodka bringen mich zurück ins Leben
Ich bin Afficionado, Spirituose
Auf der Suche nach mir selbst und der Ganzkörper-Narkose

[Refrain]
Ich bin immer auf der Suche nach 'ner guten Zeit
Die Nacht ist lang und ich bin bereit
Immer auf der Suche nach 'ner guten Zeit
Der Rest ergibt sich von allein
Immer auf der Suche nach 'ner guten Zeit
Immer auf der Suche nach 'ner guten Zeit
Viel Speed, kein Ziel und immer im Kreis

[Strophe 2]
Ich jage durch die Nacht, in der das Gute schläft
Und das Böse erwacht
120 auf'm Tacho, ins Nirwana mit Karacho
Ich trinke schneller, als ich schlucken kann
Ich will es wissen und die Nacht ist lang
Das wird teuer; Pillen, Pilze, Paranoia

[Refrain]
Ich bin immer auf der Suche nach 'ner guten Zeit
Die Nacht ist lang und ich bin bereit
Immer auf der Suche nach 'ner guten Zeit
Der Rest ergibt sich von allein
Immer auf der Suche nach 'ner guten Zeit
Immer auf der Suche nach 'ner guten Zeit
Viel Speed, kein Ziel und immer im Kreis

[Bridge]
Die Contenance verloren, die Synapsen eingefroren
Doch im Großen und Ganzen, ich sag' euch:​
„Lasst uns tanzen!“

[Refrain]
Ich bin immer auf der Suche nach 'ner guten Zeit
Die Nacht ist lang und ich bin bereit
Immer auf der Suche nach 'ner guten Zeit
Der Rest ergibt sich von allein
Immer auf der Suche nach 'ner guten Zeit
Immer auf der Suche nach 'ner guten Zeit
Viel Speed, kein Ziel und immer im Kreis",https://genius.com/Bohse-onkelz-immer-auf-der-suche-lyrics,"Released July 26, 2004
Producers

    
      Michael Mainx & Stephan Weidner
Writers

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Co-Producer

    
      Michael Mainx
Composer

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Copyright ©

    
      regel23"
Böhse Onkelz,Superstar,Adios,"[Strophe 1]
Ich seh' gut aus und kann doof grinsen
Ich bin Superstar und Einfaltspinsel
Ich mach's mit allen, denn ich will gewinnen
Den Pop-Olymp erklimmen

[Pre-Refrain]
Alles, was ich will, liegt auf der Hand
Alles, was ich will, ist ins Lala-Land
Ich will Mädchen, Möpse und Millionen
Mich soll der Bohlen holen

[Refrain]
Ich bin Star, Superstar
Ich habe kein Talent, aber Disziplin
Und ich lasse mich am Piercing durch die Medien zieh'n

[Refrain]
Ich bin Star, Superstar
Ich habe kein Talent, aber Disziplin
Und ich lasse mich am Piercing durch die Medien zieh'n

[Strophe 2]
0815, Grenzdebile
Auf Ruhm gedrillte Pop-Maschinen
Geklonte Bands, Retortenstars
Tanzen einen Sommer und das war's

[Pre-Refrain]
Alles, was ich will, liegt auf der Hand
Alles, was ich will, ist ins Lala-Land
Ich will Mädchen, Möpse und Millionen
Mich soll der Bohlen holen

[Refrain]
Ich bin Star, Superstar
Ich habe kein Talent, aber Disziplin
Und ich lasse mich am Piercing durch die Medien zieh'n

[Refrain]
Ich bin Star, Superstar
Ich habe kein Talent, aber Disziplin
Und ich lasse mich am Piercing durch die Medien zieh'n

[Post-Refrain]
(Star, Superstar)
Die Industrie hat den großen Plan
Deutschland sucht den Superstar
Verkaufen uns Retorten-Hits
Und alle singen mit, alle singen mit
Und alle singen mit, alle singen mit
Ich bin Star, Superstar
Und alle singen mit, alle singen mit
Und alle singen mit, alle singen mit
Und ich lasse mich am Piercing durch die Medien zieh'n, ja, ja
Haha!",https://genius.com/Bohse-onkelz-superstar-lyrics,"Released July 26, 2004
Producers

    
      Michael Mainx & Stephan Weidner
Writers

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Co-Producer

    
      Michael Mainx
Composer

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Copyright ©

    
      regel23"
Böhse Onkelz,Sowas hat man...,Adios,"[Strophe 1]
Ich war zu groß, zu dick, zu blass, zu irgendwas
„Kompliziert“ quer über die Stirn tätowiert
Ein Problemkind, früh aus dem Nest gerissen
Beißt in die Hand, die es nährt; ich muss es wissen

[Pre-Refrain 1]
Ich hasste die Schule und sie hasste mich
Kamikaze, doch ich bereue nichts
Voller Wut und Aggressionen, Zeit verlor'n
Ich wachte auf, und wurde neu gebor'n

[Refrain]
Sowas hat man, oder hat man nicht
Sowas ist man, oder ist es nicht (Alle Augen auf mich)
Vom Prolet zum Prophet, ja sowas geht, wie ihr seht
Es ist ganz leicht, wenn man weiß, wie es geht (Wenn man weiß, wie es geht)

Sowas hat man, oder hat man nicht
Sowas ist man, oder ist es nicht (Alle Augen auf mich)
Ich hab' das Rad nicht neu erfunden, doch ich weiß, wie man es dreht
Sowas kriegt man nicht in die Wiege gelegt

[Strophe 2]
Heute begreife ich jedes Lied als ein'n Sieg
Über die Zeit, über Herkunft und Vergangenheit
Deine Herkunft holt dich ein, du wirst nie was and'res sein
Darum sei, was du bist, egal, was das ist

[Pre-Refrain 2]
Hass und Wut steh'n mir gut
Ich kann's nicht lassen, muss meine Wut in Worte fassen
Auf multiplen Frequenzen, ein Spiel ohne Grenzen
Das Gefühl muss raus, ich kau' es durch und spuck' es aus

Sowas hat man oder hat man nicht
Sowas ist man oder ist es nicht - alle Augen auf mich
Vom Prolet zum Prophet - ja sowas geht, wie ihr seht
Es ist ganz leicht - wenn man weiß, wie es geht

[Refrain]
Sowas hat man, oder hat man nicht
Sowas ist man, oder ist es nicht (Alle Augen auf mich)
Vom Prolet zum Prophet, ja sowas geht, wie ihr seht
Es ist ganz leicht, wenn man weiß, wie es geht (Wenn man weiß, wie es geht)

Sowas hat man, oder hat man nicht
Sowas ist man, oder ist es nicht (Alle Augen auf mich)
Ich hab' das Rad nicht neu erfunden, doch ich weiß, wie man es dreht
Sowas kriegt man nicht in die Wiege gelegt

[Refrain]
Sowas hat man, oder hat man nicht
Sowas ist man, oder ist es nicht (Alle Augen auf mich)
Vom Prolet zum Prophet, ja sowas geht, wie ihr seht
Es ist ganz leicht, wenn man weiß, wie es geht (Wenn man weiß, wie es geht)

Sowas hat man, oder hat man nicht
Sowas ist man, oder ist es nicht (Alle Augen auf mich)
Ich hab' das Rad nicht neu erfunden, doch ich weiß, wie man es dreht
Sowas kriegt man nicht in die Wiege gelegt",https://genius.com/Bohse-onkelz-sowas-hat-man-lyrics,"Released July 26, 2004
Producers

    
      Michael Mainx & Stephan Weidner
Writers

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Co-Producer

    
      Michael Mainx
Composer

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Copyright ©

    
      regel23"
Böhse Onkelz,"Ja, Ja",Adios,"[Refrain 1]
Ja, ja, jajaja - ultra präzise und hart
Ja, ja, jajaja - und was es uns sagt
Ja, ja, jajaja - hört man nicht gern
Ja, ja, jajaja - hört zu und lernt

[Strophe 1]
Wir haben uns lange nicht gesehen; ja, so kann's gehen
Obskurer Stoff erfasst mein System
Ich sag': „Ja, ja, ist das wahr?“ und tue interessiert
So kann es gehen, sowas passiert

[Pre-Refrain 1]
Ich hiss die weiße Fahne
Doch du kennst keine Gnade
Nimm's nicht persönlich, die Wahrheit tut weh
Es ist besser du gehst
Zeit, dass du verstehst

[Refrain 2]
Ja, ja, jajaja - ultra präzise und hart
Ja, ja, jajaja - und was es uns sagt
Ja, ja, jajaja - „Ja, Ja“ heißt: „Leck mich“
Ja, ja, jajaja - „Ja, Ja“ heißt: „Leck mich am Arsch“

[Strophe 2]
Mysteriöse Gespräche an der psychischen Front
Selbst dein Therapeut macht sich auf und davon
Soziale Neurosen, wen interessiert's?
Vom König der Idioten, einfach gar nicht ignorieren

[Pre-Refrain 2]
Ich war einfach nett
Doch du schnürst dein Gefühlskorsett
Nimm's nicht persönlich, hier stinkt's gewöhnlich
Es ist besser du gehst
Zeit, dass du verstehst

[Bridge 1]
Ja, ja, jajaja
Ja, ja, jajaja
JA!

[Bridge 2]
Fickparolen, Pseudo-Prahlerei
Billiger Witz, Gefühlsduseleien

[Pre-Refrain 1]
Ich hiss die weiße Fahne
Doch du kennst keine Gnade
Nimm's nicht persönlich, die Wahrheit tut weh
Es ist besser du gehst
Zeit, dass du verstehst

[Refrain 3]
Ja, ja, ja, ja, ja - ultra präzise und hart
Ja, ja, ja, ja, ja - und was es uns sagt
Ja, ja, ja, ja, ja - „Ja, Ja“ heißt: „Leck mich“
Ja, ja, ja, ja, ja - „Ja, Ja“ heißt: „Leck mich am Arsch“",https://genius.com/Bohse-onkelz-ja-ja-lyrics,"Released July 26, 2004
Producers

    
      Michael Mainx & Stephan Weidner
Writers

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Co-Producer

    
      Michael Mainx
Composer

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Copyright ©

    
      regel23"
Böhse Onkelz,Lass mich gehn,Adios,"[Strophe 1]
Wir sitzen so da, wir rauchen und reden
Über früher und jetzt, über alles und jeden
Darüber, wer wir sind und wer wir waren
Alte Geschichten aus besseren Tagen

[Refrain]
Lass mich geh'n, lass mich geh'n
Kannst du nicht seh'n, es nicht versteh'n?
Ich bin nicht das
Nicht das, was du aus mir machst

Lass mich geh'n, lass mich geh'n
Kannst du nicht seh'n, es nicht versteh'n?
Ich bin nicht der
Von dem du wünschst, dass ich es wär'

[Strophe 2]
Ich weiß, du weinst, denn nichts hat sich geändert
Hass oder Blumen sagt uns der Kalender
Wir könnten so viel mehr sein, doch das Nest ist beschmutzt
Wir haben uns mit einer rostigen Schere die Flügel gestutzt

[Refrain]
Lass mich geh'n, lass mich geh'n
Kannst du nicht seh'n, es nicht versteh'n?
Ich bin nicht das
Nicht das, was du aus mir machst

Lass mich geh'n, lass mich geh'n
Kannst du nicht seh'n, es nicht versteh'n?
Ich bin nicht der
Von dem du wünschst, dass ich es wär'

[Refrain]
Lass mich geh'n, lass mich geh'n
Kannst du nicht seh'n, es nicht versteh'n?
Ich bin nicht das
Nicht das, was du aus mir machst

Lass mich geh'n, lass mich geh'n
Kannst du nicht seh'n, es nicht versteh'n?
Ich bin nicht der
Von dem du wünschst, dass ich es wär'

[Refrain]
Lass mich geh'n, lass mich geh'n
Kannst du nicht seh'n, es nicht versteh'n?
Ich bin nicht das
Nicht das, was du aus mir machst

Lass mich geh'n, lass mich geh'n
Kannst du nicht seh'n, es nicht versteh'n?
Ich bin nicht der
Von dem du wünschst, dass ich es wär'",https://genius.com/Bohse-onkelz-lass-mich-gehn-lyrics,"Released July 26, 2004
Producers

    
      Michael Mainx & Stephan Weidner
Writers

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Co-Producer

    
      Michael Mainx
Composer

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Copyright ©

    
      regel23"
Böhse Onkelz,Fang mich,Adios,"[Strophe 1]
Guten Tag, Tag zusammen, ich steck' eure kleine Welt in Flammen
Streckt eure Lauscher aus, die Onkelz sind im Haus
Ich zeige euch, was mir gefällt
Ich hab' die Schnauze voll vom Rest der Welt
Von leeren Worten, leeren Phrasen
Wollt ihr ficken oder Trübsal blasen?

[Refrain]
Fang' mich (Fang' mich)
Fang' mich wenn du kannst
Benutze Herz und Verstand
Keine Angst, keine Angst
Ich weiß, dass du es kannst
Gar nicht oder ganz
Über die volle Distanz
Mit dem Kopf durch die Wand
Fang' mich, wenn du kannst

[Strophe 2]
Wenn der Schuh dich drückt, zieh' ihn aus
Wir schießen übers Ziel hinaus
Was ich sage gilt für alle
Wir gehen immer in dieselbe Falle
Ich weiß, ich weiß, ich weiß Bescheid
Ich kenne den Weg aus der Dunkelheit
Dies ist die Gelegenheit
Seid ihr soweit? Macht euch bereit!

[Refrain]
Fang' mich (Fang' mich)
Fang' mich wenn du kannst
Benutze Herz und Verstand
Keine Angst, keine Angst
Ich weiß, dass du es kannst
Gar nicht oder ganz
Über die volle Distanz
Mit dem Kopf durch die Wand
Fang' mich, wenn du kannst
(Fang' mich, fang' mich, ...)

[Refrain]
Fang' mich (Fang' mich)
Fang' mich wenn du kannst
Benutze Herz und Verstand
Keine Angst, keine Angst
Ich weiß, dass du es kannst
Gar nicht oder ganz
Über die volle Distanz
Mit dem Kopf durch die Wand
Fang' mich, wenn du kannst

[Refrain]
Fang' mich (Fang' mich)
Fang' mich wenn du kannst
Benutze Herz und Verstand
Keine Angst, keine Angst
Ich weiß, dass du es kannst
Gar nicht oder ganz
Über die volle Distanz
Mit dem Kopf durch die Wand
Fang' mich, wenn du kannst
(Mich, wenn du kannst, mich, wenn du kannst, ...)",https://genius.com/Bohse-onkelz-fang-mich-lyrics,"Released July 26, 2004
Producers

    
      Michael Mainx & Stephan Weidner
Writers

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Co-Producer

    
      Michael Mainx
Composer

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Copyright ©

    
      regel23"
Böhse Onkelz,Einmal,Adios,"[Strophe 1]
Warum verlaufen Dinge wie sie's tun
Von Anfang an, dem Ende zu
Und doch weiter, als man ahnt
Weiter, als man sehen kann
Wir messen uns an uns'ren Taten
Denken, nur die Harten kommen in den Garten
Doch alles ist im Fluss
Nur vergiss nicht, dass du sterben musst

[Pre-Refrain]
Ich habe alles und doch nichts gesehen
Und ich fange an zu versteh'n
Wer ich bin und was ich war
Vielleicht zum allerersten Mal

[Refrain]
Einmal
Einmal kommt der Tag, der die Erlösung bringt
Unser Glück ist ohnehin
Immer da, wo wir nicht sind
Einmal
Einmal kommt der Tag, der mit dem Schicksal winkt
Und wir erkennen, wer wir sind
Der Tag, an dem alles neu beginnt

[Strophe 2]
Unser Glück war immer da
Immer da, wo wir nicht war'n
Holen wir's uns zurück
Und mehr davon, Stück für Stück
Geht dein Traum in Flammen auf
Such dir einen neuen aus
Der Rest verschwindet von allein
Dies ist ein Aufruf zum glücklich sein

[Pre-Refrain]
Ich habe alles und doch nichts gesehen
Und ich fange an zu versteh'n
Wer ich bin und was ich war
Vielleicht zum allerersten Mal

[Refrain]
Einmal
Einmal kommt der Tag, der die Erlösung bringt
Unser Glück ist ohnehin
Immer da, wo wir nicht sind
Einmal
Einmal kommt der Tag, der mit dem Schicksal winkt
Und wir erkennen, wer wir sind
Der Tag, an dem alles neu beginnt

[Refrain]
Einmal
Einmal kommt der Tag, der die Erlösung bringt
Unser Glück ist ohnehin
Immer da, wo wir nicht sind
Einmal
Einmal kommt der Tag, der mit dem Schicksal winkt
Und wir erkennen, wer wir sind
Der Tag, an dem alles neu beginnt

[Bridge]
Wenn du fällst (Wenn du fällst)
Helfe ich dir aufzustehen
Wenn du fällst (Wenn du fällst)
Werde ich es seh'n
Wenn du fällst (Wenn du fällst)
Werde ich ein Stück, ein Stück des Weges mit dir geh'n

[Bridge]
Wenn du fällst (Wenn du fällst)
Helfe ich dir aufzustehen
Wenn du fällst (Wenn du fällst)
Werde ich es seh'n
Wenn du fällst (Wenn du fällst)
Werde ich ein Stück, ein Stück des Weges mit dir geh'n",https://genius.com/Bohse-onkelz-einmal-lyrics,"Released July 26, 2004
Producers

    
      Michael Mainx & Stephan Weidner
Writers

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Co-Producer

    
      Michael Mainx
Composer

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Copyright ©

    
      regel23"
Böhse Onkelz,Kinder dieser Zeit,Adios,"[Strophe 1]
Wir sind schwarze Schafe, Kriminelle
Huren, Rocker und Rebellen
Randfiguren, Außenseiter
Straßenkids, Schallwellenreiter
Junkies, Träumer, Punks und Spinner
Wir sind Verlierer und Gewinner
Kinder dieser Zeit
Die ihr Schicksal vereint

[Pre-Refrain 1]
Was wir sind sind wir zusammen
Rauben dem Leben die Köder von den Fallen

[Refrain]
Weiter, immer weiter, immer weiter geh'n
Weiter, immer weiter, bleib' niemals stehen
Weiter, immer weiter und du findest deinen Weg
Den Weg, der stark macht, wenn man ihn geht

[Strophe 2]
Wir wollen das, was wir nicht kriegen
Freiheit und Piratenliebe
Wir jagen Tag für Tag
Uns'ren Träumen nach
Regiert von Kriminellen, die uns kriminalisieren
Haben Gedanken, die niemand toleriert
Doch eure Zeit ist um
Da draußen sind noch mehr von uns

[Pre-Refrain 2]
Wir suchen nach einem neuen Weg
Nach der Ritze in der Mauer der Realität

[Refrain]
Weiter, immer weiter, immer weiter geh'n
Weiter, immer weiter, bleib' niemals stehen
Weiter, immer weiter und du findest deinen Weg
Den Weg, der stark macht, wenn man ihn geht

[Refrain]
Weiter, immer weiter, immer weiter geh'n
Weiter, immer weiter, bleib' niemals stehen
Weiter, immer weiter und du findest deinen Weg
Den Weg, der stark macht, wenn man ihn geht",https://genius.com/Bohse-onkelz-kinder-dieser-zeit-lyrics,"Released July 26, 2004
Producers

    
      Michael Mainx & Stephan Weidner
Writers

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Co-Producer

    
      Michael Mainx
Composer

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Copyright ©

    
      regel23"
Böhse Onkelz,Hass-tler,Adios,"[Strophe 1]
Masturbation und Einsamkeit
Die ganze Welt ist dein Feind, dein Feind, dein Feind, dein Feind
Den Kopf voll Testosteron, ein einsames Herz
Die Jeans voll Hämorriden, die Lungen voll Teer

[Pre-Refrain]
Wenn das Hirn versagt eskaliert die Gewalt
Pubertäres Gepose, der Schwächere zahlt
Hast nicht viele Freunde und willst die nicht verlier'n
Willst die Geschichte wiederhol'n, willst wieder marschier'n

[Refrain]
Du bist der Hass-tler
Paranoid und verwirrt
Du bist der Hass-tler
Einmal durch's Gehirn gepierct
Weit weg von zu Haus'
Im ewigen Nichts und selbst hier
Wartet niemand auf dich

Du bist der Hass-tler
Paranoid und verwirrt
Du bist der Hass-tler
Einmal durch's Gehirn gepierct
Weit weg von zu Haus'
Im ewigen Nichts und selbst hier
Wartet niemand auf dich

[Strophe 2]
Ein leerer Kopf, nur Dekoration
Ein nutzloser Mund, null Reflektion
Es sind immer die ander'n, Schuld hast du nie
Du bist die Kopie einer Kopie, einer Kopie, einer Kopie

[Pre-Refrain]
Wenn das Hirn versagt eskaliert die Gewalt
Pubertäres Gepose, der Schwächere zahlt
Hast nicht viele Freunde und willst die nicht verlier'n
Willst die Geschichte wiederhol'n, willst wieder marschier'n

[Refrain]
Du bist der Hass-tler
Paranoid und verwirrt
Du bist der Hass-tler
Einmal durch's Gehirn gepierct
Weit weg von zu Haus'
Im ewigen Nichts und selbst hier
Wartet niemand auf dich

Du bist der Hass-tler
Paranoid und verwirrt
Du bist der Hass-tler
Einmal durch's Gehirn gepierct
Weit weg von zu Haus'
Im ewigen Nichts und selbst hier
Wartet niemand auf dich

[Refrain]
Du bist der Hass-tler
Paranoid und verwirrt
Du bist der Hass-tler
Einmal durch's Gehirn gepierct
Weit weg von zu Haus'
Im ewigen Nichts und selbst hier
Wartet niemand auf dich

Du bist der Hass-tler
Paranoid und verwirrt
Du bist der Hass-tler
Einmal durch's Gehirn gepierct
Weit weg von zu Haus'
Im ewigen Nichts und selbst hier
Wartet niemand auf dich",https://genius.com/Bohse-onkelz-hass-tler-lyrics,"Released July 26, 2004
Producers

    
      Michael Mainx & Stephan Weidner
Writers

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Co-Producer

    
      Michael Mainx
Composer

    
      Matthias Röhr, Michael Mainx & Stephan Weidner
Copyright ©

    
      regel23"
