artist;title;album;text;url;metadata
Böhse Onkelz;Die Firma;Dopamin;"Ein Spiel mit Worten
Am Rande der Zensur
Nach Art des Hauses
In Rei-m-Kultur

Wir sind die Faust in deinem Nacken
Die Wut in deinem Bauch
Wir geben dir das
Was du längst verloren glaubst

Tu was du willst
Heißt das Gesetz
Bleib ganz ruhig
Und niemand wird verletzt

Komm mit uns
Und sei gewiss
Dass wir wissen
Was wirklich böse ist

Die härteste Firma in der Stadt
Hat euch etwas mitgebracht
Ein dämonisches Gebet
Für die, die keiner zähmt
Um unsere Köpfe kreist kein
500 Watt Heiligenschein
Weiße Teufel - schwarze Seelen
Mit grammatikalischen Juwelen
Halten wir fest
Wir sind besser als der Rest

Wir können es nicht lassen
Hier sind -
12 Gründe mehr
Uns abgrundtief zu hassen

Fest entschlossen
Wollt ihr das testen?
Vergesst es -
Wir sind die Besten

Wir sind die Faust in deinem Nacken
Die Wut in deinem Bauch
Wir geben dir das
Was du längst verloren glaubst

Tu was du willst
Heißt das Gesetz
Bleib ganz ruhig
Und niemand wird verletzt

Komm mit uns
Und sei gewiss
Dass wir wissen
Was wirklich böse ist

(3x)
Die härteste Firma in der Stadt
Hat euch etwas mitgebracht
Ein dämonisches Gebet
Für die, die keiner zähmt
Um unsere Köpfe kreist kein
500 Watt Heiligenschein
Weiße Teufel - schwarze Seelen
Mit grammatikalischen Juwelen
Halten wir fest
Wir sind besser, besser als der Rest";https://genius.com/Bohse-onkelz-die-firma-lyrics;"Released April 15, 2002
Label

    
      Rule 23 Recordings"
Böhse Onkelz;Narben;Dopamin;"Ich blicke auf meine Narben
Zeichen von vergangenen Tagen
Schnitte so tief und wahr
Geschichten von dem der ich mal war

Wunden der Zeit
Für immer mein Kleid
Schwer abzulegen
Sind sie - ein Fluch oder ein Segen

Ich weiß was mich erwartet
Ich kenne dieses Bild
Ich kenne meine Wege
Und ich weiß dass ich sie nicht mehr gehen will

Ich weiß was mich erwartet
Ich kenne dieses Bild
Ich kenne meine Wege
Und ich weiß dass ich sie nicht mehr gehen will

Ein Buch in Haut geschrieben
Ein lebenslanger Spiegel
Begraben in der Zeit
Im Nebel der Vergangenheit

Die Narben auf unseren Seelen
Bestimmen den Gang des Lebens
Hand aufs Herz
Spürst Du den Schmerz

Ich weiß was mich erwartet
Ich kenne dieses Bild
Ich kenne meine Wege
Und ich weiß dass ich sie nicht mehr gehen will

Ich weiß was mich erwartet
Ich kenne dieses Bild
Ich kenne meine Wege
Und ich weiß dass ich sie nicht mehr gehen will

Solo

Ich weiß was mich erwartet
Ich kenne dieses Bild
Ich kenne meine Wege
Und ich weiß dass ich sie nicht mehr gehen will

Ich weiß was mich erwartet
Ich kenne dieses Bild
Ich kenne meine Wege
Und ich weiß dass ich sie nicht mehr gehen will";https://genius.com/Bohse-onkelz-narben-lyrics;"Released April 15, 2002
Label

    
      Rule 23 Recordings"
Böhse Onkelz;Macht für den der sie nicht will;Dopamin;"Wir versprechen alles
Und geben nichts
Doch wir brauchen deine Stimme
Wir zählen auf dich

Wir werden dich betrügen
Uns drehn und wenden
Alles dementieren
Und wer sagt hier was von Spenden?

Alles was wir wissen
Ihr lügt - und das beschissen
Wir sind nicht länger still
Macht für den der sie nicht will

Sie regieren und wir schweigen
Egal wie sie entscheiden
Wir sind nicht länger still
Macht für den der sie nicht will

An der Front für die Nazis
Sie waren Spitzel für die Stasi
Und heute heucheln sie
De-mo-kra-tie

Ein trostloser Haufen
Der uns regiert
Der Gesetze verstümmelt
Und nur für sich interpretiert

Wir werden dich betrügen
Uns drehn und wenden
Alles dementieren
Und wer sagt hier was von Spenden?

Alles was wir wissen
Ihr lügt und das beschissen
Wir sind nicht länger still
Macht für den der sie nicht will

Sie regieren und wir schweigen
Egal wie sie entscheiden
Wir sind nicht länger still
Macht für den der sie nicht will

An der Front für die Nazis
Sie waren Spitzel für die Stasi
Und heute heucheln sie
De-mo-kra-tie

Machterhaltung
Um jeden Preis
Ihre Politik der Lüge
Erstickt jeden freien Geist";https://genius.com/Bohse-onkelz-macht-fur-den-der-sie-nicht-will-lyrics;"Released April 15, 2002
Label

    
      Rule 23 Recordings"
Böhse Onkelz;Mutier mit mir;Dopamin;"Ich bringe dich dazu dich selbst zu lieben
Ich bringe dich dazu die Leere zu besiegen
Ich bringe dich dazu du selbst zu sein
Ich bin die Schulter an die du weinst
Ich lehre dich an dich zu glauben
Du musst aufhören vor dir wegzulaufen
Ich ebne dir den Weg
Ich zeige dir dass alles geht

Spürst du nicht
Dass du einzigartig bist
Siehst du nicht
Die Sonne scheint auch, die Sonne scheint auch für dich

Nimm meine Hand - lass Vergangenes sterben
Dies ist die Zeit neu geboren zu werden
Komm mit mir, komm mit mir
Nimm meine Hand - lass Vergangenes sterben
Dies ist die Zeit neu geboren zu werden
Mutier mit mir

Ich erwecke dich zu neuem Leben
Ich lehre dich nie aufzugeben
Hab keine Angst vor dem der du bist
Ich zeige dir die Welt wie sie wirklich ist
Ich bleibe bei dir ein Leben lang
Ich geb dir mehr als du es fühlen kannst
Ich ebne dir den Weg
Ich zeige dir dass alles geht

Der unerlässlich letzte Schritt
Bleibst du hier oder gehst du mit?

Nimm meine Hand - lass Vergangenes sterben
Dies ist die Zeit neu geboren zu werden
Komm mit mir, komm mit mir
Nimm meine Hand - lass Vergangenes sterben
Dies ist die Zeit neu geboren zu werden
Mutier mit mir

Dies ist der Anfang einer langen Reise
Leicht und atemlos
Dies ist der Weg aus dem Tal der Tränen
Nimm meine Hand und lass sie nie wieder los

Spürst du nicht
Dass du einzigartig bist
Siehst du nicht
Die Sonne scheint auch, die Sonne scheint auch für dich

Nimm meine Hand - lass Vergangenes sterben
Dies ist die Zeit neu geboren zu werden
Komm mit mir, komm mit mir
Nimm meine Hand - lass Vergangenes sterben
Dies ist die Zeit neu geboren zu werden
Mutier mit mir";https://genius.com/Bohse-onkelz-mutier-mit-mir-lyrics;"Released April 15, 2002
Label

    
      Rule 23 Recordings"
Böhse Onkelz;Keine Amnestie für MTV;Dopamin;"[Songtext zu „Keine Amnestie für MTV“]

[Strophe 1]
Die Industrie und ihre Helfer
Verkaufen euch für dumm
Sie servieren
Und ihr rührt die Scheiße um
Ich brauch' sie nicht
Und ich hab sie nie gebraucht
Ich scheiß auf MTV
Und auf die andern Sender auch

[Refrain]
Ich und meine Brüder ham'
Das Kriegsbeil ausgegraben
Wir können es uns leisten
Euch als Feinde zu haben
Feige und bestechlich
Und für das was sie sagen
Nicht bereit
Die Konsequenzen zu tragen
Deshalb keine Amnestie für MTV
Keine Amnestie für MTV

[Strophe 2]
Ich zeigte euch die Wahrheit
Doch die Wahrheit macht euch Angst
Angst vor der eigenen Courage?
Oder einfach Arroganz?
Auf der Suche nach Geld
Und dessen Trophäen
Fickt ihr euch durchs Leben
Und fickt die, die euch sehn

[Refrain]
Ich und meine Brüder ham'
Das Kriegsbeil ausgegraben
Wir können es uns leisten
Euch als Feinde zu haben
Feige und bestechlich
Und für das was sie sagen
Nicht bereit
Die Konsequenzen zu tragen

[Bridge]
Ich bin nicht euer Opfer
Ich bin euer Feind
Und ich hasse eure doof-naive
B-E-L-I-E-B-I-G-K-E-I-T
Gonzo!

[Refrain]
Ich und meine Brüder ham'
Das Kriegsbeil ausgegraben
Wir können es uns leisten
Euch als Feinde zu haben
Feige und bestechlich
Und für das was sie sagen
Nicht bereit
Die Konsequenzen zu tragen
Deshalb keine Amnestie für MTV
Keine Amnestie für MTV

[Outro]
Keine Amnestie für MTV
Keine Amnestie für MTV
Für MTV";https://genius.com/Bohse-onkelz-keine-amnestie-fur-mtv-lyrics;"Released April 15, 2002
Label

    
      Rule 23 Recordings"
Böhse Onkelz;Wie kann das sein;Dopamin;"Freier aus den Wohlstandsländern
Die durch Bangkok und Manila schlendern
Durch pädophiles Gebiet
Wie Scheiße die mit der Armut zieht

Kinder kriegen Kinder
Babys sind auf Crack
Mädchen auf dem Kinderstrich
Verkaufte Seelen unterm Neonlicht

Wie kann das sein?
Wie kann das geh'n?
Wie anteilslos können wir zur Tagesordnung übergeh'n?

Wie kann das sein?
Wie kann das geh'n?
Wie mitleidlos können wir zur Tagesordnung übergeh'n?

Pädophile Parasiten
Die sich an Kinder schmiegen
Sexualkannibalen
Die alles kriegen wofür sie zahlen

Sie beackern unverdrossen
Die von Elend bedeckten Gossen
Schleichend wie die Syphilis
Die sich hoffentlich bis durch ihre Hirne frisst";https://genius.com/Bohse-onkelz-wie-kann-das-sein-lyrics;"Released April 15, 2002
Label

    
      Rule 23 Recordings"
Böhse Onkelz;Nr. 1;Dopamin;"Ne schlechte Kindheit?
Zuwenig Liebe?
Lange nicht gefickt?
Das gibt 'ne schiefe Perspektive

Sei'n wir mal ganz ehrlich
Du lebst gefährlich
Und wie du weißt
Lügst du erbärmlich
Da bin ich ehrlich
Weißt du was das heißt?

Nr. 1
Du bist meine Nr. 1
Nr. 1
Auf meiner Hassliste ganz oben

Ich könnte es mir leisten dich zu lieben
Es war schön dich zu besiegen
Mitleid gibt's umsonst - mein Freund
Neid - muss man sich verdienen

Sein wir mal ganz ehrlich
Du lebst gefährlich
Und wie du weißt
Lügst du erbärmlich
Da bin ich ehrlich
Weißt du was das heißt?

Nr. 1
Du bist meine Nr. 1
Nr. 1
Auf meiner Hassliste ganz oben

Feinde für's Leben
Sowas kanns geben
Meine Konsequenz
Ich würde nicht mal auf dich pissen
Wenn du brennst

Nr. 1
Du bist meine Nr. 1

Nr. 1
Auf meiner Hassliste ganz oben

Ich muss sie nicht lieben die Humanoiden
Ich muss sie nicht lieben die Humanoiden";https://genius.com/Bohse-onkelz-nr-1-lyrics;"Released April 15, 2002
Label

    
      Rule 23 Recordings"
Böhse Onkelz;Stand der Dinge;Dopamin;"Das Licht geht aus
Alle gehen
Ich bleib zurück
Auf Wiederseh'n

Ich zieh' mein Resümee
Und beginne mit dem
Den ich im Spiegel seh'

Alle reden
Doch sagen nichts
Keiner weiß wovon er spricht

In diesen Tagen
Sind offenbar
Die Sterne nicht zum Greifen nah

Ich will hier raus
Ich will jetzt geh'n
Schon alles gefühlt
Schon alles gesehen
Schon alles gesehen
Schon alles gesehen
Schon alles gesehen

Der Stand der Dinge
Der Lauf der Zeit
Jetzt und in alle Ewigkeit
Die Spiegel werfen Stück für Stück
Jeden Tag dasselbe Bild zurück
Alles so wie's immer war
Tag für Tag
Jahr für Jahr
Nenn mir einen Ort
Nenn mir eine Zeit
Ich will es zurück - das Gefühl
(Gib mir das Gefühl zurück)
Von Schwerelosigkeit

Kalter seelenloser Regen
Es stinkt nach Tod
Mitten im Leben

Ich laufe
Doch ich komme
Nicht voran
Mein Herz treibt
Mich zum Untergang

Ich will hier raus
Ich will jetzt geh'n
Schon alles gefühlt
Schon alles gesehen
Schon alles gesehen
Schon alles gesehen
Schon alles gesehen

Der Stand der Dinge
Der Lauf der Zeit
Jetzt und in alle Ewigkeit
Die Spiegel werfen
Stück für Stück
Jeden Tag dasselbe
Bild zurück
Alles so wie's immer war
Tag für Tag
Jahr für Jahr
Nenn mir einen Ort
Nenn mir eine Zeit
Ich will es zurück - das Gefühl
(Gib mir das Gefühl zurück)
Von Schwerelosigkeit";https://genius.com/Bohse-onkelz-stand-der-dinge-lyrics;"Released April 15, 2002
Label

    
      Rule 23 Recordings"
Böhse Onkelz;Ich Weiß Wo Du Wohnst;Dopamin;"Ich wünsche mir ich könnte fliehen
Einfach weg ganz ohne Ziel
Bevor der Wind sich dreht
Es ist noch nicht zu spät!
Jetzt oder nie  Ich verlasse diesen Ort!
Jetzt oder nie  Ich gehe einfach von hier fort!
Jetzt oder nie  Eine Stimme spricht zu mir!
Jetzt oder nie  Ich bin schon viel zu lange hier!
Ich bewege mich jeden Tag
Zwei Meter über meinem Grab
Sag mir was soll ich hier?
Wenn die Worte ihren Sinn verlieren...
Jetzt oder nie  Ich verlasse diesen Ort!
Jetzt oder nie  Ich gehe einfach von hier fort!
Jetzt oder nie  Eine Stimme spricht zu mir!
Jetzt oder nie  Ich bin schon viel zu lange hier!";https://genius.com/Bohse-onkelz-ich-wei-wo-du-wohnst-lyrics;"Released April 15, 2002
Label

    
      Rule 23 Recordings"
Böhse Onkelz;Keine Zeit;Dopamin;"Warum so traurig schönes Kind?
Macht dein Leben keinen Sinn?
Sind die Instinkte noch nicht wach?
Ist dein Wille noch zu schwach?

Willst du Licht in Dunkelheit?
Den Triumph über die Zeit
Trink mit mir den Wein
Den Wein des Losgerissenseins

Keine Zeit
Keine Zeit - für die Wirklichkeit
Keine Zeit - dein Leben zieht an dir vorbei

Sieh was der Tag dir bringt
Welches Lied er für dich singt
Es ist für dich bestimmt

Der Tag ist für dich vorgeseh'n
Lass ihn nicht vorübergeh'n
Er kann dir alles geben
Die beste Zeit in deinem Leben

Die Zeit vergeht wie im Flug
Sie kriegt nie genug
Sie ist nur das
Nur das was du daraus machst

Nichts ist vorhersehbar
Du lebst auf eigene Gefahr
Eine Kampfansage
Bis ans Ende deiner Tage

Keine Zeit
Keine Zeit - für die Wirklichkeit
Keine Zeit - dein Leben zieht an dir vorbei

Sieh was der Tag dir bringt
Welches Lied er für dich singt
Es ist für dich bestimmt

Der Tag ist für dich vorgeseh'n
Lass ihn nicht vorübergeh'n
Er kann dir alles geben
Die beste Zeit in deinem Leben

Ein sorgenfreies Leben
Wird es für dich nicht geben
Ganz gleich ob es uns gefällt
Jeder Tag ist die Begegnung mit uns selbst

Der Tag ist dir geweiht
Verschwende keine Zeit
Lebe jetzt und hier
Und begrab ihn tief in dir

Keine Zeit
Keine Zeit - für die Wirklichkeit
Keine Zeit - dein Leben zieht an dir vorbei

Sieh was der Tag dir bringt
Welches Lied er für dich singt
Es ist für dich bestimmt";https://genius.com/Bohse-onkelz-keine-zeit-lyrics;"Released April 15, 2002
Label

    
      Rule 23 Recordings"
