artist;title;album;text;url;metadata
Böhse Onkelz;Danket dem Herrn;E i n s;"[Strophe 1]
Danket dem Herrn, euer Elend geht zu Ende
Das Warten ist vorbei, jetzt wackeln die Wände
Ja, hier ist Kevin, eure Stimme aus der Gosse
Der wandelnde Wahnsinn mit Worten wie Geschosse
Wir bringen's auf den Punkt, sagen, was sich keiner traut
Gegen alle Regeln, es wird Zeit, dass ihr das glaubt
Wir sind der Stachel im Arsch der Nation
Glorreiche Halunken, nichts bleibt von uns verschont

[Refrain]
Mit dieser Band hast du nicht viele Freunde
Doch die, die du hast, teilen deine Träume
Die, die du hast, teilen alles mit dir

[Strophe 2]
Uns liegt das Herz auf der Zunge und hier sind die Beweise
Wir sind duftende Blumen in Feldern voll Scheiße
Hier sind Perlen für die Säue, Angst für unsere Feinde
Tröstende Worte, wenn es sein muss auch gemeine
Hier ist das rettende Ufer, euer heiliger Hafen
Der Strohhalm für Ertrinkende, Koks für die, die schlafen
Geschenke für Verzweifelte, Lebenselixier
Entartete Kunst, von den fantastischen Vier

[Refrain]
Mit dieser Band hast du nicht viele Freunde
Doch die, die du hast, teilen deine Träume
Die, die du hast, teilen alles mit dir

[Solo]

[Refrain]
Mit dieser Band hast du nicht viele Freunde
Doch die, die du hast, teilen deine Träume
Die, die du hast, teilen alles mit dir

[Refrain]
Mit dieser Band hast du nicht viele Freunde
Doch die, die du hast, teilen deine Träume
Die, die du hast, teilen alles mit dir
Die, die du hast, teilen alles mit dir";https://genius.com/Bohse-onkelz-danket-dem-herrn-lyrics;"Released October 23, 1996
Photography

    
      Sigi Lustenberger
Artwork

    
      Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Bass

    
      Stephan Weidner
Composer

    
      Matthias Röhr & Stephan Weidner
Drums

    
      Peter Schorowsky
Engineer

    
      Michael Mainx"
Böhse Onkelz;Nichts ist so hart wie das Leben;E i n s;"[Strophe 1]
Courage heißt alles zu riskier'n
Alles zu setzen und vielleicht alles verlier'n
Doch bist du bereit und setzt dein Ansehen aufs Spiel
Wirst du mit Scheiße überhäuft und kannst nicht davor flieh'n

[Refrain]
Nichts ist so hart wie das Leben
Wenn man sagt, was man denkt muss man mehr als alles geben
Was hast Du Arschloch schon jemals riskiert?
Ich meine nicht dein Leben
Nein, was sich lohnt zu verlier'n

[Strophe 2]
Denn wenn du stirbst ist eh alles vorbei
Der Tod hat keine Konsequenzen, mach dir keine Scherereien
Gradewegs in Himmel und alles ist in Butter
Vielleicht ein paar Tränen deiner trauernden Mutter

[Refrain]
Nichts ist so hart wie das Leben
Wenn man sagt, was man denkt muss man mehr als alles geben
Was hast Du Arschloch schon jemals riskiert?
Ich meine nicht dein Leben
Nein, was sich lohnt zu verlier'n

[Solo]

[Refrain]
Nichts ist so hart wie das Leben
Wenn man sagt, was man denkt muss man mehr als alles geben
Was hast Du Arschloch schon jemals riskiert?
Ich meine nicht dein Leben
Nein, was sich lohnt zu verlier'n

[Strophe 3]
Trenne dich von allem, es ist gar nicht so schwer
Von deinen Vorurteilen sowieso, sie sind am wenigsten wert
Denn Courage heißt, alles zu riskier'n
Alles zu setzen, vielleicht alles verlier'n

[Refrain]
Nichts ist so hart wie das Leben
Wenn man sagt, was man denkt muss man mehr als alles geben
Was hast Du Arschloch schon jemals riskiert?
Ich meine nicht dein Leben
Nein, was sich lohnt zu verlier'n

[Refrain]
Nichts ist so hart wie das Leben
Wenn man sagt, was man denkt muss man mehr als alles geben
Was hast Du Arschloch schon jemals riskiert?
Ich meine nicht dein Leben
Nein, was sich lohnt zu verlier'n";https://genius.com/Bohse-onkelz-nichts-ist-so-hart-wie-das-leben-lyrics;"Released October 23, 1996
Photography

    
      Sigi Lustenberger
Artwork

    
      Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Bass

    
      Stephan Weidner
Composer

    
      Matthias Röhr & Stephan Weidner
Drums

    
      Peter Schorowsky
Engineer

    
      Michael Mainx"
Böhse Onkelz;Wie tief willst Du noch sinken;E i n s;"[Strophe 1]
Dein Geist ist schwach, du verlierst deine Macht
Dein letztes bisschen Ehre, alles was du hast
Ich zünd' 'ne Kerze für dich an, vielleicht erhellt sie deinen Geist
Vielleicht zeigt sie dir Dinge, von denen du nichts weißt

[Refrain]
Wie tief willst du noch sinken?
Wie lange Dich belügen?
Wie viele Tode willst du sterben?
Wie oft dich selbst betrügen?
Ja, diese Worte sind krass
Verletzend und laut
Doch nur wenn man schreit
Weckt man Tote auf, Tote auf

[Strophe 2]
Du unterwirfst dich den Großen und trittst nach den Kleinen
Du benimmst Dich wie Scheiße auf zwei Beinen
Man, musst Du ein Arschloch sein? Ich weiß nicht was noch
Ein Arschloch so groß wie ein verdammtes schwarzes Loch

[Refrain]
Wie tief willst du noch sinken?
Wie lange Dich belügen?
Wie viele Tode willst du sterben?
Wie oft dich selbst betrügen?
Ja, diese Worte sind krass
Verletzend und laut
Doch nur wenn man schreit
Weckt man Tote auf, Tote auf

[Solo]

[Refrain]
Wie tief willst du noch sinken?
Wie lange Dich belügen?
Wie viele Tode willst du sterben?
Wie oft dich selbst betrügen?
Ja, diese Worte sind krass
Verletzend und laut
Doch nur wenn man schreit
Weckt man Tote auf, Tote auf

[Outro]
Schlafe weiter deinen traumlosen Schlaf";https://genius.com/Bohse-onkelz-wie-tief-willst-du-noch-sinken-lyrics;"Released October 23, 1996
Photography

    
      Sigi Lustenberger
Artwork

    
      Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Bass

    
      Stephan Weidner
Composer

    
      Matthias Röhr & Stephan Weidner
Drums

    
      Peter Schorowsky
Engineer

    
      Michael Mainx"
Böhse Onkelz;Ihr sollt den Tag nicht vor dem Abend loben;E i n s;"[Intro]
Schöne Grüße nach Düsseldorf und Berlin

[Strophe 1]
Wir hab'n lange überlegt ob wir reagier'nSollen wir schweigen? Sollen wir euch ignorieren?Doch da wir sowieso dabei sind uns mit allen anzulegenKommt das, was wir von euch hören gerade gelegen
Ihr wart immer schon kacke, schon immer zu weich
Und eure Pseudomoral erkannten wir gleich
Ihr spuckt ganz schön große Töne, könnt ihr euch das leisten?
Was wolltet Ihr damit bezwecken? Was beweisen?

[Refrain]
Opium fürs Volk, Scheiße für die Massen
Ja, ihr habt es geschafft, ich beginne euch zu hassen
Wenn ich so etwas sage ist es nicht gelogen
Ihr sollt den Tag nicht vor dem Abend loben

[Strophe 2]
Ich dachte erst noch: „Leckt mich“, doch ihr habt es übertriebenIhr habt zu viel geredet und beschissenen Lieder geschrieben
Wer nicht hören will, muss fühlen. Ihr habt zu lange provoziert
Zu viel Scheiße erzählt und nichts kapiert
Legt euch nicht mit uns an, denn wir führen wahren Krieg
Gegen Lügen und Dummheit und das macht uns nicht beliebt
Doch im Gegensatz zu euch kann uns nichts passier'n
Denn wer keine Sympathie hat, kann sie auch nicht verlier'n

[Refrain]
Opium fürs Volk, Scheiße für die Massen
Ja, ihr habt es geschafft, ich beginne euch zu hassen
Wenn ich so etwas sage ist es nicht gelogen
Ihr sollt den Tag nicht vor dem Abend loben

[Solo]

[Refrain]
Opium fürs Volk, Scheiße für die Massen
Ja, ihr habt es geschafft, ich beginne euch zu hassen
Wenn ich so etwas sage ist es nicht gelogen
Ihr sollt den Tag nicht vor dem Abend loben

[Strophe 3]
Ganz anders als ihr sind wir Stress gewohnt
Wir suhlen uns darin, nur so fühl'n wir uns wohl
Genug geredet, nur eins will ich euch noch sagen:
Wenn ihr, wenn ihr Ärger wollt, den könnt ihr haben

[Refrain]
Opium fürs Volk, Scheiße für die Massen
Ja, ihr habt es geschafft, ich beginne euch zu hassen
Wenn ich so etwas sage ist es nicht gelogen
Ihr sollt den Tag nicht vor dem Abend loben

[Outro]
Opium fürs Volk, Scheiße für die Massen
Ja, ihr habt es geschafft, ich beginne euch zu hassen
Wenn ich so etwas sage ist es nicht gelogen";https://genius.com/Bohse-onkelz-ihr-sollt-den-tag-nicht-vor-dem-abend-loben-lyrics;"Released October 23, 1996
Photography

    
      Sigi Lustenberger
Artwork

    
      Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Bass

    
      Stephan Weidner
Composer

    
      Matthias Röhr & Stephan Weidner
Drums

    
      Peter Schorowsky
Engineer

    
      Michael Mainx"
Böhse Onkelz;Zu nah an der Wahrheit;E i n s;"[Strophe 1]
Wir kennen uns nicht, doch wir sind uns vertraut
Irgendwie seelenverwandt, auch wenn du's nicht glaubst
Vielleicht stehe ich vor dir und du erkennst mich nicht
Spielt das eine Rolle? Wir sahen ins gleiche Licht

[Pre-Refrain 1]
Wir sind wie du, glaub' es oder nicht
Früher oder später kriegen wir auch dich

[Refrain]
Wir sind zu, zu nah an der Wahrheit
Zu nah am Leben
Zu penetrant um ignoriert zu werden
Uns hört man nicht so nebenbei
Wir wollen alles oder nichts
Wir fordern dich heraus
Sieh der Wahrheit ins Gesicht

[Strophe 2]
Diese Band hat etwas Magisches, sie zog mich in ihren Bann
Und so wie es mir selbst ging geht es jedem irgendwann
Sie ist wie ein Virus und bist du erst infiziert
Wird alles andere egal und es lebt sich ungeniert

[Pre-Refrain 2]
Sie ist unser Schicksal, wo wäre ich ohne sie?
Wo wärst du in diesem Rennen ohne Ziel?

[Refrain]
Wir sind zu, zu nah an der Wahrheit
Zu nah am Leben
Zu penetrant um ignoriert zu werden
Uns hört man nicht so nebenbei
Wir wollen alles oder nichts
Wir fordern dich heraus
Sieh der Wahrheit ins Gesicht

[Solo]

[Strophe 3]
Sie ist ein magisches Theater, Futter für die Seele
Etwas, das mich antreibt, vielleicht der Grund, warum ich lebe
Gibt es etwas Schöneres, als diese Lieder zu teilen
Sie gemeinsam zu erleben, zusammen lachen und weinen?

[Pre-Refrain 1]
Wir sind wie du, glaub' es oder nicht
Früher oder später kriegen wir auch dich

[Refrain]
Wir sind zu, zu nah an der Wahrheit
Zu nah am Leben
Zu penetrant um ignoriert zu werden
Uns hört man nicht so nebenbei
Wir wollen alles oder nichts
Wir fordern dich heraus
Sieh der Wahrheit ins Gesicht

[Refrain]
Wir sind zu, zu nah an der Wahrheit
Zu nah am Leben
Zu penetrant um ignoriert zu werden
Uns hört man nicht so nebenbei
Wir wollen alles oder nichts
Wir fordern dich heraus
Sieh der Wahrheit ins Gesicht";https://genius.com/Bohse-onkelz-zu-nah-an-der-wahrheit-lyrics;"Released October 23, 1996
Photography

    
      Sigi Lustenberger
Artwork

    
      Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Bass

    
      Stephan Weidner
Composer

    
      Matthias Röhr & Stephan Weidner
Drums

    
      Peter Schorowsky
Engineer

    
      Michael Mainx"
Böhse Onkelz;Meister der Lügen;E i n s;"[Strophe 1]
Ich schätze die Mühe, die du dir machst
Um mich zu bekämpfen, auch wenn du's nicht schaffst
Es ist leider zu spät, du wirst mich nicht los
Vergeblich deine Mühe, ich bin schon zu groß

[Refrain]
Doch ich bin wirklich gespannt was du noch inszenierst
Welche Lügen du erfindest, wie du noch manipulierst
Meister der Lügen, du verkanntes Genie
Merk' dir eins, merk' dir eins
Ein Onkel, ein Onkel fügt sich nie

[Strophe 2]
Du hast dich überschätzt, dich und deine Macht
Jetzt bin ich es, ich, der über dich lacht
Ich bin sonst nicht so gehässig, doch ich muss dir gesteh'n
Es ist ein geiles Gefühl dich am Boden zu seh'n

[Refrain]
Doch ich bin wirklich gespannt was du noch inszenierst
Welche Lügen du erfindest, wie du noch manipulierst
Meister der Lügen, du verkanntes Genie
Merk' dir eins, merk' dir eins
Ein Onkel, ein Onkel fügt sich nie

[Solo]

[Refrain]
Ich bin wirklich gespannt was du noch inszenierst
Welche Lügen du erfindest, wie du noch manipulierst
Meister der Lügen, du verkanntes Genie
Merk' dir eins, merk' dir eins
Ein Onkel, ein Onkel fügt sich nie

[Strophe 3]
Du hast dich nie informiert, nie deinen Auftrag erfüllt
Mich mit Scheiße beschmiert, immer als erster gebrüllt
Doch ich bin zäher, als du dachtest, ich gedeihe im Dreck
Ich bin härter als hart, mich wischt man nicht weg

[Refrain]
Doch ich bin wirklich gespannt was du noch inszenierst
Welche Lügen du erfindest, wie du noch manipulierst
Meister der Lügen, du verkanntes Genie
Merk' dir eins, merk' dir eins
Ein Onkel, ein Onkel fügt sich nie";https://genius.com/Bohse-onkelz-meister-der-lugen-lyrics;"Released October 23, 1996
Photography

    
      Sigi Lustenberger
Artwork

    
      Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Bass

    
      Stephan Weidner
Composer

    
      Matthias Röhr & Stephan Weidner
Drums

    
      Peter Schorowsky
Engineer

    
      Michael Mainx"
Böhse Onkelz;Kirche;E i n s;"[Strophe 1]
Du bezahlst für ihren Segen, für die Angst vor dem Tod
Dein Geld hält sie am Leben, gibt ihnen ihr täglich Brot
Du hängst an ihren Lippen und du glaubst, dass du sie brauchst
Dann klammer dich an sie, bis du verfaulst

[Pre-Refrain 1]
Bis du verfaulst, bis du verfaulst
Bis du verfaulst, bis du verfaulst

[Refrain 1]
Ich scheiße auf die Kirche, ihren Papst und seinen Segen
Ich brauch' ihn nicht als Krücke, ich kann alleine leben
Falls du das nicht kannst, ja, falls du ihn brauchst
Werde mit ihm glücklich, doch zwing mir nicht deinen Glauben auf

[Strophe 2]
Zensur und Moralismus ist alles, was sie bringt
Eine halbe Erlösung, der Himmel stinkt
Und Du willst für sie sterben in ihrem Namen
Für die Kirche, für ein Amen

[Pre-Refrain 2]
Für ein Amen, für ein Amen
Für ein Amen, für ein Amen

[Refrain 2]
Ich pisse auf den Papst und seine römische Zentrale
Auf den Vatikan und seine Sklaven
Ich glaube nicht an eure Worte, ich bin doch nicht bekloppt
Denn wer keine Angst vorm Teufel hat, braucht auch keinen Gott

[Solo]

[Refrain 1]
Ich scheiße auf die Kirche, ihren Papst und seinen Segen
Ich brauch' ihn nicht als Krücke, ich kann alleine leben
Falls du das nicht kannst, ja, falls du ihn brauchst
Werde mit ihm glücklich, doch zwing mir nicht deinen Glauben auf

[Refrain 2]
Ich pisse auf den Papst und seine römische Zentrale
Auf den Vatikan und seine Sklaven
Ich glaube nicht an eure Worte, ich bin doch nicht bekloppt
Denn wer keine Angst vorm Teufel hat, braucht auch keinen Gott

[Post-Refrain]
Braucht auch keinen Gott
Braucht auch keinen Gott
Du bezahlst für ihren Segen
Braucht auch keinen Gott
Du bezahlst für ihren Segen
Braucht auch keinen Gott
Du bezahlst für ihren Segen
Braucht auch keinen Gott
Du bezahlst für ihren Segen

[Outro]
Wer keine Angst vorm Teufel hat
Braucht auch keinen Gott";https://genius.com/Bohse-onkelz-kirche-lyrics;"Released October 23, 1996
Photography

    
      Sigi Lustenberger
Artwork

    
      Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Bass

    
      Stephan Weidner
Composer

    
      Matthias Röhr & Stephan Weidner
Drums

    
      Peter Schorowsky
Engineer

    
      Michael Mainx"
Böhse Onkelz;Flammen;E i n s;"[Strophe 1]
Ich ging auf schmalen Pfaden, bewegte mich auf dünnem Eis
Ich ging dahin, wo es weh tut, nichts war mir zu heiß
Es war schon immer ein besonderer Kick Verbotenes zu tun
Gesetze sind zum Brechen da dachte ich und gab mein'n Senf dazu, hey

[Refrain]
Ich stand in Flammen, nichts war mir zu extrem
Kein Luftschloß groß genug, kein Mädchen zu schön
Ja, ich, ich stand in Flammen, nichts war mir zu extrem
Kein Luftschloß groß genug, kein Mädchen zu schön, hey

[Strophe 2]
Was man nicht durfte reizte mich noch mehr
Am Rande der Gesellschaft lebt sich's unbeschwert
Übermut tut selten gut, heute weiß ich, was das heißt
Damals war's mir scheißegal, also zahlte ich, zahlte ich den Preis

[Refrain]
Ich stand in Flammen, nichts war mir zu extrem
Kein Luftschloß groß genug, kein Mädchen zu schön
Ja, ich, ich stand in Flammen, nichts war mir zu extrem
Kein Luftschloß groß genug, kein Mädchen zu schön, hey

[Solo]

[Strophe 3]
Ich hatte Großes vor, ich spielte mit dem Feuer
Und ich verbrannte tausendmal, denn guter Rat war teuer
Alles war so leicht, nur ich wusste nicht mal was
Irgendwas trieb mich voran, manchmal Liebe, manchmal Hass

[Refrain]
Ich stand in Flammen, nichts war mir zu extrem
Kein Luftschloß groß genug, kein Mädchen zu schön
Ja, ich, ich stand in Flammen, nichts war mir zu extrem
Kein Luftschloß groß genug, kein Mädchen zu schön, hey";https://genius.com/Bohse-onkelz-flammen-lyrics;"Released October 23, 1996
Photography

    
      Sigi Lustenberger
Artwork

    
      Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Bass

    
      Stephan Weidner
Composer

    
      Matthias Röhr & Stephan Weidner
Drums

    
      Peter Schorowsky
Engineer

    
      Michael Mainx"
Böhse Onkelz;Koma - Eine Nacht, die niemals endet;E i n s;"[Strophe 1]
Eine nächtliche Parade ungebetener Bilder
Eine Nacht, die niemals endet, ich gleite davon
Eine einsame Leere jenseits von SchmerzVon Kummer und Worten, umklammert mein Herz

[Pre-Refrain 1]
Ich gehe durch die TürDurch die Tür, die ins Alleinsein führt

[Refrain]
Ich sinke ins Nichts, in endlose Leere
Nur dunkles Geheimnis, erdrückende Schwere
Ich träume wahnsinnige Träume von Gnade und verzeih'n
Erhabene Momente für die Ewigkeit

[Strophe 1]
Ich sehe Fetzen meines Lebens, Fragmente meines Seins
Wie Messer, die mein Herz durchbohren. stummes Schreien
Hier gibt es keine Namen, ich weiß nicht, wer ich bin
Alles von Bedeutung verliert seinen Sinn

[Pre-Refrain 2]
Ich falle immer tiefer, immer tiefer in den Traum

[Refrain]
Ich sinke ins Nichts, in endlose Leere
Nur dunkles Geheimnis, erdrückende Schwere
Ich träume wahnsinnige Träume von Gnade und verzeih'n
Erhabene Momente für die Ewigkeit
Für die Ewigkeit

[Solo]

[Refrain]
Ich sinke ins Nichts, in endlose Leere
Nur dunkles Geheimnis, erdrückende Schwere
Ich träume wahnsinnige Träume von Gnade und verzeih'n
Erhabene Momente für die Ewigkeit

[Refrain]
Ich sinke ins Nichts, in endlose Leere
Nur dunkles Geheimnis, erdrückende Schwere
Ich träume wahnsinnige Träume von Gnade und verzeih'n
Erhabene Momente für die Ewigkeit
Für die Ewigkeit";https://genius.com/Bohse-onkelz-koma-eine-nacht-die-niemals-endet-lyrics;"Released October 23, 1996
Photography

    
      Sigi Lustenberger
Artwork

    
      Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Bass

    
      Stephan Weidner
Composer

    
      Matthias Röhr & Stephan Weidner
Drums

    
      Peter Schorowsky
Engineer

    
      Michael Mainx"
Böhse Onkelz;Auf gute Freunde;E i n s;"[Strophe 1]
Verschüttete Träume, Bilder aus alten Tagen
Vom Wahnsinn, den ich lebte und was sie mir heute sagen
Ich schlief zu wenig und ich trank zuviel
Die Schmerzen im Kopf war'n ein vertrautes Gefühl

[Refrain]
Ich trinke auf
Auf gute Freunde, verlorene Liebe
Auf alte Götter und auf neue Ziele
Auf den ganz normalen Wahnsinn
Auf das, was einmal war
Darauf, dass alles endet
Und auf ein neues Jahr
Auf ein neues Jahr

[Strophe 2]
Blutige Küsse, bittere Pillen
Vom Schicksal geficktund immer drei Promille
Ich war Teil der Lösung und mein größtes Problem
Ich stand vor mir und konnte mich nicht seh'n

[Refrain]
Ich trinke auf
Auf gute Freunde, verlorene Liebe
Auf alte Götter und auf neue Ziele
Auf den ganz normalen Wahnsinn
Auf das, was einmal war
Darauf, dass alles endet
Und auf ein neues Jahr
Auf ein neues Jahr

[Strophe 3]
Das Gras war grüner, die Linien schneller
Der Reiz war größer und die Nächte waren länger
Alles Geschichte und ich bin froh, dass es so istOder glaubst du, es ist schön, wenn man Scheiße frisst?

[Gitarrensolo]

[Strophe 4]
Alles nur Splitter im Treibsand meiner Seele
Nur wenige Momente in einem Leben
Ich höre himmlisches Gelächter
Wenn ich d'ran denke, wie ich war
An das Rätsel, das ich lebte
Und den Gott, den ich nicht sah

[Refrain]
Ich trinke auf
Auf gute Freunde, verlorene Liebe
Auf alte Götter und auf neue Ziele
Auf den ganz normalen Wahnsinn
Auf das, was einmal war
Darauf, dass alles endet
Und auf ein neues Jahr
Auf ein neues Jahr

[Refrain]
Ich trinke auf
Auf gute Freunde, verlorene Liebe
Auf alte Götter und auf neue Ziele
Auf den ganz normalen Wahnsinn
Auf das, was einmal war
Darauf, dass alles endet
Und auf ein neues Jahr
Auf ein neues Jahr";https://genius.com/Bohse-onkelz-auf-gute-freunde-lyrics;"Released October 23, 1996
Photography

    
      Sigi Lustenberger
Artwork

    
      Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Bass

    
      Stephan Weidner
Composer

    
      Matthias Röhr & Stephan Weidner
Drums

    
      Peter Schorowsky
Engineer

    
      Michael Mainx"
