artist,title,album,text,url,metadata
Böhse Onkelz,Onkelz 2000,Ein boses marchen aus tausend finsteren nachten,"Ein böses Märchen aus
Tausend finsteren Nächten
Ein wildes leben im
Bund mit dunklen Mächten

Könige des Pathos
Radikale Humanisten
Hoffnungslose Außenseiter
Idealisten

Hysterie und Hexenjagd
Und trotzdem Nummer eins
Das Leben meint es gut mit uns
Und das war der Beweis

Für diesen armen Planeten
Scheint Hoffnung zu bestehen
Manche Dinge sind wahr
Auch wenn wir sie nicht seh'n

Das Drama beginnt
Gottverdammt erschreckend
Köpfe werden rollen
Und niemand, niemand kann sich retten

Das ist der Punkt
Vor dem Dich alle warnen
Wir schießen Wahrheit
Durch Deine Membrane
Das ist - so klar wie Wodka
Du findest uns ganz oben
Wir leben ohne Rücksicht
Auf Konventionen

Wir verachten den Tod
Sind ewig unterwegs
Kämpfen rituelle Kämpfe
Die niemand versteht

Alles schwer zu ertragen
Doch rufst Du unseren Namen
Zeigen wir Dir den Weg
Der Deinen Namen trägt

Das Drama beginnt
Gottverdammt erschreckend
Köpfe werden rollen
Und niemand, niemand kann sich retten

Das ist der Punkt
Vor dem Dich alle warnen
Wir schießen Wahrheit
Durch Deine Membrane
Das ist - so klar wie Wodka
Du findest uns ganz oben
Wir leben ohne Rücksicht
Auf Konventionen

Das Drama beginnt
Gottverdammt erschreckend
Köpfe werden rollen
Und niemand, niemand kann sich retten

Das ist der Punkt
Vor dem Dich alle warnen
Wir schießen Wahrheit
Durch Deine Membrane
Das ist - so klar wie Wodka
Du findest uns ganz oben
Wir leben ohne Rücksicht
Auf Konventionen

Das ist der Punkt
Vor dem Dich alle warnen
Wir schießen Wahrheit
Durch Deine Membrane
Das ist - so klar wie Wodka
Du findest uns ganz oben
Wir leben ohne Rücksicht
Auf Konventionen",https://genius.com/Bohse-onkelz-onkelz-2000-lyrics,"Released March 20, 2000
Label

    
      Rule 23 Recordings
Writers

    
      Stephan Weidner"
Böhse Onkelz,Dunkler Ort,Ein boses marchen aus tausend finsteren nachten,"Jeden Tag
Treten Menschen in mein Leben
Und wieder raus
Ich habe aufgehört zu zählen

Wir begrüßen uns mit Floskeln
Übersähen uns mit Spott
Belegen uns mit Dogmen
Doch richten kann nur Gott

(2x)
Dies ist ein dunkler Ort
Weil Du ihn dazu machst
Dies ist ein dunkler Ort
Und Du hast ihn erdacht

Wir warten auf den Tod
Verschwenden unsere Zeit
Tun was man von uns erwartet
Zahlen den Preis für unsere Feigheit

Die Tage ziehen vorbei
Wir scheißen und fressen
Unsere Zimmer sind Särge
Geld hilft uns zu vergessen

(2x)
Dies ist ein dunkler Ort
Weil Du ihn dazu machst
Dies ist ein dunkler Ort
Und Du hast ihn erdacht

Wir leben unbedeutende Leben
Und bewirken nichts
Dich verschluckt das Vergessen
Und niemand erinnert sich an Dich

(2x)
Dies ist ein dunkler Ort
Weil Du ihn dazu machst
Dies ist ein dunkler Ort
Und Du hast ihn erdacht",https://genius.com/Bohse-onkelz-dunkler-ort-lyrics,"Released March 20, 2000
Label

    
      Rule 23 Recordings
Writers

    
      Stephan Weidner"
Böhse Onkelz,Exitus,Ein boses marchen aus tausend finsteren nachten,"Ein Leben für den Tod
Geboren um zu sterben
Lämmer für die Schlachtbank
Namenlose Herden

Zu bieder
Um Sünden zu begehen
Viel zu kraftlos
Um unseren Weg zu gehen

Exitus - mein Freund
Da gibt es nichts zu lachen
Das sind schlechte Zeiten
Und Zwerge werfen lange Schatten

Viel zu feige
Die Moral zu untergraben
Ohne Glaube
Und ohne Ideale

Gesengter Blick
Gebeugter Gang
Dem Schicksal ergeben
Ein Leben lang

Ihr seid engstirnige heuchlerische
Weiße Christen
Scharlatane, Pickelfressen
Marionetten und Statisten",https://genius.com/Bohse-onkelz-exitus-lyrics,"Released March 20, 2000
Label

    
      Rule 23 Recordings
Writers

    
      Stephan Weidner"
Böhse Onkelz,Schutzgeist der Scheisse,Ein boses marchen aus tausend finsteren nachten,"Innerlich zerrissen
So hieß der Ort an dem ich war
Es war Dienstag
Wie jeden Tag
Es war Winter
Ohne Eis und Schnee
Nur in mir
Niemand sonst kann es sehn

Jahre fallen herab
Wie das Laub von den Bäumen
Bin ich der Schutzgeist der Scheiße
Verloren in Träumen
Ich versuchte zu lächeln
Mich nicht zu ergeben
Deprimiert und ernüchtert
Wie noch nie in meinem Leben

Chor:
Die letzte Flasche ist leer
Und jetzt fiel der Regen
Ich stehe auf
Meinem Schicksal entgegen
Ich lasse alles zurück
Alles und jeden
Und beginne die Suche
Nach einem neuen Leben

Eiternde Gedanken
Laden ein zum Verweilen
Wie offene Wunden
Die nicht verheilen
Die Vision die ich hatte
Liegt in Scherben auf dem Boden
Verrottet wie ein Leichnam
Sie hat mich belogen

Chor:
Die letzte Flasche ist leer
Und jetzt fiel der Regen
Ich stehe auf
Meinem Schicksal entgegen
Ich lasse alles zurück
Alles und jeden
Und beginne die Suche
Nach einem neuen Leben",https://genius.com/Bohse-onkelz-schutzgeist-der-scheisse-lyrics,"Released March 20, 2000
Label

    
      Rule 23 Recordings
Writers

    
      Stephan Weidner"
Böhse Onkelz,Lüge,Ein boses marchen aus tausend finsteren nachten,"Ihr habt euch der Lüge verschrieben
Ihr kuschelt euch an sie
Esst von ihrem Teller
Wie Kotze irgendwie

Ihr küsst ihr den Arsch
Kniet vor ihr nieder
Betet sie an
Singt ihre Lieder
Singt ihre Lieder

Schließt sie in eure Arme
Bis sie euch verrät
Durchschaust Du ihre Maskerade
Ist es zu spät

Sie ist die Königin der Jauche
Von Schleim und Scheiße
Ihre Liebe ist Gift
Und Du ihre Geisel
Ihre Geisel

Wenn der Glaube stirbt
Bist Du ein Mensch ohne Herr
Die Wahrheit ist wortlos
Ihr Weg tränenschwer

Sie will ein Opfer
Du liegst auf ihrem Altar
Deine schlaflosen Nächte
Sind ihr Honorar

Sie triumphiert
Wie es ihr beliebt
Ihr stinkender Atem
Ist das letzte was Du riechst
Was Du riechst

Wenn der Glaube stirbt
Bist Du ein Mensch ohne Herr
Die Wahrheit ist wortlos
Ihr Weg tränenschwer
Tränenschwer

Wenn der Glaube stirbt
Bist Du ein Mensch ohne Herr
Die Wahrheit ist wortlos
Ihr Weg tränenschwer

Wenn der Glaube stirbt
Bist Du ein Mensch ohne Herr
Die Wahrheit ist wortlos
Ihr Weg tränenschwer",https://genius.com/Bohse-onkelz-luge-lyrics,"Released March 20, 2000
Label

    
      Rule 23 Recordings
Writers

    
      Stephan Weidner"
Böhse Onkelz,Knast,Ein boses marchen aus tausend finsteren nachten,"Ich ging zu weitVon Verzweiflung getrieben
Die Geschichte meines Lebens
Wird im Knast weiter geschrieben

Die Stimmen meiner Richter
Heilloses Gekreische
8 Jahre Bau
Sie setzten ein Zeichen

Wohin gehen meine Träume
Wohin mein Weg
Ist jemand da
Der zu mir hält

Ich dachte an alles
An alles was ich sah
An mein bisheriges Leben
Hörte jedes Wort noch mal

Dann qualvolle Stille
Ich verbrenne
Keine Hoffnung
Kein Seil zum Erhängen

Du hast Dich verloren
Im Niemandsland
Leere ist nichts
Was man teilen kann

Meine Welt ist aus Mauern
Die Tage schmecken bitter
Mein Geist ist frei
Mein Körper hinter Gittern",https://genius.com/Bohse-onkelz-knast-lyrics,"Released March 20, 2000
Label

    
      Rule 23 Recordings
Writers

    
      Stephan Weidner"
Böhse Onkelz,C´est La Vie,Ein boses marchen aus tausend finsteren nachten,"Dein Tag beginnt beschissen
Kein Geld aber Hunger
Du klaust oder dealst
Schiebst mit pädophilen 'ne Nummer

Wie Scheiße am Straßenrand
Wie 'ne ausgetretene Kippe
Vom Kuß der Verzweiflung
Ein Brennen auf dem Lippen

Die Würfel sind gefallenC'est la vieDer Zug ist abgefahr'n
Den Weg zurück - findest Du nie

Du lebst da
Wo die Sonne niemals scheint
Im Land vergebener Chancen
Wo niemand um Dich weint

Auf der Suche nach dem Weg
Den Himmel zu seh'n
Nach Drogen die Dir helfen
Den Tag zu übersteh'n

An Dramen herrscht kein Mangel
An allem anderen schon
Die Tür ist verriegelt
Hier ist Endstation

Tiefe Narben im Herz
In Herz und Gemüt
Du bist unerwünscht
Ungeliebt",https://genius.com/Bohse-onkelz-c-est-la-vie-lyrics,"Released March 20, 2000
Label

    
      Rule 23 Recordings
Writers

    
      Stephan Weidner"
Böhse Onkelz,Danke,Ein boses marchen aus tausend finsteren nachten,"Es ist an der Zeit
Euch folgendes zu sagen
Euch, die ihr uns antreibt
Seit mehr als zwanzig Jahren

Mit eurer Hilfe
Schrieben wir Geschichte
Die Geschichte der Onkelz
Und ihrer Neffen und Nichten

Wir werden niemals, niemals auseinander gehen
Wir werden immer, immer zueinander stehen
Ihr sollt wissen
Das wir niemals vergessen
Wer unsere Freunde sind

Unsere Welt ist eure
Könnt ihr das verstehen
Unsere Freude ist
Die eure zu sehen

Danke für alles
Für diesen Traum
Dieses Privileg
Für die gute Gesellschaft
Auf einem langen Weg (Auf einem langen Weg)

Wir werden niemals, niemals auseinander gehen
Wir werden immer, immer zueinander stehen
Ihr sollt wissen
Das wir niemals vergessen
Wer unsere Freunde sind

Wir werden niemals, niemals auseinander gehen
Wir werden immer, immer zueinander stehen
Ihr sollt wissen
Das wir niemals vergessen
Wer unsere Freunde sind

Wir werden niemals, niemals auseinander gehen
Wir werden immer, immer zueinander stehen
Ihr sollt wissen
Das wir niemals vergessen
Wer unsere Freunde sind

Wir werden niemals, niemals auseinander gehen
Wir werden immer, immer zueinander stehen
Ihr sollt wissen
Das wir niemals vergessen
Wer unsere Freunde sind",https://genius.com/Bohse-onkelz-danke-lyrics,"Released March 20, 2000
Label

    
      Rule 23 Recordings
Writers

    
      Stephan Weidner"
Böhse Onkelz,Es ist wie es ist,Ein boses marchen aus tausend finsteren nachten,"Der Morgen danach
Der Blick in den Spiegel
Das böse Erwachen
Abends um halb sieben

Ich kriege nicht genug
Tagein tagaus
Ich fresse mein Leben
Und kotz' es wieder aus

Glaub mir - Du kannst mir nichts glauben
Ich habe den Teufel in den Augen
Und ich weiß
Schnaps und der Teufel sind eins

Frag mich nicht wieso
Ich weiß es auch nicht und bin froh
Daß man so schnell vergißt
Es ist nun mal so wie es ist
Frag mich nicht wieso
Ich weiß es auch nicht und bin froh
Daß man so schnell vergißt
Es ist nun mal so wie es ist
Es ist wie es ist

Liebt mich oder haßt mich
Es ist mir egal
Alles was ich will
Hatte ich schon mal

Jeder weiß Bescheid
Ich bin mein größter Feind
Ich will wissen wie der Tod schmeckt
Und schenk mir noch mal ein

Glaub mir - Du kannst mir nichts glauben
Ich habe den Teufel in den Augen
Und ich weiß
Schnaps und der Teufel sind eins

Frag mich nicht wieso
Ich weiß es auch nicht und bin froh
Daß man so schnell vergißt
Es ist nun mal so wie es ist
Frag mich nicht wieso
Ich weiß es auch nicht und bin froh
Daß man so schnell vergißt
Es ist nun mal so wie es ist
Es ist wie es ist

Frag mich nicht wieso
Ich weiß es auch nicht und bin froh
Daß man so schnell vergißt
Es ist nun mal so wie es ist
Frag mich nicht wieso
Ich weiß es auch nicht und bin froh
Daß Du auch nicht besser bist
Es ist nun mal so wie es ist
Es ist wie es ist",https://genius.com/Bohse-onkelz-es-ist-wie-es-ist-lyrics,"Released March 20, 2000
Label

    
      Rule 23 Recordings
Writers

    
      Stephan Weidner"
Böhse Onkelz,Zuviel,Ein boses marchen aus tausend finsteren nachten,"Wir fliehen voreinander
Der Himmel ist das Ziel
Das Leben will es anders
Zwei sind einer zuviel

Es brennt nicht mehr
Wir verschwenden unsere Zeit
Ich habe Angst mich zu verlieren
Wir sind einsam zu zweit

Eine letzte Umarmung - bevor ich geh'
Ein letzter Fick - bevor wir uns nie wieder seh'n
Ein letztes Wort - nach so langer Zeit
Ein letzter Blick und wir sind wieder allein

Zuviele Worte
Alles totgeredet
Zu viele Träume
Die nie in Erfüllung geh'n
Zu viele Tränen
Wir lieben uns zu Tode
Zuviele Gedanken
Die sich um Dich dreh'n

Wir hatten alles
Zeit für neue Episoden
Wenn man loslässt
Stirbt man immer kleine Tode

Zuviele Fragen
Wieso und warum
Zuviele Narben
Unsere Zeit ist einfach um

Lass uns nicht geh'n
Mit Haß in unseren Blicken
Sag' auf Wiederseh'n
Mit einem Segen auf den Lippen",https://genius.com/Bohse-onkelz-zuviel-lyrics,"Released March 20, 2000
Label

    
      Rule 23 Recordings
Writers

    
      Stephan Weidner"
