artist;title;album;text;url;metadata
Böhse Onkelz;Matapalo (Parte Uno);Viva los tioz;Buenas tardes conciudadanos americanos!Perdonenme por interruptir sus progamas favoritosPero debo de hacer una declaracion de la mayor importanciaEn mi vida me han pasado muchas cosas importantesViviendo un momento historicoNo solo para mi, sino para toda la humanidad.​;https://genius.com/Bohse-onkelz-matapalo-parte-uno-lyrics;"Released September 4, 1998
Photography

    
      Gerdjan van der Lugt
Artwork

    
      TomTom Angermeier & Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Writers

    
      Matthias Röhr & Stephan Weidner
Additional Keyboard

    
      Michael Mainx
Bass

    
      Stephan Weidner
Co-Producer

    
      Michael Mainx"
Böhse Onkelz;Viva Los Tioz;Viva los tioz;"[Strophe 1]
Hat man euch nicht vor uns gewarnt?
Habt ihr euch nie gefragt
Wer wir sind und was wir tun?
Alles ist wahr
Wir sind wieder da, ja

[Refrain 1]
Wir spritzen Gift und kotzen Galle, viva los Tioz
Wir sind unerträglich für fast alle, viva los Tioz
Wir sind ein Schlag ins Gesicht
Ein freigelegter Nerv und nicht ganz dicht

[Strophe 2]
Irgendwo zwischen all den Lügen
Gibt es eine Band, die nicht alle lieben
Nonkonformität heißt unser Weg
So soll es sein
Bis nichts mehr geht, ja, ja, ja, ja

[Refrain 2]
Wir sind zu krass um wahr zu sein, viva los Tioz
Mies erzogen und gemein, viva los Tioz
Fürchtet die Onkelz wie euch selbst
Deutschland kotzt und uns gefällt's

[Strophe 3]
Wir tauschten Hass gegen Gitarren
Denn wir sind Onkelz und keine Narren
Wir töten Lügen mit diesen Liedern
Gehen wir es an
Immer wieder, immer wieder, immer

[Refrain 2]
Wir sind zu krass um wahr zu sein, viva los Tioz
Mies erzogen und gemein, viva los Tioz
Fürchtet die Onkelz wie euch selbst
Deutschland kotzt und uns gefällt's

[Refrain 3]
Wir spritzen Gift und kotzen Galle, viva los Tioz
Wir sind unerträglich für fast alle, viva los Tioz
Wir sind zu krass um wahr zu sein, viva los Tioz
Mies erzogen und gemein, viva los Tioz

[Refrain 4]
Wir spritzen Gift und kotzen Galle, viva los Tioz
Wir sind unerträglich für fast alle, viva los Tioz
Wir sind zu krass um wahr zu sein, viva los Tioz
Mies erzogen und gemein, viva los Tioz
Wir sind ein Schlag ins Gesicht
Ein freigelegter Nerv und nicht ganz dicht";https://genius.com/Bohse-onkelz-viva-los-tioz-lyrics;"Released September 4, 1998
Photography

    
      Gerdjan van der Lugt
Artwork

    
      TomTom Angermeier & Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Writers

    
      Matthias Röhr & Stephan Weidner
Additional Keyboard

    
      Michael Mainx
Bass

    
      Stephan Weidner
Co-Producer

    
      Michael Mainx"
Böhse Onkelz;Leere Worte;Viva los tioz;"[Strophe 1]
Ich bin hoch geflogen und tief gefallen
Ich war ganz oben und hab' Gott bei der Arbeit geseh'n
Ich schmorte in der Hölle, küsste dem Teufel den Arsch
Ich sah' in den Himmel und in, und in mein eigenes Grab

[Strophe 2]
Ich trieb's mit Engeln, ich feierte Siege
Ich triumphierte und verlor, ich starb aus Liebe
Ich habe viel verloren, doch nie meine Träume
Manche wurden wahr, die meisten aber blieben Schäume

[Refrain]
Und das sind leere Worte an einem toten Tag
Mein Hirn liegt im Nebel, zu viel Koks, zu wenig Schlaf
Zu viel von allem, ein kleiner Tod
Ich hab' mich abgeschossen
Ausgeknipst, mich selbst überholt

[Strophe 3]
Ich wusste alles und hab' alles vergessen
Ich kam, sah und siegte und hab' Scheiße gefressen
Was immer dabei rumkommt, es kommt nichts dabei raus
Jeden Tag die gleiche Scheiße, ich will hier raus
Ich will hier raus

[Refrain]
Das sind leere Worte an einem toten Tag
Mein Hirn liegt im Nebel, zu viel Koks, zu wenig Schlaf
Zu viel von allem, ein kleiner Tod
Ich hab' mich abgeschossen
Ausgeknipst, mich selbst überholt

[Solo]

[Refrain]
Und das sind leere Worte an einem toten Tag
Mein Hirn liegt im Nebel, zu viel Koks, zu wenig Schlaf
Zu viel von allem, ein kleiner Tod
Ich hab' mich abgeschossen
Ausgeknipst, mich selbst überholt

[Refrain]
Und das sind leere Worte an einem toten Tag
Mein Hirn liegt im Nebel, zu viel Koks, zu wenig Schlaf
Zu viel von allem, ein kleiner Tod
Ich hab' mich abgeschossen
Ausgeknipst, mich selbst überholt";https://genius.com/Bohse-onkelz-leere-worte-lyrics;"Released September 4, 1998
Photography

    
      Gerdjan van der Lugt
Artwork

    
      TomTom Angermeier & Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Writers

    
      Matthias Röhr & Stephan Weidner
Additional Keyboard

    
      Michael Mainx
Bass

    
      Stephan Weidner
Co-Producer

    
      Michael Mainx"
Böhse Onkelz;Weit weg;Viva los tioz;"[Strophe 1]
Du bist gegangen um Streit um nichts
Doch ich kann mich nicht korrigieren, nicht mal für dich
Es juckt und brennt, es quält mich und martert
Es kotzt mich an, unser menschliches Theater

[Refrain]
Weit weg, weit weg, weit weg von besseren Tagen
Weit weg, weit weg, allein mit tausend Fragen
Weit weg, weit weg, ich höre dich weinen
Weit weg, weit weg hat die Sonne aufgehört zu scheinen

[Strophe 2]
Unsere Chance hat die Stadt verlassen, wir stehen vor dem Nichts
Wie Sterne, die ins Dunkel fallen, sterbendes Licht
Es riecht nach Herbst, nach Untergang und Särgen
Winter im Herz, keine rühmliche Zeit, man fühlt den Sommer sterben

[Refrain]
Weit weg, weit weg, weit weg von besseren Tagen
Weit weg, weit weg, allein mit tausend Fragen
Weit weg, weit weg, ich höre dich weinen
Weit weg, weit weg hat die Sonne aufgehört zu scheinen

[Solo]

[Refrain]
Weit weg, weit weg, weit weg von besseren Tagen
Weit weg, weit weg, allein mit tausend Fragen
Weit weg, weit weg, ich höre dich weinen
Weit weg, weit weg hat die Sonne aufgehört zu scheinen";https://genius.com/Bohse-onkelz-weit-weg-lyrics;"Released September 4, 1998
Photography

    
      Gerdjan van der Lugt
Artwork

    
      TomTom Angermeier & Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Writers

    
      Matthias Röhr & Stephan Weidner
Additional Keyboard

    
      Michael Mainx
Bass

    
      Stephan Weidner
Co-Producer

    
      Michael Mainx"
Böhse Onkelz;Das Geheimnis meiner Kraft;Viva los tioz;"[Strophe 1]
Ich will keine Gnade und ich gebe keine
Ich bin brennendes Benzin, ein Ritt auf Messers Schneide
Du hast mir gerade noch gefehlt, ich kann dich sowieso nicht leiden
Nasch ab und gesell' dich zu meinen Feinden

[Refrain]
Fickt nicht mit dem Teufel, stellt ihm keine Fragen
Fangt an zu beten und lest die Packungsbeilage
Wut ist das Geheimnis, das Geheimnis meiner Kraft
Und wenn ihr anfangt mich zu mögen, weiß ich, ich hab' was falsch gemacht

[Post-Refrain]
Dieses Lied macht nicht beliebt, drauf geschissen, ja was solls
Ich will dass ihr mich hasst, denn eure Feindschaft macht mich stolz
Ich hasse Kompromisse und ich hasse dich
Es gibt zu viel' von deiner Sorte und das gefällt mir nicht

[Strophe 2]
Ich bin im Krieg mit Gott und der Welt
Das macht mich nicht beliebt und bringt kein Geld
Doch ich erhebe mich um mich der Welt zu zeigen
Ich durchbreche alle Mauern und alles Schweigen

[Refrain]
Fickt nicht mit dem Teufel, stellt ihm keine Fragen
Fangt an zu beten und lest die Packungsbeilage
Wut ist das Geheimnis, das Geheimnis meiner Kraft
Und wenn ihr anfangt mich zu mögen, weiß ich, ich hab' was falsch gemacht

[Post-Refrain]
Dieses Lied macht nicht beliebt, drauf geschissen, ja was solls
Ich will dass ihr mich hasst, denn eure Feindschaft macht mich stolz
Ich hasse Kompromisse und ich hasse dich
Es gibt zu viel' von deiner Sorte und das gefällt mir nicht

[Solo]

[Refrain]
Fickt nicht mit dem Teufel, stellt ihm keine Fragen
Fangt an zu beten und lest die Packungsbeilage
Wut ist das Geheimnis, das Geheimnis meiner Kraft
Und wenn ihr anfangt mich zu mögen, weiß ich, ich hab' was falsch gemacht

[Post-Refrain]
Dieses Lied macht nicht beliebt, drauf geschissen, ja was solls
Ich will dass ihr mich hasst, denn eure Feindschaft macht mich stolz
Ich hasse Kompromisse und ich hasse dich
Es gibt zu viel' von deiner Sorte und das gefällt mir nicht

[Post-Refrain]
Dieses Lied macht nicht beliebt, drauf geschissen, ja was solls
Ich will dass ihr mich hasst, denn eure Feindschaft macht mich stolz
Ich hasse Kompromisse und ich hasse dich
Es gibt zu viel' von deiner Sorte und das gefällt mir nicht";https://genius.com/Bohse-onkelz-das-geheimnis-meiner-kraft-lyrics;"Released September 4, 1998
Photography

    
      Gerdjan van der Lugt
Artwork

    
      TomTom Angermeier & Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Writers

    
      Matthias Röhr & Stephan Weidner
Additional Keyboard

    
      Michael Mainx
Bass

    
      Stephan Weidner
Co-Producer

    
      Michael Mainx"
Böhse Onkelz;Scheisse passiert;Viva los tioz;"[Strophe 1]
Immer am falschen Ort zur falschen Zeit
Voll daneben, zu allem bereit
Mal auf und mal ab, ich hab's oft nicht geblickt
Mich wieder und wieder in die falsche Richtung geschickt

[Refrain]
Was soll's, Scheiße passiert
Man gewinnt und verliert
Scheiße passiert
Man frisst oder stirbt
Scheiße passiert
Man gewinnt und verliert
Scheiße passiert
Friss oder stirb

[Strophe 2]
Mein Mund war zu groß, mein Hirn zu klein
Ein falsches Wort, dann war es soweit
Wer nicht hören will muss bezahlen
Also ging ich durch das Haus der Qualen

[Refrain]
Was soll's, Scheiße passiert
Man gewinnt und verliert
Scheiße passiert
Man frisst oder stirbt
Scheiße passiert
Man gewinnt und verliert
Scheiße passiert
Friss oder stirb

[Solo]

[Refrain]
Was soll's, Scheiße passiert
Man gewinnt und verliert
Scheiße passiert
Man frisst oder stirbt
Scheiße passiert
Man gewinnt und verliert
Scheiße passiert
Friss oder stirb

[Refrain]
Was soll's, Scheiße passiert
Man gewinnt und verliert
Scheiße passiert
Man frisst oder stirbt
Scheiße passiert
Man gewinnt und verliert
Scheiße passiert
Friss oder stirb";https://genius.com/Bohse-onkelz-scheisse-passiert-lyrics;"Released September 4, 1998
Photography

    
      Gerdjan van der Lugt
Artwork

    
      TomTom Angermeier & Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Writers

    
      Matthias Röhr & Stephan Weidner
Additional Keyboard

    
      Michael Mainx
Bass

    
      Stephan Weidner
Co-Producer

    
      Michael Mainx"
Böhse Onkelz;Terpentin;Viva los tioz;"[Strophe 1]
Wir wollen Mauern niederreißen, Geschichte machen
Die Fetzen sollen fliegen, die Schwarten sollen krachen
Der Widerstand wächst mit größeren Zielen
Wir existieren wirklich, zum Verhängnis von vielen

[Strophe 2]
Unser Name lebt länger als unser Leib
Wir sind unsterblich, ihr tut uns leid
Wer böses sät, wird Onkelz ernten
Der Tanz beginnt, von Flensburg bis nach Kärnten

[Refrain 1]
Ja, hier sind wir, eure Feinde und ZielWir geh'n zum Lachen in den Keller und wir trinken TerpentinJa, hier sind wir, eure Feinde und ZielWir geh'n zum Lachen in den Keller und wir trinken Terpentin

[Strophe 3]
Wir gehen vorwärts ohne Furcht
Nicht am Rand, sondern mittendurch
Wir zerstören eure Mythen, habt ihr's vernommen?
Schluss mit lustig, die Onkelz kommen

[Refrain 1]
Ja, hier sind wir, eure Feinde und ZielWir geh'n zum Lachen in den Keller und wir trinken TerpentinJa, hier sind wir, eure Feinde und ZielWir geh'n zum Lachen in den Keller und wir trinken Terpentin

[Pre-Refrain]
Steht auf, oder sterbt auf euren Knien
Steht auf, oder ihr lernt es nie

[Refrain 1]
Ja, hier sind wir, eure Feinde und ZielWir geh'n zum Lachen in den Keller und wir trinken TerpentinJa, hier sind wir, eure Feinde und ZielWir geh'n zum Lachen in den Keller und wir trinken Terpentin

[Refrain 2]
(Terpentin, Terpentin, Terpentin, Terpentin)Ja, hier sind wir, eure Feinde und ZielWir geh'n zum Lachen in den Keller und wir trinken Terpentin(Terpentin, Terpentin, Terpentin, Terpentin)Ja, hier sind wir, eure Feinde und ZielWir geh'n zum Lachen in den Keller und wir trinken TerpentinTerpentin, Terpentin, Terpentin, TerpentinTerpentin, Terpentin, Terpentin, Terpentin";https://genius.com/Bohse-onkelz-terpentin-lyrics;"Released September 4, 1998
Photography

    
      Gerdjan van der Lugt
Artwork

    
      TomTom Angermeier & Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Writers

    
      Matthias Röhr & Stephan Weidner
Additional Keyboard

    
      Michael Mainx
Bass

    
      Stephan Weidner
Co-Producer

    
      Michael Mainx"
Böhse Onkelz;Ohne mich;Viva los tioz;"[Strophe 1]
Antifa, ihr könnt mich mal
Ich lache über euch und ihr merkt es nicht mal
Ihr kämpft gegen mich, wie lächerlich
Denn euren wahren Feind, den seht ihr nicht

[Strophe 2]
Ihr denunziert, ihr seid schlecht informiert
Moralisch bankrott, Dass ihr das nicht kapiert
Ihr seid blinder als blind, Pseudomoralisten
Dumm und intrigant, nicht besser als Faschisten

[Refrain]
Ohne mich, mich kriegt ihr nicht
Ich bin frei wie der Wind, kapiert ihr das nicht?
Ohne mich, mich kriegt ihr nicht
Ich hab' das dritte Auge, seht ihr das nicht?

[Strophe 3]
Und hier ein paar Worte an die rechte Adresse
Leckt uns am Arsch, sonst gibt's auf die Fresse
Ich hasse euch und eure blinden Parolen
Fickt euch ins Knie, euch soll der Teufel holen

[Strophe 4]
Ihr seid dumm geboren, genau wie ich
Doch was ich lernte, lernt ihr nicht
Ihr seid blind vor Hass, dumm wie Brot
Ihr habt verschissen, eure Führer sind tot

[Refrain]
Ohne mich, mich kriegt ihr nicht
Ich bin frei wie der Wind, kapiert ihr das nicht?
Ohne mich, mich kriegt ihr nicht
Ich hab' das dritte Auge, seht ihr das nicht?

[Solo]

[Refrain]
Ohne mich, mich kriegt ihr nicht
Ich bin frei wie der Wind, kapiert ihr das nicht?
Ohne mich, mich kriegt ihr nicht
Ich hab' das dritte Auge, seht ihr das nicht?";https://genius.com/Bohse-onkelz-ohne-mich-lyrics;"Released September 4, 1998
Photography

    
      Gerdjan van der Lugt
Artwork

    
      TomTom Angermeier & Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Writers

    
      Matthias Röhr & Stephan Weidner
Additional Keyboard

    
      Michael Mainx
Bass

    
      Stephan Weidner
Co-Producer

    
      Michael Mainx"
Böhse Onkelz;Der Platz neben mir (Part I+II);Viva los tioz;"Der Platz neben mir I

[Strophe 1]
Ich atme Einsamkeit und werde sentimental
Die Nacht neigt sich dem Ende zu, meine Stimmung ist katastrophal
Ich sitze hier im Nirgendwo und starre in mein Bier
Verloren in Gedanken stehst du vor mir

[Pre-Refrain]
Was du wohl machst hab' ich mich tausend mal gefragt
Fickst du Engel, zählst du Sterne, oder betrinkst du dich mit Liebe?
Den ganzen Tag

[Refrain]
Ich warte schon so lange auf ein Wort von dir
Ein nie endendes Verlangen nach dir lebt in mir
Ich warte schon so lange auf ein Wort von dir
Der Schmerz ist vergangen
Geblieben ist die Leere und der Platz neben mir

[Strophe 2]
Wir wollten nie wie all die ander'n sein, zu Hause waren wir nie
Wir waren immer auf'm Sprung, zwischen Wahnsinn und Genie
Wir spürten unsere Flügel wachsen, es trug uns davon
Wir verloren uns'ren Namen, Geschlecht und uns're Konfession

[Pre-Refrain]
Was du wohl machst hab' ich mich tausend mal gefragt
Fickst du Engel, zählst du Sterne, oder betrinkst du dich mit Liebe?
Den ganzen Tag

[Refrain]
Ich warte schon so lange auf ein Wort von dir
Ein nie endendes Verlangen nach dir lebt in mir
Ich warte schon so lange auf ein Wort von dir
Der Schmerz ist vergangen
Geblieben ist die Leere und der Platz neben mir

[Solo]

Der Platz neben mir II

[Strophe 1]
Es ist einsam ohne dich
Ohne dich, mein Freund
Ich vermisse dich
Du kehrst wieder als mein Traum
Nur für die Dauer eines Augenblicks bist du real für mich
Eines Tages folg' ich dir
In die Ewigkeit
Gib mir Zeit
Ich pflücke Rosen für dein Grab
Du bist nicht mehr hier, doch du lebst in mir

[Solo]

[Strophe 1]
Es ist einsam ohne dich
Ohne dich, mein Freund
Ich vermisse dich
Du kehrst wieder als mein Traum
Nur für die Dauer eines Augenblicks bist du real für mich
Eines Tages folg' ich dir
In die Ewigkeit
Gib mir Zeit
Ich pflücke Rosen für dein Grab
Du bist nicht mehr hier, doch du lebst in mir";https://genius.com/Bohse-onkelz-der-platz-neben-mir-part-i-ii-lyrics;"Released September 4, 1998
Photography

    
      Gerdjan van der Lugt
Artwork

    
      TomTom Angermeier & Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Writers

    
      Matthias Röhr & Stephan Weidner
Additional Keyboard

    
      Michael Mainx
Bass

    
      Stephan Weidner
Co-Producer

    
      Michael Mainx"
Böhse Onkelz;Der Preis des Lebens;Viva los tioz;"[Strophe 1]
Deutscher Stahl, kalt und hart
Ein tiefer Schnitt durch Haut so zart
Ein Schnitt wie durch Butter, durchtrennte Venen
Das Ringen nach Luft, ein letztes Flehen

[Pre-Refrain]
Ich hör' dich sagen, du kannst nicht mehr
Du wünschst dir deinen Tod so sehr
Ich bin nicht gesegnet, ich bin nicht gnädig
Ich hab' einen Job und der wird erledigt

[Refrain]
Der Preis des Lebens ist der Tod
Deshalb hab' ich dich geholt
Du lebst für mich
Und jetzt nehm' ich dich
In meine Arme, in meine Arme

[Post-Refrain]
Ich mache keinen Unterschied zwischen jung und alt
Ob du arm oder reich bist lässt mich kalt
Ich heiß' euch alle willkommen, ich liebe jeden
Alles, was ich will ist euer Leben

[Strophe 2]
Eine silberne Kugel frisst sich ein Loch in dein Herz
Viel zu schnell, du spürst nicht mal den Schmerz
Deinen Tod vor den Augen bahnt sie sich ihren Weg
Unaufhaltsam, unentwegt

[Pre-Refrain]
Ich hör' dich sagen, du kannst nicht mehr
Du wünschst dir deinen Tod so sehr
Ich bin nicht gesegnet, ich bin nicht gnädig
Ich hab' einen Job und der wird erledigt

[Refrain]
Der Preis des Lebens ist der Tod
Deshalb hab' ich dich geholt
Du lebst für mich
Und jetzt nehm' ich dich
In meine Arme, in meine Arme

[Post-Refrain]
Ich mache keinen Unterschied zwischen jung und alt
Ob du arm oder reich bist lässt mich kalt
Ich heiß' euch alle willkommen, ich liebe jeden
Alles, was ich will ist euer Leben

[Solo]

[Refrain]
Der Preis des Lebens ist der Tod
Deshalb hab' ich dich geholt
Du lebst für mich
Und jetzt nehm' ich dich
In meine Arme, in meine Arme

[Post-Refrain]
Ich mache keinen Unterschied zwischen jung und alt
Ob du arm oder reich bist lässt mich kalt
Ich heiß' euch alle willkommen, ich liebe jeden
Alles, was ich will ist euer Leben

[Post-Refrain]
Ich mache keinen Unterschied zwischen jung und alt
Ob du arm oder reich bist lässt mich kalt
Ich heiß' euch alle willkommen, ich liebe jeden
Alles, was ich will ist euer Leben";https://genius.com/Bohse-onkelz-der-preis-des-lebens-lyrics;"Released September 4, 1998
Photography

    
      Gerdjan van der Lugt
Artwork

    
      TomTom Angermeier & Christoph Schnee
Label

    
      Virgin Records
Producers

    
      Stephan Weidner
Writers

    
      Matthias Röhr & Stephan Weidner
Additional Keyboard

    
      Michael Mainx
Bass

    
      Stephan Weidner
Co-Producer

    
      Michael Mainx"
