artist,title,album,text,url,metadata
Böhse Onkelz,Lieber stehend sterben,Wei,"Wir sollen bezahlen
Für das was hier passiert
Wir tragen die Schuld
Für euch, die ihr regiert
Niemand kennt die Wahrheit
Doch ihr wollt uns belehren
Eure Last auf unseren Schultern
Nur das haben wir nicht gern

Denn wir sind anders
Sind stolz und unbequem
Niemand tötet unseren Willen
Darum müßtet ihr doch versteh'n

2x
Ich will lieber stehend sterben
Als kniend leben
Lieber tausend Qualen leiden
Als einmal aufzugeben

Die Hände vor den Augen
Watte in den Ohren
Er hält lieber seinen Mund
Er ist als Mitläufer geboren
Er sagt alles das, was Du sagst
Kriecht auf allen Vieren
Hatte niemals einen Willen
Darum kann er ihn nicht verlier'n

Doch wir sind anders
Sind stolz und unbequem
Niemand tötet unseren Willen
Darum müßtet ihr doch versteh´n

2x
Ich will lieber stehend sterben
Als knieend leben
Lieber tausend Qualen leiden
Als einmal aufzugeben

Doch ich bin anders
Ich kämpfe für mein Recht
Ich bin lieber euer Onkel
Als euer Knecht

3x
Ich will lieber stehend sterben
Als knieend leben
Lieber tausend Qualen leiden
Als einmal aufzugeben",https://genius.com/Bohse-onkelz-lieber-stehend-sterben-lyrics,"Released October 4, 1993
Label

    
      Bellaphon Records"
Böhse Onkelz,Entfache dieses Feuer,Wei,"Ich seh' ein kleines Mädchen betteln
Und ich drehe mich herum
Ich seh' den Himmel weinen
Und frage mich warum
Ich sehe Flüsse voller Tränen
Seen voller Leid
Meere voller Dummheit
Was ist los mit dieser Zeit

Was ist los mit uns
Ich kann uns nicht versteh'n
Doch reich mir Deine Hand
Laß uns träumen geh'n

Laß uns fliegen schöne Sehnsucht
Näher an unsere Träume
Laß uns wieder atmen
Laß uns wieder seh'n
Entfache dieses Feuer
In mir dieses Feuer
Und nichts als dieser Traum wird wahr
Ein Traum so fern und doch so nah

Es ist nicht grad' berauschend
Was ich hier seh'
Ich seh' die Bullen töten Schwarze
In L.A
Ich seh' den Krieg in Jugoslawien
Den Hass in unserem Land
Wenn ihr etwas ändern wollt
Fangt bei euch an

Das hier ist euer Erbe
Doch wenn's euch nicht gefällt
Dann werdet bessere Menschen
Und ihr kriegt 'ne bessere Welt

(3x)
Laß uns fliegen schöne Sehnsucht
Näher an unsere Träume
Laß uns wieder atmen
Laß uns wieder seh'n
Entfache dieses Feuer
In mir dieses Feuer
Und nichts als dieser Traum wird wahr
Ein Traum so fern und doch so nah",https://genius.com/Bohse-onkelz-entfache-dieses-feuer-lyrics,"Released October 4, 1993
Label

    
      Bellaphon Records"
Böhse Onkelz,Das Wunder der Persönlichkeit,Wei,"Glaubst Du meinen Glauben
Sprichst Du meine Sprache
Trägst Du meine Kleidung
Glaubst Du alles, was ich sage
Sei Dein eigener Meister
Dein eigener Jesus
Regiere Dich selbst
Es ist Dein ""Ich"", das Du seh'n mußt
Nimm nicht, was man Dir bietet
Werde erst Du selbst

Das ist das Wunder der Persönlichkeit
Das Wunder, das ""Du"" bist
Das Wunder, das wir alle sind
Du genau wie ich
Das ist das Wunder der Persönlichkeit
Das Wunder, das ""Du"" bist
Denn bevor man andere lieben kann
Liebe erstmal Dich, liebe erstmal Dich

Folgst Du meinen Zielen
Bist Du mein Spiegelbild
Siehst Du mit meinen Augen
Oder bist Du etwa blind
Hörst Du auf meinen Namen
Trägst Du mein Lächeln im Gesicht
Nur wenn Du das nicht tust
Dann bist Du wie ich
Nimm nicht, was man Dir bietet
Werde erst Du selbst",https://genius.com/Bohse-onkelz-das-wunder-der-personlichkeit-lyrics,"Released October 4, 1993
Label

    
      Bellaphon Records"
Böhse Onkelz,Fahrt zur Hölle,Wei,"Unser Leben war nicht keimfrei
Nicht von Engeln bewacht
Doch es ist schon ganz schön hart
Was ihr daraus macht
Was glaubt ihr zu wissen
Was glaubt ihr wer wir sind
Ihr habt jahrelang gelogen
Die Presse stinkt

Für die Blinden und die Tauben
Noch ein allerletztes mal
Ihr wollt es immer noch nicht glauben
Ich könnt's nicht ändern, es ist wahr
Fahrt zur Hölle mit euren Lügen
Die wirklich niemand braucht
Wir lassen uns nicht unterkriegen
Niemand hält uns auf

Fahrt zur Hölle

Ihr habt wie Hunde uns gehetzt
Unsere Lieder verboten
Ich weiß warum, denn wenn wir treten
Dann nach oben

Das ist das Leben, das wir wählten
Wir woll'n kein anderes haben
Ihr hört eh' nur was ihr hören wollt
Nicht was wir sagen",https://genius.com/Bohse-onkelz-fahrt-zur-holle-lyrics,"Released October 4, 1993
Label

    
      Bellaphon Records"
Böhse Onkelz,Willkommen,Wei,"Hier ist die Bombe im Arschloch der Schöpfung
Für viele ein Schlag ins Gesicht
Es wischt euch den Dreck aus den Augen
Es führt euch vom Dunkel ins Licht
Wir schlagen Löcher in die Mauern aus Lügen
Unsere Waffe ist das Wort
Unsere Lieder bauen Brücken
Ganz gleich an welchem Ort

Willkommen im Reich der Onkelz
Im Land der Illusion
Im Universum Deiner Wünsche
In einer anderen, in einer anderen Dimension

Hier sind Laute aus dem Untergrund
Hart und unvergleichlich
Ein neues Werk voll Bosheit
Hier gibt es alles und das reichlich
Hier ist alles erlaubt, nichts ist Gesetz
Nichts ist verboten
Hier ist die Nahrung für Genies
Kein Futter für Idioten

Willkommen im Reich der Onkelz
Im Land der Illusion
Willkommen in der Welt von schwarz und weiß
In einer anderen, in einer anderen Dimension

Willkommen im Reich der Onkelz
Im Land der Illusion
Willkommen in der Welt von schwarz und weiß
In einer anderen Dimension

Willkommen im Reich der Onkelz
Im Land der Illusion
Willkommen in der Welt von schwarz und weiß
In einer anderen, in einer anderen Dimension",https://genius.com/Bohse-onkelz-willkommen-lyrics,"Released October 4, 1993
Label

    
      Bellaphon Records"
Böhse Onkelz,Für immer,Wei,"Ich sitze hier im Dunkeln
Die Zeit steht still
Ich denke nach
Über Dich und mein Gefühl
Ich hab' Dich lange nicht geseh'n
Ist es das, warum ich leide
War es für immer
War es besser für uns beide
War'n wir auf der Flucht
Sollte es so sein
War es zu intensiv
Oder war'n wir nicht soweit
War es die Erlösung
Der Weg ins Freie
Der Wind des Schicksals
Oder nur das Nichtverzeihen

Wie konnte ich so blind sein
Wie konnt' ich glauben, ich kann seh'n
Hat Gott auf mich geschissen
Oder warum ließ ich Dich geh'n
Wieder spüre ich diese Sehnsucht
Du bist schon lange nicht mehr hier
Sag mir, was hast Du getan
Denn Dein Licht brennt immer noch in mir

Für immer

Es war der Himmel und die Hölle
Was wir uns gaben
Wir spielten mit dem Feuer
Umso tiefer sind die Narben
Ein Traum ist kein Versprechen
Doch wir sind ziemlich hoch geflogen
Ging es um die Sterne
Oder haben wir uns belogen
Der Sprung ins Leere
Die Angst vorm Fallen
Das Entfachen des Feuers
Das Sterben der Flammen
Wohin führen unsere Wege
Wo bist Du in diesen Tagen
Ich kann Dich nicht vergessen
Ich rufe Deinen Namen

Wie konnte ich so blind sein
Wie konnt' ich glauben, ich konnt' seh'n
Hat Gott auf mich geschissen
Oder warum ließ ich Dich geh'n
Wieder spüre ich diese Sehnsucht
Du bist schon lange nicht mehr hier
Sag mir, was hast Du getan
Denn Dein Licht brennt immer noch in mir

War'n wir auf der Flucht
Sollte es so sein
War es zu intensiv
Oder war'n wir nicht soweit
War es die Erlösung
Der Weg ins Freie
Der Wind des Schicksals
Oder nur das Nichtverzeihen

Wie konnte ich so blind sein
Wie konnt' ich glauben, ich kann seh'n
Hat Gott auf mich geschissen
Oder warum ließ ich Dich geh'n
Wieder spüre ich diese Sehnsucht
Du bist schon lange nicht mehr hier
Sag mir, was hast Du getan
Denn Dein Licht brennt immer noch in mir

Für immer",https://genius.com/Bohse-onkelz-fur-immer-lyrics,"Released October 4, 1993
Label

    
      Bellaphon Records"
Böhse Onkelz,Deutschland im Herbst,Wei,"Rostock. Nach den gestrigen Ausschreitungen vor der zentralen Anlaufstelle für Asylbewerber in Mecklenburg-Vorpommern lieferten sich auch heute rund eintausend, meist jugendliche Rechtsradikale Straßenschlachten mit der Polizei. Bei den zum Teil bürgerkriegsähnlichen Krawallen gingen die Randalierer mit Steinen, Flaschen und Feuerwerkskörpern gegen die Sicherheitskräfte vor. Mehr als 110 Beamte wurden zum Teil schwer verletzt. Die Rechtsradikalen, die aus dem ganzen Bundesgebiet anreisten, drangen in das Erdgeschoss des Asylantenwohnheims ein, und steckten, unter dem Beifall von rund 2000 Schaulustigen, Wohnungen in Brand. Die Polizei nahm 60 Personen fest. Das Ausland reagierte, in Erinnerung an das nationalsozialistische Deutschland, auf die anhaltenden Unruhen im Stadtteil Lichtenhagen, mit Sorge über zunehmenden Fremdenhass

Ich sehe alle gegen alle
Jeder gegen jeden
Keine Achtung vor sich selbst
Keine Achtung vor dem Leben
Ich sehe blinden Hass, blinde Wut
Feige Morde, Kinderblut
Ich sehe braune Scheiße töten
Ich sehe Dich...

Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst

Ich höre weiße Geräusche
Rassenreine Lieder
Ich höre hirnlose Parolen
Von Idioten und Verlierern
Ich hör' die Lügen der Regierung
Die Lüge eures Lebens
Ich hör' die Lüge über uns
Ich höre Dich...

Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst

Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst
Deutschland im Herbst",https://genius.com/Bohse-onkelz-deutschland-im-herbst-lyrics,"Released October 4, 1993
Label

    
      Bellaphon Records"
Böhse Onkelz,Es,Wei,"Es hat Hände, die beschützen
Hände, die heilen
Was es sagt ist unaussprechlich
Es lebt zwischen den Zeilen
Es erträumte diese Welt

Ist Erbauer und Zerstörer
Es ist der Atem allen Atems
Es bringt Tod – doch ist kein Mörder
Es ist wie es ist – und doch ist es anders
Und es ist auch in Dir
Es kann beim Ende beginnen
Sprich das goldene Wort
Es ist ewig – und immer bei mir

Wenn es etwas gibt
Woran ich glaube
Muß es sein wie in diesem Lied
Es öffnet Dir und mir die Augen

Es nimmt Dich mit auf Reisen
In den Weltraum Deiner Seele
Es läßt Dich nach Dir suchen
Läßt uns spüren, daß wir leben

Es kennt jedes Geheimnis
Es redet, doch bleibt stumm
Es enthüllt nicht seine Wahrheit
Es bleibt Mysterium",https://genius.com/Bohse-onkelz-es-lyrics,"Released October 4, 1993
Label

    
      Bellaphon Records"
Böhse Onkelz,Sie hat ’nen Motor,Wei,"Ihre Lippen sind aus scheinendem Chrom
Ihr Herz ist ein Motor, ihr Arsch ist mein Thron
Ihr Körper ist aus schwarzem Stahl
Wenn ich sie so anseh', werde ich sentimental

Ich liebe das Gefühl
Ihr wißt was ich meine
Ich liebe das Vibrieren
Zwischen meinen Beinen

Sie läßt mich fliegen
Sie trägt mich durch den Wind
Ich verliere den Verstand
Wenn wir zusammen sind

Wir sind besessen, nichts hält uns auf
Wo immer mein Herz ist, sind wir zuhaus'
Auf der Suche nach der Straße
In die Ewigkeit
Direkt in den Himmel
Von der Schwerkraft befreit

Sie hat 'nen Motor
Ich schau' Dir in die Schrauben, Kleines

Dein Anblick ist die beste Medizin
Du schickst mich in den Himmel, schenkst mir Adrenalin
In Deinen Venen pumpt heißes öl
Die Stimme Deines Motors ist so herrlich obszön

Trag mich davon
Nimm mich mit auf die Reise
Im Universum der Motoren
Ziehen wir unsere Kreise

Du bist die Göttin meiner Träume
Am Tag und in der Nacht
Du bist ein MMMMotor
Du bist ein V8",https://genius.com/Bohse-onkelz-sie-hat-nen-motor-lyrics,"Released October 4, 1993
Label

    
      Bellaphon Records"
Böhse Onkelz,Schöne Neue Welt,Wei,"Hört her Völker und Völkchen
Schlagt auf euch ein
Haßt euren Nachbarn
Ihr wollt doch unabhängig sein

Tötet euren Bruder
Vergewaltigt eure Frauen
Ihr sprecht die gleiche Sprache
Aber ihr könnt euch nicht vertrauen
Schöne neue Welt
Die Bedrohung sind wir selbst...
So sterben Träume

Keine Roten mehr im Osten
Der Feind hat kein Gesicht
Die Bedrohung sind wir selbst
Also haß' ich einfach Dich

Ich habe den Glauben an uns verloren
Vielleicht hab' ich nie geglaubt
Habt ihr Scheiße in den Ohren
Ich sag' euch: hört endlich endlich auf
Hört endlich auf, hört auf",https://genius.com/Bohse-onkelz-schone-neue-welt-lyrics,"Released October 4, 1993
Label

    
      Bellaphon Records"
