"";"artist";"title";"album";"text";"url";"metadata"
"1";"Broilers";"Unzerstörbar";"Lofi";"Du sitzt und wartest, betest, es tut sich nichts
Doch die Hoffnung stirbt zuletzt
Drehst die Daumen, wartest immer noch
Keiner mehr, der Dich noch schätzt
Scheiß auf die Hoffnung und die Anderen
Hilfst Du Dir nicht, dann hilft Dir keiner raus
Sagte das Leben Dir denn nie, mein Sohn
Verlierer sehen anders aus

Wohohoh Wohohohohoho
Wohohoh Wohohohoho

Wenn Du was machen willst
Nimm Dir das Recht
Wenn Du was sagen willst
Dann sag es jetzt
Steh auf für die Schwachen
Und kämpfe hörbar
Bleib außer Kontrolle
Heute Nacht bist Du unzerstörbar

Am Wochenanfang spür' ich sie besonders stark
Die Scheiße, die mich hier umgibt
Sie gibt mir nichts, denn es steckt soviel mehr
In einem Punkrocktape
Spürst Du die Töne und die Energie?
Fühlst das nicht, dann hast Du nie gelebt
Ein Pfeil im Herzen und die Zuversicht
Dass man höher als die Anderen schwebt

Wohohoh Wohohohohoho
Wohohoh Wohohohoho

Wenn Du was machen willst
Nimm Dir das Recht
Wenn Du was sagen willst
Dann sag es jetzt
Steh auf für die Schwachen
Und kämpfe hörbar
Bleib außer Kontrolle
Heute Nacht bist Du
UNZERSTÖRBAR";"https://genius.com/Broilers-unzerstorbar-lyrics";"Released 2004"
"2";"Broilers";"Eine Nation";"Lofi";"Da ist er, ihn braucht niemand, nicht mal er selbst
Lebt in Unschuld und wendet Euch ab
Oft sieht man sie lachen, über ihn lacht die Welt
Lebt in Unschuld und wendet Euch ab
Ist er nun eine Seele von Mensch
Schlägt das böse Herz tief in ihm drin?
Mit einer Waffe auf dem Schulhof schied er dahin

Lebt in Unschuld und wendet Euch ab
Lebt in Unschuld und wendet Euch aaaaaaab

Eine Nation verliert ihr Lächeln
Mit Blut an den Händen schaltet ihr um
Eine Nation verliert ihr Lächeln
Ich leb lieber gefährlich
Als still, gesund und dumm

In der Altstadt, mittags, kurz vor halb zwei
Lebt in Unschuld und wendet Euch ab
Sie ist alleine, die andern sind drei
Lebt in Unschuld und wendet Euch ab
Vor einem Laden fängt man sie ab
Und dann fällt sie zu Boden, man hört sie schreien
Die Sonne scheint, er dringt in sie ein
Lebt in Unschuld und wendet Euch ab
Lebt in Unschuld und wendet Euch aaaaaaab

Eine Nation verliert ihr Lächeln
Mit Blut an den Händen schaltet ihr um
Eine Nation verliert ihr Lächeln
Ich leb lieber gefährlich
Als still, gesund und dumm

Bomber über Bagdad
Ein andres Volk im Dreck
Wer wird der Superstar
Wen hat der Nachbar im Bett?
Morgen wird es regnen
Du trägst schwer an deinem schlechten Gewissen
In Irland trägt man Kinder zu Grab
Vogel Strauß auf dich geschissen

Eine Nation verliert ihr Lächeln
Mit Blut an den Händen schaltet ihr um, Wohoh
Eine Nation verliert ihr Lächeln
Ein ganzes Volk hat es verloren
Es verloren
Es verloren
Ein ganzes Volk hat es verlooooooren

Wooooooooooohoh
Wooooooooooohoh

Eine Nation verliert ihr Lächeln
Mit Blut an den Händen schaltet ihr um, ohhh
Eine Nation verliert ihr Lächeln
Ich leb lieber gefährlich
Als still, gesund und
Still, gesund und dumm";"https://genius.com/Broilers-eine-nation-lyrics";"Released 2004"
"3";"Broilers";"Baccia il mio anello";"Lofi";"Jahrelang hast Du dort gesessen
In der Straße Deiner Stadt
Ein kleiner Junge saß dem Ort gegenüber
An dem das Böse sein Zuhause hat
Deine Eltern flehten auf Knien
Man hat Dich oft zum Teufel geschickt
Sie flehten diesen Ort zu meiden
An dem man spielt, säuft und fickt

An diesem Ort gehen Huren ein
Dort ist es dunkel, dort gibt es kein Licht
Weiße Linienund blasse Gesichter
Das ist ein Ort, an dem man Menschen bricht
Die meisten Jungen spielen gern Fußball
Die anderen wären gern Astronaut
Du wolltest immer in eine Familie
Der noch nicht einmal der Teufel vertraut

Baccia il mio Anello! Wohohoh
Küss meinen Ring
Verschwiegenheit, Ehre, Respekt
Baccia il mio Anello! Wohohoh
Werde Teil der Familie
Und weck das Böse, das in Dir steckt

Und Du kamst tief in die Familie
Nach den Regeln der Omertá
Mit jeder Sünde stiegst Du weiter nach oben
Nie waren Zweifel da
Du hattest viel und Du wolltest noch mehr
Alles lief gut bis zu jenem TagDie Alten sprachen und Du schliefst festBei den Fischen, mit Deiner Stadt als Sarg

Baccia il mio Anello! Wohohoh
Küss meinen Ring
Verschwiegenheit, Ehre, Respekt
Baccia il mio Anello! Wohohoh
Werde Teil der Familie
Und weck das Böse, das in Dir steckt

Baccia il mio Anello!
Küss meinen Ring
Verschwiegenheit, Ehre, Respekt
Baccia il mio Anello!
Werde Teil der Familie
Und weck das Böse, das in Dir steckt

Baccia il mio Anello! Wohohoh
Küss meinen Ring
Verschwiegenheit, Ehre, Respekt
Baccia il mio Anello! Wohohoh
Werde Teil der Familie
Und weck das Böse, das in Dir steckt";"https://genius.com/Broilers-baccia-il-mio-anello-lyrics";"Released 2004"
"4";"Broilers";"Lofi";"Lofi";"Was ich heut bin
Ist was ich krieg
Meine verdammte Seele
Für die Musik
Was ich heut bin
Bekomm ich auch
Auf dieser letzten Party
Da geh ich drauf

Das geht raus an diesen Kult den ich so schätz
Den Geist von 69, Rudeboys, Bootboys und Skinheads
Die vollen Theken und die tausend leeren Flaschen
Reggae aus den Boxen, eure Fäuste aus den Taschen

Meine Wahl und mein Weg
Mit Dir zu gehen
Meine Wahl und mein Weg
Und das ist alles, was ich bin
Meine Wahl und mein Weg
Mit Dir zu gehen
Ich fall mit Euch
Den üblichen Verdächtigen

Du bist Punkrocker, diese Welt, Du hast sie satt
Vertraust niemandem hier, Du bist die coolste Sau der Stadt
Ich weiß genau, mein Freund, in eins kann ich vertrauen
Heut Nacht brennt hier die Luft, ein neuer Tag in Mohawktown

Meine Wahl und mein Weg
Mit Dir zu gehen
Meine Wahl und mein Weg
Und das ist alles, was ich bin
Meine Wahl und mein Weg
Mit Dir zu gehen
Ich fall mit Euch
Den üblichen Verdächtigen

Skins und Punks und die Greaser und die Teds
Meine Freunde, die Familie, meine Süße hier im Bett
Rudeboys, Bootboys, wir sind stolz mit Euch zu sein
Denn wir stehen und wir fallen nie allein

Meine Wahl und mein Weg
Mit Dir zu gehen
Meine Wahl und mein Weg
Und das ist alles, was ich bin
Meine Wahl und mein Weg
Mit Dir zu gehen
Ich fall mit Euch
Den üblichen Verdächtigen";"https://genius.com/Broilers-lofi-lyrics";"Released 2004"
"5";"Broilers";"Dein Leben";"Lofi";"Ich bin der Wind
Der durch deine Straße zieht
Und ich bin in der Schlange bei dem Gig von der Band, die du liebst
Ich war auf dem Spielplatz
Bei dem ersten Kuss wurdest du zum Mann
Ein erstes Mal Romantik und die Einsicht, dass man Herzen brechen kann

Wohohoh
All das kann dir keiner nehmen
Wohohoh
Das ist echt, das ist dein Leben

Ich bin die Nacht, Gepaffte Kippen
Und der Geist, der bei dir wohnt
Deine erste Gitarre, Lachen und Trinken und Küssen unter dem dunklen Mond
Wo ich bin, ist oben und die Gewissheit
Dass ich nicht verlier'
Etwas verband uns, was keiner wusste, außer dir und mir

Wohohoh
All das kann dir keiner nehmen
Wohohoh
Das ist echt, das ist dein Leben
Wohohoh
All das kann dir keiner nehmen
Wohohoh
Das ist echt, das ist dein Leben

Jetzt führst du mich und ich hoffe
Du wählst den richtigen Weg
Ich vertraue dir, wenn ich mein Schicksal
In deine Hände leg'

Wohohoh
All das kann dir keiner nehmen
Wohohoh
Das ist echt, das ist dein Leben
Wohohoh
All das kann dir keiner nehmen
Wohohoh
Das ist echt, das ist dein Leben";"https://genius.com/Broilers-dein-leben-lyrics";"Released 2004"
"6";"Broilers";"(Ich bin) bei Dir";"Lofi";"Deine Türme stürzen ein und die Scheiße, die liegt hier
Kümmer dich nicht um den Dreck, ich bin bei dir
Nimm den schlimmsten Fall der Fälle und ich bieg ihn zurecht
Zeig den Mittelfinger, diese Welt ist schlecht
Dass der Weg nicht immer gerade ist, das weiß ich doch auch
Auch du bist immer da, wenn ich dich brauch
Liegst du tief am Boden, dann helf' ich dir auf
Ich geh für dich unter und ich geh für dich drauf

Und wenn du fällst bin ich bei dir
Hey hey hey hey
Und wenn du fällst bin ich bei dir
Hey hey

Die Welt stürzt ein, begräbt dich hier
Kümmer dich nicht um den Dreck, ich bin bei dir
Hol' dich da raus, zieh dich ans Licht
Ich bin bei dir, verlass dich nicht
Die Welt stürzt ein, begräbt dich hier
Kümmer dich nicht um den Dreck, ich bin bei dir
Hol' dich da raus, zieh dich ans Licht
Ich bin bei dir, verlass dich nicht

Das ist dein Weg und du sinkst hier nicht nieder
Klappt es heute nicht, dann kommst du morgen wieder
Wenn du nichts mehr siehst, dann seh' ich für uns zwei
Und wenn du stecken bleibst, spreng ich dir den Weg frei
Und hat nichts mehr Bestand in dieser Welt
Dann gibt es noch das, was uns zusammen hält
Das ist unser Leben und wir leben es spürbar
In dieser Nacht sind wir unzerstörbar

Und wenn du fällst bin ich bei dir
Hey hey hey hey
Und wenn du fällst bin ich bei dir
Hey hey

Die Welt stürzt ein, begräbt dich hier
Kümmer dich nicht um den Dreck, ich bin bei dir
Hol' dich da raus, zieh dich ans Licht
Ich bin bei dir, verlass dich nicht
Die Welt stürzt ein, begräbt dich hier
Kümmer dich nicht um den Dreck, ich bin bei dir
Hol' dich da raus, zieh dich ans Licht
Ich bin bei dir, verlass dich nicht

Und wenn du fällst bin ich bei dir
Bin ich bei dir, bin ich bei dir
Und wenn du fällst, hua
Bin ich bei dir

Die Welt stürzt ein, begräbt dich hier
Kümmer dich nicht um den Dreck, ich bin bei dir
Hol' dich da raus, zieh dich ans Licht
Ich bin bei dir, verlass dich nicht
Die Welt stürzt ein, begräbt dich hier
Kümmer dich nicht um den Dreck, ich bin bei dir
Hol' dich da raus, zieh dich ans Licht
Ich bin bei dir, verlass dich nicht
Die Welt stürzt ein, begräbt dich hier
Kümmer dich nicht um den Dreck, ich bin bei dir
Hol' dich da raus, zieh dich ans Licht
Ich bin bei dir, verlass dich nicht
Die Welt stürzt ein, begräbt dich hier
Kümmer dich nicht um den Dreck, ich bin bei dir
Hol' dich da raus, zieh dich ans Licht
Ich bin bei dir, verlass dich nicht";"https://genius.com/Broilers-ich-bin-bei-dir-lyrics";"Released 2004"
"7";"Broilers";"Ich sah kein Licht";"Lofi";"Ich sah kein Licht hier, zu dieser Zeit
Ich sah kein Licht hier, es tut mir leid
Der perfekte Ort, die perfekte Zeit
Glaube, Liebe, Hoffnung, ich war bereit

Da man vom Beten allein nicht satt wird
Das täglich Brot einem nicht erscheint
Geht er den Weg, den wir alle gehen
Der diese mündige Nation vereint
Die Familie auf seinem Schreibtisch
In einem Rahmen, was ihm wichtig bleibt
In stiller Hoffnung, dass sie bald besser leben
Verliert er Tränen, als er das schreibt

Ich sah kein Licht hier, zu dieser Zeit
Ich sah kein Licht hier, es tut mir leid
Der perfekte Ort, die perfekte Zeit
Glaube, Liebe, Hoffnung, ich war bereit

Mit schnellem Herzen und zitternden Knien
Verlässt er früh am Morgen das Haus
In der Bank ist er kaum in der Tür
""Alle zu Boden oder ich raste aus!""
Der Schuss fällt schneller als die Tasche sich füllt
Am Kopf getroffen, sein Gehirn an der Wand
Sein Blut mischt sich mit dem Wasser am Boden
Aus seiner Plastikwaffe in der Hand

Ich sah kein Licht hier, zu dieser Zeit
Ich sah kein Licht hier, es tut mir leid
Der perfekte Ort, die perfekte Zeit
Glaube, Liebe, Hoffnung, ich war bereit

Ich sah kein Licht
Ich sah kein Licht
Ich sah kein Licht
Ich sah kein Licht
Ich sah kein Licht
Ich sah kein Licht
Ich sah kein Licht
Ich sah kein Licht
Ich sah kein Licht
Ich sah kein Licht
Ich sah kein Licht
Ich sah kein Licht
Ich sah kein Licht
Ich sah kein Licht
Ich sah kein...Licht

Ich sah kein
Ich sah kein Licht
Ich sah kein
Ich sah kein Licht
Ich sah kein
Ich sah kein Licht
Ich sah kein
Ich sah kein Licht

Ich sah kein Licht hier, zu dieser Zeit
Ich sah kein Licht hier, ich war bereit
Der perfekte Ort, die perfekte Zeit
Glaube, Liebe, Hoffnung, es tut mir leid";"https://genius.com/Broilers-ich-sah-kein-licht-lyrics";"Released 2004"
"8";"Broilers";"Wer wird uns retten?";"Lofi";"Die kleine Paula war gerade fünfzehn
Das war der Tag, an dem Ihr Vater sprach
""Sei beugsam in dieser Welt!""
Das war der Tag, an dem sie seine Nase brach
Mike war Trinker und die härteste Sau bei uns
In gewissen Fragen sehr versiert
Man brauchte es nicht zwei Mal sagen
Nach dem ersten Mal war es schon passiert

Siehst Du die Zeichen an der Wand?
Siehst Du sie? (Siehst Du sie?)
Spürst Du auch diese Energie?
Spürst Du sie? (Spürst Du sie?)
Wer wird, wer wird
Wer wird uns retten?
Wohoh
Wer wird, wer wird
Wer wird uns retten?
Wohoh

Wer wird uns retten?
Wer schützt und rettet uns vor uns selbst?
Wer wird uns retten?
Wer zieht uns aus dem Dunkel ans Licht?
Wer wird uns retten?
Ich hass die Straßen meiner Stadt
Wer wird uns retten?
Doch sie bedeuten die verdammte Welt für mich

Markus war stets einer von uns
Er stößt an bis er nicht mehr zittert
Liebe und Hass auf seinen Fingern
Nur einen Steinwurf, bis die Scheibe splittert
Denn dieser Stopp war das Schnapsgeschäft
Der Laden, der den Whiskey hat
Zerbrochenes Glas und laute Sirenen
Blaue Lichter im Süden unserer Stadt

Siehst Du die Zeichen an der Wand?
Siehst Du sie? (Siehst Du sie?)
Spürst Du auch diese Energie?
Spürst Du sie? (Spürst Du sie?)
Wer wird, wer wird
Wer wird uns retten?
Wohoh
Wer wird, wer wird
Wer wird uns retten?
Wohoh

Wer wird uns retten?
Wer schützt und rettet uns vor uns selbst?
Wer wird uns retten?
Wer zieht uns aus dem Dunkel ans Licht?
Wer wird uns retten?
Ich hass die Straßen meiner Stadt
Wer wird uns retten?
Doch sie bedeuten die verdammte Welt für mich

Caro wohnt in meiner Strasse
Die Kerle fressen ihr aus der Hand
Schnaps im Hirn und Feuer im Herzen
In ihrer Lunge hat die Luft gebrannt
Sie ist schlecht, doch sie schwimmt stets oben
Dies Leben muss man nicht verstehen
Mit Desmond Dekker in den Ohren
Lässt sie diese Welt den Mittelfinger sehen

Siehst Du die Zeichen an der Wand?
Siehst Du sie?
Spürst Du auch diese Energie?
Spürst Du sie?
Siehst Du die Zeichen an der Wand? (Wer wird uns retten?)
Siehst Du sie? (Wer wird uns retten?)
Spürst Du auch diese Energie? (Wer wird uns retten?)
Spürst Du sie? (Wer wird uns retten?)
Siehst Du die Zeichen an der Wand? (Wer wird uns retten?)
Siehst Du sie? (Wer wird uns retten?)
Spürst Du auch diese Energie? (Wer wird uns retten?)
Spürst Du sie? (Wer wird uns retten?)
Wer wird, wer wird
Wer wird uns retten?
Wohoh";"https://genius.com/Broilers-wer-wird-uns-retten-lyrics";"Released 2004"
"9";"Broilers";"Brennende Brücken";"Lofi";"An manchen Tagen sitz' ich hier und frage mich
Was gibt mir das Leben, wann kommt meine Schicht?
Wann fahre ich hinauf aus meinem Schacht
An einen Ort an dem die Sonne für mich lacht?
Bienen haben mit den Blumen Sex, Sonnenblumen tanzen im Wind
Mit mir tanzt keiner, doch man soll die Dinge nehmen, wie sie sind
Wie sie sind

Wohin
Wird es mich ziehen?
Warum
Gehör' ich hier nicht mehr hin?
Der Wind in meinem Gesicht
Für mich zu tun gibt's nichts mehr hier
Ich bin schon längst auf meinem Weg
Es brennen Brücken hinter mir

Der Sommer geht und der Herbst der kommt ins Land
Mit den Blättern fällt der Rest, der mich hiermit verband
Bevor ich hier erfrier', zünd' ich mich an
Besser als noch hier zu sein, wo ich nicht länger leben kann
Keinen Schritt mach' ich mehr zurück, wer sich umdreht, der kommt wieder
Ich kenn' mein Schicksal nicht,doch ich geh' nach vorn', brenn' meine Brücken niederBrenne Brücken nieder

Wohin
Wird es mich ziehen?
Warum
Gehör' ich hier nicht mehr hin?
Der Wind in meinem Gesicht
Für mich zu tun gibt's nichts mehr hier
Ich bin schon längst auf meinem Weg
Es brennen Brücken hinter mir

Wohin
Wird es mich ziehen?
Warum
Gehör' ich hier nicht mehr hin?
Der Wind in meinem Gesicht
Für mich zu tun gibt's nichts mehr hier
Ich bin schon längst auf meinem Weg
Es brennen Brücken hinter mir

Wohoh
Sieh die brennenden Brücken
Wohoh
Mit dem Wind im Rücken
Dem Wind im Rücken";"https://genius.com/Broilers-brennende-brucken-lyrics";"Released 2004"
"10";"Broilers";"Anti. Anti. Anti";"Lofi";"Ich weiß genau, woher ich komme
Und ich sage mir, ich geh', geh', geh' nicht
Da ich dieses so gut weiß, weiß ich
Hier gibt es viel mehr Schatten als Licht
Es reicht ein Gang durch meine Stadt
Und ich nenne Dir tausend Gründe
Warum ich besser gehen sollte
Warum ich besser auf der Stelle verschwinde

Manchmal fehlt mir zu all dem die Kraft
Mit einem Ticket in der Hand
Trinke ich einen letzten Cocktail
Auf die, auf die Anti Islands

Ich hass' die Menschen und dieses Land
Flüsse, Meere und bestimmt auch die Welt
Misanthrop bis aufs Blut
Hab den Planeten nicht selber gewählt
Ich hab hier unten keine Freunde
Ich kenne keinen und keiner kennt mich
Nur der gute treue Freitag
Ist der Kerl, der mal mit mir spricht

Und wenn die rote Sonne im Meer versinkt
Und der Mond am Himmel brennt
Trink ich hier einen weiteren Cocktail
Auf die, auf die Anti Islands

A life on the
A life on the
Alive on the Anti Islands
A life on the
A life on the
Alive on the Anti Islands
A life on the
A life on the
Alive on the Anti Islands
A life on the
A life on the
Alive on the Anti Islands

Ich ertränk' mein Heimweh im Rausch
Und gönne mir vier Flaschen Absinth
Maximal schneid' ich mir ein Ohr ab
Im schlimmsten Falle sauf ich mich blind
Mein Bart ist lang und die Nächte sind kurz
Der Spaß ist groß und die Sorgen sind klein
Ich lutsch an Fröschen und genieß' das Tropenfieber
Ich will nie wieder heim

Und wenn die rote Sonne im Meer versinkt
Und der Mond am Himmel brennt
Trink ich hier einen weiteren Cocktail
Auf die, auf die Anti Islands

A life on the
A life on the
Alive on the Anti Islands
A life on the
A life on the
Alive on the Anti Islands
A life on the
A life on the
Alive on the Anti Islands
A life on the
A life on the
Alive on the Anti Islands
A life on the
A life on the
Alive on the Anti Islands
A life on the
A life on the
Alive on the Anti Islands
A life on the
A life on the
Alive on the Anti Islands";"https://genius.com/Broilers-anti-anti-anti-lyrics";"Released 2004"
