"","artist","title","album","text","url","metadata"
"1","Broilers","Nicht alles endet irgendwann","Puro amor","[Songtext zu „Nicht alles endet irgendwann“]

[Strophe 1]
Eben sind mir doch erst die Milchzähne ausgefallen
Jetzt bin ich alt
Ist noch nicht Winter, noch nicht Herbst
Nur mein Sommer wird langsam kalt (Kalt, kalt, kalt)
Meine Freunde und ich
Geburt, Schule, Arbeit, Süd-Friedhof
Wenn der Rücken es erlaubt, die Mittelfinger hoch
Alle hoch, alle hoch

[Pre-Refrain]
Der Zahn der Zeit schlägt sich ins Fleisch
Vom Hunger in der Jugend zu den Enten am Teich

[Refrain]
(Hey) Wir bleiben diе, die wir war'n
Dass man daran überhaupt zweifеln kann
(Hey) Wir bleiben die, die wir war'n
Nicht alles endet irgendwann

[Strophe 2]
Und es ist längst Halbzeit
Aber niemand geht in die Kabin'n
Alle tanzen auf dem Platz
Die Jugend von gestern ist schwer zu erzieh'n
Für dich immer noch du, wieder viel zu lang
Im Plattenladen abgehang'n
Mit Silber in den Haaren in den Neunziger-Reih'n
Im Jugendknast gefangen

[Pre-Refrain]
Und es knackt im Gebälk
Die Zweige sind morsch, die Blätter sind welk

[Refrain]
(Hey) Wir bleiben die, die wir war'n
Jugendliche von vierzig Jahr'n
(Hey) Wir bleiben die, die wir war'n
Nicht alles endet irgendwann

[Bridge]
Man sagt, ich soll den Herbst umarm'n
Das sei wie Sommer mit noch mehr Farb'n
Und die Einschläge komm'n näher jeden Tag
Die ersten sind gegangen, ich hab noch gar nicht richtig angefangen

[Refrain]
Wir bleiben die, die wir war'n
Jugendliche von vierzig Jahr'n
(Hey) Wir bleiben die, die wir war'n
Nicht alles endet irgendwann
Wir bleiben die, die wir war'n
Nicht alles endet irgendwann
Wir bleiben die, die wir war'n","https://genius.com/Broilers-nicht-alles-endet-irgendwann-lyrics","Released April 23, 2021
Photography

    
      Robert Eikelpoth
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Management

    
      JKP Gmbh
Graphics

    
      Dirk Fritz
Distributor

    
      Warner Music Group
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Label

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Sammy Amara
Artwork

    
      Sammy Amara
Bass

    
      Ines Maybaum
Composer

    
      Sammy Amara"
"2","Broilers","Nach Hause kommen / Zurück zu mir","Puro amor","[Songtext zu „Nach Hause kommen / Zurück zu mir“]

[Strophe 1]
Dieses Lied
Dieses Lied muss laut sein, damit du es hörst
Wo immer du bist
Ich laufe ziellos durch die Straßen
Einfach Meter machen
Hier betest du für mich

[Pre-Refrain]
Ich werde nach dir suchen
In all der Asche suche ich nach dir
Mögen brennende Brücken deinen Weg beleuchten
Zurück zu mir

[Refrain]
Zurück zu mir
Würdest du jetzt bitte wieder nach Hause kommеn?
Hier wartet alles nur auf dich
Es brеnnen uns're Brücken
Alles voller Lücken
Denn am meisten warte ich

[Strophe 2]
Ich rede immer noch mit dir
Als wäre nie etwas passiert
Als wärest du gleich neben mir
Alles steht für dich bereit
Wartet still auf seine Zeit
Und alle Freunde sind schon hier

[Pre-Refrain]
Ich möchte nichts vergessen
Nicht eine Minute, keinen Moment mit dir
Wäre doch nicht immer alles für immer
Dann wärst du hier

[Refrain]
Zurück bei mir
Würdest du jetzt bitte wieder nach Hause kommen?
Hier wartet alles nur auf dich
Es brennen unsere Brücken
Alles voller Lücken
Denn am meisten warte ich

[Bridge]
So viele Wege haben wir noch nicht genommen
Würdest du bitte wieder nach Hause kommen?
Zurück zu mir
Zurück zu mir
Zurück zu mir
Zurück zu mir

[Refrain]
Zurück zu mir
Würdest du jetzt bitte wieder nach Hause kommen?
Hier wartet alles nur auf dich
Weißt du, wie sehr ich dich vermiss'?
Es brennen unsere Brücken
Alles voller Lücken
Alles wartet hier auf dich
Und am meisten warte ich","https://genius.com/Broilers-nach-hause-kommen-zuruck-zu-mir-lyrics","Released April 23, 2021
Photography

    
      Robert Eikelpoth
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Management

    
      JKP Gmbh
Graphics

    
      Dirk Fritz
Distributor

    
      Warner Music Group
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Label

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Sammy Amara
Artwork

    
      Sammy Amara
Bass

    
      Ines Maybaum
Composer

    
      Sammy Amara"
"3","Broilers","Gib das Schiff nicht auf!","Puro amor","[Songtext zu „Gib das Schiff nicht auf!“]

[Strophe 1]
Wir sind als stolzes Schiff vom Stapel gelaufen
Gute Fahrt, die Risse im Rumpf sind ganz zart
Vollgeladen, vollgetankt
Volle Fahrt auf die erste Sandbank
Die Pest kam an Bord, die Pest ging von Bord
Käpt'n, mein Käpt'n, die Mannschaft ist krank

[Pre-Refrain]
Im Hafen wärst du in Sicherheit gewesen
Aber dafür werden Schiffe nicht gebaut

[Refrain]
Gib das Schiff nicht auf
Lass uns wissen, dass du noch an uns glaubst
Gib das Schiff nicht auf
Lass uns wissen, dass du noch an uns glaubst

[Strophe 2]
Wir spucken Zähne und lutschen Zitronen
Im Kielwasser schwimmen uns're Dämonen
Und geht wer von Bord, holt man ihn wieder rein
Auf offener See wird geholfen, du Schwein

[Pre-Refrain]
Der Hafen wird kleiner, vor uns liegt ein Sturm
Der Mast ist gebrochen, nichts ist verlor'n

[Refrain]
Gib das Schiff nicht auf
Lass uns wissen, dass du noch an uns glaubst
Gib das Schiff nicht auf
Lass uns wissen, dass du noch an uns glaubst

[Bridge]
In diesem Schiff auf dem Grund des Meers
Meine Knochen mit Blei beschwert
Bis auch die letzte Seele wiederkehrt
Geben wir hier gar nichts auf
Geben wir hier gar nichts auf

[Refrain]
Gib das Schiff nicht auf
Lass uns wissen, dass du noch an uns glaubst (Gib nicht auf, gib nicht auf)
Gib das Schiff nicht auf (Gib nicht auf, gib nicht auf)
Lass uns wissen, dass du noch an uns glaubst (Gib nicht auf, gib nicht auf)

[Post-Refrain]
Gib nicht auf, gib nicht auf
Gib nicht auf, gib nicht auf
Gib nicht auf, gib nicht auf
Gib nicht auf, gib nicht auf","https://genius.com/Broilers-gib-das-schiff-nicht-auf-lyrics","Released April 23, 2021
Photography

    
      Robert Eikelpoth
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Management

    
      JKP Gmbh
Graphics

    
      Dirk Fritz
Distributor

    
      Warner Music Group
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Label

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Sammy Amara
Artwork

    
      Sammy Amara
Bass

    
      Ines Maybaum
Composer

    
      Sammy Amara"
"4","Broilers","Porca Miseria","Puro amor","[Songtext zu „Porca Miseria“]

[Strophe 1]
Hast du denn keine letzten Worte?
Alte Männer reden uns rein
Wir liegen hier in Trümmern
Wir sind leider nicht mehr eins
Wenn ich heute zu dir will
Hält man mich auf und davon abEs wurden Grenzen gezogen um unsWeil's niemand ausgehalten hat

[Refrain]
Porca Miseria,quelle malheur
Was eine Scheiße, nur noch ich, nicht mehr wir

[Strophe 2]
Wir waren zu leichtfertig
Es war wie selbstverständlich eine Welt
Wir schmeißen gelbe Sterne an die blaue WandUnd hoffen, dass das Ganze hält
Blieben Neid und zu viel Stolz
Als irgendetwas in uns starb
Es geht sich nicht mehr aus
You fucked this shit up

[Refrain]
Porca Miseria,quelle malheur
Was eine Scheiße, nur noch ich, nicht mehr wir
Nicht mehr weit das TorNicht mehr hoch die Tür
De puta Madre
Nur noch ich, nicht mehr wir

[Bridge]
Wofür, wofür wurd' jahrelang gekämpft?
Für die Aufklärung geblutet,wir haben uns getrennt
Wofür (Wofür), wofür das alles?
Damit die Scheiße brennt

[Refrain]
Porca Miseria, quelle malheur
Was eine Scheiße, nur noch ich, nicht mehr wir
Nicht mehr weit das TorNicht mehr hoch die Tür
De puta madre
Nur noch ich, nicht mehr wir","https://genius.com/Broilers-porca-miseria-lyrics","Released April 23, 2021
Photography

    
      Robert Eikelpoth
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Management

    
      JKP Gmbh
Graphics

    
      Dirk Fritz
Distributor

    
      Warner Music Group
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Label

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Sammy Amara
Artwork

    
      Sammy Amara
Bass

    
      Ines Maybaum
Composer

    
      Sammy Amara"
"5","Broilers","Alter Geist","Puro amor","[Songtext zu „Alter Geist“]

[Strophe 1]
Da wo alles bereits kaputt ist, geht noch mehr kaputt
Kennst du die Theorie vom zerbrochenem Fenster?
Hab niemand eingeladen, alle kommen vorbei
Aus dem Keller, aus den Schränken Geister und Gespenster

[Pre-Refrain]
Es wird eh nicht mehr so hell zum Tag
Ich bin schon wieder zurück in schwarz

[Refrain]
Was bleibt, wenn der Sommer geht?
Was bleibt, wenn der Sommer geht?
Was hart? Jetzt wird es härter
Was schwarz? Jetzt wird es schwärzer

[Strophe 2]
Die Blätter fallen, mir fällts nicht leicht
Pünktlich, pünktlich in der Zeit, es kehrt zurück der alte Geist
Es hielt sich zu, regnet sich an, ich sauge Trauriges auf
Lege mich hinein

[Pre-Refrain]
Es sickert ein und macht sich breit
Er ist zurück, der alte Geist

[Refrain]
Was bleibt, wenn der Sommer geht?
Was bleibt, wenn der Sommer geht?
Was hart? Jetzt wird es härter
Was schwarz? Jetzt wird es schwärzer

[Bridge]
Ich such dich nicht, denn du suchst nach mir
Sind uns lange gut bekannt und du machst mir keine Angst mehr
Geht alles wieder, wie es war
Wir sehen uns im nächsten Jahr

[Refrain]
Was bleibt, wenn der Sommer geht?
Was bleibt, wenn der Sommer geht?
Was hart? Jetzt wird es härter
Was schwarz? Jetzt wird es schwärzer
Was bleibt, wenn die verdammte Wolke über uns schwebt?
Was bleibt? Du bist die, wie du gegangen bist
Wenn die verdammte Wolke über uns schwebt?

[Outro]
Du wirst nicht vermisst","https://genius.com/Broilers-alter-geist-lyrics","Released April 23, 2021
Photography

    
      Robert Eikelpoth
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Management

    
      JKP Gmbh
Graphics

    
      Dirk Fritz
Distributor

    
      Warner Music Group
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Label

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Sammy Amara
Artwork

    
      Sammy Amara
Bass

    
      Ines Maybaum
Composer

    
      Sammy Amara"
"6","Broilers","Trink mich doch schön","Puro amor","[Songtext zu „Trink mich doch schön“]

[Strophe 1]
Ein Teil von uns im Raum
Stellt sich einen rein von seiner schmalen Rente
Ich selbst, ich lebe hier
Zieh am leck'ren Nikotin langsam in die Wände

[Refrain]
Niemand möchte allein sein
Bitte trink mich doch schön, bitte bleib bei mir
Nur diese eine Nacht, nur noch ein kleines Bier
Bitte trink mich doch schön, bitte bleib bei mir
Du musst wirklich noch nicht gehen, bleib noch еin bisschen hier, oh-oh-oh-oh

[Strophe 2]
Während hintеr uns die Dartpfeile durch den Raum fliegen (Da, da, da, da)
Würden wir einen engen Blues tanzen, könnte ich noch stehen
Ich würde high sein, in dein Ohr singen, könnte ich noch sprechen
Und wir würden eng umschlungen zu dir nach Hause gehen

[Refrain]
Niemand möchte allein sein
Bitte trink mich doch schön, bitte bleib bei mir
Nur diese eine Nacht, nur noch ein kleines Bier
Bitte trink mich doch schön, bitte bleib bei mir
Du musst wirklich noch nicht gehen, bleib noch ein bisschen hier, oh-oh-oh-oh

[Bridge]
Dort kommt niemand neues herein, setzt sich niemand neben mich
Niemand, der seine Nummer neben all die Striche auf meinem Deckel schreibt
Die ganze Nacht spielt sich so ab, bis in den Morgen hinein
Und ein Blick in den Spiegel, ein Rückbefehl, wieder allein, allein, allein, allein

[Refrain]
Bitte trink mich doch schön (Bitte trink mich doch schön)
Bitte bleib bei mir (Bitte bleib noch ein bisschen bei mir)
Nur diese eine Nacht, nur noch ein kleines Bier
Bitte trink mich doch schön (Bitte, bitte, geh noch nicht)
Bitte bleib bei mir (Ich halt' dir die Haare aus dem Gesicht)
Du musst wirklich noch nicht gehen
Bleib noch ein bisschen hier, oh-oh-oh-oh","https://genius.com/Broilers-trink-mich-doch-schon-lyrics","Released April 23, 2021
Photography

    
      Robert Eikelpoth
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Management

    
      JKP Gmbh
Graphics

    
      Dirk Fritz
Distributor

    
      Warner Music Group
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Label

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Sammy Amara
Artwork

    
      Sammy Amara
Bass

    
      Ines Maybaum
Composer

    
      Sammy Amara"
"7","Broilers","Schwer verliebter Hooligan","Puro amor","[Songtext zu „Schwer verliebter Hooligan“]

[Strophe 1]
Sie hebt deine Laune, du hebst deine Deckung nicht mehr
Mit 'nem Wegwerf-Handy telefonierst du diesem Mädchen hinterher
Die Firma ist nun ohne dich, der Mann aus der ersten Reihe ist fort
Schwer verliebter Kuschelbär, ehemals Gewalttäter im Sport

[Refrain]
Schwer verliebter Hooligan
Wir ha'm uns lang nicht mehr gesehen
Einhundert Stiche und einhundert Rosen
Kopf in den Wolken und Mann am Boden

[Strophe 2]
Die Faust bleibt in der Tasche, deine Hand greift nach einer anderen Hand
Und am Derby-Tag sprühst du ein riesengroßes Herz an ihre Wand
Feld-, Wald- und Wiesen-Picknick, Herz und Pfeil
Fettes Grinsen im Gesicht, alles nur kein Scherz, sie smiled

[Refrain]
Schwer verliebter Hooligan
Wir ha'm uns lang nicht mehr gesehen
Einhundert Stiche und einhundert Rosen
Kopf in den Wolken und Mann am Boden

[Post-Refrain]
Jede Wunde lässt sich mit ein paar Stichen näh'n
Nur dein Lieblingsmensch will dich jetzt nicht mehr seh'n
Du zerbeißt deinen Zahnschutz, wenn du an sie denkst (Hubba Bubba)
Schwer verliebter Hooligan, du hast dein Herz verschenkt (Wooh)

[Bridge]
Hooligans
Verliebte Seelen im Vollkontakt
Schwer verliebt
Schmetterlinge und Stress
Rock, Love, Love on the Tennisfeld
Schwer verliebt
Schmetterlinge und Stress

[Refrain]
Schwer verliebter Hooligan, nicht der Geschmack von Alk im Mund
Wir ham uns lang nicht mehr gesehen, zärtliches Streicheln von Polizeihund
Schwer verliebter Hooligan, Menschenohren noch beim Toben
Scheißegal, bin zuhause, einer unten, einer oben","https://genius.com/Broilers-schwer-verliebter-hooligan-lyrics","Released April 23, 2021
Photography

    
      Robert Eikelpoth
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Management

    
      JKP Gmbh
Graphics

    
      Dirk Fritz
Distributor

    
      Warner Music Group
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Label

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Sammy Amara
Artwork

    
      Sammy Amara
Bass

    
      Ines Maybaum
Composer

    
      Sammy Amara"
"8","Broilers","Diktatur der Lerchen","Puro amor","[Songtext zu „Diktatur der Lerchen“]

[Strophe 1]
In all den Jahren, es hat sich nichts geändert
Nur die Nacht weiß wie es mir geht
Ich schlafe schlecht, die Augen sind gerändert
Morgenradio tut mir körperlich weh
Die frühen Vögel fangen den Wurm
Dann kommen die ersten ins Mittagstief
Da reckt es sich, da streckt es sich
Das dumme Schwein, das um elf Uhr noch schlief

[Pre-Refrain]
Wenn Deutschland schläft, brennt bei mir Licht
Denn ich unterwerf mich nicht

[Refrain]
Preussische Tugend versaut die Jugend
Versaut die ganze Jugend
Alles, alles ist beleuchtet
Das Dröhnen in der Stille
Das Flutlicht in der Nacht
Deutschland schläft, ich bin noch wach

[Strophe 2]
Zu später Stunde, bin ich geschäftig
Schnelle Schritte über's Parkett
Hier klappern Fahnen, hier räumt man Möbel
Du kriechst hinein in dein Bett
Ich drehe auf, hochfunktional
Nachbarn schlagen hart an die Tür
Wenn dich das Land bettet zur Nacht
Kommt die Zeit, in der ich jubelier'

[Pre-Refrain]
Der Nachtzug fährt, steig nicht mehr aus
Es leuchtet hell im ganzen Haus

[Refrain]
Preussische Tugend versaut die Jugend
Versaut die ganze Jugend
Alles, alles ist beleuchtet
Das Dröhnen in der Stille
Das Flutlicht in der Nacht
Deutschland schläft, ich bin noch wach (Ich bin noch wach, ich bin noch wach)

[Bridge]
Deutschland schläft, es ist Gleitzeit
Mitten im Berg ein schmales gemeinsames Schwänzeln, das sich schließt
Diktatur der Lerchen, ich werde mich niemals fügen
Es brennt ein Licht, das nie erlischt
Das nie erlischt, das nie erlischt

[Refrain]
Deutschland schläft, ich bin noch wach
Jemand beschallt die ganze Nachbarschaft
Ich bin noch wach (Ich bin noch wach)
Solang es geht
Ich bin noch wach (Ich bin noch wach)
Und Deutschland schläft","https://genius.com/Broilers-diktatur-der-lerchen-lyrics","Released April 23, 2021
Photography

    
      Robert Eikelpoth
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Management

    
      JKP Gmbh
Graphics

    
      Dirk Fritz
Distributor

    
      Warner Music Group
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Label

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Sammy Amara
Artwork

    
      Sammy Amara
Bass

    
      Ines Maybaum
Composer

    
      Sammy Amara"
"9","Broilers","Da bricht das Herz","Puro amor","[Songtext zu „Da bricht das Herz“]

[Strophe 1]
Das Leben hält für Dich bereit
Offene Wunden, Wut und Streit
Der Boden unter den Füßen bricht
Der Verlust von Gleichgewicht
Enttäuschungen voraus
Mit den Verlusten wächst der Riss
Mit jeder Trennung etwas Gift
Ist nur ein Anruf, nur ein Brief
Nur eine Schwingung, nur ein Blick
Und alles ändert sich für Dich

[Pre-Refrain]
Und bist du ganz still, kannst du es hören

[Refrain]
Da bricht das Herz, ich höre es
Genau in diesem Momеnt wurde es zerstört
Ich hör' еs knacken, es platzt in der Brust
Dein Glaube und sein Verlust

[Strophe 2]
Mit diesem Wissen fällt es schwer
Eine reine Seele weniger
Du trägst den Brustkorb voller Splitter
Das rasselt laut, macht Dich bitter
Mit dem Hammer vor die Brust

[Pre-Refrain]
Und bist du ganz still, kannst du es hören

[Refrain]
Da bricht das Herz, ich höre es
Genau in diesem Moment wurde es zerstört
Ich hör' es knacken, es platzt in der Brust
Dein Glaube und sein Verlust

[Bridge]
Die großen Hoffnungen werden ganz klein
Die Realität holt Dich ein
Für jedes Unglück ein neuer Riss
Hör genau hin, wie es bricht
Und es bricht und es bricht und es hilft ja nichts
Da bricht das Herz

[Refrain]
Da bricht das Herz, ich höre es
Genau in diesem Moment wurde es zerstört
Ich hör' es knacken, es platzt in der Brust
Dein Glaube und sein Verlust","https://genius.com/Broilers-da-bricht-das-herz-lyrics","Released April 23, 2021
Photography

    
      Robert Eikelpoth
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Management

    
      JKP Gmbh
Graphics

    
      Dirk Fritz
Distributor

    
      Warner Music Group
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Label

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Sammy Amara
Artwork

    
      Sammy Amara
Bass

    
      Ines Maybaum
Composer

    
      Sammy Amara"
"10","Broilers","Dachbodenepisoden","Puro amor","[Songtext zu „Dachbodenepisoden“]

[Strophe 1]
Über mir rumpelt es wieder
Irgendjemand reißt die ganzen alten Kisten auf
Unterm Dach durchtrennt jemand die Siegel
Da steht doch dick und fett „Bitte nicht öffnen“ drauf
Irgendwer pumpt die ganze Scheiße hoch
Irgendwer wischt von den alten Bildern den Staub
Das ist mein Dachboden und diese Tür bleibt zu
Ich gehe ängstlich hinauf
Ich hab' da oben nichts zu suchen
Ich hab' da oben nichts mehr verlor'n

[Refrain]
Und doch bin ich oben, ich in oben, wenn du mich suchst
Ich hab' da oben, ich hab' da oben noch was zu tun

[Strophe 2]
Da oben liegt der letzte Urlaub mit meinen Eltern
Als die beste Freundin wegzog, stürzten Welten ein
Da oben liegt das erste Veilchen, der erste, echte Kuss
Und das erste Mal verlassen worden sein
Und wenn das alles nur ein Film wär'
Das ganze Leben nur ein Film wär'
Würde ich dann Pause drücken und zurückspulen

[Refrain]
Ich bin oben, ich in oben, wenn du mich suchst
Ich hab' da oben, ich hab' da oben noch was zu tun
Ich sorg' dafür, dass die Platte springt
Und das Bild an der besten Stelle hängt

[Bridge]
Ich hab' hier oben unterm Dach alles verstaut
Will das alles nicht mehr sehen, aber wissen, wo es ist
Falls ich eines Abends wieder zwischen den Kisten sitz'

[Refrain]
Ich bin oben, ich bin oben, wenn du mich suchst (Oh-oh)
Nicht weit weg, falls du mich vermisst (Oh-oh)
Ich bin oben, ich bin oben, wenn du mich suchst (Oh-oh)
Ich bin oben, ich bin oben, wenn du mich suchst (Oh-oh)","https://genius.com/Broilers-dachbodenepisoden-lyrics","Released April 23, 2021
Photography

    
      Robert Eikelpoth
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Management

    
      JKP Gmbh
Graphics

    
      Dirk Fritz
Distributor

    
      Warner Music Group
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Label

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Sammy Amara
Artwork

    
      Sammy Amara
Bass

    
      Ines Maybaum
Composer

    
      Sammy Amara"
