"","artist","title","album","text","url","metadata"
"1","Broilers","Carol Of The Bells","Santa claus","[Part 1]
Oi, oi, oi, oi
Oi, oi, oi, oi
Oi, oi, oi, oi
Oi, oi, oi, oi

[Instrumental Part]

[Part 2]
Feliz Navidad, -liz Navidad, -liz Navidad
Feliz Navidad, -liz Navidad
Feliz Navidad, -liz Navidad
Feliz Navidad

[Outro]
Feliz Navidad","https://genius.com/Broilers-carol-of-the-bells-lyrics","Released November 12, 2021
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Graphic Assistance

    
      Dirk Fritz
Photography

    
      Robert Eikelpoth
Distributor

    
      Warner Music Group
Label

    
      Skull & Palms Recordings
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 17 more
Arranger

    
      Dietmar Mensinger & Peter Wilhousky
Bass

    
      Ines Maybaum
Composer

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 16 more"
"2","Broilers","Feliz Navidad","Santa claus","[Verse]
Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad
Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad

[Chorus]
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
From the bottom of my heart

[Verse]
Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad

[Chorus]
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
From the bottom of my heart
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
I wanna wish you a merry Christmas
From the bottom of my heart

[Outro]
Oi!","https://genius.com/Broilers-feliz-navidad-lyrics","Released November 12, 2021
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Graphic Assistance

    
      Dirk Fritz
Photography

    
      Robert Eikelpoth
Distributor

    
      Warner Music Group
Label

    
      Skull & Palms Recordings
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 17 more
Arranger

    
      Dietmar Mensinger & Peter Wilhousky
Bass

    
      Ines Maybaum
Composer

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 16 more"
"3","Broilers","Christmas Time (Again)","Santa claus","[Verse 1]
Pushing through the crowded street
Rows and rows of moving feet
Santa's down the local store
Carol singers at the door
Stockings hanging on the wall
Awaiting for the snow to fall
We don't have to go to school
It's over, it's over, it's over

[Chorus]
Because it's Christmas time again
You know it's Christmas time again

[Verse 2]
I was snitching in the snow
Only one more day to go
Had myself a nasty fall
Landed up in hospital
Only shared the time with you
Now it seems it's very clear
Christmas won't be fun this year
It's over, it's over, it's over

[Chorus]
Because it's Christmas time again
You know it's Christmas time again (Alright, yeah)

[Bridge]
When I woke up on Christmas Day
All my friends had gone away
The things that really make me sad
Is thinking of my Mom and Dad
Presents 'round the Christmas tree
But not a single one for me
The Nurse said „Here is your Family“
It's over, it's over, it's over

[Chorus]
Because it's Christmas time again
You know it's Christmas time again
Because it's Christmas time again
You know it's Christmas time again

[Post-Chorus]
Now do it again
Now it's Christmas again
Now it's Christmas, Christmas, Christmas again
Now it's Christmas again
Now it's Christmas again
Now it's Christmas, Christmas, Christmas again
And now it's Christmas again
Now it's Christmas again
Now it's Christmas, Christmas, Christmas again
Now it's Christmas again
Now it's Christmas again
Now it's Christmas, Christmas, Christmas again, yeah

[Outro]
Merry Christmas everybody","https://genius.com/Broilers-christmas-time-again-lyrics","Released November 12, 2021
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Graphic Assistance

    
      Dirk Fritz
Photography

    
      Robert Eikelpoth
Distributor

    
      Warner Music Group
Label

    
      Skull & Palms Recordings
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 17 more
Arranger

    
      Dietmar Mensinger & Peter Wilhousky
Bass

    
      Ines Maybaum
Composer

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 16 more"
"4","Broilers","Grauer Schnee","Santa claus","[Songtext zu „Grauer Schnee“]

[Strophe 1]
Die Weihnachtsbäckerei ist abgebrannt
Boten schwärm'n von Logistikzentren aus
Kirchen werden weiter schlecht besucht
Coca-Cola hat den Weihnachtsmann geklaut

[Pre-Refrain]
Weihnachten kommt immer so plötzlichSchon wieder ist ein ganzes Jahr herum
Und weil wir eigentlich alles hab'nReißen wir uns dieses Mal zusamm'n

[Refrain]
Merry, merry Christmas
Alles ist besser, wenn wir uns seh'n, yeah
Mеrry, merry Christmas
Ich komm zu dir durch den grauen Schnee, yеah

[Strophe 2]Es sind dieselben drei Platten jedes MalDieselben Lieder, wie es schon immer warDie gleichen Speisen und der gute alte StreitDieselbe Liebe und viel zu wenig Zeit

[Pre-Refrain]
Weihnachten kommt immer so plötzlich
Schon wieder ist ein ganzes Jahr herum
Und durch das Wutgeschrei und dengrauen Schnee
Versuche ich zu dir zu komm'n

[Refrain]
Merry, merry Christmas
Alles ist besser, wenn wir uns seh'n, yeah
Merry, merry Christmas
Ich komm zu dir durch den grauen Schnee, yeah

[Bridge]
Ich komm zu dir
Ich komm zu dir
Ich komm zu dir durch den grauen Schnee, yeah
Ich komm zu dir
Ich komm zu dir
Ich komm zu dir durch den grauen Schnee, yeah

[Refrain]
Merry, merry Christmas
Alles ist besser, wenn wir uns seh'n, yeah
Merry, merry Christmas
Ich komm zu dir durch den grauen Schnee, yeah

[Post-Refrain]
(Merry, merry Christmas) Ich komm zu dir
Ich komm zu dir
Ich komm zu dir durch den grauen Schnee, ja
(Merry, merry Christmas) Ich komm zu dir
Ich komm zu dir
Ich komm zu dir durch den grauen Schnee, yeah","https://genius.com/Broilers-grauer-schnee-lyrics","Released November 12, 2021
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Graphic Assistance

    
      Dirk Fritz
Photography

    
      Robert Eikelpoth
Distributor

    
      Warner Music Group
Label

    
      Skull & Palms Recordings
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 17 more
Arranger

    
      Dietmar Mensinger & Peter Wilhousky
Bass

    
      Ines Maybaum
Composer

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 16 more"
"5","Broilers","Driving Home For Christmas","Santa claus","[Intro]
I'm driving home for Christmas
Oh, I can't wait to see those faces
I'm driving home for Christmas, yeah
Well, I'm moving down that line

[Pre-Chorus]
And it's been so long
But I will be there
I sing this song
To pass the time away

[Chorus]
Driving in my car
Driving home for Christmas

[Verse 1]
It's gonna take some time but I'll get there
Top to toe in tailbacks
Oh, I got red lights all around
But soon there'll be a freeway, yeah
Get my feet on holy ground

[Pre-Chorus]
So I sing for you
Though you can't hear me
When I get through
And feel you near me

[Chorus]
Driving in my car
I'm driving home for Christmas
Driving home for Christmas
With a thousand memories

[Post-Chorus]
Take look at the driver next to me
He's just the same
Just the same

[Verse 2]
Top to toe in tailbacks
Oh, I got red lights all around
I'm driving home for Christmas, yeah
Get my feet on holy ground

[Pre-Chorus]
So I sing for you
Though you can't hear me
When I get through
And feel you near me

[Chorus]
Driving in my car
I'm driving home for Christmas
Driving home for Christmas
With a thousand memories

[Fading Outro]
Take look at the driver next to me
He's just the same","https://genius.com/Broilers-driving-home-for-christmas-lyrics","Released November 12, 2021
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Graphic Assistance

    
      Dirk Fritz
Photography

    
      Robert Eikelpoth
Distributor

    
      Warner Music Group
Label

    
      Skull & Palms Recordings
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 17 more
Arranger

    
      Dietmar Mensinger & Peter Wilhousky
Bass

    
      Ines Maybaum
Composer

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 16 more"
"6","Broilers","Fairytale Of New York","Santa claus","[Verse 1]
It was Christmas Eve, babe
In the drunk tank
An old man said to me
„Won't see another one“
And then he sang a song
'The Rare Old Mountain Dew'
I turned my face away
And dreamed about you

[Verse 2]
Got on a lucky one
Came in eighteen-to-one
I've got a feeling
This year's for me and you
So, Happy Christmas
I love you, baby
I can see a better time
When all our dreams come true

[Verse 3]
They've got cars big as bars, they've got rivers of gold
But the wind goes right through you, it's no place for the old
When you first took my hand on a cold Christmas Eve
You promised mе Broadway was waiting for me

[Verse 4]
You were handsomе, you were pretty
Queen of New York City
When the band finished playing
They howled out for more
Sinatra was swinging
All the drunks, they were singing
We kissed on a corner
Then danced through the night

[Chorus]
And he boys of the NYPD choir
Were singing „Galway Bay“
And the bells were ringing out
For Christmas Day

[Verse 5]
You're a bum, you're a punk
You're an old slut on junk
Lying there almost dead on a drip in that bed
You scumbag, you sucker
You cheap, lousy fucker
Happy Christmas, your arse
I pray God it's our last

[Chorus]
And the boys of the NYPD choir
Still singing „Galway Bay“
And the bells are ringing out
For Christmas Day

[Verse 6]
„I could have been someone“
Well, so could anyone
You took my dreams from me
When I first found you
I kept them with me, babe
I put them with my own
Can't make it all alone
I've built my dreams around you

[Chorus]
And the boys of the NYPD choir
Still singing „Galway Bay“
And the bells are ringing out
For Christmas Day

[Instrumental Outro]","https://genius.com/Broilers-fairytale-of-new-york-lyrics","Released November 12, 2021
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Graphic Assistance

    
      Dirk Fritz
Photography

    
      Robert Eikelpoth
Distributor

    
      Warner Music Group
Label

    
      Skull & Palms Recordings
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 17 more
Arranger

    
      Dietmar Mensinger & Peter Wilhousky
Bass

    
      Ines Maybaum
Composer

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 16 more"
"7","Broilers","Santa Claus Is Comin’ To Town","Santa claus","[Intro]
Oh, es ist kalt in der Stadt
Es ist wirklich kalt in der Stadt
Wisst ihr, welche Zeit ist?
Band, wisst ihr welche Zeit ist? (Die Weihnachtszeit)
Weihnachtszeit (Weihnachtszeit)
Habt ihr schon geübt?
Wie, alle schon geübt? (Ja)
Schwischwa, Julius – Julius, hast du schon Saxophon geübt? (Oh ja)
Dann kriegst du ein neues Saxophon zu Weihnachten (Juhu)

[Chorus]
You better watch out
You better not cry
You better not pout
I'm telling you why
Santa Claus is coming to town
Santa Claus is coming to town
Santa Claus is coming to town (One, two, three)
He's making a list
He's checking it twice
He's going to find out
Who's naughty and nice
Becausе Santa Claus is coming to town
Santa Claus is coming to town
Santa Claus is coming to town

[Verse 1]
He sees you when you're sleeping
Hе knows when you're awake
He knows when you've been bad or good
So you better be good for goodness sake
Better be good for goodness sake

[Chorus]
You better watch out
You better not cry
You better not pout
I'm telling you why
'Cause Santa Claus is coming to town
Santa Claus is coming to town
Santa Claus is coming to town

[Saxophon Solo]

[Verse 2]
He sees you when you're sleeping
He knows when you're awake
He knows if you've been bad or good
So you better be good for goodness sake
You better be good for goodness sake, oh

[Chorus]
You better watch out
You better not cry
You better not pout
I'm telling you why
Because Santa Claus is coming to town
Santa Claus is coming to town
Santa Claus is coming to town, yeah

[Post-Chorus]
Santa Claus is coming to-, yeah yeah yeah
Santa Claus is coming to-, yeah yeah yeah
Santa Claus is coming to-, yeah yeah yeah
Santa Claus is coming to town

[Outro]
Santa Claus is coming to town, yeah","https://genius.com/Broilers-santa-claus-is-comin-to-town-lyrics","Released November 12, 2021
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Graphic Assistance

    
      Dirk Fritz
Photography

    
      Robert Eikelpoth
Distributor

    
      Warner Music Group
Label

    
      Skull & Palms Recordings
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 17 more
Arranger

    
      Dietmar Mensinger & Peter Wilhousky
Bass

    
      Ines Maybaum
Composer

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 16 more"
"8","Broilers","Christmas (Baby Please Come Home)","Santa claus","[Verse 1]
(Christmas) The snow's coming down
(Christmas) I'm watching it fall
(Christmas) Lots of people around
(Christmas) Baby, please come home
(Christmas) The church bells in town
(Christmas) All ringing in song
(Christmas) Full of happy sounds
(Christmas) Baby, please come home

[Chorus]
They're singing „Deck the Halls“
But it's not like Christmas at all
'Cause I remember when you were here
And all the fun we had last year

[Verse 2]
(Christmas) Pretty lights on the tree
(Christmas) I'm watching them shine
(Christmas) You should be here with me
(Christmas) Baby, please come home

[Chorus]
Thеy're singing „Deck the Halls“
But it's not likе Christmas at all
'Cause I remember when you were here
And all the fun we had last year

[Verse 3]
(Christmas) If there was a way
(Christmas) I'd hold back this tear
(Christmas) But it's Christmas day
(Please) Please
(Please) Please
(Please) Please, (Please) please
(Please) Please, (Please) please
(Please) Baby, please come home
(Christmas) Baby, please come home
(Christmas) Baby, please come home
(Christmas) Baby, please come home
(Christmas) Baby, please come home
(Christmas) Baby, please come home","https://genius.com/Broilers-christmas-baby-please-come-home-lyrics","Released November 12, 2021
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Graphic Assistance

    
      Dirk Fritz
Photography

    
      Robert Eikelpoth
Distributor

    
      Warner Music Group
Label

    
      Skull & Palms Recordings
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 17 more
Arranger

    
      Dietmar Mensinger & Peter Wilhousky
Bass

    
      Ines Maybaum
Composer

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 16 more"
"9","Broilers","Christmas Vacation","Santa claus","[Verse 1]
It's that time, Christmas time is here
Everybody knows, there's not a better time of year
Hear that sleigh, Santa's on his way
Hip, hip hooray for Christmas vacation

[Chorus]
Gotta a ton of stuff to celebrate
(Jing-a-ling-a-ling-a-ling-ling)
Now it's getting closer, I can't wait
(Jing-a-ling-a-ling-a-ling-ling)
Gonna make this holiday as perfect as can be
Just wait and see this Christmas vacation

[Verse 2]
This old house, sure is looking good
Got ourselves the finest snowman in the neighborhood
Ain't it fun, always on the run
That's how it's done on Christmas vacation

[Chorus]
Lets all deck the halls and light the lights
(Jing-a-ling-a-ling-a-ling-ling)
Get a toasty fire buring bright
(Jing-a-ling-a-ling-a-ling-ling)
Give St. Nick the warmest welcome that he's every had
We're so glad it Christmas vacation

[Bridge]
And when the nights are peaceful and serene
We can cuddle up and do our Christmas dreaming

[Instrumental Break]

[Pre-Chorus]
Christmas vacation, Christmas vacation
Christmas vacation, Christmas vacation
Christmas vacation, Christmas vacation
We're so glad it's Christmas vacation

[Chorus]
Peace and joy and love are everywhere
(Jing-a-ling-a-ling-a-ling-ling)
You can feel the magic in the air
(Jing-a-ling-a-ling-a-ling-ling)
Let the spirit of the season carry us away
Hip, hip, hooray for Christmas Vacation

[Outro]
La, la, la","https://genius.com/Broilers-christmas-vacation-lyrics","Released November 12, 2021
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Graphic Assistance

    
      Dirk Fritz
Photography

    
      Robert Eikelpoth
Distributor

    
      Warner Music Group
Label

    
      Skull & Palms Recordings
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 17 more
Arranger

    
      Dietmar Mensinger & Peter Wilhousky
Bass

    
      Ines Maybaum
Composer

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 16 more"
"10","Broilers","Merry Christmas (I Don’t Want To Fight Tonight)","Santa claus","[Intro]
Merry Christmas, I don't want to fight tonight
Merry Christmas, I don't want to fight tonight
Merry Christmas, I don't want to fight tonight
Merry Christmas, I don't want to fight tonight with you

[Chorus 1]
Where is Santa and his sleigh?
Tell me why is it always this way?
Where is Rudolph? Where is Blitzen, baby?
Merry Christmas, merry merry merry Christmas

[Verse 1]
All the children are tucked in their beds
Sugarplum fairies dancing in their heads
Snowball fighting, it's so exciting baby

[Chorus 2]
I love you and you love me
And that's the way it's got to be
I loved you from the start
'Cause Christmas ain't the time for breaking each other's hearts

[Chorus 1]
Where is Santa and his sleigh?
And tell me why is it always this way?
Where is Rudolph? Where is Blitzen, baby?
Merry Christmas, merry merry merry Christmas

[Verse 2]
All the children are tucked in their beds
Sugarplum fairies dancing in their heads
Snowball fighting, it's so exciting baby, yeah

[Chorus 2]
I love you and you love me
And that's the way it's got to be
I loved you from the start
'Cause Christmas ain't the time for breaking each other's hearts

[Post-Chorus]
Merry Christmas, I don't want to fight tonight
Merry Christmas, I don't want to fight tonight with
Merry Christmas, I don't want to fight tonight with you","https://genius.com/Broilers-merry-christmas-i-dont-want-to-fight-tonight-lyrics","Released November 12, 2021
Design

    
      Sammy Amara
Artwork

    
      Sammy Amara
Graphic Assistance

    
      Dirk Fritz
Photography

    
      Robert Eikelpoth
Distributor

    
      Warner Music Group
Label

    
      Skull & Palms Recordings
Copyright ©

    
      Skull & Palms Recordings
Phonographic Copyright ℗

    
      Skull & Palms Recordings
Producers

    
      Vincent Sorg
Writers

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 17 more
Arranger

    
      Dietmar Mensinger & Peter Wilhousky
Bass

    
      Ines Maybaum
Composer

    
      Alan Perry (UK), Chris Rea, Douglas Trendle & 16 more"
