"";"artist";"title";"album";"text";"url";"metadata"
"1";"Broilers";"Harter Weg (Go!)";"Santa muerte";"Das wird ein, das wird ein... harter Weg
Das wird ein, das wird ein... harter Weg
Das wird ein, das wird ein... harter Weg
Das wird ein, das wird ein... harter Weg

Diese Vorstadt war noch nie Rom
Alle Wege führen vor die Wand
Möchte doch auf deinem Rücken trauern
Das Streichholz in der Hand
Ich komm mir ganz schön Scheisse vor
Wie ich hier um Ausgang bettel
Ich wollte doch Geschichte schreiben
Nicht den verdammten Einkaufszettel

Go
See me go
Go
See me go
Das wird ein harter Weg raus...

Im Büro ein Romeo
Heisse Bilder an der Wand
Allein am Abend hängt die Libido
In Fetzen an der Hand
Sei schlau, nimm die Medikamente
Strick dir eine schöne Schlaufe
Der Stock im Arsch wird nie zum Rückrad
Halte Händchen und die Schnauze

Das wird ein, das wird ein... harter Weg
Das wird ein, das wird ein... harter Weg
Das wird ein, das wird ein... harter Weg
Das wird ein, das wird ein... harter Weg

Das wird ein harter Weg raus...

Siehst dich um nach der Gnade Gottes
Und wo der Jacobsweg anfängt
Die Kapillaren sind geweitet
Der Freiraum eingeengt
Denn die Einen kommen nie nach Hause
Beständig sitze ich und warte
Ich geh mal Zigaretten holen
Setze alles auf eine Karte
Diese Vorstadt wird niemals Rom
Wenn ich zum Abschied alles regle
Grüße aus dem Nirgendwo
Setz die Zeichen und die Segel

Das wird ein, das wird ein... harter Weg
Das wird ein, das wird ein... harter Weg
Go
See me go
Viel zu viel, was mir gefällt
Go
See me go
Wenig hier, was mich noch hält
Das wird ein, das wird ein... harter Weg (Go -see me go)
Das wird ein, das wird ein... harter Weg (Go -see me go)
Das wird ein, das wird ein... harter Weg (Go -see me go)
Das wird ein, das wird ein... harter Weg (Go -see me go)";"https://genius.com/Broilers-harter-weg-go-lyrics";"Released June 10, 2011
Label

    
      People Like You Records
Label

    
      People Like You Records"
"2";"Broilers";"In ein paar Jahren...";"Santa muerte";"Auf diese Wand fuhren wir zu
Warum ging das nicht in Flammen auf?
Die Welt gefickt, bevor ich mich das Küssen traute
Der Kirche Wein und dem Teufel Seelen klaute

Und Kinder ohne ProblemeHatten das Talent sie zu bekommen
Den Brand austreten, wenn meine Füße hier noch tanzen
Scheiße an Wände schmieren und Hinterhof-Romanzen

Vor ein paar Jahren sollte alles brennen
Und vor uns lag, wo wir heut’ stehen
In ein paar Jahren, frag mich was Leichteres
Ich musste die Welt in Flammen sehen

Eigentlich will ich doch nur ankommenEin weißes Haus direkt am MeerSchwarze Oliven und Rotwein und BrotEnkel und Narben und Liebe und Tod

Vor ein paar Jahren sollte alles brennen
Und vor uns lag, wo wir heut’ stehen
In ein paar Jahren, frag mich was Leichteres
Ich musste die Welt in Flammen sehen

Ich hab’s gefressen von Silberlöffeln und mit Dreck
Auch wenn ich damals von heute wenig sah
Nichts würd’ ich ändern, nicht Leben, Liebe, Leid und WutNicht besonders klug aber verdammt gut

Vor ein paar Jahren, sollte alles brennenVorne war da, wo wir heut’ gehenIn ein paar Jahren, frag mich was LeichteresIch muss diese Welt erst noch in Flammen sehen

Vor ein paar Jahren sollte alles brennen
Und vor uns lag, wo wir heut’ stehen
In ein paar Jahren, frag mich was Leichteres
Ich muss die Welt jetzt noch in Flammen sehen";"https://genius.com/Broilers-in-ein-paar-jahren-lyrics";"Released June 10, 2011
Label

    
      People Like You Records
Label

    
      People Like You Records"
"3";"Broilers";"Tanzt du noch einmal mit mir?";"Santa muerte";"Ich war mir so sicher und mein Freund, Du warst es auch
Dass der Geist von damals nie wiederkehrt
Wir lagen falsch, mein Freund, wir waren zu dumm
Ein faules Volk wie dieses hat sich noch nie gewehrt

Tanzt du noch einmal mit mir?
Sei einfach nur da
Tanzt du noch einmal mit mir?
Wenn nicht jetzt, wann dann?
Tanzt Du noch einmal mit mir?
Sei einfach nur hier
Tanzt Du noch einmal mit mir?
Bevor das alles explodiert

Die Gesichter wechseln und die Farben wechseln auchGezielte Worte zu stimmungsvoller Zeit
Der Mob, er läuft nicht, der Mob, er rennt
Den Nerv getroffen und das Schwein in dir befreit

Tanzt du noch einmal mit mir?
Sei einfach nur da
Tanzt du noch einmal mit mir?
Wenn nicht jetzt, wann dann?
Tanzt Du noch einmal mit mir?
Sei einfach nur hier
Tanzt Du noch einmal mit mir?
Bevor das alles explodiert

Ich packe meinen Koffer und ich nehme nichts mit
Ich halte Deine Hand unterm Ascheregen
Im dritten Jahrtausend gibt es zu viel alte Angst
Ich küsse Dich ein letztes Mal und lass die Erde beben

Tanzt du noch einmal mit mir?
Sei einfach nur da
Tanzt du noch einmal mit mir?
Wenn nicht jetzt, wann dann?
Tanzt Du noch einmal mit mir?
Sei einfach nur hier
Tanzt Du noch einmal mit mir?
Bevor die Scheiße explodiert";"https://genius.com/Broilers-tanzt-du-noch-einmal-mit-mir-lyrics";"Released June 10, 2011
Label

    
      People Like You Records
Label

    
      People Like You Records"
"4";"Broilers";"Schwarz, Grau, Weiß";"Santa muerte";"Das Land liegt brach und ich glaub', das weiß man
Hier wächst kein Gras, hier wächst nur Unmut
Ein steter Kampf ist im Gang
Das kann man spüren
Ein steter Kampf um Ehre, Boden und Blut

Ich konnt' das Fahnenschwenken noch nie ertragen
Das ist präsent wie diese Wunde, die nicht heilt
Bin hier geboren und hab' Glück gehabtIst da noch wer, der diesen Zufall mit mir teilt?

Über das Wasser, da kamenMännerMit schwarzen Augen und mit schwarzem Tee
Nahmen die Arbeit und dann die Frauen
Lass mal die Kirche im Dorf, nicht die Moschee

Das was ich weiß, das was ich binSieh mich als Teil des Problems
Die Finger verbrannt, der Stoff zu heiß
Deine Farben: schwarz, grau und weiß

Von ganz oben regnet's Zigeunertränen
In jedem Tropfen steckt ein kleiner Fluch
Die Fahnen hoch, die Augen fest geschlossen
Schließ' die Beine Mädchen, öffne ein Buch

Das was ich weiß, das was ich bin
Sieh mich als Teil des Problems
Das alles ist nicht schwarz, rot, nicht gold
Wenn die Dummheit uns einholt";"https://genius.com/Broilers-schwarz-grau-wei-lyrics";"Released June 10, 2011
Label

    
      People Like You Records
Label

    
      People Like You Records"
"5";"Broilers";"Verdammte Stille";"Santa muerte";"Der Asphalt atmet auf
Müde von all den Tritten
Verkehr dünnt sich aus
Am Bahnhof letzte Schritte
Nirgendwo staut es sich
Und die Luft wird etwas weicher
Ein Stadt entspannt sich
Und viele werden gleicher

Diese verdammte Stille
Die ganze Stadt liegt im Schlaf
Steh auf, wir müssen raus hier
Da draußen sind noch Leute wach
Diese verdammte Stille
Die ganze Stadt liegt im Schlaf
Da draußen sind noch Leute wie wir
Da draußen sind noch Leute wach

Die Nacht ist viel zu warm
Ich kann das von hier fühlen
Die Lichter sind noch an
Die besten Plätze zwischen Stühlen
Nichts ist hier stillgelegt
Würde es dir auch nicht glauben
Höre mir beim Atmen zu
Lieg da mit offenen Augen

Diese verdammte Stille
Die ganze Stadt liegt im Schlaf
Steh auf, wir müssen raus hier
Da draußen sind noch Leute wach
Diese verdammte Stille
Die ganze Stadt liegt im Schlaf
Da draußen sind noch Leute wie wir
Da draußen sind noch Leute wach

Mit dem Mond teil ich mir
Jede beigebrachte Narbe
Dieselben Arbeitszeiten
Im Gesicht die gleiche Farbe
Will der Nacht ins Auge sehen
Und dass sich der Abend wendet
So beginnt ein neuer Tag
Bevor mein alter endet

Diese verdammte Stille
Die ganze Stadt liegt im Schlaf
Steh auf, wir müssen raus hier
Da draußen sind noch Leute wach
Diese verdammte Stille
Die ganze Stadt liegt im Schlaf
Da draußen sind noch Leute wie wir
Da draußen sind noch Leute wach";"https://genius.com/Broilers-verdammte-stille-lyrics";"Released June 10, 2011
Label

    
      People Like You Records
Label

    
      People Like You Records"
"6";"Broilers";"Gemeinsam";"Santa muerte";"Es ist kalt vor deiner Tür
Illuminiert die Gassen
Menschen werden nicht ersetzt
Niemand ist weg von den Straßen
Von schlecht besuchten Kirchen über
Justizvollzugsanstalten
Komm vom Kreuz, genug gelittten
Welches Niveau sollen wir halten?

Sein ein Funke, eine Flamme
Wenn viele wenig sind

Wir stecken hier geminsam drin
Hältst du zu mir, halt ich zu dir
Wir stecken hier geminsam drin
Hältst du zu mir, halt ich zu dir

Hinterfragen, Skepsis, Zweifel
Dekadenter Luxus
Ganz fantastisch aufgeblüht das
Nischenprodukt Nihilismus
Hängst im Stammbaum, alter Mann
Mit müden, morschen Zweigen
Unverändert sieht man dann
Schwarzen Rauch aufsteigen

Sein ein Funke, eine Flamme
Wenn viele wenig sind

Wir stecken hier geminsam drin
Hältst du zu mir, halt ich zu dir
Wir stecken hier geminsam drin
Hältst du zu mir, halt ich zu dir
Wer aus der Masse tritt wird Ziel
Wir stecken hier gemeinsam fest
Wer aus der Masse tritt wird Ziel
Ich steh mit dir gegen den Rest

Wir stecken hier geminsam drin
Hältst du zu mir, halt ich zu dir
Wir stecken hier geminsam drin
Hältst du zu mir, halt ich zu dir
Wir stecken hier geminsam drin
Hältst du zu mir, halt ich zu dir
Wir stecken hier geminsam drin
Hältst du zu mir, halt ich zu dir

Ich steh mit dir gegen den Rest";"https://genius.com/Broilers-gemeinsam-lyrics";"Released June 10, 2011
Label

    
      People Like You Records
Label

    
      People Like You Records"
"7";"Broilers";"33 RPM";"Santa muerte";"Nachts bei den Treppen am Fluss
Siehst dir den Dreck im Süßwasser an
Deine Leichen, meine Leichen
Tanzen im Keller Arm in Arm

Überm Fluss liegt unser Lied
Wie Musik in schlechten Stunden
Fließt durch Adern, Zeiten, Städte
In der Minute dreiunddreißig Runden
Herzen schlagen, wenn wir uns berühren
Blut summt im Feedback-Ton
Etwas bleibt nach dem letzten Akkord
WieZahnsplitter im Mikrofon

Ganz egal
Ob ich Blut schwitz, bittere Tänen wein
Alles erträglich
Es muss nur immer Musik da sein
Ganz egal
Ob ich Blut schwitz, bittere Tänen wein
Alles erträglich
Es muss nur immer Musik da sein

Die Einen werden für immer bleiben
Die Anderen werden nie wiederkommen
Richtig vergessen will aber keiner
Dieses Gefühl bei dem richtigen Ton

Ganz egal
Ob ich Blut schwitz, bittere Tänen wein
Alles erträglich
Es muss nur immer Musik da sein
Ganz egal
Ob ich Blut schwitz, bittere Tänen wein
Alles erträglich
Es muss nur immer Musik da sein

Wir können alles sein
Das ist das, woran ich glaube
Wie ein Kuss von deinen Lippen
Und ein Auge für ein Auge
Auf dem höchsten Dach der Stadt
Am Dock unten im Hafen
Noch nie so gut getanzt
Selten so schlecht geschlafen

Ganz egal
Ob ich Blut schwitz, bittere Tänen wein
Alles erträglich
Es muss nur immer Musik da sein
Es muss nur immer Musik da sein
Es muss nur immer Musik da sein
Es muss nur immer Musik da sein
Es muss nur immer Musik da sein";"https://genius.com/Broilers-33-rpm-lyrics";"Released June 10, 2011
Label

    
      People Like You Records
Label

    
      People Like You Records"
"8";"Broilers";"Vom Scheitern (The World Is Yours, nicht!)";"Santa muerte";"La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley

In der Nacht beuge ich mich über die Kinder
Rei-ei-ei-eiß aus dem Traum
Die Wohnung ist leer, die Taschen gepackt
Landen mit der Hoffnung im Kofferraum

Der Himmel ist das LimitOder das Portemonnaie
Wir starten alles neu
Kein Arbeitsamt, kein Schnee
Vögel zieh'n Richtung Süden
Das Glück wird dort gefunden
Teutonenübefall
""I come from the land ganz unten""

Die Welt, sie wartet nicht auf dich
Das leben mag dich einfach nicht
Wirst überall sein, was du bist
Nicht erwartet, nicht vermisst
La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley

Wir schlafen im Wagen unter den Sternen
Feiern uns, erliegen dem CharmeGracias, Monsieur Vaffanculo
Das Leben ist schön, die Luft ist warm

Hier wartet man bereits
Fachkraft mit Doktorrat
Ouzo für gute Freunde
Würstchen im Emirat
Ich steig in Deutschland aus
Bin im Besitz der Welt
""Sharif don't like me""
In 80 Tagen ohne Geld

Die Welt, sie wartet nicht auf dich
Das leben mag dich einfach nicht
Wirst überall sein, was du bist
Nicht erwartet, nicht vermisst
Das ist Scheitern in L.A
Das ist Versagen in Madrid
Wirst überall sein, was du bist
Nicht erwartet, nicht vermisst

Ich nicht verstehen dich
Aber ich weiß echt viel
Das Büdchen missverstanden
Die Bar wurde mir zuviel
Vater, ich brauche Geld
Der deutsche Pass in Stücken
Wer friert schon unter Palmen
Hier leben Brüder unter Brücken

Die Welt, sie wartet nicht auf dich
Das Leben mag dich einfach nicht
Wirst überall sein, was du bist
Nicht erwartet, nicht vermisst
Das ist Scheitern in L.A
Das ist Versagen in Madrid
Wirst überall sein, was du bist
Du wirst nicht erwartet, du wirst nicht vermisst
La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley
La-la-la-lei-lei-la-la-ley";"https://genius.com/Broilers-vom-scheitern-the-world-is-yours-nicht-lyrics";"Released June 10, 2011
Label

    
      People Like You Records
Label

    
      People Like You Records"
"9";"Broilers";"Alles geht weiter";"Santa muerte";"[Strophe 1]
Die Tür ist lange zu, hier zieht nichts mehr
Das Maß scheint voll und das Glas ist scheinbar leer
Wo sind die Falter in meinem Bauch?
Was ist mit Rosen, die vermisst Du auch
Kamen nicht gemeinsam vor, aber überein
Schafften uns ab und ließen uns allein
Die Beziehung schal, Alltag im Land
Routine tötet und Arbeit, die steht an

[Refrain]
Alles geht weiter, auch ohne DichAlles geht weiter, auch ohne Dich

[2 Strophe]
Wir gaben das, was ging, rechnen nichts auf
Blut, Schweiß und Tränen nehmen wir in Kauf
Das ist ein Schlussstrich und meine Art
Du wirst nicht vermisst,Cupido, fick Dich hart

[Refrain]
Alles geht weiter, auch ohne Dich
Alles geht weiter, auch ohne Dich

[2x Bridge]
Das, was ich will...Am Ende ist das, was ich willDass Du dort, wo Du jetzt lebstGlücklich bist, wenn ich Dich seh

Am Ende ist das, was ich willEin neuer Mensch, der bei dir stehtDas ist okay und tut doch weh

[Refrain]
Alles geht weiter, auch ohne Dich
Alles geht weiter, auch ohne Dich";"https://genius.com/Broilers-alles-geht-weiter-lyrics";"Released June 10, 2011
Label

    
      People Like You Records
Label

    
      People Like You Records"
"10";"Broilers";"Weckt die Toten";"Santa muerte";"Du hörst sie alle sagen
Diese Zukunft war mal strahlender
Denn auf ihre alten Tage
Ist sie auch nicht mehr das, was sie einmal war

Wooooh wohohohoh wohohoh
Jeder wird hier gebraucht
Weckt die Toten auf

Man fasst sich an den Händen
Trocknet Tränen und nimmt Demut an
Und ich beginne zu bezweifeln
Ob man das alleine schaffen kann

Wooooh wohohohoh wohohoh
Jeder wird hier gebraucht
Weckt die Toten auf
Wooooh wohohohoh wohohoh
Jeder wird hier gebraucht
Weckt die Toten auf

Uns geht die Zukunft aus
Eine Lösung in der Ferne
Nur stete Krisenherde
Spenden uns noch Wärme
Und man teilt die Schaufeln
Und die große Angst
Man trifft sich an den Gräbern
Weckt die Toten und nimmt Haltung an

Wohohoh wohohohoh wohohoh
Jeder wird hier gebraucht
Weckt die Toten auf
Wooooh wohohohoh wohohoh
Jeder wird hier gebraucht
Weckt die Toten auf
Wohohoh wohohohoh wohohoh
Wohohoh wohohohoh wohohoh
Wohohoh wohohohoh wohohoh
Wohohoh wohohohoh wohohoh
Weckt die Toten auf";"https://genius.com/Broilers-weckt-die-toten-lyrics";"Released June 10, 2011
Label

    
      People Like You Records
Label

    
      People Like You Records"
