"","artist","title","album","text","url","metadata"
"1","CRO","Intro (Meine Musik)","Meine musik","[Songtext zu „Intro (Meine Musik)“]

[Intro]
Yeah!

[Hook 1]
Zuhause bin ich Carlo, aber alle nenn'n mich Cro
Denn ich kann nichts erzählen, ohne dass ich dabei flow'
Ist okay, du kannst mich Jay-Z nenn'n, Shady nenn'n, Brasy nenn'n
Doch nennst du mich Hurensohn, dann lernst du meinen Basey kenn'n
Und dann heißt es: renn, Motherfucker, renn, renn
Denn ich fick' dich immer wieder, so als würden wir uns kenn'n
Sag mir wer macht diese Candybeats? (Candybeats, Candybeats)
Und wen vermisst das ganze Land auf Viva oder MTV?

[Hook 2]
Zuhause bin ich Carlo aber alle nennen mich Cro
Denn ich kann nichts erzählen, ohne dass ich dabei flow'
Ist okay du kannst mich Realer nennen, Sieger nennen, die Lieder brenn'n
Doch gibst du sie Bushidofans, werden wir uns wiederseh'n
Und dann heißt es: renn, Motherfucker, renn, renn
Denn ich fick dich immer wieder, so als würden wir uns kenn'n
Sag mir wer macht diese Candybeats (Candybeats, Candybeats)?
Und wen vermisst das ganze Land auf Viva oder MTV? Cro!

[Part 1]
Jap, denn dieser Name ist Programm
Wie Obama, Futurama, wie Osama und Sadam
Verdammt, alle warten schon gespannt
Auf das Tape, erster Track, ich fang gerade eben an
Und egal, ob ich es drinnen oder draußen tu'
Egal ob Gangstershit, ob Battle oder Autotune
Ich weiß am Ende klingt es fresh
Also dreh es auf und du brauchst erstmal Urlaub um dich auszuruh'n
Denn ich geb' den Ton an wie ein Keyboardlehrer
Wenn es sein muss, geh' ich über Leichen wie ein Friedhofswärter
Du bist täglich in der Booth – ja, toll
Ich recorde einen Track und morgen steht es in der Juice
Und sie schreiben tausend Seiten, sagen, jeder findet's gut
Ein neuer Star an unserm' Himmel, andere reden, doch er tut's
Und sie sagen, es macht glücklich
Dass man nie wieder bedrückt ist, wir sind froh, dass du zurück bist, yeah

[Hook 1]
Zuhause bin ich Carlo, aber alle nenn'n mich Cro
Denn ich kann nichts erzählen, ohne dass ich dabei flow'
Ist okay, du kannst mich Jay-Z nenn'n, Shady nenn'n, Brasy nenn'n
Doch nennst du mich Hurensohn, dann lernst du meinen Basey kenn'n
Und dann heißt es: renn, Motherfucker, renn, renn
Denn ich fick' dich immer wieder, so als würden wir uns kenn'n
Sag mir wer macht diese Candybeats (Candybeats, Candybeats)?
Und wen vermisst das ganze Land auf Viva oder MTV? Cro!

[Part 2]
Denn ich bin euer neuer Lieblingsrapper
Alle wollen battlen, doch ich habe keine Zeit, ein Blick in mein'n Terminkalender
Stehe morgens zehn Uhr auf und steig' in meine Jeans und schlender'
Über Beats, übertrieben G, da hat sich nix verändert
Rapper können Nasen zieh'n, dann labern und mit Phrasen spiel'n
Doch sind sie mal nüchtern, ja, dann hör'n sie meine Parts und flieh'n
Ich wach' morgens auf, bin viel zu voll, doch trotzdem komm' ich jetzt
Denn meine Models steh'n nun mal auf Blasen, so wie Comictexte, whoa

[Hook 2]
Zuhause bin ich Carlo aber alle nennen mich Cro
Denn ich kann nichts erzählen, ohne dass ich dabei flow'
Ist okay du kannst mich Realer nennen, Sieger nennen, die Lieder brenn'n
Doch gibst du sie Bushidofans, werden wir uns wiederseh'n
Und dann heißt es: renn, Motherfucker, renn, renn
Denn ich fick' dich immer wieder, so als würden wir uns kenn'n
Sag mir wer macht diese Candybeats (Candybeats, Candybeats)?
Und wen vermisst das ganze Land auf Viva oder MTV? Cro!","https://genius.com/Cro-intro-meine-musik-lyrics","Released February 11, 2010
Featuring

    
      Danju
Producers

    
      CRO
Writers

    
      CRO & Danju
Copyright ©

    
      Chimperator & Groove Attack
Distribution

    
      Groove Attack"
"2","CRO","Einmal um die Welt","Meine musik","[Songtext zu „Einmal um die Welt“]

[Intro]
One, two
One, two, three, four!

[Hook]
Baby, bitte mach dir nie mehr Sorgen um Geld
Gib mir nur deine Hand, ich kauf' dir morgen die Welt
Egal, wohin du willst, wir fliegen um die Welt
Hau'n sofort wieder ab, wenn es dir hier nicht gefällt

[Part 1]
Ost, West oder Nord, hab den Jackpot an Bord
Will von hier, über London, direkt nach New York
Denn ab heute leb' ich jeden Tag, als ob ich morgen tot wäre
Laufe durch den Park und werf' mit Geld, als ob es Brot wäre
Nur noch Kaviar, Champagner oder Schampus
Baby, ich erfüll' dir wirklich jeden Wunsch mit Handkuss
Frühstück in Paris und danach Joggen auf Hawaii
Und um das Ganze noch zu toppen, gehen wir shoppen in L.A
Also pack dir deine Zahnbürste ein
Denn ab heute bist du mehr als an nur einem Ort daheim
Mit meinem Babe in der Hand und 'nem Safe an der Wand
Könn'n wir tun was wir wollen und das Leben ist noch lang also komm

[Hook]
Baby, bitte mach dir nie mehr Sorgen um Geld
Gib mir nur deine Hand, ich kauf' dir morgen die Welt
Egal, wohin du willst, wir fliegen um die Welt
Hau'n sofort wieder ab, wenn es dir hier nicht gefällt

[Part 2]
Sie will Kreditkarten und meinen MietwagenSie will Designerschuhe und davon ganz schön viel haben
""Manolo Blahnik, Prada, Gucci, und Lacoste""
Kein Problem, dann kauf' ich halt für deine Schuhe gleich ein ganzes Schloss
Sie will in Geld baden und sie will Pelz tragen
Und sie will schnell fahren, einmal um die Welt fahren
Sie kann sich kaufen, was sie wollte, doch nie hatte
Denn ich hab jetzt die American Express und zwar die schwarzealso komm

[Hook]
Baby, bitte mach dir nie mehr Sorgen um Geld
Gib mir nur deine Hand, ich kauf' dir morgen die Welt
Egal, wohin du willst, wir fliegen um die Welt
Hau'n sofort wieder ab, wenn es dir hier nicht gefällt
Baby, bitte mach dir nie mehr Sorgen um Geld
Gib mir nur deine Hand, ich kauf' dir morgen die Welt
Egal, wohin du willst, wir fliegen um die Welt
Hau'n sofort wieder ab, wenn es dir hier nicht gefällt

[Outro]
Ja, yeah!
Okay
Baby, du weißt Bescheid!
Komm einfach vorbei oder ruf mich an, kein Ding
Nur wir zwei, einmal um die Welt
Uh-huh, okay","https://genius.com/Cro-einmal-um-die-welt-lyrics","Released February 11, 2010
Featuring

    
      Danju
Producers

    
      CRO
Writers

    
      CRO & Danju
Copyright ©

    
      Chimperator & Groove Attack
Distribution

    
      Groove Attack"
"3","CRO","Sorry Girl","Meine musik","[Hook 1]
Mhh, yeah, Baby du bist wunderschön
Und wir können gerne weiterreden
Doch bevor wir beide gehen
Sollte ich dir noch eingestehen
Girl, aha aha, ich brech' dir nur dein Herz aha aha

Yeah, ok Babe, du bist genau mein Typ
Und wir können gerne weiter labern
Doch bevor wir beide schlafen
Sollte ich dir noch Eines sagen:
Girl, aha aha, ich brech' dir nur dein Herz, aha aha

[Part 1: DaJuan]
Mit der Liebe ist das so 'ne Sache, das ist mehr einKommen und Gehen
Ich nehm' die Mädels mit nach Hause in mein Bett, sie kommen und gehen
Ich sag's ihr ganz direkt:
""Girl, ich will dich nur für's Bett""
Und ich denk: ""Sie hat's gecheckt""
Doch sie will dann mehr als Sex
Sie will für immer bei mir bleiben
Am liebsten sofort heiraten
Doch da muss ich nein sagen
Und dann ganz schnell heimfahren
So war es bei Marie
Und so wird es bei Jacqueline
Die sind immer so verliebt
Doch dieser G ist das nie, yeah

[Hook 2]
Mhh, yeah, Baby du bist wunderschön
Und wir können gerne weiterreden
Doch bevor wir beide gehen
Sollte ich dir noch eingestehen
Girl, aha aha, ich brech' dir nur dein Herz aha aha

[Part 2: Cro]
Yeah, Baby, tut mir Leid
Ich weiß das klingt jetzt ganz schön fies, aber
Wir sind kein Pärchen, und ich bin nicht dein Liebhaber
Ja ich weiß, du bist so in mich verliebt, aber
Ich spür einfach nichts wenn ich dich ficke wie dein Stiefvater
Doch wir können gerne noch was essen gehen
Oder wenn du Bock hast noch 'ne Runde um die Ecke drehen
Wenn es sein muss, können wir uns auch gerne noch mal treffen
Doch meine Nummer kriegst du nicht
Glaub mir das ist besser, denn

[Hook 3]
Mhh, yeah, Baby du bist wunderschön
Und wir können gerne weiterreden
Doch bevor wir beide gehen
Sollte ich dir noch eingestehen
Girl, aha aha, ich brech' dir nur dein Herz aha aha","https://genius.com/Cro-sorry-girl-lyrics","Released February 11, 2010
Featuring

    
      Danju
Producers

    
      CRO
Writers

    
      CRO & Danju
Copyright ©

    
      Chimperator & Groove Attack
Distribution

    
      Groove Attack"
"4","CRO","Blank II","Meine musik","[Intro]
Money, money
Need more money

[Hook: Aloe Blacc]
I need a dollar, dollarA dollar is what I need, hey, heyWell I need a dollar, dollarA dollar is what I need, hey, hey‘said I need a dollar, dollarA dollar is what I needAnd if I share with you my storyWould you share your dollar with me

[Part 1: Cro]
Ich bin blank, kein Geld,kein Schiff
Tut mir leid babyEinmal um die Welt war ein Witz
Ich bin immer noch broke, immer noch CRO
Playstation zocken doch noch immer kein Strom
Also hast du mir 1 Euro? Darf ich vielleicht mal beißen?
Man ich sing dir auch was vor,oder putz dir deine Scheiben
Denn wenn ich heut nichts mehr esse, geht mein Arsch auf Eis
Ich bin jeden Tag am hustlen,es ist ""Hard knock life""
Doch ich bin mir sicher irgendwann kommt der Tag
An dem ich in dem Ritzhotel dran sitz und sag
""Mr. Bush Guten Tag, ja die Koffer kommen nach oben
Aber schicken sie mir sofort alle Models und die Drogen""...
..Ich komme wieder zu mir und wache auf in meiner Kotze
In der Gosse, es ist viertel nach 4, nur wegen mir
Stinkt das Gott-verdammte Viertel nach Bier
Denn ich bin sowas wie ein Star, alles redet nur von mir
Doch tut mir leid es interessiert mich nicht
Denn du kapierst es nicht, sitzt in Daddys Benz
Hast kein Hunger und dich friert es nicht, ich hab kein Bock mehr auf Bahn fahren
Schwarzfahren , zieh viel lieber mit den Homies,durch den Wald wie Tarzan

[Hook: Aloe Blacc]

[Part 2: Cro]
Ey, egal was ich versuch' geht direkt in die Hose
Ob Briefträger, Mienentreter, Chef, oder Bote
Fuck man! Ich brauch 'n' Plan und zwar JETZT, nur
Ich bin jede Branche von A bis Z durch
Und dann am Telefon sagte mein Chef nur:
""Seien Sie morgenfrüh bitte da Punkt 6 Uhr!""
WAS? Das können Sie sich wieder ausschlagen
Ich bleib lieber Lyr1c, denn als Rapper kann man ausschlafen
Also schieben Sie sich Ihre blöden Aufgaben doch in Ihren Hintern
Ey da könnt ich aus der Haut fahren
Doch ich weiß, ey ich sollte mich nicht aufregen
Deshalb mach ich's einfach wie mein DJ und tu.. (tut tut)
Denn mein Boss kann mich leider nicht gut ausstehenDenn ich will weder aufstehen, geschweige denn noch rausgehen
Doch ich würd dieses Tapejetzt gerne laut aufdrehen
Doch hab keine Boxen also kannst du mir was auslegen? NEIN ?!

[Hook: Aloe Blacc]



Folg RapGeniusDeutschland!","https://genius.com/Cro-blank-ii-lyrics","Released February 11, 2010
Featuring

    
      Danju
Producers

    
      CRO
Writers

    
      CRO & Danju
Copyright ©

    
      Chimperator & Groove Attack
Distribution

    
      Groove Attack"
"5","CRO","Meine Musik","Meine musik","[Songtext zu „Meine Musik“]

[Intro]
Wooho, wooho, wooho, wooho...

[Part 1]
Sie ist gerne laut und macht mit mir ein draufUnd jeder, der sie kennt geht mit ihr nach Haus
Doch es macht mir nichts aus, auch wenn du mir nicht glaubst
Manchmal bin ich doch ein kleines bisschen Stolz darauf
Denn sie ist wunderschön, sie ist schlau, sie ist nett
Manche wollen mit ihr nur chillen,andere gehen mit ihr ins Bett
Aber ich komm' damit klar
Denn sie ist was ich hab', was ich lieb', was ich brauch'
Und ich weiß genau
Sobald ich sie dir zeige liebst du sie auch

[Hook]
Oh Shit, ich denke nur an sie
Denn ich bin so verliebt in meine Musik
In meine Musik, in meine Musik
(In meine Musik)
Ich bin so verliebt in meine Musik, in meine Musik, in meine Musik
Ich bin so verliebt in dieses Lied, in dieses Lied, in dieses Lied
Ich bin so verliebt in meine Musik, in meine Musik

[Part 2]
Denn meine Musik ist immer für mich da, wenn ich sie grade brauch'
Und habe ich mal kein'n Bock, dann mach' ich sie aus
Es ist so easy, manchmal wünsch' ich mir sie wär' meine Frau
Dann geht sie Gassi mit dem Hund, kocht und putzt dann das Haus, oh yeah
Genauso stell' ich mir das vor
Nur wir beide, ganz alleine, keine Grenzen, keine weichen
Nur ein Blick von mir wird reichen und dann denken wir das Gleiche
Ich will dich für mich alleine, nein, ich meine ich sollt' teilen
Warum fällt es mir so schwer? Ich denke nur an sie -

[Hook]
Denn ich bin so verliebt in meine Musik
In meine Musik, in meine Musik
(In meine Musik)
Ich bin so verliebt in meine Musik, in meine Musik, in meine Musik
Ich bin so verliebt in dieses Lied, in dieses Lied, in dieses Lied
Ich bin so verliebt in meine Musik, in meine Musik, denn meine Musik","https://genius.com/Cro-meine-musik-lyrics","Released February 11, 2010
Featuring

    
      Danju
Producers

    
      CRO
Writers

    
      CRO & Danju
Copyright ©

    
      Chimperator & Groove Attack
Distribution

    
      Groove Attack"
"6","CRO","Mehr davon","Meine musik","[Songtext zu „Mehr davon“ ft. Danju]

[Hook: Cro]
(Mehr) Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon

[Part 1: Cro]
Sie will laute Mucke, er will heute feiern
Sie will heut' nur gucken, und er wird heut noch reihern
Sie will heute sippen, er will heute kiffen
Und sie will große Titten und er sie heut noch ficken (Oh)
Sie will Malibu, er will Vodka Bull
Sie will Party und er sich heut noch boxen
Sie will ein Liebeslied und er will diesen Beat
Doch ganz egal woher, wir wollen mehr

[Hook: Cro]
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon

[Part 2: Dajuan]
Sie hat sich schick gemacht, er zieht einfach los
Sie will jetzt in' Club, er kipptVodka-O
Sie will'n bisschen tanzen, er kriegt normal nur Schlampen
Sie kipptTequilaShots und beginnt zu schwanken
Sie ist ziemlich hübsch, er ist nicht ihr Typ
Doch sie wird langsam geil, er wirftTeileein
Sie tanzt wie in Trance, das ist seine Chance
Sie kommen sich beide näherund wollen mehr

[Hook: Cro]
(Mehr)
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon
Gib mir mehr davon

[Outro: Cro]
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Mehr)
(Er)
(Er)
(Mehr)
(Er)
(Er)
(Mehr)
(Er)
(Mehr ...)

Folg RapGeniusDeutschland!","https://genius.com/Cro-mehr-davon-lyrics","Released February 11, 2010
Featuring

    
      Danju
Producers

    
      CRO
Writers

    
      CRO & Danju
Copyright ©

    
      Chimperator & Groove Attack
Distribution

    
      Groove Attack"
"7","CRO","Super gelaunt","Meine musik","[Songtext zu „Super gelaunt“ ft. Danju]

[Hook: Cro]
Ja, ich bin so super gut gelaunt
War schon lang nicht mehr so super drauf
Auch wenn du es mir nicht glaubst
Ey, dieser Tag ist super-duper
Ja, ich bin so super gut gelaunt
War schon lang nicht mehr so super drauf
Auch wenn du es mir nicht glaubst
Ey, dieser Tag ist super-duper

[Part 1: Cro]
Jaaa, ich bin super gelaunt
Ich glaub ich war schon lange nicht mehr so gut drauf
Hey, Sonntagabend
Heißt bis zum Wochenende so lang warten
Will mir den Tag gern erträglich saufen
Doch hab weder Alk noch was zu Rauchen
Denn ich bin immer noch blank
Und alles was ich habe passt in den Schrank
Kann schon wieder meine Miete nicht zahlen
Denn mein Chef hat 'ne Frau aber liebt seine Zahlen
Und Ferrari und Armani
Und sein Ferienhaus auf Bali
Dieser lange Tag stresst
Denn das einzig positive war der Schwangerschaftstest
Meiner Ex
Doch es macht mir nichts aus
Denn ich bin ja so super drauf

[Hook: Cro]
Ja, ich bin so super gut gelaunt
War schon lang nicht mehr so super drauf
Auch wenn du es mir nicht glaubst
Ey, dieser Tag ist super-duper
Ja, ich bin so super gut gelaunt
War schon lang nicht mehr so super drauf
Auch wenn du es mir nicht glaubst
Ey, dieser Tag ist super-duper

[Part 2: Dajuan]
Ja, was für ein toller Tag
Heute Abend geht mal wieder so viel ab
Ich sitz' zuhause alleine vorm TV
Alles schon gesehen doch es macht mir nichts aus
Denn ich hab hier so viele Frauen
Nur ein Klick und schon ziehen sie sich aus
Und Cash? Ich mach Business mit Pokern
Ich hab immerhin nur'n bisschen verloren
Des ist schon top
Und mein Handy klingelt Non-stop
Denn meine Homies wollen in der Disse tanzen
Doch ich hab meine Prüfung heute nicht bestanden
Erstmal ein Jay-Jay bau'n
Doch das war klar meine Papes sind aus
Und ich find' nicht mal eins, geb' die Suche auf
Doch das macht mir nix aus, denn ich bin super drauf

[Hook: Cro]
Ja, ich bin so super gut gelaunt
War schon lang nicht mehr so super drauf
Auch wenn du es mir nicht glaubst
Ey, dieser Tag ist super-duper
Ja, ich bin so super gut gelaunt
War schon lang nicht mehr so super drauf
Auch wenn du es mir nicht glaubst
Ey, dieser Tag ist super-duper","https://genius.com/Cro-super-gelaunt-lyrics","Released February 11, 2010
Featuring

    
      Danju
Producers

    
      CRO
Writers

    
      CRO & Danju
Copyright ©

    
      Chimperator & Groove Attack
Distribution

    
      Groove Attack"
"8","CRO","Freestyle Skit","Meine musik","[Songtext zu „Freestyle Skit“ ft. Danju]

[Part 1: Cro]
Jap! Ehm okay, er ist hier
Du bist hier ich bin hier, ungefähr
Bei meinem vierten Bier
Weiß nicht ob's dich interessiert
Doch da geht noch Einiges
Denn meistens trink ich so lang bis es peinlich ist
Ey, da geht noch Einiges
Also gib mir Heineken
Oder deinen Benz oder deine Fans
Nein ich meine deinen Benz
Denn Fans brauch ich keine
Ich mach lieber Tausend Scheine
Denn ich verkaufe Steine:Schwarze, grüne, blaue, weißeRote, gelbe, graue, KreiseHarte, weiche, große, kleineSo 'ne ScheißeIch hab sogar lila-blau-und-rot-gestreifte
Und die krassen Rhymes
Ich bin ein Ass am Mic
Und sogar deine Homies sagen zu dir: ""Lass es sein""
Aber lieber wieder back to topic
Ich kick die Drags per Dropkick
Also sag Bescheid, wenn deine Schwester bock kriegt
Oder lieber doch nicht, ey, ich hab echt keine Ahnung
Doch für heute bin ich raus und das war's, also ciao!

[Part 2: Danju]
Okay, wer ist hier der Boss am Mic? Ich spitte locker-leicht
Das geht eins, zwei, drei, vier - Doppelreim
Deshalb hör mir lieber zu, du wirst nie so gut
Und meine Tracks finden sogar Teenies cool
Ist ja völlig klar, ich spitt nur ladida
Doch die Tracks sind fresh und ich werd bald'n Star
Also mach 'ne Flasche auf - ""Wie, der flippt völlig aus!""
Mann, was mach was ich draus? B', einfach aus'm Bauch
Ja, so mach ich das, des is' krasser Stuff
Und sagst du was, geht es Boom - Uppercut
Denn ich bin zwar kein Schrank, aber völlig drunk
Meine Homies da, ja, da geht was ab
Wir sippen bisschen Becks, und ich freestyle jetzt
Und der Scheiß ist besser als dein bester Text
Ja, der Chef am Mic, des' mein letzter Rhyme
Und deshalb lass ich's jetzt auch besser sein - yeah

Folg RapGeniusDeutschland!","https://genius.com/Cro-freestyle-skit-lyrics","Released February 11, 2010
Featuring

    
      Danju
Producers

    
      CRO
Writers

    
      CRO & Danju
Copyright ©

    
      Chimperator & Groove Attack
Distribution

    
      Groove Attack"
"9","CRO","Immer die Falschen","Meine musik","[Songtext zu „Immer die falschen“ ft. Danju]

[Part 1: Cro]
Ok, wieder mal ein Track über Chicks (Über Chicks)
Vor denen jeder Angst hat(Ahhh)
Samstag Nacht, zieh mit Homies durch die Clubs
Alle voll bis zum Anschlag
Und dann seh ich an der Bar, schönes langes blondes Haar
Denk mir ""Mhh, sprich sie an"", ah
Ich nehm die Sonnenbrille ab und ich grip auf sie zu
Es ist mein Blick der ihr sagt:
""Was geht ab schöne Frau""
Sie grinst mich an, und sie nimmt meine Hand
Als ob sie wüsste was noch abgeht
Und ich sag: ""Baby, ich bin Cro
Verrätst du mir vielleicht auch deinen Namen?""
Und sie sagt ""Heinz"", damn

[Hook: Cro]
Wieso krieg ich immer nur die falschen, immer nur die falschen
Wieso ich?
Wieso krieg ich immer nur die falschen, die nie die Klappe halten
Wieso ich?
Wieso krieg ich immer nur die falschen, immer nur die kalten, immer nur die alten?
Huh?
Wieso krieg ich immer nur die falschen, immer nur die falschen
Wieso ich?

[Part 2: Danju]
Ah, ok, Mittwoch Nacht, ich steh im Club
Und zieh nochmal am Jay-Jay
Drinnen geht nicht viel ab, ich beweg mich zum Takt
Doch dann seh ich diese Lady (Yeah)
Ich denk mir: ""Was geht ab? Die ist ganz schon hot
Mann, wie wär's mit uns, Baby, huh?""
Sie zeigt keine Reaktion, läuft einfach Richtung Klo
Ich denk mir: ""Was ist da los, huh?""
Und ich lauf ihr nach, hau auf ihren Arsch
Ab da war alles dunkel (Was?)
Sie war die Frau vom Boss, ich wurde ausgeknockt
Plus Hausverbot, fuck!

[Hook: Cro]
Wieso krieg ich immer nur die falschen, immer nur die falschen
Wieso ich?
Wieso krieg ich immer nur die falschen, die nie die Klappe halten
Wieso ich?
Wieso krieg ich immer nur die falschen, immer nur die kalten, immer nur die alten?
Huh?
Wieso krieg ich immer nur die falschen, immer nur die falschen
Wieso ich?

Folg RapGeniusDeutschland!","https://genius.com/Cro-immer-die-falschen-lyrics","Released February 11, 2010
Featuring

    
      Danju
Producers

    
      CRO
Writers

    
      CRO & Danju
Copyright ©

    
      Chimperator & Groove Attack
Distribution

    
      Groove Attack"
"10","CRO","3 Minuten","Meine musik","[Songtext zu „3 Minuten“]

[Hook]
Gib mir drei Minuten Zeit, ich muss kurz überlegen (Kurz überlegen)
Bin ich für dich schon bereit, oder bist du zu weit, tut mir Leid, ich muss kurz überlegen
Wieso ich dir nie zeig, was ich fühl, ich bin kühl, doch du weißt, ich will nicht drüber reden
Wieso kann ich nicht mit- und verdammt, wieso kann ich denn einfach nicht ohne dich leben?

[Part]
Sie ist hübsch, und sie ist nett
Ja ich würd sagen, Sie ist fast zu perfekt, denn
Sie ist cool, und sie hat Stil
Und manche würden sagen, sie ist real
Denn sie sagt, was sie denkt
Ihr Temperament ist der Arm, der sie lenkt, doch
Jeden Tag dieser Streit
Wegen irgendeinem Scheiß
Und es dreht sich im Kreis
Und dann kommt der Shit wieder hoch
Und ich frag mich wieso
Alter bist du so doof? und
Ist der stress mit anderen Chicks auch so groß?
Bin es ich oder sitzt sie wohl mit in dem Boot?
Und ich frag mich, ob sich der ganze Mist denn noch lohnt
Denn ein kleines Ding und sie zickt wieder los
Sie guckt mich an, sagt, dass sie mich liebt
Und sie wartet auf die Antwort
Aber ich Idiot sage bloß:

[Hook]
Gib mir drei Minuten Zeit, ich muss kurz überlegen (Kurz überlegen)
Bin ich für dich schon bereit, oder bist du zu weit, tut mir Leid, ich muss kurz überlegen
Wieso ich dir nie zeig, was ich fühl, ich bin kühl, doch du weißt, ich will nicht drüber reden
Wieso kann ich nicht mit- und verdammt, wieso kann ich denn einfach nicht ohne dich leben?


Folg RapGeniusDeutschland!","https://genius.com/Cro-3-minuten-lyrics","Released February 11, 2010
Featuring

    
      Danju
Producers

    
      CRO
Writers

    
      CRO & Danju
Copyright ©

    
      Chimperator & Groove Attack
Distribution

    
      Groove Attack"
