"";"artist";"title";"album";"text";"url";"metadata"
"1";"Culcha Candela";"Fuego";"Next generation";"-reedo-
Been a long time
Since we opened up a session inna here
Been a long time
But still me gwaan put some fire jah fire pon di place and now me say
Been a long time
And now me buzz it it one more time my guide is love
Been a long time
And deh me go fruther now candela still around

-don cali&lafrotino-
Fuego fuego llama a los bomberos
Fuego fuego baila y baja al suelo
Fuego fuego llama a los bomberos
La rumba se está prendiendo la calentaron los candeleros

-itchy&johnny-
Ey yo es brennt wieder mal denn wir sind wieda da
Culcha candela das heißt heiße kultur
Wir kommen wie lava brennen alles nieder
Zünden wie die nasa raketen voller lieder feuer
Kommt jetzt über die stadt über das ganze land
Nicht armagedon sondern ein neuanfang
Brennt ihr herzen aller nationen brennt hier kommt die generation
Die weiterkommt everybody jump jump jump jump

Chorus:
Fuego fuego llama a los bomberos
Fuego fuego baila y baja al suelo
Fuego fuego llama a los bomberos
La rumba se está prendiendo la calentaron los candeleros

Fuego fuego llama a los bomberos
Fuego fuego calienta als mundo entero
Fuego fuego llama a los bomberos
Repartimos calor en verano o en invierno

-reedo-
That's why me chant more fire
Fi make me life a brigther time everyday
That's why candela say more fire
Blaze it fi di meditation we no wanna fuck up me brain
All a di people say more fire
If you have love inna your heart we wanna hear you sing
Everybody sing more fire
Blaze it fi die meditation no we want no cocaine no no

-larsito-
5 bis zur nächsten culcha explosion sinds noch
4 alle hände hoch chaos im revier hier kommt die
3 wir sind ready 2 seid ihr ready
1 everybody jump

-lafrontino&don cali-
Se encendió la tarima el público hizo el clima
Pues a ellos les fascina como me expreso con mi rima
Este fin de semana es hora de gozar
Hora de tonnar hora de cantar y vacillar
Que paso?
Culcha candela llego a la tarima se subió
Y la rumba empezo
Pero que paso? el club se prendió!
Cuando cojimos los micrófonos la fiesta se exploto!

(chorus)
-chino-
It's bruning hot - culcha candela
Fell the vibe - this shit is so damn hot
Been a long time

-reedo-
Been a long time
Since we opened up a session inna here
Been a long time
But still me gwaan put some fire jah fire pon di place and now me say
Been a long time
And now me buzz it it one more time my guide is love
Been a long time
And deh me go fruther now candela still around";"https://genius.com/Culcha-candela-fuego-lyrics";"Released September 12, 2005
Featuring

    
      Maliq, Martin Jondo & Mellow Mark
Producers

    
      Culcha Candela
Writers

    
      Culcha Candela"
"2";"Culcha Candela";"Next Generation";"Next generation";"[Intro: Mr. Reedoo]
Culcha candela one more time now

[Refrain: Mr. Reedoo]
It's all about the next generation
Where people get ready for crossover stylee
It's the next generation
We mix up dancehall hip hop and reggae now
Next generation
Worldwide you see we unite
For the next generation
Now we say knowledge and style move on

[Part 1: Lafrotino]
Esta nueva generación te trae una nueva sensación
La escucharas en cada ocasión en cada radio estación
Ahora quien nos va a parar quien lo quiere intentar
Sin cultura no hay candela y tu no lo podras logar

[Part 2: Johnny Strange]
And again here we come with the positive vibe
With or without mic gotta work for our future
Gotta see the responsibility of the next generation your jau
See we livin in a time of decision
And use our energy to make a change is our mission
Am a son of the almighty me say just like you
And anyone of us have struggle for pass through
Any thing you a go do is just to make yourself grow
Until you get a chance to make a better tomorrow

[Refrain: Mr. Reedoo]
It's all about the next generation
Where people get ready for crossover stylee
It's the next generation
We mix up dancehall hip hop and reggae now
Next generation
Worldwide hear the people dem call
For the next generation
Now we say knowledge and style move on

[Part 3: Larsito]
Next generation we are more than just fun
Our responsibility is to carry on the music
That our ancestors once gave to us
They might rest in peace but their spirit is alive

[Part4: Itchyban]
Wir sind die Next Generation, die Sachen macht, die gab's noch nie
Wir bringen Mixed-Up-New-Style, das ist die new School, Ecstasy
Worldwide, weltweit schreien wie nach Unity
Denn wir battlen nie, wir bilden uns 'ne massive Community
Manch einer muss noch begreifen, dass Schwarze nicht Neger heißen
Look at us, wir haben Spaß und lassen jetzt die Früchte reifen
Es gab die 90s mit der Generation X, jetzt ist 2000 und fünf und wir sind Generation Next

[Refrain: Mr. Reedoo]
It's all about the next generation
Where people get ready for crossover styles
It's the next generation
We mix up dancehall hip hop and reggae now
Next generation
Worldwide you see we unite
For the next generation
Now we say knowledge and style move on

[Part 5: Mr. Reedoo]
You hear me coming from the dark moving to see a brighter day
With sunshine for everybody
Stepping out the dust from a no to a yeah yeah yeah
Spreading bare positivity
You have clean up your heart your mind and your talk all day
Conscious for ever we stay
Coming from the dark and we're moving to a brighter day
Let the sun shine on your day

[Refrain: Reedo]
It's all about the next generation
Where people get ready for crossover styles
It's the next generation
We mix up dancehall hip hop and reggae now
Next generation
Worldwide hear the people that call
For the next generation
Now we say knowledge and style move on
It's all about the next generation
Where people get ready for crossover styles
It's the next generation
We mix up dancehall hip hop and reggae now
Next generation
Worldwide you see we unite
For the next generation
Now we say knowledge and style move on

";"https://genius.com/Culcha-candela-next-generation-lyrics";"Released September 12, 2005
Featuring

    
      Maliq, Martin Jondo & Mellow Mark
Producers

    
      Culcha Candela
Writers

    
      Culcha Candela"
"3";"Culcha Candela";"Mother Earth";"Next generation";"[Hook - Mr. Reedoo &Johnny Strange]
We sorry forso much destruction -mother earth
Too much pollution -mother earth
We lose your connection
And we try to find artificial satisfaction
Show me your beauty -mother earth
We know it's our duty -to preserve
Money can't buy what you're worth
Mother earth - mother earth - mother earth

[Part I - Johnny Strange]
Yo mother earth I know you gave birth to me
Yo mother earth I know you really deserve to be praised
You are to source you are the heart of every one de
But we're so far away from you a wrong way
Is what we walk when we forget about you
People round the world them never worry about you
But we need you to survive I know
Got to save you before the wicked man a kill you

[Part II - Mr. Reedoo]
Wir tanken energie
Jeden tag überall solang wir wollen von dir
Du gibst uns kraft für so viel
Oh mutter erde bleib bei uns bleib hier
Wir tanken energie
Meditieren in deiner stille sind von dir inspiriert
Mama wir danken dir
Dank für deine gaben also mama bleib bitte hier

Hook

[Part III - Lafrotino]
Pacha mama no hay nada en este mundo
Que de tus frutos tu no nos puedas brindar
Pacha mama el dolor es tan profundo
Por los habitantes que no te saven respetar
No hay que esperar que esos guevones
Ensucien el agua y el aire haciendo millones
No hay que esperar
Pa mostrar el interes y darle a pacha mama el respeto que ella mereze

Hook

[Part IV - Mr. Reedoo]
Wir singen den song zusammen für mama erde
Denn wir wollen dich niemals vermissen mama erde
Gerade in den städten brauchen alle mama erde
Kann ich euch mal hören wir singen alle mama erde
Alles was wir essen kommt von dir mama erde
Und die nahrung für die seele auch mama erde
Du bist die stille im sturm mama erde
Ma-ma-ma-ma-ma-mama erde

Hook x2";"https://genius.com/Culcha-candela-mother-earth-lyrics";"Released September 12, 2005
Featuring

    
      Maliq, Martin Jondo & Mellow Mark
Producers

    
      Culcha Candela
Writers

    
      Culcha Candela"
"4";"Culcha Candela";"Una Serenata";"Next generation";"-larsito-
When i flow en mi lengua sabrosura pa que vengas
Girl you looking violenta nice and tender
Escucha que te voy a cantar a ti
Una serenata pa ti mami
Vamos a sudar otra vez asi
This is how we do when we go crazy
Reggae reggae reggae t t t ton

Chorus:
Oye niña baila el reggaeton
Que linda me robas el corazon
Oye niña baila el reggaeton
Que linda me robas el corazon

-johnny-
Now reggaeton a go bon fire over babylon now
Reggaeton a go bus ilya inna them soul now
Reggaeton make your body flow and your mind grow
This is the sound fi di people

-don cali-
Nena rica sabrosita mójate y quitate toda la ropa mamacita
No pierdas el control acercate mi amor te presento este son que se llama el
Reggaeton
Bate con tu cola que llego la hora de moverla como si fueses una batidora
Mueve tu cintura! oye que hermosura!
Mira! que tu tienes los rasgos de una india pura

Chorus:
Oye niña baila el reggaeton
Que linda me robas el corazon
Oye niña baila el reggaeton
Que linda me robas el corazon

-reedoo-
Watch di riddim hear di sound
Watch di party see di moves of di crowd
See di ladies see dem smile
Reggaeton is taking over inna brandnew style
Watch di riddim hear di sound
Watch di party see di moves of di crowd
See di ladies see them smile
Reggaeton is taking over inna culcha style

-lafrotino-
2005! der reggaeton kommt immer krasser
Culcha candela te lo trae a ti a tu casa
Blancos y negros para toda la masa
Dime que te pasa this is for la raza

-itchy-
Reggaeton-mania in alemania
Packt silke susie steffie und sogar die tania
Das reggaeton-jahr komm' und mach' mit
Bei boom ka boom ka das ist der sssccchhhhhh

-chino-
Vamos a bailar ahora - con mis amigos me le voy a presentar

Chorus:
Oye niña baila el reggaeton
Que linda me robas el corazon
Oye niña baila el reggaeton
Que linda me robas el corazon";"https://genius.com/Culcha-candela-una-serenata-lyrics";"Released September 12, 2005
Featuring

    
      Maliq, Martin Jondo & Mellow Mark
Producers

    
      Culcha Candela
Writers

    
      Culcha Candela"
"5";"Culcha Candela";"Who Got the Key";"Next generation";"-CHORUS-
Who got the key to get out of this body
Who got the key to get out of this life
Who got the key to get out of this body
Who got the key to get out

-JOHNNY-
I get bored of thisya life am living
Every single day I repeat the same thing
I want more action life and feeling
Something new must begin
Got to bring in motion and some variety
Got to make up me mind cause it's deep like an ocean
And no society could a ever enchain me
Cause I be any thing that I intend to achieve
And no one could ever invent this but me
Am a creator of my own destiny
On my way of breaking free

-CHORUS-
Who got the key to get out of this body
Who got the key to get out of this life
Who got the key to get out of this body
Who got the key to get out

-REEDOO-
Tell me where we go which way
Jah jah can say
Listen to your heart and pray
And you know the way (and you know the way)
We are walking one way
Help me now
Do you hear what I say

-JOHNNY-
Nod your head like a chicken
And release you brain
Cause this is the way that we free our feeling
We movin out of this money-made world

Into a brighter day

-REEDOO-
So many many question me want fi get done
So many question fi di answer: one
One love what we live one way we have gone
One world one blood one mount zion
One dream inna heart of each and every human
What peace and love and a bag of freedom
Nobody lonely united we stand
It's us holding the key in our hand

-CHORUS-
Who got the key to get out of this body
Who got the key to get out of this life
Who got the key to get out of this body
Who got the key to get out

-REEDOO-
Everyone is searching for love everyone
We wanna feel alright
There is only one solution one way
You have to love your own life

(and you know the way)";"https://genius.com/Culcha-candela-who-got-the-key-lyrics";"Released September 12, 2005
Featuring

    
      Maliq, Martin Jondo & Mellow Mark
Producers

    
      Culcha Candela
Writers

    
      Culcha Candela"
"6";"Culcha Candela";"Una Cosa...";"Next generation";"-DON CALI-
La cultivan en el paradiso
La cosechan! todos los días
La trabajan en laboratorios
En la selva con químicos
La disuelven y en polvo la convierten
Asegurada por ejércitos la reparten por kilos
Se la pasan a las mulas que se la tragan
Y hasta se la menten por el culo
Se montan al avión se van pal otro mundo
Muchas no regresan pues se les estalla en el estómago
Antes de llegar a su rumbo se les estalla y se mueren

-REEDOO-
Ich komm wie der Wind zu Mann, Frau und Kind
Erst so rein wie der Himmel und dann so verdreckt wie
Fixernadeln auf dem Spielplatz
Ich komm damit du was zu spielen hast
Ich komm aus der Erde voll Asche und Blut
Versteckt in der Scheiße find ich meinen Weg in deine Nase
Damit ich deinen Gehirnzellen einen blase

-CHORUS-
Una cosa…
Una cosa muy mala cochina sucia cocaína
It's the fucking cocaine
Una cosa…
Una cosa muy mala cochina sucia cocaína
Fucking up your brain

-ITCHY-
Für die Familie bin ich nur ein mieser Stricher
Trotzdem vielverdiener denn mein Job is krisensicher
Sicherlich wars bei mir mal exklusiv und teuer
Doch dafür gibt es heutzutage viel mehr gierige Mäuler
Vips, Houseparties, Sexkrüppel, Technoraves
Jetzt auch wannabe gs rapjams und baggypants
Meine Kunden ändern sich doch ich änder nix
Ausser wenn jetzt jeder losrennt und sich Hero fixt
Ich will nur Geld verdienen ohne es selbst zu nehm
Warts ab, wir werden uns bestimmt bald auf ner hippen Party sehen

-JOHNNY-
Yo gib es her denn ich brauchs jetzt, ich kauf es egal was es kostet
Ich verkauf sogar meine Seele für einen Kick der mich aufpeppt, mich aufweckt
Mich geil stark und selbstsicher fühlen lässt
Ahh jetzt bin ich ein Star
Ich scheiße auf euch alle man egal was ihr sagt
Ich bin der King und ich brings
Egal was es ist man ich besorgs dir mit links, ey dings...

-CHORUS-
Una cosa…
Una cosa muy mala cochina sucia cocaína
It's the fucking cocaine
Una cosa…
Una cosa muy mala cochina sucia cocaína
Fucking up your brain

-LAFROTINO-
Porque es mit tierra colombiana la que yo quiero
Yo la aprecio y la respeto por eso yo me emputo
Cuando el resto del mundo
Nos pone un sello en la cara
Como si fuésemos los vendedores de esa mata
No me gusta que a donde quiera que tu vallas
Con pasaporte colombiano
Siempre te regañan te requisan no te dan visa
Te devuelven a la casa y se cagan de la risa
No se imaginan lo que vives día a diario
En tu casa en tu pueblo y en tu barrio
Esa droga está acabando con mi tierra
Es el gran arma del diablo

-CHORUS-
Una cosa…
Una cosa muy mala cochina sucia cocaína
It's the fucking cocaine, fucking up your brain
Una cosa…
Una cosa muy mala cochina sucia cocaína
Fucking up your brain, fucking up your brain";"https://genius.com/Culcha-candela-una-cosa-lyrics";"Released September 12, 2005
Featuring

    
      Maliq, Martin Jondo & Mellow Mark
Producers

    
      Culcha Candela
Writers

    
      Culcha Candela"
"7";"Culcha Candela";"Partybus";"Next generation";"[Intro]
Brum, Brum! Der Partybus!

[Part I - Itchyban]
Bada Bang Boom! Ich wach auf und dann
Ich werd' munter Sonne scheint runter
Jetzt hab' ich endlich einen Grund um
Aufzustehen und rauszugehen um
Schwimmen, grillen, chillen, Freunde zu sehen
Auf meinem Mund wie auf anderen
Sehe ich viele grinser und die Leute laufen damit durch die Straßen
Was für ein Wahnsinn -tight!-
So I jump in my ride

[Refrain - Larsito]
We gotta roll so jump on da bus
We got soul ey yo don't be in a rush
It’s not cold go make yourself nass
Brum, Brum! Der Partybus geht rum

[Part II - Larsito]
We got one two three five seven eight guys
We got one two three five seven eight girls
(So what we gonna do)
Ladies I tell you what we gonna do
We gonna shake and break, and stretch and bake, dip and dive
This is the biggest, baddest party alive

[Part III - Don Cali]
Vamos a la playa este fin de semana
A pasarla con mis homies que les gusta la carne asada
Tangas arena sol y palmeras
Eso lo sabroso más que mi lleva buena

[Refrain - Larsito]
We gotta roll so jump on da bus
We got soul ey yo don't be in a rush
It’s not cold go make yourself nass
Brum, Brum! Der Partybus geht rum

[Part IV - Mr. Reedoo]
Sliding and diving and riding and driving to party
Waiting and smiling and dating and styling for party
Everybody jump, jump up to the roof
Feel di energy of di sound and groove
Forget about di pain a di leg just move
Music is healing that's what we prove
Give me your hand and then you gwan comprehend
That music is all you need and that music is all we send out for you
And for you and for the rest of your crew
Fi di party animal

[Refrain - Larsito]
We gotta roll so jump on da bus
We got soul ey yo don't be in a rush
It’s not cold, go make yourself nass (one more time, ya!)
Brum, Brum! Der Partybus geht rum

[Part V - Johnny Strange]
E-e-e-enjoy joy joy joy joy, it is time to enjoy
Invite everybody
We gonna call everybody take a bus and then we gon ride
Down to the beach party
Move out to the street watch out who we meet
The gal de from the next door with the sweetest body
I tell her to come over to the beach
‘Cause I chill down there with all the homies
Feel sunshine and do something with the feet, ease out and just break free

[Refrain - Larsito] x2
We gotta roll so jump on da bus
We got soul ey yo don't be in a rush
It’s not cold go make yourself nass
Brum, Brum! Der Partybus geht rum";"https://genius.com/Culcha-candela-partybus-lyrics";"Released September 12, 2005
Featuring

    
      Maliq, Martin Jondo & Mellow Mark
Producers

    
      Culcha Candela
Writers

    
      Culcha Candela"
"8";"Culcha Candela";"Jeder Tag ist ein Comeback";"Next generation";"[Verse 1 -Mellow Mark,Mr. Reedoo&Itchyban]
Der Wecker klingelt, 7 Uhr schon im Stress
Schmeiß dich aus dem Bett, machst dich kurz noch frisch
Und bist schon wieder auf dem Weg
Alltagsleben streng nach Plan
Immer auf der Autobahn
Kurz nich aufgepasst, für einen Augenblick, ein Unfall wirft dich aus der Bahn
Die Zeit hält an und die Gedanken schießen durch deinen Kopf
Es ist als wärst du aufgewacht aus einer langen schwarzen Nacht
Du bist dankbar, denn du weißt, du bist am Leben
Und dir wird klar, jeder Atemzug ist ein Segen

[Chorus - Mr. Reedoo]
Halt dein Glück nicht zu fest
Weil dein Glück dich schnell verlässt
Morgen bist du wieder weg
Doch jeder Tag ist ein Comeback

Du hast Glück, genieß es jetzt
Aber halt nicht daran fest
Immer weiter auf dem Flash
Denn jeder Tag ist ein Comeback!

[Post-Chorus - Larsito & Lafrotino]
La suerte llega y asi como viene ella se va
Aprovecha de ella que ei dia de manana se ira

[Verse 2 - Martin Jondo &Johnny Strange]
Come on make a step
Cause if yo wait you will regret
So many things to move it's only jah you don't need to proove

Step by step we are moving up
Feel jah guidance through we heart
Got to be patient gotta work hard
While time is running we schleve what we want

Little strokes fell big oaks
Don't fear the rocks down pon your road
Don't chase your aim untill your eyes get blind
Cause the way on which you walk is your truely life

We're all on a mission on the same wayStanding up for resistance and humanityWe show respect and we give thanks for each and every thingCause every day is a chance to get strong for a new beginning

[Chorus - Mr. Reedoo]
Halt dein Glück nicht zu fest
Weil dein Glück dich schnell verlässt
Morgen bist du wieder weg
Doch jeder Tag ist ein Comeback

Du hast Glück, genieß es jetzt
Aber halt nicht daran fest
Immer weiter auf dem Flash
Denn jeder Tag ist ein Comeback!

[Post-Chorus - Larsito & Lafrotino]
La suerte llega y asi como viene ella se va
Aprovecha de ella que ei dia de manana se ira

[Bridge - Don Cali]
Sacude las patas y hoze con mi genta levantate
Libers tu ment y mira hacia adelante grita tengo fe
Sacude las patas y hoza con mi genta levantate
Libers tu ment y mira hacia adelante grita tengo fe

[Chorus - Mr. Reedoo]
Halt dein Glück nicht zu fest
Weil dein Glück dich schnell verlässt
Morgen bist du wieder weg
Doch jeder Tag ist ein Comeback

Du hast Glück, genieß es jetzt
Aber halt nicht daran fest
Immer weiter auf dem Flash
Denn jeder Tag ist ein Comeback!

[Post-Chorus - Larsito & Lafrotino]
La suerte llega y asi como viene ella se va
Aprovecha de ella que ei dia de manana se ira";"https://genius.com/Culcha-candela-jeder-tag-ist-ein-comeback-lyrics";"Released September 12, 2005
Featuring

    
      Maliq, Martin Jondo & Mellow Mark
Producers

    
      Culcha Candela
Writers

    
      Culcha Candela"
"9";"Culcha Candela";"More Peace";"Next generation";"Mr. Reedoo
War! So much injustice and so many lies hey
Now people get together for love and unity is our only way

Everybody sing more peace
Inna die world and all around every nation all human sing more peace
People raise your voices wake up now time
Sing again more peace
Everywhere we see the people are dying and crying for more peace
But there is nothing but love

Lafrotino
Demasiadas guerras todos los años que han pasado
Las millones de personas que han sufrido y que han muerto
Yo no entiendo los politicos que piensan
Que con violencia se arregla la indiferencia
Se sienten poderosos con ejercitos humanos
Listos para terminar con la violencia con mis hermanos
Leo a diario el diario mientras camino por el barrio
Y triste me doy cuenta que para la paz no hay mas espacio

Johnny Strange
I take a look in the paper and I wonder
Hardliner politics are getting stronger
It seems like love and humanity go under
But I know soon righteousness shall overcome ya
Them can't hide them lies anymore
The world knows the reason what them really fight for
But we say no we don't accept this no more
We want no economy that is founded on war

Everybody sing more peace
Inna die world and all around every nation all human sing more peace
People raise your voices wake up now time
Sing again more peace
Everywhere we see the people are dying and crying for more peace
But there is nothing but love

Larsito
Everyday we are searching for the road to peace
What we need is only one thing and we gonna find it
One day we will see our love increase
And by loving one another mankind a reach it
There's no time for no moaning and walling
Because so many little things them are waiting
Things of solidarity and of sharing are paving our way
We walking for freedom
More war less opportunity
We are creating chances with music and unity
One by one step by step song by song
We've been waiting too long

Everybody sing more peace
Inna die world and all around every nation all human sing more peace
People raise your voices wake up now time
Sing again more peace
Everywhere we see the people are dying and crying for more peace
But there is nothing but love

Itchyban
Wir wollen mehr Frieden in den Städten mehr Frieden auf den Straßen
Mehr friedvolle Taten und nicht wertlose phrasen - wir sind
Bereit um Opfer zu bringen um für den Frieden zu singen
Durch unsere Lieder Kriegstreiber in die Knie zu zwingen
Keine Krise keine Kriege wir wollen einen stabilen Frieden
Viel mehr Menschen die sich lieben ohne den Drang zu besiegen
Übertrieben gesagt 'ne Welt wo jeder jeden mag
Zu jeder Zeit an jedem Ort an jedem Tag

Everybody sing more peace
Inna die world and all around every nation all human sing more peace
People raise your voices wake up nowatime
Sing again more peace
Everywhere we see the people are dying and crying for more peace
But there is nothing but love";"https://genius.com/Culcha-candela-more-peace-lyrics";"Released September 12, 2005
Featuring

    
      Maliq, Martin Jondo & Mellow Mark
Producers

    
      Culcha Candela
Writers

    
      Culcha Candela"
"10";"Culcha Candela";"Scheinwelt";"Next generation";"Du raffst nichts
Du machst nichts
Du checkst nichts
Entdeckst nichts ausser Hektik!
Weg mit Gedanken, man, die dieser Art entsprechen
Denn schenkst du ihnen Vertrauen werden sie dir das Genick brechen
Wie Ketten fesseln sie dich, komplett besetzen sie dich
Lästig wie Dreck, so schrecklich grässlich stressen sie dich
Sie lassen dich minderwertig fühlen und wollen dich quälen
Sie lassen dich glauben du musst sein, was andere dir erzählen
Du MUSST jeden Tag den neusten Markentrend anhaben!
Du MUSST jede Stunde neue Klingeltöne laden!
Du DARFST bloss nicht zeigen dass du keine Kohle hast
Und um Gotteswillen pass auf, dass du nicht das Falsche sagst!
Sie diktieren dir Wünsche, manipulieren die Psyche
Ernähren deine Angst und vermehren deine Süchte
Es nützt nichts zu flüchten, vor dir selbst und dem Alltag
Nur wenn du dich ihm stellst kommst du wirklich weiter!

Chorus:
Appetit kommt beim Essen
Ideen komm'n beim Denken
Der Weg ist das Ziel
Und Schicksal lässt sich lenken
Such nicht Außen nach der Wahrheit, denn die liegt in dir drin
Wach auf aus der Scheinwelt - der Medien!

Spanisch:
Me siento atraído a la pantalla
No se como liberarme pero yo se que ella me engana
Sus colores son tan bellos creo que me hipnotizan
Pues me falta a mi la fuerza de no tamar su contenido en serio
Si eres un amigo o un enemigo que me acompana
7 dias a la semana hasta en mi cama
A el que solo tengo que espicharle un botón para cambiarle el show

The pictures you´re seeing are absolutely phenomenal
When my country is at war... aa... I want: a... my country to win

Chorus (2x)

Ich fahr mir so genanntes Infotainment rein -
... sterben, mehr als 100 Menschen werden verletzt
Nur reine Negativität auf allen Kanälen
Und ich seh: 'ne suggerierte Wirklichkeit aus der wir wählen
Und ich seh: nur Schrottaussagen die quälen und nur rote Zahlen
Und die dreckigen Berichte von Pleiten, Pech und Pannen
Ich fang an zu planen, ja da steckt ein plan dahinter
Denn man hört kaum positive News von vielen gesunden Kindern
In der Tat es sind zur Zeit harte Zeiten
Und sie werden auch nicht besser mit dem Scheiss den Medien zeigen!
Bombaclot wo bleiben des Lebens positive Seiten?
Es gibt genug! Es liegt an uns Sie zu verbreiten!
– WORD!

Chorus (2x)

... wir sagen Herzlichen Dank für ihre Aufmerksamkeit
... und äh klettern Sie nicht aus Übermut wieder in die Bäume und bleiben Sie weiterhin unserer evolutionären Sendung treu";"https://genius.com/Culcha-candela-scheinwelt-lyrics";"Released September 12, 2005
Featuring

    
      Maliq, Martin Jondo & Mellow Mark
Producers

    
      Culcha Candela
Writers

    
      Culcha Candela"
