"";"artist";"title";"album";"text";"url";"metadata"
"1";"Dendemann";"BOOM BOOM, CHUCK!";"Therappening";"[Hook]
(Boom, boom, Chuck Norris)
Boom, boom, Chuck Norris
(Boom, boom, Chuck Norris)
Boom, boom, Chuck Norris
(Boom, boom) Boom, boom
(Boom, boom) Boom, Boom
(Boom, boom, Chuck Norris)

[Strophe]
Einen links, zwei rechts und ein Boom Boom Chuck
3 mal Hoch für den Mann der nicht dumm rumschnackt

Der seit 75 Jahren in den Jungbrunnen kackt
Happy Birthday, nix für Ungut, Chuck

Kein Kopf ist zu hoch für nen Roundhousekick
Der Hormonpegel bei dem jede Frau austickt

Jeglicher Widerstand ist ohne Zweck
Denn er besteht nur aus Muskeln, Bohnen und Speck

Über Texas Ranger werden keine Witze gemacht
Denn, Chuck hat schon Bruce Lee zum Schwitzen gebracht

Wir ham Bum Bum Boris seine Dumm Dumm Stories
Doch es gibt nur einen Chuck zu dem ""Boom Boom"" Norris

[Hook]";"https://genius.com/Dendemann-boom-boom-chuck-lyrics";"Released 2015
Featuring

    
      Blumentopf, Chilly Gonzales, Die Freie Radikale & 6 more
Producers

    
      NEO MAGAZIN ROYALE
Writers

    
      Dendemann, Fettes Brot & Kollegah"
"2";"Dendemann";"R.I.P., Mr. Spock";"Therappening";"[Hook]
Mr. Spock, Mr. Spock,Rest in peace, peace, peace, peace
Mr. Spock, Mr. Spock,Rest in peace, peace, peace

[Verse 1]
Die Welt steht still, die Galaxis ist geschockt
Nerds aller Planeten trauern um Mister Spock
Weil jedes Kind und jeder Rentner weiß
Ohne Star kein Trek und ohne Spock kein Enterprise
Du und Kirk seid klar wie Klaas und Joko
Außerdem hast du grünes Blut wie Marsimoto
Immer high wie dein Energiepegel
Die Guten gehen zu früh, ja, ich kenne die Regel
Danke, Spock, wir hatten Spaß mit dir
Denn du bist fast wie wir, irgendwie fasziniert
Jetzt hast du deinen Song du Popstar
Alles klar, aha, live long and prosper

[Hook]
Mr. Spock, Mr. Spock,Rest in peace, peace, peace, peace
Mr. Spock, Mr. Spock,Rest in peace, peace";"https://genius.com/Dendemann-rip-mr-spock-lyrics";"Released 2015
Featuring

    
      Blumentopf, Chilly Gonzales, Die Freie Radikale & 6 more
Producers

    
      NEO MAGAZIN ROYALE
Writers

    
      Dendemann, Fettes Brot & Kollegah"
"3";"Dendemann";"89 Problems but a Bitch ain’t one";"Therappening";"Wenn du Probleme hast, ja dann tut es mir leid
Hefner hat 99 und für deins keine Zeit

Man weiss nich was man von Ihm halten soll
Der König persönlich odern alter Troll

Er stand schon mit viel und auch schon mit nix da
Viagra-Maskottchen, Schutzpatron der Wichser

Aber what the dilly Homie was der Handel
Er rockt alle Partys nur im Bademantel

Und das sechste Glas später checkt es fast jeder
Er ist Hef, der Chef, der perfekte Gastgeber

Immer cool doch im Job hat er die Nase vor
99 problems und das doppelte an Hasenohren

Hast du damit ein Problem ja dann tut es ihm leid
Hefner hat 99 und für deins keine Zeit";"https://genius.com/Dendemann-89-problems-but-a-bitch-aint-one-lyrics";"Released 2015
Featuring

    
      Blumentopf, Chilly Gonzales, Die Freie Radikale & 6 more
Producers

    
      NEO MAGAZIN ROYALE
Writers

    
      Dendemann, Fettes Brot & Kollegah"
"4";"Dendemann";"Es gibt nur einen für den Job: Jürgen Klopp";"Therappening";"Berlin oder Karriere, Hamburg oder Sonne
Mir egal, weil ich nicht von hier weg komme

Hör mal, wech bin ich von hier, wie du sicher merkst
Umparken im Kopf, klar, aber nicht im Herz

Für'n Dortmund-Fan ist es seit eh und je normal
Ein paar Meistertitel, tja, und nen DFB-Pokal

Und genau darum frage ich was so was soll
Sammer war kein Hammer und erst recht nicht Thomas Doll

Mensch, was wird aus der Borussia nun
Es gibt noch so viel Arbeit, einer muss sie ja tun

Jeder Trainer wird nach 10 Jahren bekloppt
Ob nun Mut zur Lücke oder Achselhaare auf dem Kopp

Am Ende des Tages ist er ein moderner Mann
Und dafür sollten wir ihn auch so gerne haben, Mann

Es gibt jetzt und hier nur einen für den Job
Die Wahrheit liegt im Reim: Bitte bleib, Jürgen Klopp";"https://genius.com/Dendemann-es-gibt-nur-einen-fur-den-job-jurgen-klopp-lyrics";"Released 2015
Featuring

    
      Blumentopf, Chilly Gonzales, Die Freie Radikale & 6 more
Producers

    
      NEO MAGAZIN ROYALE
Writers

    
      Dendemann, Fettes Brot & Kollegah"
"5";"Dendemann";"F*ck Wagner";"Therappening";"[Hook]
Fuck Wagner [10x]

[Verse 1]
Ey yo Chilly diggah, sag mal
Dieser Spinner Richard WagnerIst vom Ding her nicht mehr tragbar
Ich spuck drauf, ja ich spuck auf dich
Auf die Willkür der Walküre bis ich Schluckauf krich'
Sag mir nicht was ich sollte, das hört sich trist an
Ich spuck auf dich Wagner und zwar wörtlich - Bis dann
Mit dem fließenden Flow und dem rollenden Rhyme
Doch wir wollen nur high und fly wie ein Holländer sein
Hauptsache nix mit Menschen
Hauptsache nix normales
Hauptsache frei und radikal und Sachen mit Gonzales
Die Sache wird ungewöhnlich und der Scheiß hier wird fett
Denn wir sind im Studio König mit dem Kaiser Quartett

[Hook]

Werde Teil der Genius-Deutschland-Community!";"https://genius.com/Dendemann-fck-wagner-lyrics";"Released 2015
Featuring

    
      Blumentopf, Chilly Gonzales, Die Freie Radikale & 6 more
Producers

    
      NEO MAGAZIN ROYALE
Writers

    
      Dendemann, Fettes Brot & Kollegah"
"6";"Dendemann";"In eigener Sache";"Therappening";"Manchmal muss ich mich aufregen
Damit ich mich spür'

Manchmal bin ich dagegen
Und weiß nicht wofür

Manchmal verwechsel ich im Leben Pflicht und Kür
Doch zu 99,9% geb ich mir richtig Mühe

Kurz ma was in eigener Sache Jan
Danke dass ich hier jede Woche meine machen kann

Ich hab was zu tun undn Heidenspass
Weil du zwangsfinanziert auch keinen Grund zum Streiken hast

Zu Geburtstagen und zu Jubiläen
Hab ich meistens souverän meinen Senf dazugegeben

Aber heute dacht' ich mir so auf dem Hinflug
Fett schwimmt gut also nach mir die Sinnflut

Denn das Gefühl wächst jedes mal in mir
Verdammt eigentlich bin ich doch nur wegen Farin hier

Manchmal verwechsel ich im Leben Pflicht und Kür
Doch zu 99,9% geb ich mir richtig Mühe";"https://genius.com/Dendemann-in-eigener-sache-lyrics";"Released 2015
Featuring

    
      Blumentopf, Chilly Gonzales, Die Freie Radikale & 6 more
Producers

    
      NEO MAGAZIN ROYALE
Writers

    
      Dendemann, Fettes Brot & Kollegah"
"7";"Dendemann";"Payback time, GEZ!";"Therappening";"Das geht an dich GEZ
Das ist the big payback

So'n echter Rapper hat ja Edelmetall
Und bei mir ist ausnahmsweise die Regel der Fall

Hüftplatin und ne goldene Nase
Und darum geht meine Rechnung hier folgendermaßen

20 Jahre gezahlt, es wird mir niemand glauben
Macht locker 4 Riesen, also Pi mal Daumen

Wenn ich jetzt jede Woche 17,50 spar'
Pro Staffel 6 Hunnis, ‘s wird noch schmutziger

Denn GEZ in sieben kurzen Jahren
Wird sich das große Payback wieder offenbaren

Noch 200 Shows, ich hab die Gebühren zurück
Ich wusste dieses Magazin führt mich zum Glück";"https://genius.com/Dendemann-payback-time-gez-lyrics";"Released 2015
Featuring

    
      Blumentopf, Chilly Gonzales, Die Freie Radikale & 6 more
Producers

    
      NEO MAGAZIN ROYALE
Writers

    
      Dendemann, Fettes Brot & Kollegah"
"8";"Dendemann";"Streik the power";"Therappening";"[Hook]
Streik the power, streik the power
Ich streik so lang's die power noch gibt

[Part]
1,2 Mikrochecker streik the power
Zieht den Stecker, schreit der Bauer
Nein, das ist kein schlechter Scherz
Wir fordern dicke Bässe bei 60 Hertz
Die Zeit ist knapp, vergeht zu schnell
Wir fordern mehr und 120 Dezibel
Und ja das W-Lan brauchen wir gleich
Und vielleicht auch nen trockenen Raucherbereich
Ich steh hier und sabbel meinen Text
Hab immer weniger Zeit für Doubletimeraps
Auch unser Druck der steigt auf Dauer
Die Freie Radikale sagt: streik the Power

[Hook]
Streik the power, streik the power
Ich streik so lang's die power noch gibt";"https://genius.com/Dendemann-streik-the-power-lyrics";"Released 2015
Featuring

    
      Blumentopf, Chilly Gonzales, Die Freie Radikale & 6 more
Producers

    
      NEO MAGAZIN ROYALE
Writers

    
      Dendemann, Fettes Brot & Kollegah"
"9";"Dendemann";"Operation Artikel 3.1";"Therappening";"Pfingstmontag ist Tag des Grundgesetzes
Also mach was du immer machst und verletz es

Ne, du nicht, es trifft immer den Verkehrten
Maxi: -das dies nicht stimmt kann von mir jetzt erklärt werden-

Vielleicht warst du ja sogar ja schon mal mit dabei
Vor 20 Jahren kam Operation Artikel 3

Ja, das ist verdammt lang her aber seh
Es ist nicht alles nur Satire oder Kabaret

Aber seh, es macht doch voll und ganz kein Sinn
Intoleranz ist out aber Toleranz nicht in?!

Warum ist uns die Liebe doch der Hass nicht peinlich
Und was macht eigentlich ne Meinung verfassungsfeindlich?

Kiss the System, wenn auch nur ein bisschen
Lies noch mal nach und glaub nicht an Ismen

Denn das Grundgesetz ist ein unterschätztes
Außer für Pegida und die Whackness

Es ist kein Zufall, es musste mal raus
Es ist kein Zufall, am Schluss kommt Applaus";"https://genius.com/Dendemann-operation-artikel-31-lyrics";"Released 2015
Featuring

    
      Blumentopf, Chilly Gonzales, Die Freie Radikale & 6 more
Producers

    
      NEO MAGAZIN ROYALE
Writers

    
      Dendemann, Fettes Brot & Kollegah"
"10";"Dendemann";"Zurück";"Therappening";"[Hook]
Es ist so schön dass wir zurück sind, endlich zurück sind
Verdammt nochmal die Sommerpause war hart
Na Gott sei Dank dass wir zurück sind, endlich zurück sind, im www und im TV-Apparat
N-E-O

[Part 1]
Ich mein ich hoff wir sind uns einig wie hart Witzefrei war
Es gab nich einen guten gag kein klitzekleiner
Kein Blitzgescheiter kein Sitzenbleiber
Ja da fliegt dir glatt das Blech weg - Richard Pryor
Wir sind back - die Spitzenreiter kom'ma' runter mann
Wir reiten den Staatsverrat gen Sonnenuntergang
Denn solang die Pegida maschiert ist unser Magazin geladen und wieder geschmiert
Von der 1, 2 es reicht nicht mal zu vier
Kaum 3 Monate ohne sonen Horror
Schon ist bei der FIFA wieder Sodom und Camorra
Überall Misgunst und peinlicher Argwohn
Wozu brauch son Flüchtling eigentlich n' Smartphone
Brat mir einern Jauch schlag mir einern Raab
Ja ihr habts gebraucht ja wir bleiben am Start
Gottseidank ist dieser Chef ja unkündbar
Ich sach wann ich draussen bin wie Stefan & Günther
N-E-O";"https://genius.com/Dendemann-zuruck-lyrics";"Released 2015
Featuring

    
      Blumentopf, Chilly Gonzales, Die Freie Radikale & 6 more
Producers

    
      NEO MAGAZIN ROYALE
Writers

    
      Dendemann, Fettes Brot & Kollegah"
