"","artist","title","album","text","url","metadata"
"1","Die Fantastischen Vier","Neues Land","Die 4 dimension","[Strophe:]
Gib uns kein gold denn das ist nur glimmer
Gib uns auch kein silber denn das fänden wir noch schlimmer
Wir wolln keine medaillen keine orden an der wand
Keine auszeichnung von vater staat und unserm mutterland
Wir wollen zeit eure aufmerksamkeit
Also nehmt euch zeit und werdet aufnahmebereit
Denn wir sind hier ihr wißt bescheid
Wir sind die vier und der verstand gibt uns die hand
Und wir betreten neuland
Komm komm mit gib mir deine hand
Diese reise führt direkt in deinen eigenen verstand
Sie geht durch dich durch und sie durchdringt dein sein
Du bist dein eigener mensch doch damit bist du nicht allein
Revolution evolution obwohl wir alle aufrecht gehn
Werden wir uns ewig fragen worum sich die dinge drehn
Schau hinauf zur sonne acht minuten du bist da
Der nächste stern vier jahre das ist immer noch nah
Begebe dich ins universum wo das paradox regiert
Wo dein mikrokosmos und dein denken jeden sinn verliert
Dann kehr zurück zur erde lege dich in ihren schoß
Und lerne jetzt zu leben denn die zeit ist gnadenlos
Denn die zeit verstreicht vergeht verinnt
So wie die worte die du hörst weil sie dann schon gesprochen sind
Die zeit kommt und sie geht sie nimmt was sie dir bringt
Tick tack tick hörst du wie das pendel schwingt
Hörst du wie die zeit vergeht hörst du wie der baum dort steht
Hörst du wie der wind drin weht wie sich die erde dreht
Hörst du wie sich energie entlädt sich der geist im hirn bewegt
Der weltenraum entsteht planet für planet
Von dieser ewigkeit in lichtgeschwindigkeit zur endlichkeit
Zu dir in deiner art der gegenwart zu dieser zeit
Ins jetzt und hier in voller fahrt fragen wir bist du bereit
Für diese dimension denn die da sind vergangenheit
In der bewegung liegt die kraft","https://genius.com/Die-fantastischen-vier-neues-land-lyrics","Released 1993
Writers

    
      And.Ypsilon, Michi Beck, Smudo & 1 more
Copyright ©

    
      Sony Music Entertainment Germany
Distribution

    
      Sony Music Entertainment
Label

    
      Columbia Records
Phonographic Copyright ℗

    
      Sony Music Entertainment Germany"
"2","Die Fantastischen Vier","Die 4. Dimension","Die 4 dimension","","https://genius.com/Die-fantastischen-vier-die-4-dimension-lyrics","Released 1993
Writers

    
      And.Ypsilon, Michi Beck, Smudo & 1 more
Copyright ©

    
      Sony Music Entertainment Germany
Distribution

    
      Sony Music Entertainment
Label

    
      Columbia Records
Phonographic Copyright ℗

    
      Sony Music Entertainment Germany"
"3","Die Fantastischen Vier","Tag am Meer","Die 4 dimension","[Strophe I:]
Jetzt bist du da, ein stück deiner zukunft dabei
Es ist schon lange klar du
Fühlst dich frei
Wenn die zukunft zur gegenwart wird hast du es getan
Das warten
War es wirklich dein plan
Dann verschwindet die zeit
Darauf du in ihr
Wolken schlagen salti
Du bist nicht mehr bei dir
Die zeit kehrt zurück
Und nimmt sich mehr von sich
In ihr bist du schnell
Doch wer bewegt dich
Der moment ist die tat
Die du tust
Augenblick
Denn dein auge erblickt was du tust und erschrickt
Vor dem ding das du kennst
Weil es immer da war
Die musik ist aus
Und ist immer noch da
Hast du das gewollt
Hast du angst zu begehren
Doch jetzt ist alles anders
Denn wir sind mittendrin
Es dreht sich nur um uns
Und es ist nicht wie bisher
Es macht uns zu brüdern

[Chorus:]
Mit dem Tag am Meer
Mit dem Tag am Meer

[Strophe II:]
Du spürst das gras
Hier und da bewegt sich was
Es macht dir spass
Nein es ist nicht nur das
Denn nach dem öffnen aller türen
Steht am ende der trick des endes
Der suche durch das finden im augenblick
Du atmest ein, du atmest aus
Dieser körper ist dein haus
Und darin kennst du dich aus
Du lebst
Du bist am leben
Und das wird dir bewußt
Ohne nachzudenken
Nur aufgrund der eigenen lebenslust
Das gefühl das du fühlst
Sagt dir es ist soweit
Es ändern sich zustand
Der raum und die zeit
Der verstand kehrt zurück
Doch du setzt ihn nicht ein
Jeder schritt neues land
Wird das immer so sein
Du spürst die lebensenergie
Die durch dich durchfließt
Das leben wie noch nie in harmonie und genießt
Es gibt nichts zu verbessern
Nichts was noch besser wär
Außer dir im jetzt und hier

[Chorus]
Und dem Tag am Meer
Und dem Tag am Meer","https://genius.com/Die-fantastischen-vier-tag-am-meer-lyrics","Released 1993
Writers

    
      And.Ypsilon, Michi Beck, Smudo & 1 more
Copyright ©

    
      Sony Music Entertainment Germany
Distribution

    
      Sony Music Entertainment
Label

    
      Columbia Records
Phonographic Copyright ℗

    
      Sony Music Entertainment Germany"
"4","Die Fantastischen Vier","Zu geil","Die 4 dimension","[Strophe:]
Der tag fängt an und dann fragst du dich wo gehts lang
Was will ich was mach ich jetzt wie fang ichs an und voller Tatendrang
Machst du die augen auf mach sie auf mach die augen auf und Dann
Sagst du mannomann was ich machen kann
Kann ich machen du wirst lachen so einfach sind die sachen
Zu betrachten und ich weiss das du weisst du kannst es machen
Denn die vierundzwanzig stunden sind die zeit die du hast
In der befreit vom ballast du die zufriedenheit verprasst
An wen egal wen was den nein egal an wen
Was dir ists egal wenn sich die leute auf die nerven gehn
Denn du bist locker cool wie ne beruhigungstablette
Und nicht wie der typ der hupt weil du nicht fährst wie ers gern Hätte
Die musik ist ihm zu laut weil er aus dem fenster schaut
Doch dieser tag ist deine party die dir kein nachbar versaut
Du bist der chef auf deinem fest du bist der boss du bist der held
Was kümmert dich der rest du bist zu geil für diese welt
Die nacht ist um und stumm denkst du dir was kommt rum
Wenn ich rumhang wenn ich abhang frage nehm ich mir das Krumm
Du machst die augen auf mach sie auf mach die augen auf
Und dann fragst du mannomann ob ich das auch so machen kann
Kann ich sein wie die andern muss ich wie die andern sein
Oder muss ich alleine wandern gibt es eine antwort nein
Du schaust in dich allein hinein und plötzlich wird es still
Hey ich weiss was ich bin und ich muss machen was ich will
Wann jetzt mann wann jetzt richtig denn du sagst ich kann
Alles andre ist nicht wichtig jetzt kommt es auf dich an
Denn du brauchst nicht zu vergleichen denn was gibts schon zu erreichen
Lass die zeit deines lebens nicht nur einfach so verstreichen
Sonst verschwindet sie ist weg kommt nicht wieder ist ums eck
Ohne sinn und ohne zweck dreck wie ein ungedeckter scheck
Egal was der mensch von gegenüber von dir hält
Da stehst du drüber warum du bist zu geil für diese welt
Herzlich willkommen zu ihrem leben
In dem sie die hauptrolle spielen
Der eintritt ist frei
Alles weitere liegt in ihrer hand
Und wir wünschen ihnen viel spass und gute unterhaltung
Bei dem leben ihrer wahl
Und ab dafür vor der tür stehst du hier dein gespür
Sagt dir runter mit der schminke mit der klinke drück die tür
Drück sie auf mach die türe auf stoss sie auf zack
Bei dir ist alles im alles im alles im alles im lack
Bei dir gehts ab und du sagst mannomann sieh mal an
Was ich so alles machen kann ist alles was ich kann ist alles mann
Denn du fühlst was du willst weisst was du willst
Tief in dir drin kommt dir in den sinn jetzt weiss ich was ich bin
Ich bin zu geil du bist zu was ich bin zu geil wieviel zu geil
Na viel zu geil für was zu geil zu geil für diese welt
Du bist zu geil ich bin zu was du bist zu geil wieviel zu geil
Na viel zu geil für was zu geil zu geil für diese welt
Du weisst ich weiss du lebst dein leben nur einmal nur einmal nur Einmal
Es ist egal was andre sagen hey du hast die wahl
Du bist der star in deinem film deine geschichte ist wahr
Der film heisst leben und in deinem leben bist du der star
Du drehst den film dein leben lang und schaust ihn nur einmal an
Du bist der hauptdarsteller regisseur der kameramann
Und du bist ganz nah bei dir und du machst was dir gefällt
Ich schätze mal du bist wie wir zu geil für diese welt","https://genius.com/Die-fantastischen-vier-zu-geil-lyrics","Released 1993
Writers

    
      And.Ypsilon, Michi Beck, Smudo & 1 more
Copyright ©

    
      Sony Music Entertainment Germany
Distribution

    
      Sony Music Entertainment
Label

    
      Columbia Records
Phonographic Copyright ℗

    
      Sony Music Entertainment Germany"
"5","Die Fantastischen Vier","Schizophren","Die 4 dimension","[Strophe I:]
Ich weiß du sprichst über mich und amüsierst dich königlich
Doch nicht in mein gesicht sondern eher innerlich
Beschäftige ich dich und mich schicht für schicht
Doch was ändert sich was ändert sich nicht was weiß denn ich
Doch wenn du glaubst ich wär stier daß ich ideen bloß kopier
Daß ich mich isolier fremde dinge nicht akzeptier
Wenn du glaubst ich zähle bloß bis vier und trinke nur bier
Ich allen imponier und meinen namen buchstabier
Doch du glaubst was du denkst bei dir glaubst du weißt wie ich Reagier
Doch ich schreibe auf papier was ich denke und philosophier
Denn dies ist mein revier weil ich hier das gesetz diktier
Auch wenn ichs manchmal nicht kapier mach ich nicht was ich Spekulier

[Chorus:]
Bei dir weil hier nur ich bestimm wohin ich geh wo ich beginn
Bestimm die dinge die ich glaube und auf was ich mich besinn
Denn ich steh selber mittendrin du kannst in meinem ding den sinn Nicht sehn
Denn nur ich weiß das ich bin was ich bin und nicht schizophren

[Strophe II:]
Glauben ist das eine ding wissen ein ganz anderes
Interpretation spekulation halt jetzt langt es
Denn die ansprüche die du jetzt an andere leute stellst
Sind eine projektion deiner person und ein spiegel deiner selbst
Glaubst du dennoch du hast mich erkannt
Bin ich arrogant extravagant wer hat dich ernannt
Das zu entscheiden wer ist ignorant wer ist tolerant
Von uns beiden hrrrgh interessant wo ist mein verstand
Hier in meiner hand der abstand wird nicht kleiner
Oder doch in deiner oder hat ihn keiner
Doch in meiner hand in meiner
Du behauptest konstant penetrant allerhand
Hahaha amüsant uninteressant

[Chorus]

[Bridge:]
Irgendwo irgendwie irgendwann fang ich an
Mich zu fragen was ich kann wo geh ich hin woher ich stamm
Was ich will und was ich kann was fang ich als nächstes an
Jeder kann die dinge ändern doch fang selber bei dir an

[Chorus]","https://genius.com/Die-fantastischen-vier-schizophren-lyrics","Released 1993
Writers

    
      And.Ypsilon, Michi Beck, Smudo & 1 more
Copyright ©

    
      Sony Music Entertainment Germany
Distribution

    
      Sony Music Entertainment
Label

    
      Columbia Records
Phonographic Copyright ℗

    
      Sony Music Entertainment Germany"
"6","Die Fantastischen Vier","Ganz normal","Die 4 dimension","[Strophe I:]
Manchmal denk ich ich tick nicht richtig
Und alle um mich gehn andere wege als ich
Ich steh in einer menge menschen und bin allein
Fühl mich frei und kann doch nicht frei sein
Dann seh ich mir die andern an und denk wo wolln sie hin
Was ist der sinn und was kommt dann und warum bin ich Mittendrin
Umgeben von menschen mit geschminkten masken an
Versteckt und zugemacht damit sie niemand sehen kann
Die haben sich verloren kommen nich mehr an sich ran
Die warten auf veränderungen und wärn schon lange dran
Haben aufgegeben zu leben weil es sie bedrückt
Und das scheint ganz normal und genau das macht mich verrückt
Aber etwas läuft falsch aber nich in mir
Nein ich bin nicht verrückt nein ich bin nicht verrückt
Und dabei möcht ich doch nur ich selbst sein
Und ich weiss ich steh mit diesem wunsch nun wirklich nicht allein
Doch viel zu viele bleiben auf der strecke lassen sich hängen
Geben auf und lassen sich in eine ecke drängen
Wir retten die welt sag ich und werd ausgelacht
Doch wenn das alle denken würden hätten wirs schon längst Gemacht
Wir ham das leben unser leben in der hand und ich für meinen teil
Finds ziemlich geil
Und dadurch wird dann plötzlich klar was bisher noch so Verschwommen
Und ich weiss von diesem trip möcht ich nicht mehr Runterkommen
Und ich rate euch macht mit doch ihr habt immer die wahl
Geht her und nennt mich verrückt und sagt mir ihr wärt normal
Wer ist hier normal und wer ist hier verrückt
Und ist es normal nur weil alle es tun

[Chorus:][x2]
Ist es normal nur weil alle es tun ist es normal nur weil alle es tun

[Strophe II:]
Mich der sein der dir leben bringt
Wirfst du die vorurteile weg dann weiss ich dass es mir gelingt
Ich bin der ohne böses im sinn sehn wir es abstrakt
Steh ich in der ecke auf ner kiste und bin praktisch nackt
Ich bring veränderungen die verändern mich noch mehr zu mir
Ins jetzt und hier nur ist das dann vielleicht noch weiter weg von Dir
Du willst zu mir sein wie die vier und fragst was kostet mich das
Die antwort ist es bringt dir jede menge spass
Durch emotionen vibrationen ey verdammt ich bin am leben
Und das ist für mich grund genug jede menge gas zu geben
Was ich da spür ist leben meiner wahl
Hört sich abgefahren an doch ist für mich ganz normal

[Chorus][x11]","https://genius.com/Die-fantastischen-vier-ganz-normal-lyrics","Released 1993
Writers

    
      And.Ypsilon, Michi Beck, Smudo & 1 more
Copyright ©

    
      Sony Music Entertainment Germany
Distribution

    
      Sony Music Entertainment
Label

    
      Columbia Records
Phonographic Copyright ℗

    
      Sony Music Entertainment Germany"
"7","Die Fantastischen Vier","Mach dich frei","Die 4 dimension","[Strophe I:]
Hallo smudo mein name
Mach dich frei der titel meiner sprechgesangsbestandsaufnahme
Wie viele menschen bin auch ich neuen reizen ausgesetzt
Und manches dogma hat sich dabei schon in mein gehirn geätzt
Doch warum neigt der mensch zu stabilität
Zu rivalität die individualität verschmäht
Den geist auf diät gesetzt aufgebläht
Mit vorurteilen fern der realität
Doch seine kapazität liegt in der kreativität
Seine qualität liegt in der virtuosität
Vitalität originalität genialität
Intensität mit der er deine seele berät
Unkompliziert expandiert dein geist unisoliert
Das heißt wenn du ihn befreist von dem was ihn drangsaliert
Mit dem er kollidiert was ihn infiziert und ihn dann blockiert
Egal was passiert dein geist wird niemals pensioniert

[Chorus:]
Mach dich frei

[Strophe II:]
O.K. Weisheit ist der schlüssel doch wo ist das schloss
Ich weiß du willst bis ganz nach oben doch du musst durchs Erdgeschoß
Dein geist braucht energie und erregung und bewegung
Denn erfahrung ist ernährung und wissen ist vermehrung
Ich erkenns und trainiere meinen geist doch ich ergänz
Das intelligenz nicht in konkurrenz steht
Die konsequenz ist sich nicht ans limit zu bewegen und sich Aufzuputschen
Denn es ist so leicht auf dem lebensglatteis auszurutschen
Gehasst geliebt gesiegt versiebt
Du bist ein teil von dir und ein teil von dem was dich umgibt
Die sucht nach anerkennung und die sucht nach harmonie
Treiben in die flucht und in gedankenbürokratie
Und mitten im konsum kommt dann die isolierung
Was ist illegalität was ist legalisierung
Klopf klopf drück auf den knopf mach ihn auf den topf
Stopf und gieße anarchie in deinen kopf tropf

[Chorus]","https://genius.com/Die-fantastischen-vier-mach-dich-frei-lyrics","Released 1993
Writers

    
      And.Ypsilon, Michi Beck, Smudo & 1 more
Copyright ©

    
      Sony Music Entertainment Germany
Distribution

    
      Sony Music Entertainment
Label

    
      Columbia Records
Phonographic Copyright ℗

    
      Sony Music Entertainment Germany"
"8","Die Fantastischen Vier","Sieh dich im Spiegel an","Die 4 dimension","[Strophe:]
Sieh dich im spiegel an und sag mir dann ob du magst wen du Siehst
Wenn du siehst wer du bist oder ob du vor dir fliehst
Wenn du dicht bei dir bist und nicht mehr vor dir fliehst
Dann ändert sich etwas wie du siehst wenn du siehst
Was nun wiederum voraussetzt daß du einen weg gefunden hast
Der dich nach vorn zu dir führt und deshalb zu dir passt
Und diesen weg kennst nur du dann fängst an zu fragen
Dann hat irgendwo irgendwer irgendwas zu sagen
Irgendwann kann es passieren das dann
Wenn ihn irgendjemand hört er irgendwas verändern kann
Und er verändert dinge sicher gut doch nur in seinem sinn
Doch haut das dann auch für mich hin wo ich doch schon wieder Anders bin
Und du und du und er und sie und wieder ich
Denn das was ich hier sage dreht sich letztlich auch für mich um Mich
Und deshalb bin ich jetzt raus und ihr zieht euch das rein
Denn individuell kann ich am besten allein sein","https://genius.com/Die-fantastischen-vier-sieh-dich-im-spiegel-an-lyrics","Released 1993
Writers

    
      And.Ypsilon, Michi Beck, Smudo & 1 more
Copyright ©

    
      Sony Music Entertainment Germany
Distribution

    
      Sony Music Entertainment
Label

    
      Columbia Records
Phonographic Copyright ℗

    
      Sony Music Entertainment Germany"
"9","Die Fantastischen Vier","Laut reden nichts sagen","Die 4 dimension","[Strophe I:]
Sieh dich im spiegel an und sag mir dann ob du magst wen du Siehst
Wenn du siehst wer du bist oder ob du vor dir fliehst
Wenn du dicht bei dir bist und nicht mehr vor dir fliehst
Dann ändert sich etwas wie du siehst wenn du siehst
Was nun wiederum voraussetzt daß du einen weg gefunden hast
Der dich nach vorn zu dir führt und deshalb zu dir passt
Und diesen weg kennst nur du dann fängst an zu fragen
Dann hat irgendwo irgendwer irgendwas zu sagen
Irgendwann kann es passieren das dann
Wenn ihn irgendjemand hört er irgendwas verändern kann
Und er verändert dinge sicher gut doch nur in seinem sinn
Doch haut das dann auch für mich hin wo ich doch schon wieder Anders bin
Und du und du und er und sie und wieder ich
Denn das was ich hier sage dreht sich letztlich auch für mich um Mich
Und deshalb bin ich jetzt raus und ihr zieht euch das rein
Denn individuell kann ich am besten allein sein

[Chorus:]
Du redest laut, doch Du sagst gar nichts

[Strophe II:]
Du hast von mir gehört und du hast von mir gelesen
Und bist ein zweimal auf einer show von uns gewesen
Du machst selber musik und du hast deine eigne gruppe
Die rubrik ist die gleiche du machst deutsche hip hop mucke
Und schwupps kommt die presse mit gewecktem interesse
Warum hat sie das und woher hat sie die adresse
Fragen dies fragen das und die vier du sagst was
Machst dich nass und wirst blaß das ist krass
Du zeigst mit fingern auf die andern aber suchst noch
Du willst dich nicht mit uns vergleichen aber tusts doch
Stell dich auf deinen eignen stuhl damit du andre überragst
Denn jetzt redest du zu laut doch du sagst hm

[Chorus]

[Strophe III:]
He moment mal ja genau
Ich kenn dich aus dem radio ich kenn dich aus dem tv
Du bist doch der der sagt das er alles tut und macht
Du bist doch der der sagt das er alles unter kontrolle hat
Ich kenne deine sprüche deine reden dein gesicht
Doch als einen mensch der tat kenn ich dich leider nicht
Ich höre deine worte und ich sehe was passiert
Doch das chaos ist der könig der das land regiert
Woran liegts das die dummheit wieder aufmarschiert
Und der bürger seinen blick für die realität verliert
Jetzt weißt du keinen ausweg mehr wenn man dich nach der Lösung fragt
Denn du hast zu laut geredet aber nichts gesagt

[Chorus]","https://genius.com/Die-fantastischen-vier-laut-reden-nichts-sagen-lyrics","Released 1993
Writers

    
      And.Ypsilon, Michi Beck, Smudo & 1 more
Copyright ©

    
      Sony Music Entertainment Germany
Distribution

    
      Sony Music Entertainment
Label

    
      Columbia Records
Phonographic Copyright ℗

    
      Sony Music Entertainment Germany"
"10","Die Fantastischen Vier","Alles ist neu","Die 4 dimension","[Strophe I:]
Mach mit und sag es dir jeden tag
Erzähl es anderen wenn es auch keiner hören mag
Gib gas lern fliegen statt am boden zu kleben
Hey jetzt wird es zeit zu leben
Denn es wird kein punkt kommen an dem alles passt
Kein punkt an dem du weißt dass du es jetzt geschafft hast
Du musst zurück zurück zurück zurück zu dir
Warum bist du hier was hast du im visier hey ich rate dir
Nichts denn wie könnte ich es wagen dir etwas zu sagen
Willst du klarheit mußt du schon dich selber fragen
Du bist nicht opfer sondern schöpfer deiner welt
Also schlag ich vor du machst sie wie sie dir gefällt
Denn wenn du heute nicht lebst dann ist es morgen zu spät
Denn wir befinden uns im jetzt und das ist realität
Die zukunft macht mir keine angst und die vergangenheit tut nicht Mehr weh
Seit ich es anders seh seit ich es anders seh denn

[Chorus:]
Alles ist neu
Alles im jetzt und hier ist neu

[Strophe II:]
Und ich steh mittendrin verliere meine scheu
Klappen öffnen sich und lassen mich sicherlich wesentlich
Mehr erfahrn als in den jahrn in denen ich lediglich
Mich um mich gedreht hab und um das was mich bewegt hat
Unentwegt überlegt hab diskussionen angeregt hab

[Chorus:]
Doch jetzt ist alles neu
Alles im jetzt und hier ist neu

[Strophe III:]
Und ich bleib immer noch der devise treu
Es ist egal was dich wohin zieht wohin dich was treibt
Weil dir auch dort immer nur der augenblick bleibt
Ich will und ich kann dir keinen anderen rat geben
Hey es wird jetzt einfach zeit zu leben
Du hast es in der hand wohin führst du es
Was sagt dir dein verstand hey spürst du es
Erst wenn die tore offen sind dann kann das leben rein
Und was dann kommt ist echt und wirklich und nur für dich allein
Denn wenn der kopf frei von gedanken ist und worte nicht mehr Reichen
Müssen zukunft und vergangenheit dem augenblick weichen
Den gefühlen freien lauf doch pass auf woher sie kommen
Erleb den augenblick und sei nicht voreingenommen
Hey ich will dir echt nicht sagen was du tun sollst sag es nicht
Doch ich muss sagen sag es sag es sag es mit es geht um dich
Weisst du was es heißt zu leben und was du am leben hast
Und viel schlimmer noch wenn nicht weisst du was du verpasst
Denn jeder tag ist neu und er wird so nie wiederkommen
Jeden tag ne neue welt und die alte wird genommen
Der verstand macht uns vor dass sich alles wiederholt
Doch wer daran glaubt der hat sich selbst verkohlt","https://genius.com/Die-fantastischen-vier-alles-ist-neu-lyrics","Released 1993
Writers

    
      And.Ypsilon, Michi Beck, Smudo & 1 more
Copyright ©

    
      Sony Music Entertainment Germany
Distribution

    
      Sony Music Entertainment
Label

    
      Columbia Records
Phonographic Copyright ℗

    
      Sony Music Entertainment Germany"
