"";"artist";"title";"album";"text";"url";"metadata"
"1";"Element Of Crime";"Blaulicht und Zwielicht";"Damals hinterm mond";"Ein schmaler Streifen Schenkel
Und ein kleines Bisschen Bauch
Der Mond ist blass und wässrig
Ihre Lippen sind es auch
Von draußen kommt ein Zwitschern
Kleiner Vogel flieg
Blaulicht und Zwielicht
Und ein kleines Bisschen Krieg
Ja ja
Ja ja
Ich liebe dich

Ein schmaler Streifen Schweigen
Und ein kleines Bisschen Blick
Der Wodka blass und wässrig
Die Köpfe abgeknickt
Von draußen kommt ein Zwitschern
Kleiner Vogel flieg
Blaulicht und Zwielicht
Und ein kleines Bisschen Krieg
Ja ja
Ja ja
Ich liebe dich

Ein schmaler Streifen Sonne
Und ein kleines Bisschen Mut
Die Wolken blass und wässrig
Wer weiß schon, was er tut?
Hör nicht auf zu Zwitschern
Kleiner Vogel, bleib'
Blaulicht und Zwielicht
Und ein Bisschen Zeitvertreib
Ja ja
Ja ja
Ich liebe dich";"https://genius.com/Element-of-crime-blaulicht-und-zwielicht-lyrics";"Released 1991
Writers

    
      Element Of Crime"
"2";"Element Of Crime";"Geh doch hin";"Damals hinterm mond";"Strophe:
Wie es mir geht, willst du gar nicht wissen
Und was ich trinke, willst du schon gar nicht bezahlen
Aber Qualen, die bringst du, wie du in mein Ohr hineinkriechst und Unsinn schreibst
Dein Atem sprüht Tropfen
Die Luft ist stickig und heiss
Dort, wo du nicht hinsiest
Steht er und schaut weg
Und ein Dreck ist, was du da stammelst
Von Sehnsucht auf seinem Gesicht
Refrain:
Geh doch hin
Und rede nicht
Strophe:
Frag mich nicht, was er macht, was soll mich das kümmern
Und ich weiss auch nicht, wer das ict, die da bei ihm steht
Kann schon sein, dass du meinst ihn zu lieben und immer geträumt hast von dieser Art Mann
Ich trinke zu hastig?
Was geht dich das an
Dort wo du nicht hinsiehst
Steht er und schaut weg
Und ein Dreck ist, was du da stammelst
Von Sehnsucht auf seinem Gesicht
Refrain:
Geh doch hin
Und rede nicht
Geh doch hin
Und rede nicht
Strophe:
Warum ich, wer bin ich, dass du mir damit kommst
Was hab ich getan, dass du mich damit quälst
Und hör auf so zu grinsen, ob ich neidisch bin? Ha! Ich doch nicht, dummes Huhn
Mit dem, was du treibst
Hab ich gar nichts, gar nichts zu tun
Dort wo du hinsiest
Steh ich und schau weg
Und ein Dreck ist, was du da stammelst
Von Sehnsucht auf seinem Gesicht
Refrain:
Geh doch hin
Und rede nicht
Geh doch hin
Und rede nicht";"https://genius.com/Element-of-crime-geh-doch-hin-lyrics";"Released 1991
Writers

    
      Element Of Crime"
"3";"Element Of Crime";"Damals hinterm Mond";"Damals hinterm mond";"Strophe:
Das Leben lief im Schweinsgalopp, die Liebe war ein Fest
Der Mensch war gut
Damals hinterm Mond
Der Whisky war ein Kitzel
Und das zweite Glas unser ganzes Hab und Gut
Damals hinterm Mond
Zu trinken gab es nie zu viel
Und abends wusst ich immer wo du warst
Was haben wir gelacht
Damals hinterm Mond
Ein Blick war ein Versprechen
Nichts als Lächeln war die Welt, der Mensch war gut
Damals hinterm Mond
Regeln warn zum Brechen da
Wir kämpften mit der Kraft gesunder Wut
Damals hinterm Mond
Zu streiten gab es nie zuviel
Und abends wusst ich immer, wo du warst
Was haben wir geliebt
Damals hinterm Mond
Ein nackter Bauch war Himmel
Und die Hölle eine Bank, der Mensch war gut
Damals hinterm Mond
Der Baggersee war Ozean
Die Ente war ein Schwan, ein Topf ein Hut
Damals hinterm Mond
Zu spielen gab es nie zuviel
Und abends wusst ich immer, wo du warst
Was haben wir gelacht
Damals hinterm Mond";"https://genius.com/Element-of-crime-damals-hinterm-mond-lyrics";"Released 1991
Writers

    
      Element Of Crime"
"4";"Element Of Crime";"Mach das Licht aus, wenn Du gehst";"Damals hinterm mond";"Den Kragen hat er umgedreht
Den Rücken hält er krumm
Dein Priester will Schimane sein
Und du weißt nicht warum
An einem seltsam Rauchgerät
Deine Beichte hört er trotzdem an
Und lacht an Stellen, wo du's nicht verstehst
Mach das Licht aus, wenn du gehst

Die Haare trägt er feminin
Und dich hält er für dumm
Dein Nachbar will ein Einstein sein
Und du weißt nicht warum
Und er sägt
Auf einer kratzig Violin
Deine Klagen hört er trotzdem an
Und lacht an Stellen, wo du's nicht verstehst
Mach das Licht aus, wenn du gehst
Und dreh dich nicht um

Dein Auto ist ein Wartesaal
Dein Dackel ist ein Pferd
Und es regnet immer dort, wo du grad stehst
Dein Teddybär ist plötzlich stumm
Dein Geld ist nichts mehr wert
Und die Halme schrein, wenn du den Rasen mähst
Mach das Licht aus, wenn du gehst

Nichts ist, wie es früher war
Und dir ist egal warum
Die Welt will dir ein Rätsel sein
Und sie schleudert dich herum
Und du schlägst
Mit einem mächtig Flügelpaar
Deine Stimme hört jetzt keiner mehr
Und du lachst an Stellen, wo du's nicht verstehst
Mach das Licht aus, wenn du gehst
Und dreh dich nicht um";"https://genius.com/Element-of-crime-mach-das-licht-aus-wenn-du-gehst-lyrics";"Released 1991
Writers

    
      Element Of Crime"
"5";"Element Of Crime";"Rein gar nichts";"Damals hinterm mond";"Jetzt sitzen wir schon wieder hier
Drei Schritte auseinander
Drei Finger hoch der Gin
Das Glas im Gesicht
Und ich frag auch gar nicht
Wie es dir geht
Was soll ich da noch fragen
Ich weiß wie es steht
Und das ist noch rein, rein, rein, rein gar nichts

Ich weiß, du hast heut' ferngesehn
Das ist weil du so zitterst
Dein Auto hat der Zahnarzt
Und du hast Gold im Mund
Und dein Fahrrad fährt immer nur bergauf
Ich weiß, auch du lebst alleine
Und auch dich frißt das auf
Und das ist noch rein, rein, rein, rein gar nichts

Dein Fuß hat grad mein Bein berührt
Dein Zeh hat mich gekrault
Drei Finger hoch der Gin
Das Glas im Gesicht
Und ich frag auch gar nicht
Was du da machst
Komm 'rüber hier, ich kitzel dich
Mal sehn ob du lachst
Und das ist noch rein, rein, rein, rein gar nichts";"https://genius.com/Element-of-crime-rein-gar-nichts-lyrics";"Released 1991
Writers

    
      Element Of Crime"
"6";"Element Of Crime";"Ofen aus Glas";"Damals hinterm mond";"Kauf' dir ein Säckchen voll Blei
Bind's an mein Bein
Und wirf' mich hinein
In den See deiner Wünsche
Und sieh' zu wie ich versink'
Verbring' dann den Tag
Mit dem Kämmen deiner Haare

Kauf' dir ein Halsband aus Samt
Leg' es mir um
Und führ' mich herum
Im Gestrüpp deines Denkens
Und sieh' zu, wie ich mich verhak'
Verbring' dann den Tag
Mit dem Feilen deiner Nägel

Kauf' dir einen Ofen aus Glas
Heize ihn ein
Und leg' mich hinein
In das Feuer deines Zornes
Und sieh' zu wie ich's ertrag
Verbring' dann den Tag
Mit dem Reiben deiner Augen
Doch warte nicht
Warte nicht zu lang";"https://genius.com/Element-of-crime-ofen-aus-glas-lyrics";"Released 1991
Writers

    
      Element Of Crime"
"7";"Element Of Crime";"Wahr und gut und schön";"Damals hinterm mond";"Refrain:
Schöne Menschen, wo du nur hinsiehst
Und strahlende Gesichter
Auf dem Männerklo
Selbst die Gullis dampfen
Genauso wie im Film
Und das willst du nicht sehn

Körper, die sich selber täglich quälen
Immer schwitzend, immer Durst
Und kein Gramm Fett zuviel
Der Teufel ist ein Eichhörnchen
Er lebt im Zölibat
Und hat immer einen stehn
Wahr und gut und schön

Du weißt nicht, dass du immer alles falsch machst
Mädchen werden in der Mitte
Und Jungs am Bäuchlein nass
Brüste fest und aufrecht
Die Kettensäge kreischt
Laß dich bloß nicht gehn
Wahr und gut und schön

Refrain:
Schöne Menschen, wo du nur hinsiehst
Und strahlende Gesichter
Auf dem Männerklo
Selbst die Gullis dampfen
Genauso wie im Film
Und du mußt gehn
Wahr und gut und schön";"https://genius.com/Element-of-crime-wahr-und-gut-und-schon-lyrics";"Released 1991
Writers

    
      Element Of Crime"
"8";"Element Of Crime";"Wieder ein Tag";"Damals hinterm mond";"Ein völlig nutzloser Mensch steht auf
Wollen mal Tee machen
Schön, so ein Vogelkäfig
Etwas Licht und ein Körnchen
Für Gesang

Wieder ein Tag
Warum auch nicht?
Wieder ein Tag
Gestern waren es noch Locken
Und heute schon glattes Haar
Ein Dosenfisch stürzt sich lachend
Ins offene Meer

Ein völlig nutzloser Mensch geht zum Kühlschrank
Woll'n doch mal seh'n
Schön, was da drin ist
Ein Stück Käse und ein Ei, schlag' es auf

Ein völlig nutzloser Mensch ist verliebt
Wie das wohl passiert ist?
Schön, dass das noch geht
Jetzt sind wir zwei
Jetzt sind wir zwei

Was für ein Tag
Was für ein Tag
Was für ein Tag
Gestern waren es noch Locken
Und heute schon glattes Haar
Ein Dosenfisch stürzt sich lachend
Ins offene Meer";"https://genius.com/Element-of-crime-wieder-ein-tag-lyrics";"Released 1991
Writers

    
      Element Of Crime"
"9";"Element Of Crime";"Kein Schwein auf dem Tisch";"Damals hinterm mond";"Refrain:
Der Kopf gewaschen, der Geist gespühlt
Gedanken geschnetzelt, die Laken zerwühlt
Und kein Schwein auf dem Tisch
Strophe:
Her mit dem Wisch, schnell unterschreiben
Vorteile sichern, amtlich verlieben
Kein Schwein auf dem Tisch

Einer wie wir – gut
Nicht wahr?
Sag ich ja

Den Bahnhof gestürmt und das Ticket bezahlt
Die Karte an Oma ist mundgemalt
Kein Schwein auf dem Tisch

Das Auto geleast, die Kinder gekauft
Alle gesund, alle getauft
Kein Schwein auf dem Tisch

Refrain:
Der Kopf gewaschen, der Geist gespült
Gedanken geschnetzelt, die Laken zerwühlt
Und kein Schwein auf dem Tisch
Strophe:
Der Rost ist besiegt und der Teufel auch
Die Alpträume nachts sind nur Schall und Rauch
Und kein Schwein auf dem Tisch

Refrain";"https://genius.com/Element-of-crime-kein-schwein-auf-dem-tisch-lyrics";"Released 1991
Writers

    
      Element Of Crime"
"10";"Element Of Crime";"Vier Stunden vor Elbe 1";"Damals hinterm mond";"Drüben am Horizont verschwindet eine Landschaft
Ein Schnitt in die Brust ist der Abschied, doch diesmal fällt er aus
Ich will mehr für dich sein als eine Schleusenbekanntschaft
Diesmal mein Herz, diesmal fährst du mit

Sieh doch, wie Tausende von Möwen nach Abfall gieren
Ein Schritt nur, vor uns ist die See, dahinter liegt New York
Ein Schaum sprüht frech zu uns herauf wie von tausend Bieren
Diesmal, mein Herz, diesmal fährst du mit

Wird dir auch schlecht, über die Reling halte ich dich gerne
Ein Ritt auf tausend Tonnen Stahl fordert seinen Preis
Und alt wie der Mensch ist die Sehnsucht nach der Ferne
Diesmal, mein Herz, diesmal fährst du mit

Scheiß doch auf die Seemannsromantik
Ein Tritt dem Trottel, der das erfunden hat
Niemand ist gern allein mitten im Atlantik
Diesmal, mein Herz, diesmal fährst du mit";"https://genius.com/Element-of-crime-vier-stunden-vor-elbe-1-lyrics";"Released 1991
Writers

    
      Element Of Crime"
