"";"artist";"title";"album";"text";"url";"metadata"
"1";"Element Of Crime";"Kopf aus dem Fenster";"Immer da wo du bist bin ich nie";"Kopf aus dem Fenster und Arme aufs Brett
Und dann scheiß auf den Kaktus, der ist böse und heiß
Und ich fett und verdorben und du so nett
Nimm den Fuß von der Bremse, ich muß ins Bett
Wer nicht geht, kommt nie wieder, und wer bleibt, ist nie weg

Kopf unter Wasser und Füße im Sand
Und dann scheiß auf die Hummer, die sind böse und heiß
Und bringen Kummer und Elend an jeden Strand
Nimm die Hand von der Hupe, ich will an Land
Wer nicht schwimmen kann, taucht, wer nicht taucht: Runter vom Strand!

Was für Cloppenburg Pfanni ist, bist du für mich
Und dann scheiß auf Metaphern, die sind böse und heiß
Und im Gesicht haben sie Pickel, die sind nicht schön
Nimm die Hand aus dem Auge, ich will dich sehn
Wer nicht sitzen kann, liegt, und wer liegt, kann nicht mehr stehen

Würste und Brote und Gurken auf Eis
Und dann scheiß auf die Majo, die ist böse und heiß
Tu die Hände ans Steuer, wir fahren im Kreis
Glücklich ist der, der seinen Namen noch weiß
Wer nicht fahren kann, läuft, wer nicht läuft, dreht sich im Kreis";"https://genius.com/Element-of-crime-kopf-aus-dem-fenster-lyrics";"Released 2009
Producers

    
      Element Of Crime
Writers

    
      David Young, Jakob Friderichs, Richard Pappik & 1 more"
"2";"Element Of Crime";"Am Ende denk ich immer nur an dich";"Immer da wo du bist bin ich nie";"[Strophe 1]
Auf einem Spielplatz ruft ein Kind nach seiner Mutter
Damit die sieht, wie hoch das Kind schon schaukeln kann
Und es wirft die Beine vor und hoch zum Himmel
Bis ein Schuh davonfliegt, und der landet dann
Auf einem Auto, das am Straßenrand geparkt ist
Auf dessen Windschutzscheibe „Schwein“ geschrieben steht
Und das metallic-braun und glatt wie deine Haare
Genau wie Du sein wahres Alter nicht verrät

[Refrain]
Ganz egal, woran ich grade denke
Am Ende denk' ich immer nur an Dich

[Strophe 2]
Die deutsche Mutter stürmt nach vorn in heller Panik
Und übersieht dabei ein Kindesbein im Sand
Und schlägt lang hin, da lacht der Kindesbeinbesitzer
Der hat ein Erdbeereis in seiner rechten Hand
Das hängt bedenklich schräg nach vorn in seiner Waffel
Und tropft sich selbst verschwendend auf die Haute Couture
Am Leib des ganzen Stolzes seiner schönen Eltern
Und wird zu Dreck dort, genau wie ich bei Dir

[Refrain]
Ganz egal, woran ich grade denke
Am Ende denk' ich immer nur an Dich

[Strophe 3]
Warum blutet Mutter aus der Nase?
Warum ist ihr Kind so dumm wie klein?
Darf ein metallic-braunes Auto denn da parken?
Und warum kann ich ohne Dich nicht glücklich sein?
Wie viele Erdbeereise muss der Mensch noch essen
Bevor er endlich einmal sagt: „Ich bin dafür
Die böse Tat des Beinestellens zu unterlassen“?
Und darf ich irgendwann noch mal zurück zu Dir?

[Refrain]
Ganz egal, woran ich grade denke
Am Ende denk' ich immer nur an Dich
Ganz egal, woran ich grade denke
Am Ende denk' ich immer nur an Dich";"https://genius.com/Element-of-crime-am-ende-denk-ich-immer-nur-an-dich-lyrics";"Released 2009
Producers

    
      Element Of Crime
Writers

    
      David Young, Jakob Friderichs, Richard Pappik & 1 more"
"3";"Element Of Crime";"Deborah Müller";"Immer da wo du bist bin ich nie";"Deborah Müller
Frag lieber nicht, wohin
Die Leute verschwunden sind, die gestern Abend noch
Deinen Namen skandierten, als wärst du ein edles Pferd
Das mit zwei Längen Vorsprung locker durchs Ziel spaziert
Und dann strauchelt und fällt, die sind alle verbannt
Ins Alka-Seltzerland, oh Deborah
Der liebe Gott liebt dich, und wenn nicht, dann bin ich noch da

Deborah Müller
Frag lieber nicht, woher
Die lustigen Stimmen kommen, die du seit Neuestem hörst
Und die ein Lied singen, dessen Text du nicht richtig verstehst
Irgendwas über Blumen an Wegen, auf denen du gehst
Während du einen Tee und ein Brot machst mit Wurst
Denn das Singen macht Hunger und Durst, oh Deborah
Der liebe Gott liebt dich, und wenn nicht, dann bin ich noch da

Deborah Müller
Sag mir, was willst du tun
An einem Tag wie diesem, der kaum dass er
Begonnen hat schon wieder zeigt, dass er eigentlich nur
Zum Vergessen gemacht ist und dennoch blöde und stur
Daran festhält, die volle Runde zu drehen
Darf ich mit dir gehen? Oh Deborah
Der liebe Gott liebt dich, und wenn nicht, dann bin ich noch da";"https://genius.com/Element-of-crime-deborah-muller-lyrics";"Released 2009
Producers

    
      Element Of Crime
Writers

    
      David Young, Jakob Friderichs, Richard Pappik & 1 more"
"4";"Element Of Crime";"Kaffee und Karin";"Immer da wo du bist bin ich nie";"Dass das Bier in meiner Hand alkoholfrei ist
Ist Teil einer Demonstration
Gegen die Dramatisierung meiner Lebenssituation
Doch andrerseits sagt man, das Schweinesystem
Ist auf nüchterne Lohnsklaven scharf
Darum steht da auch noch ein Whisky
Weil man dem niemals nachgeben darf

Kaffee und Karin
Birgit und Bier
Jammern und Picheln im Gartencafé
Worte und Weißwein
Torte und Tier
Und nur wenn ich lachen muss
Und nur wenn ich lachen muss, tut es noch weh

Wenn die Sonne noch weiter nach rechts rückt
Und ich fürchte, sie wird das noch tun
Scheint sie mir voll in die Augen
Und dann mach ich die einfach mal zu
Und hör mir in Ruhe den Rentner an, der am Nachbartisch ungefragt schreit
Dass er '76 schon Punk war und immer zum Pogo bereit

Kaffee und Karin
Birgit und Bier
Jammern und Picheln im Gartencafé
Worte und Weißwein
Torte und Tier
Und nur wenn ich lachen muss
Und nur wenn ich lachen muss, tut es noch weh

Ich leg meine Hand in das Feuer vom Würstchengrill unten am Fluss
Dafür, dass nicht alles umsonst war
Und jeder nur tut, was er muss
Deinen Namen hab ich vergessen, deine Nummer fällt mir nicht ein
Einen Ring hab ich niemals besessen und einsam will ich nicht sein

Kaffee und Karin
Birgit und Bier
Jammern und Picheln im Gartencafé
Worte und Weißwein
Torte und Tier
Und nur wenn ich lachen muss
Und nur wenn ich lachen muss, tut es noch weh";"https://genius.com/Element-of-crime-kaffee-und-karin-lyrics";"Released 2009
Producers

    
      Element Of Crime
Writers

    
      David Young, Jakob Friderichs, Richard Pappik & 1 more"
"5";"Element Of Crime";"Einer kommt weiter";"Immer da wo du bist bin ich nie";"Der feste Boden, den du unter den Füßen verspürst
Ist im Verhältnis zum Erdumfang nur so dünn wie ein Blatt Papier
Im Verhältnis zu einem Sandwich mit ganz viel Pastrami und Senf
Wie du es aus deinen Lieblingsfrühstückslokalen kennst

Große Gedanken, kleines Gehirn
Einer kommt weiter und der hat dich gern

Die Luft, die du atmest, übt da, wo sie deine Haut berührt
Einen Druck von tausend Millibar aus, den du dennoch nicht spürst
Weil alles von innen dagegendrückt wie ein alter Schuh
Nach einem langen Tag auf den Beinen
Und die schönsten Beine hast du

Große Gedanken, kleines Gehirn
Einer kommt weiter und der hat dich gern

Der Zucker in deinem Kaffee ist nur Kohle und Wasser und Glück
Dass einer das neu arrangiert hat und dich das Ergebnis entzückt
Weil die Zunge dafür ein Gespür hat wie ein Feuermelder für Rauch
Und die Körperzelle es gleichsam wie ich deinen Anblick braucht

Große Gedanken, kleines Gehirn
Einer kommt weiter und der hat dich gern";"https://genius.com/Element-of-crime-einer-kommt-weiter-lyrics";"Released 2009
Producers

    
      Element Of Crime
Writers

    
      David Young, Jakob Friderichs, Richard Pappik & 1 more"
"6";"Element Of Crime";"Immer da wo du bist bin ich nie";"Immer da wo du bist bin ich nie";"Immer, wenn ich Pillen nahm und hinterher beim Fahrrad fahren
Am Steintor in die Rillen kam, gezogen für die Straßenbahn
Oder in der Luft die Arme wie
Zur Massenhysteriebekämpfung schwenke und aufs Pflaster fiel
Dachte ich, ich wär' am Ziel

Immer da wo du bist bin ich nie
Immer da wo du bist bin ich nie

Immer wenn ich Rauch einsog und mich die gute Laune trog
Und ich im ersten Stock vom Küchenfenster in die Bäume flog
Und dort nach grünen Zweigen greifend
Geistig in die Ferne schweifend zwischen Müllcontainer fiel
Dachte ich, ich wär' am Ziel

Immer da wo du bist bin ich nie
Immer da wo du bist bin ich nie

Immer, wenn ich Lieder sang und dazu auf- und niederschwang
An Bändern, die elastisch waren, in Ländern, die fantastisch waren
Zum Lobe einer bess'ren Welt und ohne Geld und ohne
Großen Ehrgeiz, dass der Groschen fiel
Dachte ich, ich wär' am Ziel

Immer da wo du bist bin ich nie
Immer da wo du bist bin ich nie
Immer da wo du bist bin ich nie";"https://genius.com/Element-of-crime-immer-da-wo-du-bist-bin-ich-nie-lyrics";"Released 2009
Producers

    
      Element Of Crime
Writers

    
      David Young, Jakob Friderichs, Richard Pappik & 1 more"
"7";"Element Of Crime";"Bitte bleib bei mir";"Immer da wo du bist bin ich nie";"Wenn ein Fluss kein Wasser führt, muss einer, der rüber will, nicht schwimmen
Und wo die Erde niemals bebt, baut man gerne mal ein Haus aus Stein
Und jeder will ein Held sein und irgendeine Heldentat vollbringen
So auch ich natürlich
Ich will der, der dich hier herausholt sein

Komm mit mir woanders hin
Ich weiß noch einen Weg
Den kann man nicht alleine gehn und
Ich hab mir überlegt, dass alles, was ab jetzt geschieht
Mich nicht mehr interessiert, wenn du darin nicht vorkommst
Bitte bleib bei mir

Da wo dein Auto grad noch stand
Fegen alte Männer jetzt die Straße
Und deine Hoffnung auf die Wahl zur Spargelkönigin ist hin
Wer zwanzigmal dabei war, darf aus Altersgründen nicht mehr kandidieren
Ich muss das wissen, weil ich schon seit zwanzig Jahren Ex-Spargelkönig bin

Komm mit mir woanders hin, ich
Weiß noch einen Weg
Den kann man nicht alleine gehn und
Ich hab mir überlegt, dass alles, was ab jetzt geschieht
Mich nicht mehr interessiert, wenn du darin nicht vorkommst
Bitte bleib bei mir

Wenn eine Straßenbahn einmal aus der Schiene springt, kommt sie nie mehr wieder
Und wenn ein Kontrolleur dich laufen lässt, tut er das auf eigne Faust
Wer die Monatskarte hat, sollte besser nicht am Monatsanfang sterben
Und hier ist Endstation, hier geht es nicht mehr weiter
Hier steigen alle aus

Komm mit mir woanders hin, ich
Weiß noch einen Weg
Den kann man nicht alleine gehn und
Ich hab mir überlegt, dass alles, was ab jetzt geschieht
Mich nicht mehr interessiert, wenn du darin nicht vorkommst
Bitte bleib bei mir";"https://genius.com/Element-of-crime-bitte-bleib-bei-mir-lyrics";"Released 2009
Producers

    
      Element Of Crime
Writers

    
      David Young, Jakob Friderichs, Richard Pappik & 1 more"
"8";"Element Of Crime";"In mondlosen Nächten";"Immer da wo du bist bin ich nie";"Wundert mich nicht, wenn ich schlecht ausseh heute morgen
Das kommt davon, wenn man sich arglos zur Ruhe legt
Und ein schlechtes Gewissen auf einmal ganz dicht hinter einem steht
Und es hat einem den rechten Arm auf den Rücken gedreht
Und fragt mit gespielter Neugier, wie das denn so wär
In mondlosen Nächten
Träum ich noch immer von dir

Wundert mich nicht, wenn ich schlecht ausseh heute morgen
Das kommt davon, wenn man arglos die Augen schließt
Und ein Strom unverständlicher Worte sich über einen ergießt
Weil jemand laut im Original aus dem Buch der Könige liest
Nur um bescheiden dazu zu bemerken, das sei doch nicht schwer
In mondlosen Nächten
Träum ich noch immer von dir

Irgendwer erinnert mich immer an dich und jedes Jahr wird es schlimmer
Das Zimmer dreht sich um mich und der Fernseher flimmert
Das ist das einzige Licht und schlauer ist man immer hinterher
In mondlosen Nächten
Träum ich noch immer von dir

Wundert mich nicht, wenn ich schlecht ausseh heute morgen
Das kommt davon wenn man die Horizontale pflegt
Und ein plötzlicher Wind die Bilder glücklicher Tage durchs Zimmer weht
Und Blätter, auf denen in Schönschrift ""Hau ab, du Vollidiot!"" steht
Aber auch solche, auf denen es heißt ""Ich liebe dich sehr""
In mondlosen Nächten
Träum ich noch immer von dir";"https://genius.com/Element-of-crime-in-mondlosen-nachten-lyrics";"Released 2009
Producers

    
      Element Of Crime
Writers

    
      David Young, Jakob Friderichs, Richard Pappik & 1 more"
"9";"Element Of Crime";"Der weiße Hai";"Immer da wo du bist bin ich nie";"Die Leute, die du liebst, sind alle auf Mallorca
Und singen dort das Lied vom Schädelweh
Tritt nicht auf das Laub, darunter wohnt das Grauen
Und das Gelbe daneben ist der Schnee

Freu dich nicht zu früh auf den Sommer
Weihnachten ist grade erst vorbei
Im Treppenhaus riecht es noch nach Glühwein
Und im Fernsehen läuft der weiße Hai

Der See, an dem du stehst, kann sich nicht entscheiden
Ob er umkippen oder einfrieren soll
Der Hund, mit dem du lebst, kann dich nicht mehr leiden
Und der Glascontainer ist schon wieder voll

Freu dich nicht zu früh auf den Sommer
Weihnachten ist grade erst vorbei
In den Wäldern weinen noch die Bäume
Und im Fernsehen läuft der weiße Hai

Hart verdient das Brot, härter die Erkenntnis
Und am härtesten ein ganzer Tag mit dir
Ruf mich einfach an, wenn du Inventur machst
Und Hilfe brauchst von einem wie mir

Freu dich nicht zu früh auf den Sommer
Weihnachten ist grade erst vorbei
Im Einkaufszentrum gibt es heiße Ohren
Und im Fernsehen läuft der weiße Hai

Das da kommt dahin
Und das da kommt dahin
Und das da ist irgendwie dabei
Und das da kommt dahin
Und das da kommt dahin
Und am Ende zählen nur wir zwei

Freu dich nicht zu früh auf den Sommer
Weihnachten ist grade erst vorbei
Im Treppenhaus riecht es noch nach Glühwein
Und im Fernsehen läuft der weiße Hai";"https://genius.com/Element-of-crime-der-weie-hai-lyrics";"Released 2009
Producers

    
      Element Of Crime
Writers

    
      David Young, Jakob Friderichs, Richard Pappik & 1 more"
"10";"Element Of Crime";"Euro und Markstück";"Immer da wo du bist bin ich nie";"Freundliche Worte und Schrippen hagelt es den ganzen Tag
Der Rauch aus den Kippen des Lebens schmeckt heute würzig und stark
In den Eingeweiden des Sparschweins, das ganz hinten im Kleiderschrank liegt
Reichen sich Euro und Markstück die Hände
Und sagen ""Wir haben uns lieb""

Der Mann, der den Stromzähler abliest hat Schokolade dabei
Die stopft er dir in die Taschen und dann haut er den Zähler zu Brei
Im Fernseher, wo deine Mannschaft die Meisterschaft fröhlich versiebt
Reichen sich Euro und Markstück die Hände
Und sagen ""Wir haben uns lieb""

Die Teletubbiefamilie hat braune Kaninchen am Start
Die warten bei sprechenden Blumen in den grünen Hügeln der Tat
Auf den sprechenden Duschkopf, der eisern die Einsatzbefehle gibt
Für Euro und Markstück und Hände
Dass die sagen ""Wir haben uns lieb""

Kennst du den Namen des Vogels, der nur an Sonntagen singt?
Der sitzt in der Lobby und wartet, dass du ihm Hausschuhe bringst
Auf dem Rasen deiner Gedanken, dessen Grün kein Löwenzahn trübt
Reichen sich Euro und Markstück die Hände
Und sagen ""Wir haben uns lieb""";"https://genius.com/Element-of-crime-euro-und-markstuck-lyrics";"Released 2009
Producers

    
      Element Of Crime
Writers

    
      David Young, Jakob Friderichs, Richard Pappik & 1 more"
