"","artist","title","album","text","url","metadata"
"1","Element Of Crime","Am Morgen danach","Lieblingsfarben und tiere","Am Fluss ging die Sonne ewig nicht unter von links nach rechts floss er und plätscherte munter vorbei als du kamst da war es schon spät war ja klar
Am Morgen danach waren wir beide noch da

Schiffe flussabwärts der Nordsee entgegen erst kam die Nacht und dann kam der Regen du ohne Plan und ich ohne Schirm war ja klar
Am Morgen danach waren wir beide noch da

Dann kam die Flut rein und Füsse im Wasser und du sagtest das Meer jetzt nie wär es besser der Moment mal zu baden natürlich nackt war ja klar
Am Morgen danach waren wir beide noch da

Regen und Rauchen und Lachen und Zittern irgendwann Feuer und der Rauch schmeckte bitter der Himmel erstummt und später dann doch sternenklar
Am Morgen danach waren wir beide noch da

Bleib doch noch bleib doch noch bleib doch noch na klar
Am Morgen danach waren wir beide noch da","https://genius.com/Element-of-crime-am-morgen-danach-lyrics","Released 2014
Writers

    
      Sven Regener"
"2","Element Of Crime","Lieblingsfarben und Tiere","Lieblingsfarben und tiere","[Part:]
Schön dass Du anrufst
Leider umsonst, dass mein Handy abgestellt ist
Hast Du schon geschnallt, denn warum solltest
Du sonst mein völlig sinnloses Festnetztelefon zum klingeln bringen
Mach's wie ich, leg Dich hin und mach die Augen zu

[Hook:]
Denk an Lieblingsfarben und Tiere, Dosenravioli und Buch
Und einen Bildschirm mit Goldfisch
Das ist für heute genug!

[Part:]
Schön dass Du persönlich an der Tür die Klingelleitung testest
Du hast Recht, da ist technisch nicht alles 1a
Im Schwachstromsignal-Übertragungsweg gibt es Durchleitungsprobleme
Doch wer wirklich zu mir will, kommt damit klar

[Hook:]
Er braucht nur Lieblingsfarben und Tiere, Dosenravioli und Buch
Und einen Bildschirm mit Goldfisch
Das ist für heute genug!

[Part:]
Meine Lieblingsfarbe ist eigentlich grün, aber manchmal blau
Und gestern war es rot, das war auch ganz schön

Die Emails und die Kurznachrichten kannst Du zusammen mit den Excel- und Word-Dokumenten dahin tun
Wo die Sonne auch an warmen Tagen niemals scheint und wo
Auch schon die Meetings und die Skype-Kontakte ruhn'

[Hook:]
Denk an Lieblingsfarben und Tiere, Dosenravioli und Buch
Und einen Bildschirm mit Goldfisch, das ist für heute genug!","https://genius.com/Element-of-crime-lieblingsfarben-und-tiere-lyrics","Released 2014
Writers

    
      Sven Regener"
"3","Element Of Crime","Schade dass ich das nicht war","Lieblingsfarben und tiere","Die Treppe zum Keller, die du hinunterfielst
Die Blumen vom Spar, die du in den Händen hieltst
Schade, dass ich das nicht war

Das Auto, das ansprang, als du dagegen tratst
Der Tankwart, bei dem du beim Tanken zu zahlen vergasst
Schade, dass ich das nicht war

Im Winter der Schneemann, im Frühling die Vogelschar
Schade, dass ich das nicht war

Der Kopf, den du kratztest, die Laus und das Jacutin
Die Farbe im Haar und die Sonne, die darauf schien
Schade, dass ich das nicht war

Der Depp, den du anschriest, der Hund, der
Aus deiner Hand frass
Der Priester sogar, dem du die Leviten last
Schade, dass ich das nicht war

Im Sommer ein Schwimmbad, im Herbst eine Cocktailbar
Schade, dass ich das nicht war","https://genius.com/Element-of-crime-schade-dass-ich-das-nicht-war-lyrics","Released 2014
Writers

    
      Sven Regener"
"4","Element Of Crime","Rette mich (vor mir selber)","Lieblingsfarben und tiere","Nie zuvor hab ich ein Lächeln gesehen
Wie das deine, so wild und so schön
Wie ein Strand an der Nordsee, wenn die Flut
Nach dem Land greift und donnernd ans Ufer schlägt
Und der Strand sich dennoch kein bisschen bewegt
Sondern ausharrt, bis er nach und nach untergeht
Das sind die Bilder, auf die einer kommt, der nichts mehr versteht

Heimatlos und viel zu Hause
Unterbeschäftigt und viel zu viel zu tun
Rette mich vor mir selber
Hauptsache Liebe und Hauptsache du

Siehst du die Morgensonne so rot
Wie ein Erdbeermarmeladenbrot
Das ein Kind für die Schule geschmiert bekommt und das gleich
Auf dem Hinweg schon alle Bücher versaut
Bis das Kind, dass auf gute Noten vertraut
Es aufisst und wie ein Backenhörnchen dran kaut
Das sind Geschichten, die einer erzählt, der an gar nichts mehr glaubt

Heimatlos und viel zu Hause
Unterbeschäftigt und viel zu viel zu tun
Rette mich vor mir selber
Hauptsache Liebe und Hauptsache du

Fühlst du auch, wie ein Tag beginnt
Der für jeden, der nur ein bisschen spinnt
Ein Versprechen auf etwas Großes in sich birgt
An dem sich keiner alleine gehört
Und Zurückhaltung nichts Gutes bewirkt
Und ein peinliches Geständnis keinen mehr stört
Das sind die Worte, die einer findet, auf den keiner mehr hört

Heimatlos und viel zu Hause
Unterbeschäftigt und viel zu viel zu tun
Rette mich vor mir selber
Hauptsache Liebe und Hauptsache du","https://genius.com/Element-of-crime-rette-mich-vor-mir-selber-lyrics","Released 2014
Writers

    
      Sven Regener"
"5","Element Of Crime","Liebe ist kälter als der Tod","Lieblingsfarben und tiere","Wenn dich dein Schatten liebt und dich hinter sich her
Um die Häuser zum Rabenbaum zieht, wo die dunklen Spassvögel nur
Aus schier Schandudel versammelt und auf Schabernack getrimmt
Auf alles, was da kommt, scheissend, auf Party eingestimmt sind

Wenn du sie siehst, grüss sie von mir
Sag ihr, hier sei alles im Lot
Und je länger man kaut, desto süsser das Brot
Irgendwas ist immer
Irgendwas ist immer
Und Liebe ist kälter als der Tod

Wenn dich die Sonne liebt und dich überall sucht
Alle Gardinen verbrennt, die es in deinem Haus gibt
Und die Sonnenmilch und die Brille, das Kreuz und das Batiktuch
Und die Glückspille nichts bringen, und du ihrem Charme erliegst

Wenn du sie siehst, grüss sie von mir
Sag ihr, hier sei alles im Lot
Und je länger man kaut, desto süsser das Brot
Irgendwas ist immer
Irgendwas ist immer
Und Liebe ist kälter als der Tod

Wenn dich das Schicksal liebt und dich irgendwohin
Treibt, wo es nicht mehr wehtut, und du fragst nach dem Sinn
Eines Lebens, in dem man nicht spürt, wie die Seele langsam erfriert
Dann fragst du den falschen, dann bist du bei mir!

Wenn du sie siehst, grüss sie von mir
Sag ihr, hier sei alles im Lot
Und je länger man kaut, desto süsser das Brot
Irgendwas ist immer
Irgendwas ist immer
Und Liebe ist kälter als der Tod","https://genius.com/Element-of-crime-liebe-ist-kalter-als-der-tod-lyrics","Released 2014
Writers

    
      Sven Regener"
"6","Element Of Crime","Schwert, Schild und Fahrrad","Lieblingsfarben und tiere","Gib mir ein Schwert und ein Schild und ein Fahrrad und dann
Zieh ich aus um etwas zu finden, das mir erklärt
Wie es angehen kann, dass man liebt
Obwohl es keine Hoffnung mehr gibt
Und der Himmel so blau und so klar
Wie an dem Tag
An dem ich dich das erste mal sah

Hinab, Hinab zu der Stelle unten am Fluss
Wo das Wasser sich leise gurgelnd um einen Fels
Herumschlängeln muss und dabei
Ihn langsam und sicher zerreibt
Und das rettende Ufer so nah
Wie an dem Tag
An dem ich dich das erste mal sah

Hinauf, Hinauf zu dem Punkt, von dem aus man sieht
Wie der Horizont sich verbiegt, nur damit auf dich
Noch mehr Licht fällt, als ohnehin schon
Und der Wind singt dazu monoton
Ein Lied von Glück und Gefahr
Wie an dem Tag
An dem ich dich das erste mal sah

Weiter, Weiter, dahin, wo die Wahrheit
Dem Sinn ihre Hand reicht und sagt, alte Soche, wohin
Du auch des Wegs bist, ich bin dabei
Ein schönes Paar sind wir zwei
Und beide mit Blumen im Haar
Wie an dem Tag
An dem ich dich das erste mal sah

Komme ich wieder, dann, glaub mir, wird alles gut
Und wenn nicht, dann musst du mich wenigstens nie wieder sehen
Wie auch immer es sich ergibt
Wer auch immer wen dann noch liebt
Alles wird sein wie es war
An jenem Tag
An dem ich dich das erste mal sah","https://genius.com/Element-of-crime-schwert-schild-und-fahrrad-lyrics","Released 2014
Writers

    
      Sven Regener"
"7","Element Of Crime","Immer so weiter","Lieblingsfarben und tiere","Draußen die Sonne, drinnen der Staub und keiner, der sagt wieso
Ich an diesem Tag überhaupt aufstehen und später sogar noch aufs Klo
Und aufs Amt gehen soll, wo sie wissen wollen, ob man noch lebt
Auf dass das immer so weiter, immer so weiter geht

Schlimm ist die Farbe vom Haus gegenüber und schlimmer noch das Gelärm
Der Autos der Pendlerbrigade, die in endloser Schlange verhärmt
Und unausgeschlafen der Frühschicht entgegenstrebt
Auf dass das immer so weiter, immer so weiter geht

Doch du bist nicht mehr da und alles ist gar nicht mehr wahr
Du bist nirgendwo mehr und ich stehe hier nur
Paralysiert herum wie ein Trottel, der nicht versteht
Dass das immer so weiter, immer so weiter geht

Immer der letzte Fuß hinter dem nächsten und fünfhundert Schritt geradeaus
Dann mit freundlich grüßenden Gesten links herum bis zu dem Haus
Das zur Beleidigung aller Statik immer noch steht
Auf dass das immer so weiter, immer so weiter geht

Doch du bist nicht mehr da und alles ist gar nicht mehr wahr
Du bist nirgendwo mehr und ich stehe hier nur
Paralysiert herum wie ein Trottel, der nicht versteht
Dass das immer so weiter, immer so weiter geht

Dort will ich warten, in der Ruine, in die sich keiner mehr traut
Wo die Fenster lang schon vernagelt und die Türen lang schon verbaut
Sind, wo genau wie in mir drinnen schon lang nichts mehr lebt
Und doch alles immer so weiter, immer so weiter geht

Doch du bist nicht mehr da und alles ist gar nicht mehr wahr
Du bist nirgendwo mehr und ich stehe hier nur
Paralysiert herum wie ein Trottel, der nicht versteht
Dass das immer so weiter, immer so weiter geht","https://genius.com/Element-of-crime-immer-so-weiter-lyrics","Released 2014
Writers

    
      Sven Regener"
"8","Element Of Crime","Dunkle Wolke","Lieblingsfarben und tiere","Verschatte deine Augen, sprich mich nicht an
Sieh zu, dass mir keiner zu nah kommen kann
Der Nächste, der mich fragt, was geht, verliert
Dunkle Wolke über mir

Gib mir kein Verständnis, gib mir ein Heim
Wirf den Schlüssel weg und lass mich allein
Bilde einen Cordon Sanitaire
Dunkle Wolke über mir

Was ich auch sage, hör mir nicht zu
Kann sein, es ist furchtbar, kann sein, es ist klug
Dir gegenüber ist es jedenfalls nicht fair
Dunkle Wolke über mir

Einmal ist es Liebe, zweimal schon krank
Das dritte mal Mitleid, das vierte mal Punk
Beim fünften Mal hat's keinen mehr gestört
Dunkle Wolke über mir

Liebst du mich trotzdem, liebst du mich drum
Liebst du mich nicht mehr, liebst du mich um
Zu zeigen wie die Sache funktioniert
Dunkle Wolke über mir

Verschatte deine Augen, sprich mich nicht an
Sieh zu, dass mir keiner zu nah kommen kann
Der Nächste, der mich fragt, was geht, verliert
Dunkle Wolke über mir","https://genius.com/Element-of-crime-dunkle-wolke-lyrics","Released 2014
Writers

    
      Sven Regener"
"9","Element Of Crime","Dieselben Sterne","Lieblingsfarben und tiere","Immer wenn dein Kater zuviel Angst hat
Im Hinterhof auf Rattenjagd zu gehen
Und der alte Kammerjäger nicht zurückruft
Und wir uns im Baumarkt wiedersehen
Über dir, über mir dieselben Sterne

Immer wenn die alten Freunde heimgehen
Und du allein an einer Ecke stehst
An der seit Jahren nur noch schwarze Taxis halten
Und du dich freust, dass du noch lebst
Über dir, über mir dieselben Sterne

Immer wenn die Worte steckenbleiben
Immer wenn im Auge Wasser steht
Immer wenn wir durch die Dunkelheit uns treiben
Und verwirren lassen, bis es nicht mehr geht
Über dir, über mir dieselben Sterne

Ruf mich an, wenn du die Schnauze voll hast
Komm vorbei, wenn du nicht weißt, wohin
Reich mir deine Hand wenn Hände selten
Und Worte überflüssig sind
Über dir, über mir dieselben Sterne","https://genius.com/Element-of-crime-dieselben-sterne-lyrics","Released 2014
Writers

    
      Sven Regener"
"10","Element Of Crime","Wenn der Wolf schläft müssen alle Schafe ruhen","Lieblingsfarben und tiere","Was ich sagen kann, ist längst gesagt
Und was ich tun will, trau ich mich nicht zu tun
Die eine große Frage bleibt ungefragt
Wenn der Wolf schläft müssen alle Schafe ruhen
Verbrenn dir nicht die Finger an deiner Zigarette
Die brennt schneller runter, als du denkst
Ich gäbe meinen rechten Arm dafür
Wenn du mir nur einmal noch ein Lächeln schenkst

Hinter uns sind die, die keiner mag
Und vor uns die, die jeder Trottel liebt
Nur wenn du was isst, wirst du groß und stark
Und wer weiß, wann es wieder etwas gibt
Wisch dir deine Hände ruhig an meiner Jacke
Ab, die ist robuster als du denkst
Ich gäbe meinen rechten Arm dafür
Wenn du mir nur einmal noch ein Lächeln schenkst

Nach hundert Folgen sind alle Abenteuer fad
Und nichts ist so bitter wie das Korn
Für die Maus, wenn sie satt ist, und knüppelhart
Beginnt am Ende wieder alles nur von vorn
Nichts ist auch so kalt, wie der heiße Scheiß von gestern
Doch Wiederholungen sind besser als du denkst
Ich gäbe meinen rechten Arm dafür
Wenn du mir nur einmal noch ein Lächeln schenkst","https://genius.com/Element-of-crime-wenn-der-wolf-schlaft-mussen-alle-schafe-ruhen-lyrics","Released 2014
Writers

    
      Sven Regener"
