"";"artist";"title";"album";"text";"url";"metadata"
"1";"Element Of Crime";"Delmenhorst";"Mittelpunkt der welt";"[Strophe 1:]
Ich bin jetzt immer da, wo du nicht bist
Und das ist immer Delmenhorst
Es ist schön, wenn's nicht mehr weh tut
Und wo zu sein, wo du nie warst

[Refrain:]
Hinter Huchting ist ein Graben
Der ist weder breit noch tief
Und dann kommt gleich Getränke Hoffmann
Sag' Bescheid, wenn du mich liebst

[Strophe 2:]
Ich hab jetzt Sachen an, die du nicht magst
Und die sind immer grün und blau
Ob ich wirklich Sport betreibe
Interessiert hier keine Sau

[Refrain:]
Hinter Huchting ist ein Graben
Der in die Ochtum sich ergießt
Und dann kommt gleich Getränke Hoffmann
Sag' Bescheid, wenn du mich liebst

[Strophe 3:]
Ich mach' jetzt endlich alles öffentlich
Und erzähle, was ich weiß
Auf der Straße der Verdammten
Die hier Bremer Straße heißt

[Refrain:]
Hinter Huchting ist ein Graben
In den sich einer übergibt
Und dann kommt gleich Getränke Hoffmann
Sag' Bescheid, wenn du mich liebst

[Strophe 4:]
Ich bin jetzt da, wo ich mich haben will
Und das ist immer Delmenhorst
Erst wenn alles scheißegal ist
Macht das Leben wieder Spaß

[Refrain:]
Hinter Huchting ist ein Graben
Der ist weder breit noch tief
Und dann kommt gleich Getränke Hoffmann
Sag' Bescheid, wenn du mich liebst";"https://genius.com/Element-of-crime-delmenhorst-lyrics";"Released 2005"
"2";"Element Of Crime";"Wenn der Winter kommt";"Mittelpunkt der welt";"Gefrorener Atem fällt klirrend vor mir
In den Schnee
Es tut weh, wenn ein eiskalter Fuß
An ein Hindernis stößt
Zum Naturfreund werd' ich nicht mehr werden
Aber stolpernd folge ich dir
Durch deine Kindheitserinnerungswälder
Bis es dunkel wird, und dann folgst du mir

Refrain:
Am Himmel verblassen die Sterne
Deine Augen funkeln mich an
Seit ich dich kenne, mag ich es gern'
Wenn der Winter kommt
Dann wird's früher dunkel

Eisige Wege erzwingen den Gang Arm in Arm
Warm wird mir überall da
Wo du mich berührst
Auf Baggerseen soll man nicht wandeln
Aber vorsichtig folge ich dir
Auf das brüchige Eis deiner Jugend
Bis es dunkel wird, und dann folgst du mir

Refrain

Da, wo du wohnst, funktioniert
Die Heizung nicht mehr
Und das Herz wird dir schwer
Weil das Licht auf der Treppe nicht geht
Und du sagst das, als sei das die Wahrheit
Und fröhlich folge ich dir
Auf die Trampelpfade der Lügen
Bis es dunkel wird und dann folgst du mir

Refrain";"https://genius.com/Element-of-crime-wenn-der-winter-kommt-lyrics";"Released 2005"
"3";"Element Of Crime";"Straßenbahn des Todes";"Mittelpunkt der welt";"Wo die alten Leute immer
Schimpfend an der Ecke stehen
Werd ich mich dazu gesellen
Und Zigaretten für sie drehen

Und grad wenn wir uns richtig einig sind
Dass alles immer schlimmer wird
Wirst du vorüber gehen
Wo die Neurosen wuchern
Will ich Landschaftsgärtner sein
Und dich will ich endlich wiedersehen

Vor dem Edeka des Grauens
Wo wer freundlich ist verliert
Halt ich jeden Abend Wache
Auf dem Container für Papier

Und wenn du kommst
Dann sehe ich dich von weitem schon
Und kann schnell zu den Einkaufswagen gehen
Wo die Neurosen wuchern
Will ich Landschaftsgärtner sein
Und dich will ich endlich wiedersehen

In die Straßenbahn des Todes
Die heulend sich zum Stadtrand quält
Werd ich mich klaustrophobisch zwängen
Weil auch die kleine Geste zählt

Und wenn du einsteigst
Bin ich lang schon eng befreundet
Mit den Leuten die auf meinen Füßen stehen
Wo die Neurosen wuchern
Will ich Landschaftsgärtner sein
Und dich will ich endlich wiedersehen

Und wenn du einsteigst
Bin ich lang schon eng befreundet
Mit den Leuten die auf meinen Füßen stehen
Wo die Neurosen wuchern
Will ich Landschaftsgärtner sein
Und dich will ich endlich wiedersehen
Und dich will ich endlich wiedersehen";"https://genius.com/Element-of-crime-straenbahn-des-todes-lyrics";"Released 2005"
"4";"Element Of Crime";"Im Himmel ist kein Platz mehr für uns zwei";"Mittelpunkt der welt";"Siehst Du, wie sich die Wolken zusammen drängen
Als ob es sie da oben alleine friert
Ich hab nicht darum gebeten, Dich wiederzusehen
Wer als erster von weinenden Wolken spricht, verliert

Frag' mich nicht, wie ich ohne Dich lebe
Den ganzen Tag unter Wasser und Spaß dabei
Und alles geht immer irgendwie weiter
Im Himmel ist kein Platz mehr für uns zwei

Siehst Du dort den orangenen Held der Entsorgung
Der die schweren Container vom Hof an den Straßenrand schiebt?
Der ist heute da, und übermorgen schon wieder
Weil es immer wieder 'was wegzuschmeißen gibt

Frag' mich nicht, ob ich noch bei Trost bin
Den ganzen Tag untröstlich und Spaß dabei
Und alles geht immer irgendwie weiter
Im Himmel ist kein Platz mehr für uns zwei

Siehst Du den alten Mann mit der E-Gitarre
Die er jeden Abend in höchster Erregung zerschlägt?
Die er jeden Morgen mit Alleskleber
Zur Erregungsrequisite zusammenklebt

Frag' mich nicht, ob ich Dich noch liebe
Das Herz endlich gebrochen, und Spaß dabei
Und alles geht immer irgendwie weiter
Im Himmel ist kein Platz mehr für uns zwei";"https://genius.com/Element-of-crime-im-himmel-ist-kein-platz-mehr-fur-uns-zwei-lyrics";"Released 2005"
"5";"Element Of Crime";"Nur mit dir";"Mittelpunkt der welt";"Sterne vor den Augen leuchten mir den Weg
Durch eine Nacht, in der, wer Witze macht, verliert

Richtig schön wars nur
Richtig schön wars nur mit dir

Schmutzige Gedanken wärmen mir ein Heim
In dem der Kühlschrank als einziger nicht friert

Richtig schön wars nur
Richtig schön wars nur mit dir
Schlauer ist man immer wieder hinterher
Richtig schön wars nur mit dir

Wohlgesinnte Freunde folgen meiner Spur
Und treiben mich fröhlich vor sich her

Richtig schön wars nur
Richtig schön wars nur mit dir
Schlauer ist man immer wieder hinterher
Richtig schön wars nur mit dir

Herrlich wird der Morgen, wunderbar der Tag
Und am Abend wird sich ordentlich amüsiert

Doch richtig schön wars nur ...";"https://genius.com/Element-of-crime-nur-mit-dir-lyrics";"Released 2005"
"6";"Element Of Crime";"Finger weg von meiner Paranoia";"Mittelpunkt der welt";"Siehst du, wie die Brocken unserer Heimaterde dort
Wo die Straße eine Biege macht nach Ost
Schwalbengleich im Tiefflug links und rechts
Dem großen Loch entfliehen?
Wer den deutschen Tiefbau kennt, kann nicht die Frechheit übersehen
Mit der die Lüge sich hier eine Schneise fräst
Sag', dass ich mich irre und ich weiß auf wessen Seite du jetzt stehst

Finger weg von meiner Paranoia
Die war mir immer lieb und teuer
Nie ließ sie mich so kalt im Stich wie du
Einer hält den Spaten und zwei schauen ihm beim Halten zu

Warum hält der Zeitungsmann die Finger so gekrümmt
Wenn er mir die Zigarettenschachtel gibt
Und wie viele seiner Witze macht er immer nur bei mir
Was weiß er, was ich nicht weiß
Und was gibt man ihm dafür, dass er mich pünktlich jeden Morgen deprimiert?
Sag', dass ich verrückt bin und ich schwör' dir
Du kriegst eine geschmiert

Finger weg von meiner Paranoia
Die war mir immer lieb und teuer
Nie ließ sie mich so kalt im Stich wie du
Einer hält den Spaten und zwei schauen ihm beim Halten zu

Dem Postmann mach' ich nicht mal mehr im Bademantel auf
Seit ich weiß, dass er für alle spioniert
Die wissen wollen, was mich in meinem Leben so verdammt zufrieden macht
Und jetzt versucht er's auf die harte Tour
Und wirft die Briefe nur noch
Nachdem er sie gelesen hat ins Klo
Ich kann dir das beweisen, ich hab sie noch alle irgendwo

Finger weg von meiner Paranoia
Die war mir immer lieb und teuer
Nie ließ sie mich so kalt im Stich wie du
Einer hält den Spaten und zwei schauen ihm beim Halten zu

Dass du von allen sowieso
Die Allerschlimmste bist
Das weiß ich auch ohne dass du weinst
Deine Tränen sind noch einmal richtig
Öl im Feuer meiner Wut
Wer immer dich geschickt hat –
Sag ihm, es ist nicht so klug
Wenn sich ein Tiefbautrupp
Mit Arbeitseifer tarnt
Sag', dass ich bekloppt bin, aber sag nicht, ich hätte euch nicht gewarnt

Finger weg von meiner Paranoia
Die war mir immer lieb und teuer
Nie ließ sie mich so kalt im Stich wie du
Einer hält den Spaten und zwei schauen ihm beim Halten zu";"https://genius.com/Element-of-crime-finger-weg-von-meiner-paranoia-lyrics";"Released 2005"
"7";"Element Of Crime";"Still wird das Echo sein";"Mittelpunkt der welt";"Sag' ruhig, dass du hier nicht mehr leben kannst
Das hab ich schon öfter gehört
Und da du vor Jahren gegangen bist
Ist es nicht so, dass mich das noch stört

Die Frage ist nur was du reden sollst
Wenn der Angeberquatsch nichts mehr bringt
Und du merkst, dass der Klang deiner Stimme mir
Keine Liebeslieder mehr singt

Die Häuser sind klein und die Bäume sind groß
Und früher war's umgekehrt
Schön, dass, um das einmal festzustellen
Du einen so weiten Weg fährst

Die Frage ist nur, was du reden sollst
Wenn der Nostalgiequatsch nichts mehr bringt
Und du merkst, dass der Klang deiner Stimme mir
Keine Liebeslieder mehr singt

Wichtig ist nur die Veränderung
Dass man nie im Stillstand verharrt
Und dass man sich auch in harten Zeiten
Seine Träume und Wünsche bewahrt

Schön, das zu hören, doch was wirst du tun
Wenn dir all die Weisheit nichts bringt
Und du merkst, dass der Klang deiner Stimme mir
Keine Liebeslieder mehr singt

Still wird das Echo sein
Wenn die letzte Silbe verklingt
Und du merkst, dass der Klang deiner Stimme mir
Keine Liebeslieder mehr singt";"https://genius.com/Element-of-crime-still-wird-das-echo-sein-lyrics";"Released 2005"
"8";"Element Of Crime";"Weit ist der Weg";"Mittelpunkt der welt";"Dem Zaum deiner Zähne
Sind Worte entflohen
Die keiner mehr fassen kann
Und deine Absichten drohen
Deine Mittel zu sprengen
So wie ein Hund
Seine Ketten zerstört

Und der ist hinter mir her
Weit ist der Weg zu dir

Deine Hand ist so weit
Von den Augen entfernt
Dass sie alles begreifen können
Und dein linkes Bein lernt
Wie sich ein rechtes Bein anfühlt
Das keinem gehört
Der sich an so 'was noch stört

Und alle Gläser sind leer
Weit ist der Weg zu dir

Jung ist der Tag
Und der Himmel ist rot
Was wir tun ist schwer zu beschreiben
Hier können wir nicht bleiben
Wer jetzt nicht steht ist tot

Oder will immer noch mehr
Weit ist der Weg zu dir

Unten am Hafen
Singt der Wind uns ein Lied
Das handelt von dir und mir
Und dem was uns blüht
Wenn das immer so weiter
Und weiter so geht
Und sich kein Widerspruch regt

Und dahinter das Meer
Weit ist der Weg zu dir

Jung ist der Tag
Und der Himmel ist rot
Was wir tun ist schwer zu beschreiben
Hier können wir nicht bleiben
Wer jetzt nicht steht ist tot

Oder will immer noch mehr
Weit ist der Weg zu dir

Oder will immer noch mehr
Weit ist der Weg zu dir";"https://genius.com/Element-of-crime-weit-ist-der-weg-lyrics";"Released 2005"
"9";"Element Of Crime";"Die letzte U-Bahn geht später";"Mittelpunkt der welt";"Draußen ist alles klar
Der letzte Sportfreund, da geht er
Die letzte U-Bahn geht später
Und du bist immer noch da
Genau da, wo ich dich das erste Mal sah
Was damals vor fünf Minuten war
Und alles ist ganz wunderbar
Du bist immer noch da

Und siehst dahin wo ich auf keinen Fall bin
Und verdrehst mit den Fingern dein Haar
Und nur Idioten finden das wunderbar

Ein Vollidiot bin ich gern
Der letzte Verstand, da geht er
Die letzte U-Bahn geht später
Und du bist immer noch da
Du bist immer noch da

Draußen ist alles klar
Ein plötzlicher Wind, da dreht er
Sich um sich selbst und dann weht er
Uns Blütenträume ins Haar
Ich sag: Was geht jetzt? und du sagst: Ja
Und ich weiß nicht, ob das eine Frage war
Und alles ist ganz wunderbar
Du bist immer noch da

Und siehst dahin, wo ich auf keinen Fall bin
Und verdrehst mit den Fingern dein Haar
Und nur Idioten finden das wunderbar

Ein Vollidiot bin ich gern
Der letzte Verstand, da geht er
Die letzte U-Bahn geht später
Und du bist immer noch da
Du bist immer noch da";"https://genius.com/Element-of-crime-die-letzte-u-bahn-geht-spater-lyrics";"Released 2005"
"10";"Element Of Crime";"Mittelpunkt der Welt";"Mittelpunkt der welt";"Kaufst du Schuhe, nimmst du die
Mit den Nägeln unten dran
Und dazu den Arztroman
In dem die blonde Schwester immer, wenn sich ihr
Der fiese Chefarzt nähert, ihn sich
Mit dem Injektionsbesteck vom Leibe hält
Wo deine Füße stehen
Ist der Mittelpunkt der Welt

Im Lotto spielst du immer nur
Die Zahlen zwischen fünf und zehn
Und als Zusatzzahl dein Lebensalter
Denn als Lottospieler, sagst du, darf
Man höchstens 49 Jahre alt sein
Später wär' es schade um das Geld
Wo deine Füße stehen
Ist der Mittelpunkt der Welt

Fad' und ohne Lustgewinn
Ist dir die immer gleiche Jagd
Nach Ruhm und Ehre auf dem Schlachtfeld der Geschlechter
Hast du doch vor Jahren schon
Den seither gültigen Rekord im Schnellvergessen
Eines Ex-Freunds aufgestellt
Wo deine Füße stehen
Ist der Mittelpunkt der Welt

Frag' mich nicht woher ich komme
Sag' du freust dich mich zu sehen
Ich will nicht hören, dass du bereust, was einmal war
Und schon gar nicht was du bist
Ich bin der Wischmop für die Tränen
Und der alte Hund, der für dich beißt und bellt
Wo deine Füße stehen
Ist der Mittelpunkt der Welt";"https://genius.com/Element-of-crime-mittelpunkt-der-welt-lyrics";"Released 2005"
