"";"artist";"title";"album";"text";"url";"metadata"
"1";"Element Of Crime";"Ich war nicht dabei";"Psycho";"Erst war es Sylvester und später neues Jahr
Und sie schreien mir ins Ohr, wie spät es wirklich war
Da sprangen alles auf die Tische
Und ich war nicht dabei
Die Leiber so verschwitzt und die Augen so verstrahlt
Und kurz nachdem ich ging, hat keiner mehr bezahlt
Die tranken alles, was nicht weglief
Und ich war nicht dabei
Wo ich da wohl gerade war
Das wissen eigentlich nur wir zwei

Erst waren's über hundert und später nur noch vier
Doch die marodierten weiter auf ein allerletztes Bier
Mein Name war ihr Schlachtruf
Und ich war nicht dabei
Später gab es Ärger und ordentlich Polizei
Bloß hat das keiner mehr gemerkt, die waren alle viel zu high
Das war dann irgendwie auch schade
Und ich war nicht dabei
Wo ich da wohl gerade war
Das wissen eigentlich nur wir zwei

Erst war es noch dunkel und später war es hell
Und später wieder dunkel und dann war's wieder hell
Das war dann auch nicht mehr so wichtig
Und ich war nicht dabei
Am besten war's am Ende, da hat keiner mehr gelacht
Da floss der Reue heiße Träne, das hat richtig Spaß gemacht
Da waren alle richtig alle
Und ich war nicht dabei
Wo ich da wohl gerade war
Das wissen eigentlich nur wir zwei";"https://genius.com/Element-of-crime-ich-war-nicht-dabei-lyrics";"Released 1999"
"2";"Element Of Crime";"Ferien von dir";"Psycho";"Die Sonne klettert langsam von den Bäumen
Der Wälder am Rande jener Stadt
Deren Luft nur einer von uns beiden atmet
Und spiegelglatt
Verliert das Meer sich glitzernd in der Ferne
In der eine jeder von uns beiden weiß
Der Asphalt verströmt des Tages letzte Wärme
Und mir ist kalt

Refrain:
Am Telefon verliert sich deine Spur
Und nur in meinen Träumen bist du hier
In den Ferien von dir

Ein dummer Mann sitzt haltlos hinter Gläsern
Und wartet, dass die Zeit vorrüberzieht
Sie kommt natürlich nicht, die alte Zicke
Was daran liegt
Dass die Zeit ihr eigenes Gesetz hat
Das heißt, wenn du nicht da bist bleibt sie steh'n
Ich weiß nicht mehr, wer wen zuerst verletzt hat
Und muss dich seh'n

Refrain

Ich stürze mich mit aller Kraft auf jedes
Vergnügen, das die Nacht zu bieten hat
Und verhungere
Pappsatt bei vollem Kühlschrank
In jener Stadt
In der ich lernen muss, auf dich zu warten
Ein Fach, für das es keine Schule gibt
Und wenn, dann hätte ganz beschiss'ne Karten
Der, der dich liebt

Refrain";"https://genius.com/Element-of-crime-ferien-von-dir-lyrics";"Released 1999"
"3";"Element Of Crime";"Jetzt musst du springen";"Psycho";"Jetzt endlich weißt du
Dass deine Eltern nur dich zeugten
Damit du hier wie ein Vollidiot
Fröstelnd und ohne Not über allem stehst
Und nicht vorwärts gehst
Und du weißt, dass dein Vater sich fragt:
„Wird er es bringen?“
Und deine Mutter sagt „nein“
Und aus endloser Menge erklingen ermunternde Rufe:
Jetzt musst du springen!

Jetzt endlich wird dir klar, was es wirklich heißt
Zu bereuen und dennoch den ganzen harten Preis
Zahlen zu müssen, weil's kein Zurück mehr gibt
Was daran liegt
Was daran liegt
Dass du weißt, dass dein Vater sich fragt:
„Wird er das packen?“
Und deine Mutter sagt „nein“
Und aus endloser Menge erklingen ermunternde Rufe:
Jetzt musst du springen!

Jetzt endlich weißt du, was es heißt jung zu sein
Betrogen vom Augenschein an den Abgrund gehen
Halbnackt allein auf schwankenden Brettern stehen
Und 'runtersehen, und 'runtersehen
Und du weißt, dass dein Vater jetzt sagt:
„Das sind nur drei Meter!“
Und deine Mutter sagt „nein“
Und aus endloser Menge erklingen die Rufe der Väter:
Jetzt musst du springen!";"https://genius.com/Element-of-crime-jetzt-musst-du-springen-lyrics";"Released 1999"
"4";"Element Of Crime";"Michaela sagt";"Psycho";"Michaela sagt
Dass kein Mann sie richtig liebt
Und die es doch tun sind zu weich
Und das gibt dann nicht viel her
Es ist auch so schon schwer genug
Jeden Morgen aufzusteh'n
Und vor der ersten Zigarette
Will Michaela keinen seh'n

Michaela sagt
Die meisten Männer sind Schwachmaten
Und am Ende wollen alle immer irgendwas von ihr
Sie hilft ja gerne wo sie kann
Doch irgendwann ist's auch mal gut
Michaela sagt, man muss wissen was man tut

Michaela sagt
Egal was man nimmt Hauptsache viel
Und wenn schon endlich mal was los ist
Immer mitten ins Gewühl
Halbe Sachen, die erregen höchstens Michaelas Zorn
Michaela sagt
Erregen gibt's heutzutage nur ganz vorn

Michaela sagt
Sie kann Sonntage nicht leiden
Denn da treiben alle Leute so wie Quallen durch den Tag
Und was sie gar nicht mag
Sind Läden, die für sie geschlossen sind
Michaela sagt
Sie will mal irgendwann ein Kind

Michaela sagt
Von Dauer ist heute sowieso nichts mehr
Und ob sich irgendetwas lohnt
Weiß man auch erst hinterher
Von großen Plänen für die Zukunft
Will Michaela nichts mehr hör'n
Morgen früh ist ihr egal
Doch heute Abend kommt sie gern

Michaela sagt
Sie liebt uns alle furchtbar
Und wir geben gern zurück
Dass es uns genauso geht
Wo immer Michaela steht, da ist stets die Überzahl
Michaela lacht und Michaela sagt: Egal";"https://genius.com/Element-of-crime-michaela-sagt-lyrics";"Released 1999"
"5";"Element Of Crime";"Jung und schön";"Psycho";"Wenn wir sitzen können, stehen wir nie wieder auf
Nur wer sich bewegt, fällt jetzt nicht um
Nicht schlimm, wenn wir heute blind sind
Nur stumm wollen wir nicht sein
Wir müssen lauter schreien
Denn sonst hört man uns kaum
Und dann ist ausgeträumt, der Traum von einem Leben
Wie im sonntagnachmittags gezeigten Film

Refrain:
Du weißt schon, was ich sagen will?
Ist ja auch egal
Denn das Licht der Gaslaternen lässt uns schwindeln
Und warm sind die Nächte in Berlin
Wir taumeln durch die Straßen, so als wären wir jung und schön

Schlaf jetzt nur ein Irrtum
Und die Musik tun nicht mehr weh
Bisher war alles bunt, jetzt ist es weiß
Wie du heißt, hab ich vergessen
Und auch mein Name ist mir fremd
Wie eine alte Kinderjacke, die nutzlos weil zu eng
In einem Schrank verstaubt
In den seit Jahren schon nur alles 'reingeht und nichts 'raus

Refrain:
Du weißt schon, was ich sagen will?
Ist ja auch egal
Denn das Licht der Gaslaternen lässt uns schwindeln
Und warm sind die Nächte in Berlin
Wir taumeln durch die Straßen, so als wären wir jung und schön

Heute waren wir viele, doch das hilft uns auch nichts mehr
Du und ich sind immer noch am Start
Genarrt von einer Hoffnung, die sich uns immer mehr entzieht
Wie eine Wolke blauen Rauches, die uns von innen husten machte
Um sogleich als dünner Kringel in einen weichen Abendhimmel zu entfliehen

Refrain:
Du weißt schon, was ich sagen will?
Ist ja auch egal
Denn das Licht der Gaslaternen lässt uns schwindeln
Und warm sind die Nächte in Berlin
Wir taumeln durch die Straßen, so als wären wir jung und schön";"https://genius.com/Element-of-crime-jung-und-schon-lyrics";"Released 1999"
"6";"Element Of Crime";"Alles was blieb";"Psycho";"Wer kann noch wissen, was wirklich geschah
Ich weiß nicht mal mehr, wo ich überall war
Dann ging alles sehr schnell, soviel ist klar
Ein langes Haar und ein Abdruck im Kissen
Sind alles, was blieb

Meine Absichten waren edel und rein
Ich war viel zu verstört, um betrunken zu sein
Du kichertest verlegen in dich hinein
Ein langes Haar und ein Abdruck im Kissen
Sind alles, was blieb

Refrain:
Um zu beweisen, daß es dich gab
Daß alles wahr ist
Nur ein ganz langes Haar und ein Abdruck im Kissen
Sind alles, was blieb

Du sagtest, so blöde sähe ich gar nicht aus
Und Orte wie dieser wären dir im Grunde ein Graus
Ich sagte, ich hätte 'was zu trinken im Haus
Ein langes Haar und ein Abdruck im Kissen
Sind alles, was blieb

Refrain:
Um zu beweisen, daß es dich gibt
Daß alles wahr ist
...

Das war letzte Nacht, und jetzt ist es Tag
Daß ich dich anrufen darf, hast du nicht gesagt
Und ich hab' auch gar nicht zu fragen gewagt
Ein langes Haar und ein Abdruck im Kissen
Sind alles, was blieb

Refrain:
Um zu beschwören, daß du mich liebst
Daß alles klar ist
...";"https://genius.com/Element-of-crime-alles-was-blieb-lyrics";"Released 1999"
"7";"Element Of Crime";"Du hast mir gesagt";"Psycho";"Ich liege träge in der Sonne
Und sehe wie der Fluss vorüberfließt
Du hast mir gesagt, dass man nichts erzwingen soll
Und ich warte hier
Und ich warte hier auf das Glück und den gestrigen Tag

Ich freunde mich an mit einer Spinne
Und schaue ihr bei der Arbeit zu
Du hast mir gesagt, dass man Tiere lieben soll
Und ich warte hier
Und ich warte hier auf das Glück und den gestrigen Tag

Refrain:
Wenn du mich liebst, wirst du mich finden
Verliebte gehen hier immer an den Fluss
Und du hast mir gesagt, dass alles kommt, wie es kommen muss
Und ich warte hier
Und ich warte hier auf das Glück und den gestrigen Tag

Ich werfe Steine in die Strömung
Und schaue ihnen beim Versinken zu
Du hast mir gesagt, dass man sich nützlich machen soll
Und ich warte hier
Und ich warte hier auf das Glück und den gestrigen Tag

Refrain

Ich würde gerne endlich mal 'was essen
Und die Augen fallen mir von selber zu
Du hast mir gesagt, dass man nicht locker lassen soll
Und ich warte hier
Und ich warte hier auf das Glück und den gestrigen Tag

Refrain";"https://genius.com/Element-of-crime-du-hast-mir-gesagt-lyrics";"Released 1999"
"8";"Element Of Crime";"Nicht dein Tag";"Psycho";"Jenseits deines Zimmers ist unbekanntes Land
Und im Hausflur lauert schon der Feind
Nur wenn du an der Wand klebst
Steht keiner hinter dir
Geh nicht vor die Tür
Geh nicht vor die Tür
Iss, trink, schlaf', träum'
Iss, trink, schlaf'
Das ist heute nicht dein Tag
Das ist heute nicht dein Tag

In der U-Bahn starren dich fremde Menschen an
Und alle wissen scheinbar mehr als du
Mach' die Augen zu, dann sehen sie dich nicht
Glätten dein Gesicht
Glätten dein Gesicht
Iss, trink, schlaf', träum'
Iss, trink, schlaf'
Das ist heute nicht dein Tag
Das ist heute nicht dein Tag

Gestern warst du fröhlich und heute bist du froh
Dass dein Gegenüber dich nicht schlägt
Wenn sich intelligentes Leben in dir regt
Stell' dich einfach tot
Stell' dich einfach tot
Iss, trink, schlaf', träum'
Iss, trink, schlaf'
Das ist heute nicht dein Tag
Das ist heute nicht dein Tag";"https://genius.com/Element-of-crime-nicht-dein-tag-lyrics";"Released 1999"
"9";"Element Of Crime";"So wie du";"Psycho";"Eine Vogelscheuche steht
Vor deinem Haus in einem Erdbeerbeet
Und wird von 20 Spatzen ausgebuht
So wie du
20 Spatzen sind
So viel wie ein kleines Kind
Für Mütter sind kleine Kinder gut
So wie du

Refrain:
So wie du ist
Alles
Was diese Welt uns gibt
Und 20 Spatzen werden
Von ihren Müttern sehr geliebt
Das ist gut
So wie du

Ein Pitbull-Terrier steht
Vor deinem Haus in einem Erdbeerbeet
Und wird von 20 Katzen ausgebuht
So wie du
20 Katzen sind
So viel wie ein kleines Rind
Für Metzger sind kleine Rinder gut
So wie du

Refrain:
So wie du ist
Alles
Was diese Welt uns gibt
Und Pitbull-Terrier werden
Von ihren Müttern sehr geliebt
Das ist gut
So wie du

Ein Schwedenrätsel steht
Vor deinem Haus in einem Erdbeerbeet
Und wird von 20 Wörtern ausgebuht
So wie du
20 Wörter sind
So viel wie ein warmer Wind
Für Blumen sind warme Winde gut
So wie du

Refrain:
So wie du ist
Alles
Was diese Welt uns gibt
Und Erdbeerbeete werden
Von ihren Müttern sehr geliebt
Das ist gut
So wie du
So wie du";"https://genius.com/Element-of-crime-so-wie-du-lyrics";"Released 1999"
"10";"Element Of Crime";"Kavallerie";"Psycho";"Heute Nacht wird dir klar, dass der Liebe Gott dich nicht liebt
Dass sich der Tag der Erlösung noch etwas verschiebt
Zehn Biere im Sturzflug und die Eingangstür fest im Visier
Die rettende Kavallerie
Die kommt heut' nicht mehr

Ein Grafikdesigner und das Zahlen mit richtigem Geld
Du hältst deinen Platz an der Bar wie ein richtiger Held
Die ganze Welt gegen einen, das ist nicht fair
Die rettende Kavallerie
Die kommt heut' nicht mehr

Der letzte Gedanke versinkt im vorletzten Glas
Schön war die Zeit, als sie hier mit dir immer saß
Grab' dich tief ein und setz' dich mit allem zur Wehr
Die rettende Kavallerie
Die kommt heut' nicht mehr";"https://genius.com/Element-of-crime-kavallerie-lyrics";"Released 1999"
