"";"artist";"title";"album";"text";"url";"metadata"
"1";"Element Of Crime";"Mehr als sie erlaubt";"Weies papier";"Ihr Herz ist kalt wie ein gefrorenes Hühnchen
Ihre Schönheit überzuckert mit Gewalt
Für ihre Jacke starben mehr als zehn Kaninchen
Und dann tut sie auch noch so, als wär es Nerz
Mädchen sein allein ist keine Tugend
Auch wenn es scheint als ob es das ist, was sie glaubt
Fett wär ich bekäm ich ein Stück Torte
Für jede Illusion die sie mir raubt
Kann sein das sie mich nicht mehr wiedersieht, wenn ich einmal fort bin
Einfach ist es nicht, doch ich liebe sie mehr als sie erlaubt

Was fällt dir ein, zu ihr zu sagen, sie sei niedlich
Sie hat die Niedlichkeit eines jungen Wolfs
Ihr Gemüt ist alles andere als friedlich
Für ihre Zunge braucht sie einen Waffenschein
Wo sie hinschlägt, wächst hinterher kein Gras mehr
Auch keine Rosen, wie sie immer wieder glaubt
Gesund wär' ich bekäm ich einen Apfel, für jedesmal
Wenn sie in meine Richtung haut
Kann sein das sie mich nicht mehr wiedersieht, wenn ich einmal fort bin
Einfach ist es nicht, doch ich liebe sie mehr als sie erlaubt

Wenn ich nicht selber so ein riesengroßes Schwein wär
Dann hätt' es niemals mit uns zwei'n so gut geklappt
Letzten Endes bin auch ich ein ganz Gemeiner
Letztendlich passt auf jeden Eimer ein Gesicht
Sie liebt an mir den schäbigen Charakter
Und ihre Grausamkeit ist mir so schön vertraut
Grün und blau wär ich, bekäm ich eine runter
Für jeden guten Freund, der mir nicht glaubt
Kann sein, dass ihr auch mich nie wiederseht, wenn sie einmal fort ist
Einfach ist es nicht, doch für was bess'res bin ich hoffnungslos versaut!";"https://genius.com/Element-of-crime-mehr-als-sie-erlaubt-lyrics";"Released 1993
Producers

    
      Sven Regener
Writers

    
      Sven Regener"
"2";"Element Of Crime";"Draußen hinterm Fenster";"Weies papier";"Draußen hinterm Fenster
Sitzt ein Kind und spielt
Am Motor eines Subarus herum
Ein Oberkellner füllt
Alle Kognakflaschen um
Ein Steuerfahnder bittet um Asyl
Vom Freibad kommen die, die nicht ertrunken sind
Ein Subaru-Besitzer macht Jagd auf ein Kind

Und ich frage dich nicht wo du herkommst
Du sagst mir nicht wo wir sind
Wir sitzen hier fest, was auch immer geschieht
Verwirrt, träge und verliebt

Draußen hinterm Fenster
Sitzt ein Kind und rührt
In der Milch der frommen Denkungsart herum
Ein Oberkellner spürt
Ein Reißen in den Knien
Ein Eisenbieger nimmt die falsche Tür
Vom Kaufhaus kommen die, die nicht verhaftet sind
Ein sittenstrenger Milchmann macht Jagd auf ein Kind

Und ich frage dich nicht wo du herkommst
Du sagst mir nicht wo wir sind
Wir sitzen hier fest, was auch immer geschieht
Verwirrt, träge und verliebt

Draußen hinterm Fenster
Sitzt ein Kind und malt
Am Meinungsbild vom nächsten Jahr herum
Ein Oberkellner zahlt
Alle Gäste aus und geht
Ein Kognaktrinker wirft den Tresen um
Vom Parkplatz kommen die, die nicht zu retten sind
Ein Ex-Meinungsforscher macht Jagd auf ein Kind

Und ich frage dich nicht wo du herkommst
Du sagst mir nicht wo wir sind
Wir sitzen hier fest, was auch immer geschieht
Verwirrt, träge und verliebt";"https://genius.com/Element-of-crime-drauen-hinterm-fenster-lyrics";"Released 1993
Producers

    
      Sven Regener
Writers

    
      Sven Regener"
"3";"Element Of Crime";"Weißes Papier";"Weies papier";"Ich nehm deine Katze und schüttel sie aus
Bis alles herausfällt
Was sie jemals aus meiner Hand fraß
Später klopf ich noch den Teppich aus
Und find ich ein Haar von mir darin
Dann steck ich es einfach ein
Nichts soll dir böse Erinnerung sein
Verraten, was ich dir gewesen bin
Sag nicht, dass das gar nicht nötig wär
Denn schmerzhaft wird es erst hinterher
Wenn wieder hochkommt, was früher mal war
Dann lieber so rein und so dumm sein wie weißes Papier

Auch werd ich in Zukunft ein anderer sein
Als der, den du in mir sahst
Die Hose, die Du mir gehäkelt hast
Werf ich in den Container der Heilsarmee rein
Ich ess auf dem Fußboden aus der Hand
Seh mir jeden Trickfilm im Fernsehen an
Alles was Du nicht magst, lobe ich mir
Ich werd einfach so rein und so dumm sein wie weißes Papier

Nicht mal das Meer darf ich wiedersehen
Wo der Wind deine Haare vermisst
Wo jede Welle ein Seufzer
Und jedes Sandkorn ein Blick von dir ist
Am liebsten wär ich ein Astronaut
Und flöge auf Sterne wo gar nichts vertraut
Und versaut ist durch eine Berührung von dir
Ich werd nie mehr so rein und so dumm sein wie weißes Papier";"https://genius.com/Element-of-crime-weies-papier-lyrics";"Released 1993
Producers

    
      Sven Regener
Writers

    
      Sven Regener"
"4";"Element Of Crime";"Schwere See";"Weies papier";"Merkst du denn
Wie weit der Horizont sich neigt
Das leise Zittern, wenn das Schiff ganz langsam in die Höhe steigt
Wie eine alte Frau, die sich mit Mühe aus dem Sessel hebt
Wie alles um uns bebt und ächtzt und stöhnt
Als ob es lebt
Als ob es lebt

Refrain:
Schwere See, schwere See, mein Herz
Schwere See, schwere See, mein Herz

Der kleine Hund
Den du neulich erst gefunden hast
In dessen Maul, das nie zu stopfen war
Ein jeder Käse, Fisch und Kuchen drückte
Der mit seiner Niedlichkeit das ganze Schiff entzückte
Der ging gerade über Bord
Eben noch lustig
Jetzt schon fort

Refrain

Und während ich schon krank bin
Und den Fischen was zu essen bringe
Nimmst du das Gabelfrühstück ein
Kaust krachend Brot und halbe Heringe
Trinkst Wein und lachst so laut
Als ob du's extra machst
Ist das so?
Tust du das?

Refrain

Jetzt wirst auch du ganz blass
Und du krallst dich in die Reling
Dein Blick ist starr und deine Augen matt
Wer's einmal hat, dem geht es nie mehr aus den Knochen raus
Krall dich an mich und danke, dass du mir vertraust
Ich will dein fester Boden sein
Obwohl ich selber schwanke
Obwohl ich selber schwanke

Refrain";"https://genius.com/Element-of-crime-schwere-see-lyrics";"Released 1993
Producers

    
      Sven Regener
Writers

    
      Sven Regener"
"5";"Element Of Crime";"Und du wartest";"Weies papier";"Ein alter Mann steht unten am See
Und bewirft die Enten mit Brot vom vorigen Jahr
Und du wartest
Kommt Zeit, kommt Rat, kommt Vater Staat
Kommt Rente, kommt Ente, kommt Hass auf alles, was früher war
Und du wartest auf irgendwas
Auf den gestrigen Tag, auf längeres Haar
Auf den Sommer und darauf dass einer das Klo repariert
Sogar
Auf ein Zeichen von ihr

Ein kleiner Junge steht unten im Hof
Und beweint den Tod eines Schneemanns vom vorigen Jahr
Und du wartest
Kommt Zeit, kommt Rat, kommt gute Tat
Kommt gute Fee, kommt Schnee, kommt Hass auf alles, was früher war
Und du wartest auf irgendwas
Auf die Müllabfuhr, einen Platz an der Bar
Auf den Sommer und darauf, dass einer das Klo repariert
Sogar
Auf ein Zeichen von ihr

Ein alter Zausel betrachtet sich selbst
Und zerschabt sein Gesicht mit Klingen vom vorigen Jahr
Und du wartest
Kommt Zeit, kommt Rat, kommt Fusselbart
Kommt Rasierapparat und vergessen ist alles, was früher war
Und du wartest auf gar nichts mehr
Auf den Sommer nicht und nicht auf längeres Haar
Und darauf dass einer dein Herz repariert
Schon gar nicht
Auf ein Zeichen von ihr";"https://genius.com/Element-of-crime-und-du-wartest-lyrics";"Released 1993
Producers

    
      Sven Regener
Writers

    
      Sven Regener"
"6";"Element Of Crime";"Du hast die Wahl";"Weies papier";"Ich warte am Bahndamm
Zwischen den Gleisen
Bis entweder ein Zug kommt
Oder ein Zeichen von dir
Ob das Erpressung ist
Ist mir doch egal
Du wirst geliebt
Du hast die Wahl

Kann sein
Dass das irgendwie blöd ist
Doch nichts ist so öde wie ein Sommer allein

Wir schießen es aus um Punkt 12
Am Nichtschwimmerbecken
Und wenn du nicht auftauchst
Spring ich zu dir rein
Ob das gerecht ist
Ist mir doch egal
Du wirst geliebt
Du hast die Wahl

Kann sein
Dass das irgendwie blöd ist
Doch nichts ist so öde wie ein Sommer allein

Ich lock dich in den Garten
Und bewerf dich mit Blumen
Solang bis du umfällst
Und kapitulierst
Ob das Verschwendung ist
Ist mir doch egal
Wer verliebt ist
Hat keine Wahl

Kann sein
Dass mir das alles mal peinlich ist
Doch nichts ist so göttlich wie ein Sommer zu zwein";"https://genius.com/Element-of-crime-du-hast-die-wahl-lyrics";"Released 1993
Producers

    
      Sven Regener
Writers

    
      Sven Regener"
"7";"Element Of Crime";"Sperr mich ein";"Weies papier";"Laß mich noch eine rauchen
Dann auf zur Tat
Die Hände hinterm Kopf verschränkt
Durchsuchen mußt du gründlich
Überall
Der Fall ist schwerer als du denkst
Erklär mir meine Rechte
Sperr mich ein
Ich will von dir verhaftet sein

Meine Sitten sind verlottert
Mein Weltbild ist verdreht
Und schmutzig meine Phantasie
Bin schuldig groben Unfugs
Der Völlerei
Und gut zu Tieren war ich nie
Erklär mir meine Rechte
Sperr mich ein
Ich will von Dir verhaftet sein

Gib mir meine Strafe
Hart hab ich es gern
Ich halte still, was immer auch passiert
In Freiheit bin ich garstig
Gefangen will ich sein
Kleingemacht und gut verschnürt
Erklär mir meine Rechte
Sperr mich ein
Ich will von Dir verhaftet sein
Ich will von Dir verhaftet sein
Ich will von Dir verhaftet sein";"https://genius.com/Element-of-crime-sperr-mich-ein-lyrics";"Released 1993
Producers

    
      Sven Regener
Writers

    
      Sven Regener"
"8";"Element Of Crime";"Immer unter Strom";"Weies papier";"Im Gepäck nicht mehr als sieben Sachen
Auf dem Kompass nichts als geradeaus
Und alle 100 Kilometer Helm ab zum Gebet
Wegzukommen ist uns heilig
Anzukommen ist egal
Und die einzige Qual ist uns die Angst, dass es mal nicht mehr weiter geht
Immer unter Strom
Immer unterwegs und überall zu spät

Was sich nicht bewegt ist nicht zu fassen
Wo wir sind wird uns der Boden heiss
Unsre Haut wird uns zur engen Hülle, die unter Spannung steht
Wo wir warn war immer alles fade
Wo wir hinfahrn wird es wunderbar
Und hoffen dürfen wir solange, wie sich der Motor dreht
Immer unter Strom
Immer unterwegs und überall zu spät

Bring mich von hier weg
Bring mich dahin wo noch irgendwas passiert
Bring mich von hiner weg
Bring mich dahin wo noch irgendetwas lebt
Bring mich von hier weg
Bring mich dahin wo es anders ist als hier
Immer unter Strom
Immer unterwegs und überall zu spät

Bis nach Oslo brauchen wir zwei Stunden
Und nach Zürich höchstens zweieinhalb
Und dennoch ist da immer etwas, das war schon vor uns da
Und etwas, das schon wieder weg ist
Und etwas, das uns an den Hacken klebt
Das uns bedroht, das uns verrät
Immer unter Strom
Immer unterwegs und überall zu spät";"https://genius.com/Element-of-crime-immer-unter-strom-lyrics";"Released 1993
Producers

    
      Sven Regener
Writers

    
      Sven Regener"
"9";"Element Of Crime";"Sommerschlußverkauf der Eitelkeit";"Weies papier";"Öffne nicht die Zähne, wenn du etwas sagst
Denk dran, nicht zu lächeln, wenn du nach Zigaretten fragst
Hier geht es nicht um Freundlichkeit
Lächeln fällt bloß auf
Und dann sind alle wichtiger als du
Das ist der Sommerschlussverkauf der Eitelkeit
Red nicht über andere, rede über dich
Du bist hier nicht zum Spaß, halt nur das Glas und trinke nicht
Hier geht es nicht um Wahrheit
Trag etwas dicker auf
Denn sonst sind alle wichtiger als du
Das ist der Sommerschlussverkauf der Eitelkeit
Bist du denn nicht der, der damals mit dem - ja
Und dich hab ich gesehen, als seinerzeit - genau
Ich bin ein Schnäppchen auf dem Sommerschlussverkauf der Eitelkeit
Dass du mich beachtest, wie mich das wieder freut
Ich küsse deine Füße, wenn du erlaubst, O Seligkeit
Jetzt muss ich aber weiter
Halt mich bloß nicht auf
Da sind noch welche wichtiger als du
Das ist der Sommerschlussverkauf der Eitelkeit
Bist du denn nicht der, der damals mit dem - ja
Und dich hab ich gesehen, als seinerzeit - genau
Ich bin ein Schnäppchen auf dem Sommerschlussverkauf der Eitelkeit
War das nicht wieder herrlich, war das nicht wunderbar
Keiner hat gerufen, und trotzdem waren alle da
Hol dir etwas Wichtigkeit
Pump dich etwas auf
Greif ganz tief hinein in den Grabbeltisch vom Sommerschlussverkauf der
Eitelkeit";"https://genius.com/Element-of-crime-sommerschluverkauf-der-eitelkeit-lyrics";"Released 1993
Producers

    
      Sven Regener
Writers

    
      Sven Regener"
"10";"Element Of Crime";"Alten Resten eine Chance";"Weies papier";"Getrunken hab ich wenig, das Tanzen ließ ich sein
Und übrig blieben nur wir zwei
Die letzten sind die besten
Und ich bin immer gern dabei
Die Küche ist ein Chaos, der Flur ein Strafgericht
Was für Schweine lädtst du dir bloß ein
Ein Salat darf nie mit Nudeln sein
Denn sowas rächt sich bitterlich
Vom Biervorrat ist schon lange nichts mehr da
Doch alten Resten eine Chance, auf eigene Gefahr
Denn was ist schon eine Party ohne Schmerzen hinterher
Die Sünden wiegen schwer, und leiden kann man nie genug
Gib mir einen Zug
Von dem Kraut mit dem sonderbaren Duft, an dem du rauchst
Nein, das werden wohl alte Socken sein
Was auch immer da verbrennt
Das überlass ich dir allein
Was bessres wüsst ich schon, das ist auch dir nicht unbekannt
Das zeigt das Lächeln, das um deine Lippen schleicht
Vielleicht wird dieser Morgen
Ja doch noch irgendwie charmant
Der Lack ist bei uns beiden zwar schon ab
Doch alten Resten eine Chance, mal sehen, ob es noch klappt
Und was nützt das viele Leiden, wenn man sich nicht auch vergnügt
Die Sünden wiegen schwer, doch begehen kann man nie genug
Egal, wer oben liegt
Deine Hand in meinen Haaren, mein Gebiss an deinem Hals
So stolpern wir duch das Morgenlicht
Doch genug der schönen Worte
Es geht auch ohne, dass man spricht";"https://genius.com/Element-of-crime-alten-resten-eine-chance-lyrics";"Released 1993
Producers

    
      Sven Regener
Writers

    
      Sven Regener"
