"","artist","title","album","text","url","metadata"
"1","Feine Sahne Fischfilet","Für Diese Eine Nacht","Bleiben oder gehen","[Strophe I:]
Meine ganze Generation
Jeder hier kennt die Frage schon
In Dauerschleife diese Zeilen
Gehen oder Bleiben!

Ein viel zu tiefer Sumpf
Bekanntenkreis wächts, Freundeskreis schrumpft
Sind unsere besten Jahre jetzt schon um?

[Chorus:]
Komm schon für diese eine Nacht
Als wenn nur dies uns glücklich macht
Verdräng, verlier, ignorier!
[2x]

[Strophe II:]
Alle um mich herum
Ziehen weiter um
Ich krieg hier langsam Angst allein zu sein
Ich kann euch gut verstehn
Habt ihr Angst vorm in die Zukunft sehen?
Was bleibt, wenn immer nur die Guten gehen?

[Chorus]

[Bridge:]
Wir - werden am Tresen randalieren
Wir - unseren Absturz zelebriern
Wir - nehmen das alles gern in Kauf
Wir - wachen an der Ostsee auf

[Hook 2x]","https://genius.com/Feine-sahne-fischfilet-fur-diese-eine-nacht-lyrics","Released 2015"
"2","Feine Sahne Fischfilet","Wut","Bleiben oder gehen","[Strophe I:]
Leere Gesichter, viele Fragen
Niemand der ihnen Antwort gibt
Was können sie hier noch wagen?
Heute Nacht - schlagen sie zurück

Helme warten auf Kommando
Knüppel schlagen Köpfe ein
Wasser peitscht sie durch die Straßen
Niemand muss Bulle sein!

[Chorus:]
Und der Hass - Der steigt
Und unsere Wut - Sie treibt
Unsere Herzen brennen
Unsere Herzen brennen!
Und der Hass - Der steigt
Und unsere Wut - Sie treibt
Unsere Herzen brennen
Unsere Herzen brennen!

[Strophe II: Milli Dance (WTG)]
Verweis mich aus der Stadt - Ich scheiß drauf was du sagst
Wer kein Rückgrat hat der wird vereidigt auf den Staat
Lieber - Hartz 4 beziehn, im Bett bis um 4 liegen
Bier trinken, Weed dealen, Speed ziehn
Als Geld im Staatsdienst verdien'
Das Martinshorn in meinen Ohren nervt-
Ich habe mir nichts vorzuwerfen
Bin bei weitem nicht frei von Sünde, aber trete vor zum Werfen
Polizist sein heißt, dass Menschen mit Meinungen Feinde sindIhr verprügelt gerade wieder KinderAls wären es eure eigenen

Ich trag lieber ein pinkes Designerhemd
Bettle am Bahnhof für ein paar Cent
Zieh lieber eine Line Zement alsDown zu seinmitRainer Wendt
Ich mach mich warm, weil der Dunkelheitseinbruch sich nähert
Die nächste Bullenwache ist nur einen Steinwurf entfernt

[Chorus]","https://genius.com/Feine-sahne-fischfilet-wut-lyrics","Released 2015"
"3","Feine Sahne Fischfilet","Glitzer im Gesicht","Bleiben oder gehen","Und du weißt, nach jeder Party folgt alleine sein
Und du weißt, die Erkenntnis nur aufgesetzt erscheint
Und du weißt, bist deiner Würde hinterher gerannt

Ich bin völlig ausgebrannt

Oooh oooh ooh
Oooh oooh ooh
Oooh oooh ooh
Oooh oooh oh oh Viel zu oft Glitzer im Gesicht und Scheiße im Gehirn
Viel zu oft falsche Leute im richtigen Zwirn
Viel zu oft einstudiertes, halbherziges Umarmen

Ich pass nicht in euren Rahmen

Oooh oooh ooh
Oooh oooh ooh
Oooh oooh ooh
Oooh oooh oh oh Viel zu viel
Kein Ventil
Ich habe Angst
Mich selber zu verlieren
Kampflos schwach
Pöbelnd durch die Nacht
Kriegs nicht mehr hin
Hier noch zu funktioneren

Viel zu viel
Kein Ventil
Ich habe Angst
Mich selber zu verlieren
Kampflos schwach
Pöbelnd durch die Nacht","https://genius.com/Feine-sahne-fischfilet-glitzer-im-gesicht-lyrics","Released 2015"
"4","Feine Sahne Fischfilet","Lass Uns Gehen","Bleiben oder gehen","[Strophe I:]
Wirklich nie daran geglaubt
Wirklich nie daran gedacht
Das Gerede von *mal rauskommen*
Haben wir oft genug belacht
Schauen uns nur ungläubig an
Haben wir das hier echt geschafft
Dieser Traum begann, begann
Begann erst nach dem Schlaf

Sind nun ständig unterwegs
Zwischen Party, Suff und Tour
Endlich zahlt es sich nun aus
Unser Straßenabitur
In den Momenten ganz gewiss
Dass das alles richtig ist
Der einzig ausgezahlte Lohn -
Ein Präsentkorb, euer Hohn!

[Chorus:]
Lass uns gehen, all das müssen
Wir hier gar nicht mehr verstehn
Lass uns gehen vollgepackt
Mit unseren Ideen
Lass uns gehen, trotz all der
Fehler werden wir zusammenstehen
Lass uns gehen, tief einatmen
Bevor alles vergeht

[Strophe II:]
Stecken so viel von uns rein -
Ist das richtig? Wie wird's sein?
Für nichts ne Garantie -
Kein Problem, die gabs noch nie
Und wir wissen, das ist klar
Auch trotz starken Gegenwinds
Dass die steinigsten Wege
Doch manchmal die Schönsten sind

[Chorus 2x]","https://genius.com/Feine-sahne-fischfilet-lass-uns-gehen-lyrics","Released 2015"
"5","Feine Sahne Fischfilet","48 Knoten","Bleiben oder gehen","[Strophe I:]
Deine Tränen sind Folklore
Deine Sprüche arrangiert
Abgestandene Floskeln willst du in
Endlosschleife frisch servieren

Deine Versprechen völlig wertlos
Für jede Träne eine Ausrede parat
Haben uns nicht einmal mehr vorm'
Ständigen Belügen bewahrt

Keine gemeinsamen Momente
Unser Lachen, lange verstimmt
Die Enttäuschung das Einzige
Was hier noch Raum einnimmt

[Chorus:]
Nun geht's für mich wieder voran
Sah mich nicht mehr im Spiegel an
Viel zu oft - völlig durchgedreht
Nächte nach - denen ich nichts versteh

Nun geht's für mich wieder voran
Es wird Sinn machen - Irgendwann
Mit meinen Freunden
Immer lauthals schreien
Jeder noch so dolle Sturm - zieht vorbei

[Strophe II:]
Ratschläge helfen mir nicht weiter
Schlau über Liebe können andere debattieren
Oft an meine Freunde angelehnt
Ich werd' mich bei euch revanchieren

[Chorus:]","https://genius.com/Feine-sahne-fischfilet-48-knoten-lyrics","Released 2015"
"6","Feine Sahne Fischfilet","Warten auf das Meer","Bleiben oder gehen","[Strophe I:]
Ich sitze am Fenster, hier neben dir
Regen prasselt an die Scheiben
Von früh bis spät
Alles andere egal, völlig scheißegal
Hauptsache du schläfst
Und deine Hände bleiben warm

[Chorus:]
Ich vergesse nie die Tage
Da draußen auf dem Meer
Ungewiss und ohne Schlaf
Das hast du nicht verdient
Ich vergesse nie die Tage
Da draußen auf dem Meer
Du warst so oft für mich da
Jetzt bin ich für dich hier

Komm wir dreh'n ne Runde auf Station
Das wird nicht einfach, nichts wie gewohnt
Die Geräte rauben dir den Schlaf
Der Schmerz dringt in die Seele, das ist völlig normal!

[Chorus]

[Strophe II:]
Vollgepumpt mit ihren Drogen
Und der Schweiß in deinem Gesicht
Warum musst du denn so leiden
Ich hoffe, dass das bald vergeht

Ich hab mich selten so gefühltDiese Leere bringt mich um
Das ist doch alles nicht gerechtWieso es immer die Besten trifft

Warten, warten
Warten auf das Meer. (4x)","https://genius.com/Feine-sahne-fischfilet-warten-auf-das-meer-lyrics","Released 2015"
"7","Feine Sahne Fischfilet","Ich glaube dir","Bleiben oder gehen","[Strophe I:]
Komm doch mit, weg von diesem Ort
Komm doch mit, ich gebe dir mein Wort
Komm doch mit, vergiss den ganzen Scheiß
Komm doch mit, wir nehm' uns gegenseitig in den Arm

[Chorus:]
Ich glaube dir, es wird schon alles gut
Auch wenn es manchmal schwerfällt
Nicht völlig durch zu drehen
Ich glaube dir, es wird schon alles gut
Auch wenn es manchmal schwer ist
Und wir nichts mehr verstehen
Und wir nichts mehr verstehen

[Strophe II:]
Kopf hoch jetzt, du überlebst das schon
Kopf hoch jetzt, Veränderung tut gut
Kopf hoch jetzt, wovor hast du angst
Kopf hoch jetzt, wir hörn' The ClashMit ""Should I Stay Or Should I Go""

[Chorus 2x]","https://genius.com/Feine-sahne-fischfilet-ich-glaube-dir-lyrics","Released 2015"
"8","Feine Sahne Fischfilet","Solange es brennt","Bleiben oder gehen","Wir warten hier schon viel zu lang
Geduldig sind wir angespannt
Was weißt du schon, was wir fühlen?
In Leidenschaft bricht hier bald alles zusammen

Wir haben Probleme, wer hat die nicht?
Wir werden uns ändern, oder besser nicht
Zusammen am stärksten, zusammen geschweißt
Gegen all das Gerede von Glück und Zusammenhalt

Wir bilden Ketten, solange es brennt!
Ich werde immer daran denken, wie schön es zusammen mit dir ist!
Wir bilden Ketten, solange es brennt!
Es wird nicht einfach, wenn das Leben uns langsam zerfrisst

Ich bin durcheinander, du bist es auch
Wie geht's jetzt weiter? Wir lachen zu zweit
Sie wollen uns verwirren, und treten dabei
Mit ganzer Härte, auf alle unsere Träume ein!

Wir bilden Ketten, solange es brennt!
Ich werde immer daran denken, wie schön es zusammen mit dir ist!
Wir bilden Ketten, solange es brennt!
Es wird nicht einfach, wenn das Leben uns langsam zerfrisst

Wir bilden Ketten, solange es brennt!
Wir bilden Ketten, solange es brennt!
Es wird nicht einfach, wenn das Leben uns alle zerfrisst!

Wir bilden Ketten (Wir bilden Ketten), solange es brennt! (Solange es brennt)
Wir bilden Ketten (Wir bilden Ketten), solange es brennt!
Solange es brennt, es brennt, wir bilden Ketten, solange es brennt!
Es brennt, es brennt, wir bilden Ketten, solange es brennt!
Solange es brennt!
Solange es brennt","https://genius.com/Feine-sahne-fischfilet-solange-es-brennt-lyrics","Released 2015"
"9","Feine Sahne Fischfilet","Es bleibt beim Alten","Bleiben oder gehen","Ganz schwarz, ganz weiß
Scheißegal was du meinst
Ganz sicher, sehr sicher
Du und ich
Wir bleiben dabei
Abgelenkt, zu viel geschenkt
Oben rein
Doch nichts dabei
Ob du weißt was du sagst
Wenn dein Handeln Konsequenzen hat
Ganz schwarz, ganz weiß
Scheißegal was du meinst
Ganz sicher, sehr sicher
Du und ich
Wir bleiben dabei
Abgelenkt, zu viel geschenkt
Oben rein
Doch nichts dabei
Ob du weißt was du sagst
Wenn dein Handeln Konsequenzen hat

Nichts ist klar
Nichts scheint wahr
Wir verlassen uns auf uns selbst
Es bleibt beim Alten
Außer wir verändern es
Nichts ist klar
Nichts scheint wahr
Wir verlassen uns auf uns selbst
Es bleibt beim Alten
Außer wir verändern es

Was geht, was nicht
Das entscheidet das Gericht
Die Behörden aufgebracht
Zu viele Fremde hier im Land
Abgelegen in der Ferne
Ohne Herz und ohne (Wert)
Wwnig Hoffnung und kein Glück
Keine Besserung in Sicht

Nichts ist klar
Nichts scheint wahr
Wir verlassen uns auf uns selbst
Es bleibt beim Alten
Außer wir verändern es
Nichts ist klar
Nichts scheint wahr
Wir verlassen uns auf uns selbst
Es bleibt beim Alten
Außer wir verändern es
Nichts ist klar
Nichts scheint wahr
Wir verlassen uns auf uns selbst
Es bleibt beim Alten
Außer wir verändern es

Das was hier noch schockiert
Dass nichts mehr schockiert
Alles bleibt entspannt
Und diese Strategie
Einer Harmonie
Mörderisch gespannt
Das was hier noch schockiert
Dass nichts mehr schockiert
Alles bleibt entspannt
Und diese Strategie
Einer Harmonie
Mörderisch gespannt
Das was hier noch schockiert
Dass nichts mehr schockiert
Alles bleibt entspannt
Und diese Strategie
Einer Harmonie
Mörderisch gespannt","https://genius.com/Feine-sahne-fischfilet-es-bleibt-beim-alten-lyrics","Released 2015"
"10","Feine Sahne Fischfilet","Nur Applaus","Bleiben oder gehen","Ganz egal was es verspricht
Keine Ehrlichkeit in Sicht
Was hat der Staat damit zu tun?
Wer steht hinter dem NSU?

Auf jede Antwort noch mehr Fragen
""Routine-Lügen"", schwer zu ertragen
Aktenvernichtung, nur warum?
Scheinheiliges Grinsen, alles bleibt stumm

Sei dir sicher, ohne Zweifel:
Statt Aufklärung gibt's Applaus
Wie sie heucheln, wie sie dastehen
Der Staat lädt nach, Nazis führen aus","https://genius.com/Feine-sahne-fischfilet-nur-applaus-lyrics","Released 2015"
