"";"artist";"title";"album";"text";"url";"metadata"
"1";"Feine Sahne Fischfilet";"Zurück in unserer Stadt";"Sturm dreck";"[Part 1]
Es geht los,
Es geht los - heute Nacht.
Alle treiben sich gegenseitig an.
Es geht los,
Es geht los - heute Nacht.
Lieber ekelhaft statt Einzelhaft!

[Hook]
Wir sind zurück in unserer Stadt
Mit 2 Promille durch die Nachbarschaft.
Wir sind zurück in unserer Stadt
und scheißen vor eureBurschenschaft.

[Part 2]
Es ist kalt,
Es ist kalt - in der Stadt.
Die nicht satt sind sind lange noch nicht satt!
Es ist kalt,
Es ist kalt - in der Stadt.
Wir ham Bock auf Stress und 'ne Menge Hass.

[Hook] (2x)
Wir sind zurück in unserer Stadt
Mit 2 Promille durch die Nachbarschaft.
Wir sind zurück in unserer Stadt
und scheißen vor eure Burschenschaft.
Wir sind zurück in unserer Stadt
Mit 2 Promille durch die Nachbarschaft.
Wir sind zurück in unserer Stadt
und scheißen vor eure Burschenschaft.

[Outro]
Es geht los,
Es geht los - heute Nacht.";"https://genius.com/Feine-sahne-fischfilet-zuruck-in-unserer-stadt-annotated";"Released January 12, 2018
Produziert Von

    
      Tobias Kuhn
Gemastert von

    
      Robin Schmidt
Gemischt von

    
      Simon Jäger
Producers

    
      Tobias Kuhn
Writers

    
      Christoph Seil, Feine Sahne Fischfilet, Jacobus North & 4 more"
"2";"Feine Sahne Fischfilet";"Alles auf Rausch";"Sturm dreck";"[Strophe 1]
Ich kann immer noch nicht sing'
Und spiel' jetzt bei Rock am Ring
Wenn wir seh'n, dass ihr kotzt
Geht es uns gut
Ihr wünscht uns die Pest herbei
Zieht mit Stoppschildern vorbei
Das hier ist unsere Zeit!

[Refrain]
Alles auf Rausch - Wann hört dieser Wahnsinn auf?
Alles auf Rausch - Unterschätzt uns, lacht uns aus!
Alles auf Rausch -Vor der Bühne bunter Rauch
Alles auf Rausch - Mehr im Bus, als Zuhaus'!

[Strophe 2]
""Verbietet sie!"" hörn' wir euch schrein'
Euch fall'n nur Dickenwitze ein
Wenn wir seh'n, dass ihr kotzt
Geht es uns gut
Uns fahr'n Leute hinterher
Das zu glauben fällt uns schwer
Das hier ist uns're Zeit!

[Refrain]
Alles auf Rausch - Wann hört dieser Wahnsinn auf?
Alles auf Rausch - Unterschätzt uns, lacht uns aus!
Alles auf Rausch - Vor der Bühne bunter Rauch
Alles auf Rausch - Mehr im Bus, als Zuhaus'!

[Trompetensolo]

[Refrain]
Alles auf Rausch - Wann hört dieser Wahnsinn auf?
Alles auf Rausch - Unterschätzt uns, lacht uns aus!
Alles auf Rausch - Vor der Bühne bunter Rauch
Alles auf Rausch - Mehr im Bus, als Zuhaus'!

[Schluss]
Im Rausch (Gehen wir auf!)
Im Rausch (Gehen wir auf!)
(Wohoho!
Wohoho!
Wohohohohohoo!
Wohoho!
Wohoho!
Wohohohooooh!)";"https://genius.com/Feine-sahne-fischfilet-alles-auf-rausch-lyrics";"Released January 12, 2018
Produziert Von

    
      Tobias Kuhn
Gemastert von

    
      Robin Schmidt
Gemischt von

    
      Simon Jäger
Producers

    
      Tobias Kuhn
Writers

    
      Christoph Seil, Feine Sahne Fischfilet, Jacobus North & 4 more"
"3";"Feine Sahne Fischfilet";"Angst Frisst Seele Auf";"Sturm dreck";"[Part 1]
Sie singen davon, wie sie dich töten.
Im Herbst schickst du mir dieses Lied
Es trifft dich härter als jeder Stein
Wie oft fühlst du dich allein?
Wie oft fühlst du dich allein?

[Hook]
Wenn alle mutlos sind
Halt' ich mich an dir fest
Und schlag' zurück -
Wenn alle mutlos sind
Halten wir uns fest
Komm schlag zurück -
DennAngst frisst Seele auf


[Part 2]
Ich steh bei dir, wenn's drauf ankommt
Lasst uns lachen und auch weinen
Gleichgültigkeit schmerzt am meisten
Glaub' mir, du bist nicht allein

[Hook]
Wenn alle mutlos sind
Halt' ich mich an dir fest
Und schlag' zurück -
Wenn alle mutlos sind
Halten wir uns fest
Komm schlag zurück -
Denn Angst frisst Seele auf

[Bridge 2x]
Angst fressen Seele auf
Angst frisst alles auf
Komm und schlagt zurück!";"https://genius.com/Feine-sahne-fischfilet-angst-frisst-seele-auf-annotated";"Released January 12, 2018
Produziert Von

    
      Tobias Kuhn
Gemastert von

    
      Robin Schmidt
Gemischt von

    
      Simon Jäger
Producers

    
      Tobias Kuhn
Writers

    
      Christoph Seil, Feine Sahne Fischfilet, Jacobus North & 4 more"
"4";"Feine Sahne Fischfilet";"Schlaflos in Marseille";"Sturm dreck";"[Part 1]
In der Kneipe - raub' ich mir den Verstand
Oh in der Kneipe - leg' ich mein Herz in deine Hand
In der Kneipe - trink' ich mit dir 'ne Flasche Schnaps
Oh in der Kneipe - küssen wir uns durch die Nacht!

[Hook]
Ich werde für dich lügen
Auf den Dächern nachts um vier
Lass uns alles vergessen
Schlaflos in Marseille

[Part 2]
In den Straßen - zünd' ich dir deine Kippe an
Oh in den Straßen - randalierend, Hand in Hand
In den Straßen - sind wir zusammen unerkannt
Oh in den Straßen - fühlen wir uns frei - die ganze Nacht!

[Hook 2x]
Ich werde für dich lügen
Auf den Dächern nachts um vier
Lass uns alles vergessen
Schlaflos in Marseille";"https://genius.com/Feine-sahne-fischfilet-schlaflos-in-marseille-annotated";"Released January 12, 2018
Produziert Von

    
      Tobias Kuhn
Gemastert von

    
      Robin Schmidt
Gemischt von

    
      Simon Jäger
Producers

    
      Tobias Kuhn
Writers

    
      Christoph Seil, Feine Sahne Fischfilet, Jacobus North & 4 more"
"5";"Feine Sahne Fischfilet";"Zuhause";"Sturm dreck";"[Part 1]
Reiß ihre Mauern ein.
Reiß alle Mauern ein.
Und lässt dein ganzes Leben zurück.
Reiß ihre Mauern ein.
Reiß alle Mauern ein.
Du riskierst jetzt alles für das Glück

[Hook]
Zuhause heißt - wenn dein Herz nicht mehr so schreit.
Zuhause heißt - wenn die Angst der Freundschaft weicht.
Zuhause heißt - wir schützen uns, alle sind gleich.
Zuhause heißt - wenn dein Herz nicht mehr so schreit.

[Part 2]
Reiß ihre Zäune ein.
Reiß alle Zäune ein.
Und lässt dein ganzes Leben zurück.
Reiß ihre Zäune ein.
Reiß alle Zäune ein.
Du riskierst jetzt alles für das Glück

[Hook]
Zuhause heißt - wenn dein Herz nicht mehr so schreit.
Zuhause heißt - wenn die Angst der Freundschaft weicht.
Zuhause heißt - wir schützen uns, alle sind gleich.
Zuhause heißt - wenn dein Herz nicht mehr so schreit.

[Bridge]
In dieser Welt - scheint das alles nur ein Traum.
In dieser Welt - bleibt das alles nur ein Traum.
Doch ich bleib dabei - Für eine grenzenlose Welt!
Doch ich bleib dabei - Für eine grenzenlose Welt!

[Hook]
Zuhause heißt - wenn dein Herz nicht mehr so schreit.
Zuhause heißt - wenn die Angst der Freundschaft weicht.
Zuhause heißt - wir schützen uns, alle sind gleich.
Zuhause heißt - und wenn die Bomben nicht mehr knallen.

[Outro]
Zuhause
Zuhause
Du bist Zuhause
Du bist wieder Zuhause
Vergesse nie
Vergesse nie
Jeder Mensch braucht - ein Zuhause!";"https://genius.com/Feine-sahne-fischfilet-zuhause-annotated";"Released January 12, 2018
Produziert Von

    
      Tobias Kuhn
Gemastert von

    
      Robin Schmidt
Gemischt von

    
      Simon Jäger
Producers

    
      Tobias Kuhn
Writers

    
      Christoph Seil, Feine Sahne Fischfilet, Jacobus North & 4 more"
"6";"Feine Sahne Fischfilet";"Alles Anders";"Sturm dreck";"[Part 1]
Du wirst mich nie verstehen
Das ist wirklich kein Problem
Ihr werdet uns nie verstehen
Das tut manchmal weh
Du wirst mich nie verstehen
Ich hab' mich dran gewöhnt
Ihr werdet uns nie verstehen
Nie verstehen!

[Hook]
Das hier ist jetzt nur für dich
Für dein Feuer, für dein Glück
Alles anders hier zu sehen
In dem Wahnsinn aufzugehen

[Part 1]
Liebe scheint zu vergehen
Wie der Sommer verfliegt, vergeht
Liebe scheint zu enstehen
Neue Liebe entsteht
Neue Liebe entsteht, entsteht

[Bridge 2x]
Und ich geb' dich endlich auf
Ich geb' auf, ich geb' auf
Und ich geb' es endlich auf
Ich geb' auf, ich geb' auf

[Hook 2x]
Das hier ist jetzt nur für dich
Für dein Feuer, für dein Glück
Alles anders hier zu sehen
In dem Wahnsinn aufzugehen

[Part 3]
Für immer nur du
Und trotzdem alles anders
Für immer nur du
Dennoch alles anders
Für immer nur du
Und alles anders
Für immer nur du
Alles anders";"https://genius.com/Feine-sahne-fischfilet-alles-anders-annotated";"Released January 12, 2018
Produziert Von

    
      Tobias Kuhn
Gemastert von

    
      Robin Schmidt
Gemischt von

    
      Simon Jäger
Producers

    
      Tobias Kuhn
Writers

    
      Christoph Seil, Feine Sahne Fischfilet, Jacobus North & 4 more"
"7";"Feine Sahne Fischfilet";"Dreck Der Zeit";"Sturm dreck";"[Part 1]
Barrikaden brennen in Frankfurt am Main
Die Empörung ist groß - tretet auf sie ein
Oury Jallohverbrennt undDessau schweigt
So war das hier und wird es immer sein

[Hook]
Willkommen im Dreck der ZeitDer Sturm bricht ein
Willkommen im Dreck der Zeit
Du bist nicht allein
Willkommen im Dreck der Zeit
Im Sturm bereit
Willkommen im Dreck der Zeit

[Part 2]
Menschen sterben vor Europa im Meer
Denn Seenotschiffen wird dieAusfahrt verwehrt
Spaniens Grenze wird überquert
man jagt sie und manschießt auf sie

[Hook]
Willkommen im Dreck der Zeit
Der Sturm bricht ein
Willkommen im Dreck der Zeit
Du bist nicht allein
Willkommen im Dreck der Zeit
Im Sturm bereit
Willkommen im Dreck der Zeit

[Part 3]
Was hast du erwartet
Nichts davon ist neu
Das ist die Realität -
Die dir in die Fresse knallt
Doch es lohnt zu kämpfen
Auch wenn's scheiße klingt
Wir lächeln in den Abgrund
Ich glaub' an dich!

[Hook]
Willkommen im Dreck der Zeit
Der Sturm bricht ein
Willkommen im Dreck der Zeit
Du bist nicht allein
Willkommen im Dreck der Zeit
Im Sturm bereit
Willkommen im Dreck der Zeit";"https://genius.com/Feine-sahne-fischfilet-dreck-der-zeit-annotated";"Released January 12, 2018
Produziert Von

    
      Tobias Kuhn
Gemastert von

    
      Robin Schmidt
Gemischt von

    
      Simon Jäger
Producers

    
      Tobias Kuhn
Writers

    
      Christoph Seil, Feine Sahne Fischfilet, Jacobus North & 4 more"
"8";"Feine Sahne Fischfilet";"Ich Mag Kein Alkohol";"Sturm dreck";"[Part 1]
Warum suche ich immer nach einem Konflikt?
Wann habe ich das letzte mal nüchtern gefickt?
Wie oft sage ich noch ""Das war das letzte Mal""
Nichts ist biegsamer als meine Moral

[Hook]
Ich mag kein Alkohol, nur das Besoffensein
Wer so viel feiert, der ist auch oft allein
Ich mag kein Alkohol, nur das Besoffensein
Wer so viel feiert, der ist auch oft allein

[Part 2]
So viel, was man mit der Zeit vergisst
Obwohl wir uns nicht kannten, hab ich dich vermisst
Langsam gefährdest du meinen schlechten Ruf
Wann tat mir das letzte Mal jemand so gut?

[Hook]
Ich mag kein Alkohol, nur das Besoffensein
Wer so viel feiert, der ist auch oft allein
Ich mag kein Alkohol, nur das Besoffensein
Wer so viel feiert, der ist auch oft allein

[Hook]
Ich mag kein Alkohol, nur das Besoffensein
Wer so viel feiert, der ist auch oft allein
Ich mag kein Alkohol, nur das Besoffensein
Wer so viel feiert, der ist auch oft allein

Wann geht ihr endlich auf mich los?! (10x)";"https://genius.com/Feine-sahne-fischfilet-ich-mag-kein-alkohol-annotated";"Released January 12, 2018
Produziert Von

    
      Tobias Kuhn
Gemastert von

    
      Robin Schmidt
Gemischt von

    
      Simon Jäger
Producers

    
      Tobias Kuhn
Writers

    
      Christoph Seil, Feine Sahne Fischfilet, Jacobus North & 4 more"
"9";"Feine Sahne Fischfilet";"Suruc";"Sturm dreck";"[Part 1]
Auf dem Boden liegen Tote
In der Luft Tränengas
In der Luft Tränengas
Ich bin noch gar nicht richtig hier
Jetzt sterben Menschen neben mir
Die Verzweiflung trübt die Sicht
Unsere Tränen kriegt ihr nicht

[Hook 2x]
Wir haben's verteidigt,
Bauen's gemeinsam wieder auf!
Es bleibt dabei - du wirst nie verlieren,
Solang ihr an euch glaubt!

[Part 2]
Zwei Straßen weiter spielen Kinder
In der Stadt riecht es nach Blut
Überall riecht es nach Blut
Samstag noch im Rampenlicht
Jetzt steh' ich hier und schäme mich
Bald bin ich wieder zuhaus'
Sag, wie haltet ihr das aus?

[Hook 2x]
Wir haben's verteidigt,
Bauen's gemeinsam wieder auf!
Es bleibt dabei - du wirst nie verlieren,
Solang ihr an euch glaubt!

[Part 3]
Das Rot am Morgen
Im Wind ein Traum, der nie verweht
Der Staub im Regen
Die Hitze beißt, das Glück entzwei
Um uns nur Berge
Für das Leben
Und gegen den Tod

[Hook 3x]
Wir haben's verteidigt,
Bauen's gemeinsam wieder auf!
Es bleibt dabei - du wirst nie verlieren,
Solang ihr an euch glaubt!

Solang ihr immer an euch glaubt.";"https://genius.com/Feine-sahne-fischfilet-suruc-annotated";"Released January 12, 2018
Produziert Von

    
      Tobias Kuhn
Gemastert von

    
      Robin Schmidt
Gemischt von

    
      Simon Jäger
Producers

    
      Tobias Kuhn
Writers

    
      Christoph Seil, Feine Sahne Fischfilet, Jacobus North & 4 more"
"10";"Feine Sahne Fischfilet";"Wo Niemals Ebbe Ist";"Sturm dreck";"[Part 1]
Ich lieb' die Wellen und das Meer
Viel zu selten komme ich hierher
Zu viel Maloche macht uns dumm
Ich zieh' lieber mit meinen Freunden rum
Überall steht ""zu vermieten"" drauf
Gegenüber macht 'ne Spielo auf
Ein großes Maul tut immer gut
Tot sind wir noch lang genug

[Hook]
Wir leben da, wo niemals Ebbe ist
Ein naher Freund - zu weit entfernt
Wir leben da, wo niemals Ebbe ist
Du fehlst mir - doch so sehr

[Part 2]
Ich lieb' die Ruhe und wenn's knallt
Sollt' ich alt werden, werde ich hier alt
Mein Zuhause ist der Strand
Denn dort hab' ich keinen Empfang
Mit Lebenslust sollst du protzen
Scheißegal, lass die anderen kotzen
3. Liga - NichtabstiegsplatzWir feiern's wie die Meisterschaft

[Hook]
Wir leben da, wo niemals Ebbe ist
Ein naher Freund - zu weit entfernt
Wir leben da, wo niemals Ebbe ist
Du fehlst mir - doch so sehr

[Hook]
Wir leben da, wo niemals Ebbe ist
Ein naher Freund - zu weit entfernt
Wir leben da, wo niemals Ebbe ist
Du fehlst mir - doch so sehr";"https://genius.com/Feine-sahne-fischfilet-wo-niemals-ebbe-ist-annotated";"Released January 12, 2018
Produziert Von

    
      Tobias Kuhn
Gemastert von

    
      Robin Schmidt
Gemischt von

    
      Simon Jäger
Producers

    
      Tobias Kuhn
Writers

    
      Christoph Seil, Feine Sahne Fischfilet, Jacobus North & 4 more"
