"","artist","title","album","text","url","metadata"
"1","Fettes Brot","Die drei ??? und die ernste Sache der Welt","Fettes brot lasst gruen","[Rocky Beach Theme]

[Peter Shaw]
Mensch Bob, das ist ja wirklich der schwierigste Fall, den wir je hatten

[Bob Andrews]
Du hast Recht, Peter. Unsere Auftraggeber werden langsam unruhig

[Papagei]
Fettes Brot

[Bob]
Jetzt sollte nach zwei Jahren endlich ihre neue Platte erscheinen und von den verschwundenen Masterbändern fehlt nach wie vor jede Spur

[Peter]
Nach den mysteriösen Zwischenfällen der letzten Zeit wäre ich dafür, dass wir den Fall nicht weiter bearbeiten. Mir ist die ganze Sache unheimlich

[Bob]
Aber Peter, wir sind Detektive. Wir müssen mit den Ermittlungen fortfahren. Du weißt doch, was auf unserer Karte steht: Wir übernehmen jeden...

[Justus Jonas]
Kollegen!

[Bob]
Just?!

[Peter]
Hallo Erster

[Justus]
Seht mal, was ich hier habe

[Peter]
Die...die... die Bänder!

[Bob]
Das gibt's doch nicht. Wo hast'n die her?

[Justus]
Tja, in gewisser Hinsicht war es ganz klar: Schwarzbart und Matschauge hatten sie

[Bob]
Nein

[Peter]
Das ist der Verbrecher

[Justus]
Komissar Reynolds ist bereits informiert

[Bob]
Wir sollten gleich unsere Auftraggeber anrufen. Na, die werden erleichtert sein

[Justus]
Selbstverständlich, Bob. Bevor wir allerdings die Bänder zurückgeben, sollten wir uns das Vergnügen nicht nehmen lassen, die Aufnahmen einmal anzuhören","https://genius.com/Fettes-brot-die-drei-und-die-ernste-sache-der-welt-lyrics","Released October 2, 1998
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Phonographic Copyright ℗

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Featuring

    
      Heinz Strunk & Tocotronic
Producers

    
      Fettes Brot
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Mastered at

    
      NHB Studios"
"2","Fettes Brot","Wo die Wilden Kerle Wohnen","Fettes brot lasst gruen","Oh, wie schön ihr seid im Haus
Guten Tach, ich hab 'n kleinen Ausflug gemacht
Bitte wer hätte das von eurem Lausbub gedacht?
Neues Zeug für Euch als Mitbringsel
Jeder Song 'ne Hitsingle
Wo jeder mitsingen will
Es ist wahr
Fettes Brot ist wieder da
Macht Euch keine Sorgen
Wir rockenWie Getreide, das ist klar
Zwei Jahre älter und kein bisschen weiser
Doch heißer nicht kälter und kein bisschen leiser
Studio, Video, Interview nächtelang
Wie warme Semmeln sind wir weg gegangen
Bis zum Zapfenstreich
Unter all den Sprechgesangstechnikern
Sind wir immer noch die Hechte im Karpfenteich

Va bene, ich hab mir die Mähne gestutzt
Feuchtigkeitscreme benutzt
Immer die Zähne geputzt
Also ruhig Blut
Euer Tunichtgut
Reiste weit
Ich weiß Bescheid
Jedenfalls die meiste Zeit
Denn jeder Vollidiot ist der Meinung
Er wär hier in Hollywood
Dabei ist es halb so hart wie Abifahrt
Niemand brauch hier wirklich einen Bodyguard
Wie ihr sicher merkt
Sind jegliche Bedenken unberechtigt
Hier ist unser neues Werk
Uns geht es prächtig
So, tschüs ihr Süßen, Fettes Brot lässt grüßen

Ich bin's mal wieder euer verlorener Sohn
Der Filius, der Melodien schreiben muss für Millionen
Darum erzähl ich Vati und Mutti am Telefon
Wir regeln das schon – da wo die wilden Kerle wohnen

Fertig, Abmischen!","https://genius.com/Fettes-brot-wo-die-wilden-kerle-wohnen-lyrics","Released October 2, 1998
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Phonographic Copyright ℗

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Featuring

    
      Heinz Strunk & Tocotronic
Producers

    
      Fettes Brot
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Mastered at

    
      NHB Studios"
"3","Fettes Brot","Lieblingslied","Fettes brot lasst gruen","Amors Pfeil ist giftig
Und ich hoffe er trifft dich
Und weil du's eh wieder vergisstHier hastes schriftlich
Schreit sie mich an als würde sie mich hassen
Und verlässt die Wohnung mit der Betonung auf verlassen
Dabei hatte ich doch an alles gedacht
Hab uns Sekt mitgebracht, rote Rosen und Erdbeeren aus Dosen
Auf jeden Fall wie Frühstück bei Grimaldi
Doch leider ließ ich ihren Waldi angeleint bei Aldi
Der Hund war munter und gesund
Überstand den kleinen Unfall letztlich unverletzt
Und jetzt tut es mir leid, wenn ich das nicht wieder geregelt krieg
Hasst sie mich auf ewiglich
Baby, ich bau dir ein Haus aus After-Eight
Und falls ich darf, komm ich im nächsten Jahr sogar mit auf die Loveparade
Ich klau für dich den Gartenzwerg meines Nachbars
Kauf 'ne Flasche reines Lachgas
Ohne Witz, ich mach das!
Ich lauf ans Ende der Welt und dann zurück zu dir
Doch ich hab Angst, dass du mir nicht verzeihen kannst
So steh ich vor deiner Tür,guck dich an mit HundeblickOh, irgendwie war das wohl ungeschickt

[Hook x2:]
Liebling, sie spielen unser Lied im Radio
Oder war mir gerade so
Es tut mir leid
Wir haben doch 'ne gute Zeit

Und hier die Preisfrage:
Wer erfindet solche Scheißtage, an denen alles daneben geht
Und man auch bei Sonnenschein permanent im Regen steht?
Wie im Comicstrip stolper ich über deine Schuhe
Du singst Songs von Tocotronic mit
Doch ich will meine Ruhe
„Wie wär's mit 'ner Begrüßung?“ fragt sie und schaut mich an
Ich schrei so laut ich kann:
„Die Welt kann mich nicht mehr verstehen!“
Und außerdem überhaupt und sowieso
Sie sagt: „Ich wär' dir dankbar, wenn du jetzt dein Maul hältst
Faulpelz
Mach den Abwasch in der Küche
Und bitte stell die Uhr im Flur endlich auf Sommerzeit um
Auch wenn du meinst das wäre schlecht für deine Psyche.“
Er: „Ich hab dich nicht um Tipps gebeten.“
Sie: „Fühl dich nicht gleich auf den Schlips getreten.“
Ein Schlagabtausch bis ich Sterne seh wie durch ein Teleskop
Du drehst dich eiskalt weg, guckst deine Daily-Soap
Ich scheiß drauf, im wahrsten Sinne des Wortes
Und zieh mich zurück in dieStille des Ortes
Ihre Stimme dringt zu mir an die Toilette
„Das Klopapier hab ich hier und ich kenn einen der's gern hätte.“

[Hook x2]

Irgendwie ist wohl irgendwas gewesen
Warum schaust du immer weg?
Ich kann nicht mal in deinen Augen lesen
So frag ich mich naiv: „Was könnt ich dir getan haben?“
Stille Wasser sind tief, du bist der Marianengraben
Hältst du mich für gefühlskrank
Oder weshalb fand ich heute Morgen meinen Teddy im Kühlschrank?
Euer Ehren, Vorsitzende des hohen Gerichts
Meine Mandant weiß von nichts, weil du nicht mit ihm sprichst
Jetzt reicht's mir, ich greif zum Telefon
Nach dem 9. Tuten sagt ihre Freundin Guten Tag
„Na, du hast ja Nerven dich hier zu melden nach all den Heldentaten
Diesmal gibt's 'n Platzverweis und keine gelbe Karte.“
Plötzlich macht es Klick, klick
Nicht bei mir sondern in der Leitung
Soweit bis hier, kleiner Zeitsprung
12 Stunden Schweigen waren genug
Als allerletzte Rettung, bleibt nur noch dein Tagebuch
Ach was, ich geb auf
Es gibt ja eh nichts mehr zu beschönigen
Du bist die Königin und ich der Hofnarr
Du hast sicher recht, dass ich mal wieder doof war
Ich geh jetzt ins Bett
Sie sagt: „Ich auch.“ Und bleibt auf dem Sofa

[Hook x2 ]

Liebling","https://genius.com/Fettes-brot-lieblingslied-lyrics","Released October 2, 1998
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Phonographic Copyright ℗

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Featuring

    
      Heinz Strunk & Tocotronic
Producers

    
      Fettes Brot
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Mastered at

    
      NHB Studios"
"4","Fettes Brot","Bundeskanzler","Fettes brot lasst gruen","1998, wir stehen an einem Wendepunkt
Sender aller Länder funkt unsern Plan zur Änderung
Wir melden uns zurück auf jeder Frequenz
(König Boris, Schiffmeister und Dokter Renz)
Es begab sich vor nicht all zu langer Zeit
Wir hörten Metal-Geschreddel aus Seattle und spielten Scrabble
Bei behaglicher Beleuchtung auf Boris Bett
Und lachten über die Frisur von Alanis Morisette
Doch zurück zum Spiel, wir legten die letzten Buchstaben
Die Wörter auf dem Brett ergaben plötzlich etwas Spannendes
Es stand dort die Antwort, nach der wir nie gesucht haben
Die Lösung jeglicher Probleme dieses Landes
Ah klar, ist ja super simpel. Diese Idee ist brillant
Brüder und Schwestern schwenkt die Wimpel
Natürlich friedlich und nicht militant
„Warum ist mir sowas nie eingefallen?“ denkt sich sogar Willy Brandt
Wir mussten viele Greueltaten verschmerzen
Genug geheult, hier kommen die Soldaten der Herzen
Heureka! Wir rennen zum Fenster und reißen es auf
Liebe Landsleute, es wird getanzt heute

[Hook x2]
Kommt her, noch näher, ganz nah
Diese Revolution ist tanzbar
Ohne Waffengewalt und Panzer
Und es ist ganz klar
Fettes Brot wird Bundeskanzler

Alles wird toll, wie auf Wolke Sieben
Wenn wir erst sagen, was wir wissen
Wird das Volk es lieben
Also ziehen wir los
Klauen das Auto meiner Eltern
Machen es zur Speerspitze der Revolution
Und uns zu Feldherren
Erstmal machen wir in der Fußgängerzone stop
Die Menschen halten uns für Bluessänger ohne Job
Während wir die frischgedruckten Flugblätter äußerst freundlich
An die vorbeieilenden Passanten verteilen
Wie man's in den Wald hineinruft
So schallt's heraus
Wir stellen uns mit Flüstertüten vor's Alsterhaus
Halten unser Plädoyer
Hab'n gedacht, das geht o.k.,
Doch die Leute sind genervt
Weil wir die öffentliche Ruhe stören
Schon kommt die Polizei imPeterwagen
Und wir fragen uns traurig:
„Will uns denn keiner zuhören?“
Als sie uns mit Blaulicht wie Attentäter jagen
„Vrrrooomm“, wir entkommen mit'm astreinen U-Turn

Wie dem auch sei, wir beschließen, dass sich solche
Krassen Predigen nur über die Massenmedien
Erledigen lassen
Im Autoradio läuft gerade 'ne Show
Wo man 'ne Nummer wählen und dann
Sein Kummer erzählen kann
Das ist die Chance, wir bringen's live über den Äther
Damit's jeder begreift, lieber früher als später
Ich muss würgen von euch Komikern
Sagt ein gewisser Jürgen Domian
Ey wattema, wattema, wir hab'n noch 'n paar Grüße

[Hook x2]

Böse Zungen behaupten, daß das Interesse der
Bundesdeutschen Bürger an der Politik brachliegt
Und keiner mehr so recht an eine Lösung glaubt, denn
Die Dummheit siegt, weil ja der Klügere nachgibt
„Jetzt geht es los!“ schrei ich aufgeregt von hinten nach vorn
Gib Gas, wir werfen doch nicht gleich die Flinte ins Korn
Sie fängt erst an diese Rebellion
Dass es nicht einfach werden würde
Ahnten wir ja beim Scrabblen schon
Auf dem Weg Richtung Bundestag (ein neues Zeitalter)
Was hier so manchen verwundern mag (denn es wird Zeit, Alter)
Interesanterweise kommen wir unbehelligt durch die Bannmeile
Doch weil 'ne Revolte auch ne Gaudi sein sollte
Ich Actionfilme liebe und mich nicht so gerne langweile
Park ich unsern Audi auf den Platz von Claudi Nolte
Wir stürmen ins Parlament – keine Zeit für Eitelkeit
Hört her! Wir ham die Lösung, an der ihr stets verzweifelt seid
Liebe Senioren, liebe Youngstars
Wir gingen als Ruck durch die Nation und
Wollen den Job des Kanzlers

[Hook x5]","https://genius.com/Fettes-brot-bundeskanzler-lyrics","Released October 2, 1998
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Phonographic Copyright ℗

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Featuring

    
      Heinz Strunk & Tocotronic
Producers

    
      Fettes Brot
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Mastered at

    
      NHB Studios"
"5","Fettes Brot","Rede zur Lage der Nation","Fettes brot lasst gruen","[Skit]
Tja, ich schätze ihr seid wohl noch nicht so weit
Aber eure Kinder, die fahren da voll drauf ab","https://genius.com/Fettes-brot-rede-zur-lage-der-nation-lyrics","Released October 2, 1998
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Phonographic Copyright ℗

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Featuring

    
      Heinz Strunk & Tocotronic
Producers

    
      Fettes Brot
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Mastered at

    
      NHB Studios"
"6","Fettes Brot","Geld abheben","Fettes brot lasst gruen","[Verse 1]
Ich bin der R. E. N. Z
Ohne Internet Chat geh' ich nicht in's Bett (Bett)
Leider vorbei, wie ich es so seh'
Herrscht E-doppel-B-E in meinem Portemonnaie
MC bin ich, Leute nenn' mich Schiff
Gib mir'n Stift, ich geb' dir meine Unterschrift
Nach 'nem Spliff und 'nem Jever unterschreib' ich jeden Dreck
Wie bei Zewa war mit einem Wisch alles weg
Name: Boris, Titel: der König
Von Rap versteh' ich viel, von Geldgeschäften eher wenig
Und so kam es nach ein paar durchzechten Nächten an der Sektbar
Dass mein Geld auf einmal wieder weg war
Drei Pleitegeier, die Taschen voller Sand
Die alte Leier: keine Kohle, nur Flaschenpfand
Mit dem Luxus - Luxus - ist Schluss
Und zum Neuanfang knacken wir 'ne Bank
""Nimmst Du die Uzi?"", ""Nein, nimm Du sie!""
""One-two-three, in the place to be""
Zerbrochenes Glas überall
""Alle Hände hoch, das ist ein Überfall!""

[Hook 4x]
Hände hoch (hoch), oder wir scheißen
Wir sagen euch wo's langgeht, aber nicht wie wir heißen

[Verse 2]
""Ah, check this out!""
Wir stehen in der Bank, mein Sternzeichen ist Stier
Alles hört auf mein Kommando, auch der Mann am Klavier
Kassierer, kapier'ma, wir wollen harte D-Mark, keine Lira-ah-ha-ha
Gib uns die Kohle und zwar ganz fix
Und bleibt ihr ruhig passiert euch nichts
Ey, du Sucker, bist Du deaf?
Mach dich vom Acker und hol Dein' Chef
Wir woll'n keine Sprüche, gib' das Geld her, Geld her
Und pack' den ganzen Kies in den Behälter, Behälter
Hey Leute, das war wirklich ""fresh""
Wir kratzen jetz' die Kurve!
Dieser DJ hat viel zu viel
Platten am Start on the wheels of steel
Unser shit, ja der rockt
Du sagst mein Gott, dieser Banküberfall hat echt geschockt

[Hook 4x]

[Bridge]
Newsflash! In den letzten Minuten ist die Zahl der Banküberfälle im GroßraumPinneberg-Schenefeld-Halstenbeckdramatisch angestiegen
Nach Polizeiangaben haben die drei mutmaßlichen Täter kaum Bartwuchs und riechen streng
Der letzte bekanntgewordene Fall ereignete sich. Es wird nicht ausgeschlossen, dass es sich hierbei um ein Verbrechen handelt

[Verse3 ]
Und Du weißt dat - ja, ich weiß dat
Wir knacken jede Bank in der Kreisstadt
Von unserm Ba-bababa-ba-banküberfall sind alle uns're Freunde begeistert
Denn ihr wisst ja, wie wir's machen, wir feiern'ne Party
Mit André, Uwe, Sybille und Kathi
Büdde hört jetz' weg, wenn ihr noch klein seid
Wir schütten uns zu, zum Wohle der Gemeinheit
Commerzbank ausgeraubt - Yeah!
Sparkasse ausgeraubt - Yeah!
Volksbank ausgeraubt - Yeah!
Und Sonnenbank ausgeraubt - Hell Yeah!
Unser Lebensmotto ist denkbar leicht
Feste feiern heißt Party und Geld macht reich
Wenn der Euro kommt sind wir schon lange feddich
Und dann lachen wir uns scheckig

[Hook 4x]

[Outro 4x]
Und wir klau'n auch Theos Augenbrauen
Und tanzen mit den Frauen bis zum Morgengrauen

Party","https://genius.com/Fettes-brot-geld-abheben-lyrics","Released October 2, 1998
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Phonographic Copyright ℗

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Featuring

    
      Heinz Strunk & Tocotronic
Producers

    
      Fettes Brot
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Mastered at

    
      NHB Studios"
"7","Fettes Brot","Generationskonflikt","Fettes brot lasst gruen","[Skit]
Oh je, da haben wir's. Die Kinder hören immer diese grausige Rapmusik, die nach längerer Zeit zu Gehirnschäden führt
(Debiles lachen)","https://genius.com/Fettes-brot-generationskonflikt-lyrics","Released October 2, 1998
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Phonographic Copyright ℗

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Featuring

    
      Heinz Strunk & Tocotronic
Producers

    
      Fettes Brot
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Mastered at

    
      NHB Studios"
"8","Fettes Brot","Können Diese Augen Lügen?","Fettes brot lasst gruen","Hi Fans Autogramme gibt's später!
Uns holt der Teufel, euch der Sanitäter
Hier steht er
WER DENN?
Der coolste Kerl auf Erden, weil
Rap ist geil, Style ist geil, jetzt geh'n wir ins Detail
Bruce Lee und Chuck Noris,keiner rockt wie König Boris,
Denn jeder Satz von mir ist ein HipHop Chorus
SEID IHR SICHER?
So sicher wie Safer Sex
Ungläubige schicken wir dahin, wo der Flavour wächst
Da staunt der Laie und der Fachmann wundert sich
Denn unser sh*t ist härter als der BSC, realer als Madrid
Netter als der Bundeskanzler dieses Jahr beim Kinderfest
Unser Sound hinterläßt euch erstaunt wie der Mount Everest
Ihr hört hier den Song mit der Rocktröte
Ich hab in der Schule schon geschockt an meiner Blockflöte
Und auf dem Klavier, weil ich nach ein paar Bier
Jede Manierwie ein Vampir durchs Herz mit einem Pflock töte
WOW
Ich sag es schlau wieWilhelm Wieben von der Tagesschau
Man muß es lieben wie St. Pauli schlägt den HSV
JA GENAU!
Mit Geschick und Sachverstand
Leite ich den Drachenzüchter-Dachverband
Und den Sportclub,meine Gang ist fetterWie mein Cousin aus Dortmund
Selbst Stefanie Hertel findet Fettes Brot in Ordnung
Und das nicht ohne Grund
WER IST HIER DER BOSS?
Live an der Trompete: Stefan Mross

[Hook:]
Können diese Augen lügen?
KÖNNEN SIE AUCH GUCKEN?
Würden wir euch betrügen?OHNE ZU ZUCKEN!
Die Welt ist schlecht, hinterhältig und gemein
AHA, AHA
Wollt ihr die Wahrheit hören?
NEIN!

Traumstart
Wir haben schon mehr Planeten betreten als die amerikanische Raumfahrt
Ich hab als erster Mensch auf dem Mond auf derGeilo-Shiloh-Ranchgewohnt
Aß Mars aufm Pluto
Und rappen nun live vom Neptun
Ich bin der König der Meere und weiß nichts davon
Ich scheiß vom Balkon aus meinem Heißluftballon
Heut morgen hab ich so'n langen Fisch gefangen
DU REDEST UM DEN HEISSEN BREI!
Ich rede von dem weißen Hai
Wo wir auftauchen macht sich Panik breit
Im Nachhinein tut mir die Kleinigkeit mit der Titanic leid
Ben Johnson der Stümper war bei Olympia gedoptKam nur schwer hinter mir her, ich hatte nicht mal geprobt
Ich hab noch niemals gekotzt und ich schwitz nicht
WAHRSCHEINLICH HÄLTST NUR DU SELBST DAS FÜR WITZIG!
Is mir schnuppe, Puppe
Das macht nichts,ich trau keinem über eins-achtzig
Und hab den längsten Piephahn
Lügen haben kurze BeineJA DAS SIEHT MAN!
Ich bin der, der immer hinter Dir steht im Supermarkt
Wir haben mehr Geschmack als Glutamat
Schon Joe Cocker und Konsorten schicken unsMokkatorten zum GeburtstagGerne erinnern sie sich an unseren Auftritt in Woodstock
Die Welt zerfällt in fünftausend Scherben
Wir sind Münchhausens Erben
Wir könn'n alles nur nicht sterben
Und jetzt nur für euch und für den krassen Reim:Wir sind 'ne 12-jährige Architektin aus Wallau-Massenheim

[Hook]","https://genius.com/Fettes-brot-konnen-diese-augen-lugen-lyrics","Released October 2, 1998
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Phonographic Copyright ℗

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Featuring

    
      Heinz Strunk & Tocotronic
Producers

    
      Fettes Brot
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Mastered at

    
      NHB Studios"
"9","Fettes Brot","Prolog","Fettes brot lasst gruen","[Strophe:][Boris]
Das muss auch König Boris erkennen, der vor den Schatten seiner Vergangenheit nach Amerika floh, um dort den Frieden zu finden nach dem er sich so sehnt. Davon ist er allerdings noch weit entfernt. Das wird ihm richtig bewusst, als ihn die vier Banden des „Weißen Drachen“ aufgespürt haben. Der „Weiße Drache“ ist kein geringer als der geheimnisvolle Verbrecherfürst, der New York ihn seinem schmutzigen Griff bekommen möchte. Dafür braucht er jeden Mann, der der uralten Kampfkünste mächtig ist. Auch König Boris. Es sieht beinahe hoffenungslos für ihn aus, denn der junge Mann hat keine Freunde. Keine? Falsch. Da ist einer, ein gewisser Spiderman","https://genius.com/Fettes-brot-prolog-lyrics","Released October 2, 1998
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Phonographic Copyright ℗

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Featuring

    
      Heinz Strunk & Tocotronic
Producers

    
      Fettes Brot
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Mastered at

    
      NHB Studios"
"10","Fettes Brot","Spiderman & Ich","Fettes brot lasst gruen","[Verse 1: König Boris]
Es fing an als kleiner Steppke
Und wenn ich manchmal krank war
War ich meiner Mama wirklich dankbar
Weil sie die Dinge überblickte und wissen zu schien
Bei Grippe braucht der Junge keine Aspirin
Sie kaufte keine Medizin, sie kannte ihren Kleinen, denn
Zur Besserung gab's 'n Heft von Spiderman
Nichts half besser, nichts hatte ich lieber
Der Typ ist so cool, der hilft sogar gegen Fieber
Bereit zum abtauchen, alles startklar
Weil Peter Parker als Spiderman so stark war
Hier kannte ich wirklich alles
Jeden Freund, jeden Feind
Und als Mary Jane sich trennte, hat er bei mir geweint
Wir waren das Superheldenteam, gegen das
Die anderen verblassten. Die Bösen kamen in' Knast
Wofür sie uns hassten
Denn in der Stadt, die unter seinem Fenster lag
Ging es Nacht für Nacht auf Gangsterjagd

[Hook 2x]
Spiderman und ich auf'm Zug durch die Gemeinde
Vier Hände, vier Füße, wie die Spinne acht Beine
Wir gehen die Wände hoch
Wie ihr schon an meinem Text merkt
Lassen euch zappeln im Superheldennetzwerk

[Verse 2]
Ein paar Jahre später war Schluss mit Faxen
Bei Grippe gibt's Wick Medinight
Klein Boris ist erwachsen
Doch trotz Wick Wapurup wollte ich es wissen
'Cause I'm wicked und schon hatte ich das Ticket
New York eine Stadt, in der ich noch nie war
Und doch so gut kannte
Jeden Gangster, jeden Spieler
Und Mister Parkers Tante
Doch einen Superheld zu treffen
Hatte ich nicht gewagt zu hoffen
Doch eines Nachts hab ich ihn getroffen
Ich sag „Ähh Sir, sie werden mich nicht kennen
Doch ich kenn Sie. Sie sind Spiderman!“
Er sagt: „Du bist König Boris. Wenn ich durch New York renn
Hör ich eure Tapes im Walkman
Komm, ich nehm Dich Huckepack
Zeig dir von oben die Stadt.“
Weil der Wandkletterer noch netter war als gedacht
Ich konnte nicht glauben, dass ich mit der Spinne
Von Häusern springe
Und meinen Urlaub als Superheld verbringe

[Hook 2x]

[Verse 3]
Wir haben schnell gemerkt, wir beiden
Können uns gut leiden
Beschlossen in Konatkt zu bleiben
Und uns zu schreiben
Und so schicke ich einmal um den Globus
Unsere neusten Aufnahmen
Er schickt mir dafür Fotos
Wo wir zusammen drauf waren
Die neusten infos aus der New Yorker Unterwelt
Er kriegt dafür das Demo-Band, das ihn dabei unterhält
So kommt es, dass die anderen Superhelden
Nichts zu melden haben
Die hören in ihrem Walkman immer noch den selben Kram
Von Macarena bis Guns'n'Roses
Spiderman sagt, die haben keine Ahnung vom Showbiz
Doch auch Peter Parker tut 'ne Pause manchmal gut
Dann besucht er mich zuhause
Mit dem nächsten Charterflug
Wir sitzen dann bei mir
Und weil ich ihn gut leiden kann
Hören wir uns zusammen neue Lieblingsscheiben an
Und spät in der Nacht, da gibt es gar keine Frage
Checken wir in Hamburg die Lage

[Hook 2x]","https://genius.com/Fettes-brot-spiderman-and-ich-lyrics","Released October 2, 1998
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Phonographic Copyright ℗

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Featuring

    
      Heinz Strunk & Tocotronic
Producers

    
      Fettes Brot
Copyright ©

    
      Intercord Ton GmbH & Yo Mama’s Recording
Label

    
      Alternation
Mastered at

    
      NHB Studios"
