"","artist","title","album","text","url","metadata"
"1","Fettes Brot","Teenager vom Mars","Teenager vom mars","[Intro]
They came to undermine our society
They will take away everything, you've ever believed in

[Hook]
Endlich wieder Spaß
Eure Lieblingsstars
Teenager vom Mars
Natürlich extra large
Das ist der Wahnsinn

[Part 1:?]
Die ganze Welt in Panik, wenn wir aus dem UFO steigen
Im All wissen es alle: Ihr könnt Fremde hier nicht leiden
Zur Begrüßung drehen wir dir erst mal die Brustwarzen um
Wir sind Teenager vom Mars, warum guckst du so dumm?
Du warst auf Klo, wir haben dir in die Cola Drogen gemischt
Menschheit, wir haben heut leider kein Foto für dich
Ihr seid so auf Schönheit, Geld und gute Noten erpicht
Alle tanzen nur Standard, wieso pogen die nicht?

[Hook]
Endlich wieder Spaß
Eure Lieblingsstars
Teenager vom Mars
Natürlich extra large
Das ist der Wahnsinn

[Part 2:?]
Ihr habt uns nicht kommen sehn, trotz Weltraumteleskop
Teenager vom Mars, überlebensgroß
Die Welt, wie ihr sie kanntet, ist jetzt offiziell zuende
Denn wir sind gelandet für ein paar Experimente
Ein Leben ohne Scheissmusik und Youtube-Kommentare
Ohne Drohnenkrieg, Stacheldraht und Supermarktreklame
Ab jetzt locker aus der Hüfte mit Mut zur Lücke
Und was passiert eigentlich, wenn ich hier drauf drücke?

[Hook]
Endlich wieder Spaß
Eure Lieblingsstars
Teenager vom Mars
Natürlich extra large
Das ist der Wahnsinn","https://genius.com/Fettes-brot-teenager-vom-mars-lyrics","Released September 4, 2015
Copyright ©

    
      Fettes Brot Schallplatten
Phonographic Copyright ℗

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack
Label

    
      Fettes Brot Schallplatten
Featuring

    
      Fatoni, Kryptik Joe & Kummer
Producers

    
      Arne Dietrichson, Birk Nevel, Fettes Brot & 2 more
Writers

    
      Fettes Brot
Copyright ©

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack"
"2","Fettes Brot","K.L.A.R.O.","Teenager vom mars","Die Damenwelt und ich – wie Zucker und Zimt
Selbst eure Mütter sagen, ey jetzt kuck mal das stimmt
Mehr Haare als Klaus Meine, mehr Küsse als Prinz
Number One von der City bis in die Provinz
Ich mach nen Hühnerhaufen aus nem Schwesterorden
Alle wollen n Stück vom Kuchen, das Beste am Norden
Sie schmelzen dahin, bitte frag mich nicht wie
Zuckerpuppen überall, Chef der Pâtisserie
Deutschlands geilster MC bringt den Flavour zurück
Das macht Konkurrenten traurig und die Ladys verrückt
Obendrauf ne Kirsche als Extra
Björn Beton, internationaler Rapstar

Sag mal liebst du mich wirklich
Und nicht nur mein Repertoire
Ist unsre Liebe unsterblich
Auch noch in 300 Jahren
Baby mach mich nicht fertig
Und sei jetzt ehrlich zu mir
Aha, gibt es einen andern Mann?
Bin ich deine Number one?
Klaro - klaro

Ich steige in den Bus es knistert in der Luft
Alle kriegen Lust wollen einen Kuss und machen Schluss mit ihren Partnern
Sie wünschen sich ein Kind von mir, doch ich geb keins ab, ich hab leider nur vier
Standort immer noch derselbe, Hamburg an der Elbe, Wir spitten Feuer gegen die Kälte
Und liefern super lässig zeitlosen Pop, Hip Hop ohne uns ist wie Enterprise ohne Spock
Yeah, und all das können die Haters haten, können die Lovers liken und die Ladys appreciaten
Doktor Renz, jo, alles klar, oh, aufm Dancefloor

Sag mal liebst du mich wirklich
Und nicht nur mein Repertoire
Ist unsre Liebe unsterblich
Auch noch in 300 Jahren
Baby mach mich nicht fertig
Und sei jetzt ehrlich zu mir
Aha, gibt es einen andern Mann?
Bin ich deine Number one?

Ich komm rein, alle kreischen, Möwen am Meer, Katzen fangen an zu schnurren, Löwendompteur
Der Typ, den die ganze Welt sofort erkennt, mit Witz und mehr Hits als ne Top40 Band
Wie cool er wirkt, wie intelligent er is
Ich kann sehen dass du das denkst - The Mentalist
Jap, Männer wie mich scheints nicht so viele zu geben
Selbst harte Kerle fangen bei mir an von Liebe zu reden
Ja ich weiß, das klingt wie ausgedacht
Doch nicht nur Ladys lieben Lauterbach
Mit nem Herz so heiß wie n Steinofen mach ich alle schwindelig wie Weinproben

Sag mal liebst du mich wirklich
Und nicht nur mein Repertoire
Ist unsre Liebe unsterblich
Auch noch in 300 Jahren
Baby mach mich nicht fertig
Und sei jetzt ehrlich zu mir
Aha, gibt es einen andern Mann?
Bin ich deine Number one? - Klaro
Sag mal liebst du mich wirklich
Und nicht nur mein Repertoire
Ist unsre Liebe unsterblich
Auch noch in 300 Jahren
Baby mach mich nicht fertig
Und sei jetzt ehrlich zu mir
Aha, gibt es einen andern Mann?
Bin ich deine Number one?
Klaro!","https://genius.com/Fettes-brot-klaro-lyrics","Released September 4, 2015
Copyright ©

    
      Fettes Brot Schallplatten
Phonographic Copyright ℗

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack
Label

    
      Fettes Brot Schallplatten
Featuring

    
      Fatoni, Kryptik Joe & Kummer
Producers

    
      Arne Dietrichson, Birk Nevel, Fettes Brot & 2 more
Writers

    
      Fettes Brot
Copyright ©

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack"
"3","Fettes Brot","Mein Haus","Teenager vom mars","[Part 1]
Ich baue mir ein Haus aus Stroh
Einfach so
Spitzdach, Spitzenidee
Lange keinen so schwitzen gesehen
Ich baue mir ein Haus aus Holz
Klopf dreimal drauf was soll´s
Richtfest auf offener Straße
Türgriff Pinocchios Nase
Ich baue mir ein Haus aus Herzen
Innen drin tausend Kerzen
Kamin und ein Teppich zum rekeln
Inklusive Flecken zum ekeln
Ich baue mir ein Haus aus Geld
Fast so wie der Rest der Welt
Und einfach nur weil ich´s gerade kann
Zünd ich es an

[Hook]
Mein Haus
Mein Haus
Genau so sieht es aus
Mein Haus
Mein Haus
Hier kriegt mich keiner raus
Mein Haus
Mein Haus
Ich geb mir selbst Applaus
Mein Haus
Mein Haus

[Part 2:]
Ich baue mir ein Haus aus D-D-Daten
Keiner kann sie erraten
Und ganz oben auf´m Dachboden steht ein Bett für Edward Snowden
Ich baue mir ein Haus aus Schnaps
Drei- viermal ein klappts
Party bei offenem Fenster
Hütte voll Nachbarn Tänzer
Ich baue mir ein Haus aus Ironie
Bin so witzig wie noch nie
Immer noch orgineller ella ella
Aber zum lachen in Keller
Ich baue mir ein Haus aus Superhits
Sing schief mit wie Troubadix
Alle meine Lieblingslieder
Ich höre sie immer wieder
Ich baue mir ein Haus aus (Cool)
Tisch Bett Stuhl
Kein Kleinkram kein Kitsch
Zu besuch Marina Marina Abramović
Ich baue mir ein Haus aus Spiegelei
Erbsen, Mörn und Kartoffelbrei
Und den Kindern die kein Zuhause haben
Helfe ich bei den Hausaufgaben

[Hook]
Mein Haus
Mein Haus
Genau so sieht es aus
Mein Haus
Mein Haus
Hier kriegt mich keiner raus
Mein Haus
Mein Haus
Ich geb mir selbst Applaus
Mein Haus
Mein Haus

[Bridge]
Kleiner Dachschaden
Manchmal ziehts
Nicht alle Tassen im Schrank
Bild hängt schief
Ein bisschen was
Unter Teppich gekehrt
Aber eigentlich
Der Rede nicht wehrt
Komm Sie rein könn' Sie raus gucken
Komm Sie rein könn' Sie raus gucken

[Hook]
Mein Haus
Mein Haus
Genau so sieht es aus
Mein Haus
Mein Haus
Hier kriegt mich keiner raus
Mein Haus
Mein Haus
Ich geb mir selbst Applaus
Mein Haus
Mein Haus","https://genius.com/Fettes-brot-mein-haus-lyrics","Released September 4, 2015
Copyright ©

    
      Fettes Brot Schallplatten
Phonographic Copyright ℗

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack
Label

    
      Fettes Brot Schallplatten
Featuring

    
      Fatoni, Kryptik Joe & Kummer
Producers

    
      Arne Dietrichson, Birk Nevel, Fettes Brot & 2 more
Writers

    
      Fettes Brot
Copyright ©

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack"
"4","Fettes Brot","Von der Liebe","Teenager vom mars","[Part 1: Dokter Renz]
Sie sagen ich bin nicht
Der Richtige für dich
Und hoffen sicherlich
Bald verlässt du mich
Sie finden ich bins nicht wert
Kein Prinz auf keinem Pferd
Pleite und schlecht ernährt
Einfach komplett verkehrt
Doch wenn ich bei dir bin
Macht endlich alles Sinn
Ich war beim Lose ziehen
Und du bist mein Hauptgewinn
Und wenn ich weinen muss
Gibst du mir einen Kuss
Du bist die Einzige
Der ich nichts mehr beweisen muss

[Hook]
Sie halten uns für misslungen
Wir halten sie für zu dumm
Denn Sie wissen nichts
Von der Liebe, von der Liebe
Von der Liebe, von der Liebe
Von der Liebe, von der Liebe
Von der Liebe, von der Liebe
Von der Liebe, von der Liebe

[Part 2: Björn Beton]
Sie sagen eigentlich
Wäre ihnen das egal
Doch das mit uns beiden ist
Nicht mehr normal
Sie fragen ob uns das
Überhaupt nicht peinlich ist
Ob uns denn absolut
Gar nichts mehr heilig ist
Denn so wie wir sind
Das kann kein Mensch kapieren
Und das beste wär
Wir gingen einfach weg von hier
Doch ich glaub fest daran
Sie könnten uns verstehen
Würden sie es nur einmal
Mit unseren Augen sehen

[Hook]
Sie halten uns für misslungen
Wir halten sie für zu dumm
Denn Sie wissen nichts
Von der Liebe, von der Liebe
Von der Liebe, von der Liebe
Von der Liebe, von der Liebe
Von der Liebe, von der Liebe
Von der Liebe, von der Liebe

[Bridge: König Boris]
Die zwei gehören nicht dazu
Ihr wollt beide in den Club, doch der Club ist exklusive
Ihr dürft gerne weitergehen
Ihr wollt beide in den Club, doch der Club ist exklusive

[Hook]
Sie halten uns für misslungen
Wir halten sie für zu dumm
Denn Sie wissen nichts
Von der Liebe, von der Liebe
Von der Liebe, von der Liebe
Von der Liebe, von der Liebe
Von der Liebe, von der Liebe
Von der Liebe, von der Liebe","https://genius.com/Fettes-brot-von-der-liebe-lyrics","Released September 4, 2015
Copyright ©

    
      Fettes Brot Schallplatten
Phonographic Copyright ℗

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack
Label

    
      Fettes Brot Schallplatten
Featuring

    
      Fatoni, Kryptik Joe & Kummer
Producers

    
      Arne Dietrichson, Birk Nevel, Fettes Brot & 2 more
Writers

    
      Fettes Brot
Copyright ©

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack"
"5","Fettes Brot","Gegenmodell","Teenager vom mars","[Part 1: König Boris]
Sie ist der Traum aller Männer
Sie hat Sex, sie hat Glamour
Perfekter Körper, passendes Kleid
Alle erblassen vor Neid
Wer ist nicht in diese Frau verliebt?
Hollywood, Traumfabrik
Die Haare blond, die Augen ein Wahnsinnsblau
Schneeweißes Lächeln, Zahnarztfrau
Ein Blick und du weißt Bescheid
Sie ist geboren für Seite 1
Diese Frau ist so kostbar
Neben ihr wird ein Bettler zum Popstar
Roter Teppich, professionell
Louis Vuitton, Coco Chanel
Doch wenn ich mir mit ihr mein Leben vorstell
Will ich eigentlich viel lieber das Gegenmodell

[Hook]
Gegenmodell
Ihr Angebot möchte ich dankend ablehnen
Nehmen Sie's mir bitte nicht krumm
Die anderen können sich sicher kaum dran satt sehn
Ich finds nicht ganz so gelungen

[Part 2: Björn Beton]
Er hat gehört ich bin ein Macher
Mein alter Job 'n Lacher
Da wäre es für eine Veränderung Zeit
Und nun ist es soweit
Der Chef bittet mich zum Gespräch
""Sie wissen ja worum es geht""
Der Schreibtisch groß, er wortgewandt
Gewinnendes Lächeln, Marathonmann
Wir bei uns in der Agentur
Sind für dich da rund um die Uhr
Ein Praktikant der die Zeit managt
Mehr als 'n Job - Work-Life Balance
Ein Chef im Freizeitlook
Kickertisch gegen Leistungsdruck
Und die Weihnachtsfeier im Edelhotel
Lass mich kurz überlegen, ich nehm das Gegenmodell

[Hook]
Gegenmodell
Ihr Angebot möchte ich dankend ablehnen
Nehmen Sie's mir bitte nicht krumm
Die anderen können sich sicher kaum dran satt sehn
Ich finds nicht ganz so gelungen

[Part 3: Dokter Renz]
Oha, er singt einfühlsam
Plus dieser Lausbubencharme
Etwas schlaues steht auf seinem Arm
Sie schmelzen nur so dahin, die Damen
Cool, cooler, Antarktis
Ein Performer, ein Artist
Du kriegst genau das, was du erwartest
Vom Bartträger des Jahres
Und die Musik geht unter die Haut
Hunderttausendfach runtergesaugt
Bisschen modern, bisschen angestaubt
Und eine Voice, der man alles glaubt
Eine Voice, mit der du Rindern Burger verkaufen kannst
Ey das macht mir Angst
Also sei nicht sauer, wenn ich den Sender verstell
Auf der Suche nach'm Gegenmodell

[Hook]
Gegenmodell
Ihr Angebot möchte ich dankend ablehnen
Nehmen Sie's mir bitte nicht krumm
Die anderen können sich sicher kaum dran satt sehn
Ich finds nicht ganz so gelungen","https://genius.com/Fettes-brot-gegenmodell-lyrics","Released September 4, 2015
Copyright ©

    
      Fettes Brot Schallplatten
Phonographic Copyright ℗

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack
Label

    
      Fettes Brot Schallplatten
Featuring

    
      Fatoni, Kryptik Joe & Kummer
Producers

    
      Arne Dietrichson, Birk Nevel, Fettes Brot & 2 more
Writers

    
      Fettes Brot
Copyright ©

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack"
"6","Fettes Brot","Du bist The Shit","Teenager vom mars","[Part I: Dokter Renz]
Ich sah dich tanzen unter Hochspannungsmasten
Dort am Rande der Stadt
So desinteressiert und selbstvergessen
Du liesst mich warten auf ein klitzekleines Lächeln
Bis zum Ende der Nacht
Und ja, ich würd dich gerne wiedertreffen

[Hook:]
Denn du bist the Shit
Im Sinne von super
Im Sinne von yeah yeah yeah yeah yeah
Du bist the Shit
Im Sinne von sexy
Im Sinne von sehr sehr sehr sehr sehr sehr sehr

[Part II: König Boris]
In meinen Träumen rennen wir schreiend durch die Straßen
Alle Nachbarn sind wach
Das geklaute Geld in Plastiktüten
Ich weiß genau, du bist die Frau, die Sachen macht
Die keine andere macht
Wenn es sein muss, auch mit Nazis prügeln

[Hook:]
Denn du bist the Shit
Im Sinne von super
Im Sinne von yeah yeah yeah yeah yeah
Du bist the Shit
Im Sinne von sexy
Im Sinne von sehr sehr sehr sehr sehr sehr sehr

[Bridge:]
Ich fühl mich wie ne Straßengang
Du bist meine Shotgun
Im Sinne von: das Leben ist schön
Sag mir, wer uns stoppen soll
Es ist alles möglich
Denn du...

[Hook:]
Du bist the Shit
Im Sinne von super
Im Sinne von yeah yeah yeah yeah yeah
Du bist the Shit
Im Sinne von sexy
Im Sinne von sehr sehr sehr sehr sehr sehr sehr","https://genius.com/Fettes-brot-du-bist-the-shit-lyrics","Released September 4, 2015
Copyright ©

    
      Fettes Brot Schallplatten
Phonographic Copyright ℗

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack
Label

    
      Fettes Brot Schallplatten
Featuring

    
      Fatoni, Kryptik Joe & Kummer
Producers

    
      Arne Dietrichson, Birk Nevel, Fettes Brot & 2 more
Writers

    
      Fettes Brot
Copyright ©

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack"
"7","Fettes Brot","Alle hör’n jetzt Schlager","Teenager vom mars","[Hook]
Alle hör'n jetzt Schlager, alle hör'n jetzt Schlager
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Schlager
Da wird man ja zum Schläger, Hacken auf die Leber
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Sch...

[Part 1]
Ein ganzes Land ist atemlos
Lächeln, wie in Castingshows
Geschmack im Mund, wie Bahnhofsklos
Gut gelaunt und Ahnungslos
Oh, oh, oh, oh, oh, oh, oh, oh, oh
Guckt euch mal an wie die Luft hier vibriert
Alle sind schön, durchtrainiert, tätowiert
Erkennungsmerkmal: Chinesische Zeichen
Die übersetzt heißen: ""Zu dämlich zum scheißen""

[Hook]
Alle hör'n jetzt Schlager, alle hör'n jetzt Schlager
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Schlager
Da wird man ja zum Schläger, Hacken auf die Leber
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Sch...

Alle hör'n jetzt Schlager, alle hör'n jetzt Schlager
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Schlager
Da wird man ja zum Schläger, Hacken auf die Leber
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Sch...

[Part 2]
Dang-digi-dang-digi-dang-digi-dang-digi-dang
Sie singen von Heimat und Liebe
Es geht um die großen Gefühle
Doch, warum hörst du dir den Schrott, von der heilen Welt an?
Im Dorf bist du älter als deine Eltern

[Hook]
Alle hör'n jetzt Schlager, alle hör'n jetzt Schlager
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Schlager
Da wird man ja zum Schläger, Hacken auf die Leber
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Sch...

[Bridge]
Alle hör'n jetzt Schlager, da wird man ja zum Schläger
Danke das ihr da wart, die Seele ist aus Leder
Alle aus'm Häuschen, Papa hat 'nen Steifen
Und die süßen Mäuschen, springen durch 'en Reifen

[Hook]
Alle hör'n jetzt Schlager, alle hör'n jetzt Schlager
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Schlager
Da wird man ja zum Schläger, Hacken auf die Leber
Alle hör'n, alle hör'n, alle, alle, alle hör'n jetzt Schlager

Alle hör'n jetzt Schlager, alle hör'n jetzt Schlager
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Schlager
Da wird man ja zum Schläger, Hacken auf die Leber
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Schlager

Alle hör'n jetzt Schlager, alle hör'n jetzt Schlager
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Schlager
Da wird man ja zum Schläger, Hacken auf die Leber
Alle hör'n jetzt, alle hör'n jetzt, alle hör'n jetzt Schlager","https://genius.com/Fettes-brot-alle-horn-jetzt-schlager-lyrics","Released September 4, 2015
Copyright ©

    
      Fettes Brot Schallplatten
Phonographic Copyright ℗

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack
Label

    
      Fettes Brot Schallplatten
Featuring

    
      Fatoni, Kryptik Joe & Kummer
Producers

    
      Arne Dietrichson, Birk Nevel, Fettes Brot & 2 more
Writers

    
      Fettes Brot
Copyright ©

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack"
"8","Fettes Brot","Eure Autos","Teenager vom mars","21: 30 am Treffpunkt
Unsere neue Freizeitbeschäftigung
Irgendsoein scheiß Köter kläfft rum
Doch keiner von euch weiß was jetzt kommt

Du fühlst dich stark und sicher in deinem SUV
Alle können sehen du bist nicht wie sie
Aus deinem Wagen guckst du auf die Welt hinab
Du siehst Ameisen, Ameisen
Nichts als Ameisen

Aber tief in der Nacht wenn du schläfst kommen wir unerkannt in die Straße wo du lebst
Denn wir sind die Gang die sich zum Abendbrot deinen neuen Wagen holt
Dein Jaguar, dein BMW dein Benz ist
Für uns nichts weiter als 'n kleines Sandwich

[Bridge:]
Im Schein der Straßenlaternen liegt ein silbener Stern

[Hook:]
Wir fressen eure Autos auf
Wir fressen alle eure Autos auf

An deinem Auto haben wir unseren Appetit gestillt
Du du hast noch nicht mal den Kredit getilgt
Uns doch scheißegal wer hier das Sagen hat
Ab morgen nur noch Gangsterrapper auf'm Damenrad
Deine Karre ist weg, dir fällt das Atmen schwer
Bonzen im öffentlichen Nahverkehr - Yeah
Denn letzte Nacht kam die Fressmaschine
Unsere Lasagne heiße Blechlawine

[Bridge:]
Im Schein der Straßenlaternen liegt ein silbener Stern

[Hook:]
Wir fressen eure Autos auf
Wir fressen alle eure Autos auf

21: 30 am Treffpunkt
Unsere neue Freizeitbeschäftigung
Irgendsoein scheiß Köter kläfft rum
Doch keiner von euch weiß was jetzt kommt
Im Traum hörst du deinen Wagen schnurren
Aber: in Wahrheit hörst du meinen Magen knurren

[Bridge:]
Ja morgen dürft ihr dann wieder fahr'n, fahr'n
Mit Fahrrad, Bus oder Bahn, Bahn
Im Schein der Straßenlaternen liegt ein silbener Stern

[Hook:]
Wir fressen eure Autos auf
Wir fressen alle eure Autos auf","https://genius.com/Fettes-brot-eure-autos-lyrics","Released September 4, 2015
Copyright ©

    
      Fettes Brot Schallplatten
Phonographic Copyright ℗

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack
Label

    
      Fettes Brot Schallplatten
Featuring

    
      Fatoni, Kryptik Joe & Kummer
Producers

    
      Arne Dietrichson, Birk Nevel, Fettes Brot & 2 more
Writers

    
      Fettes Brot
Copyright ©

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack"
"9","Fettes Brot","Boyfriend","Teenager vom mars","Ich war mal dein Boyfriend
Mein Herz schlug ohrenbetäubend
Wir hörten ""Like a Virgin""
Und du du warst mein Girlfriend
Manchmal denk ich noch an dich, wenn ich betrunken bin
Und wünsch mir, es wäre wieder 2017
Ich hab mein Leben im Griff
Nein, so schlimm ist es nicht
Ich tagträume nur so rum
Und stell mir vor, es wär vielleicht alles bloß halb so schwer
Wenn ich immer noch dein Boyfriend wär
Damals in 2017
Ich war gleich heftig verliebt in
Deine süßen Grübchen
Deine Gags und deine Marge Simpson-Turmfrisur
Im Sonderzug nach Manchester hatten wir uns kennengelernt
Auf dem Weg zum ersten Konzert der Oasis Reunion-Tour
Ich weiß noch, wie ich nach dir gegoogelt hab
Weil´s Google ja noch gab
Am selben Tag als Sister Six im Kugelhagel starb
Danach gingen in Prag die Proteste los
Und wir verhinderten, dass dieser Oberschurke
Chef von Europa wurde
Manchmal denk ich noch an dich, wenn ich betrunken bin
Und wünsch mir, es wäre wieder 2017
Ich hab mein Leben im Griff
Nein, so schlimm ist es nicht
Ich tagträume nur so rum
Und stell mir vor, es wär vielleicht alles bloß halb so schwer
Wenn ich immer noch dein Boyfriend wär
So langsam kriegt die Erinnerung an dich Löcher
Papierkram endgültig löschen, sind Sie sicher?
Manchmal denk ich noch an dich, wenn ich betrunken bin
Und wünsch mir, es wäre wieder 2017
Ich hab mein Leben im Griff
Nein, so schlimm ist es nicht
Ich tagträume nur so rum
Und stell mir vor, es wär vielleicht alles bloß halb so schwer
Wenn ich immer noch dein Boyfriend wär","https://genius.com/Fettes-brot-boyfriend-lyrics","Released September 4, 2015
Copyright ©

    
      Fettes Brot Schallplatten
Phonographic Copyright ℗

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack
Label

    
      Fettes Brot Schallplatten
Featuring

    
      Fatoni, Kryptik Joe & Kummer
Producers

    
      Arne Dietrichson, Birk Nevel, Fettes Brot & 2 more
Writers

    
      Fettes Brot
Copyright ©

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack"
"10","Fettes Brot","Meine Stimme","Teenager vom mars","[Part I - Doc Renz:]
Jeden Morgen unter Dusche erklingt sie laut und klar
Und wenn du das Radio anmachst, ist sie auch schon da
Sie jobbt beim Bezirz-Amt als Süßholzraspelautomat
Und was Rap angeht macht sie aus Kohlköpfen Krautsalat
Sie redet Tacheles
Sagt was Sache ist
Ich hör ihr zu wie sie argumentiert
Und völlig den Faden verliert
Diese blöde Kuh
Doch ich geb sie nie der CDU
Denn ich hab sie gern, sie gehört zu mirWie mein Name an der Tür

Ich glaub ich spinne
Was für eine Stimme

[Part II: Fatoni]
Und es geht ich und meine Stimme meine Stimme und ich
Nur das Ding ist, was meine Stimme spricht, bestimme ich nicht
Ich schwör, manchmal macht die nicht was ich ihr sag
Würde die auf mich hören, hätten wir den krassesten Plattenvertrag
Aber nee, ich glaub, dass was mit meiner Stimme nicht stimmt
Ich will nett hallo sagen, als sie den Plattenboss als behindert beschimpft
Die Dinge sind wie sie sind
Ich kann nix dafür, wenn so was manchmal passiert

Weil meine Stimme bestimmt
Ich glaub ich spinne
Was für eine Stimme
Meine Stimme
Was für ne Stimme - ah
Geile Stimme

Was für eine Stimme - hey

[Part III - Felix Brummer:]
Klingt ja ganz geil, wie du sprichst
Aber heißt leider nicht
Dass, was du sagst, nicht trotzdem die allergrößte Scheiße ist
Was auch immer deine Meinung ist
Superswag WTF
Schreib's mit Caps Lock
Jugendsprech im Internet
Meinungsfreiheit heißt: Du darst eine Meinung haben
Du bist nicht verpflichtet, sie andauernd zu sagen
Ich hab nicht gefragt
Ich brauche keinen Rat

Und wenn doch, les ich einen von deinen YouTube-Kommentaren
Ich glaub ich spinne

Was für eine Stimme

[Part IV - Björn Beton:]
Ja, ich lebe mit ihr mein ganzes Leben lang
Sie ist die mit der ich am besten reden kann
Leise macht sie Gänsehaut
Betrunken lacht sie oft zu laut
Sie poltert und erzittert
Ich glaub es gewittert
Es ist manchmal zum Kotzen, wenn sie nicht macht was ich will
Ich liebe sie trotzdem, denn sie ist niemals still
Und ist sie in Hochform, raubt sie dir die Sinne

Das ist meine meine, meine Stimme
Ich glaub ich spinne
Was für eine Stimme
Meine Stimme
Was für ne Stimme - ah
Geile Stimme

Was für eine Stimme - hey

[Part V - König Boris:]
Die Worte sind die Kohle
Meine Stimme die Presse
Mach ich das Maul auf, fallen mir Rohdiamanten aus der Fresse
Die nehm ich dann, knote, knete und verbiege sie
Meine Stimme mach aus 26 Buchstaben ein Liebeslied
Aus einem Satz ne Punchline, aus drei Worten ne Parole
Meine Gegner knall ich ab, mit meiner Gagkanone
Denn meine Stimme ist frei, folgt keinen Scheißgesetzen

So kann auch ein Legasteniker dann Zeichen setzen - Punkt!
Ich glaub ich spinne

Was für eine Stimme

[Part VI - Kryptic Joe:]
Kann mich jemand hören
Ja, ich glüh für das
Nicht nur meine Stimme, auch der Typ ist krass
Kryptic Joe is back mit seiner Stimme, yeah
Mit Gefühlen im Text, es werden immer mehr
Der Sabbel muss mit Effekt - push den Record Button
Ich hab n Date mit dem Beat, wie mit'm Kurschatten
Keiner rappt wie der Marke 'Glockenklang'
Mit Gewinnertypen auf'm Track
Ey, die schocken, Mann
Laut wie Maschinen und so schick wie ne Clutch von Celine
Soviel Druck, soviel Dreck, wie Berlin
Meine Damen und Herren was quatscht ihr?

Mach ma Platz hier - Fettes Brot, meine Stimme habt ihr
Ich glaub ich spinne
Was für eine Stimme
Meine Stimme
Was für ne Stimme - ah
Geile Stimme
Was für eine Stimme - hey
Meine Stimme
Was für ne Stimme - ah
Geile Stimme
Was für eine Stimme - hey","https://genius.com/Fettes-brot-meine-stimme-lyrics","Released September 4, 2015
Copyright ©

    
      Fettes Brot Schallplatten
Phonographic Copyright ℗

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack
Label

    
      Fettes Brot Schallplatten
Featuring

    
      Fatoni, Kryptik Joe & Kummer
Producers

    
      Arne Dietrichson, Birk Nevel, Fettes Brot & 2 more
Writers

    
      Fettes Brot
Copyright ©

    
      Fettes Brot Schallplatten
Distribution

    
      Groove Attack"
