"";"artist";"title";"album";"text";"url";"metadata"
"1";"Grossstadtgeflüster";"Kümmer dich";"Bis einer heult";"Dein Arsch, dein Gang
Dein Flow, dein Klang
Dein Tanz, dein Ziel
Dein Blick, dein Stil
Dein Kopf, dein Kuss
Dein Sex, dein Fuß
Dein Uuh, dein Geist
Dein Spiel, dein Schweiß
Dein Haar, dein Mund
Ein Laut - Knockout
Dein Groove, dein Bauch
Dein Sound, will auch!
Chapeau! Schachmatt
Du machst mich platt!
No chance, no way
Ich kann nicht mehr!

Schau mich nicht so lange an
Denn ich versuch zu landen
Was ich so nicht kann
Denn du machst mich so high!

Baby, ich steh so auf dich!
Bitte Baby komm und
Kümmer dich um mich
Baby, ich steh so auf dich!
Wie die Motten auf Licht
Baby, ich steh so auf dich!
Bitte Baby komm und
Kümmer dich um mich

Dein Reiz, dein Mut
Du tust so gut!
Dein Weg, dein Duft
Dein Herz, du Schuft
Dein Uuh, dein Plan
Oh lass mich ran
Mein Puls geht rauf
Ich fress dich auf!
Dein Witz, dein Bild
Du machst mich wild!
Dein Charme, ein Wort
Oh my, oh Lord!
Du bringst mich um meinen Verstand
Ich hab mich wohl an dir verbrannt!

Schau mich nicht so lange an
Denn ich versuch zu landen
Was ich so nicht kann
Denn du machst mich so high!

Schau mich nicht so lange an
Denn ich versuch zu landen
Was ich so nicht kann
Denn du machst mich so high!

Baby, ich steh so auf dich!
Bitte Baby komm und
Kümmer dich um mich
Baby, ich steh so auf dich!
Wie die Motten auf Licht

Baby, ich steh so auf dich!
Bitte Baby komm und
Kümmer dich um mich
Baby, ich steh so auf dich!
Wie die Motten auf Licht

Baby, ich steh so auf dich!
Bitte Baby komm und
Kümmer dich um mich";"https://genius.com/Grossstadtgefluster-kummer-dich-lyrics";"Released May 30, 2008"
"2";"Grossstadtgeflüster";"Lebenslauf";"Bis einer heult";"Höher, höher, schneller weiter
Schmeiß die ander'n von der Leiter
Ellenbogen fleißig spitzen
Um auch mal am Thron zu sitzen
Lass doch mal deine Talente
Kümmer' dich um deine Rente
Keine Zeit zum Fragen fragen
Brav dem eig'nen Schwanz nachjagen
Augen zu denn du bist Deutschland
Diskretion, zwei Meter Abstand!
Achtung bei der Urlaubsplanung
War da was mit Terrorwarnung?
Der Rest der Welt ist zu gefährlich
Nur auf Rügen ist man ehrlich
Komm nicht drauf zu desertieren
Sonst landest du auf allen Vieren

Wir brauchen mehr Platz
Wir laufen um unser Leben
Laufen immer drum 'rum
Also wo ist unser ...
Wo ist unser Platz
Wir laufen um unser Leben
Laufen immer drum 'rum
Also brauchen wir mehr ...
Wir brauchen mehr Platz
Wir laufen um unser Leben
Laufen immer drum 'rum
Also wo ist unser ...
Wo ist unser Platz
Wir laufen um unser Leben
Laufen immer drum 'rum
Also brauchen wir mehr ...

Wie war das mit der Haltbarkeit
Zu erst zu jung und dann zu alt
Friss was auf 'm Teller is'
Auch wenn's grad nicht Nutella is'
Sonst schäm dich, aufsteh'n, setzen, sechs
Trainiere deinen Schluckreflex
Alle laufen im Gleichschritt
Dreh dich nicht um und lauf schön mit
Mit, mit, mit, mit, mit

Wir brauchen mehr Platz
Wir laufen um unser Leben
Laufen immer drum 'rum
Also wo ist unser ...
Wo ist unser Platz
Wir laufen um unser Leben
Laufen immer drum 'rum
Also brauchen wir mehr ...
Wir brauchen mehr Platz
Wir laufen um unser Leben
Laufen immer drum 'rum
Also wo ist unser ...
Wo ist unser Platz
Wir laufen um unser Leben
Laufen immer drum 'rum
Also brauchen wir mehr ...

Wir laufen um unser Leben, Leben ...

Lauf, lalalalala, Lauf, la-la-la
Lauf, lalalalala, Lauf, la-la-la
Lauf, lalalalala, Lauf, la-la-la
Lauf, lalalalala, Lauf, la-la-la
Lauf, lalalalala, Lauf, la-la-la
Lauf, lalalalala, Lauf, la-la-la
Lauf, lalalalala, Lauf, la-la-la
Wir wir la la laufen um um uns unser leben

Wir brauchen mehr Platz
Wir laufen um unser Leben
Laufen immer drum 'rum
Also wo ist unser ...
Wo ist unser Platz
Wir laufen um unser Leben
Laufen immer drum 'rum
Also brauchen wir mehr ...
Wir brauchen mehr Platz
Wir laufen um unser Leben
Laufen immer drum 'rum
Also wo ist unser ...
Wo ist unser Platz
Wir laufen um unser Leben
Laufen immer drum 'rum
Also brauchen wir mehr ...

Wir laufen um unser Leben
Wir laufen um unser Leben
Wir laufen um unser Leben
Wir laufen um unser Leben
Laufen immer drum 'rum";"https://genius.com/Grossstadtgefluster-lebenslauf-lyrics";"Released May 30, 2008"
"3";"Grossstadtgeflüster";"Die Stille";"Bis einer heult";"Denn jetzt mach ich sie kaputt!";"https://genius.com/Grossstadtgefluster-die-stille-lyrics";"Released May 30, 2008"
"4";"Grossstadtgeflüster";"IchBinHuiDuBistBuhDuBistSchubiIchBinDu";"Bis einer heult";"HILFE!! AH!
Bitte bitte helfen sie mir bitte!! aahh!

Ich bin ich
Du bist du
Wer, wer bin ich?
Ähm, ich bin was?
Ich bin du?
Aber... wie?

2x
Ich bin ich
Du bist du
Du bist ich
Ich bin du
Wir sind wir
Wir sind ihr
Ihr seid wir
Wir sind hier

Ihr seid da, tralala
Wir sind komma
Ihr seid klar
Sie ist das was er mal wird
Denn er ist das sie mal war
Er is(s)t dich
Er is(s)t mich
Er is(s)t alles
Und wird fett
Er ist hier
Hier ist er
Es muss mit
He she it

Ich bin er
Ich bin es
Ich bin t, u, v
Ich bin x
Ich bin y und z

Ist sie nett?
Wer seid ihr?
Ich bin du
Ich bin bin bin bin..

Alles was du bist ist ein bisschen von allem
Alles was ich bin ist ein bisschen von wir

Alles was du bist ist ein bisschen von allem
Alles was ihr seid ist ein bisschen von mir

Ist mir zu hoooch
Ich mag es tiiiief
Ist mir zu hooooooch
Ich mag es tieeeef

(HILFE)

Ich bin ich
Du bist du
Du bist ich
Ich bin du
Wir sind wir
Wir sind ihr
Ihr sind wir
Was sind wir?
Ich und ich
Du und du
Ihr und wir
Wir sind zu
Was sind wir?
Wir sind zu
Was sind wir?
Wir sind zu

Ich bin Hunz
Du bist Kunz
Sie ist Ana
Er Tomie
Wir sind Schall
Wir sind Rauch
Er ist Phil
Sie Sophie
Er hebt ab
Sie legt auf
Du kackst ab
Und ich geh drauf
Ich bin schizo
Du bist phren
Hast du mich irgendwo gesehen?
(Piep!)
Diese Zeile war zensiert
Ich bin eins
Du bist zwei
Wir sind drei
Ihr seid vier
Wir sind hü
Ihr seid hot
Wir sind bi
Ihr seid gott
Wir sind sauer
Ihr die Crowd
Wir machen Krach
Ihr seid laut

Alles was du bist ist ein bisschen von allem
Alles was ich bin ist ein bisschen von wir

Alles was du bist ist ein bisschen von allem
Alles was ihr seid ist ein bisschen von mir

Ist mir zu hoooch
Ich mag es tiiiief
Ist mir zu hooooooch
Ich mag es tieeeef";"https://genius.com/Grossstadtgefluster-ichbinhuidubistbuhdubistschubiichbindu-lyrics";"Released May 30, 2008"
"5";"Grossstadtgeflüster";"Pimmel und Erde";"Bis einer heult";"Du hast die Hütte, du hast den Stil
Du hast den Schlitten, du hast Profil
Du hast den Job, du hast den Plan
Du hast die Macht, du hast den Charme
Du hast die Vita, du hast Esprit
Du hast das Erbe, du hast den Deal
Du hast die Größe, du hast Format
Auf deine Pläne folgt schnell die Tat

Du hast bestimmt n kleinen Pimmel
N klitze klitze klitze klei'n
Du hast bestimmt n kleinen Pimmel
N ganz ganz ganz klei'n

Du hast den Stammbaum, du hast die Wahl
Du hast die Konten, kontinental
Du hast das Netzwerk, du hast die Kraft
Du hast den Ehrgeiz der alles schafft
Du hast die Zähne und den IQ
Du hast die Frise und die Figur
Du hast den Geschmack, du hast die Welt
Und du bekommst was dir gefällt

Du hast bestimmt n kleinen Pimmel
N klitze klitze klitze klei'n
Du hast bestimmt n kleinen Pimmel
N ganz ganz ganz klei'n

Uuh
Mh yeah aha
Uuh aha yeah
Aha uuh aha aha

Du hast bestimmt n kleinen Pimmel
N klitze klitze klitze klei'n
Du hast bestimmt n kleinen Pimmel
N ganz ganz ganz klei'n
Ganz ganz ganz klein
Ganz ganz ganz klein";"https://genius.com/Grossstadtgefluster-pimmel-und-erde-lyrics";"Released May 30, 2008"
"6";"Grossstadtgeflüster";"Ein guter Tag zum Weinen";"Bis einer heult";"Die Welt is schlecht zu dir und so gemein
Keiner mag dich und du magst auch kein
Du bist der Klotz an deinem eigenen Bein
Heute ist ein guter Tag zum wein'
Yah!";"https://genius.com/Grossstadtgefluster-ein-guter-tag-zum-weinen-lyrics";"Released May 30, 2008"
"7";"Grossstadtgeflüster";"Mach halt irgendwas";"Bis einer heult";"Du könntest dieses, könntest jenes
Könntest sicherlich auch das
Eigentlich bist du dir ganz sicher
Doch dich stört noch irgendwas
Vielleicht wäre es ja besser
Das nochmal zu überdenken
Vielleicht wäre es ja besser
Sich ein wenig abzulenken
Hättest gern noch ein, zwei Stunden
Und ne Nacht zum drüber Schlafen
Weil du weißt dein Schicksal
Könnte dich schon allzubald bestrafen
Vielleicht hast du keine Ahnung
Vielleicht doch, vielleicht ein wenig
Vielleicht hast du einfach Schiss
Du gehst kaputt oder so ähnlich

Mach halt irgendwas...

Du könntest dieses, könntest jenes
Könntest sicherlich auch das
Aber wart mal kurz
Da war doch sicherlich noch irgendwas
Konzentriere dich und packe
Die Gelegenheit beim Schopf
Respektier dein Bauchgefühl
Doch folge lieber deinem Kopf
Du kannst vorwärts, rückwärts, rechts und links
Du kannst sogar nach oben
Aber schnell, sonst wirst du
Immer tiefer in den Sumpf gezogen
Doch du lässt noch einmal die Eventualitäten
Durch dein Köpflein kreisen

Der Konjunktiv ist nicht gesund, Punkt!
Mach'n Punkt, aus'm Komma, Komma
Kom'ma auf'n Punkt
Er schrubbt dir die Synapsen wund, Punkt!
Mach'n Punkt, aus'm Komma, Komma
Kom'ma auf'n Punkt

Der Konjunktiv ist nicht gesund, Punkt!
Mach'n Punkt, aus'm Komma, Komma
Kom'ma auf'n Punkt
Er füttert deinen Schweinehund, Punkt!
Mach'n Punkt, aus'm Komma, Komma
Kom'ma auf'n Punkt

Mach halt irgendwas...

Du könntest dieses, könntest jenes
Könntest sicherlich auch das
Und die Wahrscheinlichkeit besteht
Denn du, da geht noch irgendwas!
Doch dein Kopf ist voll
Mit hundertzwanzigtausend kleinen Pfeilen
Die in jede Richtung zeigen
Also nur nichts übereiln
Hätte, sollte, müsste, wäre
Könnte das die Lösung sein?
Doch es ist möglicherweise
Alles anders als es scheint
Viele Zweifel die akute
Überforderung verbreiten
Offensichtlich hast du
Ernsthafte Entscheidungsschwierigkeiten

Du könntest dieses, könntest jenes
Könntest sicherlich auch das
Vielleicht sogar noch viel mehr
Wenn du den Zeitpunkt nicht verpasst
Sieh mal lieber auf die Uhr
Sie tickt und tickt und tickt und tickt
Bis der Groschen fällt
Der Funkte springt von hinten ins Genick
Jeder sagt dir was zu tun ist
Mit hunderttausend Wörtern
Vielleicht solltest du versuchen
Dialektisch zu erörtern
Was soll dieses, was soll jenes
Und vor allen Dingen was soll das?
Vielleicht hälst du mal die Luft an
Alter, mach halt irgendwas!";"https://genius.com/Grossstadtgefluster-mach-halt-irgendwas-lyrics";"Released May 30, 2008"
"8";"Grossstadtgeflüster";"Rock ‘n’ Roll Sexappeal";"Bis einer heult";"Sie ist ne red hot High-Heel Ballerina
Sie ist ne stonewashed blue Jeans Nieten Diva
Für sie sind vollgekotzte Kneipen viel intimer
Und sie mag Vodka und Tequila auch viel lieber
Wenn Kajal verschmierte Fick-mich-Blicke-Zicken
Unechte Titten unter Feinripp lässig wippen
Und cherry glossy Lips Kontur verliern
Dann lässt sie den Rest der Nacht einfach passiern
Das Haar so schwarz wie Ebenholz
Die Lippen rot wie Blut
Die Haut so weiß wie Schnee
Wär Schneewittchen ein Flittchen hätte sie den…

Rock n' Roll Sexappeal
Rock n' Roll Sexappeal
Rock n' Roll Sexappeal
Rock n' Roll Sexappeal

Er ist'n warm fresh bloody movie Lover
Und seine Lust lebt er am liebsten undercover
Und sein Körper ist ne kleine Galerie
Es teast ihn an trägt sie sein Shirt als Negligé
Und seine Riffs verzieren lautstark das Gebäude
Äußert Befinden ohne Scheue ohne Reue
Black Nail Polish Splitter Gewitter
Poetisch Kämpfend Edler Ritter

Rock n' Roll Sexappeal
Rock n' Roll Sexappeal
Rock n' Roll Sexappeal
Rock n' Roll Sexappeal
Rock n' Roll Sex...
Rock Rock Rock n' Roll Sexappeal
Rock Rock Rock n' Roll Sexappeal
Rock Rock Rock n' Roll Sexappeal
Rock Rock Rock n' Roll Sexappeal";"https://genius.com/Grossstadtgefluster-rock-n-roll-sexappeal-lyrics";"Released May 30, 2008"
"9";"Grossstadtgeflüster";"Komm zu Mama";"Bis einer heult";"Du fühlst dich leer, das weißt du auch
Du fühlst dich leer und weißt du brauchst
Irgendwas, nur weißt nich was
Du fühlst dich leer und suchst den Spaß
Du fühlst dich leer und ausgelaugt
Unattraktiv und ausgesaugt
Du fühlst dich leer und Lethargie
Macht dich schon lang unproduktiv

Was du brauchst is was ich hab
What you need is what i got
Was du brauchst is was ich hab
Du fühlst dich kalt I'll make you hot

Komm zu mama
Komm ruhig rein
Tanz im Feuer
Lass dich einfach fallen

Ich schenke dir Adrenalin
Und schmier dich ein mit Endorphin
Wenn ich dir zeig wie Liebe schmeckt
Hast du sie von mir abgeleckt
Ich bringe dich ins licht zurück
Du bist'n kleines geiles Stück!
Nur dur weißt es grade nicht
Doch dafür hast du ja mich

Was du brauchst is was ich hab
What you need is what i got
Was du brauchst is was ich hab
Du fühlst dich kalt I'll make you hot

2x
Komm zu mama
Komm ruhig rein
Tanz im Feuer
Lass dich einfach fallen

2x
Ich und meine kleine freundin
Laden dich heut Abend ein
Auf ein Tänzchen durch das Feuer
Komm ruhig rein und lass dich fallen

2x
Komm zu mama
Komm ruhig rein
Tanz im Feuer
Lass dich einfach fallen";"https://genius.com/Grossstadtgefluster-komm-zu-mama-lyrics";"Released May 30, 2008"
"10";"Grossstadtgeflüster";"PunkRockHighway";"Bis einer heult";"Ich bin der phönix aus der asche
Und starte einen neuen blindflug
Ich bin die raupe in der puppe
Und nehm noch einen letzten atemzug
Und ich lande auf den füßen
Und habe immer noch sechs leben
Ich bin das letzte und das erste
Mein engel wird es mir vergeben

Ich suche meinen rastplatz auf dem punk rock highway
Fast forward, but looking for my way

Ich bin der fisch, der sich von hinten frißt
Und jeden schluck von sich genießt
Ich bin der dampf, der immer höher zieht
Und sich dann wieder neu ergießt
Bin das perpetuum mobile
Und jage mich im hamsterrad
Ich bin die zelle, die sich ewig teilt
Ich renn durch sie direkt zum start

Ich suche meinen rastplatz auf dem punk rock highway
Fast forward, but looking for my way";"https://genius.com/Grossstadtgefluster-punkrockhighway-lyrics";"Released May 30, 2008"
