"";"artist";"title";"album";"text";"url";"metadata"
"1";"Grossstadtgeflüster";"Ufos über’m Fernsehturm";"Oh ein reh";"UFOs überm Fernsehturm, die fliegen da so rum. (UFOs überm Fernsehturm)
UFOs überm Fernsehturm, die fliegen da so rum. (UFOs überm Fernsehturm)

Die Stadt steht still, doch alle sind hellwach
Es ist taghell, doch es ist 12 Uhr nachts
Die Leute wollen ihren Augen nicht trauen
Sie könn' nicht aufhörn in den Himmel zu schaun
Alle fallen durcheinander und schrein
Dreieinhalb Millionen wählen 112
Einige fangen an zu sabbern und zucken
Während die Zeitungen schon die Headline drucken

UFOs überm Fernsehturm, die fliegen da so rum. (UFOs überm Fernsehturm)
UFOs überm Fernsehturm, die fliegen da so rum. (UFOs überm Fernsehturm)

Das Militär und Mr President, die geben eine Pressekonferenz
Die sagen: Bitte nicht die Nerven verlieren, es gibt doch gar kein Problem
Denn wir haben einen Notfallplan. Wir stellen alles unter Quarantäne
Und holen alle Waffen, die wir haben. Und jeder darf sich was nehmen
In solchen Zeiten, da ist Misstrauen berechtigt
Denn was nicht tot ist erst richtig. Und klein und grün ist verdächtig
Ich denke: ""Wart mal, klein und grün ist doch schick
Ey, ihr da oben lasst mich hier nicht alleine. Bitte nehmt mich mit.""

UFOs überm Fernsehturm, die fliegen da so rum. (UFOs überm Fernsehturm)
UFOs überm Fernsehturm, die fliegen da so rum. (UFOs überm Fernsehturm)

(UFOs überm Fernsehturm)
(UFOs überm Fernsehturm)

UFOs überm Fernsehturm, die fliegen da so rum. (UFOs überm Fernsehturm)
UFOs überm Fernsehturm, die fliegen da so rum. (UFOs überm Fernsehturm)

UFOs überm Fernsehturm, die fliegen da so rum. (UFOs überm Fernsehturm)
UFOs überm Fernsehturm, die fliegen da so rum. (UFOs überm Fernsehturm)

Bitte nehmt mich mit!

Klar komm hoch. Hier haste Tee und Gebäck
Mal ne Frage, was macht ihr denn fürn Stress?
Wir wär'n auch ohnehin nicht lange geblieben
Wir wollten nur mal kurz gucken. Wir kamen in Frieden";"https://genius.com/Grossstadtgefluster-ufos-uberm-fernsehturm-lyrics";"Released June 7, 2013"
"2";"Grossstadtgeflüster";"Konfetti und Yeah";"Oh ein reh";"Wir sehen rosarot
Lassen die Brille auf
Aus dieser Perspektive
Sieht das Leben irre aus
Wir reissen Bäume aus
Pflanzen sie wieder ein
Um dann die Trauerweiden
Von ihr'm Leiden zu befreien
Und wir versetzen Berge
Mitten ins flache Land
Wir haben die Welt gekauft
Und fangen nochmal von vorne an
Am ersten Tag werden wir
Sie erstmal umarmen
Und dann erschaffen wir
Den allerhellsten Wahnsinn

Wir nehmen 'nen kleinen Schluck auf uns
'n Großen auf die Menschheit
Dann schießen wir uns hinter den Mond
Und wir kommen erst wieder runter
Wenn's sich hier unten wieder lohnt

Wir leben hoch, leben hoch
Leben hoch, leben hoch, leben höher!
Wir leben hoch, leben hoch
Leben hoch, Konfetti und Yeah!
Wir leben hoch, leben hoch
Leben hoch, leben hoch, leben höher!
Wir leben hoch, leben hoch
Leben hoch, Konfetti und Yeah!

Wir haben 'nen riesen Rad ab
Das völlig durchdreht
Wir knutschen alles ab
Was uns dabei im weg steht
Wir heissen alles gut
Denn das ist unser Name
Einen Toast auf jeden hier
Wir sind die mit der bunten Fahne
Wir nehmen die Wellen von den Brettern
Die die Welt bedeuten
Knippsen die Lichter aus
Weil wir von alleine leuchten
Wir sind ein bisschen drauf
Und auch ein bisschen dran
Die Welt zu retten
Aber damit fangen wir später an

Wir nehmen 'nen kleinen Schluck auf uns
'n Großen auf die Menschheit
Dann schießen wir uns hinter den Mond
Und wir kommen erst wieder runter
Wenn's sich hier unten wieder lohnt

Wir leben hoch, leben hoch
Leben hoch, leben hoch, leben höher!
Wir leben hoch, leben hoch
Leben hoch, Konfetti und Yeah! (Konfetti und Yeah)
Wir leben hoch, leben hoch
Leben hoch, leben hoch, leben höher!
Wir leben hoch, leben hoch
Leben hoch, Konfetti und Slayer!
(Konfetti und Slayer)
(wir leben hoch)

Wir leben hoch, leben hoch
Leben hoch, leben hoch, leben höher!
Wir leben hoch, leben hoch
Leben hoch, Konfetti und Yeah! (Konfetti und Yeah)

Wir sehen rosarot
Lassen die Brille auf
Aus dieser Perspektive
Seht ihr alle irre aus
Wir fahren zur Wolke 7
Und nehmen euch mit
Uns scheint die Sonne aus dem Arsch
Ihr seid erleuchtet!";"https://genius.com/Grossstadtgefluster-konfetti-und-yeah-lyrics";"Released June 7, 2013"
"3";"Grossstadtgeflüster";"1000 Tonnen Glück";"Oh ein reh";"Lass die Liebe in dir wohnen
Und schmeiss den Hass dafür raus
Ich versprech' es wird sich lohnen
Es wird ein wunderbarer Tausch
Und wenn die Liebe in dir lebt
Verteile sie im ganzen Land
Hab keine Angst sie zu verlieren
Gieb jedem etwas davon ab

Tu's für sie, für ihn, für mich
Oder einfach nur für dich
Denn du bekommst etwas zurück:
1000 Tonnen Glück
1000 Tonnen Glück
Du bekommst etwas zurück:
1000 Tonnen Glück
1000 Tonnen Glück

Zeit allein heilt keine Wunde
Weil die Narbe immer schmerzt
Besser ist sie wird verbunden
Mit einem Pflaster und viel Herz
Du hast zwei gesunde Ohren
Schenk sie jemandem der weint
Mach ihm Platz auf deinen Schultern
Und 1000 Tonnen werden leicht

Tu's für sie, für ihn, für mich
Oder einfach nur für dich
Denn du bekommst etwas zurück:
1000 Tonnen Glück
1000 Tonnen Glück
Du bekommst etwas zurück:
1000 Tonnen Glück
1000 Tonnen Glück

Du bekommst etwas zurück:
1000 Tonnen Glück
1000 Tonnen Glück

1000 Tonnen Glück
1000 Tonnen Glück
Du bekommst etwas zurück
1000 Tonnen Glück
1000 Tonnen Glück";"https://genius.com/Grossstadtgefluster-1000-tonnen-gluck-lyrics";"Released June 7, 2013"
"4";"Grossstadtgeflüster";"Düsen";"Oh ein reh";"Komm, wir verkleiden uns als Glühbirnen
Und gehen heute Abend aus
Ich hab vorhin ein bisschen Geld gekauft
Das muss bis morgen früh noch raus
Ich kenn da ein paar nette Ecken
Da geht es immer ziemlich rund
Hab ein paar Tipps, wie man sich’s gut gehen lässt
Sind aber alle nicht gesund

Komm, wir düsen, düsen, düsen, düsen, düsen d-d-durch die Nacht
Bis die Sonne, Sonne, Sonne, Sonne, Sonne w-w-wieder lacht
Komm, wir düsen, düsen, düsen, düsen, düsen d-d-durch die Nacht
Bis das alles, alles, alles, alles, alles keinen Sinn mehr macht

Irgendwo und irgendwann
Trifft man sowieso den Sensemann
Und dann denkt man bestimmt nicht
„Oh! Ich war zu selten im Büro!“
Das ganze Suchen nach dem Sinn
Das sollten wir einfach beenden
Und lieber anfangen, unsere Zeit
Etwas sinnvoller zu verschwenden

Komm, wir düsen, düsen, düsen, düsen, düsen d-d-durch die Nacht
Bis die Sonne, Sonne, Sonne, Sonne, Sonne w-w-wieder lacht
Komm, wir düsen, düsen, düsen, düsen, düsen d-d-durch die Nacht
Bis das alles, alles, alles, alles, alles keinen Sinn mehr macht

Diese Nacht, sie hat uns auserwählt
Damit man jahrelang von ihr erzählt
Und diese Nacht, sie zeigt uns sternenklar
Die Ewigkeit beginnt an dieser Bar

Komm, wir düsen, düsen, düsen, düsen, düsen d-d-durch die Nacht
Bis die Sonne, Sonne, Sonne, Sonne, Sonne w-w-wieder lacht
Komm, wir düsen, düsen, düsen, düsen, düsen d-d-durch die Nacht
Bis das alles, alles, alles, alles, alles keinen Sinn mehr macht";"https://genius.com/Grossstadtgefluster-dusen-lyrics";"Released June 7, 2013"
"5";"Grossstadtgeflüster";"Sprengstoff";"Oh ein reh";"Brauch keine Antidepressiva
Und kein dosiertes Ritalin
Brauch kein Tai Chi und auch kein Yoga
Und keine Psychotherapie
Brauch auch keine rettenden Rezepte
Brauch keinen Coach und keine Kur
Will über überhaupt nichts drüber stehen

Ich brauche nur ein bisschen Sprengstoff
Nur ein bisschen Sprengstoff
Mit meinem letzten Funken Verstand
Zünde ich die Zündschnur an
Ich brauche nur ein bisschen Sprengstoff
Nur ein bisschen Sprengstoff
Ich suche mir ein schönes Plätzchen und dann
Schau ich mir das Feuerwerk an

Du sagst zu mir, ich brauch mal Urlaub
Du sagst, ich brauch mal Raum für mich
Du sagst, ich brauch mal ne Auszeit
Ich sage: „Ne du danke, lass mal!“
Du sagst, wir sollten drüber reden
Bei einem Sojamilchkaffee
Ich brauche niemand, der mir Schaum schlägt
Gib mir ne Kanne TN-Tee

Ich brauche nur ein bisschen Sprengstoff
Nur ein bisschen Sprengstoff
Mit meinem letzten Funken Verstand
Zünde ich die Zündschnur an
Ich brauche nur ein bisschen Sprengstoff
Nur ein bisschen Sprengstoff
Ich suche mir ein schönes Plätzchen und dann
Schau ich mir das Feuerwerk an

Und dann fliegt alles in die Luft
Es fliegt alles in die Luft
Und dann fliegt alles in die Luft
Puff

Ich brauche nur ein bisschen
Ich brauche nur ein bisschen
Ich brauche nur ein bisschen
Ich brauche nur ein bisschen

Ich brauche nur ein bisschen Sprengstoff
Nur ein bisschen Sprengstoff
Mit meinem letzten Funken Verstand
Zünde ich die Zündschnur an
Ich brauche nur ein bisschen Sprengstoff
Nur ein bisschen Sprengstoff
Ich suche mir ein schönes Plätzchen und dann
Schau ich mir das Feuerwerk an";"https://genius.com/Grossstadtgefluster-sprengstoff-lyrics";"Released June 7, 2013"
"6";"Grossstadtgeflüster";"Wir haben uns gerade noch gefehlt";"Oh ein reh";"Was für ein Abend, wir liegen im Rasen zwischen rostigen Dosen und den Resten von Morgen
Die Dämmerung färbt die Gestalten der Nacht, unsere Worte werden müde, doch wir werden wach
Durch unsere löchrigen Jeans flimmert das Endorphin, unsren Turnschuhen wachsen Flügel und du ziehst mich zu dir
Es gibt tausende Städte mit Milliarden Gedanken, doch meine die fanden deine einfach mal hier

Komm wir suchen uns nen Einkaufwagen und dann schieb ich dich durch Berlin
Wir hängen uns an all die Lichter ran und lassen uns von ihnen ziehn
Denn wenn es so etwas wie Wunder gibt, dann ist uns beiden eins erschien'
Wir sind für einander auserwählt, wir haben uns grade noch gefehlt

Wir haben uns grade noch gefehlt, wir wir haben uns grade noch gefehlt
Wir haben uns grade noch gefehlt, wir wir haben uns grade noch gefehlt
Wir haben uns grade noch gefehlt, wir wir haben uns grade noch gefehlt
Wir haben uns grade noch gefehlt, wir wir haben uns grade noch gefehlt

Eine warme Umarmung, nur dafür halten wir an
Es riecht nach frischen Brötchen und dem Kottbusser Damm
Wir schieben uns hoch über die Dächer der Stadt
Doch nicht um zu bleiben, nein wir brettern bergab
Den kühlen Wind im Gesicht, ohne Helm und Verstand
Durchbrechen wir Mauern aus dicker Luft und aus Angst
Denn wir sind uns sicher ohne jeglichen Halt
Unsre Richtung und das Ziel bestimmt der Asphalt

Komm wir suchen uns nen Einkaufwagen und dann schieb ich dich durch Berlin
Wir hängen uns an all die Lichter ran und lassen uns von ihnen ziehn
Denn wenn es so etwas wie Wunder gibt, dann ist uns beiden eins erschien'
Wir sind für einander auserwählt, wir haben uns grade noch gefehlt

Wir haben uns grade noch gefehlt, wir wir haben uns grade noch gefehlt
Wir haben uns grade noch gefehlt, wir wir haben uns grade noch gefehlt
Wir haben uns grade noch gefehlt, wir wir haben uns grade noch gefehlt
Wir haben uns grade noch gefehlt, wir wir haben uns grade noch gefehlt";"https://genius.com/Grossstadtgefluster-wir-haben-uns-gerade-noch-gefehlt-lyrics";"Released June 7, 2013"
"7";"Grossstadtgeflüster";"Meine Sonne";"Oh ein reh";"Wir war'n doch die, die keiner trennen kann
Wir war'n doch die, die keiner halten kann
Mit dir ist immer alles aufgegan'g
Dein Lachen macht doch, dass ich tanzen kann

Doch meine Sonne scheint nicht mehr
Du hast so lang' nicht mehr gelacht
Du versteckst dich in der Nacht
Meine Sonne scheint nicht mehr
Ich such' dich in der Dunkelheit
Ich finde dich und halt' dich fest
Solange, bis du wieder scheinst
Solange, bis du wieder scheinst
Solange, bis du wieder scheinst
Solange, bis du wieder scheinst
Bis du wieder scheinst

Wo sind nur alle deine Träume hin?
Ich lasse sie nicht einfach untergehn
Dazu waren sie zu groß und schön
Ich will dich endlich wieder strahlen seh'n

Doch meine Sonne scheint nicht mehr
Du hast so lang' nicht mehr gelacht
Du versteckst dich in der Nacht
Meine Sonne scheint nicht mehr
Ich such' dich in der Dunkelheit
Ich finde dich und halt dich fest
Solange, bis du wieder scheinst
Solange, bis du wieder scheinst
Solange, bis du wieder scheinst
Solange, bis du wieder scheinst
Bis du wieder scheinst

Solange, bis du wieder scheinst
Solange, bis du wieder scheinst
Bis du wieder scheinst";"https://genius.com/Grossstadtgefluster-meine-sonne-lyrics";"Released June 7, 2013"
"8";"Grossstadtgeflüster";"Das System stürzt ab";"Oh ein reh";"Es raucht, es qualmt, es riecht verbrannt
Verkohlte Erde staubt durchs Land
Es riecht nach fauler Sicherheit
Verwirrter Überheblichkeit

Das System stürzt ab
Weil es Fehler hat
Es hat sich aufgehangen
Und es baumelt und baumelt und baumelt und baumelt und...

Das System stürzt ab
Weil es Fehler hat
Es hat sich aufgehangen
Und es baumelt und baumelt und baumelt und baumelt und...

Es knarrt, es quietscht, es rostet ein
Sie schütten noch mehr Öl hinein
Dann stell'n sie mit Entsetzen fest
Dass das Problem die Software ist

Das System stürzt ab
Weil es Fehler hat
Es hat sich aufgehangen
Und es baumelt und baumelt und baumelt und baumelt und...

Das System stürzt ab
Weil es Fehler hat
Es hat sich aufgehangen
Und es baumelt und baumelt und baumelt und baumelt und...";"https://genius.com/Grossstadtgefluster-das-system-sturzt-ab-lyrics";"Released June 7, 2013"
"9";"Grossstadtgeflüster";"DBSTP";"Oh ein reh";"Ist das eigentlich Dubstep, wozu ich hier so abstepp?";"https://genius.com/Grossstadtgefluster-dbstp-lyrics";"Released June 7, 2013"
"10";"Grossstadtgeflüster";"Eulen nach Athen";"Oh ein reh";"Ich fang den frühen Vogel, so kann sich der Wurm entspann'
Ich geh mit dem Wurm ins Kino, wir schaun uns ""Die Vögel"" an
Und dann nehm ich die Gedanken, die sich nur um Schönes drehn
Dreh mit ihnen ihre Runden, sie wollen noch weiter gehn

Und alles was sie von mir woll'n, all die durchgeknallten Leute
Das besorg ich lieber morgen. Das verschieb ich nicht auf heute

Und all die ganzen Eulen trage ich jetzt nach Athen
Damit sie in ihrem Leben mal was von Europa sehn
Danach zähl ich ein paar Schäfchen und leg ne Statistik an
Für die Nachwelt, dass sie weiß, wieviele das denn so war'n

Und alles was sie von mir woll'n, all die durchgeknallten Leute
Das besorg ich lieber morgen. Das verschieb ich nicht auf heute

Das verschieb ich nicht auf heute

Und alles was sie von mir woll'n, all die durchgeknallten Leute
Das besorg ich lieber morgen. Das verschieb ich nicht auf heute

Das verschieb ich nicht auf heute";"https://genius.com/Grossstadtgefluster-eulen-nach-athen-lyrics";"Released June 7, 2013"
