"","artist","title","album","text","url","metadata"
"1","Hannes Wader","Dem Morgenrot Entgegen","Hannes wader singt arbeiterlieder","[Songtext zu „Dem Morgenrot entgegen“]

[Strophe 1]
Dem Morgenrot entgegen
Ihr Kampfgenossen all
Bald siegt ihr allerwegen
Bald weicht der Feinde Wall
Mit Macht heran und haltet Schritt
Arbeiterjugend? Will sie mit?

[Refrain]
Wir sind die junge Garde
Des Proletariats
Wir sind die junge Garde
Des Proletariats

[Strophe 2]
Wir haben selbst erfahren
Der Arbeit Frontgewalt
In düst'ren Kinderjahren
Und wurden früh schon alt
Sie hat an unserm Fuß geklirrt
Die Kette, die nur schwerer wird

[Refrain]
Wach auf du junge Garde
Des Proletariats
Wach auf du junge Garde
Des Proletariats

[Strophe 3]
Die Arbeit kann uns lehren
Sie lehrte uns die Kraft
Den Reichtum zu vermehren
Der unsre Armut schafft
Nun wird die Kraft, von uns erkannt
Die starke Waffe unsrer Hand

[Refrain]
Schlag zu du junge Garde
Des Proletariats
Schlag zu du junge Garde
Des Proletariats

[Strophe 4]
Wir reichen euch die Hände
Genossen all, zum Bund
Des Kampfes sei kein Ende
Eh' nicht in weiter Rund
Der Arbeit freies Volk gesiegt
Und jeder Feind am Boden liegt

[Refrain]
Vorwärts, du junge Garde
Des Proletariats
Vorwärts, du junge Garde
Des Proletariats","https://genius.com/Hannes-wader-dem-morgenrot-entgegen-lyrics","Released 1977
Producers

    
      Hannes Wader & Ulrich Maske
Writers

    
      Bertolt Brecht, Emil Luckhardt, Ernst Busch & 5 more
Arranged  By

    
      Hannes Wader
Arranged By

    
      Hannes Wader
Composed by

    
      Hanns Eisler, Paul Dessau & Sergio Ortega"
"2","Hannes Wader","Auf, auf zum Kampf","Hannes wader singt arbeiterlieder","[Songtext zu „Auf, auf zum Kampf“]

[Refrain]
Auf, auf zum Kampf zum Kampf
Zum Kampf sind wir geboren
Auf, auf zum Kampf zum Kampf
Zum Kampf sind wir bereit
Dem Karl Liebknecht dem haben wir's geschworen
Der Rosa Luxemburg reichen wir die Hand
Dem Karl Liebknecht dem haben wir's geschworen
Der Rosa Luxemburg reichen wir die Hand

[Strophe 1]
Es steht ein Mann, ein Mann
So fest wie eine Eiche
Er hat gewiss, gewiss
Schon manchen Sturm erlebt
Vielleicht ist er
Schon morgen eine Leiche
Wie es so vielen
Freiheitskämpfern geht
Vielleicht ist er
Schon morgen eine Leiche
Wie es so vielen
Freiheitskämpfern geht

[Strophe 2]
Wir fürchten nicht, ja nicht
Den Donner der Kanonen
Wir fürchten nicht, ja nicht
Die grüne Polizei
Den Karl Liebknecht den haben wir verlorenDie Rosa Luxemburg fiel durch Mörder HandDen Karl Liebknecht den haben wir verlorenDie Rosa Luxemburg fiel durch Mörder Hand

[Refrain]
Auf, auf zum Kampf zum Kampf
Zum Kampf sind wir geboren
Auf, auf zum Kampf zum Kampf
Zum Kampf sind wir bereit
Dem Karl Liebknecht dem haben wir's geschworen
Der Rosa Luxemburg reichen wir die Hand
Dem Karl Liebknecht dem haben wir's geschworen
Der Rosa Luxemburg reichen wir die Hand","https://genius.com/Hannes-wader-auf-auf-zum-kampf-lyrics","Released 1977
Producers

    
      Hannes Wader & Ulrich Maske
Writers

    
      Bertolt Brecht, Emil Luckhardt, Ernst Busch & 5 more
Arranged  By

    
      Hannes Wader
Arranged By

    
      Hannes Wader
Composed by

    
      Hanns Eisler, Paul Dessau & Sergio Ortega"
"3","Hannes Wader","Der kleine Trompeter","Hannes wader singt arbeiterlieder","[Songtext zu „Der kleine Trompeter“]

[Strophe 1]
Von all unsern Kameraden
War keiner so lieb und so gut
Wie unser kleiner Trompeter
Ein lustiges Rotgardistenblut
Wie unser kleiner Trompeter
Ein lustiges Rotgardistenblut

[Strophe 2]
Wir saßen so fröhlich beisammen
In einer so stürmischen Nacht
Mit seinen Freiheitsliedern
Hat er uns so glücklich gemacht
Mit seinen Freiheitsliedern
Hat er uns so glücklich gemacht

[Strophe 3]
Da kam eine feindliche Kugel
Bei einem so fröhlichem Spiel
Mit einem mutigen Lächeln
Unser kleiner Trompeter, er fiel
Mit einem mutigen Lächeln
Unser kleiner Trompeter, er fiel

[Strophe 4]
Da nahmen wir Hacke und Spaten
Und gruben ihm morgens ein Grab
Und die ihn am liebsten hatten
Die senkten ihn stille hinab
Und die ihn am liebsten hatten
Die senkten ihn stille hinab

[Strophe 5]
Schlaf wohl, du kleiner Trompeter
Wir waren dir alle so gut
Schlaf wohl du kleiner Trompeter
Du lustiges Rotgardistenblut
Schlaf wohl du kleiner Trompeter
Du lustiges Rotgardistenblut","https://genius.com/Hannes-wader-der-kleine-trompeter-lyrics","Released 1977
Producers

    
      Hannes Wader & Ulrich Maske
Writers

    
      Bertolt Brecht, Emil Luckhardt, Ernst Busch & 5 more
Arranged  By

    
      Hannes Wader
Arranged By

    
      Hannes Wader
Composed by

    
      Hanns Eisler, Paul Dessau & Sergio Ortega"
"4","Hannes Wader","Bella ciao","Hannes wader singt arbeiterlieder","Eines Morgens in aller Frühe
Bella ciao, bella ciao
Bella ciao, ciao, ciao
Eines Morgens in aller Frühe
Trafen wir auf unsern Feind
Eines Morgens in aller Frühe
Trafen wir auf unsern Feind

Ihr Partisanen, kommt nehmt mich mit euch
Bella ciao, bella ciao
Bella ciao, ciao, ciao
Ihr Partisanen, kommt nehmt mich mit euch
Denn ich fühl', der Tod ist nah
Partisanen, kommt nehmt mich mit euch
Denn ich fühl', der Tod ist nah

Und wenn ich sterbe, oh ihr Genossen
Bella ciao, bella ciao
Bella ciao, ciao, ciao
Wenn ich sterbe, oh ihr Genossen
Bringt mich dann zur letzten Ruh!
Wenn ich sterbe, oh ihr Genossen
Bringt mich dann zur letzten Ruh!

In den Schatten der kleinen Blume
Bella ciao, bella ciao
Bella ciao, ciao, ciao
Einer zarten, ganz kleinen Blume
In die Berge bringt mich dann
Einer zarten, ganz kleinen Blume
In die Berge bringt mich dann

Und die Leute, die geh'n vorüber
Bella ciao, bella ciao
Bella ciao, ciao, ciao
Und die Leute, die geh'n vorüber
Seh'n die kleine Blume stehn
Und die Leute, die geh'n vorüber
Seh'n die kleine Blume stehn

Diese Blume, so sagen alle
Bella ciao, bella ciao
Bella ciao, ciao, ciao
Ist die Blume des Partisanen
Der für unsre Freiheit starb!
Ist die Blume des Partisanen
Der für unsre Freiheit starb!","https://genius.com/Hannes-wader-bella-ciao-lyrics","Released 1977
Producers

    
      Hannes Wader & Ulrich Maske
Writers

    
      Bertolt Brecht, Emil Luckhardt, Ernst Busch & 5 more
Arranged  By

    
      Hannes Wader
Arranged By

    
      Hannes Wader
Composed by

    
      Hanns Eisler, Paul Dessau & Sergio Ortega"
"5","Hannes Wader","Mamita mia","Hannes wader singt arbeiterlieder","[Songtext zu „Mamita mia“]

[Strophe 1]
Die Herren Generale
¡Mamita mia!
Hab’n uns verraten
Wer hat denn diese Herren
¡Mamita mia!
So schlecht beraten

[Strophe 2]
Madrid, dich wunderbare
¡Mamita mia!
Dich wollten sie nehmen
Doch deiner treuen Söhne
¡Mamita mia!
Brauchst dich nicht zu schämen

[Strophe 3]
Und alle deine Tränen
¡Mamita mia!
Die werden wir rächen
Und die verfluchte Knechtschaft
¡Mamita mia!
Die werden wir brechen

[Strophe 4]
Marchaos Legionarios
Marchaos Legionarios
Marchaos Invasores
¡Mamita mia!
A vuestra tierra
Porque el proletariado
¡Mamita mia!
Ganó la guerra","https://genius.com/Hannes-wader-mamita-mia-lyrics","Released 1977
Producers

    
      Hannes Wader & Ulrich Maske
Writers

    
      Bertolt Brecht, Emil Luckhardt, Ernst Busch & 5 more
Arranged  By

    
      Hannes Wader
Arranged By

    
      Hannes Wader
Composed by

    
      Hanns Eisler, Paul Dessau & Sergio Ortega"
"6","Hannes Wader","Die Thälmann-Kolonne (Spaniens Himmel)","Hannes wader singt arbeiterlieder","[Songtext zu „Die Thälmann-Kolonne (Spaniens Himmel)“]

[Strophe 1]
Spaniens Himmel breitet seine Sterne
Über unsre Schützengräben aus
Und der Morge grüßt schon aus der Ferne –
Bald geht es zu neuem Kampf hinaus!

[Refrain]
Die Heimat ist weit
Doch wir sind bereit
Wir kämpfen und siegen für dich, Freiheit!

[Strophe 2]
Dem Faschisten werden wir nicht weichen
Schickt er auch die Kugelnhagel dicht –
Mit uns stehn Kameraden ohnegleichen
Und ein Rückwärts gibt es für uns nicht!

[Refrain]
Die Heimat ist weit
Doch wir sind bereit
Wir kämpfen und siegen für dich, Freiheit!

[Strophe 3]
Rührt die Trommel, fällt die Bajonette!
Vorwärts, marsch! Der Sieg ist unser Lohn!
Mit der Freiheitsfahne brecht die Kette!
Auf zum Kampf, das Thälmann-Bataillon!

[Refrain]
Die Heimat ist weit
Doch wir sind bereit
Wir kämpfen und sterben für dich, Freiheit!","https://genius.com/Hannes-wader-die-thalmann-kolonne-spaniens-himmel-lyrics","Released 1977
Producers

    
      Hannes Wader & Ulrich Maske
Writers

    
      Bertolt Brecht, Emil Luckhardt, Ernst Busch & 5 more
Arranged  By

    
      Hannes Wader
Arranged By

    
      Hannes Wader
Composed by

    
      Hanns Eisler, Paul Dessau & Sergio Ortega"
"7","Hannes Wader","El Pueblo unido","Hannes wader singt arbeiterlieder","[Songtext zu „El Pueblo unido“]

[Refrain]
El pueblo unido jamás será vencido!
El pueblo unido jamás será vencido!

[Strophe 1]
Steht auf und singt! Ein neues Lied beginnt!
Ein neuer Kampf die Zukunft uns gewinnt
Doch nur vereint
Besiegen wir den Feind
Kämpft mit uns, Freund, dass morgen wir die Sieger sind!
In unserem Lied
Der neue Morgen glüht
Wie unsre Fahne glüht im wilden Wind

Und Chile kämpft! Sein Hass wächst mit dem Schmerz
Und lodert aus den Minen himmelwärts
Von Nord nach Süd
Das Volksfrontbanner zieht
Die Einheit glüht, wir schmieden sie aus Chiles Erz
Der Weg ist klar:
Unidad Popular!
Das Volk, es kämpf mit Hand und Hirn und Herz

[Prerefrain]
Und jetzt wird das Volk sich erheben
Im Kampfe und singen
Und singen mit mächtiger Stimme:

[Refrain]
El pueblo unido jamás será vencido!
El pueblo unido jamás será vencido!

[Strophe 2]
Und Chile singt das Lied vom neuen Licht
Vom neuen Tag, der freundlicher anbricht
Noch rot vom Blut
Doch hell und klar und gut!
Genossen, Mut! Das Volk mit einer Stimmer spricht
In unsrem Schritt
Millionen ziehen mit
Das Volk vereint weicht den Faschisten nicht

Und Chile tanzt, wenn es den Kampf geführt
Es tanzt vereint, wie es vereint marschiert
Faschistenpack!
Es kommt, es kommt der Tag
Der Siegestag, dann wird die Rechnung präsentiert
Voran! Nach vorn!
Für uns geht nichts verlor'n
Nur Ketten sind es, die das Volk verliert

[Prerefrain]
Und jetzt wird das Volk sich erheben
Im Kampfe und singen
Und singen mit mächtiger Stimme:

[Refrain]
El pueblo unido jamás será vencido!
El pueblo unido jamás será vencido!","https://genius.com/Hannes-wader-el-pueblo-unido-lyrics","Released 1977
Producers

    
      Hannes Wader & Ulrich Maske
Writers

    
      Bertolt Brecht, Emil Luckhardt, Ernst Busch & 5 more
Arranged  By

    
      Hannes Wader
Arranged By

    
      Hannes Wader
Composed by

    
      Hanns Eisler, Paul Dessau & Sergio Ortega"
"8","Hannes Wader","Trotz alledem (dass sich die Furcht in Widerstand wandeln wird)","Hannes wader singt arbeiterlieder","[Songtext zu „Trotz alledem (dass sich die Furcht in Widerstand wandeln wird)“]

[Strophe 1]
Wir hofften in den 60'ern
Trotz Pop und Spuck und alledem
Es würde nun den Bonner Herrschers eingeheizt
Trotz alledem

[Refrain]
Doch nun ist es kalt
Trotz alledem
Trotz SPD und alledem
Ein schnöder, schwarzer Winterwind
Durchfröstelt uns, trotz alledem

[Strophe 2]
Auch Richter und Magnifizenz
Samt Polizei und alledem
Sie pfeifen auf die Existenz von Freiheit, Recht
Und alledem

[Refrain]
Trotz alledem und alledem
Trotz Grundgesetz und alledem
Drückt man uns mit Berufsverbot
Die Gurgel zu, trotz alledem

[Strophe 3]
Doch hat der Staat sich nur blamiert
Vor aller Welt, Trotz alledem
Auch wenn die Presse Lüge schmiert
Das Fernsehen schweigt, trotz alledem

[Refrain]
Trotz Misstrauen, Angst und alledem
Es kommt dazu, trotz alledem
Dass sich die Furcht in Widerstand
Verwandeln wird, trotz alledem","https://genius.com/Hannes-wader-trotz-alledem-dass-sich-die-furcht-in-widerstand-wandeln-wird-lyrics","Released 1977
Producers

    
      Hannes Wader & Ulrich Maske
Writers

    
      Bertolt Brecht, Emil Luckhardt, Ernst Busch & 5 more
Arranged  By

    
      Hannes Wader
Arranged By

    
      Hannes Wader
Composed by

    
      Hanns Eisler, Paul Dessau & Sergio Ortega"
"9","Hannes Wader","Das Einheitsfrontlied","Hannes wader singt arbeiterlieder","[Songtext zu „Das Einheitsfrontlied“]

[Strophe 1]
Und weil der Mensch ein Mensch ist
Drum braucht er was zum Essen, bitte sehr
Es macht ihn kein Geschwätz nicht satt
Das schafft kein Essen her

[Refrain]
Drum links, zwei, drei
Drum links, zwei, drei
Wo dein Platz Genosse ist
Reih dich ein in die Arbeitereinheitsfront
Weil du auch ein Arbeiter bist

[Strophe 2]
Und weil der Mensch ein Mensch ist
Drum braucht er auch noch Kleider und Schuh'
Es macht ihn kein Geschwätz nicht warm
Und auch kein Trommeln dazu

[Refrain]
Drum links, zwei, drei
Drum links, zwei, drei
Wo dein Platz Genosse ist
Reih dich ein in die Arbeitereinheitsfront
Weil du auch ein Arbeiter bist

[Strophe 3]
Und weil der Mensch ein Mensch ist
Drum hat er Stiefel im Gesicht nicht gern
Er will unter sich keinen Sklaven seh'n
Und über sich keinen Herrn

[Refrain]
Drum links, zwei, drei
Drum links, zwei, drei
Wo dein Platz Genosse ist
Reih dich ein in die Arbeitereinheitsfront
Weil du auch ein Arbeiter bist

[Strophe 4]
Und weil der Prolet ein Prolet ist
Drum kann ihn auch kein Anderer befrei'n
Es kann die Befreiung der Arbeiter nur
Das Werk der Arbeiter sein

[Refrain]
Drum links, zwei, drei
Drum links, zwei, drei
Wo dein Platz Genosse ist
Reih dich ein in die Arbeitereinheitsfront
Weil du auch ein Arbeiter bist","https://genius.com/Hannes-wader-das-einheitsfrontlied-lyrics","Released 1977
Producers

    
      Hannes Wader & Ulrich Maske
Writers

    
      Bertolt Brecht, Emil Luckhardt, Ernst Busch & 5 more
Arranged  By

    
      Hannes Wader
Arranged By

    
      Hannes Wader
Composed by

    
      Hanns Eisler, Paul Dessau & Sergio Ortega"
"10","Hannes Wader","Solidaritätslied","Hannes wader singt arbeiterlieder","[Songtext zu „Solidaritätslied“]

[Refrain]
Vorwärts und nie vergessen
Worin unsere Stärke besteht!
Beim Hungern und beim Essen
Vorwärts, nie vergessen:
Die Solidarität!

[Strophe 1]
Auf ihr Völker dieser Erde
Einigt euch in diesem Sinn
Dass sie bald die eure werde
Und die große Nährerin

[Refrain]
Vorwärts und nie vergessen
Worin unsere Stärke besteht!
Beim Hungern und beim Essen
Vorwärts, nie vergessen:
Die Solidarität!

[Strophe 2]
Schwarzer, Weißer, Brauner, Gelber!
Endet eure Schlächterei'n!
Reden erst die Völker selber
Werden sie schnell einig sein

[Refrain]
Vorwärts und nie vergessen
Worin unsere Stärke besteht!
Beim Hungern und beim Essen
Vorwärts, nie vergessen:
Die Solidarität!

[Strophe 3]
Wollen wir es schnell erreichen
Brauchen wir noch dich und dich
Wer im Stich lässt seinesgleichen
Lässt ja nur sich selbst im Stich

[Refrain]
Vorwärts und nie vergessen
Worin unsere Stärke besteht!
Beim Hungern und beim Essen
Vorwärts, nie vergessen:
Die Solidarität!

[Strophe 4]
Unsre Herr'n, wer sie auch seien
Sehen uns're Zwietracht gern
Denn solang sie uns entzweien
Bleiben sie doch uns're Herrn

[Refrain]
Vorwärts und nie vergessen
Worin unsere Stärke besteht!
Beim Hungern und beim Essen
Vorwärts, nie vergessen:
Die Solidarität!

[Strophe 5]
Proletarier aller Länder
Einigt euch und ihr seid frei
Eure großen Regimenter
Brechen jede Tyrannei!

[Refrain]
Vorwärts und nie vergessen
Und die Frage konkret gestellt
Beim Hungern und beim Essen:
Wessen Straße ist die Straße?
Wessen Welt ist die Welt?","https://genius.com/Hannes-wader-solidaritatslied-annotated","Released 1977
Producers

    
      Hannes Wader & Ulrich Maske
Writers

    
      Bertolt Brecht, Emil Luckhardt, Ernst Busch & 5 more
Arranged  By

    
      Hannes Wader
Arranged By

    
      Hannes Wader
Composed by

    
      Hanns Eisler, Paul Dessau & Sergio Ortega"
