"";"artist";"title";"album";"text";"url";"metadata"
"1";"Hannes Wader";"Mit Eva auf dem Eis";"Neue bekannte";"Nur manchmal dringt der Lärm der Stadt verloren
Als weit entferntes Rauschen übers Eis
Der Schnee ist frisch, die Alster zugefroren
Und tief am Himmel steht die Sonne kalt und weiß
Es drängen sich am Ufer um die Stände
Die Schlittschuhläufer und noch viel zu heiß
Zum Trinken, wärmt der Glühwein unsre Hände –
An diesem Tag mit Eva auf dem Eis

Ich wollte auch durch and're Jahreszeiten
Mit ihr noch zu so vielen Orten geh'n
Im Jenischpark, im Frühling, mit dem weiten
Blick vom Hügel auf die Elbe seh'n
An heißen Sommertagen sogar in ihr baden
Nur sekundenlang und nur den großen Zeh –
Im Herbst vielleicht zu Bartels Zauberladen
Draußen an der Wandsberker Chaussee

Nun, es ist daraus dann nichts geworden
Sie wollte einfach fort um jeden Preis
Fort aus dieser kühlen Stadt im Norden –
Fort aus dem Trott, dem ewig selben Gleis
Viel Glück! Ob sie nach all den Jahren
Noch immer an mich denkt? – Wer weiß!
Ich erinn're mich gern an den kalten, klaren
Wintertag mit Eva auf dem Eis

Ich erinn're mich gern an den kalten, klaren
Wintertag mit Eva auf dem Eis";"https://genius.com/Hannes-wader-mit-eva-auf-dem-eis-lyrics";"Released 2007
Writers

    
      Ernst Busch
Arranged  By

    
      Hannes Wader"
"2";"Hannes Wader";"Traumtänzer";"Neue bekannte";"Bin mal mutig, mal feige, mal dumm und mal weise
Und zahle dafür meinen Preis
Die Strategen und Denker unterrichteter Kreise
Wissen auch nicht viel mehr als ich weiß

All die nüchternen Rechner, die coolen Gewinner
Die Durchblicker, kommen und geh'n
Und ich werde wohl wieder auf Seiten der Spinner
Der Narren und Traumtänzer steh'n

Manche sagen, die Menschheit ist längst auf dem Wege
Für immer zu Grunde zu geh'n
Drehen heut' schon die Fakten, erbringen Belege
Für die Greuel, die morgen gescheh'n

All die nüchternen Rechner, die coolen Gewinner
Die Durchblicker, kommen und geh'n
Und ich werde wohl wieder auf Seiten der Spinner
Der Narren und Traumtänzer steh'n

Wer hat Recht, wer hat Unrecht? Wer ist Opfer, wer Täter?
Glücklich, wer das beantworten kann
Und wenn wir es wissen, nicht jetzt, eher später
Dann kommt's vielleicht nicht mehr drauf an

All die nüchternen Rechner, die coolen Gewinner
Die Durchblicker, kommen und geh'n
Und ich werde wohl wieder auf Seiten der Spinner
Der Narren und Traumtänzer steh'n

All die nüchternen Rechner, die coolen Gewinner
Die Durchblicker, kommen und geh'n
Und ich werde wohl wieder auf Seiten der Spinner
Der Narren und Traumtänzer steh'n

Bin mal mutig, mal feige, mal dumm und mal weise
Und zahle dafür meinen Preis
Die Strategen und Denker unterrichteter Kreise
Wissen auch nicht viel mehr als ich weiß

All die nüchternen Rechner, die coolen Gewinner
Die Durchblicker, kommen und geh'n
Und ich werde wohl wieder auf Seiten der Spinner
Der Narren und Traumtänzer steh'n

All die nüchternen Rechner, die coolen Gewinner
Die Durchblicker, kommen und geh'n
Und ich werde wohl wieder auf Seiten der Spinner
Der Narren und Traumtänzer steh'n";"https://genius.com/Hannes-wader-traumtanzer-lyrics";"Released 2007
Writers

    
      Ernst Busch
Arranged  By

    
      Hannes Wader"
"3";"Hannes Wader";"Min Jehann";"Neue bekannte";"Ik wull, wi weern noch kleen, Jehann
Do weer de Welt so grot!
Wi seten op den Steen, Jehann
Weest noch? Bi Nawers Sot
An Heben seil de stille Maan
Wi segen, wa he leep
Un snacken, wa de Himmel hoch
Un wa de Sot wul deep

Weest noch, wa still dat weer, Jehann?
Dar röhr keen Blatt an Bom
So is dat nu ni mehr, Jehann
As höchstens noch in Drom
Och ne, wenn do de Scheper sung
Alleen, int wide Feld:
Ni wahr, Jehann? Dat weer en Ton!
De eenzige op de Welt

Mitünner inne Schummerntid
Denn ward mi so to Mod
Denn löppt mi't langs den Rügg so hitt
As domals bi den Sot
Denn dreih ik mi so hasti um
As weer ik nich alleen:
Doch allens, wat ik finn, Jehann
Dat is – ik sta un ween";"https://genius.com/Hannes-wader-min-jehann-lyrics";"Released 2007
Writers

    
      Ernst Busch
Arranged  By

    
      Hannes Wader"
"4";"Hannes Wader";"König von Preußen";"Neue bekannte";"O König von Preußen, du großer Potentat
Wie sind wir deines Dienstes so überdrüssig satt!
Was fangen wir nun an in diesem Jammertal
Allwo ist nichts zu finden als Not und lauter Qual!

Und kommt das Frühjahr an, da ist die große Hitz'
Da heißt es exerzieren, dass ei'm der Buckel schwitzt
Da heißt es exerzieren vom Morgen bis Mittag
Und das verfluchte Leben, das währt den ganzen Tag

Vom Exerzieren weg, geht's wieder auf die Wacht
Kein Teufel tut nicht fragen ob man gefressen hat
Kein Branntwein in der Flaschen, kein weißes Brot dabei –
Ein schlechtes Tabak rauchen, das ist der Zeitvertreib

Und kommt ein' frisch' Parad', tut man ein' falschen Tritt
So hört man es schon rufen: ""Der Kerl muss auf den Glied!""
Patronentaschen runter, den Säbel abgelegt
Und tapfer drauf geschmissen bis er sich nicht mehr regt

Ihr Herren nehmt's nicht wunder, wenn einer desertiert
Wir werden wie die Hunde mit Schlägen strapaziert
Und bringen sie uns wieder, sie henken uns nicht auf
Das Kriegsrecht wird gesprochen: ""Der Kerl muss Gassenlauf!""

Und wann wir Gassen laufen, dann spielet man uns auf
Mit Waldhorn und Trompeten, dann geht es wacker drauf
Dann werden wir gehauen von manchem Musketier
Der eine hat's Bedauern, der and're gönnt es mir

Und werden wir dann alt, wo wenden wir uns hin?
Die Gesundheit ist verloren, die Kräfte sind dahin
Und endlich wird es heißen: ""Ein Vogel und kein Nest!
Geh Alter, nimm den Bettelsack, bist auch Soldat gewest!""
Und endlich wird es heißen: ""Ein Vogel und kein Nest!
Geh Alter, nimm den Bettelsack, bist auch Soldat gewest!""";"https://genius.com/Hannes-wader-konig-von-preuen-lyrics";"Released 2007
Writers

    
      Ernst Busch
Arranged  By

    
      Hannes Wader"
"5";"Hannes Wader";"Die Moorsoldaten";"Neue bekannte";"Wohin auch das Auge blicket
Moor und Heide nur ringsum
Vogelsang uns nicht erquicket
Eichen stehen kahl und krumm

Wir sind die Moorsoldaten
Und ziehen mit dem Spaten
Ins Moor
Wir sind die Moorsoldaten
Und ziehen mit dem Spaten
Ins Moor

Hier in dieser öden Heide
Ist das Lager aufgebaut
Wo wir frei von jeder Freude
Hinter Stacheldraht verstaut

Wir sind die Moorsoldaten
Und ziehen mit dem Spaten
Ins Moor
Wir sind die Moorsoldaten
Und ziehen mit dem Spaten
Ins Moor

Morgens ziehen die Kolonnen
Durch das Moor zur Arbeit hin
Graben bei dem Brand der Sonne
Doch zur Heimat steht der Sinn

Wir sind die Moorsoldaten
Und ziehen mit dem Spaten
Ins Moor
Wir sind die Moorsoldaten
Und ziehen mit dem Spaten
Ins Moor

Auf und nieder geh'n die Posten
Keiner, keiner kann hindurch!
Flucht wird nur das Leben kosten
Vierfach ist umzäunt die Burg

Wir sind die Moorsoldaten
Und ziehen mit dem Spaten
Ins Moor
Wir sind die Moorsoldaten
Und ziehen mit dem Spaten
Ins Moor

Doch für uns gibt es kein Klagen
Ewig kann nicht Winter sein!
Einmal werden froh wir sagen
Heimat du bist wieder mein!

Dann zieh'n die Moorsoldaten
Nie mehr mit dem Spaten
Ins Moor
Dann zieh'n die Moorsoldaten
Nie mehr mit dem Spaten
Ins Moor";"https://genius.com/Hannes-wader-die-moorsoldaten-lyrics";"Released 2007
Writers

    
      Ernst Busch
Arranged  By

    
      Hannes Wader"
"6";"Hannes Wader";"Mamita mia";"Neue bekannte";"[Songtext zu „Mamita mia“]

[Strophe 1]
Die Herren Generale
¡Mamita mia!
Hab’n uns verraten
Wer hat denn diese Herren
¡Mamita mia!
So schlecht beraten

[Strophe 2]
Madrid, dich wunderbare
¡Mamita mia!
Dich wollten sie nehmen
Doch deiner treuen Söhne
¡Mamita mia!
Brauchst dich nicht zu schämen

[Strophe 3]
Und alle deine Tränen
¡Mamita mia!
Die werden wir rächen
Und die verfluchte Knechtschaft
¡Mamita mia!
Die werden wir brechen

[Strophe 4]
Marchaos Legionarios
Marchaos Legionarios
Marchaos Invasores
¡Mamita mia!
A vuestra tierra
Porque el proletariado
¡Mamita mia!
Ganó la guerra";"https://genius.com/Hannes-wader-mamita-mia-lyrics";"Released 2007
Writers

    
      Ernst Busch
Arranged  By

    
      Hannes Wader"
"7";"Hannes Wader";"Uns bleibt keine Wahl";"Neue bekannte";"Es herrscht die Gewalt schon solang wir denken
Es scheint die Gewalt unser Leben zu lenken
Und dauert sie lang, schon fast eine Ewigkeit
Lang ist nicht ewig im Wechsel der Zeit

Es haben die Menschen zu allen Zeiten
Jede Schlacht um den Frieden verloren
Doch wir sind in diese Welt geboren
Um endlich zu siegen - uns bleibt keine Wahl

Es heißt, die Gewalt sei menschlich und bliebe
Bestimmender für unser sein als die Liebe
Doch menschlicher ist, die Gewalt und den Krieg
Zu bekämpfen, hier lohnt sich der Kampf um den Sieg

Es haben die Menschen ...";"https://genius.com/Hannes-wader-uns-bleibt-keine-wahl-lyrics";"Released 2007
Writers

    
      Ernst Busch
Arranged  By

    
      Hannes Wader"
"8";"Hannes Wader";"Wilde Schwäne";"Neue bekannte";"Es zogen einst fünf wilde Schwäne
Schwäne leuchtend weiß und schön
Es zogen einst fünf wilde Schwäne
Schwäne leuchtend weiß und schön
Sing, sing was geschah
Keiner ward mehr gesehen, ja
Sing, sing was geschah
Keiner ward mehr geseh'n

Es zogen einst fünf junge Burschen
Stolz und kühn zum Kampf hinaus
Es zogen einst fünf junge Burschen
Stolz und kühn zum Kampf hinaus
Sing, sing was geschah
Keiner kam mehr nach Haus', ja
Sing, sing was geschah
Keiner kam mehr nach Haus'

Es wuchsen einst fünf junge Birken
Schlank und grün am Bachesrand
Es wuchsen einst fünf junge Birken
Schlank und grün am Bachesrand
Sing, sing was geschah
Keine in Blüten stand, ja
Sing, sing was geschah
Keine in Blüten stand

Es wuchsen einst fünf junge Mädchen
Schlank und schön am Memelstrand
Es wuchsen einst fünf junge Mädchen
Schlank und schön am Memelstrand
Sing, sing was geschah
Keine den Brautkranz wand, ja
Sing, sing was geschah
Keine den Brautkranz wand";"https://genius.com/Hannes-wader-wilde-schwane-lyrics";"Released 2007
Writers

    
      Ernst Busch
Arranged  By

    
      Hannes Wader"
"9";"Hannes Wader";"Im Januar";"Neue bekannte";"Kirschbäume blühen im Januar
Und milde Winde wehn seit Neujahr
Wie viele Winter wollte ich schon
Mit Dir einen Schneemann bauen, mein Sohn?
Mit Deinem Schlitten seh ich Dich nun
Im Regen stehn
Hast im Leben noch nie
Schnee gesehn

Habe selbst fast vergessen, was Eisblumen sind
Die ich an die Schreiben hauchte als Kind
Habe seitdem nur immer durch Fenster geschaut
Die niemals beschlagen, ob es friert oder taut
Dass alles Neue das Alte verdrängt
Hab ich immer gewusst
Und doch spüre ich auch
Den Verlust

Sommer und Winter, der Tag und die Nacht
Der Wind und der Regen
Von Menschen gemacht
Es scheint sich die Erde wie im Fieber zu drehn
Eisberge schmelzen, neue Wüsten entstehn
Für meine Kinder wünschte ich mir schon
Eien wärmere Welt
Hab sie mir nur nicht so vorgestellt";"https://genius.com/Hannes-wader-im-januar-lyrics";"Released 2007
Writers

    
      Ernst Busch
Arranged  By

    
      Hannes Wader"
"10";"Hannes Wader";"Eine, die du nicht kennst";"Neue bekannte";"Am Abend bist du wieder mal
Da, wo alle Welt sich trifft
Eine, die du nicht kennst, sitzt neben dir
Und du rauchst und trinkst und sprichst mit ihr
Und weil du's bei jeder probieren musst
Denkst du, dass du das Richtige tust
Als du fragst, ob sie mit dir kommen will
Und sie sagt nicht ja, sie nickt nur still

Jetzt liegt sie bei dir, du betrachtest sie
Und während du nach Fehlern suchst
Denkst du, dass sie's mit Allen macht
Und das stört dich schon nach dieser Nacht!
Doch du redest so, bevor sie geht
Als sei es dir gleich, ob ihr euch wiederseht
Auch sie verbirgt, was sie denkt vor dir
Schreibt nur etwas auf und geht aus der Tür

Am selben Abend stehst du doch
Halb betrunken vor ihrem Haus
Sie öffnet, bittet dich herein
Und fast bist du enttäuscht – sie ist allein
Du sagst einen Gruß, achtest auf ihr Gesicht
Doch, was sie denkt, siehst du wieder nicht!
Und du nimmst dir vor, nie mehr zu ihr zu geh'n
Weil du Angst hast, dabei durchzudreh'n

Zwei, drei Tage hältst du's aus
Dann liegst du wieder neben ihr
So machst du weiter, wochenlang
Verrätst dich nicht und fühlst dich krank
Und du meinst, wenn du sagst: ""Du bist blass mein Kind!""
Die Nächte, wenn Andere bei ihr sind
Und wieder prüfst du ihr Gesicht –
Vielleicht weint sie nachts, sie sagt es nicht!

Und dann, du hast es längst gewusst
Triffst du den Anderen bei ihr
Jetzt spürst du zwischen Schmerz und Wut
Recht zu haben – wie weh das tut!
Du nimmst dich zusammen, lächelst sogar
Du redest, aber du denkst nicht klar!
Und du gehst, als du glaubst, dass du schreien musst –
Vielleicht hat sie gewollt, dass du es tust!

Jetzt bist du abends wieder mal
Da wo alle Welt sich trifft
Für dich der Ort, wohin du passt
Seit du dich wieder gefangen hast
Und es wird dir gelingen, nie mehr schwach zu sein
Stets auf der Hut und hart wie Stein!
Und neben dir sitzt wieder so ein Kind –
Eins von denen, die noch kaputtzumachen sind";"https://genius.com/Hannes-wader-eine-die-du-nicht-kennst-lyrics";"Released 2007
Writers

    
      Ernst Busch
Arranged  By

    
      Hannes Wader"
