"","artist","title","album","text","url","metadata"
"1","Hannes Wader","Das Loch unterm Dach","Trotz alledem cd1","Ich friste in einem Loch unterm Dach
Als armer Hund mein Dasein
Hab' wenig zu essen, drum lieg' ich oft wach
Und hung're bei Wasser mit Wein
Und starrt die nackte Wand mich auch an –
Was macht das schon, jetzt hängt ja daran
Ein Bild von ihr –
Sie schenkte es mir!

Meine Bücher, die letzten Habseligkeiten
Ich werde mit ihnen ins Pfandhaus geh'n
Dort vermach ich sie den Leuten
Die doch nicht zu lesen versteh'n
Auch wenn sie sie mir nicht viel dafür geben –
Was macht das schon, dann lese ich eben
Die Briefe von ihr –
Sie schickte sie mir!

Ich glaube mein Fenster habe ich mal
Des Nachts im Suff zerschlagen
Mein Wirt will, dass ich den Schaden zahl' –
Einen Streit mit ihm darf ich nicht wagen!
Ich geb ihm den Schein, und ist's auch mein letzter –
Was macht das schon, jetzt hängt vor dem Fenster
Ein Mantel von ihr –
Sie schenkte ihn mir!

Ich friste in einem Loch unterm Dach
Als armer Hund mein Dasein
Doch sie denkt an mich in ihrem Prunkgemach
Denn ihr Mann ist alt und gemein
Ein Sonntagsjäger und Herrenreiter –
Was macht das schon, ich brauch' ja nichts weiter
Als das Herz von ihr –
Sie schenkte es mir!","https://genius.com/Hannes-wader-das-loch-unterm-dach-lyrics","Released 2014
Writers

    
      Hannes Wader"
"2","Hannes Wader","Begegnung","Trotz alledem cd1","Jeden Tag kam sie mir entgegen
Und ich gewöhnte mich daran
Wie man an das, was man oft hört und sieht
Sich eben gewöhnen kann

Ich nahm es kaum wahr, dass Tage kamen
An denen sie nicht erschien
Dann ging sie, wie immer, an mir vorüber
Und diesmal sah ich genauer hin!

Sie sah mich und wurde ein kleinwenig rot
Und ich, obwohl ich nicht schüchtern bin
Wusste plötzlich mit meinen Händen
Nicht mehr so recht wohin

Ich habe mich nie nur zum Vergnügen
Mit Zahlen und Ziffern herumgequält
Doch die Sommersprossen auf ihrer Nase
Die hätte ich gern' gezählt!

Ich sah auch ihren Mund und hoffte
Auf ihr Lächeln an kommenden Tagen
Ich nahm mir vor sie nach Diesem und Jenem
Und nach ihrem Namen zu fragen

Es ergab sich schon am nächsten Tag
Dass ich einen Grund sie zu sprechen fand
Nur gab sie mir Antwort in einer Sprache
Von der ich kein Wort verstand!

Verstanden habe ich nur ihr Lächeln
Als ich so ganz brav neben ihr lief
Und hinter dem Lächlen sah ich ihre Zähne
Schneeweiß und ein wenig schief

Ihren Namen las ich auf dem Schildchen am Koffer
Den ich für sie zum Bahnhof trug
Dann stand ich alleine da, sah sie noch winken
Aus dem fahrenden Zug","https://genius.com/Hannes-wader-begegnung-lyrics","Released 2014
Writers

    
      Hannes Wader"
"3","Hannes Wader","Traumtänzer","Trotz alledem cd1","Bin mal mutig, mal feige, mal dumm und mal weise
Und zahle dafür meinen Preis
Die Strategen und Denker unterrichteter Kreise
Wissen auch nicht viel mehr als ich weiß

All die nüchternen Rechner, die coolen Gewinner
Die Durchblicker, kommen und geh'n
Und ich werde wohl wieder auf Seiten der Spinner
Der Narren und Traumtänzer steh'n

Manche sagen, die Menschheit ist längst auf dem Wege
Für immer zu Grunde zu geh'n
Drehen heut' schon die Fakten, erbringen Belege
Für die Greuel, die morgen gescheh'n

All die nüchternen Rechner, die coolen Gewinner
Die Durchblicker, kommen und geh'n
Und ich werde wohl wieder auf Seiten der Spinner
Der Narren und Traumtänzer steh'n

Wer hat Recht, wer hat Unrecht? Wer ist Opfer, wer Täter?
Glücklich, wer das beantworten kann
Und wenn wir es wissen, nicht jetzt, eher später
Dann kommt's vielleicht nicht mehr drauf an

All die nüchternen Rechner, die coolen Gewinner
Die Durchblicker, kommen und geh'n
Und ich werde wohl wieder auf Seiten der Spinner
Der Narren und Traumtänzer steh'n

All die nüchternen Rechner, die coolen Gewinner
Die Durchblicker, kommen und geh'n
Und ich werde wohl wieder auf Seiten der Spinner
Der Narren und Traumtänzer steh'n

Bin mal mutig, mal feige, mal dumm und mal weise
Und zahle dafür meinen Preis
Die Strategen und Denker unterrichteter Kreise
Wissen auch nicht viel mehr als ich weiß

All die nüchternen Rechner, die coolen Gewinner
Die Durchblicker, kommen und geh'n
Und ich werde wohl wieder auf Seiten der Spinner
Der Narren und Traumtänzer steh'n

All die nüchternen Rechner, die coolen Gewinner
Die Durchblicker, kommen und geh'n
Und ich werde wohl wieder auf Seiten der Spinner
Der Narren und Traumtänzer steh'n","https://genius.com/Hannes-wader-traumtanzer-lyrics","Released 2014
Writers

    
      Hannes Wader"
"4","Hannes Wader","Der Rattenfänger","Trotz alledem cd1","Fast jeder weiß was in Hameln geschah, vor tausend und einem Jahr
Wie die Ratten dort hausten, die alles fraßen was nicht aus Eisen war
Zu dieser Zeit kam ich nach langer Fahrt als Spielmann in diese Stadt
Und ich hörte als erstes den Herold schreien, als ich den Markt betrat
Wer mit Gottes Hilfe oder allein die Stadt von den Ratten befreit
Für den lägen ab nun beim Magistrat hundert Taler in Gold bereit

Ich packte mein Bündel, die Flöte und Leier und klopfte ans Rathaustor
Kaum sah man mich schlug man die Tür wieder zu und legte den Riegel vor
Und ich hörte wie man den Herren sagte, es stünde ein Mann vor dem Tor
Zerrissen und stinkend in bunte Lumpen, mit einem Ring im Ohr
Dieser Mann nun ließe den Herren sagen, er käme von weit, weit her
Und er böte der Stadt seine Hilfe, weil er ein Rattenfänger wär

Ich wartete lange, dann rief eine Stimme durch die geschlossene Tür:
""Vernichte die Ratten und du bekommst die versprochenen Taler dafür!""
Und ich ging und blies in der Nacht die Flöte, immer nur einen einzigen Ton
Der so hoch war, dass nur die Ratten ihn hörten, und keine kam davon
Bis hinein in die Weser folgte mir bald die ganze quiekende Brut
Und an Morgen trieben dann hunderttausend Kadaver in der Flut

Als die Hamelner Bürger hörten, was alles geschehen war in der Nacht
Tanzten sie auf den Straßen, nur an mich hat keiner gedacht
Und als ich dann wieder vorm Rathaus stand und forderte meinen Lohn
Schlug man auch diesmal die Tür vor mir zu und erklärte mir voller Hohn
Nur der Teufel könne bei meiner Arbeit im Spiel gewesen sein
Deshalb sei es gerecht ich triebe bei ihm meine hundert Taler ein

Doch ich blieb und wartete Stunde um Stunde bis zum Abend vor jenem Haus
Aber die Ratsherren die drinnen saßen, trauten sich nicht heraus
Als es Nacht war kamen bewaffnete Kerle, ein dutzend oder mehr
Die schlugen mir ihre Spieße ins Kreuz und stießen mich vor sich her
Vor der Stadt hetzten sie ihre Hunde auf mich und die Bestien schonten mich nicht
Sie rissen mich um und pissten mir noch ins blutende Gesicht

Als der Mond schien flickte ich meine Lumpen, wusch meine Wunden im Fluss
Und weinte dabei vor Schwäche und Wut, bis der Schlaf mir die Augen schloss
Doch noch einmal ging ich zurück in die Stadt und hatte dabei einen Plan
Denn es war Sonntag, die Bürger traten eben zum Kirchgang an
Nur die Kinder und die Alten blieben an diesem Morgen allein
Und ich hoffte, die Kinder würden gerechter, als ihre Väter sein

Ich hatte vorher mein zerfleischtes Gesicht mir bunten Farbe bedeckt
Und mein Wams, damit man die Löcher nicht sah, mit Hahnenfedern besteckt
Und ich spielte und sang, bald kamen die Kinder zu mir von überall her
Hörten was ich sang mit Empörung und vergaßen es nie mehr
Und die Kinder beschlossen mir zu helfen und nicht mehr zuzusehen
Wo Unrecht geschieht, sondern immer gemeinsam dagegen anzugehen

Und die Hamelner Kinder hielten ihr Wort und bildeten ein Gericht
Zerrten die Bosheit und die Lügen ihrer Väter ans Licht
Und sie weckten damit in ihren Eltern Betroffenheit und Scham
Und weil er sich schämte, schlug manch ein Vater sein Kind fast krumm und lahm
Doch mit jeder Misshandlung wuchs der Mut der Kinder dieser Stadt
Und die hilflosen Bürger brachten die Sache vor den hohen Rat

Es geschah was heute noch immer geschieht, wo Ruhe mehr gilt als Recht
Denn wo die Herrschenden Ruhe wollen, geht's den Beherrschten schlecht
So beschloss man die Vertreibung einer ganzen Generation
In der Nacht desselben Tages begann die schmutzige Aktion
Gefesselt und geknebelt, von den eigenen Vätern bewacht
Hat man die Kinder von Hameln ganz heimlich aus der Stadt gebracht

Nun war wieder Ruhe in der Stadt Hameln, fast wie in einem Grab
Doch die Niedertracht blühte, die Ratsherren fassten eilig ein Schreiben ab
Das wurde der Stadtchronik beigefügt, mit dem Stempel des Landesherren
Und besagt, dass die Kinder vom Rattenfänger ermordet worden wär'n
Doch die Hamelner Kinder sind nicht tot, zerstreut in alle Welt
Haben auch sie wieder Kinder gezeugt, ihnen diese Geschichte erzählt

Denn auch heute noch setzen sich Menschen für die Rechte Schwächerer ein
Diese Menschen könnten wohl die Erben der Hamelner Kinder sein
Doch noch immer herrscht die Lüge über die Wahrheit in der Welt
Und solange die Gewalt und Angst die Macht in Händen hält
Solange kann ich nicht sterben, nicht ausruhen und nicht fliehen
Sondern muss als Spielmann und Rattenfänger immer weiter ziehen
Denn noch nehmen Menschen Unrecht als Naturgewalt in Kauf
Und ich hetze noch heute die Kinder dagegen immer wieder auf
Und ich hetze noch heute die Kinder dagegen immer wieder auf","https://genius.com/Hannes-wader-der-rattenfanger-lyrics","Released 2014
Writers

    
      Hannes Wader"
"5","Hannes Wader","Min Jehann","Trotz alledem cd1","Ik wull, wi weern noch kleen, Jehann
Do weer de Welt so grot!
Wi seten op den Steen, Jehann
Weest noch? Bi Nawers Sot
An Heben seil de stille Maan
Wi segen, wa he leep
Un snacken, wa de Himmel hoch
Un wa de Sot wul deep

Weest noch, wa still dat weer, Jehann?
Dar röhr keen Blatt an Bom
So is dat nu ni mehr, Jehann
As höchstens noch in Drom
Och ne, wenn do de Scheper sung
Alleen, int wide Feld:
Ni wahr, Jehann? Dat weer en Ton!
De eenzige op de Welt

Mitünner inne Schummerntid
Denn ward mi so to Mod
Denn löppt mi't langs den Rügg so hitt
As domals bi den Sot
Denn dreih ik mi so hasti um
As weer ik nich alleen:
Doch allens, wat ik finn, Jehann
Dat is – ik sta un ween","https://genius.com/Hannes-wader-min-jehann-lyrics","Released 2014
Writers

    
      Hannes Wader"
"6","Hannes Wader","De Groffschmitt","Trotz alledem cd1","En Groffschmitt seet in gode Roh
En Groffschmitt seet in gode Roh
Un schmökt sin Piep Tobak dar to
Ziru-ziru-zierallala
Ziru-ziru-zira

Wat kloppt denn dar an miene Dör
Wat kloppt denn dar an miene Dör
As wenns de Düwel sülber war?
Ziru-ziru-zierallala
Ziru-ziru-zira

Dat is en Breef von de Kieler Post
Dat is en Breef von de Kieler Post
De tweenuntwüntig Penning kost
Ziru-ziru-zierallala
Ziru-ziru-zira

Wat schrifft he denn mien leewer Fritz
Wat schrifft he denn mien leewer Fritz
De op de Universiteit rumflitzt?
Ziru-ziru-zirallalla
Ziru-ziru-zira

He hett sick mit de Kieler slahn
He hett sick mit de Kieler slahn
Un schall nich mehr collegen gahn
Ziru-ziru-zierallala
Ziru-ziru-zira

De Fritz de wahnt in'n Golden Stern
De Fritz de wahnt in'n Golden Stern
Dar hebbt em all de Deerns so gern
Ziru-ziru-zierallala
Ziru-ziru-zira

Ick schall man gau nah Kiel henkamen
Ick schall man gau nah Kiel henkamen
Un schall dem Bengel dat Fell versahlen
Ziru-ziru-zierallala
Ziru-ziru-zira

Un as he denn nah Kiel henkeem
Un as he denn nah Kiel henkeem
Un glieks em in Empfang wull nehmen
Ziru-ziru-zierallala
Ziru-ziru-zira

Hess du di mit de Kieler slahn
Hess du di mit de Kieler slahn
Un schasst nich mehr collegen gahn?
Ziru-ziru-zierallala
Ziru-ziru-zira

Guten Tag, guten Tag, der Herr Papa
Seid Ihr denn auch schon wieder da
Es freut mich sehr, Sie hier zu sehn
Wie mags mit meinem Wechsel stehn?

Von dienem Wessel hol dat Mul
Von dienen Wessel hol dat Mul
Du Aas, du Biest, du Röbenswien
Ziru-ziru-zierallala
Ziru-ziru-zira

Was hab ich Euch zuleid getan
So fährt man keinen Burschen an
Den ganze Tag hab ich studiert
Und abends auch noch kommersiert

Dat rumpussiern dat schasst man lat'n
Dat rumpusseern dat schasst man lat'n
Schasst leever up'n Amboss slahn
Ziru-ziru-zierallala
Ziru-ziru-zira

Zwei Freunde hatten sich entzweit
Und forderten sich auf zum Streit
Ich aber lud sie in mein Haus
Und gab dann den Versöhnungsschmaus!

Von dien Versöhnung schwieg man still
Von dien Versöhnung schwieg man still
Ick will wohl weten, wat ick will
Ziru-ziru-zierallala
Ziru-ziru-zira

Pack man dien Kram nu is dat ut
Pack man dien Kram nu is dat ut
Wi fahrt mit'n ersten Zug nah Hus
Ziru-ziru-zierallala
Ziru-ziru-zira

Lat mi hierbliebn, ick doh't nich mehr
Lat mi hierbliebn, ick doh't nich mehr
Dat is so schlimm nich worden hier
Ziru-ziru-zierallala
Ziru-ziru-zira

Nee, nee min Jung nu geihst du mit
Nee, nee min Jung nu geihst du mit
Dat is nu ut, nu warste Schmitt
Ziru-ziru-zierallala
Ziru-ziru-zira

Gott segne diene Studia
Gott segne diene Studia
Ut di ward nix, Halleluja
Ziru-ziru-zierallala
Ziru-ziru-zira","https://genius.com/Hannes-wader-de-groffschmitt-lyrics","Released 2014
Writers

    
      Hannes Wader"
"7","Hannes Wader","Schon morgen","Trotz alledem cd1","Sag, wie lange haben dein Füße die nackte Erde schon nicht mehr berührt
Haben Jahr und Tag nur Totenstarren, Beton und Asphalt unter sich gespürt
Nun gräbst du endlich wieder deine Zehen, so tief du kannst, in kühlen nassen Sand
Die See füllt deine Spuren mit ihrem Wasser und glättet vor und hinter dir den Strand

Und schon morgen sollen alle sieben Meere aus denen einmal alles Leben kam
Auch anderen die schlecht verheilten Wunden von Stiefeltritten, Schlägen, allem Gram
Aus den Gesichtern waschen und ertränken, was Gestern noch all ihre Kräfte nahm

Wie lange hast du schon in Vollmondnächten, bei Sturmflut in die Brandung brüllen woll'n
Wie Sänger alter Zeit mit ihren Stimmen den Sturm herausgefordert haben soll'n
Nun würgen dich die Böen und stoßen dir deinen Schrei tief in den Hals zurück
Und reißen ihn dir wieder aus dem Rachen, zerfetzen ihn im nächsten Augenblick

Und schon morgen soll ein großer Sturm aufkommen und auch and're wagen es herauszuschrei'n
Was sie beleidigt, alle Furcht vergessend und keinem bricht der Sturm das Zungenbein
Doch ihre Schreie packt er und die werden dann überall im Land zu hören sein
Doch ihre Schreie packt er und die werden dann überall im Land zu hören sein","https://genius.com/Hannes-wader-schon-morgen-lyrics","Released 2014
Writers

    
      Hannes Wader"
"8","Hannes Wader","Reine Natur","Trotz alledem cd1","Dar havert mal wedder en Tanker up Sand
Rundrum deckt dat Rohöl de See
Un jümmer mehr Smeer flütt to Lee ut de Wand
Bruun-swart, as de Ogen von'tReh

Vör't Schipp kümmt en Stockentenwaart nich mehr flott
In Smeer swümmt de Seevagel slecht
He paddelt sich neger un neger an Gott
He hett de letzt Ölung ja weg

Hebbn wi nich lehrt
Siet dat wi borrn:
Keen dar good smeert
Ward ok good fahrn!

De Segen von baven is blanke Chemie
Un kummt ut en Hubschruuvmaschin
As letztet Geschenk von uns düütsch Industrie
Kann Regen recht segensriek sien

De Teppich swümmt breed up de Doggerbank to
Ward breder up't Wellengewöhl
De Wind geiht to Roh, un de Fischers sünd froh:
Se fangen Sardinen in Öl!

Hebbn wi nich lehrt
Siet dat wi borrn:
Keen dar good smeert
Ward ok good fahrn!

En Stöörm drifft de Smeer paar Daag later werr trüüch
Un spöölt se verdeelt up den Strand
De Sommergäst smeern sik de Smeer up den Rüüg
Denn Öl hölpt bi Sünnschien vör'n Brand

De Kurbaddirektor hett Aktien up Öl
Un as he den Ölteppich süht
Befallt em miteens so en wohlig Geföhl
""All mien!"" röppt he, rein ut de Tüüt

Hebbn wi nich lehrt
Siet dat wi borrn:
Keen dar good smeert
Ward ok good fahrn!

Paar Forschers sünd wiß, dat de Nordsee noch kippt
Wieldat de Balanc' nich mehr stimmt
Se spinnen, tomal jede Kindskopp begrippt
Dat Öl jümmer bavenup swümmt

Woto dat Palavern von ölige Pest
Un Angrip up Water un Flur?
Keen hüüt op sich höllt, hett Smeer an de West
Uns Rohöl is reine Natur!

Hebbn wi nich lehrt
Siet dat wi borrn:
Keen dar good smeert
Ward ok good fahrn!","https://genius.com/Hannes-wader-reine-natur-lyrics","Released 2014
Writers

    
      Hannes Wader"
"9","Hannes Wader","Im Garten","Trotz alledem cd1","Habe nun seit vielen Stunden
Meine Liebste nicht geseh'n
Sie hat sich ein Buch genommen
Wollte in den Garten geh'n

Doch ich kann sie nirgends finden
Dort, wo sie noch eben saß
Liegen nun gebroch'ne Blumen
Und das Buch im hohen Gras

Heute zeigt sich keine Wolke
Und noch weht kein kühler Wind
Liebste komm, soll es doch regnen
Wenn wir zusammen sind

Und nun höre ich sie singen
Schon winkt sie mir zu und lacht
Hat in Mohn und Margeriten
Längst ein Bett für uns gemacht","https://genius.com/Hannes-wader-im-garten-lyrics","Released 2014
Writers

    
      Hannes Wader"
"10","Hannes Wader","Es ist an der Zeit","Trotz alledem cd1","[Strophe 1]
Weit in der Champagne im MittsommergrünDort wo zwischen Grabkreuzen Mohnblumen blüh'nDa flüstern die Gräser und wiegen sich leichtIm Wind, der sanft über das Gräberfeld streicht
Auf deinem Kreuz finde ich toter SoldatDeinen Namen nicht, nur Ziffern und jemand hatDie Zahl neunzehnhundertundsechzehn gemaltUnd du warst nicht einmal neunzehn Jahre alt

[Refrain]
Ja, auch Dich haben sie schon genauso belogen
So wie sie es mit uns heute immer noch tun
Und du hast ihnen alles gegeben:
Deine Kraft, Deine Jugend, Dein Leben

[Strophe 2]
Hast du, toter Soldat, mal ein Mädchen geliebt?
Sicher nicht, denn nur dort, wo es Frieden gibt
Können Zärtlichkeit und Vertrauen gedei'n
Warst Soldat, um zu sterben, nicht um jung zu sein
Vielleicht dachtest du Dir, ich falle schon bald
Nehme mir mein Vergnügen, wie es kommt, mit Gewalt
Dazu warst du entschlossen, hast dich aber dann
Vor dir selber geschämt und es doch nie getan

[Refrain]

[Strophe 3]
Soldat, gingst du gläubig und gern in den Tod?
Oder hast zu verzweifelt, verbittert, verroht
Deinen wirklichen Feind nicht erkannt bis zum Schluss?
Ich hoffe, es traf dich ein sauberer Schuss
Oder hat ein Geschoß Dir die Glieder zerfetzt
Hast du nach deiner Mutter geschrien bis zuletzt
Bist Du auf Deinen Beinstümpfen weitergerannt
Und dein Grab, birgt es mehr als ein Bein, eine Hand?

[Refrain]

[Strophe 4]
Es blieb nur das Kreuz als die einzige Spur
Von deinem Leben, doch hör' meinen Schwur
Für den Frieden zu kämpfen und wachsam zu sein:
Fällt die Menschheit noch einmal auf Lügen herein
Dann kann es gescheh'n, daß bald niemand mehr lebt
Niemand, der die Milliarden von Toten begräbt
Doch finden sich mehr und mehr Menschen bereit
Diesen Krieg zu verhindern, es ist an der Zeit

[Refrain]","https://genius.com/Hannes-wader-es-ist-an-der-zeit-annotated","Released 2014
Writers

    
      Hannes Wader"
