"","artist","title","album","text","url","metadata"
"1","Herbert Grönemeyer","Nach mir","Bleibt alles anders","[Strophe I:]
Du setzt mich aus auf ein dunkles Meer
Schwimmst nicht mehr hinterher
Hast dich weggestohlen, hast dich weggestohlen
Harte Seele, blonder Blick
Feiger Abgang, fieser Trick
Kein Prozeß, kein Wieso, kein Prozeß, kein Wieso
Läßt mich ertrinken
Ertrinken im Strudel
Läßt mich zurück

[Chorus:]
Für dein Leben nach mir wünsch' ich dir viel Pech
Ich hoffe es geht dir richtig schlecht
In deinem Leben nach mir sollst du dahinvegetier'n
Ich wünsch' dir das Grauen an den Hals und die Pest

[Strophe II:]
In Gedanken an dich fahr' ich Autos zu Schrott
Paß' auf, daß mein Leben nicht aus den Adern tropft
Bin traurig leide nicht, bin traurig, leide nicht
Du hättest es so gern geseh'n, mein ganz langsames Untergeh'n
Mein letztes Gurgeln nach dir, mein letztes Gurgeln nach dir
Wünsch' dich überall hin, überall hin nur nie mehr zu mir

[Chorus]

[Strophe III:]
Und ist dein Stern erst gesunken, und gibt der Boden unter dir nach
Dann seh' ich dir zu beim Untergehn, meinen Namen auf deinen Lippen
Doch dann ist es zu spät

[Chorus]","https://genius.com/Herbert-gronemeyer-nach-mir-lyrics","Released 1998"
"2","Herbert Grönemeyer","Bleibt alles anders","Bleibt alles anders","[Strophe I:]
Thron über Konvention, das Leben kommt von vorn
Stehst unter einem hellen Stern, einem hellen Stern
Verträum dich in deinem Traum
Verlass dich auf Zeit und Raum
Du gehörst zum festen Kern
Trockne die Tränen
Zieh deine Kreise, der stille Weg
Folg dem Sonnenaufgang leise
Tanz den Tanz auf dünnem Eis
Fordere das große Gefühl
Durchquer den Hades zum Ziel
Surf auf dem Scheitelpunkt des Lichts
Erwarte viel, lebe für den Transit
Zwing das wahre Geschick
Ein Silberstreif am Horizont
Stell die Uhr auf null
Wasch den Glauben im Regen
Die Sintflut ist verebbt
Die Sünden vergeben
Kein Ersatz, deine Droge
Bist du, bist du

[Chorus:]
Es gibt viel zu verlieren, du kannst nur gewinnen
Genug ist zu wenig oder es wird so wie es war
Stillstand ist der Tod, geh voran, bleibt alles anders
Der erste Stein fehlt in der Mauer
Der Durchbruch ist nah

[Strophe II:]
Kommt der Moment, kommt die Zeit
Wasser wird zu Wein
Und die Sekunden bleiben stehen auf dem Punkt
Zauberer verraten ihre Tricks
Auf allen Würfeln fällt die Sechs
Die Limits brechen weg
Monster verkriechen sich, die Schätze gehoben
Du steigst nach unten, du fällst nach oben
Ohne Netz dein Placebo bist du, bist du

[Chorus]

[Bridge:]
Der Durchbruch ist nah, der Durchbruch ist nah
Der Durchbruch ist nah, kein Ersatz
Deine Droge bist du, bist du

[Chorus]

[Outro:]
Es gibt viel zu verlieren, du kannst nur gewinnen
Genug ist zu wenig, genug ist zu wenig
Oder es wird so wie es war
Leb den Transit, zwing das wahre Geschick
Durchquer den Hades zum Ziel
Hoffnung als Gegengewicht, es gibt viel zu verlieren","https://genius.com/Herbert-gronemeyer-bleibt-alles-anders-lyrics","Released 1998"
"3","Herbert Grönemeyer","Fanatisch","Bleibt alles anders","[Strophe I:]
Hörst du ein leichtes kratzen an der tür
Das stöhnen auf dem hausflur, das gilt dir
Du kannst dir sicher sein, dein schrein bleibt ungehört
Niemand, der uns stört
Stellen sich deine nackenhaare hoch
Wirst mich nie los, ich find' dich doch
Steht vor angst auf deiner stirn dir der schweiß
Hab' ich mein ziel erreicht

[Chorus:]
Ich find's wunderbar, daß du mich nicht siehst
Ich find's wunderbar, daß du dich vor mir verkriechst
Ich genieße unendlich das gefühl
Ich begehr' dich fanatisch viel

[Strophe II:]
Verbarrikadier' dich, laß' mich bloß nicht an mein ziel
Wähl' den notruf, bring' die polizei mit ins spiel
Schreib' mit lippenstift an dein fenster s.O.S
Hab' als trauma dich besetzt
Hast keine vorstellung, wie zäh und scharf das brennt
Das verzehren und daß du mich nicht kennst
Ein phantom, das vor sehnsucht zerschmilzt
Das ist alles, was ich will

[Chorus]
Ich find's wunderbar, daß du mich nicht siehst
Ich find's wunderbar, daß du dich vor mir verkriechst
Ich genieße unendlich das gefühl
Ich begehr' dich fanatisch viel

[Strophe IV:]
Liebe ist leicht, doch heimlich ist es einfach unerreicht
Und kein feuer, keine kohle kann brennen so heiß
Ich tanz' für dich, sterb' für dich
Ich würd' alles für dich tun
Laß' mich bloß keinen millimeter näher
Wir kommen zusammen früher oder später
Verstoß' mich, solang dir deine starke sekunde bleibt
Du kannst kreischen und schrei'n
Du kannst dich nicht befrei'n

[Chorus]
Ich find's wunderbar, daß du mich nicht siehst
Ich find's wunderbar, daß du dich vor mir verkriechst
Ich genieße unendlich das gefühl
Ich begehr' dich fanatisch viel","https://genius.com/Herbert-gronemeyer-fanatisch-lyrics","Released 1998"
"4","Herbert Grönemeyer","Letzte Version","Bleibt alles anders","[Strophe I:]
Wir sind im raum der leben heißt
Zweiwegetraum getrennt verreist
Vergiss meinen namen
Verschenk' dein gefühl
Erfinde und erfahre mich
Nimm mich und bewahre mich
Lös' mich auf
Der weg ist das ziel
Keine tränen
Keine gewalt
Nichts ist richtig
Nichts ist falsch
Es ist leider nichts
Leider nichts umsonst
Jede illusion hat ihren preis
Jeder rausch ist nur auf zeit

[Chorus:]
Die letzte version vom paradies
Wenn du auch dabei lügst
Trag' noch einmal den heiligenschein
Küss' mich und lass' mich allein

[Strophe II:]
Spiel' schicksal ohne soll und plan
Versprich', was du nicht halten kannst
Setz' mich zusammen
Sieh', was keiner sieht
Vernichte und verschleuder' mich
Verpfusche und vergeude mich
Schwör' jeden verlogenen eid
Tausend wünsche ungeträumt
Tausend fragmente ungereimt
Nur ein hauch
Nur ein hauch von nichts
Erpress' mich mit einem platz auf deinem thron
Engel der sünde
Engel der passion

[Chorus]

[Strophe III:]
Heb' mich irgendwo auf
In irgendeiner zelle in deinem kreislauf
Denk' auf deiner zeitreise 'mal an mich
Vielleicht bleibt was unterm strich
Vielleicht findest du mich zwischen zeilen
Zwischen zeilen irgendwo

[Chorus]","https://genius.com/Herbert-gronemeyer-letzte-version-lyrics","Released 1998"
"5","Herbert Grönemeyer","Ich dreh mich um dich","Bleibt alles anders","[Strophe I:]
Wenn du im trüben fischst
Und es tropft in dein gemüt
Wenn alle geheimnisse verraten sind
Und du dich verloren fühlst

[Chorus:]
Ich dreh mich um dich[x2]
Stell mich vor den bösen blick
Deine tränen werd ich übernehmen
Alle qualen, alle foltern überstehen
Auch wenn du greinst
Du dich kasteist
Auch wenn du haderst
Du dich zerreist
Wenn sich alles verdunkelt
Bring ich dich durch die nacht

[Strophe II:]
Wenn der kompass nur himmel und hölle zeigt
Alle sinne verschwimmen
Wenn du dir nicht vergeben kannst
Keiner deine feuer löscht

[Chorus:]
Ich dreh mich um dich[x2]
Stell mich vor den bösen blick
Deine tränen werd ich übernehmen
Alle qualen, alle foltern überstehn
Auch wenn du greinst
Du dich kasteist
Auch wenn du haderst
Du dich zerreist
Auch wenn du verzweifelst, gehe ich neben dir

[Strophe III:]
Was keiner weiß, find ich für dich raus
Aus jedem labyrinth, aus jeder erpressung löse ich dich aus
Beseitige jeden fluch, lots dich durchs tiefste tal
Schneid dich vom marterpfahl, schneid dich vom marterpfahl

[Chorus]","https://genius.com/Herbert-gronemeyer-ich-dreh-mich-um-dich-lyrics","Released 1998"
"6","Herbert Grönemeyer","Energie","Bleibt alles anders","[Strophe I:]
Er will deine klasse, deinen geist, deine chemie
Stück deiner zukunft, dein lachen, charme, deine magie
Dein selbstvertrau'n, deinen sex und deinen gott
Deine tips, deine tricks, deine formel, dein konzept
Er will deine jugend, deine transparenz, sein wie du
Deine hoffnung, dein zauber, deine glut
Will deine ideen, will hinter deinem spiegel steh'n
Hinter dein geheimnis sehen

[Chorus:]
Ihn berauscht dein gewisses etwas, dein ego, dein genie
Er füllt sich sein depot mit deiner kraft und phantasie
Er ist dein windschattenfahrer, sitzt dir im genick
Schlimmer als 'ne rattenplage, er ist dein parasit

[Strophe II:]
Geht an deine träume, geht an deine batterie
Knackt deinen automaten, zockt 'ne packung energie
Labert dich auf reserve und checkt dich ohne unterlaß
Jeden schritt, jeden tritt, er schneidet deine filme mit
Klebt an deinen lippen, nagt an deinem verstand
Will sich deine wahrheit ziehen

[Chorus]

[Bridge:]
Jeden schritt, jeden tritt, er schneidet deine filme mit

[Chorus]","https://genius.com/Herbert-gronemeyer-energie-lyrics","Released 1998"
"7","Herbert Grönemeyer","Neue Welt","Bleibt alles anders","[Strophe I:]
Spring' auf den letzten zug auf
Richtung unendlichkeit geradeaus
Überhol' den jüngsten tag dabei
Setz' die belohnung für dich herauf
Ras' durch träume, glauben, sehnsucht
Such' den ultimativen rausch
Laß' was gestern war morgen sein
Will nur noch eins
Verbrenn' die farbigen broschüren
Zünd' dein hochglanzfeuer an
Seh' die surrogate zerschmelzen
Tag für tag geht auf in flammen
Dich als rausch in überdosen
Zieh' unter alles einen strich
Laß' mich auf kein neues ergebnis ein
Will nur noch eins

[Chorus:]
Bin nur für dich geblieben
Für nichts und wieder dich
Hab' sonst hier nichts zu verlier'n
Bist mein sinn, mein anderes ich

[Strophe II:]
Halt' die zweifel in den fahrtwind
Leg' den augenblick auf eis
Verschließ' die augen vor der wahrheit
Bis ich nichts, gar nichts mehr weiß
Klopf' die letzten leeren sprüche
Mach' mich leise aus dem staub
Mach' mir auf nichts mehr einen reim
Nur noch eins

[Chorus]

[Strophe III:]
Leg' die policen auf die seite
Geb' die kontrolle aus der hand
Fliehe befreit in ein luftloch
Schmeiße goldstücke über den rand
Leg' bei den englein ein gutes wort ein
Setz' die elemente außer kraft
Nichts muß mehr funktionieren
Feier' den abend schon vor dem tag
Stell' die signale auf unendlich
Verschleuder' mein letztes geld
Alle ausgänge sind verschlossen
Forme mir eine zweite welt
Geb' den löffel ab zum versilbern
Brauche nichts für die neue zeit
Alle jagdgründe sind ergründet
Hab' dich, bin reich","https://genius.com/Herbert-gronemeyer-neue-welt-lyrics","Released 1998"
"8","Herbert Grönemeyer","Selbstmitleid","Bleibt alles anders","[Strophe I:]
Du hast keine optik
Ausstrahlung gleich null
Nicht 'mal deine schultern sind breit
Dein dreitagebart macht dich auch nicht richtig hart
Tu' dir leid, tu' dir leid, tu' dir leid
Dein badezimmerspiegel schaltet auf blind
Dein anblick ist ihm zu seicht
Den entscheidenden elfmeter hast du sinnlos vergeigt
Tu' dir leid, tu' dir leid, tu' dir leid

[Chorus:]
Du stehst im regen, und du wirst nicht naß
Es regnet an dir vorbei
Über deinen lieblingswitz hat wieder keiner gelacht
Tu' dir leid, tu' dir leid, tu' dir leid

[Strophe II:]
Als besonderes merkmal steht in deinem paß
Nur: blaß und weichei
Wenn du den zoll passierst, wirst du nie kontrolliert
Tu' dir leid, tu' dir leid, tu' dir leid

[Chorus:]
Du stehst im regen, und du wirst nicht naß
Es regnet an dir vorbei
Du hast 'nen schlechten empfang – und das schon wochenlang
Tu' dir leid, tu' dir leid, tu' dir leid

[Strophe III:]
Alle türen zugeschlagen, man feiert ohne dich
Nur der katzenjammer bleibt, keiner kann dich ertragen
Du bist einfach ein nichts, keiner, der sich über dich freut
Du kannst auf der stelle erfrier'n, keinen wird's interessier'n
Auf welcher scholle du treibst

[Chorus:]
Du stehst im regen, und du wirst nicht naß
Es regnet an dir vorbei
Selbst deine einsame insel steht in jedem prospekt
Und ist vom visumzwang befreit
Alles ist ausgehandelt, das leben schlabbert vorbei
Selbstmitleid, selbstmitleid, selbstmitleid","https://genius.com/Herbert-gronemeyer-selbstmitleid-lyrics","Released 1998"
"9","Herbert Grönemeyer","Stand der Dinge","Bleibt alles anders","[Strophe I:]
Innerer zirkel, eigene welt
In einer seifenblase, schwebend und hell
Ureigener kosmos, es kann nichts passieren
Das universum sind wir
Ein atemzug, ein traum, ein schwur
Zwei hände in einer, zwei schritte, eine spur

[Chorus:]
Stand der dinge, eine kraft
Flirren und rauschen hinter glas
Wir sind wichtig, von dir bis hier
Ankunft und abflug, und mittendrin wir

[Strophe II:]
Endloser raum, perspektiven in gold
Auf einer welle, aus der tiefe geholt
Ewiger sommer, reichweite mal zwei
Unrastiges verlangen, angekettet und frei
Tiefes alles, euphorie, zart melancholisch
Kriminelle energie, kriminelle energie

[Chorus]

[Strophe III:]
Alles leicht, leicht, vielleicht viel zu leicht
Reich, reich, vielleicht viel zu reich
Zeit, zeit, unendlich viel zeit
Alle zeit der welt
Tiefes alles, euphorie, zart melancholisch
Kriminelle energie, kriminelle energie

[Chorus]

[Outro:]
Geburt und tod, und mittendrin wir","https://genius.com/Herbert-gronemeyer-stand-der-dinge-lyrics","Released 1998"
"10","Herbert Grönemeyer","Reines Herz","Bleibt alles anders","[Strophe I:]
Verkauf meine mutter, behalt' deine seele
Setze alles auf nummer null
Geh' nur geradeaus
Schmeiße bedenken in den strom
Würg' moral, bin geklont
Tausche nähe gegen ein stück stahl
Gegen ein stück stahl
Die welt lebt nicht vom brot
Die welt ist nicht rosarot
Stell' mich zynisch in die schlange
Zahl' mit gleicher münze zurück
Die währung ist egal
Die aktien steigen, die erde bricht
Kämpf' allein, zeig' keinem mein gesicht
Bin bereit, bin bereit für den börsengang
Den börsengang
Das grinsen ist 'ne bank
Mein grinsen ist 'ne bank

[Chorus:]
Eiskalt, das herz ist eine lüge
Sprenge die gefühle, überflüssiger ballast
Eiskalt, das leben ist nur hobby
Meine eiserne lobby
Jeder für sich, erst ich
Dann lange nichts

[Strophe II:]
Kühl, stark und beredt in der welt des schnees
Jonglier' die oberflächlichkeit
Zu jeder schandtat bereit
Setzte die zeichen der zeit
Ich treib' es weiter als weit
Weiter als weit
Bestimm' die regeln in dem spiel[x2]

[Chorus]

[Strophe III:]
Bei kontakt nur liebe vielleicht
Alleine gegen den rest der welt
Keine geschichte, keine schwäche
Es ist nur der mythos der zählt, der zählt
Die aktien steigen, die erde bricht
Kämpf' allein, zeig' kein gesicht
Bin bereit für den börsengang
Für den börsengang
Mein grinsen ist 'ne bank
Das grinsen ist 'ne bank

[Chorus]

[Outro:]
Jeder für sich
Dann lange nichts
Erst ich, dann lange nichts[x2]","https://genius.com/Herbert-gronemeyer-reines-herz-lyrics","Released 1998"
