"";"artist";"title";"album";"text";"url";"metadata"
"1";"Herbert Grönemeyer";"Morgen";"Dauernd jetzt";"[1. Strophe:]
Liegen meine Sterne im Gewühl
Fangen die Tage an
Mit mir zu streiten
Sind die Grenzen längst gesetzt

Werde ich zu viel
Und ist der Weg zu mir
Irgendwann zu weit
Selbst Dir zu weit

[Refrain:]
Wirst Du morgen noch mit mir tanzen
Bleibst Du in Deiner Liebe fest
Wirst Du Dich für mich verwenden
Bestehen wir zusammen jeden Test

Untersuchst Du mit mir Horizonte
Widmest Du mir Dein Gedicht
Sind die Punkte abgeschritten
Löschst Du das Licht

[2. Strophe:]
Ich hab so oft meine Lippen riskiert
Die Welt war für mich eine einzige Enge
Ich hab vor Dir meine Wahrheiten frisiert
Du lotstest mich durch mein Gemenge

Du bist mein Vorbote
Meine Batterie, mein Betrieb
Mein Feinmatrose
Ich bin stolz, dass Du mich liebst

[Refrain]

[3. Strophe:]
Wirst Du Dich für mich verschwenden
Und vergisst einfach den Rest
Wirst Du immer bei mir liegen
Solange man uns beide lässt

Wirst Du mit mir überfliegen
Mich bejahen, wenn ich Dich frag
Noch so viel kann aus uns werden
Bis zum letzten Tag

Ich brauch keinen Schlaf
Wer wacht gewinnt
Ich schlag mich durch
Bin die Gnade los
Und für eines
Und bin für Dich bestimmt

Du lässt mich alles vergessen
Was in meinem Kopf rumsteht
Du explodierst mit mir ins Leben
Bis die Welt sich rückwärts dreht

Du lässt mich durch Deine Augen
Sehen, was ich nicht seh
Du nimmst mich in Dein Vertrauen
In Dein Gebet

[Refrain]";"https://genius.com/Herbert-gronemeyer-morgen-lyrics";"Released 2014"
"2";"Herbert Grönemeyer";"Wunderbare Leere";"Dauernd jetzt";"Die Steuer fahndet heute nicht
Die Strassen leer gefegt
Dass ich der schwarze Retter bin
Wird heute nicht belegt
Heute wird nichts gesichert
Keine Bergung in Aussicht
Heute nicht

Es ist der Spass an der Planlosigkeit
Die Lust am Risiko
Ich will gar nicht wissen,was mich morgen so einholt
Wenn der harte Regen auf mich fällt
Wasch ich mit ihm mein Gesicht
Und entscheide mich

Ich dauer jetzt,leb momentan
Heute mache ich mir keine Sorgen
Ich fass sie morgen wieder an
Leb momentan und falle frei
Es herrscht wunderbare Leere,schwerelos
Und die Welt sperrangelweit

Ich leg mich in den Wind
Schräglage über den Asphalt
Und konter jede Böe
Tanz mit der Naturgewalt
Lehne mich am Abgrund an
Damit mir nichts passiert
Ganz routiniert
Am Grat spaziern

Ich dauer jetzt,leb momentan
Heute mache ich mir keine Sorgen
Ich fass sie morgen wieder an
Leb momentan und falle frei
Es herrscht wunderbare Leere,schwerelos
Und die Welt sperrangelweit

Und vieles kann
Und vieles muss
Die Brücke ist breiter als der Fluss
Und in der Not mach ichs verkehrt

Jeder Mensch schreibt klammheimlich seine Biographie
Spielt die Hauptrolle in seinem Film
Und führt dabei Regie
Ort und Handlung sind nicht gleich
Aber gleich ist die Magie
Und die ist reich

Ich dauer jetzt,leb momentan
Heute mache ich mir keine Sorgen
Ich fass sie morgen wieder an
Leb momentan und falle frei
Es herrscht wunderbare Leere,schwerelos
Und die Welt sperrangelweit";"https://genius.com/Herbert-gronemeyer-wunderbare-leere-lyrics";"Released 2014"
"3";"Herbert Grönemeyer";"Uniform";"Dauernd jetzt";"Ich muss nicht wissen
Wer du bist
Am besten ist
Ich weiss einfach von dir nichts
Mich interessiert nicht dein Detail
Nicht was du treibst

Ich will dich nur als Mythos
Dass du bei dir bleibst
Verramsch nicht dein Etwas
Bleib fremd und stark
Im Zwielicht und Schatten
Entzieh dich dem Markt

Verteidige deine Grenzen
Du bist das was keiner sieht
Jeder Mensch braucht zum Überleben
Sein intimes Sperrgebiet

Uniform

Jeder hat ein Recht auf Ruhe
Auf Fehlerhaftigkeit
Keiner braucht ein drittes Auge
Das nicht von ihm weicht
Wenn ich mich verberge
Wird ich zum Terrorist

Alles ist überschaubar
Weil es so schön offen ist
Und wir laufen am Draht
Weil es uns nicht mehr gibt
Abhören gegen Menschenwürde
Auf einmal sind wir im Krieg

Uniform

Wir zerfledern unsre Seele
Für ein bisschen Verwunderung nur
Und wir werden zu Datensätzen
Der digitalen Diktatur
Und wir verfetten unsere köpfe
Wir überzuckern unseren Geist
Und wir zensieren unser denken
Weil der Speicher alles weiss

Dosier dich für dich
Bleib fremd und wage
Du bist so reizvoll als Idee
Nicke nur zum Schein auf alle Fragen
Bleib geheim
Dein ganz ureigener Zauber
So lange es nur geht

Uniform

Digitale Diktatur
Wir zerfledern unsre Seele
Für ein bisschen Verwunderung nur
Und wir werden zu Datensätzen
Der digitalen Diktatur
Und wir verfetten unsere köpfe
Wir überzuckern unseren Geist
Wir sind im Kampf
Mensch und Maschine
Verlacht und zerteilt
Werden unmerklich zu Gefangenen
Weil die Unbefangenheit uns weicht";"https://genius.com/Herbert-gronemeyer-uniform-lyrics";"Released 2014"
"4";"Herbert Grönemeyer";"Fang Mich An";"Dauernd jetzt";"Das Wetter klemmt
Die Gegenwart
Hält manchmal still
Gibt manchmal nach
Stellt sich quer
Stellt sich quer

Bist der Luftzug
Mein Verstand
Bist der Unfug
Mein Südseestrand
Du holst den Wind
Zum Trocknen rein
Wo du nicht bist
Will ich nicht sein

Nimm mich ein
Nimm mich heim
Wie du schwebst
Wie du wehst
Du mich trägst
Wie Du dich vergisst

Wie Du streunst
Dich verläufst
Tag und Nacht vermischst
Wie Du in mein Meer stichst
Geflissentlich

Wie du greifst
Wie du passt
Wie Du reizt
Du manipulierst
Wie Du's weißt
Du zufasst
Du mich komplettierst
Wie Du meine Welt neu vermisst
Alles für mich

Lieb mich wenig
Dafür lieb mich lang
Nimm Dir die Freiheit
Mir den Verstand
Fang mich an
Fang mich an

Du bist und bleibst
Mein Ein
Mein Streit
Bin tanzbereit
In der Regenzeit

Wie Du schwebst
Wie Du wehst
Wie Du trägst
Wie Du dich vergisst
Wie Du steunst
Dich verläufst
Tag und Nacht vermischst
Wie Du in mein Meer stichst
Alles für mich
Alles für mich

Du hast mein Land
Dauerhaft verkehrt
Haben eine Hand
Ein gemeinsames Herz
Ein Herz
Ein Herz

Wie Du raubst
Wie Du plagst
Wie Du fasst
Wie Du mich verrückst
Du Dich traust
Wie Du's wagst
Wie Du nicht erschrickst
Wie Du kämpfst
Dich verrennst
Wenn Du traurig bist

Wie Du greifst
Wie du plagst
Wie Du reizt
Du manipulierst
Wie Du's weisst
Du zufasst
Du mich komplettierst
Wie Du meine Welt neu vermisst
Dafür liebe ich Dich

Wie Du schwebst
Überlegt
Du mich trägst
Wie Du Dich vergisst
Wie Du streunst
Dich verläufst
Tag und Nacht vermischst
Wie Du in mein Meer stichst
Geflissentlich
Alles für mich";"https://genius.com/Herbert-gronemeyer-fang-mich-an-lyrics";"Released 2014"
"5";"Herbert Grönemeyer";"Roter Mond";"Dauernd jetzt";"Die Tage drehen bei
Sind bereit für den weiten Weg zurück
Der rote Mond bewegt sich klar
Reist mit, verfolgt mich stetig
Stück für Stück

Über mir
Sein Licht
Über mir
Ich entweich ihm nicht

Monate, Jahre verfahren
In der endlosen Pflicht
Stürmen getrotzt, salziger Stolz
Hart verkehrt, versehrter Verzicht

Und die Flucht
Und das Sehnen
Und das Dämmern
Das Vergehen

Und ich weiß
Und ich häng
An dem Glauben
Dass du an mich denkst
Und ich fühl
Und ich mein
Dass du irgendwo durch die Sterne scheinst

Schlaf ich noch
Bin ich wach
Bin ich laut
Bin ich schwach

Wo ist das Land
Wogt es nocht
Legen wir an
Ich wanke nach

Kein fester Boden
Ich schwanke
Alles gedämpft und blass
Dass die Träume sich ballen
Um sinnlos zu zerfallen

Und ich weiss
Und ich häng
An dem Glauben, dass du an mich denkst
Und ich fühl
Und ich mein
Dass du irgendwo durch die Sterne scheinst
Schlaf ich noch
Bin ich wach
Bin ich laut
Bin ich schwach

Und es wogt und es reisst
Und es bleibt ein rauer Stich Unendlichkeit
Und es zerrt und es beisst
Dein trauter Blick, deine Gelassenheit
Und dein ja und dein Schein
Holst du mich je wieder ein

Und ich weiss
Und ich häng
An dem Glauben
Dass du an mich denkst
Und ich fühl
Und ich mein
Dass du irgendwo durch die Sterne scheinst
Schlaf ich noch
Bin ich wach
Bin ich laut
Bin ich schwach

Wie langs noch geht
Und wie lang - und was dann am Ende steht";"https://genius.com/Herbert-gronemeyer-roter-mond-lyrics";"Released 2014"
"6";"Herbert Grönemeyer";"Der Löw";"Dauernd jetzt";"Der Löw war los
Sie war grandios
Und endlich wars ihre Zeit
Geschliffen, gegriffen
Der Goldene Tross
Und dieser Weg, der war nicht leicht";"https://genius.com/Herbert-gronemeyer-der-low-lyrics";"Released 2014"
"7";"Herbert Grönemeyer";"Verloren";"Dauernd jetzt";"Sie wog ihn in lauer Sicherheit
Ging ihm still aus dem Weg
Es gab keine Schuld, es gab keinen Streit
Sie wurden lautlos beigelegt
Sie haben lange geraucht
Sie haben endlos erzählt
Sie fanden kein wie, kein warum
Sie haben bewusst falsche Fragen gestellt
Ihre Worte stellten sich stumm

Verloren, verloren
Gibt es kein von vorn
Verloren

Er hat schon früh in Ihre Karten gesehen
Ihre Spielertricks einsam durchschaut
Sie ließen es einfach um sich geschehen
Sie haben sich nie was zu sagen getraut
Sie setzten nie nach, kein eins gegen eins
Sie sahen sich nicht an, sie sahen fern
Sie haben sich unbemerkt ausgeliebt
Und hatten sich plötzlich nur noch gern

Verloren, verloren
Und ist da nicht ein Morgen mehr
Verloren

Sein Lachen klagt nach, sie liefen auf Grund
Es war keine Frage der Zeiten
Sie fühlt ihre Schmach
Er hackt nicht nach
Sie ging viel zu schnell immer weiter
Viel zu weit

Verloren, verloren
Und ist da nicht ein Morgen mehr
Verloren

Verloren, verloren
Und ist da nicht ein Morgen mehr
Verloren";"https://genius.com/Herbert-gronemeyer-verloren-lyrics";"Released 2014"
"8";"Herbert Grönemeyer";"Unser Land";"Dauernd jetzt";"Drauf, drin – ich will nicht woanders hin
Neu, deutsch – gemeinsam der Laden läuft
Die Augen an für den Nebenmann

Weit, nah – heute geht’s mir wunderbar
Scharf rechts – sofort geht’s mir wieder schlecht
Nur Plan und Angst
Glücklich, der aus der Reihe tanzt

Es ist allerhand hier zu sein
So ein schönes Land – ganz allgemein
Die wahre Tücke steckt im Detail
Wir verlieren uns schnell im Einerlei
Wir sind nicht verdammt hier zu sein
Dies ist unser Land, deins und meins
Es ist ein vielschichtiges Revier
Wir mögen es wie andere ihrs

Anstand – wer gehört schon gerne an den Rand
Arm, reich – die Schere auseinanderreißt
Ob hoch, ob tief – der Segen hängt schief

Es ist allerhand hier zu sein
So ein schönes Land – ganz allgemein
Die wahre Tücke steckt im Detail
Wir verlieren uns schnell im Einerlei
Wir sind nicht verdammt hier zu sein
Dies ist unser Land, deins und meins
Es ist ein vielschichtiges Revier
Wir mögen es wie andere ihrs

Lang, breit – wir verliern uns in Gleichgültigkeit
Stumpf, platt – wir bügeln alle Kratzer glatt
Schwarz, rot – stimulierend wie Knäckebrot

Es ist allerhand hier zu sein
So ein schönes Land – ganz allgemein
Die wahre Tücke steckt im Detail
Wir verlieren uns schnell im Einerlei
Wir sind nicht verdammt hier zu sein
Dies ist unser Land, deins und meins
Dies ist ein vielschichtiges Revier
Wir mögen es wie andere ihrs

Es ist auch schon leicht hier zu sein
Trotz Friede, Freude, Selbstzufriedenheit
Es bleibt Liebe auf den zweiten Blick
Auf nach vorn, schau auch zurück";"https://genius.com/Herbert-gronemeyer-unser-land-lyrics";"Released 2014"
"9";"Herbert Grönemeyer";"Ich Lieb Mich Durch";"Dauernd jetzt";"Wieder fällt derselbe Regen
Es wird windig
Es wird grau
Du denkst dich durch durchs denken
Willst alles genau durchschaun
Und den Regenbogen
Wirst du wieder mal nicht sehn

Warum raubt er mir die Ruhe
Was verbindet ihn mit mir
Sind da nicht viele kleine Lügen
Weil ich seine Gefühle nicht kapier
Und du grübelst
Du grübelst dich entzwei

Oh oh oh, ich lieb mich durch zu dir
Oh ganz leicht
Oh oh oh ich nehm die Furcht von dir
Durch jede Zeit

Es lärmt unten auf der Straße
Ich glaub, da küssen sie sich schon
Du klärst ungeklärte Fragen
Ohne mich am Telefon
Und ich sitz hier
Halt mein Herz in der Hand

Oh oh oh, ich lieb mich durch zu dir
Oh ganz leicht
Oh oh oh ich nehm die Furcht von dir
Durch jede Zeit
In jeder Zeit

Jetzt scheint auch noch die Sonne
Und die Sinne werden hell
Du bist wieder nicht zu finden
Dir geht's zu schnell
Hast dich irgendwo verkrochen
Weil dir irgendwas missfällt

Es sind die letzten Abendstrahlen
Ich geb's auf zur guten Nacht
Erklär dir zum tausendsten male
Wie sehr glücklich du mich machst
Und du zweifelst
Und du zweifelst noch im Schlaf

Eigentlich sind wir bereits im Himmel
Im sechsten, siebten, wo du willst
Du redest uns um Kopf und Kragen
Ich sitz da und lausche still
Es ist ganz einfach
Aber einfach nicht für ich

Oh oh oh, ich lieb mich durch zu dir
Oh ganz leicht
Oh oh oh ich nehm die Furcht von dir
Durch jede Zeit
Du wirst sehen in jeder Zeit";"https://genius.com/Herbert-gronemeyer-ich-lieb-mich-durch-lyrics";"Released 2014"
"10";"Herbert Grönemeyer";"Feuerlicht";"Dauernd jetzt";"Hilf mir, dass mein Sturm sich legt
Dass meine Flucht endet und weicht
Leih mir einen Mantel, einen Weg
Dass mir eine Richtung bleibt
Und halt mich warm
Mit deinem Feuerlicht
Und halt mich warm
Und vergiss mich nicht

Ich hab nichts mehr zu verlieren
Wenn ich nicht schaff werd ich zur Last
Such einen Platz in deinem Quartier
Und nicht was du gespart hast
Nur etwas Halt in dem Dickicht
Etwas Halt und sonst nichts

Nur eine Minute
Ruhig stehen
Nur eine stille Nacht
Die sich kümmert, mich bewacht
Die um mich weiß
Und nicht schweigt

Hast du noch Liebe irgendwo
Steht vielleicht ein bisschen rum?
Ich bin der ungebetene Gast
Zersplittert und verstummt
Mein Ass im Ärmel ist durchnässt
Mein Ass im Ärmel ist mein letzter Rest

Nur eine Minute
Ruhig stehen
Nur eine stille Nacht
Die sich kümmert, mich bewacht
Die um mich weiß
Und nicht schweigt

Nur eine Minute
Ruhig stehen
Nur eine stille Nacht
Die sich kümmert,mich bewacht
Die um mich weiß
Und nicht schweigt

Ich such keine grüne Wiese
Suche einen sicheren Platz
Für meinen Ideen und meine Kraft
Eine Hand

Nur eine Minute
Ruhig stehen
Nur eine stille Nacht
Die sich kümmert, mich bewacht
Die um mich weiß
Und nicht schweigt";"https://genius.com/Herbert-gronemeyer-feuerlicht-lyrics";"Released 2014"
