"","artist","title","album","text","url","metadata"
"1","Herbert Grönemeyer","Musik nur, wenn sie laut ist","Gemischte gefuhle","[Strophe 1]
Sie sitzt den ganzen Tag auf ihrer Fensterbank
Lässt ihre Beine baumeln zur Musik
Der Lärm aus ihrem Zimmer macht alle Nachbarn krank
Sie ist beseelt, lächelt vergnügt

Sie weiß nicht, dass der Schnee lautlos auf die Erde fällt
Merkt nichts vom Klopfen an der Wand

[Refrain]
Sie mag Musik nur, wenn sie laut ist
Das ist alles, was sie hört
Sie mag Musik nur, wenn sie laut ist
Wenn sie ihr in den Magen fährt
Sie mag Musik nur, wenn sie laut ist
Wenn der Boden unter den Füßen bebt
Dann vergisst sie, dass sie taub ist

[Strophe 2]
Der Mann ihrer Träume muss ein Bassmann sein
Das Kitzeln im Bauch macht sie verrückt
Ihr Mund scheint vor lauter Glück still zu schrein
Ihr Blick ist der Welt entrückt

Ihre Hände wissen nicht, mit wem sie reden solln
Es ist niemand da, der mit ihr spricht

[Refrain]
Sie mag Musik nur, wenn sie laut ist
Das ist alles, was sie hört
Sie mag Musik nur, wenn sie laut ist
Wenn sie ihr in den Magen fährt
Sie mag Musik nur, wenn sie laut ist
Wenn der Boden unter den Füßen bebt
Dann vergisst sie, dass sie taub ist

[Refrain]
Sie mag Musik nur, wenn sie laut ist
Das ist alles, was sie hört
Sie mag Musik nur, wenn sie laut ist
Wenn sie ihr in den Magen fährt
Sie mag Musik nur, wenn sie laut ist
Wenn der Boden unter den Füßen bebt
Dann vergisst sie, dass sie taub ist

Sie mag Musik nur, wenn sie laut ist
Das ist alles, was sie hört
Sie mag Musik nur, wenn sie laut ist
Wenn sie ihr in den Magen fährt
Sie mag Musik nur, wenn sie laut ist
Wenn der Boden unter den Füßen bebt
Dann vergisst sie, dass sie taub ist

Sie mag Musik nur, wenn sie laut ist
Das ist alles, was sie hört
Sie mag Musik nur, wenn sie laut ist
Wenn sie ihr in den Magen fährt
Sie mag Musik nur, wenn sie laut ist","https://genius.com/Herbert-gronemeyer-musik-nur-wenn-sie-laut-ist-lyrics","Released September 1, 1983
Producers

    
      Edo Zanki & Herbert Grönemeyer
Writers

    
      Herbert Grönemeyer, Stephan Sulke & Werner Bohl"
"2","Herbert Grönemeyer","Kaufen","Gemischte gefuhle","[Strophe 1]
Ich hab schon alles, ich will noch mehr
Alles hält ewig, jetzt muss 'was Neues her

Ich könnt' im Angebot ersaufen
Mich um Sonderposten raufen
Hab' diverse Kredite laufen, oh, was geht's mir gut

[Refrain]
Oh, ich kauf' mir was
Kaufen macht so viel Spaß
Ich könnte ständig kaufen geh'n
Kaufen ist wunderschön
Ich könnte ständig kaufen geh'n
Kaufen ist wunderschön
Ich kauf', ich kauf'
Was, ist egal

[Strophe 2]
Hat das Fräulein dann bei mir abkassiert
Was jetzt meins ist, schon nicht mehr interessiert

Bin ich erst im Kaufrausch
Frag' ich gleich nach Umtausch
Weil ich an sich nichts brauch', kaufen tut gut

[Refrain]
Oh, ich kauf' mir was
Kaufen macht so viel Spaß
Ich könnte ständig kaufen geh'n
Kaufen ist wunderschön
Ich könnte ständig kaufen geh'n
Oh, yeah, Kaufen ist wunderschön
Ich kauf', ich kauf'
Was, ist egal
Ich kauf', ich kauf'
Was, ist egal
Oh yeah, yeah, yeah, oh

[Bridge]
Vor lauter Augenweiden
Kann ich mich nicht entscheiden
Was muß ich Qualen leiden, oh, was soll ich tun

[Refrain]
Oh, ich kauf' mir was
Kaufen macht so viel Spaß
Ich könnte ständig kaufen geh'n
Kaufen ist wunderschön
Ich könnte ständig kaufen geh'n
Kaufen ist wunderschön
Ich kauf', ich kauf'
Was, ist egal
Ich kauf', ich kauf'
Was, ist egal

Oh, ich kauf' mir was
Kaufen macht so viel Spaß
Ich könnte ständig kaufen geh'n
Kaufen ist wunderschön
Ich könnte ständig kaufen geh'n
Kaufen ist wunderschön
Ich kauf', ich kauf'
Was, ist egal
Ich kauf', ich kauf'
Was, ist egal

[Outro]
Oh yeah, yeah, yeah, oh
Leih mir Geld
Leih mir Geld, ich kauf dir was
Und dir was und mir was
Oh yeah, oh

Oh Mama, Mama, Mama, Mama, Mama, Mama, Mama
Mama gib mir Geld, ich kauf dir was
Oh Mama, dir was und mir was
Und Papa und Mama
Und Bruder und Schwester
Und Opa und Onkel
Ich kauf euch allen was
Oh yeah, yeah, yeah, oh","https://genius.com/Herbert-gronemeyer-kaufen-lyrics","Released September 1, 1983
Producers

    
      Edo Zanki & Herbert Grönemeyer
Writers

    
      Herbert Grönemeyer, Stephan Sulke & Werner Bohl"
"3","Herbert Grönemeyer","Komm zurück","Gemischte gefuhle","[Strophe 1]
Im warmen Hauch deiner Liebe
Lag ich wie im Sommerwind
Ein violettes Meer
Deine Zärtlichkeiten, das waren Zeiten

Irgendwo – ein Meer aus Farben
Irgendwo – im Hügelraum
Irgendwo – im Nichts der Narben

[Strophe 2]
Wenn ein neuer Tag vertan
Eine neue Nacht vergeben
Wenn ein neues Spiel verspielt
Eine neue Liebe ausgeliebt

Du bist mir so gegenwärtig
So vertraut, so Wirklichkeit
Du bringst es immer wieder fertig
Mich zu beherrschen nach so langer Zeit

[Refrain]
Komm zurück, ich liebe dich
Bleib' doch weg, ist mir auch egal
Du bist mir zu nah
Liebe, dieses klebrige Wort
Oh, komm zurück, ich liebe dich
Bleib' doch weg, ist mir auch egal
Du bist mir zu nah
Liebe, dieses klebrige Wort

[Strophe 3]
Es gab immer nur ein zusammen
Doch dann war da doch der Tag
Dass wir auseinanderkamen
So wie ein Blitz auf Donnerschlag

So wie die Zeit, als wir noch glaubten
Dass eine Sommerphantasie ein leichte Spiel sei
Für uns Turteltauben
Und ein Bereuen gibt es nie

[Refrain]
Oh, komm zurück, ich liebe dich
Bleib' doch weg, ist mir auch egal
Du bist mir zu nah
Liebe, dieses klebrige Wort

Oh, komm zurück, ich liebe dich
Bleib' doch weg, ist mir auch egal
Du bist mir zu nah
Liebe, dieses klebrige Wort","https://genius.com/Herbert-gronemeyer-komm-zuruck-lyrics","Released September 1, 1983
Producers

    
      Edo Zanki & Herbert Grönemeyer
Writers

    
      Herbert Grönemeyer, Stephan Sulke & Werner Bohl"
"4","Herbert Grönemeyer","Kadett","Gemischte gefuhle","[Strophe 1]
Ich träum' vom Opel Kadett
Nur schlicht als Coupé
Den ich dann selbst ausstatten darf
Frei nach eigener Idee

Zuerst werden rundum die Scheiben
Mit bunten Bommeln gerahmt
Geflochtene Rückenstützen auf die Sitze
Damit das Kreuz nicht erlahmt

[Strophe 2]
Das Kissen mit der Autonummer
Von meiner Großmama gestickt
Kommt direkt neben den Dackel
Der mit dem Kopf unaufhörlich nickt

Und als Aircondition
Hab' ich einen Propeller ans Cockpit geklebt
Er macht den Wagen drei Kilometer schneller
Größte Hitze wird überlebt

[Refrain]
Susi ist viel schärfer als wie Gabi und Marie
Und wenn ich eine will, ja dann will ich nur sie
Und auch, wenn sie mich noch so sehr drängte
Mit ihr ging ich nicht ins Bett
Denn Heinzken ist noch viel schärfer
Und Heinz, das ist mein Kadett

[Strophe 3]
Silberne Plastikaufsätze auf die Felgen
Schwarze Rallyestreifen auf zartlila Lack
Mit ihnen und einer Fünfklangfanfare
Wird die Straße frei gemacht

Neben Lenkradfell noch ein Tannenbaum
Der sich zu Weihnachten beleuchten lässt
Und schließlich mach' ich noch hinten
Das Schild ""Anfänger"" fest

[Refrain]
Susi ist viel schärfer als wie Gabi und Marie
Und wenn ich eine will, ja dann will ich nur sie
Und auch, wenn sie mich noch so sehr drängte
Mit ihr ging ich nicht ins Bett
Denn Heinzken ist noch viel schärfer
Und Heinz, das ist mein Kadett

Susi ist viel schärfer als wie Gabi und Marie
Und wenn ich eine will, ja dann will ich nur sie
Und auch, wenn sie mich noch so sehr drängte
Mit ihr ging ich nicht ins Bett
Denn Heinzken ist noch viel schärfer
Und Heinz, das ist mein Kadett","https://genius.com/Herbert-gronemeyer-kadett-lyrics","Released September 1, 1983
Producers

    
      Edo Zanki & Herbert Grönemeyer
Writers

    
      Herbert Grönemeyer, Stephan Sulke & Werner Bohl"
"5","Herbert Grönemeyer","Moccaaugen","Gemischte gefuhle","[Strophe 1]
Ich sah dich und es war die Liebe
Wie man so sagt, auf einen Blick
Doch jetzt bin ich des Schlafens müde
Ich hasse ihn, den nächsten Fick

Ich habe Angst vor deinen Händen
Vor deinem Mund, vor deinem Blick
Du bist Plakat an meinen Wänden
Du bist der Dolch mir im Genick

[Refrain]
Ich hab' genug von deinen Moccaaugen
Ich hab' genug von dir, Cherie
Ich hab' es satt, mich weiter auszulaugen
Ich hab' es satt und c'est la vie

[Strophe 2]
Du warst die Inbrunst aller Brünste
Ich war das Fleisch in deinem Fleisch
Du Königin der Pornokünste
Und ich dein Liftboy, jung und weich

Von ganz weit her hör' ich dich rufen
Zum letzten Mal, nun mach' doch auf
Doch all den Monstern, die dich schufen
Mach' ich nie mehr die Türe auf

[Refrain]
Ich hab' genug von deinen Moccaaugen
Ich hab' genug von dir, Cherie
Ich hab' es satt, mich weiter auszulaugen
Ich hab' es satt und c'est la vie

[Strophe 3]
Du kommst herein und siehst mich pendeln
Mit einem Strick um meinen Hals
Jetzt ist es aus mit zartem Tändeln
Ich liebe dich und all den Schmalz

Zum letzten Mal fühl' ich es kommen
Fühl' wie's mir in die Hose geht
Hab' auch das Leben mir genommen
So weiß ich doch, dass er noch steht

[Refrain]
Ich hab' genug von deinen Moccaaugen
Ich hab' genug von dir, Cherie
Ich hab' es satt, mich weiter auszulaugen
Ich hab' es satt und c'est la vie
Ich hab' es satt und c'est la vie","https://genius.com/Herbert-gronemeyer-moccaaugen-lyrics","Released September 1, 1983
Producers

    
      Edo Zanki & Herbert Grönemeyer
Writers

    
      Herbert Grönemeyer, Stephan Sulke & Werner Bohl"
"6","Herbert Grönemeyer","Etwas Warmes","Gemischte gefuhle","Sag mal Ohrring, wieso
Wohnst du ständig auf dem Bahnhofsklo
Und bist du einer von denen
Die sich an Kindern vergehen?
Erklär mir mal ganz genau
Wie kommst du überhaupt klar so ganz ohne Frau
Tu nicht so cool
Du bist doch wohl schwul
Oder seh' ich das falsch?
Versprüh nicht soviel
Tuntenappeal
Sprich dich ruhig aus
Ich möcht' dich gern kennenlernen
Gehen wir zu dir oder zu mir nach Haus
Versprüh nicht soviel
Tuntenappeal
Sprich dich ruhig aus
Ich möcht' dich gern kennenlernen
Gehen wir zu dir oder zu mir nach Haus
Kneift dich das nicht sehr im Schritt
Wenn du so geschnürt gehst, wie die Nitribit
Und wenn du Männer küsst
Oh kratzt das nicht im Gesicht
Stimmt's, dass du anschaffen gehst
Bei jedem Warmbadetag an der Schwimmhalle stehst
Dass du wie Wilhelm Tell
Leder liebst für dein Fahrgestell
Versprüh nicht soviel
Tuntenappeal
Sprich dich ruhig aus
Ich möcht' dich gern kennenlernen
Gehen wir zu dir oder zu mir nach Haus
Ob wild, ob bebrillt, ob zärtlich, ob still
Etwas warmes braucht der Mensch
Auch wenn's der böse Nachbar nicht will
Etwas Warmes
Versprüh nicht soviel
Tuntenappeal
Sprich dich ruhig aus
Ich möcht' dich gern kennenlernen
Gehen wir zu dir oder zu mir nach Haus
Ob wild, ob bebrillt, ob zärtlich, ob still
Etwas warmes braucht der Mensch
Auch wenn's der böse Nachbar nicht will
Etwas Warmes
Etwas Warmes
Braucht der Mensch, Mensch, Mensch
Oh braucht der Mensch
Oh!
Ich möcht' dich gern kennenlernen
Gehen wir zu dir oder zu mir nach Haus
Etwas Warmes braucht der Mensch
Warm, warm, warm, warm, etwas Warmes
Warm, warm, warm, warm, etwas Warmes
Warm, warm, warm, warm, etwas Warmes
Warm, warm, warm, warm, etwas Warmes
Warm, warm, warm, warm, etwas Warmes
Warm, warm, warm, warm, etwas Warmes
Der Mensch braucht etwas Warmes","https://genius.com/Herbert-gronemeyer-etwas-warmes-lyrics","Released September 1, 1983
Producers

    
      Edo Zanki & Herbert Grönemeyer
Writers

    
      Herbert Grönemeyer, Stephan Sulke & Werner Bohl"
"7","Herbert Grönemeyer","Ich hab’ dich bloß geliebt","Gemischte gefuhle","Ich hab' dich 1000 mal gesucht
Wie oft hab' ich dich schon verflucht
Ich bin dir hinterhergerannt
Hab' dich aus meinem Hirn verbannt
Und immer wieder, und immer wieder
Hab' ich dich bloß geliebt

Ich hab' dich 1000 mal geträumt
Wie oft hab' ich dich schon versäumt
Ich hab' dich zögernd angefaßt
Ich hab' dich immer nur verpaßt
Und immer wieder
Und immer wieder
Hab' ich dich bloß geliebt

Ich bin mancher Frau schon unterlegen
Hab' in manchem Bett gelegen
Hab' gestöhnt und mich gewunden
Dich nicht mehr gefunden

Und die Lippen wund von anderen Küssen
Hab' ich an dich denken müssen
Mich an fremder Haut gerieben
Ich bin dir treu geblieben

Wie viele leere Stunden schon
Saß ich wie dumm vorm Telefon
Hab' gehofft in meinem Wahn
Damit nur meine Zeit vertan
Und immer wieder
Und immer wieder
Hab' ich dich bloß geliebt

Ich nahm dich in mein Herz hinein
Nur um allein mit dir zu sein
Ich hab' die Augen zugemacht
Und dich in Farben ausgedacht
Und immer wieder, und immer wieder
Hab' ich dich bloß geliebt

Andere Hände haben mich gehalten
Keine hat mich festgehalten
Andern Frauen, die zu mir kamen
Gab' ich deinen Namen

Andere Hände streiften meine Beine
Keine waren so wie deine
Andere hab' ich ausgezogen
Ich hab' dich nie betrogen

Ich hab' dich 1000 mal gesucht
Wie oft hab' ich dich schon verflucht
Ich bin dir hinterhergerannt
Hab' dich aus meinem Hirn verbannt
Und immer wieder
Und immer wieder
Hab' ich dich bloß geliebt

Ich hab' dich 1000 mal geträumt
1000 mal versäumt
1000 mal angefaßt
1000 mal verpaßt
Und immer wieder
Und immer wieder...
Ich liebe dich immer noch","https://genius.com/Herbert-gronemeyer-ich-hab-dich-blo-geliebt-lyrics","Released September 1, 1983
Producers

    
      Edo Zanki & Herbert Grönemeyer
Writers

    
      Herbert Grönemeyer, Stephan Sulke & Werner Bohl"
"8","Herbert Grönemeyer","Onur","Gemischte gefuhle","[Strophe 1]
Er liegt in seinem engen Raum
Starrt unentwegt die Decke an
Er lebt in einem bösen Traum
Aus dem er nicht erwachen kann
Er steht an jeder Wand
Man hat ihn längst verbannt

[Refrain]
Oh
Er hat so Angst, sich umzudreh'n
Und uns zu seh'n
Wir steh'n vor seiner Tür

[Strophe 2]
Der Schweiß hat ihm das Haar verklebt
Schon wochenlang nicht 'rausgetraut
Hat jahrelang mit uns gelebt
Hat für uns wiederaufgebaut
Ihm gehört ein großes Stück
Von unser'm Heimatglück

[Refrain]
Oh
Er hat so Angst, sich umzudreh'n
Und uns zu seh'n
Wir steh'n vor seiner Tür

[Strophe 3]
Er hat versucht, von uns zu lernen
Hat sich angepasst
Seinen Stolz fast verloren
Erst war er auserkorenWas haben wir ihn umworben
Jetzt ist er schuldDass es uns nicht noch besser geht
Es ist für ihn schon zu spät
Wir steh'n vor seiner Tür

Er liegt in seinem engen Raum
Starrt unentwegt die Decke an
Er lebt in einem bösen Traum
Aus dem er nicht erwachen kann
Er steht vor der Wand
Sein Herz ist ausgebrannt

[Refrain]
Er hat so Angst, sich umzudreh'n
Und uns zu seh'n
Wir steh'n vor seiner Tür","https://genius.com/Herbert-gronemeyer-onur-lyrics","Released September 1, 1983
Producers

    
      Edo Zanki & Herbert Grönemeyer
Writers

    
      Herbert Grönemeyer, Stephan Sulke & Werner Bohl"
"9","Herbert Grönemeyer","Diamant","Gemischte gefuhle","[Strophe 1]
Endlich hab' ich dich gefunden
Ich bin total euphorisch
Du meine Stecknadel aus dem Heu
Ich liebe dich notorisch

Ich staun' dich an, wie ein Kind den Mann im Mond
Du Einzigartige, mit dir lieben zu dürfen
Ist so ungewohnt

[Refrain]
Du reißt mich hin, du reißt mich her
Ohne dich läuft gar nichts mehr, aha
In dir kann ich mich verlieren, explodieren, kapitulieren
Du Diamant bringst mich um den Verstand
Komm her und küss' mich

[Strophe 2]
Du bist in mein Herz gesprungen
Du bist für mich gemacht
Der Sprung ist dir gut gelungen
Hab' ich's mir doch gleich gedacht

Nur ein Blick von dir und ich werd' völlig wirr
Du wundersame Elfe
Ein Tanz, schon zuviel Stimulans
Nur du kannst mir jetzt noch helfen, ja mach' doch

[Refrain]
Du reißt mich hin, du reißt mich her
Ohne dich läuft gar nichts mehr, aha
In dir kann ich mich verlieren, explodieren, kapitulieren
Du Diamant bringst mich um den Verstand
Komm her und küss' mich

[Bridge]
Du Fackelzug der Zärtlichkeit
Du bringst mein Herz zum Stocken
Uh, fast ist's soweit
Mein Blut fängt gleich an zu kochen, was machst du

[Refrain]
Du reißt mich hin, du reißt mich her
Ohne dich läuft gar nichts mehr, aha
In dir kann ich mich verlieren, explodieren, kapitulieren
Du Diamant bringst mich um den Verstand
Komm her, komm her und

Du reißt mich hin, du reißt mich her
Ohne dich läuft gar nichts mehr, aha
In dir kann ich mich verlieren, explodieren, kapitulieren
Du Diamant bringst mich um den Verstand
Komm her und küss' mich

Du reißt mich hin, du reißt mich her
Ohne dich läuft gar nichts mehr, aha
In dir kann ich mich verlieren, explodieren, kapitulieren
Du Diamant bringst mich um den Verstand
Komm her, komm her, komm her und küss' mich","https://genius.com/Herbert-gronemeyer-diamant-lyrics","Released September 1, 1983
Producers

    
      Edo Zanki & Herbert Grönemeyer
Writers

    
      Herbert Grönemeyer, Stephan Sulke & Werner Bohl"
"10","Herbert Grönemeyer","Hallo, was macht’n Ihr","Gemischte gefuhle","[Strophe 1]
Ich hab' 'n Auto und TV
Und mitunter auch 'ne Frau
Irgendwie schaff' ich die Miete immer bei

Mir geht's eigentlich passabel
Doch ich fühl' mich miserabel
Wegen dieser ewigen Rumhängerei

Mir fehlen alle Ambitionen
D'rum erleid' ich Frustrationen
Weil ich nichts zu sagen hab' und gar nichts kann

Und ich weiß nicht, nicht im Geringsten
Was ich will, auch nicht zu Pfingsten
Schon Silvester wart' ich auf den Weihnachtsmann

[Refrain]
Hallo, was macht 'n ihr
Geht's euch genau wie mir
Ich spendier' mir noch 'n Bier
Hallo, was macht 'n ihr

[Strophe 2]
Ich war Vertreter und Trompeter
Alpinist und Sanitäter
Sieben Wochen lang fuhr ich als Koch zur See

Alles hab' ich mal geleckt
Mir hat nichts so recht geschmeckt
Mein Achtstundentag läuft auf dem Canapé

Doch auch die Faulenzerei
Ist nicht das Gelbe vom Ei
Denn ein Ziel vor Augen brauchst du schon als Mann

D'rum wär' ein Job als Millionär
Oder Erdölaktionär
Auch ein Ding, das ich vor mir vertreten kann

[Refrain]
Hallo, was macht 'n ihr
Geht's euch genau wie mir
Ich spendier' mir noch 'n Bier
Hallo, was macht 'n ihr

[Strophe 4]
Ja, alles ist so kompliziert
Wie das Ganze funktioniert
Dieser Staat und so, das werd' ich nie versteh'n

Ich hab' durchaus Lust am Leben
Doch ich hab' es aufgegeben
Irgendeinen tollen Sinn darin zu seh'n

[Refrain]
Hallo, was macht 'n ihr
Geht's euch genau wie mir
Ich spendier' mir noch 'n Bier
Hallo, was macht 'n ihr

Hallo, was macht 'n ihr
Geht's euch genau wie mir
Ich spendier' mir noch 'n Bier
Hallo, was macht 'n ihr

Hallo, was macht 'n ihr
Geht's euch genau wie mir
Ich spendier' mir noch 'n Bier
Hallo, was macht 'n ihr","https://genius.com/Herbert-gronemeyer-hallo-was-machtn-ihr-lyrics","Released September 1, 1983
Producers

    
      Edo Zanki & Herbert Grönemeyer
Writers

    
      Herbert Grönemeyer, Stephan Sulke & Werner Bohl"
