"";"artist";"title";"album";"text";"url";"metadata"
"1";"Herbert Grönemeyer";"Guten Morgen";"Gronemeyer";"Wenn der Tag zu Arbeit mahnt
Verlasse ich ganz schnell mein trautes Heim
Bin vor der Welt aber auf der Hut

Geh' an der nächsten Ecke links
Immer nur der Nase nach
Die Sonne scheint, ich fühl' mich gut

Guten Morgen, Herr Bäcker, frische Brötchen
Mein Mädchen wartet auf ihr Frühstück
Etwas Milch und etwas Butter
Guten Morgen, noch geht's mir gut

Der Zeitungsjunge zählt kein Geld
Er mustert mich und grinst mich schelmisch an
Na? hattest wohl gestern 'ne harte Nacht

Ich hör' garnicht richtig hin
Nehm' erstmal einen tiefen Atemzug
Und schon bin ich aufgewacht

Guten Morgen, hast du gut geschlafen?
Mein Mädchen wartet auf ihr Frühstück
Ich hol' Milch und frische Brötchen
Guten Morgen, noch geht's mir gut

Voll bepackt kehr' ich zurück
Koche Tee und zieh' die Gardinen auf
Laß' die Sonne in mein Haus

Sie liegt da und schläft noch leicht
Scheucht die Sonne von ihrer Nase weg
Und dabei sieht sie lustig aus

Guten Morgen, Liebste, hast du gut geschlafen?
Auf dich wartet schon dein Frühstück
Hier sind Milch und frische Brötchen
Komm', wach' auf, noch geht's uns gut";"https://genius.com/Herbert-gronemeyer-guten-morgen-lyrics";"Released 1979"
"2";"Herbert Grönemeyer";"Pompeji";"Gronemeyer";"Sonnenlicht liegt über dieser Stadt
Die versunken war
Trümmerfeld einer vergangenen Macht
So liegst du heut' da

Pompeji...

Wie ein Blick in die Vergangenheit
Ist dein Straßenbild
Tempel zeugen von einer Zeit
Die heut' nicht mehr gilt

Pompeji...

Du warst ein Mittelpunkt der Erde
Dein Stolz, den man noch immer spürt
Liegt wie ein Kleid auf dir
Hell war die Nacht, die dich zerstörte
Ein Schrei der Angst, als es passiert
Und Asche dich begrub

Aus der Asche wie neu geboren
Stehst du heute da
Vor den Kräften der Zeit verloren
Fühlt sich, wer dich sah

Pompeji...

Du warst ein Mittelpunkt der Erde
Dein Stolz, den man noch immer spürt
Liegt wie ein Kleid auf dir
Hell war die Nacht, die dich zerstörte
Ein Schrei der Angst, als es passiert
Und Asche dich begrub

Pompeji...";"https://genius.com/Herbert-gronemeyer-pompeji-lyrics";"Released 1979"
"3";"Herbert Grönemeyer";"Verflucht - es tut mir weh";"Gronemeyer";"Du hast die Sachen schon gepackt
Stehst an der Tür willst gehen
Für dich ist alles schon gesagt
Nun sag auch schon auf Wiedersehen

Mach's mir nicht schwerer als es ist
Schau lieber nochmal alles nach
Bevor du irgendwas vergisst
Was mich erinnern könnte, danach

Verflucht es tut mir weh
Und doch sag ich OK
Ich tu so als ob nichts sei
Geh ich auch beinahe drauf dabei

Nun quäl dir keine Tränen ab
Die sind ja doch nicht echt
Ich weiß das ich verloren hab
Dabei verlier' ich doch so schlecht

Ach hätt' ich doch nur Hass auf dich
Dann wär' das alles nicht so schwer
Doch so leicht machst du es mir ja nicht
Weil es dann nicht ein starker Abgang wär'

Verflucht es tut mir weh
Und doch sag ich OK
Ich tu so als ob nichts sei
Geh ich auch beinahe drauf dabei

Und das was ich verloren hab
Kommt niemals mehr zurück
Irgendwann bleibt nur die Narbe
Alles andere verheilt mit etwas Glück";"https://genius.com/Herbert-gronemeyer-verflucht-es-tut-mir-weh-lyrics";"Released 1979"
"4";"Herbert Grönemeyer";"Mensch - ich hau ab";"Gronemeyer";"Wieder mal Sonntag, Zeit, die ich tot schlag'
Das Frühstück fällt aus, der Kaffee ist kalt
Der Typ nebenan hier, der nervt mich seit halb vier
Der bläßt auf 'nem Kamm als kriegt er Gehalt

Im Fernsehen James Fonda, ein Film mit 'nem Oscar
Ich stell' den Ton ab und schau' garnicht hin
Ich bin völlig pleite, dreh' mich zur Seite
Und zieh' mir die Decke hinauf bis zum Kinn

Mensch, ich hau' ab
Ich habe es hier satt
Hier knallt mir die Sonne fast nie ins Gesicht
Mensch, ich hau' ab
Von dieser Stadt
Da hab' ich genug, denn hier bringe ich nichts

Ich starr' an die Decke, seh' in 'ner Ecke
Da tropft es schon durch und die Farbe geht ab
Na klar, bei dem Regen, ich müßt' überlegen:
Was tut man dagegen?, doch ich bin zu schlapp

Mensch, ich hau' ab
Ich habe es hier satt
Hier knallt mir die Sonne fast nie ins Gesicht
Mensch, ich hau' ab
Von dieser Stadt
Da hab' ich genug, denn hier bringe ich nichts";"https://genius.com/Herbert-gronemeyer-mensch-ich-hau-ab-lyrics";"Released 1979"
"5";"Herbert Grönemeyer";"Spring ins wilde Leben";"Gronemeyer";"Bruno hat sich niemals richtig wohl gefühlt
Wollte aus den alten Kleidern 'raus
In der Show, in der er jetzt am Abend spielt
Zieht er sich für alle Leute aus

Und er sagt:
""Hey ihr, springt mit mir ins wilde Leben
Hey ihr, hört ihr die Musik?
Hey ihr, springt mit mir ins wilde Leben
Hey ihr, hört ihr die Musik?""

Tina kam vom Land zu uns in diese Stadt
Lernte, daß nur Geld im Leben zählt
Und weil sie außer ihrem Körper sonst nichts hat
Hat sie dann auch diesen Weg gewählt

Refrain:
Und sie sagt:
""Hey ihr, springt mit mir ins wilde Leben
Hey ihr, hört ihr die Musik?
Hey ihr, springt mit mir ins wilde Leben
Hey ihr, hört ihr die Musik?""

Tommy träumt bereits seit ein paar Jahren schon
Und jetzt kommt er davon nicht mehr los
Er weiß nicht, was wahr ist und was Illusion
Geht ganz langsam d'rauf und fühlt sich gut

Und er sagt:
""Hey ihr, springt mit mir ins wilde Leben
Hey ihr, hört ihr die Musik?
Hey ihr, springt mit mir ins wilde Leben
Hey ihr, hört ihr die Musik?""

Sarah hat geglaubt, sie wird ein großer Star
Und bei dem Talent hätt' sie's gebracht
Doch der Alkohol der einfach stärker war
Hat sie irgendwann kaputt gemacht

Und sie sagt:
""Hey ihr, springt mit mir ins wilde Leben
Hey ihr, hört ihr die Musik?
Hey ihr, springt mit mir ins wilde Leben
Hey ihr, hört ihr die Musik?""

Piedro kam zu uns in dieses fremde Land
Hat hier einen guten Job gesucht
Doch als er dann nirgends eine Freundschaft fand
Hat er seinen letzten Flug gebucht

Und er sagt:
""Hey ihr, springt mit mir ins wilde Leben
Hey ihr, hört ihr die Musik?
Hey ihr, springt mit mir ins wilde Leben
Hey ihr, hört ihr die Musik?""";"https://genius.com/Herbert-gronemeyer-spring-ins-wilde-leben-lyrics";"Released 1979"
"6";"Herbert Grönemeyer";"Julie";"Gronemeyer";"Es war ein heißer Tag
Sie stand allein am Strand
Und hat gelacht bei jeder Welle
Die im Sand verlief

Sie hat mich angeschaut
Ein Blick der mich durchdrang
Die Sonne wurde plötzlich heller
Als sie meinen Namen rief

Der Abend kam
Das Wasser war noch warm
Der Strand hat uns allein gehört
Ganz ungestört

Nach Julie wird es für mich schwer sein
Zu lieben, zu leben
Einen Teil von mir zu geben
Nach Julie bin ich leer

Sie lag in meinem Arm
Wir waren beide still
Ich spüre noch die Zärtlichkeiten
Ihrer schlanken Hand

Die Nacht verging zu schnell
Ich sah ihr lange nach
Als sie im rot der jungen Sonne
Wie ein Traum verschwand

Und ich stand da
Bis ich sie nicht mehr sah
Der Wind trug noch ihr Lachen her
Dazu das Meer

Nach Julie wird es für mich schwer sein
Zu lieben, zu leben
Einen Teil von mir zu geben
Nach Julie bin ich leer";"https://genius.com/Herbert-gronemeyer-julie-lyrics";"Released 1979"
"7";"Herbert Grönemeyer";"Hier in dem Lokal";"Gronemeyer";"Still, so sitzt du da
Sagst nur manchmal ja
Vor uns steht die Flasche Wein
Ich schenk' für uns zwei ein
Chianti haben wir bestellt
Du hast noch nichts erzählt

Still, so sitzt du da
Ich frag', wie es war
Fast ein Jahr sind wir nun schon getrennt

Gut, du lachst mich an
""gut"" sagst du mir dann
Irgendwie glaub' ich es nicht
Mag schon sein, es liegt am Licht
Denn du scheinst nicht sehr froh zu sein
Oder bild' ich mir das nur ein
Weil ich selbst so fühl'
Und gern mit dir wieder zusammen sein will

Hier in dem Lokal
Vor zwei Jahren
Hier am gleichen Tisch
Der gleiche Wirt hat serviert
Hier begann's für uns zwei
Ging's vorbei

Still so sitzt du da
Fern und doch so nah
Komm' erzähl mir, was du machst
Ob du noch so wie früher lachst
Bei jedem kleine Gag
Oder ist dein Lachen jetzt weg
Bist du nur noch ernst?
Das täte mir Leid
Denn g'rad dein Lachen war schön

Hier in dem Lokal
Vor zwei Jahren
Hier am gleichen Tisch
Der gleiche Wirt hat serviert
Hier begann's für uns zwei
Ging's vorbei

Still, so sitzt du da
Sagst nur manchmal ""ja""
Komm' wir werfen alles weg
Ich scher' mich einen Dreck
Ob das, was doch erst morgen ist
Wenn du heut' Nacht nur bei mir bist
Dann fühl' ich mich gut
Dir fehlt wohl der Mut

Ach, du wartest nur auf ihn

Hier in dem Lokal
Hier am gleichen Tisch";"https://genius.com/Herbert-gronemeyer-hier-in-dem-lokal-lyrics";"Released 1979"
"8";"Herbert Grönemeyer";"Ich bin ein Spieler";"Gronemeyer";"Frei wie das Wasser
Treib' ich im Leben zum Meer hin
Ich liebe und leb' den Tag

Fließe durch Täler
Reib' mich am Ufer weil ich stark bin
Und halte dort an wo ich mag

Ich bin ein Spieler in der Show
Auf der Bühne dieser Zeit
Es gibt soviele in der Show
Manch ein Narr im Königskleid

Schaut euch nur um...

All' diese Clowns hier
Mit den Masken vor ihrer Altagswelt
Ich sehe sie, all' diese Clowns hier
Wie sie hasten, denn es treibt das Geld

All' diese Clowns hier
Mit den Masken vor ihrer Altagswelt
Ich sehe sie, all' diese Clowns hier
Wie sie hasten, denn es treibt das Geld

Laßt mich so treiben
Wie ein Fluß treibt, durch mein Leben
Mal schnell und mal ruhig dahin

Ich möchte die Stille
Und auch die Stürme erleben
Das gibt für mich den Sinn

Ich bin ein Spieler in der Show
Auf der Bühne dieser Zeit
Es gibt soviele in der Show
Manch ein Narr im Königskleid

All' diese Clowns hier
Mit den Masken vor ihrer Altagswelt
Ich sehe sie, all' diese Clowns hier
Wie sie hasten, denn es treibt das Geld";"https://genius.com/Herbert-gronemeyer-ich-bin-ein-spieler-lyrics";"Released 1979"
"9";"Herbert Grönemeyer";"Der Fremde";"Gronemeyer";"Wenn die Gaukler ihre Schimmel zäumen
Und die Samtgewänder im Sonnenlicht ihren Sinn verlieren
Dann ist für mich an der Zeit zu gehen

Vergiß den Fremden und seine Träume
Die für ihn die Welt bedeuten
Vergiß den Fremden und seine Spiele
Die dein Herz erfreuten
Ich bin nur ein Fremder

Als die Menge seinen Liedern lauschte
Glaubtest du, sein strahlendes Lachen galt nur dir allein
Du wolltest seinen Atem spüren, ihn berühren

Und als du in seinen Armen weintest
Glücklich wie ein Kind, das eine schöne Blume brach
Wolltest du nicht wissen, daß diese Nacht vorübergeht

Vergiß den Fremden und seine Träume
Die für ihn die Welt bedeuten
Vergiß den Fremden und seine Spiele
Die dein Herz erfreuten
Ich bin nur ein Fremder";"https://genius.com/Herbert-gronemeyer-der-fremde-lyrics";"Released 1979"
"10";"Herbert Grönemeyer";"Mein Konzert";"Gronemeyer";"Das Hemd ist durchgeschwitzt
Und meine Stimme ist schon rau
Der Beifall hört nicht auf und eine jemand sagt
Du mußt nocheinmal 'raus

Ich schrei' nach heißem Tee
Und brenn' mir fast den Mund daran
Dann schiebt man mich nach vorn
Das Licht ist grell, das Klatschen schwillt noch an

Dann sitz' ich am Klavier
So langsam wird es still
Ich fühle mich kaputt
Doch da ist ein schönes Gefühl

Das ist mein Konzert
Das sind meine Lieder
Das ist alles, was ich habe
Was ich geben kann
Daß es mir Freude macht
Wenn ich hier oben bin
Wenn ich meine Lieder sing'
Das ist mein Konzert

Ich weiß was danach kommt
Man schlägt mir auf den Schultern 'rum
Und jemand sagt: ganz toll
Ich schüttel' Hände und bleib stumm

Im Kopf noch die Musik
Ist mir alles jetzt zu viel
Für mich zählt es nur dann
Wenn ich hier draußen bin und spiel'

Das ist mein Konzert
Das sind meine Lieder
Das ist alles, was ich habe
Was ich geben kann
Daß es mir Freude macht
Wenn ich hier oben bin
Wenn ich meine Lieder sing'
Das ist mein Konzert";"https://genius.com/Herbert-gronemeyer-mein-konzert-lyrics";"Released 1979"
