"";"artist";"title";"album";"text";"url";"metadata"
"1";"Herbert Grönemeyer";"Stau";"Zwo";"Stau in der U-Bahn
Baseballschläger im Kofferraum
36er Trockenschmierautomatik
Ich wichs wie im Traum

Deine Wunde ist mein Leid-
Sieben Brücken zur Ewigkeit
Im Radio Läuft Krieg
Auch fester Stuhl ist mal ein Sieg

Autos und der ganze Sex-
Intus hab ich zwölf Becks
Wir fahren auf der Autobahn-
Tringst du Bier bedenk den Harn

Der Aschenbecher ist schon voll
Liebe ist ein U-Turn in der Galaxie
Neben mir ein Golf Proll-
Schon wieder muss ich piepie

Alles von Vorne
Kommt woanders
Wo bist du?
Es fehlt

Autos und der ganze Sex-
Intus hab ich zwölf Becks
Wir fahren auf der Autobahn-
Tringst du Bier bedenk den Harn

Gestern wie morgen
Lass uns ein Seegelschiff borgen
Wir und du, ich bin verbraucht
Flugzeuge in meinem Bauch

Löwenzahn auf dem Asphalt
Schalt das Navi aus- mir ist kalt
Der Weg ist der Anfang
Bergauf abwärts den Hang";"https://genius.com/Herbert-gronemeyer-stau-lyrics";"Released September 1, 1980"
"2";"Herbert Grönemeyer";"Ich hab dich lieb";"Zwo";"Ich hab dich lieb
Ich hab grad zart
An dich gedacht
Wie du behutsam und ganz sacht
Mich total verrückt gemacht!
Du kamst wann du wolltest
Gingst morgens um acht!
Tausend und eine - eine Nacht!

Ich hab dich lieb, so lieb
Lieber als Du denkst!
Ich hab dich lieb, so lieb
Auch wenn Du nicht an mir hängst!

Du wolltest dich nicht an mich binden
Bin ich so n'oller Baum?
Eine Familie mit dir
Das war mein Traum
Doch dir war's viel zu früh!
Es gibt bestimmt auch noch bessere -
Andre als mich
Du willst dich erst umsehen - man weiß ja nie…

Ich hab dich lieb, so lieb
Lieber als je zuvor
Ich hab dich lieb, so lieb
Ich nehm's halt mit Humor!

Ruf doch mal wieder an und
Erzähl mir was du treibst
Ist ganz egal wann und
Überrasch' mich, komm her und sag
Dass du bleibst - für immer jetzt
Für ewig, oder mehr…

Doch halt! Ich muss wohl schon träumen!
Jeder hat so seinen Tick
Für deine Suche - wünsch' ich dir viel Glück!

Ich hab dich lieb, so lieb
Ich hoffe du verzeihst!
Ich hab dich lieb, so lieb
Ich will nur dass du's weißt!

Ich hab dich lieb, so lieb
Lieber als je zuvor
Ich hab dich lieb, so lieb
Ich nehm's halt mit Humor!

Ich hab dich lieb, so lieb
Lieber als du denkst!
Ich hab dich lieb, so lieb
Auch wenn du nicht an mir hängst!";"https://genius.com/Herbert-gronemeyer-ich-hab-dich-lieb-lyrics";"Released September 1, 1980"
"3";"Herbert Grönemeyer";"Commander";"Zwo";"Du fuhrst noch nie nach Oregon
Mein Ami-Schlitten aus Chrom
Vor dreißig Jahren
Warst du die Sensation
Mein Kinder-Spielzeugauto-Traum
Steht links vom Telefon
Roter Commander, fahr' doch schon!

Der Himmel ist groß
Die Highway rast davon
Und die Zeit ist zeitlos
Ich seh' Oregon!

Und sie heißt Marylin!
Some like it hot!
In Salem die Main Street
Mein Bus Stop ist noch dort
Ich komme, Marylin!

Doch du fährst nie nach Oregon
Mein Ami-Schlitten aus Chrom
Denn heutzutage
Bist du längst Schrott und Illusion
Mein verstaubter Spielzeug-Traum
Parkst links vom Telefon

Roter Commander, fahr' doch schon!

Der Himmel ist groß
Die Highway rast davon
Und die Zeit ist zeitlos
Ich seh' Oregon!

Und sie heißt Marylin
Some like it hot
In Salem die Main Street
Mein Bus-Stop ist noch dort

Ein Song aus Beton
Die Räder singen mit
Ich sitze im Fond
Wo ist der Zenit
Marylin?";"https://genius.com/Herbert-gronemeyer-commander-lyrics";"Released September 1, 1980"
"4";"Herbert Grönemeyer";"Bruno";"Zwo";"Bruno – ganz cool
Du gehörst jetzt dazu
Dein Seidenschal
Mensch, wie der stark reinknallt!
Du stehst da, mit viel Bla-Bla
Du stehst nur da

Bruno, wer hat dich so glatt geschliffen

Hast du das selbst gemacht?
Bruno, du hast früher d'rauf gepfiffen
Du hättest dich verlacht
Heut' bist du satt, deine Kanten sind glatt
Na dann, gute Nacht!

Bruno – kommt rein
Schwebt erst mal durch's Lokal
Lädt alle ein
Kinder kommt, ich hab' es ja
Dann steht er da, mit viel Bla-Bla
Dann steht er da

Bruno, was ist bloß aus dir geworden?
Du warst doch mal normal
Bruno, du kriegst bald den Mode-Orden
Sieger der Damenwahl
Heut' bist du satt, deine Kanten sind glatt
Na dann, gute Nacht!

Er war mal der
Der nichts aufs Äußere gab
Heut' ist er wer
Gestern liegt längst im Grab
Er steht nur da, mit viel Bla-Bla
Er steht nur da

Bruno, Mensch wir zwei, wir konnten saufen
Nächtelang diskutieren
Bruno, Mensch jetzt willst du Freunde kaufen
Du, das geht nicht mit mir
Du bist mir zu satt, deine Kanten zu glatt
Na dann, gute Nacht!";"https://genius.com/Herbert-gronemeyer-bruno-lyrics";"Released September 1, 1980"
"5";"Herbert Grönemeyer";"Ich bin wieder soweit";"Zwo";"Du hast dich bemüht
Mich umsorgt, mich gepflegt
An meinem Stamm gesägt

Hast mich gestreichelt
Mich langsam wieder aufgebaut
Mir nicht mehr vertraut

Ich hab' lange durchgehalten
Eine harte, schwere Zeit
Alles ist wieder beim Alten
Es tut mir wirklich Leid
Ich bin wieder soweit

Du hast alles entschieden
Mich behütet, mich gewärmt
Dich von mir entfernt

Hast mich mit mir betrogen
Deine Freundschaft mir entzogen
Mich bemuttert nach dem Entzug
Nicht mehr als Mann geachtet
Mich als Pflegefall betrachtet
Ich wurde nie gesund genug

Ich weiß, daß du's gut gemeint hast
Bin nicht nur an dir gescheitert
Hab' auch mit mir keine Geduld
Hatte mir soviel vorgenommen
Bin nicht sehr weit gekommen
Es ist meine eigene Schuld

Ich hab' lange durchgehalten
Eine harte, schwere Zeit
Alles ist wieder beim Alten
Es tut mir wirklich Leid
Ich bin wieder soweit

Es ist wieder da
Dieses Zittern, diese Angst
Warum weiß ich nicht, warum

Ich trink' nur noch 'n kleinen
Nur noch diesen einen
Dann geht es schon vorbei

Aber ich hab' doch durchgehalten
Eine lange, schöne Zeit
Alles ist wieder beim Alten
Es tut mir wirklich Leid
Ich bin wieder soweit";"https://genius.com/Herbert-gronemeyer-ich-bin-wieder-soweit-lyrics";"Released September 1, 1980"
"6";"Herbert Grönemeyer";"Kairo";"Zwo";"Vater legt nirgendwo mehr Hand an
Sitzt im Schaukelstuhl
Pfeift vor sich hin
Wartet jeden Abend geduldig auf den Sandmann
Mutter spricht mit ihm kein Wort
Es hat sowieso keinen Sinn

Was geschah am Sonntagabend?
Die Heizung fiel aus
Die Zimmer eiskalt
Vater schläft in solchem Fall in seinem Wohnwagen
Mutter macht das Fernsehen aus
Geht mit 'nem dicken Schal in den Wald

Daß Papa nichts weiß
Macht Mama nicht heiß
Sie wollte schon immer mal nach Kairo
Ist Mama im Wald
Wird Papa bald kalt
Es ist alles so, wie es sein soll
Er ließ sich viel zu früh pensionieren
Soll er ruhig frieren

Vater spricht sein Leben auf Kassette
Brummt ein Lied
Mutter erwähnt er nie
Die tratscht derweil mit ihrer Freundin um die Wette:
Wie wird man bloß den Alten los?
Er denkt genauso über sie

Was Mama nicht weiß
Papa ist schon ganz heiß
Er wollte immer allein nach Kairo
Mach' ich sie im Wald
Oder wo sonst kalt?
Es wird alles so, wie es sein soll
Er ließ sich extra früh pensionieren
Jetzt muß 'mal was passieren

Nimmt man sich 'n Killer?
Ertränk' ich ihn im See?
Vielleicht hilft mir Frau Müller – denn
Sie ist so eine gute Fee

Was sucht ein Wohnwagen
Mitten im Waldsee?
Im Haus ist's wieder warm
Draußen fällt der Schnee
Sie trinken mit Wohlbehagen
Ein Tässchen Tee

Die Arbeit im Wald
Machte die Händchen kalt
Und wie geht's Papa im See?

Daß es Papa nicht weiß
Macht Mama nicht heiß
Frau Müller fährt mit nach Kairo

Papa liegt auf Eis
Mutter wird so heiß
Es ist alles so, wie es sein soll
Er ließ sich viel zu früh pensionieren
Soll er ruhig frieren";"https://genius.com/Herbert-gronemeyer-kairo-lyrics";"Released September 1, 1980"
"7";"Herbert Grönemeyer";"Besser du gehst jetzt";"Zwo";"Du weißt ja, er
Ist mein bester Freund
Und er wird's auch immer sein

Er vertraut mir sehr
Genauso umgekehrt
Und es fiel ihm niemals ein
Daß ich verliebt in seine Freundin bin
Und seine Freundin auch in mich
Darauf kommt er nicht, das wär' zuviel für ihn
Geh' zurück, laß' ihn nicht im Stich

Die Liebe einer Freundin
Und die Liebe
Von einem Freund
Kann man nicht vergleichen
Du fragst mich, wie ist das gemeint

Die Freundschaft zwischen ihm und mir
Kann ich dir nicht erklären
Auf jeden Fall, du gehörst zu ihm
Ich will und darf das nicht zerstören

Besser du gehst jetzt
Schau' nicht so verletzt
Es ist richtig so
Ich lieb' dich und du weißt, wie sehr ich dich brauch'

Besser du gehst jetzt
Halt mich nicht so fest
Ja, du weißt
Ich lieb' dich, aber er liebt dich auch

Ruf' nicht mehr an
Du mußt verstehen:
Mit uns beiden ist es aus

Wein jetzt nicht, mir tut's genauso weh
Wir kommen da schon 'raus

Ich kenne ihn, er fühlt genau wie ich
Und ich weiß, er liebt dich sehr
Enttäuschen dürfen wir ihn nicht
Das wär' einfach nicht fair

Besser du gehst jetzt
Halt mich nicht so fest
Ja, du weißt
Ich lieb' dich, aber er liebt dich auch";"https://genius.com/Herbert-gronemeyer-besser-du-gehst-jetzt-lyrics";"Released September 1, 1980"
"8";"Herbert Grönemeyer";"Helga";"Zwo";"Vor dem Bahnhofskiosk
Stand sie und bot sich an
Mancher nahm sie mit

Jung oder alt war sie nicht
Weder schön noch blaß
Sie lag so im Schnitt

Sie hieß wohl Helga
Wenn man sie ansah ihr Blick
War irgendwie klar

Einmal war ich bei ihr
Ich war g'rad' sechzehn
Ich weiß noch, das Licht war so rot
Plötzlich war mein Mut dahin
Und ich rannte
Ich dachte nur noch, schnell von hier fort

Und jedesmal, wenn mein Zug fuhr
Und ich zum Bahnsteig ging
Hat sie so gelacht

Ich schlich oft an ihr vorbei
Sie hat mich stets entdeckt
Es hat ihr Spaß gemacht

Ich glaub, sie hieß Helga
Sie stand jeden Tag da, ihr Blick
War irgendwie klar

Einmal war ich bei ihr
Ich war g'rad' sechzehn
Ich weiß noch, das Licht war so rot
Plötzlich war mein Mut dahin
Und ich rannte
Ich dachte nur noch, schnell von hier fort
Plüsch auf dem Bett

Zwei Straußen-Federn
Das ist die Erinnerung, die ich noch an sie hab'
Und zitternde Knie
Die erste Erfahrung
Damals, als es für mich noch soviel zu lernen gab

Sie steht längst nicht mehr dort
Ich hoff', daß sie Liebe bei irgendwem fand
Sie steht längst nicht mehr dort
Auch wenn nichts geschah, ich hab' sie gekannt

Vor dem Bahnhofskiosk ...";"https://genius.com/Herbert-gronemeyer-helga-lyrics";"Released September 1, 1980"
"9";"Herbert Grönemeyer";"All die Jahre";"Zwo";"Nein – anders will ich's nicht
Warum fragst du plötzlich so?
Ja – ich lieb' dein Gesicht
Warum fragst du plötzlich so?

All die Jahre – welche Jahre
Welche Jahre – all die Jahre

Ich mein unsere
Du meinst deine
Die du älter bist als ich

Niemals hat uns das gestört
Jetzt auf einmal quält es dich
Heute – hast du 'was gehört
Über uns, warum quälst du dich?

All die Jahre – welche Jahre
Welche Jahre – all die Jahre

Ich mein unsere
Du meinst deine
Die du älter bist als ich

Nur weil jemand über uns geflüstert
Fängst du zu zweifeln
Die sind doch von gestern und fad
Laß' sie, Gerede hat uns doch nie interessiert

All die Jahre – welche Jahre
Welche Jahre – all die Jahre

Die wir zusammen sind
Und die wir uns lieben
Davon wissen die doch nichts";"https://genius.com/Herbert-gronemeyer-all-die-jahre-lyrics";"Released September 1, 1980"
"10";"Herbert Grönemeyer";"Muskeln";"Zwo";"Leicht, lässig und locker sein
Voll durchtrainiert vom Kopf bis zu den Zeh'n
Lernt man nur im Bodybuilding-Verein
Man kann vor Kraft kaum noch gehen
Schon stehen tut weh

Lieber 'n paar Muskeln zu viel
Als ein dünnes Nichts zu sein
Und nur Erfolg beim Schach
Lieber 'n paar Muskeln zu viel
Als dick
Stark sein macht so schwach

Tagelang vorm häuslichen Spiegel stehen
Leicht eingeölt, den Oberkörper frei
Sich in verschiedensten Posen ergehen
Frisch, fromm, fettig und frei
Muskelspielerei

Lieber 'n paar Muskeln zu viel
Als ein dünnes Nichts zu sein
Und nur Erfolg beim Schach
Lieber 'n paar Muskeln zu viel
Als dick
Stark sein macht so schwach

Weniger Grips, lieber mehr Bizeps
Eine falsche Bewegung
Ein Muskel gezerrt
In einem gesunden Körper
Steckt auch ein gesunder Geist
Auch wenn ab und zu eine Sehne reißt

Lieber 'n paar Muskeln zu viel
Als ein dünnes Nichts zu sein
Und nur Erfolg beim Schach
Lieber 'n paar Muskeln zu viel
Als dick
Stark sein macht so schwach";"https://genius.com/Herbert-gronemeyer-muskeln-lyrics";"Released September 1, 1980"
