"";"artist";"title";"album";"text";"url";"metadata"
"1";"Jennifer Rostock";"Wieder geht’s von vorne los";"Der film";"[Strophe I:]
Jedes Ich sucht ein Du, sie laufen auf einander zu
Prallen ab und rennen weiter, auf zum nächsten Rendezvous
Denn das Spiel, das wir spielen, ist ein Wettlauf mit der Zeit
Und das geteilte halbe Leid - es tut mir Leid - ich bin es Leid
Und dass nur die hohen Trauben, wie sie glauben, auch was taugen
Ist Musik in meinen Ohren, doch Mosaik in meinen Augen
Denn das Leben, das wir leben, ist ein Stundenhotel
Der Taxameter läuft viel zu schnell

[Chorus:]
Verliebt, verlobt, verlogen und von links und rechts betrogen
Und wieder geht's von vorne los - wieder geht's von vorne los
Friede, Freier, Frohe Zeit auf Ewigkeit, dann Ehestreit
Wieder geht's von vorne los - wieder geht's von vorne los

[Strophe II:]
Harmonie bricht sich vom Zaun, Schuss und Schluss im Showdown
Wieder geht's von vorne los - wieder geht's von vorne los
Sammler, Jäger, Leistungsträger, Schuld war nur der Kartenleger
Wieder geht's von vorne los - wieder geht's von vorne los
Hast du dich je daran gemacht, nach Rosinen zu suchen
Oder geht's dir eigentlich nur um die Kalorien im Kuchen?
Neurotisch programmiert und gegen jeden Scheiß immun
Mit Bienen und Blumen hat das alles nichts zu tun
Zu wem gehört der Schuh und zu wem gehört die Braut?
Den Blick nur halb verdaut, sich nicht getraut und weggeschaut
Denn das Leben, das wir leben, glänzt in tausen hellen Farben
Doch wer Gold sucht, muss graben

[Chorus]

[Strophe III:]
Deine Schmetterlinge bitten um Asyl
Aber ich hab das Gefühl
Dass mir das nicht schmeckt
Weil nur der Wein - egal wie fahl und schal
Zu weit oben im Regal
Mein Interesse weckt

[Outro;]
Verliebt, verlobt, verlogen
Doch meistens geht's nach hinten los!";"https://genius.com/Jennifer-rostock-wieder-gehts-von-vorne-los-lyrics";"Released 2009"
"2";"Jennifer Rostock";"Mach mich nicht verliebt";"Der film";"[Strophe I:]
Dein Kuss stellt meine Eifersucht nur bloss
Das Fenster, aus dem du dich lehnst, ist sündhaft gross
Du schmeckst nach Apathie und abgestandenem Bier
Und schlimmer noch - du schmeckst nach ihr
Schuld und Stolz spielen Russisches Roulette
Dein Blick trägt meine Zweifel schon zu Bett
Du grinst nur und dein Ego reicht weit bis übers Dach
Doch wenn du mich so anschaust, werd ich schwach

[Chorus:]
Mach mich nicht verliebt, nicht mehr verliebt[x2]
Dein Lachen weiss zu blenden, wo es nichts zu lachen gibt
Schau mich nicht so an, mach mich nicht schwach
Mach mich nicht verliebt

[Strophe II:]
Der Fisch wird nicht zum Vogel, wenn er singt
Und der Vogel ist kein Fisch, nur weil er stinkt
Mit Pokerblick und Hass im Ärmel schauen wir uns an
Und jeder zieht vom Leder, wo er kann
Nur ein lautes Wort ist ein gutes Wort, sagst du
Doch je lauter ich spreche, desto weniger hörst du
Du weisst, was du mich kannst, und du weisst auch wo
Mir kocht das Blut, doch das Fleisch bleibt schwach und roh

[Chorus]";"https://genius.com/Jennifer-rostock-mach-mich-nicht-verliebt-lyrics";"Released 2009"
"3";"Jennifer Rostock";"Leben auf Zeit";"Der film";"[Strophe I:]
Du trägst ihre Worte im Mund
Und scheuerst dir die Zunge daran wund
Ich sag, das mag dich stören
""Wenn nicht fühlen will, muss hören""
Und du sagst, ""Da liegt der Knüppel beim Hund""
Zentralgeheizte Illusion
Und Rebellion im Unterton
Copy, paste und gut - doch wie's scheint nicht gut genug
Springst du auch, wenn alle springen?
Ich denke schon

[Pre-Chorus:]
Du begreifst das Geschehen, doch du greifst nicht ein
Willst du immer nur Publikum im eigenen Film sein?

[Chorus:]
Es ist ein Leben auf Zeit und es kommt nie wieder
Es strömt heiß durch deine Glieder
Und du weißt, es geht vorüber
Das macht dich traurig (Komm und trau dich)

[Strophe II:]
Ein Leben auf Zeit und es geht zu Ende
Rinnt wie Sand durch deine Hände
Und ich weiß, es macht dich traurig
Doch komm und trau dich (komm und trau dich)
Es ist ein Leben auf Zeit
Ich hab gedacht, du bleibst am Steuer
Und wirst nicht euer neuer Wiederkäuer
Doch besoffene Hunde bellen
Ihre Worte schlagen Wellen
Wer nicht baden geht, spielt mit dem Feuer
Wenn sie dich zu den Fahnen rufen
Scharrst du müde mit den Hufen
Und folgst den Regeln prompt
Aber wenn der Abend kommt
Scheißt du in das Nest, das sie dir schufen

[Pre-Chorus]

[Chorus]

[Outro:]
Du ahnst die Gefahr, doch du regst dich nicht
Du stehst nur da und bewegst dich nicht
Wie ein Reh erstarrst du im Scheinwerferlicht
Doch der Scheinwerfer wirft seine Scheine nicht";"https://genius.com/Jennifer-rostock-leben-auf-zeit-lyrics";"Released 2009"
"4";"Jennifer Rostock";"Wo willst du hin?";"Der film";"[Strophe I:]
Zwei Münzen für den Fährmann in der Hand
Die Erde hinter dir ist längst verbrannt
Du verlässt die Stadt und fährst wieder nach Haus
Die Flinte bleibt im Korn, das Spiel ist aus
Du verschluckst dich an der Angst vor zu vielen Worten
Du verlierst dich an längst verlorenen Orten
Du versuchst, an deine Träume zu erinnern
Und das scheint alles zu verschlimmern

[Chorus:]
Du drehst dich im Kreis und immer wieder von vorn
Schlägst mich in den Wind
Und dir die Nacht um die Ohren
Du drehst dich im Kreis und immer wieder von vorn
Schlägst mich in den Wind
Und dir die Nacht um die Ohren
Wo willst du hin?

[Strophe II:]
Und noch ein Streichholz in der Hand
Die Erde hinter dir ist längst verbrannt
Eine Frage nur, die dich zu brechen droht
Glaubst du an ein Leben vor dem Tod?
Du willst denken, doch die Gedanken sind verworren
Du willst lieben, doch deine Tränen sind gefroren
Du versuchst, deine Ängste zu bezwingen
Doch es will dir nichts gelingen

[Chorus]";"https://genius.com/Jennifer-rostock-wo-willst-du-hin-lyrics";"Released 2009"
"5";"Jennifer Rostock";"Du willst mir an die Wäsche";"Der film";"[Songtext zu „Du willst mir an die Wäsche“]

[Strophe 1]
Das Licht geht aus, der Film beginnt
Und Rosemarie kriegt ihr nächstes Kind
Der Buschfunk fehlt in Babylon
Es kommt, wie's kommt, und das kommt davon
Ein Schuss, ein Schrei – wer ruft die Polizei?
Wir haben zu viele Köche und zu wenig Brei
Im Süden bleibt es trocken und mild
Und Scarlett heult und Pussycat killt

[Refrain]
Und du, du, du, du, du willst mir an die Wäsche
Und du, du, du, du, du willst mir an die Wäsche

[Strophe 2]
Die seltsame Gräfin, sie ist nicht ganz dicht
Es kommt, wie's kommt, aber nicht ans Licht
Der garten Eden ist längst verdorrt
So weit zum Wetter, kommen wir nun zum Sport
Pat jagt Garret, jagt Billy the Kid
Auf Schritt und Tritt im Direktor-Schnitt
Der Buschfunk fehlt in Babylon
Und Jackie Brown kommt nochmal davon

[Refrain]
Und du, du, du, du, du willst mir an die Wäsche
Und du, du, du, du, du willst mir an die Wäsche

[Strophe 3]
Du hängst die Fahne in den Wind ohne hochzuschauen
Grund genug, nicht auf dein Wort zu bauen
Du trinkst Whisky mit Freunden und Bordeaux mit Frauen
Grund mehr, dir nicht über den Weg zu trauen

[Refrain]
Und du, du, du, du, du willst mir an die Wäsche
Und du, du, du, du, du willst mir an die Wäsche

[Strophe 4]
Zwei Halunken und der dritte Mann
Harry lime, wer ist als nächstes dran?
Clouseau trifft ein, der Clou versaut
Selbst Schuld, deine Sporen waren viel zu laut
Harold und Sally und Harry und Maude
Die Firma, der Mieter, das Haus und das Boot
Uhrwerk Orange und ein Mann sieht rot
Und spielt unterm Galgen das Lied vom Tod

[Refrain]
Und du, du, du, du, du willst mir an die Wäsche
Und du, du, du, du, du willst mir an die Wäsche

[Strophe 5]
Ich komm' zu spät zum Ball, das heißt: mal wieder gerade richtig
Du nimmst dich für voller, als du eh schon bist, und machst dich wieder wichtig
Es riecht nach Popcorn, ich werf' mit Reis und es wird immer bunter
Ich zieh' nervös an meiner Red Apple und dich dadurch nur runter

[Refrain]
Und du, du, du, du, du willst mir an die Wäsche
Und du, du, du, du, du willst mir an die Wäsche

[Strophe 6]
Du senkst den Blick und du hebst die Brauen
Gibst vor dabei zu mir auf zu schauen
Du stehst deinen Mann und du stehst auf Frauen
Und drohst, dabei über die Schnur zu hauen

[Refrain]
Und du, du, du, du, du willst mir an die Wäsche
Und du, du, du, du, du willst mir an die Wäsche";"https://genius.com/Jennifer-rostock-du-willst-mir-an-die-wasche-lyrics";"Released 2009"
"6";"Jennifer Rostock";"Schmutzig! Schmutzig!";"Der film";"[Strophe I:]
Der Ton der Musik macht den Kohl nicht fett
Mein Bein im Bett, ein Stein im Brett
Und die Venus im Schafspelz - ist das der Preis?
Da hol ich mir die Kuh lieber selbst vom Eis
Sie sehen den Baum vor lauter Wald nicht mehr
Sie reden und roden und kreuz und quer
Der Mord - ihr Dienst, die Beute - mein Skalp
Und dann singen sie und tanzen ums goldene Kalb

[Chorus]
Nimm deine Hand von meiner Hand, denn sie ist schmutzig!
Schmutzig!
Ich steck dein Tagebuch in Brand, denn es ist schmutzig!
Schmutzig!
Nur Luft und Lügen, sich zu fügen muss genügen
Doch mich selber zu betrügen, wär nicht fair
Ich will mehr! Mehr! Mehr!

[Strophe II:]
Ich verkauf mein Geld, ich verkauf mein Geld
Wenn ich die Zügel und die Welt mir die Steigbügel hält
Statussymbol oder Bodenkontakt?
Schau hin, schau hin - der Kaiser ist nackt!
Ich hör mich nicht, ich hör nur ""ich""
Wer geht auf dem Strich? Was steht unterm Strich?
Ich kenn den Zaunpfahl, ich versteh den Wink
Tausend Flamingos und der Himmel ist pink

[Chorus]

[Strophe III:]
Dann kämm ich mir die Mähne und renn um den heissen Brei
Rasier mir jeden Tag die Zähne, stell mein Leben auf Stand-by
Dein Blick wird eng, die Zeit wird enger - ich bin nicht langsam
Ich brauch nur länger
Ich wünschte, es wär morgen - ich wünschte
Das wär alles vorbei

[Chorus]
Nimm deinen Fuss aus meiner Tür, denn er ist schmutzig!
Schmutzig!
Du sollst die Unschuld nicht verführen, denn du bist schmutzig!
Schmutzig!
Nimm deine Zunge aus meinem Ohr, denn sie ist schmutzig!
Schmutzig!
Ich hab genug von deinen Worten, sie sind schmutzig!
Schmutzig!
Nimm deine Hand von meiner Hand";"https://genius.com/Jennifer-rostock-schmutzig-schmutzig-lyrics";"Released 2009"
"7";"Jennifer Rostock";"Jung und schön";"Der film";"[Strophe I:]
Sie schlug in dir noch keine Wogen
Sie tropft nur heiss auf deinen Stein
Hab sie für dich um mich betrogen
Den Klotz am gut rasierten Bein
Der Schlüssel passt in jedes Schloss
Doch rastet er nicht ein
Ich säge mein Gepräge aus, um bei dir zu sein
Mini-Welle, Dauer-Rock
Hechelnd laufen nach dem Stock
Lorbeer-Schaft und Buhl-Kranz
Erster sein beim Stuhltanz

[Chorus:]
Wie ein Chamäleon auf LSD
Doch wir kennen den Weg und es ist schon okay
Die Zeit dreht am Rad
Wir wollen uns nicht daran gewöhnen
Die Welt um uns wird alt
Aber wir bleiben jung und schön

[Strophe II:]
Du bist entzückt von meinen Posen
Doch weiter wagst du dich nicht
Du pflückst nur dornenlose Rosen
Und Barbies ohne Gesicht
Das Monster ist aus Gummimasse
Fruchtig, süss und klein
Ich fege mein Gehege aus, um bei dir zu sein
Lippen-Stempel, Schlampen-Stift
Hals-Nasen-Ohren-Lift
Lorbeer-Schaft und Buhl-Kranz
Erster sein beim Stuhltanz

[Chorus]

[Strophe III:]
Und alles, was mir bleibt
Ist ein farbloses Bilderbuch-Rendezvous
Und alles, was mir bleibt
Ist ihr Lippenstift an deinem Schuh

[Chorus]";"https://genius.com/Jennifer-rostock-jung-und-schon-lyrics";"Released 2009"
"8";"Jennifer Rostock";"Nenn mich nicht Jenny";"Der film";"[Strophe I:]
Kaum in der tür und schon in position
Nimmt das drama einmal mehr seinen lauf
Und du fragst mich nur, wie mein tag war und schon
Geht mir das messer in der hose auf
Deine freundlichkeit verdirbt mir den tag
Was ich mir selber nicht erklären kann
Zwar weiss ich, dass ich dich im grunde noch mag
Aber bitte fass mich nicht an

[Chorus:]
Und nenn mich nicht jenny, oh, nenn mich nicht jenny
Nenn mich nicht jenny, oh, nenn mich nicht jenny

[Strophe II:]
Gespräche stehen tag für tag spalier
Und haben keinen weiteren sinn
Wir wünschen uns tag für tag weg von hier
Und wissen doch nicht wohin
Das verlangen kommt abhanden, wenn man zu viel verlangt
Es ertrinkt in kalter gleichgültigkeit
Man bleibt so lange im bett, bis man daran erkrankt
Schuld war zu viel zeit zu zweit
Es tut mir leid, wir können uns nicht vertragen
Denn es gab keinen streit und keine offenen fragen

[Chorus:]
Nenn mich nicht jenny, oh, nenn mich nicht jenny
Das spiel ist verloren, also spiel uns nichts vor
Nenn mich nicht jenny, oh, nenn mich nicht jenny
Verbrauchte namen und sie bohren sich ins ohr
Die eigene vergangenheit zu oft kopiert
Haben wir uns dabei vor uns selbst blamiert
Nenn mich nicht jenny, oh, nenn mich nicht jenny
Die luft ist raus, es ist aus, es ist aus

[Strophe III:]
Wir haben einander, wir haben einander
Wir haben einander nichts mehr zu sagen
Wir haben einander, wir haben einander
Wir haben einander nichts mehr zu sagen
Es tut mir leid, wir können uns nicht mehr vertragen
Denn es gab keinen streit und keine offenen fragen

[Chorus]";"https://genius.com/Jennifer-rostock-nenn-mich-nicht-jenny-lyrics";"Released 2009"
"9";"Jennifer Rostock";"Der Gärtner";"Der film";"[Strophe I:]
Das Fester steht halb offen, die Gardine zittert kaum
Der letzte Atemzug meines Vertrauens erfüllt den Raum
Stumm liegt es am Boden neben fremder Frauen Dessous
Und deine Alibis haben weder Hand noch Fuß
Aus dem Hinterhalt erschlagen
Liegt mein Vertrauen im bleichen Licht
Und eins steht fest: der Gärtner, der wars nicht

[Chorus:]
Wir lieben den Mord, wie strafen den Mörder
Bis alles zerbricht
Wir lieben den Mord, wir strafen den Mörder
Bis alles zerbricht
Die Hoffnung stirbt zuletzt, aber sie stirbt
Und der Gärtner, der wars nicht

[Strophe II:]
Es riecht nach Honig und Kaffee, die Welt erwacht vergnügt
Die Sonne tanzt durchs Zimmer, aber die Idylle trügt
Die Turmuhr schlägt verdächtig
Bringt die Toten aufs Tablett
Die Geduld, die ich erbrachte, liegt tot im Bett
Vergiftet über Jahre, kurze Hand und lange Sicht
Und eins steht fest: der Gärtner, der wars nicht

[Chorus]

[Strophe III:]
Das Zimmer liegt im Sterben, die Turmuhr schlägt erneut
Das Mondlicht liegt in Scherben
Auf dem Boden wild verstreut
Rache schmeckt am besten, wenn sie heiß ist
Und das ist der Clou
Denn tot auf dem Sofa liegst du
Mit dem Jagdgewehr erschossen, mitten ins Gesicht
Und der Gärtner, der wars nicht

[Chorus]
Wir lieben den Mord, wie strafen den Mörder
Bis alles zerbricht
Wir lieben den Mord, wir strafen den Mörder
Bis alles zerbricht
Wir lieben den Mord, wie strafen den Mörder
Bis alles zerbricht
Wir lieben den Mord, wir strafen den Mörder
Bis alles zerbricht

[Outro:]
Die Hoffnung stirbt zuletzt, aber sie stirbt[x4]
Und der Gärtner, der wars nicht";"https://genius.com/Jennifer-rostock-der-gartner-lyrics";"Released 2009"
"10";"Jennifer Rostock";"Paris";"Der film";"[Strophe I:]
Ich hab mein Herz zu oft verschleudert
An die Männer dieser Welt nur um zu sehen
Dass mir von denen
Die Stange keiner lange hält
Doch du schlägst aus der Art und alle anderen in die Flucht
Denn wer zu sehr mit Eifer sucht
Dem wird die Suche bald zur Sucht

[Chorus I:]
Die Reste pack ich ein in altes Zeitungspapier
Es stinkt und das Wetter ist mies
Der Tank ist leer, doch ich will weg von hier
Ohne Kasse und Kies
Ich war noch nie in Paris

[Chorus II:]
Sie war noch nie in Paris
Ich hab zwei Tickets in die Stadt der Liebe
Komm wir verschwinden von hier
Sie war noch nie in Paris
Ich hab zwei Tickets in die Stadt der Liebe
Und ich fahr' mit dir

[Strophe II:]
Ich find' gefallen daran, und das mit Vergnügen
Doch ich kenn' mich hier nicht aus und der Schein kann trügen
Und blind macht das ja ohnedies
Ich war noch nie in Paris

[Bridge':]
Kein Bock, keine Regeln und das Wetter bleibt mies
Oh mon ami, oh mon cherie - ich war noch nie in Paris, Paris, Paris!

[Chorus I:]

[Chorus II:]";"https://genius.com/Jennifer-rostock-paris-lyrics";"Released 2009"
