"";"artist";"title";"album";"text";"url";"metadata"
"1";"Kettcar";"Volle Distanz";"Du und wieviel von deinen freunden";"Was geht in ihm vor?
Denkt er denn wirklich?
Denkt er, er kommt damit durch?
Hier im Licht
Hier im Niemandsland derer, die Leben eintauschen für Zeit
Bereit

Bereit für das Adrenalin und die Angst
Bereit für die volle, für die ganze Distanz
Bereit für ein Gut gegen Böse, die einfache Lösung
Und ich schlag zu

Hier auf dem Flur""Wer ist der Nächste?""Die Schwester ist freundlich genervt
Blut geronnen
Alles tut weh, aber wer hat dort gerade gewonnen?
Nicht egal

Und nichts ist beliebig und nichts ist egal
Atme ein atme aus, du hast immer die Wahl
Keine Stufen von Grau, sondern Schwarz oder Weiß
Und du weißt, was es heißt, wenn man tut, was man hasst

Und du kannst ja gehn
Und wir, wir sagen dir dann, wie's war";"https://genius.com/Kettcar-volle-distanz-lyrics";"Released October 28, 2002"
"2";"Kettcar";"Ausgetrunken";"Du und wieviel von deinen freunden";"[Verse 1]
Die Haustür hinter Dir
Vor Dir der Nachdurst, dazwischen wir
Immer auf dem Sprung aus der Tiefe
Und ist es vermessen
Zu sagen, um alles und uns zu vergessen

[Pre-Chorus]
Wir waren die ersten, die kamen
Die letzten, die gingen
Benommen von den Impressionen

[Chorus]
Und wenn das alles ist, OK
Nur schade, wenn man mehr erwartet
Der Teil den ich versteh
Ist home is nun mal where your heart is
Nichts von alledem
Hat was zu tun wonach du fragtest
Das, was ich dann noch versteh
Ist home is where your heart is

[Verse 2]
Ein freundliches Gesicht
Im Kreis der Vertrauten, im schwachen Licht
Gibt hin und wieder Informationen preis
Die etwas bewegen, die Lage verändern, die Meinung zerreden

[Pre-Chorus]
Wir waren die ersten, die kamen
Die letzten, die gingen
Verschlafen in den S-Bahn-Sitzen

[Chorus]
Und wenn das alles ist, OK
Nur schade, wenn man mehr erwartet
Der Teil den ich versteh
Ist home ist nun mal where your heart is
Nichts von alledem
Hat was zu tun wonach du fragtest
Das, was ich dann noch versteh
Ist home is where your heart is";"https://genius.com/Kettcar-ausgetrunken-lyrics";"Released October 28, 2002"
"3";"Kettcar";"Money Left To Burn";"Du und wieviel von deinen freunden";"[Verse 1]
Und ihr wisst ja, wie das ist
Es ist, das Geld kommt aus der Wand
Und ist es schließlich erstmal da
Erinnert sich keiner mehr daran
Wie's da hinkam, was geschah
Nur dass es weg muss, das ist klar
Nur die Stimmen fingen an zu nerven
Sie kamen und blieben da

[Pre-Chorus]
Zeig mir einen, dem das egal ist
Und ich zeig euch einen Lügner
Wir bezahlen mit unserem Namen
Und gestorben, wenn wir tot sind
Na, ein Glück, dass wir das klären
Money left to burn

[Chorus]
Das schlechte Gewissen,der sterbende Schwan
Es ist alles erledigt, nach dem was wir sahen
Als ob wir anders wären
Money left to burn
Und die, die's wissen, behalten's für sich
Das ist irgendwie schade, oder auch nicht
Als ob wir anders wären
Money left to
Money left to

[Bridge]
Du kennst den Asphalt und die Straßen, die Bars und die Gläser
Die Stimmen, die Lacher, die Macher, das Treiben und Bleiben
Da ist nunmal leider
Da ist nunmal leider kein Platz für den Quatsch, den du kennst

[verse 2]
Halleluja, dingdong, happy, habt ihr alle was ihr braucht?
Jetzt wo die Pinneberger weg sind und die Straßen uns gehörn
Und das Leben meint es ehrlich, und der Bordstein zählt dich an
Ein allerletztes Mal
Ein allerletztes Mal

[Pre-Chorus]
Zeig mir einen dem das egal ist
Und ich zeig euch einen Lügner
Wir bezahlen mit unserem Namen
Und gestorben, wenn wir tot sind
Na ein Glück, daß wir das klärn
Money left to burn

[Chorus]
Das schlechte Gewissen,der sterbende Schwan
Es ist alles erledigt, nach dem was wir sahen
Als ob wir anders wären
Money left to burn
Und die die's wissen, behalten's für sich
Das ist irgendwie schade, oder auch nicht
Als ob wir anders wären
Money left to
Money left to
Money left to";"https://genius.com/Kettcar-money-left-to-burn-lyrics";"Released October 28, 2002"
"4";"Kettcar";"Wäre er echt";"Du und wieviel von deinen freunden";"[Verse 1]
Stell Dir nur mal vor, er wäre echt
Wie er kam als sie sagte
Irgendwas mit Schluß und keinen Zweck mehr
Und zwei Wochen später der dreckige Rest
Und der letzte der's erfährt

[Chorus]
Was für Nervenstränge sollen das denn sein?
Und wer wischt das Blut weg?
Wäre er echt
Wer schützt die Notaufnahmen und wer hält die ganzen Hände?
Wäre er echt

[Verse 2]
Stell Dir nur mal vor, er wäre echt
Als der Anruf kam: ""Entschuldigung sind Sie?""
""Ja das bin ich"" - ""Wir müssen Ihnen mitteilen""
Und das Leben, das Du kanntest, das Leben war vorbei

[Chorus]
Was für Nervenstränge sollen das denn sein?
Und wer wischt das Blut weg?
Wäre er echt
Wer schützt die Notaufnahmen und wer hält die ganzen Hände?
Wäre er echt

Es wäre nicht zum Aushalten
Wäre er echt
Würd sagen alle Glück gehabt
Es wäre nicht zum Aushalten
Wäre er echt
Das ist ein allerletzter Trost";"https://genius.com/Kettcar-ware-er-echt-lyrics";"Released October 28, 2002"
"5";"Kettcar";"Landungsbrücken raus";"Du und wieviel von deinen freunden";"[Verse 1]
Wollt' ich leben und sterben wie ein Toastbrot im Regen
Wie ein betrunkener Hund im Zorn ohne Grund
Die Erinnerungssplitter liegen herum, ich tret rein
Und verblutend am Elbstrand, die Getränke sind alle
Noch ein letztes mal winken, auf dem Weg aus der Leichenhalle
Immer zuviel oder zuwenig in mir

[Pre-Chorus]
Als man ankam, wollte man werden
Die Geschichte schreiben, die Doofen sollen sterben
Der Plan
Als man damals nach Hamburg kam

[Chorus]
An den Landungsbrücken raus
Dieses Bild verdient Applaus
Und noch zweihundert Meter
Und jetzt geht der Fallschirm auf
Jetzt geht der Fallschirm auf
Na dann herzlich willkommen zuhaus
Und ein letztes Mal winken und
Ich bin raus

Aufstehen, atmen, anziehen und hingehenZurückkommen, essen und einsehen zum SchlussDass man weitermachen muss

[Chorus]
An den Landungsbrücken raus
Dieses Bild verdient Applaus
Und noch zweihundert Meter
Und jetzt geht der Fallschirm auf
Jetzt geht der Fallschirm auf
Na dann herzlich willkommen zuhaus
Ein letztes Mal winken und raus

Löschen und spul zurückLöschen und spul zurück
2002 the year Schwachsinn broke
Jenseits von cool und raus aus Selbstmitleid
Will Sätze, die sagen ""das war's""";"https://genius.com/Kettcar-landungsbrucken-raus-lyrics";"Released October 28, 2002"
"6";"Kettcar";"Balkon gegenüber";"Du und wieviel von deinen freunden";"[Verse 1]
Ist der Rasierer jetzt kaputt oder was?Gott, was sieht der bitter ausMehr Ränder als Augen und die unterlaufenEin Blick auf den Typ vom Balkon gegenüber
Vielleicht ist jemand gestorbenVielleicht ist er 30 gewordenDoch auf einmal ist es klarIch hab sie lang nicht mehrHab sie lang nicht mehr gesehen bei ihmSie kommt nicht mehr
Und da sah ich das Heer der leeren FlaschenAuf dem Balkon verteilt
Sie sammeln ihre Kräfte für die nächste Offensive
Für die Schlacht heut Nacht, eine ganze Armada
Und ich zieh den Vorhang zu
Und beim letzten Blick nach drüben denk ich noch

[Chorus]
Viel Glück heut Nacht
Und viel Glück demnächst
Wenn du weitermachst oder untergehst
Wenn du aufhörn willst und einsehn musst
Zwischen ""komm zurück"" und ""wirklich Schluss""
Und viel glück heut Nacht
Und in den nächsten Tagen
Und ich Vollidiot hab dir hier gar nichts zu sagenDu bist mir sowas von egalNur gibt es da draußen die, die kannten das auch malNur gibt es da draußen die, die kannten das auch malNur gibt es hier einen, der kannte das auchUnd wünscht Glück";"https://genius.com/Kettcar-balkon-gegenuber-lyrics";"Released October 28, 2002"
"7";"Kettcar";"Jenseits der Bikinilinie";"Du und wieviel von deinen freunden";"[Verse 1]
All die bitteren Momente in Fragmenten auf dem Boden
Die Summe unseres Alltags in zwei gepackten Koffern
Diese zwei Zimmer Altbau, dieses kleine Idyll
Was ich noch sagen wollte, ach ich sagte schon zuviel

[Pre-Chorus]
Das alles hier, das, was noch ging
Ging von allein
Das alles hier dreht sich um
Waschen, anziehn, losgehn und begrüßen
Lass mich wissen

[Chorus]
Was anders wird, wohin es führt
Wieviel es bedeutet, was hier passiert
Wie lange es dauert, bis die Milch sauer ist
Wieviel man behält und wieviel man vergisst


In welcher Zeit, besser wie viele Leben
Mit wieviel Raum und worüber noch reden
Und die Möbel noch umstellen, nur damit man vergisst
Was man noch hat, aber trotzdem vermisst

Aber was noch viel wichtiger ist
Die Geschwindigkeit mit der du aufbrichst
Als müsstest du dich beeilen und die Welt neu verteilen

[Verse 2]
All die Rahmen ohne BilderUnd die Ränder von Objekten
Hier hat einmal was gestanden
Ohne Namen und Geschichte
Die Kassette im RecorderAn der Stelle, wo es geschahUnd ich spul nochmal zurückUnd es passiert mir noch einmal

[Pre-Chorus]
Was übrig bleibt, was hier noch steht
Das gehört mir
Was übrig bleibt, dreht sich um
Suchen, denken, finden und vermissen
Lass mich wissen

[Chorus]
Was anders wird, wohin es führt
Wieviel es bedeutet, was hier passiert
Wie lange es dauert, bis die Milch sauer ist
Wieviel man behält und wieviel man vergisst

In welcher Zeit, besser wie viele Leben
Mit wieviel Raum und worüber noch reden
Und die Möbel noch umstellen
Nur damit man vergisst
Was man noch hat aber trotzdem vermisst

Aber was noch viel wichtiger ist
Die Geschwindigkeit, mit der du aufbrichst
Als müsstest du dich beeilen
Und die Welt neu verteilen";"https://genius.com/Kettcar-jenseits-der-bikinilinie-lyrics";"Released October 28, 2002"
"8";"Kettcar";"Lattenmessen";"Du und wieviel von deinen freunden";"[Verse 1]
Die Antwort lautet Nein hier
Wie war nochmal die Frage?
Spiel, Satz und Sieg für Nichts
Und wir haben alles und nichts zu sagen

""Hi, ich hab gehört, dass...""
""Danke Du mich auch mal""
Spiel, Satz und Sieg für Nichts
Und wir haben alles und nichts zu sagen

[Pre-Chorus]
Wir können das alles diskutieren
Aber doch bitte ohne zu reden
Zwischen großem Verständnis und ""von wegen""

Die Welt geteilt in gut und schlecht
Und wer bei 10 noch steht, hat Recht
Wer von uns bei 10 noch steht, hat Recht

[Chorus]
Bei 4 am Boden, tschüss ihr Vollidioten
Und 8 und 9, hip hip hurra
Und 10, ein allerletztes mal Vernunft

Ein allerletztes Mal
Ein letzter bester Witz
Und dann die Hände hoch, wenn doch alles verloren ist

[Pre-Chorus]
Wir können das alles diskutieren
Aber doch bitte ohne zu reden
Zwischen großem Verständnis und ""von wegen""

Die Welt geteilt in gut und schlecht
Und wer bei 10 noch steht, hat Recht
Wer von uns bei 10 noch steht, hat Recht

[Chorus]
Bei 4 am Boden, tschüss ihr Vollidioten
Und 8 und 9, hip hip hurra
Und 10, ein allerletztes mal Vernunft

Leise und deutlich raus hier, sagte nur (11x)";"https://genius.com/Kettcar-lattenmessen-lyrics";"Released October 28, 2002"
"9";"Kettcar";"Im Taxi weinen";"Du und wieviel von deinen freunden";"[Verse 1]
Na dann herzlichen Glückwunsch
Noch ein ganz kleines Stück, Jungs
Das böse, fiese Leben erdrückt uns
Ich mein: Hat nichts zu bedeuten
Kostet halt nur Leben
Meins, deins, seins, ich würd mal sagen von jedem
Es ist auch nur die Angst, die bellt
Wenn ein Königreich zerfällt
In ziemlich genau zwei gleichgroße Teile
Past und present future
Und Selbstmitleid für alle
Und jeder bringt sich selbst nach Haus
Und fast vernünftig aber raus
Die Kuh vom Eis und was es heißt
Ab jetzt wird eingetauscht

[Chorus]
Das Gegenteil von Gut ist ""Gut gemeint""
In Empfindsamkeit vereint
Ein befindlichkeitsfixierter Aufstand
Hetero und männlich, blass und armWeil wir bleiben, wie wir waren
Und ""Feuer frei und weiteratmen""
Das gute Wissen ist nicht billig
Zwischen ""glaub ich nicht"" und ""will ich""
Und das ist lustig wie ein Grab
Ist man jetztWo man nicht mehr high istFroh, dass es vorbei ist?

[Verse 2]
Der Tag an dem wir uns""We're gonna live forever""Auf die Oberschenkel tätowiertenWar der Tag, an dem wir wusstenDie Dinge, die wir sehenUnd die Dinge, die wir wollenSind zwei Paar Schuhe

Nur bitte was für ein Verständnis
Von Erkennen und Erkenntnis
Wenn ich sage ""Geld allein macht auch nicht glücklich""Aber irgendwie schon besserIm Taxi zu weinenAls im HVV-Bus, oder nicht?
Und wer hält, was er verspricht
Wenn er nicht glaubt, was er sagt?
Ich hab zuerst gefragt

[Chorus]

Froh, dass es vorbei ist?
Froh, dass es vorbei ist?";"https://genius.com/Kettcar-im-taxi-weinen-lyrics";"Released October 28, 2002"
"10";"Kettcar";"Hiersein";"Du und wieviel von deinen freunden";"[Verse 1]
Hiersein kommt zu mir und sagt: ""Schön, dich noch zu sehen""
Ich bin etwas irritiert, denn ich wollt schon wieder gehen
Und dann hält es mich am Ärmel und sagt: ""Fehler sind passiert""
Und ich höre, wie die Butter in der Pfanne applaudiert

[Pre-Chorus]
Beim Lachen erwischt, beim Zweifeln gesehen
Am Grinsen erkannt, da wird noch einiges gehen
Und keinerlei Fragen, um das zu verstehen

[Chorus]
Und dann im Boden versinken
Einen letzten Schluck trinken
Alles andere vergessen
Mit anderen Maßstäben messen
Und den Blick langsam senken, raus aus dem Licht

Und dann im Boden versinken
Einen letzten Schluck trinken
Alles andere vergessen
Mit anderen Maßstäben messen
Und den Blick langsam senken, raus aus dem Licht
Eine Geschichte - meine ist es nicht

Dieses Bild, das ihr habt
Das soll ich sein, wenn ihr wollt
Bleibe ich hier oder nicht
Und das Hiersein kommt zu mir

[Verse 2]
Hiersein kommt zu mir
Ich sag: ""Komisch, noch zu stehen
Und flache Hierarchien von unten anzusehen""
Und ich dreh mich schweigend um
Und mein Spiegelbild verliert
Sich im Fenster, vor dem
Der Regen applaudiert

[Pre-Chorus]
Beim Lachen erwischt, beim Zweifeln gesehen
Am Grinsen erkannt, da wird noch einiges gehen
Und keinerlei Fragen, um das zu verstehen

[Chorus]
Und dann im Boden versinken
Einen letzten Schluck trinken
Alles andere vergessen
Mit anderen Maßstäben messen
Und den Blick langsam senken, raus aus dem Licht
Eine Geschichte - meine ist es nicht

Und dann im Boden versinken
Einen letzten Schluck trinken
Alles andere vergessen
Mit anderen Maßstäben messen
Und den Blick langsam senken, raus aus dem Licht
Eine Geschichte - meine ist es nicht";"https://genius.com/Kettcar-hiersein-lyrics";"Released October 28, 2002"
