"","artist","title","album","text","url","metadata"
"1","Kettcar","Rettung","Zwischen den runden","[Strophe:]
Wir verließen den laden
Und jetzt noch 800 meter
Ich fühle mich erhaben
Wie ein rettungssanitäter
Du konntest nicht mehr gehen
Das heißt: huckepack nehmen
Du sagtest: ""lass mich zurück
Du kannst es schaffen ohne mich""
Ich sagte: ""nein, ein marine lässt niemanden im stich
Wir haben's gleich geschafft""
Und ich ging langsam durch die nacht
Als die sabberfäden zart mein ohr streiften
Als wir mit allerletzter kraft unser fort erreichten
Als du's grad noch ins bad schafftest, aber nicht zum klo
Und dann irgendwas in den haaren hattest
Und ich wusste wieso
Es ist nicht das, was man empfindet
Nicht nur das, was man fühlt
Nicht, was man voller sehnsucht sucht
Liebe ist das, was man tut
Wir zahlten den abend mit unserer härtesten währung
Für alles einen grund, aber für nichts eine erklärung
Und jetzt liegst du da und ich pul' essen aus deinem haar
Ich sagte: ""komm, trink das aus
Es wird das schlimmste verhindern""
Das unheil morgen früh vielleicht ein kleines bisschen lindern
Ich wischte alles weg
Ich stellte schüsseln neben's bett
Und du sagtest: ""ich möchte nicht, dass du mich so siehst
Ich will hier leise sterben und ich möchte, dass du gehst""
Alle fenster auf kipp
Und ich dachte: na gut
Nicht, was man empfindet, es ist das, was man tut
Und im türrahmen ein letzter blick
Auf dich und auf das bild des elends
Auf dem küchentisch dann eine zeile:
""Guten morgen, liebe meines lebens""","https://genius.com/Kettcar-rettung-lyrics","Released February 10, 2012"
"2","Kettcar","Im Club","Zwischen den runden","[Strophe I:]
An die trostlosen helden
Die blinden propheten
Die stolzen versager
In sterbenden städten
Oh kommt, kommt alle kurz zusammen
An die verkannten genies
Mit zwei linken händen
Die vergessenen denker
Die stumpfen legenden
Oh kommt, kommt zusammen
Wir sind unten am stand, eine ganze armee, nur falls man uns sucht
In der dämmerung warten wir auf den tag, kurz nach der flut

[Pre-Chorus:]
Und du spürst es - es wird nichts mehr werden
Und fühlst es - tausende scherben
Und siehst, wie der große plan zerfällt

[Chorus:]
Kommt zusammen - nach schlaflosen nächten
Zusammen - nach letzten gefechten
Im allergrößten club der welt

[Strophe II:]
An die verpassten chancen
Das letzte aufbäumen
Die verlorene liebe
Die platzenden träume
Oh kommt, kommt alle kurz zusammen
Wir sind unten am strand, der blick geht aufs meer
Millionen von rettungsbooten - von überall her
Wir zünden große feuer an
Jeder wird mitglied - der eintritt ist frei aber nicht umsonst
Du nimmst nichts mit, wenn das hier vorbei ist
Du gehst, wie du kommst

[Pre-Chorus]

[Chorus]

[Outro:]
Und du nimmst nichts mit
Du gehst so, wie du kommst
Wenn das hier vorbei ist","https://genius.com/Kettcar-im-club-lyrics","Released February 10, 2012"
"3","Kettcar","Schwebend","Zwischen den runden","[Strophe I:]
Die augen langsam auf
Ich erinnere mich
Der hellste raum
Es ist alles voller licht
Irgendwo im hinterhof lacht ein kind
Eine einsame wolke
Verliert ihren kampf
Durch's offene fenster
Ein hauch, so sanft
Und ein paar staubflocken tanzen zur stille

[Pre-Chorus:]
Und ich bin so
Schwerelos
Fast schon
Schwebend

[Chorus:]
Und ich bin so
Schwerelos (nur das rauschen der autos)
Fast schon (ganz in der ferne)
Schwebend (ist leise zu hören)

[Strophe II:]
Ich schließe die augen
Ich schwebe davon
Über die brüstung
Dieses kleinen balkons
An höhe gewinnen
Ich hab nie mehr angst
Der schwerkraft entgegen
Ich bin leicht wie ein blatt
Über die häuser
Und die straßen dieser stadt
Ich bin so weit oben. Dieser welt enthoben

[Pre-Chorus]

[Chorus]

[Outro:]
Ich öffne die augen
Dreh mich zu dir
Dein lächeln
Und leise: komm zu mir","https://genius.com/Kettcar-schwebend-lyrics","Released February 10, 2012"
"4","Kettcar","R.I.P.","Zwischen den runden","[Strophe I:]
Die stille im haus, das schweigen zum schluss
Haare im kissen und haare im abfluss
Gemeinsame zukunft, das leben danach
Die materialschlacht
Die hoffnung, der stolz, das wahre gesicht
Der eiserne wille und wie er zerbricht
Die kämpfe, die ohnmacht, der stechende schmerz
Und das stolpernde herz
Das ständige aufstehen, das ständige umfallen
Und wenn der letzte satz nichts kann
Denkt der gegensatz
Mach platz, jetzt bin ich dran

[Chorus:]
Das glück und die verfolger
Und einer ruft von hinten:
Wenn das der frieden ist
Musst du den krieg nicht noch erfinden

[Strophe II:]
Die schlechten verlierer, die schlechten gewinner
Die grenze des schlimmen und immer noch schlimmer
Ein strohhalm im angebot
Katze spaß, maus tot
Die haushohen wellen, die schlösser auf sand
Die schere im kopf und der rücken zur wand
Feuchte augen, die sich rot verfärben
Sie wollen nur leben vorm sterben
Das ständige umfallen, das ständige aufstehen
Und wenn der letzte schlag nichts kann
Denkt der gegenschlag:
Mach platz, jetzt bin ich dran
Ich wollte nicht ertrinken
Ich fing langsam an zu sinken
Mit meinen schwimmflügeln aus blei
Und alles leichte schwamm vorbei

[Chorus]

[Outro:]
Wenn das der frieden ist
Lass niemals krieg sein","https://genius.com/Kettcar-rip-lyrics","Released February 10, 2012"
"5","Kettcar","Kommt ein Mann in die Bar","Zwischen den runden","[Strophe I:]
Ein Mann kommt in die Bar
Und der Wirt sagt: Jetzt ist Schluss
Das ist längst schon nicht mehr witzig
Nicht weil es nie witzig war
Sondern der Umsatz viel zu schlecht ist für Pointen
Die, wenn man es genauer nimmt
Im Grunde noch viel schlechter sind
Ein Hund steht vor der Tür
Und der Mann sagt: alles klar
Überall lange Gesichter
Weil nichts ist, wie es mal war
Und jeder noch so gute Witz auf Kosten anderer
Für den, der draußen bleiben muss, ja sowieso zu teuer ist
Und am Glücksspielautomaten hofft ein Mädchen
Dass die Sonne jetzt aufgeht
Wie der Holzpfahl in einem Garten jedes Jahr hofft
Dass er grün wird
Wenn der Frühling vor der Tür steht
Das Mädchen sagt: Man sollte
Vielleicht aufhören zu hoffen
Das Dach ist dicht, das Bier ist kalt
Das Herz ist längst gebrochen
Und der Hafen bringt nur dem was, der zurückkommt
Und die bestgemeinteste Revolte nur dem was, der sie wollte
Ich war jung, erzählt der Mann
Lernte schwimmen und am Rand
Standen sie und riefen
Einatmen, ausatmen!
Vor Lachen wäre ich fast ertrunken
Schluckte Wasser und begriff, dass nicht mehr zu erwarten ist
Gegenüber auf dem Spielplatz beißt der Hund sich durch den Reifen
Zwischen Kindern mit ihren Müttern, die so müde davon sind
Die Mäuse für die Schlangen zu füttern

[Chorus:]
Vielleicht, vielleicht ist es nicht leicht, das alles zu ertragen
Die Hoffnung ist schon vorgerannt
Um das Grab schon mal zu graben
Vielleicht merkt das der Kluge und der Dumme macht Bemerkungen
Und der eine hält es aus und der andere läuft los und holt Verstärkung

[Strophe II:]
Und das Mädchen lässt sich auszahlen
Und der Mann ist längst zu Hause
Und der Wirt wischt übern Tresen und sagt
Morgen ist es

[Chorus:]
Vielleicht, vielleicht erst recht nicht nicht mehr alleine zu ertragen
Die Hoffnung ist schon vorgerannt, um das Grab schon mal zu graben

[Outro:]
Vielleicht, vielleicht, vielleicht, vielleicht wird das die letzte Nacht
Ansonsten werd' ich weiter suchen, bis ich dich gefunden hab","https://genius.com/Kettcar-kommt-ein-mann-in-die-bar-lyrics","Released February 10, 2012"
"6","Kettcar","Weil ich es niemals so oft sagen werde","Zwischen den runden","[Strophe:]
Weil ich es niemals so oft sagen werde
Wie du es hören willst
Obwohl es wahr ist
Weil ich es sicher öfter fühlen werde
Als du es spüren kannst
Und es ganz klar da ist
Wenn in den perfekten Momenten die Wörter sich hinter uns aufbauen
Bis ein Fremder dann schreit
""Schnitt! Auf Anfang! Licht stimmt nicht
Und denk an die Pause
Bei 'Ich liebe' und 'dich'
Von vorn und mehr Licht auf die beiden!
Und bitte wo bleiben die Geigen?""
Und ich will es zeigen
Und nicht sagen
Und du wirst es wissen
Nicht glauben, nicht fragen
Weil man sich ständig selber fragt
Ob ein Lügner jetzt dasselbe sagt
Ich vertraue diesen Wörtern nicht
Nicht ihrem Wert und ihrem Gewicht
Ich werd auch nicht der Held deiner Story
Einer großen Geschichte
Einem grandiosen Gedicht
Auf 600 Seiten oder drei Minuten
Wo wir alles behaupten
Und dann alle verbluten
Bitte wo bleiben die Geigen?
Und wir können uns entscheiden
Ein leises Verschwinden
Eine Sprache erfinden
Und dann diesen ganzen Mist überwinden
Weil ich's niemals so oft sagen werde
Wie du es hören willst","https://genius.com/Kettcar-weil-ich-es-niemals-so-oft-sagen-werde-lyrics","Released February 10, 2012"
"7","Kettcar","Schrilles, buntes Hamburg","Zwischen den runden","[Strophe I:]
Wir hatten vier, fünf gute jahre
In zukünftiger bester lage
Der malerfürst lässt leise wissen
Ab jetzt komm' die touristen
Pioniere in problemgebieten
Wo wir hinkommen, da steigen mieten
Wir tun, als ob wir es nicht wüssten
Ab jetzt komm' die touristen
In der hafencity abendsonne
Oft kunstevents
Hier perlenkettenpläne
Dort nudeln mit senf
Dann das rettende ufer auf dem schoß des intendanten
Der jägermeister-roby
Wir haben schon verstanden

[Chorus:]
Es muss immer alles komplett verwertet werden
Was komplett verwertet werden kann. [x6]

[Strophe II:]
Hop-On Hop-Off-Bustransfer
Wo wir einst unter bäumen schliefen
Jetzt zählen nur noch die Divisen
Der Geister, die wir riefen
Und euer Leuchtturm ist wirklich schön geworden
Verkauft die stacheldrahtaussicht
An die trampelden horden
Schrilles, buntes hamburg
Von tal der enttäuschung, zum hang der erkenntnis

[Chorus]

[Strophe III:]
Businnes-punk und minenhunde
Hungermarsch und laptop-poser
Ein leerer saal, ein weißes blatt
Der malerfürst verlässt die stadt
Auf Champagnervernissagen
Bei den brennenden barrikaden
Und rauschend in der Stille
Am ende steht der freie wille","https://genius.com/Kettcar-schrilles-buntes-hamburg-lyrics","Released February 10, 2012"
"8","Kettcar","Nach Süden","Zwischen den runden","[Strophe:]
Die schwestern kamen alle noch einmal vorbei
Um ordentlich abschied zu nehmen
Der chefarzt, wie immer nur halblustig
Sagte: ""schön, sie hier nie mehr zu sehen""
Aus den oberen zimmern, hinter gardinen
Riefen ein paar deinen namen
Es klang wie ein auftrag, und du dachtest nur
""Wie viele menschen kann ein mensch umarmen?""
Dein bruder ist die nacht durchgefahren
Und bringt dich nach hause
Jetzt, nach eineinhalb jahren
Alles erleuchtet
Gleißend hell
Und du hältst den kopf
Aus dem fenster raus
Willst den fahrtwind spüren
Auf dem weg nach haus
Siehst die vögel ziehen
Ziehen nach süden
Vorbei an wiesen
Auf sanften hügeln
Du schließt die augen
Und spürst den wind","https://genius.com/Kettcar-nach-suden-lyrics","Released February 10, 2012"
"9","Kettcar","In deinen Armen","Zwischen den runden","[Strophe I:]
In deinen armen
Hab ich kurz vergessen
Dass sie hinter mir noch schießen
Und schwache herzen zerbrechen
In deinen armen
Hab ich für einen moment
Nicht mehr an die verletzungen gedacht
Und an die tränen an meinem hemd
Du sagst, nach allem, was du weißt
Ist noch nie ein boxer in den kampf gegangen
Der ""vorsicht"" heißt
Bei der haustür an der wand
Steht thomas + mareike
Und wenn wir heute beide sehen
Ist er allein, allein, allein
Und sie ist irgendwo und sagte noch im gehen:
Wer einem alles geben kann
Kann einem auch alles nehmen
In deinen armen
Hab ich nicht mehr gewusst
Dass aus dem kitsch ein krieg werden kann
Und aus einem wollen ein muss
In deinen armen
Hab ich nicht mehr daran gedacht
An die gebrannten kinder und die
Herdplatten, die ich angefasst hab
Du sagst, nach allem, was du weißt
Hast du noch nie ein pferd ein rennen gewinnen sehen
Das ""trübsal"" heißt
Bei der haustür an der wand
Steht: thomas + mareike
Und da drunter steht ganz klein
Thomas ist ein schwein!
Und so kann es gehen:
Wer einem alles geben kann, kann einem auch alles nehmen
Und in deinen armen
Hab ich einfach still gelegen
Und ich ließ mich fallen und sagte nur
Lass uns einfach alles geben","https://genius.com/Kettcar-in-deinen-armen-lyrics","Released February 10, 2012"
"10","Kettcar","Der apokalyptische Reiter und das besorgte Pferd","Zwischen den runden","[Strophe I:]
Ich war nur das besorgte Pferd und du der apokalyptische Reiter
Ich dachte, es läuft verkehrt, und du dachtest nur: Weiter, weiter
Wir erkanten auf Hunderte von Metern jedes Idioten-Schwein
Wir waren wie ""Dick und Doof"", nur halt ohne dick und doof zu sein
Warst du da
Dachte ich nur
Alles klar
So kann es also auch sein

[Chorus:]
Und während wir durch die Gegend rannten
Mit jedem Tag uns mehr verloren
Die Regeln nur noch vom Hören kannten
Was hatten wir bloß vor?
Der apokalyptische Reiter wollte
Weiter bis der Faden reißt
Das kleine besorgte Pferd sollte erkennen
Was das heißt, wenn der Zug entgleist

[Strophe II:]
Und während wir so rannten, fragte ich mich, was er jetzt vor hat
All die Regeln, die wir kannten: Immer nur ein Vorschlag
Der Motor musste immer laufen, mit allem, was uns wach hält
Die Wohnung wurde Trümmerhaufen, Müllhalde und Schlachtfeld
Und ich wette, du dachtest wirklich, wir wären auf irgendeiner verdammten Suche
Wir waren auf der Flucht
Und ich begann es zu verfluchen
Und ich dachte, es geht, bis ich wusste es geht nicht
Ein Spießerpony auf dem Weg zur Spätschicht
Heute lebst du irgendwo und ich hab uns fast vergessen
Und ich weiß: Ein Teil von mir wird dich immer vermissen
Immer

[Chorus]
Und während wir durch die Gegend rannten
Mit jedem Tag uns mehr verloren
Die Regeln nur noch vom Hören kannten
Was hatten wir bloß vor?
Der apokalyptische Reiter wollte
Weiter bis der Faden reißt
Das kleine besorgte Pferd sollte erkennen
Was das heißt

[Outro:]
Und während wir durch die Gegend rannten
Mit jedem Tag uns mehr verloren
Die Regeln nur noch vom Hören kannten
Was hatten wir bloß vor?
Der apokalyptische Reiter wollte
Weiter bis man nichts vermisst
Das kleine besorgte Pferd sollte wissen, wie das ist
Wenn du am Leben bist","https://genius.com/Kettcar-der-apokalyptische-reiter-und-das-besorgte-pferd-lyrics","Released February 10, 2012"
