"","artist","title","album","text","url","metadata"
"1","Madsen","Ja oder nein","Frieden im krieg","[Strophe 1]
Auf die Plätze, fertig, los, es ist so weit
Es wurde lange diskutiert, wir hatten sehr viel Zeit
Lass mich jetzt nicht im Regen stehen
Ein Taxi steht vor deiner Tür und ist bereit
Doch es wartet keine Ewigkeit
Ob mit oder ohne dich, ich muss jetzt gehen

[Refrain 1]
Unentschlossenheit verschwendet unsere Zeit
Jetzt ist es soweit, jetzt ist es soweit

[Refrain 2][x2]
Los komm, steig ein oder lass es sein
Geh los, bleib stehen, raus oder rein
Entscheide dich, kein Kompromiss
Ja oder nein

[Strophe 2]
Was fühlst du jetzt in diesem Augenblick
Was sagt dein Herz, es belügt dich nicht
Handle im Affekt, tu' das Richtige spontan
Für das hier gibt es keinen Kompromiss
Nur du weißt, was falsch oder richtig ist
Es gibt keine Garantie und es gibt keinen Plan

[Refrain 1]

[Refrain 2][x2]

[Strophe 3]
Hör auf zu diskutieren
Wer gewinnen will, muss auch mal verlieren
Fang an zu riskieren
Wer gewinnen will, muss auch mal verlieren

[Refrain 2][x2]","https://genius.com/Madsen-ja-oder-nein-lyrics","Released March 7, 2008
Producers

    
      Olaf Opal
Writers

    
      Johannes Madsen & Sebastian Madsen"
"2","Madsen","Nachtbaden","Frieden im krieg","[Intro]
Oh nein!

[Strophe 1]
Oh nein, schon wieder Samstag
Und eine lauwarme Sommernacht
Die meisten meiner Freunde sind in Berlin
Und ich sitze hier allein und bin hellwach
O nein, schon wieder Samstag
Und ich trinke alleine Bier
Ich hab gehört, du bist in der Nähe
Was soll ich also alleine hier?

[Refrain]
Hättest Du nicht Lust
Mit mir den Abend zu verbringen?
Gegen den Frust
Wir könnten Nachtbaden gehen
Hättest Du nicht Lust
Mit mir den Abend zu verbringen?
Gegen den Frust
Ins kalte Wasser springen

[Strophe 2]
Oh nein, schon wieder Samstag
Ich hasse diese Ausgehpflicht
Erzähl mir nicht, was ich verpasse
Denn es interessiert mich nicht
Ich weigere mich
Ich gehe nicht tanzen
Ich weigere mich
Ich geh nicht unter Leute
Ich weigere mich
Ich will keinen Smalltalk
Ich weigere mich
Zumindest heute

[Refrain]
Hättest Du nicht Lust
Mit mir den Abend zu verbringen?
Gegen den Frust
Wir könnten Nachtbaden gehen
Hättest Du nicht Lust
Mit mir den Abend zu verbringen?
Gegen den Frust
Ins kalte Wasser springen

[Refrain]
Hättest Du nicht Lust
Mit mir den Abend zu verbringen?
Gegen den Frust
Wir könnten Nachtbaden gehen
Hättest Du nicht Lust
Mit mir den Abend zu verbringen?
Gegen den Frust
Ins kalte Wasser springen","https://genius.com/Madsen-nachtbaden-lyrics","Released March 7, 2008
Producers

    
      Olaf Opal
Writers

    
      Johannes Madsen & Sebastian Madsen"
"3","Madsen","Nitro","Frieden im krieg","[Verse 1]
Jeder kennt ihn schon
Das Arschloch der Nation
Wie konnte er so etwas tun?
Überall schreckt jeder auf
Und alle schreien laut:
""Sperrt ihn ein! Macht alle Türen zu!""
Er war ein Einzelgänger
Doch eigentlich ganz normal
Wahrscheinlich ging es ihm nicht gut
Der Junge hat's nicht leicht gehabt
Doch keiner kann verstehen
Woher kam bloß all seine Wut?

[Chorus]
Sie haben ihm Nitroglycerin
In seine Adern gespritzt
Dort wo es am meisten schmerzt
Haben sie ihn erwischt

[Verse 2]
Wir haben einen neuen Feind
Wegen ihm haben alle geweint
Das Böse in Menschengestalt
Egal woher er kam
Egal wohin er geht
Er ist brutal, sein Herz ist kalt
Er war zwar etwas komisch
Doch hat niemanden gestört
Er ließ kein' an sich heran
Keiner weiß wer dieser kleine stille Junge war
Erst als Junge mit der Bombe
Wurde er bekannt

[Chorus][x2]
Sie haben ihm Nitroglycerin
In seine Adern gespritzt
Dort wo es am meisten schmerzt
Haben sie ihn erwischt
Jetzt ist er explodiert
Und die ganze Welt geschockt
Niemand hätte das gedacht
Wie konnte es soweit kommen?","https://genius.com/Madsen-nitro-lyrics","Released March 7, 2008
Producers

    
      Olaf Opal
Writers

    
      Johannes Madsen & Sebastian Madsen"
"4","Madsen","Vollidiot","Frieden im krieg","Dreh die Zeit zurück
Und erinnere dich
Dreh die zeit zurück
Sieh mir ins Gesicht
So ein Vollidiot bin ich
Eigentlich nicht

Strophe:

Der Regen fällt hart
Jeder Tropfen tut weh
Ich hab es geahnt
Es war abzusehen
Der Wind ist kalt
Doch nicht so kalt wie du
Machs dir nicht so leicht
Warum hörst du mir nicht zu

Refrain:

Dreh die Zeit zurück
Und erinnere dich
Dreh die zeit zurück
Sieh mir ins Gesicht
So ein Vollidiot bin ich
Eigentlich nicht

Strophe:

Dein Blick nach vorn
Entschlossen und stark
Ich hab dich verloren
Bin nicht mehr eingeplant
Der Wind ist kalt
Doch nicht so kalt wie du
Machs dir nicht so leicht
Warum hörst du mir nicht zu

Refrain:

Dreh die Zeit zurück
Und erinnere dich
Dreh die zeit zurück
Sieh mir ins Gesicht
So ein Vollidiot bin ich
Eigentlich nicht


Und ich fühle mich wie Luft
Und ich fühle mich wie Staub
Du hast alles ausgelöscht
Jede Erinnerung
Und ich fühle mich wie Luft
Und ich fühle mich wie Staub
Du hast alles ausgelöscht
Jede Erinnerung

Dreh die Zeit zurück
Und erinnere dich
So ein Vollidiot bin ich
Eigentlich nicht","https://genius.com/Madsen-vollidiot-lyrics","Released March 7, 2008
Producers

    
      Olaf Opal
Writers

    
      Johannes Madsen & Sebastian Madsen"
"5","Madsen","Du bist wie Du bist","Frieden im krieg","[Verse 1]
Du bist eigenartig, sicherlich nicht ganz normal
Du fällst aus der Reihe, du bist anders als neutral
Du bist schön und das ganz ohne Schönheitsideal
Du bist original, dich gibt es nur einmal

[Chorus]
Du passt in keine Form
Du passt in kein System
Bitte lass dich nicht verdrehen
Und lass dir nichts erzählen
Du bist wie du bist
Du bist wie du bist
Etwas besonderes, für mich
Du bist wie du bist
Du bist wie du bist
Etwas besonderes, einmalig

[Verse 2]
Du trägst keine Uniform und bist nicht nummeriert
Du bist wie von Hand gemalt und nicht fotokopiert
Du kennst deine Schwächen und gestehst dir Fehler ein
Du bist kein perfekter Mensch und willst es auch nicht sein

[Chorus]

[Verse 3]
Egal ob Hippie oder Rapper
Fetter Checker, Dachdecker oder Bäcker
Rocker, Loser, brav oder frech
Hauptsache echt

[Outro]
Du bist wie du bist
Du bist wie du bist
Etwas besonderes, für mich
Du bist wie du bist
Du bist wie du bist
Etwas besonderes, einmalig
Ohne Kompromiss","https://genius.com/Madsen-du-bist-wie-du-bist-lyrics","Released March 7, 2008
Producers

    
      Olaf Opal
Writers

    
      Johannes Madsen & Sebastian Madsen"
"6","Madsen","Grausam und schön","Frieden im krieg","[Verse 1]
Kann es etwas schöneres geben
Als das jetzt, ich glaube nicht
Wie könnte ich dich noch mehr lieben
Als in diesem Augenblick
Mach die Kamera aus
Und schließe die Augen
Die Bilder in deinem Kopf reichen aus
Um dir selber zu glauben
Das Glück kommt unerhofft und plötzlich
Wenn du alles vergisst
Machmal merken wir erst was gut ist
Wenn es zu spät ist also

[Chorus]
Halte diesen Augenblick fest
Er wird dich begleiten
Halte diesen Augenblick fest
Für schlechte Zeiten
Es wird wieder regnen
Du wirst wieder Sonne sehen
Dieses Leben ist grausam und schön

[Verse 2]
Du warst müde und kraftlos
Das Leben war hart zu dir
Doch du hast deinen Frust überstanden
Zum Glück bist du jetzt hier
Und alles was noch kommt
Ist ungewiss
Doch du weißt dass es jetzt
Gerade perfekt ist also

[Chorus]

[Verse 3]
Kann es etwas schöneres geben
Als das jetzt, ich glaube nicht
Wie könnte ich dich noch mehr lieben
Als in diesem Augenblick

[Chorus]","https://genius.com/Madsen-grausam-und-schon-lyrics","Released March 7, 2008
Producers

    
      Olaf Opal
Writers

    
      Johannes Madsen & Sebastian Madsen"
"7","Madsen","Verschwende Dich","Frieden im krieg","[Verse 1]
Du bist noch lange nicht am Ziel und schon so lange unterwegs
Die Leidenschaft treibt dich voran, weil du das tust wofür du lebst
Hände kommen von allen Seiten, fangen an nach dir zu greifen
Engen dich ein, versperren dir den Weg
Stimmen flüstern Unwahrheiten, ohne ein Gesicht zu zeigen
Sie können und sie wollen dich nicht versteh'n

[Chorus 1]
Verschwende dich nicht, verbrenne dich nicht
An heißer Luft und schlechter Energie
Verschwende dich nicht, veränder dich nicht
Bleib bei den Dingen die du liebst
Bleib bei den Dingen die du liebst

[Verse 2]
Du wirst geliebt, du wirst gehasst
Dazwischen gibt es nicht viel Platz
Du steigst hinauf, du fällst hinab
Stehst wieder auf, fängst wieder an
Der Regen peitscht in dein Gesicht, der Wind er stellt sich gegen dich
Du darfst dich jetzt selber nicht verlier'n
Provokationen wollen dich testen, Kräfte wollen sich mit dir messen
Du lässt deine Kraft lieber bei dir

[Chorus 1]

[Chorus 2][x2]
Vergesse dich nicht, verlasse dich nicht
Verlaufe dich nicht, verkaufe dich nicht
Verschenke dich nicht, veränder dich nicht
Verbrenne dich nicht, verschwende dich nicht

[Chorus 1]","https://genius.com/Madsen-verschwende-dich-lyrics","Released March 7, 2008
Producers

    
      Olaf Opal
Writers

    
      Johannes Madsen & Sebastian Madsen"
"8","Madsen","Liebeslied","Frieden im krieg","[Verse 1]
Hörst du den Lärm draußen in den Straßen
Auf den Plätzen und in den Gassen
Alle reden durcheinander
Und sagen nichts
Wir leben in bösen Zeiten
Nur schlechte Neuigkeiten
Sogar dein Nachbar verkündet
Das Ende der Welt

[Chorus 1]
Wir fliehen aus der Stadt
Damit der Wahnsinn ein Ende hat
Und du willst, dass ich etwas sing
Das dich glücklich macht

[Chorus 2]
Also sing ich dir ein Liebeslied
Um nur kurz Luft zu holen
Und dem Alltag zu entfliehen
Also singe ich dir ein Liebeslied
Mit allem drum und dran
Und schön, dass es dich gibt

[Verse 2]
Du willst nur kurz belogen werden
Und du willst dir nichts erklären
Dein Kopf ist voll mit schlechten Melodien
Du willst nur kurz die Augen schließen
Und dieses liebe Lied genießen
Wahrscheinlich ist es eine gute Medizin

[Chorus 1]

[Chorus 2]

[Verse 3]
So wie schon tausend andere vor mir
Viel zu schön um wahr zu sein
Und trotzdem gefällt es dir
Also sing ich dir ein Liebeslied
Das dich umarmt und dich charmant belügt

[Chorus 2]","https://genius.com/Madsen-liebeslied-lyrics","Released March 7, 2008
Producers

    
      Olaf Opal
Writers

    
      Johannes Madsen & Sebastian Madsen"
"9","Madsen","Astronaut","Frieden im krieg","[Verse 1]
Ich kann die Welt von oben sehen, den besten Blick habe ich hier
Doch es ist gar nicht so schön, ich wäre lieber unten bei dir
Leider wurde ich hier vergessen und hab das letzte Flugzeug verpasst
Doch ich weiß, dass du mich noch nicht vergessen hast

[Chorus]
Ich schwebe im Nebel, ich komme nirgendwo an
Bitte mach ein großes Feuer, damit ich dich finden kann
Ich schwebe im Nebel, ich hoffe du fängst mich auf
Ich bin wie ein einsamer Astronaut

[Verse 2]
Schwerelos fliege ich umher, die ganze Welt unter mir
Ich will nur fest im Boden stehen, ich will zurück zu dir
Keine Rakete holt mich ab und im großen Wagen ist kein Platz
Doch ich weiß, wir werden uns wieder sehn, irgendwann

[Chorus][x2]","https://genius.com/Madsen-astronaut-lyrics","Released March 7, 2008
Producers

    
      Olaf Opal
Writers

    
      Johannes Madsen & Sebastian Madsen"
"10","Madsen","Kein Weg zu weit","Frieden im krieg","[Verse 1]
Ich werde nicht müde und ich werde nicht alt
Ich bin auf der Suche und weiß der Weg ist noch weit
Ich laufe im Dunkeln und folge meinem Gefühl
Ohne Wegbeschreibung, doch ich weiß was ich will
Doch ich weiß was ich will

[Chorus]
Kein Weg ist zu weit
Kein Fluss ist zu breit
Ich bin zu allem bereit
Bis wir uns wieder sehen
Werd' ich immer weiter gehen

[Verse 2]
Ich durchquere die Wüste und renne gegen den Wind
Ich springe ins tiefe Wasser, wo die Wellen am höchsten sind
Ich kämpfe gegen Riesen, ich zweifle an meinem Verstand
Wir werden uns begegnen, bitte sag mir wann
Bitte sag mir wann

[Chorus][x2]","https://genius.com/Madsen-kein-weg-zu-weit-lyrics","Released March 7, 2008
Producers

    
      Olaf Opal
Writers

    
      Johannes Madsen & Sebastian Madsen"
