"";"artist";"title";"album";"text";"url";"metadata"
"1";"Madsen";"Wenn es einfach passiert";"Lichtjahre";"[Verse 1]
Ein Fuß aus dem Bett auf's Zehn-Meter-Brett
Ich kann ich nicht bewegen
Herzrasen, Wohnungstür, Menschenmassen neben mir
Ich kann nicht mit ihnen reden
Fliegen summen laut wie Presslufthammer
Und der Himmel wird zur Schreckenskammer
Nur ich selber kann mich davon befreien
Und das Beste ist, ich weiß

[Chorus]
Wenn es einfach passiert
Wird mich die Angst nicht kontrollieren
Wenn es einfach passiert
Lasse ich mein Herz über mich regieren
Wenn es einfach passiert
Wird mir nichts passieren

[Verse 2]
Panik vor den kleinsten Dingen
Nichts will mir mehr gelingen
Wann hört das endlich auf?
Freunde fragen ""Lebst du noch?""
Atemnot und Lärm im Kopf
Ich, ich halt das nicht mehr aus
Wenn die Vögel wie Raketen klingen
Ist nach Draußen geh'n wie Fallschirmspringen
Warum werden meine Beine so schwer?
Und ich frag mich, wie es wär

[Chorus]
Wenn es einfach passiert
Wird mich die Angst nicht kontrollieren
Wenn es einfach passiert
Lasse ich mein Herz über mich regieren
Wenn es einfach passiert
Wird mir nichts passieren

[Bridge]
Tanzen im Regen
In der Achterbahn schreien
In der ersten Reihe stehen
Vor lauter Freude weinen
Auf hohe Berge steigen
Die Welt von oben sehen
Mitten im Leben stehen

[Chorus]
Wenn es einfach passiert
Wird mich die Angst nicht kontrollieren
Wenn es einfach passiert
Lasse ich mein Herz über mich regieren
Wenn es einfach passiert
Wird mir nichts passieren";"https://genius.com/Madsen-wenn-es-einfach-passiert-lyrics";"Released June 15, 2018
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Label

    
      Arising Empire
Featuring

    
      Ferris MC & König Boris
Producers

    
      Madsen & Olaf Opal
Writers

    
      Arezu Weitholz, Boris Lauterbach, Gunnar Spies & 7 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire"
"2";"Madsen";"Rückenwind";"Lichtjahre";"[Verse 1]
Da ist ein Loch im Horizont
Wo das Meer die Sonne küsst
Man sieht es kaum, nur wenn man es will
Und wenn man alles um sich vergisst
Ich weiß genau, du siehst es auch
Und willst einfach nur weg
Die Sterne stehen gut und das Wetter ist perfekt

[Chorus]
Wir haben Rückenwind
Wir können überall hin
Setz die Segel, mach dich bereit
Wenn du da draußen bist
Wir haben Rückenwind
Wir können überall hin
Ich hab die Karre vollgetankt und warte eigentlich
Nur noch auf dich

[Verse 2]
Da ist ein Riss in der Zimmerwand
Und Fernweh flutet den Raum
Doch wenn man den Kopf unterm Kissen versteckt
Bemerkt man das wohl kaum
Draußen vor der Tür, da tobt ein Sturm
Ich traue mich kaum hinaus
Dann denk ich an dich und schalte meine Ängste aus

[Chorus]
Wir haben Rückenwind
Wir können überall hin
Setz die Segel, mach dich bereit
Wenn du da draußen bist
Wir haben Rückenwind
Wir können überall hin
Ich hab die Karre vollgetankt und warte eigentlich
Nur noch auf dich

[Bridge]
Wir werden niemals unendlich sein
Und unser größter Feind war immer schon die Zeit
Alles was unerreichbar war, ist gar nicht mehr so weit
Wenn du dich nur kurz mal aus dem Alltag befreist

[Chorus]
Wir haben Rückenwind
Wir können überall hin
Setz die Segel, mach dich bereit
Wenn du da draußen bist
Wir haben Rückenwind
Wir können überall hin
Ich hab die Karre vollgetankt und warte eigentlich
Nur noch auf dich";"https://genius.com/Madsen-ruckenwind-lyrics";"Released June 15, 2018
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Label

    
      Arising Empire
Featuring

    
      Ferris MC & König Boris
Producers

    
      Madsen & Olaf Opal
Writers

    
      Arezu Weitholz, Boris Lauterbach, Gunnar Spies & 7 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire"
"3";"Madsen";"Sommerferien";"Lichtjahre";"[Verse 1]
Jeden Tag steh'n wir auf, rennen weiter
Haben so viel Angst vorm Scheitern
Wir müssen uns optimieren und erweitern
Sonst bleiben wir zurück
Zwischen Deadlines und Terminen
Scheinen wir uns zu verlieren
Wir sehnen uns nach Sicherheit
Und nach ein bisschen Glück
Und alles was ich gerade will, ist dich mal wieder sehen
Doch du hast scheinbar zu viel Stress, um ans Telefon zu gehen

[Chorus]
Aber weißt du noch, als das alles egal war?
Als wir mit den Fahrrädern nach Hause fuhr'n
Und das einzig wichtige
Die Sommerferien war'n
Die Sommerferien war'n
Und wenn ich nicht weiter weiß, denke ich einfach daran

[Verse 2]
Aus dem Klassenzimmer raus in die Freiheit
Sechs Wochen waren mehr als genug Zeit
Wir wollten nie Erwachsen sein
Und der Sommer war Orange
Wir bauten uns unsere eigene Großstadt
Zwischen Sandkuhle, Haustür und Freibad
Und dahinter lag die große, unbekannte Welt
Mittlerweile sind wir so, wie die Großen früher war'n
Nichts wird dem Zufall überlassen
Alles läuft nach Plan

[Chorus]
Aber weißt du noch, als das alles egal war?
Als wir mit den Fahrrädern nach Hause fuhr'n
Und das einzig wichtige
Die Sommerferien war'n
Die Sommerferien war'n
Und wenn ich nicht weiter weiß, denke ich einfach daran

[Bridge]
Weißt du noch, als das alles egal war?
Als wir mit den Fahrrädern nach Hause fuhr'n
Stress war noch ein Fremdwort für uns

[Chorus]
Weißt du noch, als das alles egal war?
Als wir mit den Fahrrädern nach Hause fuhr'n
Und das einzig wichtige
Die Sommerferien war'n
Die Sommerferien war'n
Und wenn ich nicht weiter weiß, denke ich wieder daran";"https://genius.com/Madsen-sommerferien-lyrics";"Released June 15, 2018
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Label

    
      Arising Empire
Featuring

    
      Ferris MC & König Boris
Producers

    
      Madsen & Olaf Opal
Writers

    
      Arezu Weitholz, Boris Lauterbach, Gunnar Spies & 7 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire"
"4";"Madsen";"Mein erstes Lied";"Lichtjahre";"[Verse 1]
Am Ende der Straße lag dein Haus
Als deine Eltern schliefen, kamst du raus
Der Sommer war jung und die Nacht war klar
Und wir küssten uns in der Toreinfahrt
Mit dir hab' ich so Einiges zum ersten Mal erlebt
Und heute weiß ich nicht mal wie's dir geht

[Chorus]
Du warst mein erstes Lied
Es ist das, was von dir blieb
Ein Lied, das man nie vergisst
Ich will dass du weißt, wo immer du auch bist
Es bleibt für immer was es ist
Ein Lied für dich

[Verse 2]
Wir waren im Rausch vier Sommer lang
Und ich schrieb ein Lied mit deinem Namen
Du hattest große Pläne, wolltest weiter ziehen
Mit nem Koffer voller Hoffnung bist du nach Berlin
Auf deiner Matratze haben wir Tag und Nacht geweint
Deine Welt war mir zu groß und meine dir zu klein

[Chorus]
Du warst mein erstes Lied
Es ist das, was von dir blieb
Ein Lied, das man nie vergisst
Ich will dass du weißt, wo immer du auch bist
Es bleibt für immer was es ist
Ein Lied für dich

[Bridge]
Und manchmal höre ich die Melodie wieder so klar
Als ob das alles gestern erst geschah

[Chorus]
Du warst mein erstes Lied
Es ist das, was von dir blieb
Ein Lied, das man nie vergisst
Ich will dass du weißt, wo immer du auch bist
Es bleibt für immer was es ist
Ein Lied für dich
Ein Lied für dich";"https://genius.com/Madsen-mein-erstes-lied-lyrics";"Released June 15, 2018
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Label

    
      Arising Empire
Featuring

    
      Ferris MC & König Boris
Producers

    
      Madsen & Olaf Opal
Writers

    
      Arezu Weitholz, Boris Lauterbach, Gunnar Spies & 7 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire"
"5";"Madsen";"Keiner";"Lichtjahre";"[Verse 1]
Gestern hab ich ein Gespräch geführt
Es war ganz geil, man hat mir zugehört
Ich hab erzählt, was mir im Kopf rumgeht
So Dies und Das und wie es eben steht
Dann ging ich in den Park, hab meine Beine bewegt
Es war ganz geil, hat meinen Kreislauf belebt
Spät war ich zu Haus und hab mich abgelegt
Ein Buch gelesen und bin dabei eingedöst und

[Chorus]
Keiner! Keiner! Keiner hat's gesehen
Keiner hat's geliked oder geteilt, war das schön
Keiner! Keiner! Keiner ist gefolgt
Ich tat es nur für mich, denn ich hab es so gewollt

[Verse 2]
Gestern hab ich nach dem Weg gefragt
Hab mich verlaufen, wusste nicht mehr wo ich war
Sie hieß Madelaine und kam aus Saint-Denis
Ich kann zwar kein französisch, aber jetzt liebe ich sie
Wir hatten keinen Akku und auch keinen Plan
Wir fanden das Lokal einfach so am Wegesrand
Das Essen haben wir natürlich nicht fotografiert
Wir haben den süßen Hauch der Vergänglichkeit gespürt und

[Chorus]
Keiner! Keiner! Keiner hat's gesehen
Keiner hat's geliked oder geteilt, war das schön
Keiner! Keiner! Keiner ist gefolgt
Wir taten es für uns, denn wir haben es so gewollt

[Bridge]
Keiner hat uns makiert
Keiner hat uns kommentiert
Wir sind ganz alleine hier
Und nur das gefällt mir

[Chorus]
Keiner! Keiner! Keiner hat's gesehen
Keiner hat's geliked oder geteilt, war das schön
Keiner! Keiner! Keiner ist gefolgt
Wir taten es für uns, denn wir haben es so gewollt";"https://genius.com/Madsen-keiner-lyrics";"Released June 15, 2018
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Label

    
      Arising Empire
Featuring

    
      Ferris MC & König Boris
Producers

    
      Madsen & Olaf Opal
Writers

    
      Arezu Weitholz, Boris Lauterbach, Gunnar Spies & 7 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire"
"6";"Madsen";"Wenn alles zerbricht";"Lichtjahre";"[Verse 1]
Ist das richtig? Ja oder Nein?
Du fragst dich ""Muss du anders sein?""
Findest dich nie gut genug
Und sowieso nicht klug
Ratlos läufst du hin und her
Und findest keine Richtung mehr
Die Anderen sind so gut darin
Nur du kriegst es nicht hin

[Pre-Chorus]
Denkst alles kurz und klein
Und dein Kopf stürzt ein

[Chorus]
Wenn alles zerbricht
Jedes Licht erlischt
Gibt es immer noch mich
Ich glaub an dich
Ich sammle die Scherben auf
Trag dich aus der Nacht heraus
Wenn alles zerbricht
Und dein Mut erlischt
Verzweifle nicht
Ich glaub an dich
Ich will, dass du nie vergisst
Dass du nicht alleine bist

[Verse 2]
Wenn's sein muss red' ich auf dich ein
Ich find, du musst nicht anders sein
Denn du bist wirklich gut genug
Alles Andere ist Selbstbetrug

[Pre-Chorus]
Denkst alles kurz und klein
Und dein Kopf stürzt ein

[Chorus]
Wenn alles zerbricht
Jedes Licht erlischt
Gibt es immer noch mich
Ich glaub an dich
Ich sammle die Scherben auf
Trag dich aus der Nacht heraus
Wenn alles zerbricht
Und dein Mut erlischt
Verzweifle nicht
Ich glaub an dich
Ich will, dass du nie vergisst
Dass du nicht alleine bist

[Bridge]
Ich bleibe wach
Wenn du nicht schlafen kannst
Die ganze Nacht
Bleibe ich wach

[Chorus]
Wenn alles zerbricht
Jedes Licht erlischt
Gibt's immer noch dich
Du glaubst an mich
Du sammelst die Scherben auf
Holst mich aus der Nacht heraus
Wenn alles zerbricht
Mein Mut erlischt
Verzweifle ich nicht
Denn du glaubst an mich
Ich will, dass du nie vergisst
Dass du nicht alleine bist";"https://genius.com/Madsen-wenn-alles-zerbricht-lyrics";"Released June 15, 2018
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Label

    
      Arising Empire
Featuring

    
      Ferris MC & König Boris
Producers

    
      Madsen & Olaf Opal
Writers

    
      Arezu Weitholz, Boris Lauterbach, Gunnar Spies & 7 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire"
"7";"Madsen";"Ich tanze mit mir allein";"Lichtjahre";"[Verse 1]
Du wolltest immer mit mir tanzen gehen
Ich wollte lieber an der Theke stehen
Der Club ist voll, doch ich kann dich nicht sehen
Die Nacht ist ohne dich nicht halb so schön
Verdammt, verdammt, verdammt, ich brauche mehr Bass
Verdammt, verdammt, verdammt, dann fühle ich was
Die Beine zucken und der Boden vibriert
Ich schließ' die Augen und ich zähl' bis Vier

[Chorus]
Und ich tanze, und ich tanze mit mir allein
Bis zum Morgensonnenschein
Und ich tanze, ja ich tanze mit mir allein
Könntest du nur bei mir sein
Solange tanz' ich allein

[Verse 2]
Ich glaub' die Ersten gehen schon nach Haus
Doch ich will noch nicht, ich hör' nicht auf
Will mich verlieren im Rhythmus der Nacht
Und dich vergessen bis der Tag erwacht
Verdammt, verdammt, verdammt, du bist noch hier
In jedem Lied steckt ein Teil von dir
Meine Tränen kann zum Glück keiner sehen
Egal was auch passiert, ich bleib nicht stehen

[Chorus]
Und ich tanze, und ich tanze mit mir allein
Bis zum Morgensonnenschein
Und ich tanze, ja ich tanze mit mir allein
Könntest du nur bei mir sein
Vielleicht kommst du, vielleicht kommt du noch vorbei
Bis zum Morgensonnenschein
Und ich tanze, ja ich tanze mit mir allein
Könntest du nur bei mir sein
Solange tanz' ich allein

[Bridge]
So bleib' ich in Bewegung
Die Welt um mich wird still
Die Lieder sind so wahr
Die Beine machen klar
Was ich sagen will
Was ich sagen will

[Chorus]
Und ich tanze, und ich tanze mit mir allein
Bis zum Morgensonnenschein
Und ich tanze, ja ich tanze mit mir allein
Könntest du nur bei mir sein
Vielleicht kommst du, vielleicht kommt du noch vorbei
Bis zum Morgensonnenschein
Und ich tanze, ja ich tanze mit mir allein
Könntest du nur bei mir sein
Solange tanz' ich allein";"https://genius.com/Madsen-ich-tanze-mit-mir-allein-lyrics";"Released June 15, 2018
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Label

    
      Arising Empire
Featuring

    
      Ferris MC & König Boris
Producers

    
      Madsen & Olaf Opal
Writers

    
      Arezu Weitholz, Boris Lauterbach, Gunnar Spies & 7 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire"
"8";"Madsen";"Lichtjahre";"Lichtjahre";"[Verse 1]
Ich trage dich auf meinen Schultern
Durch das Labyrinth
Du flüsterst mir von oben zu
Ob wir falsch oder richtig sind
Dein Auto steht im Halteverbot
Beladen bis zum Dach
Deine Platten lässt du bei mir stehen
Irgendwann holst du sie ab
Du sehnst dich nach der weiten Welt
Die ist zu klein, du musst dich dehnen
Ich bleibe, hier fühl ich mich wohl
Und wenn du gehen willst, kannst du gehen

[Chorus]
Lichtjahre weit von dir entfernt
Könnt ich deinen Herzschlag hören
Lichtjahre weit von dir entfernt
Würde ich dich nicht verlieren
Im Planetenmeer einer anderen Galaxie
Würd ich dich finden, irgendwie

Dann schreibst du mir von weit weg
Das Papier sieht so frisch aus
Jetzt bist du mir nah, obwohl du mir fehlst
Ich leg 'ne Platte von dir auf
Du bist Draußen, um dich auszudehnen
Du bist die, die die Welt bereist
Zu Lieben heißt auch frei zu sein
Doch ich will, dass du weißt

[Chorus]
Lichtjahre weit von dir entfernt
Könnt ich deinen Herzschlag hören
Lichtjahre weit von dir entfernt
Würde ich dich nicht verlieren
Im Planetenmeer einer anderen Galaxie
Würd ich dich finden, irgendwie

[Bridge]
Das zwischen uns, das bleibt bestehen
Wie ein unsichtbares Band
Das unendliche Weiten und die Zeit überstehen kann
Egal wohin es dich trägt
Und egal wohin es mich trägt
Solang' wir uns für uns entscheiden
Werden wir verbunden bleiben

[Chorus]
Lichtjahre weit von dir entfernt
Könnt ich deinen Herzschlag hören
Lichtjahre weit von dir entfernt
Würde ich dich nicht verlieren
Im Planetenmeer einer anderen Galaxie
Würd ich dich finden, irgendwie";"https://genius.com/Madsen-lichtjahre-lyrics";"Released June 15, 2018
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Label

    
      Arising Empire
Featuring

    
      Ferris MC & König Boris
Producers

    
      Madsen & Olaf Opal
Writers

    
      Arezu Weitholz, Boris Lauterbach, Gunnar Spies & 7 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire"
"9";"Madsen";"Ein paar Runden";"Lichtjahre";"[Verse 1]
Rollt den roten Teppich ein
Wir wollen hier nicht sein
Macht die Gästeliste dicht
Die kommen ja sowieso nicht
Schickt die Band nach Haus
Die Jungs sehen müde aus
Die Luft ist raus
Es gibt heute kein Applaus
Lass und einfach gehen
Wir lassen die Sekunden stehen
Und nur der helle Mond soll uns heute Nacht noch sehen

[Chorus]
Komm, wir drehen ein paar Runden
Außerhalb der Stunden
Wo die Zeit still steht
Dort, wo keiner auf uns wartet
Wo keine Party startet
Wo uns keiner sieht

[Verse 2]
Alle reden durcheinander
Nur nicht miteinander
Wir warten viel zu lange
An der falschen Schlange
Komm wir gehen leise
Auf unsere Art und Weise
Ruh dich bei mir aus
Und dann gehen wir nach Haus
Lass uns hier verschwinden, wir sind völlig fehl am Platz
Und hoffnungsvolle Schatten wirft der Mond in die Nacht

[Chorus]
Komm, wir drehen ein paar Runden
Außerhalb der Stunden
Wo die Zeit still steht
Dort, wo keiner auf uns wartet
Wo keine Party startet
Wo uns keiner sieht
Komm, wir drehen ein paar Runden
Außerhalb der Stunden
Wo die Zeit still steht
Dort, wo keiner auf uns wartet
Wo keine Party startet
Wo uns keiner sieht";"https://genius.com/Madsen-ein-paar-runden-lyrics";"Released June 15, 2018
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Label

    
      Arising Empire
Featuring

    
      Ferris MC & König Boris
Producers

    
      Madsen & Olaf Opal
Writers

    
      Arezu Weitholz, Boris Lauterbach, Gunnar Spies & 7 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire"
"10";"Madsen";"Athlet";"Lichtjahre";"[Verse 1]
Jeder weiß
Es geht irgendwann vorbei
Und unsere Ewigkeit
Ist nur ein Wort
Alles so leer
Das ist keine Übung mehr
Das Schweigen ist folgenschwer
Und du schon längt fort

[Pre-Chorus]
Zwischen Kippen uns Leergut liegt mein Stolz
Glaub mir, ich hab das Alles so nicht gewollt
Meine Laufschuhe liegen in der Ecke verstaubt
Nur für dich hol' ich sie raus

[Chorus]
Ich renne dir hinterher
Meine Beine sind so schwer
Und auch mein Kopf sagt, es ist längst zu spät
Ich renne dir hinterher
Meine Füße können nicht mehr
Doch mein Herz ist ein Athlet
Und es will zu dir

[Verse 2]
Die Luft ist raus
Ich halte wohl nichts mehr aus
Saß zu lang auf der Couch
Hab' mein Leben verpennt
Nur keine Müdigkeit
Auch wenn es stürmt und schneit
Egal wie lang und wie weit
Solange ich renn'

[Pre-Chorus]
Dabei warst und bist du das Beste für mich
Nur sagen konnte ich dir das irgendwie nicht
Solange es pocht in meiner Brust
Ist für mich nicht Schluss

[Chorus]
Ich renne dir hinterher
Meine Beine sind so schwer
Und auch mein Kopf sagt, es ist längst zu spät
Ich renne dir hinterher
Meine Füße können nicht mehr
Doch mein Herz ist ein Athlet
Und es will zu dir

[Chorus]
Ich renne dir hinterher
Meine Beine sind so schwer
Und auch mein Kopf sagt, es ist längst zu spät
Ich renne dir hinterher
Als gäb' es kein Morgen mehr
Doch mein Herz ist ein Athlet
Und es will zu dir";"https://genius.com/Madsen-athlet-lyrics";"Released June 15, 2018
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Label

    
      Arising Empire
Featuring

    
      Ferris MC & König Boris
Producers

    
      Madsen & Olaf Opal
Writers

    
      Arezu Weitholz, Boris Lauterbach, Gunnar Spies & 7 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire"
