"","artist","title","album","text","url","metadata"
"1","Madsen","Na gut dann nicht","Na gut dann nicht","[Strophe 1]
Na gut, dann nicht, dann bin ich eben raus
Ich unterschreib' hier nichts, was ich nicht glaub'
Na gut, dann nicht, nicht um jeden Preis
Ich gehöre nicht dazu, das ist alles was ich weiß

[Refrain]
Ich habe eine Stimme und ich habe eine Wahl
Manchmal denk' ich einfach nur: „Ihr könnt mich alle mal!“
Ich hab' kein'n Bock, spiel' nicht mit
Tut mir leid, das bin nicht ich
Na gut, dann nicht, dann ohne mich
Na gut, dann nicht, dann ohne mich

[Strophe 2]
Na gut, dann nicht, ist auch nicht weiter schlimm
Fangt an, legt los, ich leg' mich wieder hin
Ein Knick, ein Riss, ein fauler Kompromiss
Ja und schon weißt du nicht mehr wer du bist

[Refrain]
Ich habe eine Stimmе und ich habe eine Wahl
Manchmal dеnk' ich einfach nur: „Ihr könnt mich alle mal!“
Ich hab' kein'n Bock, spiel' nicht mit
Tut mir leid das bin nicht ich
Na gut, dann nicht, dann ohne mich
Na gut, dann nicht, dann ohne mich

[Outro]
Na gut, dann nicht, dann ohne mich
Na gut, dann nicht, dann ohne mich
Na gut, dann nicht, dann ohne mich
Na gut, dann nicht, dann ohne mich
Na gut, dann nicht, dann ohne mich
Na gut, dann nicht, dann ohne mich
Na gut, dann nicht, dann ohne mich
Na gut, dann nicht, dann ohne mich

[Gesprochenes Outro]
Leute, ist das euer fucking Ernst? Ein Punkalbum? Habt ihr mal die Top Ten der Spotifycharts angekuckt? Ist da ein fucking Punksong drin? Nein! Das ist nur Gangsterrap, ihr müsst Gangsterrap machen. Oder wollt ihr irgendwie am Bahnhof sitzen mit'm Iro und 'ner Ratte im Haar und irgendwie Geld sammeln mit eurer Klampfe? Das is' doch scheisse! Punk ist tot, meine Fresse!","https://genius.com/Madsen-na-gut-dann-nicht-lyrics","Released October 9, 2020
Label

    
      Arising Empire
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Featuring

    
      Benjamin von Stuckrad-Barre
Writers

    
      Johannes Madsen, Lisa Who, Martin Krüssel & 3 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire"
"2","Madsen","Herzstillstand","Na gut dann nicht","[Songtext zu „Herzstillstand“]

[Strophe 1]
Keiner hat mehr Bock auf Gitarren und auf Lärm
Keiner hat mehr Bock, sich über Bullen zu beschweren
Die Erste von Slime gibt's nicht auf Spotify
Und auch beim Pogo Tanzen ist keiner mehr dabei

Doch Punk war niemals tot, nur lange Zeit im Koma
Die Platten sind im Keller bei Opa und bei Oma
Wir haben einen Notfall, wir sind am Arsch
Wir brauchen Anarchie und vor allem einen Arzt

[Refrain]
Herzstillstand, Herzstillstand
Punk hat einen Hеrzstillstand
Hol' dein Dead Kennеdys Shirt aus'm Schrank
Und leg den Bypass an
Leg den Bypass an

[Strophe 2]
Die Palette Hansa Pils ist schon abgelaufen
All die Urgesteine zu träge vom Saufen
Vorm Pennymarkt nur Spießer, die Currywurst fressen
Doch Gevatter Punk haben wir noch nicht vergessen
Er ist nicht tot, nur auf Stand-by
Der Körper ist träge, die Gedanken sind frei
Wir brauchen eine neue Regeneration
Gangster-Rap ist scheiße, Punkt ist geil

[Refrain]
Herzstillstand, Herzstillstand
Punk hat einen Herzstillstand
No Future liegt in unserer Hand
Leg den Bypass an
Leg den Bypass an
Leg den Bypass an
Leg den Bypass an

[Bridge]
Faschos anpöbeln in der Fußgängerzone
Bis zur Räumung in besetzen Häusern wohnen
Das macht doch keiner mehr, das muss sich wieder lohnen
Denn wie sangen schon die Goldenen Zitronen

[Cover]
Für immer Punkt möchte ich sei, für immer PunkWillst du wirklich was mit Medien machenFür immer, für immerFür immer Punkt möchte ich sei, für immer PunkWillst du wirklich Influencer werdenFür immer, für immer Punk

(Ja Punk ist nicht tot, Digga. Find ich gut, richtig gut. Und ich liebe Hansa Pils immer noch)","https://genius.com/Madsen-herzstillstand-lyrics","Released October 9, 2020
Label

    
      Arising Empire
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Featuring

    
      Benjamin von Stuckrad-Barre
Writers

    
      Johannes Madsen, Lisa Who, Martin Krüssel & 3 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire"
"3","Madsen","Quarantäne für immer","Na gut dann nicht","[Strophe 1: Johannes Madsen]
Langsam geh'n die Kneipen wieder auf
Und damit nimmt das Unheil seinen Lauf
Hier drinnen hab ich alles was ich brauch'
Ich glaub', ich geh' nie wieder raus
Saufen kann ich schließlich auch allein
Zu Hause quatscht mir dabei keiner rein
Du sagst, du willst mit mir zusammen sein
Aber ""Nein, nein, nein"", ich sage ""Nein""

[Refrain: Sebastian Madsen]
Draußen wird alles immer schlimmer
Ich bleib' in meinem Zimmer
Quarantäne für immer

[Strophe 2: Sascha Madsen, Niko Maurer]
Menschen machen Ärger, machen Dreck
Am besten schließt sich jeder selber weg
Denn wenn wir uns für immer isolier'n
Kann keinem jemals wieder was passier'n
Wär jeder auf der Welt so schlau wie ich
Dann gäbe es Krieg und Terror nicht
Ich glaube echt das Leben wird erst schön
Wenn wir uns alle nie mehr wiederseh'n

[Refrain: Sebastian Madsen]
Draußen wird alles immer schlimmer
Ich bleib' in meinem Zimmer
Quarantäne für immer, für immer

[Bridge: Sebastian Madsen]
Ich wäre dafür, dass man aus Protest
Sogar das Protestieren lässt
Regt euch nicht auf, geht alle rein
Keine Warteschlangen und auch kein Stress
Will, dass man mich in Ruhe lässt
Ich brauche doch nur mich allein

[Outro: Sebastian Madsen]
Draußen wird alles immer schlimmer
Ich bleib' in meinem Zimmer
Quarantäne für immer
Am Ende bin ich nämlich der Gewinner
Weil ich mein ganzes Leben lieber drin war
Quarantäne für immer
Für immer
Für immer","https://genius.com/Madsen-quarantane-fur-immer-lyrics","Released October 9, 2020
Label

    
      Arising Empire
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Featuring

    
      Benjamin von Stuckrad-Barre
Writers

    
      Johannes Madsen, Lisa Who, Martin Krüssel & 3 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire"
"4","Madsen","Auf deinem Balkon","Na gut dann nicht","[Songtext zu „Auf deinem Balkon“]

[Intro]
[?] scheiße, du bist auch zu schnell, du Arschloch und sowieso [?]
1, 2, 3, 4

[Strophe 1]
Nirgendwo ist es so schön, wie auf deinem Balkon
Kann all die schönen Menschen sehen, die von überall herkommen
Im Innenhof alles friedlich, das Gewitter zieht vorbei
Warum kann es nicht überall so sein?

[Strophe 2]
Gegenüber, schräg unten, spielt Madame Klavier
Zwei Fenster daneben trinkt Helmut Dosenbier
Im Innenhof singen siе Happy Birthday und wir stimmen mit ein
Viel schönеr als jetzt, kann es nicht sein
Viel schöner als jetzt, kann es nicht sein

[Bridge]
(A-hu, a-hu, a-hu, a-hu)
Auf deinem Balkon
(A-hu, a-hu, a-hu, a-hu)

[Strophe 3]
Nirgendwo ist es so schön, wie auf deinem Balkon
Dort, wo die Schwalben Nester bauen und alles voll scheißen
Wir sitzen einfach da, ich trink' 'ne Limo, du trinkst Wein
Viel schöner als jetzt, kann es nicht sein
Du sagst, du hast mich gern, während die Abendsonne scheint
Viel schöner als jetzt, kann es nicht sein
Viel schöner als jetzt, kann es nicht sein","https://genius.com/Madsen-auf-deinem-balkon-lyrics","Released October 9, 2020
Label

    
      Arising Empire
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Featuring

    
      Benjamin von Stuckrad-Barre
Writers

    
      Johannes Madsen, Lisa Who, Martin Krüssel & 3 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire"
"5","Madsen","Supergau","Na gut dann nicht","Das ist der größte anzunehmende Unfall (1,2,3,4)

[Strophe 1]
Die Menschheit ist die größte Plage, die es jemals gab
Wenn ihr wirklich helfen wollt, dann schaufelt uns ein Grab
Wir schwimmen in Meeren voller Müll, ersaufen in Beton
Wir atmen Gift und Scheiße ein, kann es noch schlimmer kommen?

[Hook]
Das ist der größte anzunehmende Unfall - Supergau
Wir warten auf den nächsten Urknall

[Refrain]
Könnten wir von vorn anfangen
Die Erde würde uns gehören
Dann würden wir Hand in Hand
Noch einmal alles zerstören

[Hook]
Das ist der größte anzunehmende Unfall - Supergau
Wir warten auf den nächsten Urknall

[Strophe 2]
Tschernobyl verseuchte Flüsse, haben wir richtig gut gemacht
Du strahlst wie ein Reaktor, sagst zärtlich gute Nacht
Du willst die Welt umarmen und mit ihr untergehen
Doch die sagt: ""Danke, lass ma' sein
Ihr seid am Arsch, ich bleib bestehen""

[Hook]
Der größte anzunehmende Unfall - Supergau
Wir warten auf den nächsten Urknall

[Refrain]
Könnten wir von vorn anfangen
Die Erde würde uns gehören
Dann würden wir Hand in Hand
Noch einmal alles zerstören

[Hook]
Der größte anzunehmende Unfall - Supergau
Wir warten auf den nächsten Urknall
Das ist der größte anzunehmende Unfall - Supergau
Wir warten auf den nächsten Urknall","https://genius.com/Madsen-supergau-lyrics","Released October 9, 2020
Label

    
      Arising Empire
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Featuring

    
      Benjamin von Stuckrad-Barre
Writers

    
      Johannes Madsen, Lisa Who, Martin Krüssel & 3 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire"
"6","Madsen","Protest ist cool aber anstrengend","Na gut dann nicht","[Strophe 1]
Polizisten schlagen hemmungslos auf Schwarze ein
Das lässt dich nicht kalt, das lässt dich nicht kalt
Narzisstische, geisteskranke Präsidenten schreien
Wir kümmern uns nur um uns allein
Deine Kinder fragen dich, wie du dazu stehst
Natürlich findest du das alles nicht okay
Doch morgen soll es regnen und du musst noch Rasen mähen
Deswegen könnt ihr heute leider nicht zur Demo gehen

[Refrain]
Protest ist cool aber anstrengеnd
Schon super wichtig, dass es sowas gibt
Wär schon gut, wenn irgеndjemand anfängt
Dann läufst du auch liebend gerne mit
Dann läufst du auch liebend gerne mit

[Strophe 2]
Du hast über 500.000 Follower
Reichweite groß, #grenzenlos
Doch zu viel Politik verschreckt die Leute, ist doch klar
Bin zwar in Malibu, doch immer für euch da
Du ernährst dich weitestgehend vegan
Doch 'n Schnitzel ab und zu, das muss schon sein
Du willst mit 'nem BMW zur Fahrraddemo fahren
Und ein Selfie mit Greta, das wär schon ganz schön nice

[Refrain]
Protest ist cool aber anstrengend
Schon super wichtig, dass es sowas gibt
Wär schon gut, wenn irgendjemand anfängt
Dann läufst du auch liebend gerne mit
Dann läufst du auch liebend gerne mit

[Bridge]
Du bist Polizist und hast heute Sonderschicht
Die Demonstranten kannst du ziemlich gut verstehen
Du bist auch gegen Faschismus, doch du tust nur deine Pflicht
Ohne Räumung wird es heut' nicht gehen

[Refrain]
Protest ist cool aber anstrengend
Schon super wichtig, dass es sowas gibt
Wär schon gut, wenn irgendjemand anfängt
Dann läufst du auch liebend gerne mit
Dann läufst du auch liebend gerne mit
Wenn es nicht zu anstrengend ist","https://genius.com/Madsen-protest-ist-cool-aber-anstrengend-lyrics","Released October 9, 2020
Label

    
      Arising Empire
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Featuring

    
      Benjamin von Stuckrad-Barre
Writers

    
      Johannes Madsen, Lisa Who, Martin Krüssel & 3 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire"
"7","Madsen","Scheiße zu Gold","Na gut dann nicht","[Strophe 1]
Nicht hier, nicht jetzt, vielleicht lieber morgen
Immer das gleiche bei dir
Erschöpft vom Job ertränkst du die Sorgen
In Wein, Gin, Whisky und Bier
Du bewegst dich keinen Zentimeter
Aus deinem Gefängnis heraus
Langeweile, Rente, Endstation
Das ist alles, woran du glaubst

[Refrain]
Sag, was macht dich glücklich?
Was hast du versäumt?
Was ist dir wirklich wichtig?
Wovon hast du geträumt?
Jeder Tag ist Scheiße
Mach' doch Gold daraus
Kipp 'ne Tonne Euphorie
Auf deinen Lebenslauf

[Strophe 2]
Und wenn dich jemand kritisiert
Wirst du meistens aggressiv
Dann lässt du all den Frust heraus
Weil du denkst, dass dich niemand liebt
Ein kleiner Hauch von Nostalgie
Und die Tränen fließen ins Glas
Geh doch nach vorn und nicht zurück
Geh dahin, wo du noch nie warst

[Refrain]
Sag, was macht dich glücklich?
Was hast du versäumt?
Was ist dir wirklich wichtig?
Wovon hast du geträumt?
Jeder Tag ist Scheiße
Mach' doch Gold daraus
Kipp 'ne Tonne Euphorie
Auf deinen Lebenslauf

[Outro]
Mach Scheiße zu Gold
Scheiße zu Gold
Kämpf um dein Leben, denn so hast du's nie gewollt
Scheiße zu Gold
Aus Leiden wird Hoffen, das Glas wir wieder halb voll
Scheiße zu Gold
Kämpf um dein Leben, denn so hast du's nie gewollt
Scheiße zu Gold
Hör auf zu jammern und fang endlich an, mein Freund","https://genius.com/Madsen-scheie-zu-gold-lyrics","Released October 9, 2020
Label

    
      Arising Empire
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Featuring

    
      Benjamin von Stuckrad-Barre
Writers

    
      Johannes Madsen, Lisa Who, Martin Krüssel & 3 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire"
"8","Madsen","A.W.M","Na gut dann nicht","[Strophe 1]
Rückt weg, der Platz wird neu besetzt
Bevor wir hier krepieren
Ihr habt die Welt auf's Spiel gesetzt
Jetzt übernehmen wir
Wir wollen eure Meinung nicht
Ist gut wenn ihr nichts sagt
Und wenn ihr mal ganz ehrlich seid
Haut euch niemand gefragt

[Vorrefrain]
Denn was die Welt nicht braucht
Weil niemand daran glaubt, sind

[Refrain]
Alte, weiße Männer
Alte, weiße Männеr
Eure Zeit ist vorbei
Wir zählеn bis drei
Rennt weg und zwar weit
Und bleibt wo ihr seid
Alte, weiße Männer
Alte, weiße Männer

[Strophe 2]
Ihr scheißt auf's Klima, ihr wollt Geld
Legal ist euch egal
Dass alle um euch rum wie ihr seid
Findet ihr normal
Doch ihr wart viel zu lange mächtig
Zu lange Präsident
Es wird Zeit, dass man euch nur
Aus alten Büchern kennt

[Vorrefrain]
Denn was die Welt nicht braucht
Weil niemand daran glaubt, sind

[Refrain]
Alte, weiße Männer
Alte, weiße Männer
Eure Zeit ist vorbei
Wir zählen bis drei
Rennt weg und zwar weit
Und bleibt wo ihr seid
Alte, weiße Männer
Alte, weiße Männer

[Bridge]
Ihr krallt euch an Privilegien fest
Ihr könnt einfach nich' verlieren
Und damit alles so bleibt wie es ist
Würdet ihr einen Krieg riskieren

[Outro]
Whoa-oh-oh, whoa-oh-oh, whoa-oh-oh, whoa-oh-oh
(Whoa-oh-oh,) Alte, weiße Männer
(Whoa-oh-oh,) Alte, weiße Männer
(Whoa-oh-oh,) Alte, weiße Männer
(Whoa-oh-oh,) Alte, weiße Männer
Alte, weiße Männer
Alte, weiße Männer","https://genius.com/Madsen-awm-lyrics","Released October 9, 2020
Label

    
      Arising Empire
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Featuring

    
      Benjamin von Stuckrad-Barre
Writers

    
      Johannes Madsen, Lisa Who, Martin Krüssel & 3 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire"
"9","Madsen","Behalte deine Meinung","Na gut dann nicht","[Songtext von Madsen - ""Behalte deine Meinung]

[Strophe 1]
Das wird man ja mal sagen dürfen
Geht mich zwar nichts an
Aber lassen sie mich ausreden
Jetzt bin ich mal dran
Mein Kommentar wurde gelöscht
Seit wann wird hier zensiert?
Ich sage immer was ich denk'
Schnell und unpoliert

[Vorrefrain 1]
Stammtisch, Stadtfest, Internet
Du willst, dass man dich hört
Beim Bäcker oder beim Friseur
Wo immer du auch störst

[Refrain]
Behalte deine Meinung
Behalte deine Meinung
Behalte sie doch einfach mal für dich
Behalte deine Meinung
Behalte deine Meinung
Sie interessiert mich einfach nicht

[Strophe 2]
Leute, wacht doch endlich auf
Wir werden kontrolliert
Ich weiß auch, dass das stimmt
Ich hab' bei Google recherchiert
Die Elite da oben
Die macht doch was sie will
Sie lügen und betrügen
Das stand heut in der BILD

[Vorrefrain 2]
Du redest immer ungefragt
Dialog findet nicht statt
Halt mal kurz die Luft an
Du gehst mir tierisch auf den Sack

[Refrain]
Behalte deine Meinung
Behalte deine Meinung
Behalte sie doch einfach mal für dich
Behalte deine Meinung
Behalte deine Meinung
Sie interessiert mich einfach nicht

[Bridge]
Du wechselst sie wie Unterhosen
Wie's dir g'rade passt
Du redest und du redest dich um den Verstand
Du bist auf der ganzen Welt
Es gibt dich tausendfach
Vor lauter Meinung werd' ich schon ganz krank

[Refrain]
Behalte deine Meinung
Behalte deine Meinung
Behalte sie doch einfach mal für dich
Behalte deine Meinung
Behalte deine Meinung
Sie interessiert mich einfach nicht
Behalte deine Meinung
Behalte deine Meinung
Behalte sie doch einfach mal für dich
Behalte deine Meinung
Behalte deine Meinung
Sie interessiert mich einfach nicht","https://genius.com/Madsen-behalte-deine-meinung-lyrics","Released October 9, 2020
Label

    
      Arising Empire
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Featuring

    
      Benjamin von Stuckrad-Barre
Writers

    
      Johannes Madsen, Lisa Who, Martin Krüssel & 3 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire"
"10","Madsen","Trash TV","Na gut dann nicht","[Strophe 1]
Ich habe eine Eliteausbildung als Personality Couch
Wenn du mehr über mich erfahren willst, dann guck auf meine Tattoos
Immer wenn ich einen Raum betret', dreh'n sich alle nach mir um
Weil ich so stark polarisier, bleib' ich in Erinnerung
Manchmal fühl' ich mich so schrecklich allein
Ich will doch nur der Mittelpunkt der Erde sein

[Refrain]
Bring mich in Trash TV
Was die Welt jetzt braucht
Ist Realness im Reality-Format
Bring mich in Trash TV
Mit 'ner Challenge und 'ner Frau
Ich bin der perfekte Kandidat
Alle anderen sind fake

[Strophe 2]
Wenn es sein muss stell' ich mich allein gegen die Gang
Ich hab' eine Meinung und die knall' ich raus, bang bang
Wenn dich das abfuckt, mir egal, das ist nicht mein Problem
Ich bin halt ein Alphatier und das ist manchmal unbequem
Auch ich habe Gefühle, ich bin emotional
Anders als die anderen, eure erste Wahl

[Refrain]
Bringt mich in Trash TV
Was die Welt jetzt braucht
Ist Realness im Reality-Format
Bring mich in Trash TV
Mit 'ner Challenge und 'ner Frau
Ich bin der perfekte Kandidat
Alle andere sind fake

[Bridge]
(Whoa, whoa, whoa)
Es geht jetzt einmal nicht um dich
(Whoa, whoa, whoa)
Alle Kameras auf mich

[Refrain]
Bring mich in Trash TV
Was die Welt jetzt braucht
Ist Realness im Reality-Format
Bring mich in Trash TV
Mit 'ner Challenge und 'ner Frau
Ich bin der perfekte Kandidat
Alle andere sind fake","https://genius.com/Madsen-trash-tv-lyrics","Released October 9, 2020
Label

    
      Arising Empire
Copyright ©

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire
Featuring

    
      Benjamin von Stuckrad-Barre
Writers

    
      Johannes Madsen, Lisa Who, Martin Krüssel & 3 more
Copyright ©

    
      Arising Empire
Label

    
      Arising Empire
Phonographic Copyright ℗

    
      Arising Empire"
