"","artist","title","album","text","url","metadata"
"1","Marsimoto","Grüner Samt","Gruner samt","[Intro]Out in the streets they call him Marsi!

[Hook]
Endlich wird wieder gekifftDu hast doch längst vergessen wie das ist
Das kleine grüne Gold in deiner Hand - Grüner Samt
Endlich wird wieder geraucht
Kommt schon, Marsi gibt ein' aus
Grüner Rauch zieht übers Land - Grüner Samt

[Part 1]
Marsimoto, der erste Mohikaner
Endlich wieder viel Gras, Spannung und Indianer
Die grüne Blue Man Group, der blaue Hulk
Der schwarze Jack Black, der weiße Barry White
Du siehst'n Denkmal zwischen einstürzenden Altbauten
Du siehst ne Blume wachsen mitten aufm Scheißhaufen
Wer nie die Wahrheit sagt, braucht auch nicht lügen
Ein Schmetterling ist eben nur 'ne Raupe mit Flügeln
Hab Trick 17 schon 18 mal gespielt
Der neue James Bond, die alte Britney Spears
Hatte 'nen Fallschirm dabei am 11. September
Ich hab angefangen mit 'nem „Throw ya, throw ya hands up“

[Hook]
Endlich wird wieder gekifftDu hast doch längst vergessen wie das ist
Das kleine grüne Gold in deiner Hand - Grüner Samt
Endlich wird wieder geraucht
Kommt schon, Marsi gibt ein' aus
Grüner Rauch zieht übers Land - Grüner Samt

-Folg RapGeniusDeutschland!","https://genius.com/Marsimoto-gruner-samt-lyrics","Released January 13, 2012
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment Germany
Artwork

    
      Zentrale Berlin
Label

    
      Four Music Productions
Producers

    
      Dead Rabbit, Kid Simius, The Krauts & 2 more
Writers

    
      Marsimoto
Background Vocals

    
      Yasha
Bass Guitar

    
      Juan Antonio Alanon
Copyright ©

    
      Green Berlin"
"2","Marsimoto","Wellness","Gruner samt","[Part I]
Wer war Ikarus?Ikarus war 'ne Pfeife!
Ich flieg' Richtung Sonne und schieb' sie zur Seite
Ma Ma Marsi - jetzt wird alles besser
Ab jetzt schläfst du wieder mit Kissen unterm Messer
Deine Tante hört Onkelz,deine Schwester hört Casper
Deine Eltern hör'n The Mamas and the Papas an Silvester
Ich bin Marsi, guck mich an - Ich bin ein Star
Dein Kühlschrank so leer, mein Kühlschrank solar
Es klingelt, die Zeugen Jehovas
Ich bin Jay-Z Fan, Zeuge Jay Hovas
Ma Ma Marsi - nichts als die Wahrheit
Lieber mit dem Fahrrad zum Strand als mit dem Auto zur Arbeit
In Sport 'ne Eins, in Mathe 'ne SechsHab's nie gebraucht, der Erfolg gibt mir Sex

[Hook]
Was ist denn mit der Realness?Wer malt heute noch den Zug?Alle nur noch Wellness:Blub Blub Blub Blub
Was ist denn mit der Realness?Wer malt heute noch den Zug?Alle nur noch Wellness:Blub Blub Blub Blub

[Part 2]
Ich komm' in Backstage, erster Aufreger:Kleiner oranger Ohrbooten-Aufkleber
Türsteher mit Green Berlin-Aufnäher
Was macht eigentlich Klaus Peter? Mmh, Bauchredner
Zurück zum Thema, dein Wunsch ist mein Befehl
Mein Service wird serviert, garniert mit Garnelen
Rauch mein Weed, hör Seeed zu dem Beat
Dreh die Mucke laut, volle Power in meinem Jeep
(Wee-Wee-Wee-Weed) Ein Männlein dreht im Wald
Morgens kauf ich mir die Welt, abends nehm' ich mir die Zeit
Ma Ma Marsi - Miezen miau'n, Hunde hächeln
Lieber 'nen Witz verschlafen, als ein müdes Lächeln
Du kennst nur Saunamelodien, nur heiße Luft
Du machst Wellness, ich warte im Regen auf den Bus

[Hook]
Was ist denn mit der Realness?Wer malt heute noch den Zug?Alle nur noch Wellness:Blub Blub Blub Blub
[Hook]
Was ist denn mit der Realness?Wer malt heute noch den Zug?Alle nur noch Wellness:Blub Blub Blub Blub

Folg RapGeniusDeutschland!","https://genius.com/Marsimoto-wellness-lyrics","Released January 13, 2012
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment Germany
Artwork

    
      Zentrale Berlin
Label

    
      Four Music Productions
Producers

    
      Dead Rabbit, Kid Simius, The Krauts & 2 more
Writers

    
      Marsimoto
Background Vocals

    
      Yasha
Bass Guitar

    
      Juan Antonio Alanon
Copyright ©

    
      Green Berlin"
"3","Marsimoto","Der Springende Punkt","Gruner samt","[Songtext zu „Der Springende Punkt“]

[Part 1]
Hi, ich bin einkleiner schwarzer Punkt
Bin schon viel rum gekomm' und immer noch gesund!
Häng am liebsten ab bei den Reichen und den Stars
In meinem Viertel weiß es jeder, ich rauch' Gras!
Mein Problem ist, häng' ich länger mit ihn' rumSterben alle, sie fallen alle tot um
Ja, ich spring von Leben zu Leben zu Leben
Marilyn Monroe hat's mit einfach so gegeben
Jim, Jimi und wie sie alle heißen
Jetzt beissen sie insGras,früher bissen sie in Saiten
Elvis war der Beste, doch im Ghetto gab's PommesKonnt' sich nicht entscheiden zwischen Leben und Mc Donald's
Dann sprang ich auf John Lennon
Jetzt ist er nur noch John Legend- ätzend!
Ist nicht schön wenn man seinen besten Freund verliert
Doch ich spring weiter, vielleicht komm ich ja zu dir

[Hook]
Ich rauch' mein Joint, Joint
Rauch' mein Joint, Joint
Ja, ich rauch' mein Joint, Joint
Ich wär' so gern dein Freund, FreundJa, ich wär' so gern dein Freund, FreundIch wär' so gern dein Freund, Freund

[Part 2]
Ich liebe Reggae, Jamaika macht das Würstchen
MitBob Marley hab ich Joints geraucht,doch Gras kann ein'n nicht töten
Ich hab Bass gespielt bei Nirvanas UnpluggedDie anderen fanden's cool, nur bei Kurt hab ich verkackt
Für Tupac Shakur fing ich eine Kugel abDoch sechs kamen durch, schreckliche Nacht
Bei Biggie war es auch so
Fast genau so wie bei Falco im Auto
Na klar hab ich auch Country gehört
Johnny Cash wär' jetzt stolz auf die Hurts
Michael Jackson schenkte mir jedes Jahr ein Karussell
Rauchte Joints dabei -""Mann, du drehst viel zu schnell!""
Amy, ach Amy die kannt' ich schon seit Jahr'nHab' immer Crack versteckt, unter ihren Haar'n
Und jetzt sitz' ich hier auf Cindy Crawfords Lippe
Doch bald zieh' ich weg, ganz schön eng in Martens Hütte

[Hook]
Ich rauch mein Joint, Joint
Ich rauch mein Joint, Joint
Ja, ich rauch mein Joint, Joint
Wär' so gern dein Freund, Freund
Ich wär so gern dein Freund, Freund
Wär so gern dein Freund, Freund
Und ich spring weiter und weiter","https://genius.com/Marsimoto-der-springende-punkt-lyrics","Released January 13, 2012
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment Germany
Artwork

    
      Zentrale Berlin
Label

    
      Four Music Productions
Producers

    
      Dead Rabbit, Kid Simius, The Krauts & 2 more
Writers

    
      Marsimoto
Background Vocals

    
      Yasha
Bass Guitar

    
      Juan Antonio Alanon
Copyright ©

    
      Green Berlin"
"4","Marsimoto","Indianer","Gruner samt","[Hook]
Gib den Indianern ihr Land zurück
Hey, sie haben es sich verdient
Barack Obama, gib den Indianern ihr Land zurück
Hey, sie haben es sich verdient

[Part 1]
Leute, sagt mir, wer sind die Coolsten?
Keine Ahnung? Ich sag's euch: Indianer (-ianer, -ianer)
Kein Ding sich zu outenCowboys mehr so Brokeback Mountain
Ein Indianer geht in den Club
Braucht kein Geld, er bezahlt mit 'nem Fuchs
Raucht Weed, baut die Pfeife selbst
Ein Baum ist wie Facebook - er drückt auf gefällt
Kleine Wölfinmacht sich ran an den Apachen
Doch keine Chance bei Häuptling „geh ma' kacken“
Coole Jacken, die Sonne ist dein Vater
Der Marlboro-Mann geht zum Fasching als Indianer
Vergesst nie, wer die ersten Styler waren
Fragt Torch, wo wir unser'n Style her haben
Jetzt gibts 'ne Überdosis Schlangengift
Barack Obama, gib den Indianern ihr Land zurück!

[Hook]
Gib den Indianern ihr Land zurück
Hey, sie haben es sich verdient
Barack Obama, gib den Indianern ihr Land zurück
Hey, sie haben es sich verdient

[Part 2]
Howgh, der Magen knurrt wie Sau
Hier jagt man noch selbst und schickt nicht seine Frau
Der Indianer von heute geht mit der Zeit
Muss weinen bei E.T.,lacht sich tot bei Karl May
(How high?) Raucht sich frei
Cocaine Cowboys ziehen an ihm vorbei
Kevin Costner bleibt stehen, macht auf Vertreter
Salamander, Zalando, Handschuh aus Leder
George Bush hat sie wenigstens in Ruhe gelassen
Bei Obama muss man jeden Tag auf Bruder machen
Yes we Clan, doch weiß nicht wer RZA war
Sehr reserviert, ja, sehrReservat
Wer hat dir das Gold damals einfach geschenkt?
Warum fährst du jetzt dieses Mercedes Benz?
Jetzt gibt's 'ne Überdosis Schlangengift
Barack Obama, gib den Indianern ihr Land zurück!

[Hook]
Gib den Indianern ihr Land zurück
Hey, sie haben es sich verdient
Barack Obama, gib den Indianern ihr Land zurück
Hey, sie haben es sich verdient

-Folg RapGeniusDeutschland!","https://genius.com/Marsimoto-indianer-lyrics","Released January 13, 2012
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment Germany
Artwork

    
      Zentrale Berlin
Label

    
      Four Music Productions
Producers

    
      Dead Rabbit, Kid Simius, The Krauts & 2 more
Writers

    
      Marsimoto
Background Vocals

    
      Yasha
Bass Guitar

    
      Juan Antonio Alanon
Copyright ©

    
      Green Berlin"
"5","Marsimoto","Ich Tarzan, du Jane","Gruner samt","[Part 1]
Nein, wir müssen nicht denken
Längst haben wir alles durchgedacht
Nie wieder musst du mir was schenkenLeg mich zu dir,sag nur noch dir gute Nacht
Wir müssen weg, müssen es beenden
Du verstehst mich. Wir ziehen raus aus der Stadt
Fliegen über Mauern und Grenzen
Haben keine Feinde, die Krokodile sind satt

[Hook]
Danke Gott, du bist keine PhantasieDu bist da für mich, ich verlass dich nie
Wir sitzenhier oben in den Kronen der Bäume, die Aussicht ist schön
Ich halte deine Hand - ich Tarzan, duJane

[Part 2]
Du fütterst mich mit Trauben
Mmmh, ist von den Roten noch was da?
Tränen schiessen aus meinen Augen
Doch noch nie sah ich so klar
Wir woll'n schwimmen, doch die Sonne will tauchen
Selbst nachts glänztdein goldgrünes Haar
All die Geschichten: Niemand will's glauben
Wir haben sie gesehen - alle sind wahr

[Hook]
Danke Gott, du bist keine PhantasieDu bist da für mich, ich verlass dich nie
Wir sitzenhier oben in den Kronen der Bäume, die Aussicht ist schön
Ich halte deine Hand - ich Tarzan, duJane

Danke Gott, du bist keine Phantasie
Mein Atem stockt,ich verlass dich nie
Wir sitzen hier oben in den Kronen der Bäume, die Aussicht ist schön
Ich küss deine Hand - ich Tarzan, du Jane

Folg RapGeniusDeutschland!","https://genius.com/Marsimoto-ich-tarzan-du-jane-lyrics","Released January 13, 2012
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment Germany
Artwork

    
      Zentrale Berlin
Label

    
      Four Music Productions
Producers

    
      Dead Rabbit, Kid Simius, The Krauts & 2 more
Writers

    
      Marsimoto
Background Vocals

    
      Yasha
Bass Guitar

    
      Juan Antonio Alanon
Copyright ©

    
      Green Berlin"
"6","Marsimoto","Grünes Haus","Gruner samt","[Hook]
Ich bin Marsimoto, du hast nichts anderes verdient!
Alle Augen leuchten green, zieh den Gürtel aus den Jeans!
Ich bin Marsi, ein grünes Haus steht in Berlin
Ein grünes Haus steht in Berlin!

[Part 1]
Marsimoto, außer Konkurrenz
Vor meinem Haus steht ein alter grüner Benz
Ich steig ein, rauch' mein Gras und fahr' los
Fuß auf dem Gas, na klar über Rot!
Alle spazieren vor sich hin
Der Bio-Laden vegetiert vor sich hin
Selbst Gott hat meinen Segen
Jeder meiner Gesten, drückend überlegen
Wo wird ein Maulwurf begraben?
Es gibt keine Antwort mehr auf eure Fragen!Verschwörungstheorien - Illuminaten(Was sagst du dazu?) - Hmmm, Verarschen!Mann ich bin Marsi, ich weiß alles
Ein Blatt Papier wird erst zum Kranich wenn du's faltest
Green Berlin - ich seh die Welt mit andern' Augen
Schmeiß die Krücken weg und fang an zu laufen

[Hook]
Ich bin Marsimoto, du hast nichts anderes verdient!
Alle Augen leuchten green, zieh den Gürtel aus den Jeans!
Ich bin Marsi, ein grünes Haus steht in Berlin
Ein grünes Haus steht in Berlin!

[Part 2]
Was geht ab, Milfs? Alles ist perfekt!
Heute gehen wir morgen erst ins Bett!
Zieh dir was an, wir gehen raus randalieren
A.C.A.B , 8 Cola , 8 Bier
20 Stunden Marsi am Tag tun dir gut
Deine alte Hood is'n alter Hut
Es gibt kein' Gangster, der keine Witze kennt
Ich bin Straße - Seifenkistenrennen!
Hab' Hunger, klau mein Essen aus der Kita
Was ist Kennedy? Kennedy ist ein Berliner!
Prima Klima - Hautfarbe Lila
Ab jetzt essen sie keine Hunde mehr in China
Diese Welt spielt verrückt
Vielleicht hast du Glück
Bekommst auch ein kleines Stück
Ein grünes Haus steht in Berlin
Ich bin Marsi, alle Augen leuchten green!

[Hook]
Ich bin Marsimoto, du hast nichts anderes verdient!
Alle Augen leuchten green, zieh den Gürtel aus den Jeans!
Ich bin Marsi, ein grünes Haus steht in Berlin
Ein grünes Haus steht in Berlin!

-Folg RapGeniusDeutschland!","https://genius.com/Marsimoto-grunes-haus-lyrics","Released January 13, 2012
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment Germany
Artwork

    
      Zentrale Berlin
Label

    
      Four Music Productions
Producers

    
      Dead Rabbit, Kid Simius, The Krauts & 2 more
Writers

    
      Marsimoto
Background Vocals

    
      Yasha
Bass Guitar

    
      Juan Antonio Alanon
Copyright ©

    
      Green Berlin"
"7","Marsimoto","Marsi der Zigeuner","Gruner samt","[Part 1]
Ich bin Marsi, Marsi der Zigeuner
Ein Streuner, ein Räuber, eigentlich bin ich ein Träumer
Doch wenn ein Auto da steht, nehm ich's
Zwei Reifen auf der Straße, zwei Reifen auf dem Gehweg
Kurz Luft holen, Hände weg vom Steuer
Erst mal einen rauchen, verdammt wo ist mein Feuer?
Fahr' los, ein paar Runden um die Häuser
Ich bin Marsi

[Hook]
Ich bin Marsi, Marsi der ZigeunerIch bin Marsi, Marsi der ZigeunerEinfach Marsi, Marsi der Zigeuner

[Part 2]
Hör den Beat: Synthies/Sintis und Roma
Knallt voll rein in meinem nagelneu'n Toyota
Ich bin frei,zahl' keinen Cent an die da oben
Mach mein Geld mit: einfach abgezogen
Wohn' amStadtrandfluss, von dir gar nicht mal so weit
Ein Ort, den du deinen Kindern niemals zeigst
Keine Gesetze, keine Polizei
Ich bin Marsi

[Hook]
Ich bin Marsi, Marsi der ZigeunerIch bin Marsi, Marsi der ZigeunerEinfach Marsi, Marsi der Zigeuner

[Part 3]
Ich guck' deiner Frau nachBis sie nicht aufpasst
Ein waschechter Zigeuner ist ein dreckiger Gauner
Bin ein Mix aus Robin Hood und Santa ClausDen Armen nehm' ich's weg und den Reichen wird's verkauft
So sieht's aus, wenn du jeden Tag auf Reise bist
Du hast keine andere Wahl, wenn du ein Haifisch bist
Dir geht's gut, solang du nicht alleine bist
Ich bin Marsi

[Hook]
Ich bin Marsi, Marsi der ZigeunerIch bin Marsi, Marsi der ZigeunerEinfach Marsi, Marsi der Zigeuner

[Outro]
Ich bin Marsi der Zigeuner

Folg RapGeniusDeutschland!","https://genius.com/Marsimoto-marsi-der-zigeuner-lyrics","Released January 13, 2012
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment Germany
Artwork

    
      Zentrale Berlin
Label

    
      Four Music Productions
Producers

    
      Dead Rabbit, Kid Simius, The Krauts & 2 more
Writers

    
      Marsimoto
Background Vocals

    
      Yasha
Bass Guitar

    
      Juan Antonio Alanon
Copyright ©

    
      Green Berlin"
"8","Marsimoto","Mein Kumpel Spalding","Gruner samt","[Sample]
Calling Bombay, X-Y-U
Hong Kong Dragon speaking
Hong Kong Dragon speaking
One hundred thousand dollars [?]
The invisible man

[Part 1]
Augen auf, wo bin ich?!Seh' nur Palmen, heißen Sand und es ist windig
Sieht aus wie 'ne Insel, sieht aus wie gemalt
Ein Traum wird wahr und ich hab nicht'mal was bezahlt!
Ruh' mich erstmal aus, bau mir schnell 'ne Sandburg
Überall nur Felsen und 'nen Wels in der Brandung
Kokussnüsse falln' vom Himmel
Ein Schwarm Sardinen zieht vorbei, ich stürz' mich in's Getümmel
Und plötzlich bist du da
Schöner runder Basketball, aus den USA
Ich sag „Hi!“, du sagst erstmal„Knicks“
Ich nehm' dich an die Hand, du zeigst mir ein paar Tricks

[Hook]
Nein! Ich bin nicht alleine!
Nein! Ich bin nicht alleine!
Nein! Ich bin nicht alleine!
Renn über die Insel mit 'nem Ball an der Leine
Die Sonne lacht für uns
Du zeigst mir deine Kunst
Wir bau'n zusamm' ein Haus
Oben auf dem Baum
Wow! Nur für uns beide!
Du bist mein bester Kumpel
Du bist mein Kumpel Spalding
Du bist mein allerbester Kumpel
Du bist mein Kumpel Spalding

[Part 2]
Yeah, du bist mein Kumpel Spalding
Wer war dein Vorbild? Na klarMichael Jordan
Wir fang' an zu quatschen, schön das du Zeit hast
Hast du Geschwister?Ja, Wilson und Freitag!
Ich geb dir nen Korb, bau ihn in den Sand
Ich sag „Bitte“ und du dunkst aus dem Stand
Mittlerweise hab ich einen Bart bis zu den Knien
Ich bin Marsi, kein Bock mich zu rasieren
Ein Flugzeug kommt, fast hätt' es uns entdeckt
Schnell rein in's Versteck, wir wolln' hier nicht mehr weg
Die Krabbe macht Salat
Die Schlange macht Spagat
Meine kleine Insel, kurz vor Dänemark!

[Hook]
Nein! Ich bin nicht alleine!
Nein! Ich bin nicht alleine!
Nein! Ich bin nicht alleine!
Renn über die Insel mit 'nem Ball an der Leine
Die Sonne lacht für uns
Du zeigst mir deine Kunst
Wir bau'n zusamm' ein Haus
Oben auf dem Baum
Wow! Nur für uns beide!
Du bist mein bester Kumpel
Du bist mein Kumpel Spalding
Du bist mein allerbester Kumpel
Du bist mein Kumpel Spalding

-Folg RapGeniusDeutschland!","https://genius.com/Marsimoto-mein-kumpel-spalding-lyrics","Released January 13, 2012
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment Germany
Artwork

    
      Zentrale Berlin
Label

    
      Four Music Productions
Producers

    
      Dead Rabbit, Kid Simius, The Krauts & 2 more
Writers

    
      Marsimoto
Background Vocals

    
      Yasha
Bass Guitar

    
      Juan Antonio Alanon
Copyright ©

    
      Green Berlin"
"9","Marsimoto","Alice Im WLAN Land","Gruner samt","[Part 1]
Ich wach' morgens auf, weil mein Handy klingeltBin sofort von Paparazzis umzingelt
Geh kurz duschen, putz mir schnell die Zähne
Nimm's nicht so ernst mit der Hygiene
Bin da eher wie 'ne Hyäne
Geh in die Küche, heute wird gekocht
Pack die Nudeln aus, auf einmal spricht mein Topf
Aus der alten Milch erscheint ein helles Licht
Sie haben 'nenSatellitenhochgeschossen,extra nur für mich
Geh auf die Straße, kann es kaum erwarten
Doch ich glaub ich werd' beobachtet vom Fahrscheinautomaten
EinDöner und ein ein Ayran,schon haben sie meine Daten
Werd'gefilmtaus meinem Garten
Da ist 'ne Kamera imRaben
Jede Nacht gucken wir kurz hoch
'ne böseHexenamensAlicewohnt da im Mond
'Ne ganze Welt wird von da oben kontrolliert
Man weiß nur eins - Das nie etwas einfach so passiert

[Hook]
Alice, A-a-a-alice im WLAN LandAlice, A-a-a-alice im WLAN LandAlice, A-a-a-alice im WLAN LandAlice, A-a-a-alice im WLAN Land

[Part 2]
Es gibt 'ne böse Hexe, die Hexe die heißt Alice
Eva Braunwar gestern, heute ist es Alice
Lady Di ist tot, warum wohl?Alice
NPD, öffentlich Rechtlich, Alice
Vollmond, Halbmond,schuld ist nur Alice
Nordkorea mag sie nicht, unsere kleine Alice
Wer baut 'ne Mauer auf und reißt sie ab?Natürlich Alice
Wer ist auf jedem Plakat der Stadt?

[Hook]
Alice, A-a-a-alice im WLAN LandAlice, A-a-a-alice im WLAN LandAlice, A-a-a-alice im WLAN LandAlice, A-a-a-alice im WLAN Land
Alice, Alice
Who the fuck is Alice?Who the fuck is Alice?Who-Who-Who the fuck is Alice?Who the fuck is Alice?
Gucci-Banda, Gu-Gu-Gucci-Bandana

-Folg RapGeniusDeutschland!","https://genius.com/Marsimoto-alice-im-wlan-land-lyrics","Released January 13, 2012
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment Germany
Artwork

    
      Zentrale Berlin
Label

    
      Four Music Productions
Producers

    
      Dead Rabbit, Kid Simius, The Krauts & 2 more
Writers

    
      Marsimoto
Background Vocals

    
      Yasha
Bass Guitar

    
      Juan Antonio Alanon
Copyright ©

    
      Green Berlin"
"10","Marsimoto","I Got 5","Gruner samt","[Hook]
I got 5, I got 5, I got 5, I got 5, I got 5, I got 5

[Part 1]
Morgens um 5, bin ich auf die Welt gekomm'
Seit dem fünften Monat hör' ich immer nur den selben Song
Mit 5 hat ich zum ersten mal Sex! (Stimmt Nicht)
Achja, tut mir Leid, ich war 6!
Und da waren's gleich 5 auf einmal
Is' doch klar, ich bin Marsi, natürlich konnt' ich 2 mal
Ab der 5. Klasse war mir alles egal
Wenn man Nr. 5 war gab es nie einen Pokal
Ich sah diesen Film, Nummer 5 lebt
Fand ihn echt scheiße und alles war zu spät!
Das 5. Rad am Wagen hat verpennt
Ich bin Marsi, das 5. Element!

[Hook]
I got 5, I got 5, I got 5, I got 5, I got 5, I got 5

[Part 2]
Alle 5 Minuten, rauch ich neues Gras
Ich brauch nur 5 Sekunden, schon bin ich beim Mars
Ma-Ma-Marsi, 5 Euro Stehplatz
In meine Jacke eingenäht, ein 5 blättriges Kleeblatt
Jede Nacht woll'n mich 5 Hunde beißen
Jede Nacht muss ich 5 Runden schmeißen
Jeder sagt es schlägt 5 vor 12
Fahrt nach London, da schlägt's 5 vor 11!
Das Leben, ich hab's nie kapiert
Wie kann man 5 mal verlieren, wenn man nur 5 mal spielt?
Ma-Ma-Marsi, die 5 auf dem Trikot
Green Berlin, zieh's dir rein und bleib Dope!

[Hook]
I got 5, I got 5, I got 5, I got 5, I got 5, I got 5

-Folg RapGeniusDeutschland!","https://genius.com/Marsimoto-i-got-5-lyrics","Released January 13, 2012
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment Germany
Artwork

    
      Zentrale Berlin
Label

    
      Four Music Productions
Producers

    
      Dead Rabbit, Kid Simius, The Krauts & 2 more
Writers

    
      Marsimoto
Background Vocals

    
      Yasha
Bass Guitar

    
      Juan Antonio Alanon
Copyright ©

    
      Green Berlin"
