"","artist","title","album","text","url","metadata"
"1","Marsimoto","Soundcheck","Halloziehnation","[Part 1: Marsimoto / (Marteria)]
One, two, one, two
Mein Sound ist echt
Schall und Rauch
Ein und aus
Wir schneiden keine Atmer raus
Eine One-Take Strophe ohne Pause
Eine Spur Delays
(Mein Sound ist was fürs Auge)
Ein Mac, ein Mic und viel Zeit
Neue Airmax, 'ne Coke light (right)
Gottes Beitrag und Marsimotos Werk
(Dead Rabbit ist der King vom Prenzlauer Berg)
Unser Konzept: drei Joints, vier Beck's
Erst dann produzier‘n wir Marsimoto-Tracks
Wir sind auf ‘nem Trip
Wir hörn Spliff FM
(Marsimoto-Shit)
Unser Freund Pro Tools macht den Elektrorap
Unser Sound ist fett wie ein Olli Banjo Track
Für alle Dealer und Käufer
Dopekiller und Säufer

[Hook]
(Soundcheck
Dead Rabbit mach den Sound fett)
Soundcheck
One, two, one, two
Jetzt geht’s los
(Soundcheck
Dead Rabbit mach den Sound fett)
Soundcheck
Zieh's dir rein und bleib dope

Folg RapGeniusDeutschland!

","https://genius.com/Marsimoto-soundcheck-lyrics","Released July 7, 2006
Label

    
      Green Berlin & Magnum12
Photography

    
      Daniel Franke & Silke Briel
Artwork

    
      Daniel Franke & Silke Briel
Distribution

    
      Sony Music Entertainment & Groove Attack
Copyright ©

    
      Green Berlin
Phonographic Copyright ℗

    
      Green Berlin
Executive Producer

    
      Marsimoto, Dead Rabbit & Tobias Zumak
Featuring

    
      Gabreal, Mobla & Underdog CRU
Producers

    
      Dead Rabbit & Nobodys Face
Writers

    
      Gabreal, Marsimoto, Mobla & 1 more
Co-Producer

    
      Siegmar Trenkler
Copyright ©

    
      Green Berlin & I Luv Money Records"
"2","Marsimoto","Intro","Halloziehnation","10, 9, 8, 7, 6, 5, 4, 3, 2, 1
Mary Jane
White Widow
Purple Haze
Orange Bud
Northern Lights
K2
Super Skunk
Knockout
Crystal
Shiva Shiva, y'all
Schneewittchen
Marihu...
Afghan Skunk
Ganja
Elephant
Magic
Hallo, Hallo, Hallo! Halloziehnation!

Folg RapGeniusDeutschland!

","https://genius.com/Marsimoto-intro-lyrics","Released July 7, 2006
Label

    
      Green Berlin & Magnum12
Photography

    
      Daniel Franke & Silke Briel
Artwork

    
      Daniel Franke & Silke Briel
Distribution

    
      Sony Music Entertainment & Groove Attack
Copyright ©

    
      Green Berlin
Phonographic Copyright ℗

    
      Green Berlin
Executive Producer

    
      Marsimoto, Dead Rabbit & Tobias Zumak
Featuring

    
      Gabreal, Mobla & Underdog CRU
Producers

    
      Dead Rabbit & Nobodys Face
Writers

    
      Gabreal, Marsimoto, Mobla & 1 more
Co-Producer

    
      Siegmar Trenkler
Copyright ©

    
      Green Berlin & I Luv Money Records"
"3","Marsimoto","Halloziehnation","Halloziehnation","[Part 1: Marsimoto / (Marsimoto)]
Hallo,Halloziehnation
Wie geht es euch?
Quasimoto gibt es jetzt auch auf DeutschIch war ganz bravHab' angerufen und gefragtEr hat gesagt: Salami a.k.a du darfst
Ich bin kein Star
Ich bin einfach für dich da
Der Joint macht mich nackig
Ich rauch am FKK
Mr. Mar ey ey ey
Das Weed knallt viel krasser
(Und danach ein großer Schluck kaltes, klares Wasser
Wer produziert dieses Lied?
Ey, wer macht hier jeden Beat?)
Dead Rabbitmacht das klar
Und raucht Weed bis er fliegt
Deady, wir könn’n über alles reden
Und verkaufen euch die Knaller wie Vietnamesen
(Auf jeden, ich hab ‘n FressflashVerdammt, hast du, hast du Käse?)
Nein, ich mach' Spaghetti und tanz' dann Bolognese
Von Green Berlin bis raus in die Welt
Wir sind jung und verrauchen das Geld

[Hook]
Halloziehnation - ihr habt lange drauf gewartet
Aufgeatmet, als mein Album kam und nun am Start ist
Jetzt siehst du’s vor dir, Bruder
Wir sind die Party-Shooter
Wir komm’ vom Keller ganz nach oben so wie Arthur Spooner
Halloziehnation - ihr habt lange drauf gewartet
Aufgeatmet, als mein Album kam und nun am Start ist
Jetzt siehst du’s vor dir, Bruder
Wir rauchen Gras auf Kuba
Marsimoto Crew
Wir gehör’n zusammen wie Marge und Homer

[Part 2: Marteria / (Marsimoto)]
Hallo, Halloziehnation
Mal ganz langsam
Unsere Tracks sind nicht zu kurz
2010 ist der Standard
Ich bin ein Underdog
Und Deutschrap ist zu viel des Guten
Unser Sound macht dich heiß im Schritt wie Liebeskugeln
Jetzt kommt der Blunt ins Spiel
Weed getankt und anvisiert
Jetzt wird randaliert
Denn ganz Deutschland geht zum Hansaspiel
Man kann verlieren, doch die Scheiße besiegt dich
Man, du liebst mich und bekommstne Muschi im Kinn wie Arne Friedrich
Jetzt siehst du mich und weißt Bescheid um was es geht
(Hey, hey, Marteria, Mann, du warst schon zwei Mal auf der Juice CD)
Ok, ok, geh mal raus und schlaf dich aus
Man, der Typ ist drauf, obwohl ich ihn am meisten brauch'
Egal was ihr sagt
Das ist unser Sound
Unser Shit ist wie dein Dad
Unsere Hits hab'n dich umgehau‘n
Steh nicht rum und bounce bis der Boden brennt
Ich mag Dirty South und Marsimoto ist der größteStones Throw-Fan

[Hook]

Folg RapGeniusDeutschland!

","https://genius.com/Marsimoto-halloziehnation-lyrics","Released July 7, 2006
Label

    
      Green Berlin & Magnum12
Photography

    
      Daniel Franke & Silke Briel
Artwork

    
      Daniel Franke & Silke Briel
Distribution

    
      Sony Music Entertainment & Groove Attack
Copyright ©

    
      Green Berlin
Phonographic Copyright ℗

    
      Green Berlin
Executive Producer

    
      Marsimoto, Dead Rabbit & Tobias Zumak
Featuring

    
      Gabreal, Mobla & Underdog CRU
Producers

    
      Dead Rabbit & Nobodys Face
Writers

    
      Gabreal, Marsimoto, Mobla & 1 more
Co-Producer

    
      Siegmar Trenkler
Copyright ©

    
      Green Berlin & I Luv Money Records"
"4","Marsimoto","Cuba Clubbing Junior","Halloziehnation","[Part 1: Marteria]
Mr. Mar, Mr. Marteria
Ich bin ganz oben, du bist in der Parteria
Erica, meine Ex ist hier auf Ecstacy
Tanzt eleganz mit der Wand und hat Sex Appeal
Kette hier und Chromfelgen da
Jetzt wird der dicke Smart vor dem Hotel geparkt
Hadron am Start, mit dem Blunt in der Hand
Der Verstand verdampft, verbrannt der Blunt
Nein, nei-nei-nein, nein, jetzt machen Kids halt Schulden
Ich kriech deutscher Comedy in den Arsch wie Christian Ulmen
Bomb, da-Bomb, da-Bomb mit dem Beat
Ich sag: Komm' in mein'n Kiez in meine Comedy Street
Was hier geschieht macht dich krank im Brain
Hier willst du selbst deinen Pelz aus dem Panda nehm'n
Ihr spielt bald Cricket und Tekken
Mar kickt it like Beckham
So steht's in Juice, Wicked und Backspin
Ich mach'n dicken beim Rappen
Jetzt ficken die Deppen
Und verticken die Peppen wie eine Disco
Marteria schreib halt solo zu
Bis dahin es: [Marsi:] Rap, Marsimoto Crew

[Hook: Marteria]
Ich verspritz' Gift im Club
Du hörst meinen Hit im Club
Du schwitzt im Club
Die Bitch im Club hat hingeguckt und stöhnt
Ich verspritz' Gift im Club
Du hörst meinen Hit im Club
Du schwitzt im Club
Mit Hitch im Club - das Leben ist wunderschön

[Part 2: Marsimoto]
Eeny Meeny Marsi-Mo
Ich fahr' durch mein Land im Cabrio
Ich flow' wie ein Rapper auf Weed
Ich hab' gehört deutscher Rap zieht in den Krieg
Wir sind wie Doo Wop und Tony Touch
Deady macht den Beat und Fo die Cuts
Es ist alles für die Katz
Dea-Deady switcht den Beat und Gruß an DJ Max

[Einspieler:] Ey, Dead Rabbit, Alter, hier ist Henry
Ey, der Beat, Mann, mach ihn wieder an
MACH DEN VERDAMMTEN BEAT WIEDER AN!

[Hook]

Folg RapGeniusDeutschland!","https://genius.com/Marsimoto-cuba-clubbing-junior-lyrics","Released July 7, 2006
Label

    
      Green Berlin & Magnum12
Photography

    
      Daniel Franke & Silke Briel
Artwork

    
      Daniel Franke & Silke Briel
Distribution

    
      Sony Music Entertainment & Groove Attack
Copyright ©

    
      Green Berlin
Phonographic Copyright ℗

    
      Green Berlin
Executive Producer

    
      Marsimoto, Dead Rabbit & Tobias Zumak
Featuring

    
      Gabreal, Mobla & Underdog CRU
Producers

    
      Dead Rabbit & Nobodys Face
Writers

    
      Gabreal, Marsimoto, Mobla & 1 more
Co-Producer

    
      Siegmar Trenkler
Copyright ©

    
      Green Berlin & I Luv Money Records"
"5","Marsimoto","Deine Weedlingsrapper","Halloziehnation","[Hook: Marteria]
Lass dir Zeit, hör den Scheiß, da geht's dir besser
Marsimoto und Marteria, deine Weedlingsrapper
Komm zu uns in' Club, unser Sound ist einfach fetter
Marsimoto und Marteria, deine Weedlingsrapper
Green Berlin fickt den Stresser mit dem Messer
Marsimoto und Marteria, deine Weedlingsrapper
Mach es laut, dreh es auf bis es scheppert
Marsimoto und Marteria

[Part 1: Marteria]
Marteria, ich bin dein Weedlingsrapper
Dein Lieblingsstecher, bitte Bitch geh zur Seite
Ich komm' ins Game wie Tracy McGradyIch bin die Nummer eins, deshalb trägt sie McGrady
Du hörst den Scheiß im Golf und in der S-Klasse
Meine Raps fackeln deinen Specknacken weg, Sucker
Deine Festplatte liebt meinen Scheiß wie mein Management
Und Ellen denkt, dass ihre Bälle hängen in ihrem engen Tennishemd
Mr. Mar - ich bin der Man wie Elephant
Intelligent wie der Motherfucker
Ich hab' Pad in Pellepelle
Baggypants - kein second-hand
Sondern first-class Raps in Star Tracks
Wir lassen uns Zeit bis über die Sache Gras wächst
Deine Weedlingsrapper, wir sind extra-large
Wenn ich zum Extra latsch', mit 'nem Sixer Becks und Extra-Gras
Sex danach, Penis raus und eingeschlafen
Sie liebt unseren Sound und hat mir extra ein' geblasen

[Hook]

[Part 2: Marsimoto]
Marsimoto, deinWeedlingsrapper
Gras geklaut, ein' geraucht, schönes Wetter
Ganz schön drauf, Gangsterjacke an und raus
Die Party ist wie Mutombo - not in my house
My house in the middle of the street
Hier hüpfen elf Typen in der Gegend rum wie Seeed
Hier ist alles cool, alle sind relaxt und so
Und die Badewanne wird zum Gästeklo
Marsimoto, ihr habt Spaß, wenn ihr bei uns seid
Hier könnt ihr rumschreien, ich zieh' am Joint, dich zieht der Bund ein
Scheiß egal, hier kann dir alles passier'n
Hier gibt's keinen Stress mit den Nachbarn, weil wir alles ignorier'n
Du liebst unsere Welt, und alles wird gleich bunter
Auf die Beats von Deady holst du dir ein'n runter
Und dann geh' ich mitGabrealins Studio
Und wir machen einen Track auf den Beat von Gangsta's Paradise

[Hook]

Folg RapGeniusDeutschland!

","https://genius.com/Marsimoto-deine-weedlingsrapper-lyrics","Released July 7, 2006
Label

    
      Green Berlin & Magnum12
Photography

    
      Daniel Franke & Silke Briel
Artwork

    
      Daniel Franke & Silke Briel
Distribution

    
      Sony Music Entertainment & Groove Attack
Copyright ©

    
      Green Berlin
Phonographic Copyright ℗

    
      Green Berlin
Executive Producer

    
      Marsimoto, Dead Rabbit & Tobias Zumak
Featuring

    
      Gabreal, Mobla & Underdog CRU
Producers

    
      Dead Rabbit & Nobodys Face
Writers

    
      Gabreal, Marsimoto, Mobla & 1 more
Co-Producer

    
      Siegmar Trenkler
Copyright ©

    
      Green Berlin & I Luv Money Records"
"6","Marsimoto","OC Beatz","Halloziehnation","[Verse: Marsimoto / (Marteria)]
Friday,Next Friday, Friday after next
Noch zehn Joints - Ciao, Verstand, ich muss weg
Ich brauch kein Crack, um zu fliegen
Ich bin wie gute Aktien - einfach hochgestiegen
Einfach eingetaucht in eine Welt
Die mich so behandelt wie ein Superheld
Scheiß auf's Geld, ich brauch einfach nur Zeit
Freiheit - Oh Mann, sind wir breit
(Der Mann mit der Gun weiß Bescheid
Der Punk mit der Pump tut mir leid
Er bleibt nicht cool, er ist zum Angriff bereit
Sein Ego weint, denn sein Schwanz ist zu klein)
Lasst ihn allein, den Möchtegern-Gangster
Tut mir einfach den Gefallen und hörtGang Starr,
Biggie, Pac, Eazy-E, ODB, Big Pun, Big L, J Dilla- Rest in Peace
Rest in Peace, ich hab noch Reste Piece
Wo sind die Newspapers? (Hihihihihi)
In einem Raum voller Magie
Mein Traumzauberbaumund meineOC Beatz
Das neongelbe Licht knallt in mein Gesicht
In Überschallgeschwindigkeit verbreitet sich mein Shit
Ich zieh ein - (und atme aus
Klaust du mir mein' Shit, nenn' ich das Samenraub
Es geht gerade aus, intergalaktisch
Der Mover am Mic ist weit und breit, bis er im Knast sitzt)
Das Fenster geht auf, der Gangster geht raus
Der Sessel fesselt mich, doch ich steh auf
Ich find's nicht slim, ich bin nur auf Weed
Was geschieht? - Meine OC Beatz

Folg RapGeniusDeutschland!

","https://genius.com/Marsimoto-oc-beatz-lyrics","Released July 7, 2006
Label

    
      Green Berlin & Magnum12
Photography

    
      Daniel Franke & Silke Briel
Artwork

    
      Daniel Franke & Silke Briel
Distribution

    
      Sony Music Entertainment & Groove Attack
Copyright ©

    
      Green Berlin
Phonographic Copyright ℗

    
      Green Berlin
Executive Producer

    
      Marsimoto, Dead Rabbit & Tobias Zumak
Featuring

    
      Gabreal, Mobla & Underdog CRU
Producers

    
      Dead Rabbit & Nobodys Face
Writers

    
      Gabreal, Marsimoto, Mobla & 1 more
Co-Producer

    
      Siegmar Trenkler
Copyright ©

    
      Green Berlin & I Luv Money Records"
"7","Marsimoto","Randale und Liebe","Halloziehnation","[Intro: Marteria &Marsimoto]
Hey, hey Marsimo
Mr. Marteria?
Man wie läufts mit den Frauen Alta?
Man gar nich gut, nur Probleme und Stress
Meine Ex die hat jetzt 'n Freund der heißt Becks
Weißt du? Totaler Scheiß!

[Part 1: Marteria/Marsimoto]
Marsimoto hat ein Date
Marsimoto kommt zu spät
Sie ist weg und sie mag mich nicht mehr
Ich atme schwer, das ist fünf Tage jetzt her
Fünf Tage und eine Nacht
Ich hab ihr alles beigebracht
Ich hab das Weed kleingemacht
Sie guckt zweifelhaft
Noch ein Zug, bevor ich mich scheiden lass

[Hook: Marteria /Marsimoto]
Nichts verstehst duNein
Gibt es ein Verständigungsproblem?Könnte sein
Wenn, dann sagst du es geht soWas sag ich?
Weil ich kann es in deinen Augen sehnDu hast recht
Du hast große Pläne?Ja natürlich
Doch wie willst du diese realisiern'?Keine Ahnung
Wenn all deine WünscheIch lieb' sie
Sie nur einen Scheißdreck intressierenIch rauch' erst ma' ein'n ...

[Part 2: Marteria]
Ich fahr' über den Panamakanal
Du hörst Banamarama
Und Susanna, du bist eingebildet wie 'ne Fatamorgana
Du hattest ne drahtige Klammer
Und warst artig im Tanga
Als deine Mama kam, ging es Schlag auf Schlag wie ein Drummer
Ich sah dich als Spanner, da bekam ich ein' Hammer
Ich fragte Johanna hast du unten rote Haare wie Sammer
Sie sagte ""Nein, Mann, du liebst mich nicht
""Mann, ich kann mit dir nich reden"" - ""Du miese Bitch!""

[Hook]


Folg RapGeniusDeutschland!

","https://genius.com/Marsimoto-randale-und-liebe-lyrics","Released July 7, 2006
Label

    
      Green Berlin & Magnum12
Photography

    
      Daniel Franke & Silke Briel
Artwork

    
      Daniel Franke & Silke Briel
Distribution

    
      Sony Music Entertainment & Groove Attack
Copyright ©

    
      Green Berlin
Phonographic Copyright ℗

    
      Green Berlin
Executive Producer

    
      Marsimoto, Dead Rabbit & Tobias Zumak
Featuring

    
      Gabreal, Mobla & Underdog CRU
Producers

    
      Dead Rabbit & Nobodys Face
Writers

    
      Gabreal, Marsimoto, Mobla & 1 more
Co-Producer

    
      Siegmar Trenkler
Copyright ©

    
      Green Berlin & I Luv Money Records"
"8","Marsimoto","Mein Scout","Halloziehnation","[Strophe]
Mein Scout, mein Scout macht bling bling
Wenn ich über die Straße geh' und sing' sing'
Alle Jack Wolfskins und alle Eastpaks
Sind nichts gegen mein viereckiges Weedpack
Mein Scout, mein Scout macht Spaß
Er bietet Platz für zwölf Inches und eine Platte Harz
(Das war's?)
Nein, nein, nein
Nein, nein, nein, nein, es geht noch weiter
Ein paar Adi Daslerundeine Michelle Pfeiffer
Mein Scout sitzt in der Ecke meines Zimmers
Er stellt keine Fragen, er bleibt cool wie immer
Mein Scout wechselt nie den Besitzer
Nur die Wichser nenn'n ihnRanzen und Tornister
Nein, mein Scout ist ein Hypercube
Er sitzt neben mir, passiv steif im Zug
Wenn die Cops komm'n,tarnt er sich wie Echsen
Er will kein' Stress und keine Action:
Er will Relaxen
Mein Scout, mein Homie, mein Freund
Mein Freund, bis zum letzten Joint
Hey, ich weiß, dass du mir vertraust
Mein Last Boy Scout

[Hook]
Eastpak, Kernsport,BackpackrapperRucksackrapper, Rucksackschlepper
Eastpak, Kernsport, Backpackrapper
Rucksackrapper, Rucksackrapper

Folg RapGeniusDeutschland!

","https://genius.com/Marsimoto-mein-scout-lyrics","Released July 7, 2006
Label

    
      Green Berlin & Magnum12
Photography

    
      Daniel Franke & Silke Briel
Artwork

    
      Daniel Franke & Silke Briel
Distribution

    
      Sony Music Entertainment & Groove Attack
Copyright ©

    
      Green Berlin
Phonographic Copyright ℗

    
      Green Berlin
Executive Producer

    
      Marsimoto, Dead Rabbit & Tobias Zumak
Featuring

    
      Gabreal, Mobla & Underdog CRU
Producers

    
      Dead Rabbit & Nobodys Face
Writers

    
      Gabreal, Marsimoto, Mobla & 1 more
Co-Producer

    
      Siegmar Trenkler
Copyright ©

    
      Green Berlin & I Luv Money Records"
"9","Marsimoto","One Love Song","Halloziehnation","[Part 1: Marteria]
Bitte bleib, bitte bitte bleib, bitte wie du bist
Wenn du auf mein'm Schniedel sitzt
Mit deinem Scheinriesenschlitz
Mit deiner kleinen Klitoris
Wenn du lieber aus der Beaver schwitzt
Auf dem Kinositz
Mein Penis intravenous spritzt
Ich mach den Riesenchritt
Weil dein NameVenusis'
Deine Beine biegend, liegend und deine Jesus-Tits
God Jesus, Bitch

[Part 2: Marsimoto]
Hörst du?Sie spielen unser Lied
Ich mochte das Weed, ich war sofort verliebt
Sofort war mir klar was geschieht
Ich komm in Frieden, und du guckstDawson's Creek
Mit Heiser Minelli durch Chillicon Valley
Ich fahr die Karre, ich üb' bei V-Rally
Und dann rein ins Paradies
Nein nein, nicht Paris
Einfach raus auf die Streets
Ein bisschen Benzin, ein bisschen Cash
Wir pendeln zwischenFusion und Splash
Pass the Dutch, ich bin ein fliegender Holländer
[Mar:]Doch ohne euch fahr'n wir zur WM
[Marsi:] Marsimoto, verliebt in Berlin
Mary Jane, wir sind ein gutes Team
Wir sind Helden und machenParty wie Ammer
[Wir sind Helden sample:] Hol den Vorschlaghammer!

[Hook] (x2)
[Marsi:] Mary Jane -es war liebe auf den ersten Stick
""I love you""
[Mar:] Mary Jane - mein Dick nickt zu Slick Rick
Ich rauch mich zu

Folg RapGeniusDeutschland!

","https://genius.com/Marsimoto-one-love-song-lyrics","Released July 7, 2006
Label

    
      Green Berlin & Magnum12
Photography

    
      Daniel Franke & Silke Briel
Artwork

    
      Daniel Franke & Silke Briel
Distribution

    
      Sony Music Entertainment & Groove Attack
Copyright ©

    
      Green Berlin
Phonographic Copyright ℗

    
      Green Berlin
Executive Producer

    
      Marsimoto, Dead Rabbit & Tobias Zumak
Featuring

    
      Gabreal, Mobla & Underdog CRU
Producers

    
      Dead Rabbit & Nobodys Face
Writers

    
      Gabreal, Marsimoto, Mobla & 1 more
Co-Producer

    
      Siegmar Trenkler
Copyright ©

    
      Green Berlin & I Luv Money Records"
"10","Marsimoto","Smokingz","Halloziehnation","[Part 1: Marteria / (Marsimoto)]
Ich komm' zu dir, denn ich brauch' einen Tipp
(Ich geb' ihn dir, dann rauchen wir den Stick
Der Shit knallt uns weg)
Hey, bleib cool und relaxt
(Ich spiel NBA 97 auf der Playstation 6)
Jetzt erst recht, jetzt wird die Nacht durchgezecht
Dort zwei Beck's, hier drei Beck's, wir sind ganz durchgenässt
(Dann in den Kadett, Stufenheck und schnell weg
Raus aus der Stadt, rein ins Versteck)
Her mit dem Pack - Mann, das Weed riecht bis hier
Jetzt ist es tief in mir
Ich inhalier' viel zu viel
Ich verspiel' mein Ziel
Und erziel beim Spiel'n die Points
Die Joints, mit meinem Trashtalker
(Yeah) Ich hab mit Weed gedealt
(Und ich hab' alles geraucht
Jetzt seh'n wir Sterne im TV wie Günther Jauch)

[Hook: Marteria / (Marsimoto) / {Gabreal}]
{Smokingz} - Ich hol den Trashtalker ins Boot
{Jungs, es ist cool mit euch}
(Danke, wir sind Pros)
{Smokingz} - Dead Rabbit, mach ma' laut
Unser Sound ist wie Spritzen, er geht unter die Haut
[2x]

[Part 2: Gabreal]
Yo, wir sind Smokingz, Mann, inmitten von Schall und Rauch
Yo, es ist so simpel, Mann,Dead Rabbit, Marsimoto,Gabreal
Die Todesstille in den Köpfen wird heute zerrissen
Nenn es Overkill, dieses Album hören bedeutet spliffen
Puff, puff and pass - es ist Brainwash
Zeit für das Highlight des Abends, du bist am Ende so wie Kate Moss
Wir gewinnen die Playoffs, One Direct und Green Berlin
Unsere Kinder rauchen Juniortüten in 2017
Das ist der kranke Scheiß, der dich entertaint wie Stromberg
Ich mach' einen Tag Pause, schreib' einen Text und nenn es Comeback
Kein Vorwurf, Mann, ich hör' Marsimo im Radio
Ich hör' Dead Rabbit im Club und meine CD aus deinem Auto (Trashtalk)
Es ist genau so wie geplant, genau so wie es soll
Nenn' mich Even Greener, ich zieh' mich runter wie dieses Volk
Dimm' dein Licht, und nimm dein Spliff
Jetzt beginnt mein Shit, Gabreal in this Bitch

[Hook]

Folg RapGeniusDeutschland!

","https://genius.com/Marsimoto-smokingz-lyrics","Released July 7, 2006
Label

    
      Green Berlin & Magnum12
Photography

    
      Daniel Franke & Silke Briel
Artwork

    
      Daniel Franke & Silke Briel
Distribution

    
      Sony Music Entertainment & Groove Attack
Copyright ©

    
      Green Berlin
Phonographic Copyright ℗

    
      Green Berlin
Executive Producer

    
      Marsimoto, Dead Rabbit & Tobias Zumak
Featuring

    
      Gabreal, Mobla & Underdog CRU
Producers

    
      Dead Rabbit & Nobodys Face
Writers

    
      Gabreal, Marsimoto, Mobla & 1 more
Co-Producer

    
      Siegmar Trenkler
Copyright ©

    
      Green Berlin & I Luv Money Records"
