"";"artist";"title";"album";"text";"url";"metadata"
"1";"Max Herre";"Blick nach vorn";"Ein geschenkter tag";"[Strophe 1]
Du sitzt noch da, die anderen gehn
Der Abspann läuft, alle habens mit angesehn
Und duuu mitten drin
Du kommst raus, der Tag ist hell
Blickst nach vorn, versuchst ihn scharf zu stelln
Und aaaaalles verschwimmt

[Chorus]
Man sagt, das Leben geht nicht gradeaus
Und man kriegt nicht immer was man grade braucht
Doch mit jedem Tag der dir Hoffnung gibt
Mit jedem Ziel das noch vor dir liegt
Mit all der Sehnsucht die in dir wächst...
Blick nach vorn
Mit jeder Wahrheit, die du erkennst
Mit jedem Zweifel, gegen den du kämpfst
Mit jedem Schlag der dich taumeln lässt...
Blick nach vorn

[Strophe 2]
Du trautest so vor dich hin
Einfach nur n bisschen Boden zu gewinnen
Und du weißt nicht wohin
Kannst nicht sehn wohin es führt
Weil was hinten liegt, seinen Schatten vor dich wirft
Und es ergibt keinen Sinn

[Chorus]

[Bridge]
Und du siehst mit jedem Stück weit, dass du kommst
Verschieeeebt sich auch dein Horizont

[Chorus]";"https://genius.com/Max-herre-blick-nach-vorn-lyrics";"Released 2009"
"2";"Max Herre";"Geschenkter Tag";"Ein geschenkter tag";"[Strophe 1]
Ich glaub es war september
Und so wars nicht geplant
Da fällt aus dem kalender
Sowas wie ein geschenkter tag
Es war um kurz nach 13
Da sieht er nen blumenstrauß
Er konnt nicht dran vorbeigehn
Und räumt die ganze bude aus
Und er ging zum nächsten schutzmann
Und sagt: wollse ein wenig liebe?
Der sagt: kommse mit das kriegen wir hin
Ich kenn da noch son paar tagediebe
Und der freundliche schutzmann
Nimmt ihn mit innen bau
Sie sagen: herzlich willkommen
Und er sagt: reiß mal die fenster auf

[Chorus]
Denn was du gibst ist was du kriegst
Ein geschenkter tag
Was du gibst ist was du kriegst
Irgendwann irgendwann
Irgendwann kommt es an
Irgendwann irgendwann
Und bis dahin: komm wir fangen mal an

[Strophe 2]
Immer noch september
Und sie schicken ihn aufs amt
Da sitzen leute auf kakteen
Er kriegt nen zettel in die hand
Und sie wollen seine anschrift
Und sagen: bitte füllen sie es aus
Er nimmt sich nen roten buntstift
Und malt ihnen das schönste haus
Er malt übern tisch und an die wände
Den ganzen gang entlang
Erst fielen blicke, dann ihre zettel
Und dann fingen sie alle an
Und draußen auf der straße
Da steht der schutzmann rum
Er fragt: kommst du mit
Ja die anderen auch
Wir holen nur noch eben blumen

[Chorus]

[Strophe 3]
Er zeigt den anderen tagedieben
Eine gegend wie gemalt
Sie springen über ne mauer
Da steht ihr haus im park
Und ein dicker grauer mann
Liegt schnauzend auf ner bank
Sie schreien: du brauchst bewegung
Und wir gehen hier entland
Sie springen von der mauer auf ein fließband
Und fahren in die fabrik
Und als sie wieder rausfahren
Da kommen auch alle anderen mit
Und sie stürmen in nen festsaal
Und der dirigent vorbei zur band
Ey wir haben ein neues lied dabei
Und wir wissen dass ihr es kennt

[Chorus]";"https://genius.com/Max-herre-geschenkter-tag-lyrics";"Released 2009"
"3";"Max Herre";"Scherben";"Ein geschenkter tag";"[Chorus]
Les die Scherben von gestern auf
Und merk, sie gehn nich mehr zusammen
Ich lass dich los und du lässt mich auch
Vielleicht verstehn wir's irgendwann

[Strophe 1]
Les die Scherben von gestern auf
Und merk, sie werden nich mehr eins
Lass mich gehn, ich lass dich auch
Und halt mich fest an dem, was bleibt
Da stand 'n Glas aufm Tisch und wir sahen es beide nicht
Sahen's erst wie's zerbricht
Und du sagst, ""ich geh zu mir""
Und Worte kann man nich radier'n
Sie bleiben da, wie man sie spricht

[Chorus]

[Strophe 2]
Und vielleicht sehn wir uns dann und wir gehn ein Stück zusammen
Da is kein Schmerz im Wiedersehn
Und ich sag: ""es geht zu dir""
Jahre kann man nich radier'n
Was war, kann uns niemand nehmen
Ich hoff', ich seh dich
Ich hoff', ich seh dich irgendwann
Ich hoff', du siehst mich auch
Und die Tränen sind vergangen

[Chorus]

[Strophe 3]
Les die Scherben von gestern auf
Und merk sie werden nich mehr eins
Lass mich geh'n, ich lass dich auch
Denk an morgen, wenn du weinst

[Outro]
Ich hoff', ich seh dich
Ich hoff', ich seh dich irgendwann
Seh dich irgendwann
Ich hoff', du siehst, siehst mich auch (jadadada dadadadada, irgendwann)";"https://genius.com/Max-herre-scherben-lyrics";"Released 2009"
"4";"Max Herre";"Alles da";"Ein geschenkter tag";"[Strophe 1]
Der Morgen klopft ans Fenster
Und es ist alles so wie sonst
Es liegt noch alles da wie Gestern
Nichts weg und nichts dazu gekommen
Obwohl ich das so kenn
Wars mir lange fremd
Und da nimmt mich der Moment
Der Tag ist kühl ich bin klar


[Chorus]
Alles da
Und endlich nehm ichs wahr
In meiner Welt ist so viel hell
Endlich seh ichs klar

[Strophe 2]
Es war sommer für die anderen
Ich hab meine Fenster zu
Hab meine Welt nichmehr verstanden
Der Sommer ging und du warst du
Obwohl ich dich erst kenn
Warst du mir nie fremd
Und du nimmst dir den Moment
Der Tag ist kühl ich bin klar

[Chorus]

[Strophe 3]
Alles da (yeah)
Und endlich nehm ichs wahr
Es schien so weit, all die zeit
Endlich ist es nah (yeah)
Zu lang warn die Scheiben vor mit blind
Und du nahmst den Schleier von dem Bild
Und endlich nehm ichs wahr
In meiner Welt ist so viel hell
Endlich seh ich's klar
Alles klar
Und endlich nehm ichs wahr
Es schien so weit, all die zeit
Endlich ist es nah (yeah)
(ohohohohoh)
Alles klar";"https://genius.com/Max-herre-alles-da-lyrics";"Released 2009"
"5";"Max Herre";"Weg von hier";"Ein geschenkter tag";"[Strophe 1]
Ich geh einen schritt vor
Mach zwei zurück
Hab drei akorde im ohr
Und einen verschwommenen blick
Ich hab drei bäume gepflanzt
Ein haus auf sand gebaut
Zwei jahre auf ein dunkelweißes blatt geschaut
Und dann schau ich dich an -
Seh dir gehts genau wie mir
Was hältst du fest in deiner leeren hand
Was ham wir zu verliern

[Chorus]
Schau mich an
Komm nimm meine hand
Lass uns weg von hier
Wir gehn zwei schritte vor
Und vielleicht einen zurück

[Strophe 2]
Vier augen die sehen
Und es braucht nur einen blick
Und bei zwei guten ideen
Ist keine zuviel
Wir könn' überall hin
Es gibt nicht das eine ziel
Und dann schaust du mich an
Siehst mir gehts genau wie dir
Auch ich hab gesehn, was man verlierern kann
Wir könnens nur riskieren

[Chorus]

[Strophe 3]
Ich seh den raum zwischen uns
Und nichts verstellt mir den weg
Und ich weiß für uns zwei
Sind drei worte viel
Es ist nicht das was man sagt
Es zählt was man dabei fühlt
Und dann schau ich dich an -
Seh dir gehts genau wie mir
Was hältst du fest in deiner leeren hand
Was ham wir zu verliern
Schau mich an
Komm nimm meine hand
Lass uns weg von hier";"https://genius.com/Max-herre-weg-von-hier-lyrics";"Released 2009"
"6";"Max Herre";"Staub";"Ein geschenkter tag";"[Strophe 1]
Ich seh' Staub
Im ersten Licht
Augen auf
Beweg' mich nicht
Er legt sich auf alles drauf
Auf meine Seele, meine Haut
Macht mich stumm, macht mich taub
Und all das, woran ich glaub'
Wird zu Staub
Ich seh' Staub
In jedem Blick
Alles grau
Jeder geht für sich

[Chorus]
Und das Schweigen wird so laut
Macht uns stumm, macht uns taub
Legt sich auf alles drauf
Und all das, woran man glaubt
Wird zu Staub

[Strophe 2]
Unter all dem Schutt begraben
Liegt ein Traum
Unter all dem liegt der Grund
Auf den wir bauen
Ich träume, wie aus dunklen Wolken
Regen bricht
Nach dem Regen bleibt kein Staub
Im Sonnenlicht
Ich seh' Staub
Und denk' an Dich
Siehst Du's auch
Denkst du an mich

[Chorus]";"https://genius.com/Max-herre-staub-lyrics";"Released 2009"
"7";"Max Herre";"Es geht";"Ein geschenkter tag";"[Strophe 1]
Ich mal ein Punkt ins Hier
Und geh daran vorbei
Ich will sehn, was vorne ist
Hab wieder Boden unter mir
Lass mich nach vorne fall'n
Es gibt kein Weg zurück
Ich hab sie zu oft gezählt
Die kleinen Lichter in der Nacht
Mich zu lang' im Schlaf gedreht
Und man weiß nicht, was einem fehlt
Bis man es nichtmehr hat
Und auch wenn es weh tut

[Chorus]
Es geht
Es geht weil es weiter geht
Es geht weil es immer geht

[Strophe 2]
Ich sag ein Wort ins Hier
Und halt mich daran fest
Merk ich brauch noch mehr davon
Da ist wieder Leben zwischen mir
Etwas das mich atmen lässt
Ich erwart' nicht mehr
Als Grund
Ich mach mich auf und suche mich
Schreib mein Schatten aus der Wand
Man ändert nicht was bleibt
Ein kleines bisschen Zuversicht
Es liegt in meiner Hand
Es ist vielleicht nicht viel, doch es reicht

[Chorus]

[Bridge]
Ich geh jetzt langsam mal
Lass mich nach vorne fall'n
Weil ich zurück nicht kann

[Chorus]";"https://genius.com/Max-herre-es-geht-lyrics";"Released 2009"
"8";"Max Herre";"Der Teufel & der Traum";"Ein geschenkter tag";"[Intro]
Wir alle malen nach Zahlen
Viel zu lang
Tritt einen Schritt zurück und
Du siehst den Teufel an der Wand

[Chorus]
Wir können wieder wegsehen
Den Teufel tun
Doch es wird sich nichts ändern
Wenn wir in Morpheus Armen ruhen
Es gab einen Traum
Es gibt einen Traum
Den träumen wir mit offenen Augen
Und ich sah ihn hell
Ich seh' in hell
Scheinen in die dunkelste Welt

[Strophe 1]
Holzauge sei wachsam
Weil der Teufel niemals schläft
Warum werden wir erst wach, dann
Wenn er zur letzten Stunde schlägt
In Zeiten wie diesen
Reicht Dir der Teufel seine Hand
Pass auf, dass Du kein' Pakt machst
Mit dem Rücken an der Wand
Wir alle malen nach Zahlen
Viel zu lang
Tritt einen Schritt zurück und
Du siehst den Teufel an der Wand

[Chorus]

[Strophe 2]
Manchmal singen wir der Welt
Nur noch das Ende vom Lied
Als dürfte man Fragen nur stellen
Wenn man die Antwort selbst gibt
Manchmal träumen wir nicht mehr
Sehen's lieber gar nicht, als halb
Manchmal fühlen wir uns
Falsch im Richtig
Manchmal richtig im Falsch
Wir alle malen nach Zahlen
Viel zu lang
Tritt einen Schritt zurück und
Du siehst den Teufel an der Wand

[Chorus]";"https://genius.com/Max-herre-der-teufel-and-der-traum-lyrics";"Released 2009"
"9";"Max Herre";"Wo rennen wir hin?";"Ein geschenkter tag";"[Strophe 1]
Es geht ein Wort um in der Straße
Macht die Runde in der Stadt
Von Häuserwänden hallen Phrasen
Und jeder hortet was er hat
Sie senden ""live"" auf allen Kanälen
""Die freie Welt ist in Gefahr""
Und in 'ner Stadt
Mit vier Millionen Seelen
Wird eine Seele ziemlich rar
Und aus Menschen
Werden Schlangen
Und alle stehen sie an
Die Einen stehen vor leeren Regalen
Die Anderen stehlen sich
Aus dem Land
Sie sagen, es wird bald
Vorbeigehen
Wenn wir den Gürtel
Enger schnüren
Erst waren es nur Zahlen
In der Zeitung
Und jetzt klopft's an der Tür
Er hat die Ärmel hochgekrempelt
Bis er ohne Hemd dastand
Und nach zwanzig Jahren stempeln
Gibt's den Stempel auf dem Amt
Und Menschen rennen auf die Arbeit
Und rennen auf die letzte Bahn
Und in ihnen wächst die
Bittere Wahrheit

[Chorus]
Wir alle rennen und
Kommen nicht an
Wir rennen durch den Tag
Rennen im Job
Rennen an die Wand
Denn wir rennen ohne Kopf
Rennen im Kreis
Rennen ohne Sinn
Wir rennen und rennen
Und rennen
Nur wo rennen wir hin?

[Strophe 2]
Und Menschen rennen
An Dir vorüber
Rennen ohne aufzusehen
Und auch Du siehst nur die Füße
Derer, die an dir vorübergehen
Tausend Stimmen durcheinander
Tausend Hände bauen am Turm
Keiner hört hier auf den Anderen
Das ist die Ruhe vor dem Sturm
Und wer noch hat rennt
Auf die Arbeit
Und rennt auf die letzte Bahn
Und in ihnen wächst die
Bittere Wahrheit

[Chorus]";"https://genius.com/Max-herre-wo-rennen-wir-hin-lyrics";"Released 2009"
"10";"Max Herre";"Baby Mama Rag";"Ein geschenkter tag";"[Chorus]
Baby Mami reg' Dich nicht auf
Die Kinder sind doch bestens gelaunt
Baby Mami reg' Dich nicht auf
Den Kindern geht's doch bestens
Hier geht alles seinen Lauf
Ich sag nur, Baby Mami reg'
Dich nicht auf

[Strophe 1]
Hier sind alle bestens gelaunt
Wir haben die Klingel geputzt
Im Hausflur Fußball gezockt
Wir haben die Katze geschrubbt
Und uns'n Pudding gekocht
Wir haben geflezt und gerauft
Und uns Lakritze geklauft
Und Baby Mami regt sich immer
Noch auf
Ich sag nur

[Chorus]";"https://genius.com/Max-herre-baby-mama-rag-lyrics";"Released 2009"
