"";"artist";"title";"album";"text";"url";"metadata"
"1";"Max Herre";"Mein Song";"Max herre";"[Part I:]
Ich freu mich wieder hier zu sein
Es ist so viel passiert, es gäb so viel zu schreiben
Und es wird immer schwere in der Welt noch klar zu sehen
Sicher wollen viele wissen wie ich hier- und dazu steh
Es ist 2004 die Welt steht immer noch
Und klar seh ich ne Zukunft, ich zieh grad Kinder groß
Und klar hab ich leicht reden, ich hab viel Glück im Leben
Ich hoff nur mit der Platte n bisschen was zurückzugeben
Oh Mann, mich hat´s gejuckt, und ich wollt wieder rappen
Und irgendeiner in dem Genre muss doch diebisch rappen
Bin aus ner Zeit, als wir Teil einer Bewegung waren
Ein MC mehr sein musste, als nur ein Egoman
Und muss gestehn, ich weiß oft selbst nicht wohin
Will nur die Seele nich verkaufen, um noch Geld zu verdienen
Will einfach nur Musik machen, die´n Funken Hoffnung schenkt
Wenn´s dir mies geht, hör mein Song, lass den kopf nich hängen

[Refrain:]
When you´re feeling sorrow
You fell like you´re the only one
And all you got is this song

[Part II:]
Vielleicht bist du sechzehn und grad aus der Schule raus
Findest keine Lehrstelle, jetzt hängst du nur rum zu Haus
Bei all den Absagen siehst du grad die Zukunft nicht mehr
So geht´s hunderttausend arbeitsloser Jugendlicher
Vielleicht bist du Ende zwanzig und schreibst grad Diplom
Hängst seit Wochen vor´m Computer, fragst, ob das sich lohnt
Vielleicht ne junge Mutter, froh, dass du den Job hast
Nur was jetzt machen mit deinem Kind, findest kein Hortplatz
Was du auch sonst machst, was immer dein Hustle ist
Du bist nicht allein, es sieht ähnlich aus im Plattenbiz
Immer mehr Leute struggeln in mein Berufszweig
Doch mehr als um Verkäufe geht´s mir um ein Bewusstsein
Und ich kann nicht vorneweg gehn, kann nur n Spiegel sein
Ich bin kein Leader oder sowas, kann nur Lieder schreiben
Kann nur Musik machen, die n bisschen Hoffnung schenkt
Wenn´s euch mies geht, hört mein Song, lasst den Kopf nich t hängen

[Refrain]";"https://genius.com/Max-herre-mein-song-lyrics";"Released September 13, 2004
Label

    
      Four Music Productions
Featuring

    
      Laura López Castro
Producers

    
      Carsten Schedler, Don Philippe, Manumatei & 6 more
Writers

    
      Carsten Schedler, Chris Sholar, Dave Meyer & 14 more
Guitar

    
      Don Philippe
Label

    
      Four Music Productions"
"2";"Max Herre";"1ste Liebe";"Max herre";"Afrob: Okeeey, was geht ab? Guten Morgen, es ist sieben Uhr dreißig hier auf We Da Soul FM und ich hab' hier 'nen heißen Track für 'nen heißen Tag - Max Herre, schön dass du wieder da bist baby!

Max:
Es ist schön dich zu sehen, LOVE hab dich vermisst
Ich hab fast vergessen wie ich mag wie du bist
Kenn dich schon seitdem ich klein war, wir hingen immer zusammen
Damals warn 2 Wochen Ferien ohne dich schon zu lang
Hab als Kind jeden Tag in deiner Straße gespielt
Jedes mal wenn meine Mum mich suchte saß ich bei dir
Wir wurden älter und ich lernte dich noch besser kennen
Erinner mich wie wir am kleinen Schlossplatz rum gesessen sind
Ich war 12 und Rollerskater
Cryptos, breite Achsen unter ollen Tretern
Fuhr mit 50 Sachen downhill und mich hats gebrettert
Hab meinen Arm geschreddert, fuhr erst wieder Wochen später
Über dich lern ich viele meiner besten Freunde kennen
Lachen über wie wir damals warn wenn wir uns heute sehen
Denn mit der Zeit ändert sich die Perspektive
Nur du bleibst meine Erste Liebe!

Refrain:
Schön dass du wieder da bist
Wir haben uns lang nicht mehr gesehen
(Zu lang baby, zu lang...)
Ich wusste, dass du eines Tages
Wieder vor meiner Türe stehst...

Max:
Nach der Schule ging ich für 3 Monate weg
Hab noch Andres entdeckt, lag wo anders im Bett
Hab zum ersten mal daran gedacht wir würden uns trennen
Als ich dich wieder sah wusst' ich: Es war nur für nen Moment
Klar ging ich wieder mal fremd, und sie, sie hat mir verziehen
Blieb bei ihr, cancelte meinen Ziviplatz in Berlin
Zwar war schon alles settled, nur ich wollt nicht wieder weg
Von meiner Süßen aus dem Süden mit dem Dialekt
Und sie hat das geschätzt, gab mir die glücklichste Zeit
Manchmal tut einem Leid das mans immer erst rückblickend weiß
Das ist der übliche Kreis, man schätzt nicht mehr was man hat
Bis man merkt was man hat kriegt man nicht mehr was man mag
Ich mag dein Anblick und dass du viele Sprachen sprichst
Lieb´s das du sowohl High-Class als auch Straße bist
Wenn´s nur um uns ging, LOVE ich wär geblieben
Denn du bleibst meine Erste Liebe!

Refrain:
Schön, dass du wieder da bist
Du warst so lange nicht mehr hier....
(Zu lang baby, zu lang...)
Ich wusste eines Tages
Kommst du zurück, nachhause zu mir

Max:
Ich zog 3 mal im Westen um, und zurück zu Mama
Dann in 2 Zimmer mit Terrasse mit dem Cash von Anna
Dann kam ne Queen aus Berlin, damn musst mich verlieben
Ehe ein halbes Jahr verging wurd sie von mir schwanger
Mein erster Sohn wurd geboren, es war eng für uns vier
Ich wär wirklich gern geblieben, türlich häng ich an dir
Dass wir beide uns mal trennen, woher konnt ich´s wissen
Nur ne Beziehung leben heisst auch dealen mit Kompromissen
Ich musste gehen und sie ist ein gebranntes Kind
Nur dass viele die gegangen sind, nicht verstehen können was ich an ihr find
Klar gabs auch ne Zeit da warn wir nicht mehr tight
Sie wollt mich kontrollieren in ihrem Wahn nach Sicherheit
Und ja sie fährt nen Benz, wirkt oft dekadent
Doch zeigt ein anderes Gesicht wenn man sie besser kennt
Egal was kommt ist doch klar das ich sie represent
Erste Liebe, im Herzen bleib ich Stuggi Resident, yeah!

Refrain:
Schön dass du wieder da bist
Wir haben uns lang nicht mehr gesehen
(Zu lang baby...)
Ich wusste, dass du eines Tages
(Stuttgart - meine erste Liebe!)
Wieder vor meiner Türe stehst...
(Es ist schön wieder hier zu sein!)
Schön dass du wieder da bist
(Stage City - ich hab dich vermisst!)
Du warst so lange nicht mehr hier
(Zu lang baby, zu lang...)
Ich wusste eines Tages
Kommst du zurück nach Haus zu mir...

So lange... So lange ist es her...
(Don Philippe - Freko - Tommy - ich hab' euch vermisst!Seko - Afrob! Was geht ab!? Was ey?)
Schön, dass du wieder da bist!
Schön, dass du... Schön, dass du wieder da bist!
(Represent, represent!)
Endlich bist du wieder hier bei mir
(Junge was!? Whoop whoop whoop!)";"https://genius.com/Max-herre-1ste-liebe-lyrics";"Released September 13, 2004
Label

    
      Four Music Productions
Featuring

    
      Laura López Castro
Producers

    
      Carsten Schedler, Don Philippe, Manumatei & 6 more
Writers

    
      Carsten Schedler, Chris Sholar, Dave Meyer & 14 more
Guitar

    
      Don Philippe
Label

    
      Four Music Productions"
"3";"Max Herre";"King Vom Prenzlauer Berg";"Max herre";"[Intro]
Neulich war ich mal wieder in Ost-Berlin
Ich lauf an so nem Café vorbei und seh nen Typen
Mit dem ich in Stuggi in der Schule war -
Inzwischen mutiert zum kompletten Berlin-Hipster
Und ich denk mir

Junge komm mal klar

Sitzt da mit seiner IT-Branchen-Posse
Und spricht über Projekte, die nie passiern!

Und in seinen Gedanken ist er der King vom Prenzlauer Berg

Er steht wirklich stereotypisch für die anthropologische Entwicklung dieser Region in den letzten Jahren!

[Verse 1]
Wir widmen uns heute einer sehr speziellen Spezies
Einem Phänomen, das wirklich prägend für die Gegend ist
Einzigartig in Verhalten und Vermehrung
Gemeint der ""homo grafikus"" ostberliner Prägung
Das Männchen: Fructis-Wetlook unter Truckercappy
Sein random-twisted-denim sitzt eher wie eine Leggins
An seinen Füßen in HongKong mundgeblasene Nike Dunks
Diese Reagenzglaskreuzung nennt sich Designer-Punks
Doch keine Angst vor diesen friedliebenden Zeitgenossen
Schenken sie ihnen Aufmerksamkeit, dann ist schnell das Eis gebrochen
Sie hören sich gerne reden, sind Meister der Verpackung
Hier ein ganz besonders prächtiges Exemplar dieser Gattung
Theo, 30, seit zwei Jahren hier im Prenzl' Berg
Sein metamorphotisches Talent ist echt bemerkenswert
Früher ist er geskated, war ein ""straight edge""
Heute ist er n Basehead, depri, wenn er nicht mindestens drei E's leckt
Er ging vom Pop zum Mod, vom Punk zum Hipster
Ging von Sacks zu Docs, zu Dunks und Bape-Stars
Und wie sein Schuhwerk, wechselt er die Gesinnung
Und ändern sich die Bedingungen, enden sämtliche Bindungen

Wie meinst'n das?

[Hook]
Junge komm mal klar

Und in seinen Gedanken, ist er der King vom Prenzlauer Berg

Ich war schon fast vorbei am Café
Und da entdeckt er mich und winkt mich zu sich her
Und - nee jetzt, oder?
Und in seinen Gedanken...
Junge komm mal klar

[Verse 2]
Er schrie meinen Namen, dass es ja auch die Runde macht
Schlug auf mein Schulterblatt
Dass ich meinen Arm fast ausgekugelt hab
Lud mich ein auf einen Milchkaffee
Weihte mich ein, in die Pläne seiner Ich-AG
Z.B. macht er einen Fotoband, würd dafür gern auch mich gewinnen
So'n ""Studio-54""-Style à la Terry Richardson
Zudem macht er jetzt Sound, sein Projekt nennt sich Elektrosmog
Deejayed in ner Lounge, sein Spezialgebiet ist Retro-Rock
Das Weibchen, das daneben hockt, sein Schatzi aus der Eiffel
Ne schicke Mitte-Schnitte im Achtziger-Revival
Sie designt Klamotten in ihrem Atelier, was das wohl heißt?
Sie zerschnibbelt Shirts von H&M, neudeutsch: sie customized
Ist eh das halbe Jahr verreist, zuletzt war sie in Tibet
Hat sich in Lama, im Yongkong-Tempel eingemietet
Er war in London und kommt eigentlich grad von Tegel
Er plannt ein Plattenlabel, musste da was mit seinen Partnern regeln
Außerdem schreibt er für ein Life-Style Magazin
Und er stellt bald aus in seiner kleinen Galerie
Und er kommt daher wie seine eigene Parodie
Man kann bei weitem viel bezweifeln, nur nicht seine Phantasie

[Hook]
So viel geht bei dir? Und international auch, irgendwie? Ist ja geil!
Es geht remix-mässig grad voll durch die Decke euer Projekt? Wow!

Junge komm mal klar

Ne, welchen Kameramann soll ich kennen? Nee, kenn ich nicht!

Und in seinen Gedanken, ist er der King vom Prenzlauer Berg

Du hast auch so nen Schlüssel jetzt zu so ner Privat Lounge in Mitte?

Und in seinen Gedanken...
Junge komm mal klar

Wow, sind das echt Supreme Dunks, die du da trägst?

Ist ja gut jetzt...

Sag mal ist das ein 17""-Powerbook hier? Wie du kriegst die billiger?
Ey, ist ja der Hammer!

Ist ja gut jetzt... Ist er der King vom Prenzlauer Berg

Nee, aber du kannst mir auf jeden Fall mal deine Nummer geben so, dann meld ich mich bei dir wegen deinem Drehbuch und so weiter, ist ja klar!

Junge komm mal klar
Der King vom Prenzlauer Berg";"https://genius.com/Max-herre-king-vom-prenzlauer-berg-lyrics";"Released September 13, 2004
Label

    
      Four Music Productions
Featuring

    
      Laura López Castro
Producers

    
      Carsten Schedler, Don Philippe, Manumatei & 6 more
Writers

    
      Carsten Schedler, Chris Sholar, Dave Meyer & 14 more
Guitar

    
      Don Philippe
Label

    
      Four Music Productions"
"4";"Max Herre";"Playground";"Max herre";"Yeah!

Step' in 'n Club - V.I.P. Da steht diese Beauty mir vis-à-vis
Tanktop, High Heals und Levis-Jeans, könnt original für Dior laufen in Paris
Sie sieht mich an, es ist mehr als Sympathie, will mich um den Finger wickeln und sie weiß wie
Kann es sein, dass Du auf Viva liefst? Dein Video ist süß, sagt sie naiv
Nimmt meine Hand, sie will tanzen, sagt, sie spielen mein Lied. Baby hat Rhythmus wie Sheila E
Ihr Body am bangen - boom - Dynamit. Sie wiggelt ihren Bumper wie Beyoncé
Ey, ich kenn' nicht mal Deinen Namen wie bei Alicia Keys. Sie meint, dass sie von hinten wie von vorn AzizA hieß
Höchstens siebzehn, würd' mitgehen, damn, sie war sweet. Doch ich tu' lieber das Richtige wie Spike Lee

You look like you spent quite some time putting your face on
I know you came out to playground, to play, to play, to play

Unglaublich, wie die Kleine sexy war. One in a mill' gibt's so'n Exemplar
Die Art, wie sie moved, unverwechselbar. Sie zeigt, was Gott ihr gab, uh, wie recht sie hat
Ich denk': Relax' Dich, Max, komm', check' die Bar! Hol' mir 'n Drink, dreh' mich um, da steht sie plötzlich da
Bestellt sich einen Sekt und ext ihr Glas. Ich könnt' schwören, dass die Kleine gerad' mal sechzehn war
Sprech' sie an: Wow, Dir ist ja mächtig warm. Ey Shorty, mach' 'ne Pause, komm', setz' Dich, ja!
Doch jetzt sieht sie durch mich durch wie durch Plexiglas. Was soll die Skepsis, hast Du gedacht, Du schleppst mich ab?
Nur wenn das Licht angeht, wird wohl dem Letzten klar. Es ist Push up, Make up, Haarfestiger
Für Abenteuer ist noch Zeit, übernächstes Jahr. Ich kam mir vor wie ihr Erziehungsberechtigter

You look like you spent quite some time putting your face on
I know you came out to playground, to play, to play, to play
You look like you spent quite some time putting your face on
I know you came out to playground, to play, to play, to play

Dieses kleine Lied geht an alle Chicks: Nächstes Mal, wenn Du mal wieder auf 'ner Party bist
Sei Dir im Klaren, was Du 'nem Typen für Signale gibst. Er denkt schnell mal, dass Du mit ihm in die Falle hüpfst
Und ich sag' das nicht zu unserer Verteidigung, denn der Song geht auch raus an meine Jungs:
Teenagers abchecken ist doch keine Kunst. Und wir machen auf Players und feiern uns

Doch ich lieb' Frauen, die wissen, was sie mögen
Ey kleines Mädchen, Erotik kommt nicht von erröten
Ich lieb's, wie Deine Lippen vom Lipgloss glänzen
Ey scheißegal, ich will Deinen G-String zupfen wie George Benson
So sieht's aus!

You look like you spent quite some time putting your face on
I know you came out to playground, to play, to play, to play
You look like you spent quite some time putting your face on
I know you came out to playground, to play, to play, to play

Uh Baby! Bring' mich nicht in Verlegenheit, Baby!
Du siehst sweet aus!

You look like you spent quite some time putting your face on
I know you came out to playground, to play, to play, to play
...
You look like you spent quite some time putting your face on
I know you came out to playground, to play, to play, to play";"https://genius.com/Max-herre-playground-lyrics";"Released September 13, 2004
Label

    
      Four Music Productions
Featuring

    
      Laura López Castro
Producers

    
      Carsten Schedler, Don Philippe, Manumatei & 6 more
Writers

    
      Carsten Schedler, Chris Sholar, Dave Meyer & 14 more
Guitar

    
      Don Philippe
Label

    
      Four Music Productions"
"5";"Max Herre";"Jerusalem";"Max herre";"[Intro]
Lichijoth bejachat beshalom
Shalom im Jerushalaijm
Lichijoth bejachet beshalom bair
Shalom alhoalam
Es stehen zwei Häuser auf dem Berge Zion
Sie nennen sich Hamigdash un Al-Aqsa
Und dort im Tal entspringt die Quelle Gihon
(Ai umm el-Daraj)
Und sie spendet beiden Häusern Wasser
Doch sie schänden und sie plündern und sie beten Dann die an der Westwand, die gen Ost gewandt, nur
Wie kann nach was, das Gott gehört ein Mensch Verlangen, ein Mensch verlangen

[Refrain:]
Je-Jerusalem, ir shalom
Je-mein Jerusalem,baldat ol shalim
El ham Du-lila
Halleluja
Viele Pilger kamen zum Berge Moria
Die einen preisen ihn Haram esh-sharif
Die Anderen kamen von weit in der Aliya
Gemeinsam waren sie ins Gebet vertieft
Doch sie wollten ihn nicht teilen und sie teilten Die Stadt, die an der Westwand, die gen Ost gewandt
Nur sie zerstören Gotteswerk durch Menschenhand
Menschenhand
Je-Jerusalem, baldat ol shalim
Je-mein Jerusalem, yakirati

[Intro]

[Refrain]

Halleluja
El ham Du-lila
Salam alaikum Palästina
Shalom alechem Israel
Tabur ha Olam
Ir shalom
Jerusalem";"https://genius.com/Max-herre-jerusalem-lyrics";"Released September 13, 2004
Label

    
      Four Music Productions
Featuring

    
      Laura López Castro
Producers

    
      Carsten Schedler, Don Philippe, Manumatei & 6 more
Writers

    
      Carsten Schedler, Chris Sholar, Dave Meyer & 14 more
Guitar

    
      Don Philippe
Label

    
      Four Music Productions"
"6";"Max Herre";"Sei Tu";"Max herre";"Ey bella
Ci hai mai pensato come mai sono le cose semplice che non ci riusciamo a dirci facilmente
Tranquilla, cara, Maximillian e Silly Walks
Sei l´unica per me, l´unica per me, uh, Baby
Refrain
Sei tu, sei tu, sei tu-il mio grande amore,Baby
Per te, per te, per te-lascio perdere me
Se vedo te sparisce tutto il mio dolore
Senti che ne dici se ti chiamo girasole
Mi fai viaggare in un mondo d´amore
Anche nei guai non mi lasci mai da solo
Io sono fedele
Spero che ti fidi di me
E quasta vita mia la vivo per te, ey

Refrain
So´fortunato perché tu mi capisci
Sei la mia sposa e la madre dei miei figli
Mi dai ´na mano quando sai che c`e bisogno
Sei un girasole che fiorisce ogni giorno
Ti guiro amore
Sono un uomo fedele
E questa vita mia la vivo per te, ey

Refrain

Bridge
Lo so che tu non sei l´unico fiore nel mondo
Ma la tua anima viene d´un mondo diverso
Mi trasformi con la tua sensibilità
Sei la mia principessa, il mio unico portafortuna, credimi bella
Refrain
No Sé Studio, 2004
Love, Love, Love, Love
Cara mia, ti amo, ey, ey";"https://genius.com/Max-herre-sei-tu-lyrics";"Released September 13, 2004
Label

    
      Four Music Productions
Featuring

    
      Laura López Castro
Producers

    
      Carsten Schedler, Don Philippe, Manumatei & 6 more
Writers

    
      Carsten Schedler, Chris Sholar, Dave Meyer & 14 more
Guitar

    
      Don Philippe
Label

    
      Four Music Productions"
"7";"Max Herre";"Wie Du Bist";"Max herre";"Wie du bist, du weißt ich lieb dich so
Wie du bist, Love du weißt genau, ich lieb dich so
Wie du bist, wie du bist
Komm dreh dich her zu mir, vielleicht war ich grad nicht fair zu dir
Es tut mir leid, wenn ich manchmal zickig bin
Du weißt genau, ich geh mit dir durch dick und dünn
Bitte lass uns nicht streiten Boo
Denn du weißt, es setzt uns beiden zu
Und Eifersucht, es gibt keinen Grund dafür
Du zämst den kleinen Schweinehund in mir
Ich würd mein letztes Hemd für dich geben
Wir sind nun beide solche Dickschädel
Und für Liebe gibt es keine Garantie
Doch glaub mir so sicher wie mit dir war ich mir nie
Und wenn du mich frägst, wie lang es geht, ich denk für immer
Love ich wünsch mir mit dir Enkelkinder
Und was das Fundament unserer Beziehung ist:
Ich lieb dich so wie du bist
Wie du bist, du weißt ich lieb dich so
So wie du bist, Love du weißt ich lieb dich so
Wie du bist, so wie du bist
Bitte sieh mich nicht so streng an, glaub mir, ich will dich nicht verändern
Du weißt es eh, es gibt keine außer dir, also komm nimm die Falten aus der Stirn
Wir haben momentan ne schwere Zeit
Ich zieh mein Ding durch, für uns ist das entbehrungsreich
Umso mehr weiß ich zu schätzen, wie du zu mir hältst
Jetzt wo ich unterwegs bin, weißt du, wie du mir fehlst?
Ich denk jeden Tag, dass es richtig war, weil im Fame, es gibt Dinge, die sind wichtiger
Natürlich wünsch ich mir Erfolg, is doch klar
Doch mit wem soll ich das teilen, wenn ich dich nicht hab?
Also wenn ich und die Jungs jetzt representen, keine Sorge, jede weiß, ich bin in festen Händen
Deshalb schreib ich dieses Lied für dich, denn ich lieb nur dich
Und zwar wie du bist
Wie du bist, du weißt ich lieb dich so
So wie du bist, Love du weißt ich lieb dich so
Wie du bist, so wie du bist
Das ist das erste Mal, dass ich nicht auf gepackten Koffern hock
Seid ich dich hab, wird jede Battle-Rap zum Lovers-Rock
Komm wir machen uns zum Lockenkopf
Du weißt, insgeheim hoff ich noch
Denn Babylove, du redefinierst mein Frauenbild
Ich hab ne Frau, die n Freund und n Homegirl
Und auch wenns durch ist, du bist meine Soul-Sista
Wärn dann noch die Dinge, die ich dir lieber ins Ohr flüster
Wie Du bist! Du weisst, ich lieb' Dich so
Wie Du bist! So wie Du bist, mein Baby
Du wie Du bist! Du weisst, ich lieb' Dich so
Wie Du bist! So, wie Du bist!
Yeah, yeah! Ah!
Wie Du bist, wenn Du bist, wer Du bist!
Songtexte Du weisst, ich lieb' Dich so
Wie Du bist, wenn Du bist, wer Du bist!
Wie Du bist! Du weisst, ich lieb' Dich so
Wie Du bist! So wie Du bist, mein Baby
Lyrics wie Du bist! Du weißt, ich lieb' Dich so
Wie Du bist! So, wie Du bist!
Yeah, lass' 'n bischen bouncen!
Komm', dreh' die Anlage 'n bischen lauter!
Liedertexte Yeah!";"https://genius.com/Max-herre-wie-du-bist-lyrics";"Released September 13, 2004
Label

    
      Four Music Productions
Featuring

    
      Laura López Castro
Producers

    
      Carsten Schedler, Don Philippe, Manumatei & 6 more
Writers

    
      Carsten Schedler, Chris Sholar, Dave Meyer & 14 more
Guitar

    
      Don Philippe
Label

    
      Four Music Productions"
"8";"Max Herre";"Zu Elektrisch";"Max herre";"Hu hu hu
Max Herre ich bin es wirklich (ha ha haaa)
Ich fühl mich gut fühl mich wieder wie 19
Young blood - huu

Die ganzen Haters wollen kein' Stress
Sie kommen nicht klar ob wie ich flash
Und alle Babys wollen nur Max
Mein Shit ist zu elektrisch

Macht platz für den Soloist egal wo du bist
Ob es der Club der Job oder die Wohnung ist
Vergiss die Fernbedienung es gibt nichts skippen
Pack dein Booklet aus lies von meinen Lippen!
Lies die Credits: M. Herre
Texte Musik: Executes
Tracks exclusive (that's the lose is)
Weil mir für euch nur das Beste gut genug ist
Und der Rest der Crew schreibt an Verse eins
Step eins Afrob gib Kim mal nen Preis
Step zwei: B Kerner im Talk mit Joy
Step drei: Gerd Bergmann im Talk mit Joy
Step vier: Sekou und Gissi diskutieren
FK (Allstars) - wenn wir die Hits Kopiern'
Fuck the broken shit
Ich sitz im Studio von DON PHILIPP
Bau mit Tommy Beats ne Stunde noch dann komm'n die Kids
A ist von B der Produzent und Artist jetzt
Gibts für Verträge keinen Prozent-Punkt gratis denn
Es bleibt 'nen Sparkurs auch wenn du large bist
Gibst dein Herz und hast am Ende gar nichts
Doch ich tu's für die Kunst tu's für die meinen
Tu's für die Jungs dicht sein Soul-Guerrillero

Die ganzen Hater wollen kein' Stress
Kommen nicht klar ob wie ich flash
Und alle Babys lieben Max
Mein Shit ist zu elektrisch

Das ist mein Comeback-Album mein Conzept-Album
Mein ""fit-in-markts-beats"" Komplex-Album
Was ist aus Rap geword'n
Wenn wir die Scheiße noch hör'n
Ich schreib fünf Jahre nix und mich hat keiner geburnt
Ihr schreibt fünf mal ""Bitch""
Und meint ihr seit jetzt modern
Habt geschimpft auf mich und jetzt Zeit das zu klär'n
Also was ist?
Nennt mich Max Frisch
Also sing ich wieder
Und Hater kriegen 'nen Bagschich
Und Junge was dann?
Nenn mich Max Plank mehr Signs ich rapp
Studio bock man!
Hey Junge was geht 'n?
Nenn mich Max Schmelling
Du Rotznase bist zu steif für mein Box-Training
Wie du machst Ernst?
Nenn mich Max Ernst!
You speak Dada - das du was lernst das wär's!
Hol mir mein' Rap zurück hol mir mein' Fame zurück
Weil euch der Schuh nicht passt
Nicht weil's mir fehlt zum Glück
Nun spielt die Welt verrückt
Und hier geht chici Raps
Ich hip-hop chicimici Zicken rum
Unser Hippies Depp
Du gibst dich jeden Tag auf Dirty-Talk
Du hörst Hip-Hop ich hör nur Rock
Und burn dich doch Wenn nicht mal nen MC zu Rap-Muse kommt
Es ist auch nicht homogen meine Raps schwul zu kloppen
Wenn man da zu sicher ist
Es rockt wieder - hey der Bär
Max Herre gib mir nen Echo für mein Lebenswerk

Die ganzen Hater wollen kein' Stress
Kommen nicht klar ob wie ich flash
Und alle Babys lieben Mex
Mein Shit ist zu elektrisch

Die ganzen Hater wollen kein' Stress
Kommen nicht klar ob wie ich flash
Und alle Ladies lieben Mex
Mein Shit ist zu elektrisch

Ihr Player macht auf Diggiback
Scheiß auf euer bisschen Cash
Euer Ding ist nicht mal echt
Ich find euch super ""dreckich""

Die ganzen Hater wollen kein' Stress
Kommen nicht klar ob was ich flash
Und alle Ladies lieben Max
Yeah always deep and down";"https://genius.com/Max-herre-zu-elektrisch-lyrics";"Released September 13, 2004
Label

    
      Four Music Productions
Featuring

    
      Laura López Castro
Producers

    
      Carsten Schedler, Don Philippe, Manumatei & 6 more
Writers

    
      Carsten Schedler, Chris Sholar, Dave Meyer & 14 more
Guitar

    
      Don Philippe
Label

    
      Four Music Productions"
"9";"Max Herre";"Du Weisst (Bye Bye Baby)";"Max herre";"Du weisst, Du weisst
Wenn ich dich seh dann geht´s mir schlecht
Sag warum bleibst du dann nicht weg -
Bitte baby sags mir
Du weisst, du weisst
Das ich jetzt ein neues Leben hab
Warum meldest du dich jeden Tag
Bridge
Ich hab dich so gebeten um eine letze chance
Du wolltest mich nicht länger
Warum lässt du jetzt nicht los?
Findest du denn nicht, Schätzchen, dass es ironisch ist
Doch du konntest nicht mit mir sein und kannst nicht ohne mich
Refrain:
Und wenn ich dich jetzt seh, Babe
Ist es vorbei
Und ich sag nur, Bye Bye Baby
Ja, wenn ich dich so seh, Babe
Ist es vorbei
Ich sag´s dir noch mal, Bye Bye Baby
Du weißt, du weißt
Wir haben uns eigentlich nur bekriegt
Plötzlich machst du wieder auf verliebt
(und das versteh ich nicht)
Du weißt, Du weißt
Dass ich jetzt ne andere Frau hab
Denkst du, dass ich ewig um dich trauer
Hätte was-weiß-ich getan, um dich noch umzustimmen
Also mein Schatz, hör bitte auf, die Dinge umzudrehen
Bridge
Und wenn ich dich jetzt seh, Babe
Ist es vorbei
Und ich sag nur, Bye Bye Baby
Ja, wenn ich dich so seh, Babe
Ist es vorbei
Ich sag´s dir noch mal, Bye Bye Baby";"https://genius.com/Max-herre-du-weisst-bye-bye-baby-lyrics";"Released September 13, 2004
Label

    
      Four Music Productions
Featuring

    
      Laura López Castro
Producers

    
      Carsten Schedler, Don Philippe, Manumatei & 6 more
Writers

    
      Carsten Schedler, Chris Sholar, Dave Meyer & 14 more
Guitar

    
      Don Philippe
Label

    
      Four Music Productions"
"10";"Max Herre";"Alter Weg";"Max herre";"Ich geh den alten Weg
Ein Tag strahlt
Als wär die Welt für mich gemalt
Ich geh den alten Weg
Mein Herz schlägt
So hoch, als wär's das erste mal
Das glück liegt auf den wiesen dieses parks im mai
Hier lagen wir und ließen all die zeit Zeit sein
Es tut so gut, hier lang zu kommen im mai
Hier entlang des alten wegs
Ich geh den alten weg
Ein tag strahlt
Als wär die welt für uns gemalt
Ich werd dich heut noch sehen
Mein herz schlägt
So laut, dass du's hören kannst
Hier entlang vom alten weg";"https://genius.com/Max-herre-alter-weg-lyrics";"Released September 13, 2004
Label

    
      Four Music Productions
Featuring

    
      Laura López Castro
Producers

    
      Carsten Schedler, Don Philippe, Manumatei & 6 more
Writers

    
      Carsten Schedler, Chris Sholar, Dave Meyer & 14 more
Guitar

    
      Don Philippe
Label

    
      Four Music Productions"
