"";"artist";"title";"album";"text";"url";"metadata"
"1";"OK KID";"Lügenhits";"Sensation";"[Intro]
Dieser Weg wird kein leichter sein
Doch er wird schwerer werden, wenn du an ihn glaubst
Wo ist der Stern, der deinen Namen trägt
Wenn du traurig in den Abendhimmel schaust?

[Verse 1]
Wunder gibt es immer wieder,Wunder gibt es leider nie für dich
Was ist bloß mit diesen Liedern, wo jemand auch mal hält, was er verspricht?
Du hast ihnen alles gegeben, ihnen Liebe geschwor'n
Für ein bisschen Körperwärme vor dem Backstage gefror'n
Ihre Zeilen tätowiert, jetzt bist du pleite vom Merch
Tut mir leid, ich muss leider dein Weltbild zerstör'n

[Pre-Chorus]
Wo ist Helene, wenn du sie gerade brauchst?
Sag's mir, sag's jetzt
Seh' ich da 'ne Träne, wenn du in den Spiegel schaust?
Sag's mir, was jetzt?
Wo ist Helene, wenn du sie gerade brauchst?
Wo ist das Kribbeln im Bauch, das man nie mehr vergisst?
Deine Moleküle tanzennie mehr für dich

[Chorus]
Das sind doch alles nur noch Lügenhits (Lügenhits)Deutsche Musik – nur noch Lügenhits (Lügenhits)Sei nicht naiv, sie belügen dich (–lügen dich)Lügenhits (Lügenhits)

[Verse 2]
So geh'n die Deutschen, ein deutscher Song geht so
Ja, ich habe das gelernt, ja, auch ich bin Fachidiot
Das ist Limbo mit Niveau,ja, wir sind die KidsWir könn'n nur gut lügen, nein, wir können keine Hits
Das ist alles nur geklaut, die Prinzen hatten Recht
Musik liegt in der Luft, wo ist Dieter Thomas Heck?
Lila Wolken nie geseh'n,die kennst du nur von Purple Haze
Auch die Ärzte könn' nicht helfen, Junge, alles nur noch Fake!

[Pre-Chorus]
Wo ist Helene, wenn du sie gerade brauchst?
Sag's mir, sag's jetzt
Seh' ich da 'ne Träne, wenn du in den Spiegel schaust?
Sag's mir, was jetzt?
Wo ist Helene, wenn du sie gerade brauchst?
Wo ist das Kribbeln im Bauch, das man nie mehr vergisst?
Deine Moleküle tanzennie mehr für dich

[Chorus]
Das sind doch alles nur noch Lügenhits (Lügenhits)Deutsche Musik – nur noch Lügenhits (Lügenhits)Sei nicht naiv, sie belügen dich (–lügen dich)Lügenhits (Lügenhits)

[Bridge]
Wo ist Helene, wenn du sie gerade brauchst?
Wo ist das Kribbeln im Bauch, das man nie mehr vergisst?
Deine Moleküle tanzen nie mehr für dich

[Chorus]
Das sind doch alles nur noch Lügenhits (Lügenhits)Deutsche Musik – nur noch Lügenhits (Lügenhits)Sei nicht naiv, sie belügen dich (–lügen dich)Lügenhits (Lügenhits)
Alles nur noch Lügenhits (Lügenhits)Deutsche Musik – nur noch Lügenhits (Lügenhits)Sei nicht naiv, sie belügen dich (–lügen dich)Lügenhits (Lügenhits)";"https://genius.com/Ok-kid-lugenhits-lyrics";"Released October 19, 2018
Producers

    
      OK KID & Tim Tautorat
Writers

    
      Jonas (OK Kid), Jonas Schubert, Manuel Binder & 2 more
Mastered by

    
      Robin Schmidt
Mixed By

    
      Peter Schmidt"
"2";"OK KID";"Hinterher";"Sensation";"[Intro]
""Was hat mich bloß so uriniert?"", hab ich gedacht
Als ich splitterfasernackt ein neues Bett bezogen hab
Und ich eigentlich nicht wollte, dass der Wecker noch ertönt
Während du neben mir liegst und meinen Angstschweiß trocken föhnst

Oh ja

[1. Strophe]
Heute wird ein wunderbarer Tag
Dachte du wärst aus der Tür, doch du bist da
Hätte nie gedacht, dass ich mal sowas sag
So viel Schmalz hab ich noch nie erzählt, egal
Du gibst mir einen Korb, ich leg mich rein
Vielleicht reicht die Körbchengröße ja für zwei
Vielleicht drück ich mich anders aus als ich es mein
Ja, du weißt

[Hook]
Hinterher weiß man immer
Hinterher weiß man immer
Hinterher weiß man immer hinterher
Hinterher weiß man immer hinterher
Hinterher weiß man immer
Hinterher weiß man immer
Hinterher will ich nicht wissen, wie es ohne dich gewesen wär

[2. Strophe]
Meine Kunst dich zu verletzten
Ist eigentlich nicht meine Art
Doch wie sollst du das verstehen
Wenn ich es immer wieder mach
Ja, ja, ich habe einen Sprachfehler
Ich verspreche dir zu viel
Wie schwer wiegt ein Wort, wenn man es hält?
Wie schwer wiegt ein Wort, das gerade fiel?

[Hook]
Hinterher weiß man immer
Hinterher weiß man immer
Hinterher weiß man immer hinterher
Hinterher weiß man immer hinterher
Hinterher weiß man immer
Hinterher weiß man immer
Hinterher will ich nicht wissen, wie es ohne dich gewesen wär

(Hinterher)
(Hinterher)
(Hinterher)
(Hinterher)

[Bridge]
Ich glaub, ich hab da was an dir verloren (Hinterher)
Das will ich nicht mehr zurück (Hinterher)
Das steht uns bei weitem besser (Hinterher)
Als dass es mich alleine schmückt

[Hook]
Hinterher weiß man immer
Hinterher weiß man immer
Hinterher weiß man immer hinterher
Hinterher weiß man immer hinterher
Hinterher weiß man immer
Hinterher weiß man immer
Hinterher will ich nicht wissen, wie es ohne dich gewesen wär

(Hinterher)
(Hinterher)
(Hinterher)";"https://genius.com/Ok-kid-hinterher-lyrics";"Released October 19, 2018
Producers

    
      OK KID & Tim Tautorat
Writers

    
      Jonas (OK Kid), Jonas Schubert, Manuel Binder & 2 more
Mastered by

    
      Robin Schmidt
Mixed By

    
      Peter Schmidt"
"3";"OK KID";"Ich und die Planierraupe";"Sensation";"[Part 1]
Gestern Nacht hab ich eine Planierraupe gefragt:
""Sag mal, wer ist schuld an deiner Existenz?""
Früher hatten die Pestpocken ihren Proberaum hier steh'n, jetzt wird es multifunktional für Coldplay-Fans
""Reg' dich nicht auf"", hat sie gesagt, ""der Investor hat gut bezahlt, ein Supermarkt und eine Kita sind doch schön
Schau mal hier am Führerhaus steht eine Nummer für dich drauf, wenn du Interesse hast würd' ich sie einfach wählen
Komm mal klar, junger Mann, wozu die falschen Ideale?
Denk doch mal an dich, ja, auch du kommst in die Jahre
Auch du willst für die Liebsten doch das Beste, ein Leben am Ende der Nahrungskette
Mach deine Schwiegereltern stolz auf dich
Entweder du stirbst oder du frisst einfach mit
Besser du steigst heute noch mit ein, auch du kannst eine Heuschrecke sein""

[Hook]
Heuschrecken können fliegen, Heuschrecken scheißen anderen ins Gesicht, Heuschrecken werden Menschen überleben
Entweder du stirbst, oder du frisst einfach mit
Tu's für dich, stirb oder friss einfach mit

[Part 2]
Gestern Nacht hat mich eine Planierraupe gefragt: ""Sag mal, wer ist Schuld an deiner Existenz?
Früher haben deine Jungs doch noch A-Cap-Shirts getragen
Jetzt Rollkragen auf Start-Up-Events""
""Reg dich doch nicht so auf"", hab ich gesagt, ""Der Investor hat gut bezahlt
Die Maisonette im vierten Stock wird sicher schön
Achja, mein Schwager expandiert, es wird gekauft, danach planiert
Wenn du Int'resse hast, würd' ich dich mal erwähnen
Mach mal 'ne Pause kleine Raupe, wozu falsche Ideale?
Denk doch mal an dich, ja, auch du verlierst schon Farbe
Auch du willst für die Liebsten doch das Beste, immer frisches Öl in deiner Kette
Mach' den Investor wieder stolz auf dich, entweder du stirbst oder du rollst einfach mit
Besser du steigst heute noch mit ein, auch du kannst eine Heuschrecke sein""

[Hook]
Heuschrecken können fliegen, Heuschrecken scheißen anderen ins Gesicht, Heuschrecken werden Menschen überleben
Entweder du stirbst, oder du frisst einfach mit
Tu's für dich, stirb oder friss einfach mit

[Hook]
Heuschrecken können fliegen, Heuschrecken scheißen anderen ins Gesicht, Heuschrecken werden Menschen überleben
Entweder du stirbst, oder du frisst einfach mit
Tu's für dich, stirb oder friss einfach mit";"https://genius.com/Ok-kid-ich-und-die-planierraupe-lyrics";"Released October 19, 2018
Producers

    
      OK KID & Tim Tautorat
Writers

    
      Jonas (OK Kid), Jonas Schubert, Manuel Binder & 2 more
Mastered by

    
      Robin Schmidt
Mixed By

    
      Peter Schmidt"
"4";"OK KID";"Heimatschänke";"Sensation";"[Part 1]
Du hast recht, ich seh' beschissen aus, bring’ mich nochmal in Schuss
Dass ich hier nicht mehr hingehöre, hab' ich nicht gewusst
Und hätt' ich es gewusst, wär’ ich trotzdem da
Geteiltes Leid macht offener, wenn du mich triffst, bist du auch ein Betroffener, ja
Nein, ich finde kein'n Absprung
Stille Wasser sind nicht tiefer als der eigene Abgrund
Mir kann nichts passier'n, ich trink' meins immer mit Gas
Luft nach oben für immer in meinem Wodka-Soda-Glas

[Hook]
So gestrahlt hab' ich noch nie
Niemand macht es so wie sie
Jeder Anfang nimmt kein Ende
In meiner Heimatschänke
Hier bring' ich mich ins Grab
Ja, hier zeug' ich meine Enkel
Ein ganz normaler Tag
In meiner Heimatschänke

[Part 2]
Der frühe Bauer ahnt den Sommerhit im März
Ein Vogel wie ich verkackt den Ohrwurm zuerst
Dann fass' ich mir ein Herz und bring’ mich nochmal in Schuss
Dass ich hier nicht mehr hingehör’, hab' ich diesmal gewusst
Aber trotzdem da wie Ingo, Ingo ist mein Brother
Morgens is’ er Lehrer, abends is' er voller
Hier red' ich wackes Englisch, hier hab' ich noch mein Game
Hier bin ich der hellste Stern auf der Wall of Shame

[Hook]
So gestrahlt hab’ ich noch nie
Niemand macht es so wie sie
Jeder Anfang nimmt kein Ende
In meiner Heimatschänke
Hier bring' ich mich ins Grab
Ja, hier zeug' ich meine Enkel
Ein ganz normaler Tag
In meiner Heimatschänke

[Part 3]
Meine Kauleiste tanzt Limbo, ich bring' mich nochmal in Schuss
Dass ich hier nicht mehr hingehöre, hab' ich nicht gewusst
Und hätt' ich es gewusst, bekäm' ich trotzdem nie genug
Anonyme Alkoholiker in offenem Vollzug
Verlorene Seel'n tanzen Striptease auf dem Tresen
Das muss Liebe sein,so nah bin ich noch nie jemand gewesen
Denke ich, während das Licht die letzten Träume zerstört
Weiß ich trotzdem, wo ich hingehör'

[Hook]
So gestrahlt hab' ich noch nie
Niemand macht es so wie sie
Jeder Anfang nimmt kein Ende
In meiner Heimatschänke
Hier bring' ich mich ins Grab
Ja, hier zeug' ich meine Enkel
Ein ganz normaler Tag
In meiner Heimatschänke";"https://genius.com/Ok-kid-heimatschanke-lyrics";"Released October 19, 2018
Producers

    
      OK KID & Tim Tautorat
Writers

    
      Jonas (OK Kid), Jonas Schubert, Manuel Binder & 2 more
Mastered by

    
      Robin Schmidt
Mixed By

    
      Peter Schmidt"
"5";"OK KID";"1996";"Sensation";"[Part 1]
Ich habe Ausschlag, ich bin komisch
Ich bin ätzend, du bist es nicht
Ich habe Fett in meinen Haar'n
Und ein'n Flaum von Männlichkeit in mei'm Gesicht
Das ist immerhin schon etwas
Damit kann ich dir imponier'n
Ich gehör' jetzt zu den Großen
Da kann ich's mal probier'n

[Pre-Hook 1]
Oder nicht? Ja, nein, vielleicht?
Ich schreib's dir auf, du schreibst zurück
Doch deine Freundin, die dumme Schlampe
Zerreißt einfach mein Glück
Dann eben wieder nich'
Dann eben wieder nich'

[Hook]
Du findest mich vor dem Hit in der Einkaufspassage
Da fühl' ich mich ungestört, da will ich dir was sagen
Komm bitte nicht zur Karstadt-Kante, wo die Jungs mich verarschen
Da wird es nichts mit uns, da würd' ich's niemals wagen

[Part 2]
Ich bin mutig, ich bin begehrt
Ich bin beliebt, ich bin es nicht
Ich habe Mitesser auf der Nase
Und ein'n Hauch von Fantasie, wenn du da sitzt
Ich bin immerhin schon dreizehn
Meine Freunde hab'n es alle getan
Ich bin nicht schuldig, ich will es werden
Diesen Sommer fang ich an

[Pre-Hook 2]
Hast du Lust? Ja, nein, vielleicht?
Ich schreib's dir auf, du schreibst zurück
Doch Stefan, der dumme Bastard
Schluckt einfach mein Glück
Dann eben wieder nich'
Dann eben wieder nich'

[Hook]
Du findest mich vor dem Hit in der Einkaufspassage
Da fühl' ich mich ungestört, da will ich dir was sagen
Komm bitte nicht zur Karstadt-Kante, wo die Jungs mich verarschen
Da wird es nichts mit uns, da würd' ich's niemals wagen";"https://genius.com/Ok-kid-1996-lyrics";"Released October 19, 2018
Producers

    
      OK KID & Tim Tautorat
Writers

    
      Jonas (OK Kid), Jonas Schubert, Manuel Binder & 2 more
Mastered by

    
      Robin Schmidt
Mixed By

    
      Peter Schmidt"
"6";"OK KID";"Wolke";"Sensation";"[Part]
Als ich erwachte - hatte ich ein Gefühl
Hab die halbe Nacht lang - meine Laken zerwühlt
Hörte den Hund draußen bell'n, Nackenhaare war'n aufrecht gestellt
Da war niemand zu sehen, war auf mich alleine gestellt
Da liegt was in der Luft - hörst du wie's summt?
Siehst du über dem Maisfeld - diesen milchigen Punkt?
Und während alle noch schliefen, sah ich zu wie er wuchs
Stand alleine im Garten, dann kamen die Nachbarn dazu
Der Punkt wird zur Wolke, Rauch oder Staub
Alle blicken gebannt - in dieses silbrige Grau
Siehst du das auch?
Siehst du das auch?
Da türmt sich was, hol mal die Kinder vom Spielplatz
Nein, das ist nicht lustig, sogar ein Blinder, der sieht das
Sie wird über uns herfallen, trau nicht dem Frieden
Das ist kein böses Blut, saurer Regen wird fließen
Sie bringt die Flut, komm mir nicht mit „Alles ist gut“, ich habe genug
Das ist mein Leben, mein Hab und Gut
Das ist rohe Gewalt, sie wird alles zerstör'n
Das Jauchzen der Tiere, die [?] sie naht, ich hab' sie gehört
Ich hab' sie gehört
Lass lieber raus aus der Stadt, hier ist es nicht sicher, mein Schatz
Sicher, dass wir alle draufgehen, seh' nur noch Spaß, wenn ich aufseh'
Jetzt ist es zu spät, jetzt ist es zu spät
Vater, unser im Himmel, bald werd' ich dich seh'n
Ist das schon die Stille der Toten?
Kann sie nicht mehr sehen da oben
Wie trügerisch kann - diese Sonne bloß scheinen?
War das wirklich schon alles? Wieso zieht sie vorbei?
War das wirklich schon alles? Wieso zieht sie vorbei?
Wahrscheinlich mehr Glück als Verstand
Sie wird zurückkomm' und dann
Gibt es kein Erbarmen
Sag nicht, ich hätt' euch nicht gewarnt
Seh' nur naiv-blaue Augen, die ins Gute darin glauben
Trau nur der Angst, der ich Folge, getarnt in der nächsten Wolke";"https://genius.com/Ok-kid-wolke-lyrics";"Released October 19, 2018
Producers

    
      OK KID & Tim Tautorat
Writers

    
      Jonas (OK Kid), Jonas Schubert, Manuel Binder & 2 more
Mastered by

    
      Robin Schmidt
Mixed By

    
      Peter Schmidt"
"7";"OK KID";"Sensation";"Sensation";"[Part 1]
Die Kinnlade küsst den Boden
Über sie zerreißt sich jeder den Mund
Sie bringt mich in Erregung
Wenn sie will, bekommt sie jeden von uns
Sie ist übertrieben, ja, sie treibt es so
Treibt meine niederen Instinkte hoch
Sie ist das Botox meiner Seele
Kristall in meinen Augen, wenn sie redet
Wenn man mich nicht hört, obwohl ich lauthals schrei'
Und nicht ertragen will, dass es noch ein'n Tag länger so bleibt
Und die Aufmerksamkeit einfach weiterzieht
Und ihr schon nicht mehr glaubt, dass es mich noch gibt

[Hook]
Dann mach' ich Sensation, Sensation
Sensation, Sensation
Sensation

[Part 2]
Ihre Zeil'n sind das Chili in ihr'n Augen
Ich kann dran reiben, doch so schnell geht sie nicht
Sie schreibt mit jedem Satz Geschichte
Schatten über den, der sie nie trifft
Komm ihr nicht mit Glauben oder Wissen
Sie wird einfach beides unter sich erdrücken
Schlachte sie aus, hol' alles raus, tu', was ich will
Sie hat alles, was mein Junk-Food-Herz erfüllt
Während ich wieder lauthals schrei'
Und ich Angst hab', sie zieht diesmal an mir vorbei
Wenn ich will, dass etwas von mir überlebt
Und meine Urenkel immer noch von mir erzähl'n

[Hook]
Dann mach' ich Sensation, Sensation
Sensation, Sensatio-o-o-o-o-o-o-o—
Sensation, Sensation
Sensation, Sensation
Sensation";"https://genius.com/Ok-kid-sensation-lyrics";"Released October 19, 2018
Producers

    
      OK KID & Tim Tautorat
Writers

    
      Jonas (OK Kid), Jonas Schubert, Manuel Binder & 2 more
Mastered by

    
      Robin Schmidt
Mixed By

    
      Peter Schmidt"
"8";"OK KID";"Pattaya";"Sensation";"[Part 1]
Ich glaub', dir hängt da was im Hals
Das Gefühl, als du grad schlucktest
Der Schenkel eines Frosches
Oder ein Haar in der Suppe
Jetzt stehst du da, ziemlich bedröppelt
Der Koch war nicht verliebt, jetzt wird allein im Bett gelöffelt
Oh, du hattest Pech, Marie
Sugar-Daddy ist auf Montage
Du hast den Goldesel gemolken
Jetzt stehst du da mit saurer Sahne
Ja, auch du kommst in die Jahre (du kommst in die Jahre)
Du kommst in die Jahre, du weißt
Warum er Kippen hol'n ging, oh ja
Und für immer auf Montage bleibt
Sonst aber alles nice
Der Stoff deines Auto, das Pulver ist immer noch weiß
Du gehst auf dem Zahnfleisch, doch Zähne sind immer noch weiß
Life is life
Da kommt schon wieder Hochmut nach dem Fall

[Hook 1]
Warum nicht nach Jamaika? Da sind sie nicer
Mehr in der Hose, die Schultern breiter
Hier kommt die Stimmung, jetzt geht es los (oi, oi, oi)
Wahre Liebe ist grenzenlos (jajajajajajajaja)

[Part 2]
Oh, du hattest Pech, Harry
Sugar-Baby ist auf Ibiza
Sie stand in High-Heels in der Kirche
Jetzt bleibt dir nur noch Tiefkühlpizza
Ja, auch du kommst in die Jahre (du kommst in die Jahre)
Du kommst in die Jahre, du weißt
Warum sie in den Kegelurlaub ging, ahh
Und für immer auf der Insel bleibt
Sonst aber alles tight
Er steht immer noch wie 'ne Eins, dein bestes Teil
Wie schön wär's, wenn's jemand gibt, der das dann irgendwann teilt mit dir
Life is life
Da kommt schon wieder Hochmut nach dem Fall

[Hook 2]
Warum nicht nach Pattaya? So wie damals
Süße Mädels, Ping-Pong an der Playa
Hier kommt die Stimmung, jetzt wird gedanct (oi, oi, oi)
Jeder Tag hat ein neues Happy-End (Massage, Massage, Massage)";"https://genius.com/Ok-kid-pattaya-lyrics";"Released October 19, 2018
Producers

    
      OK KID & Tim Tautorat
Writers

    
      Jonas (OK Kid), Jonas Schubert, Manuel Binder & 2 more
Mastered by

    
      Robin Schmidt
Mixed By

    
      Peter Schmidt"
"9";"OK KID";"Reparieren";"Sensation";"[Part 1]
Du kannst mich nageln, weiter bohr'n oder Tapeten wechseln
Jeden Quadratzentimeter neu vermessen
Den Presslufthammer direkt an die Halsschlagader setzen
Frische Dübel in die Nasenlöcher stecken
Ja, lass ruhig alles an mir aus
Steht uns das Wasser bis zum Hals, reichen zwei Lappen nicht mehr aus
Da hilft nur noch 'ne Flex, komm, schneid mich ab
Und ich schenk' dir ein paar Funken zum Abschied, wenn du's machst (yeah)

[Hook]
Da gibt es nichts zu reparier'n, gibt es nicht
Jede Schraube dreht schon ab, wenn sie mich trifft
Du kannst die Fassung gern verlier'n, ich werd's nich'
Bei mir läuft es wunderbar ohne dich
Da gibt es nichts zu reparier'n, gibt es nicht
Finger weg, frisch gestrichen, alles sitzt (alles sitzt)
Schau, die Maschine läuft auch ohne dich
Mit dir mach' ich nicht mehr neu, mach' ich nich'

[Part 2]
Du kannst mir die Stange halten oder sie zerbrechen
Jedes Wort auf die Wasserwaage setzen
Die alten Muster wieder neu zusammenflechten
Frischen Beton vor die Einschusslöcher pressen
Glaub mir, ich seh's nüchtern, mein Auge bleibt heut trocken
Gib dir den Absinth, nein, ich brauch' kein'n Wermutstropfen
Da hilft nur noch 'ne Flex, komm, schneid mich ab
Und ich schenk' dir ein paar Funken zum Abschied, wenn du's machst

[Hook]
Da gibt es nichts zu reparier'n, gibt es nicht (gibt es nicht)
Jede Schraube dreht schon ab, wenn sie mich trifft
Du kannst die Fassung gern verlier'n, ich werd's nich' (ich werd' es nicht)
Bei mir läuft es wunderbar ohne dich (ohne dich)
Da gibt es nichts zu reparier'n, gibt es nicht (gibt es nicht)
Finger weg, frisch gestrichen, alles sitzt (alles sitzt)
Schau, die Maschine läuft auch ohne dich (ohne dich)
Mit dir mach' ich nicht mehr neu, mach' ich nich' (mach' ich nich')

[Part 3]
Nein, nein, da lass' ich dich niemals mehr ran
Mich kannst du nicht verbiegen, leg die Zange aus der Hand
Und du sagst, „Was los, wir beide hab'n so viel erreicht
Du warst ganz oben auf meinem Podest
Doch schau, die Trophäe staubt ein“, vorbei
Dachten wir bau'n uns mal was Großes auf, du weißt
Wollten an den Wolken kratzen, hoch hinaus, vorbei
Da hält nichts fest, da wenn du weiterziehst
Ja, es wär' besser, wenn du weiterziehst

[Hook]
Da gibt es nichts zu reparier'n, gibt es nicht (gibt es nicht)
Jede Schraube dreht schon ab, wenn sie mich trifft (wenn sie mich trifft)
Du kannst die Fassung gern verlier'n, ich werd's nich' (ich werd' es nicht)
Bei mir läuft es wunderbar ohne dich (ohne dich)
Da gibt es nichts zu reparier'n, gibt es nicht (gibt es nicht)
Finger weg, frisch gestrichen, alles sitzt (alles sitzt)
Schau, die Maschine läuft auch ohne dich (ohne dich)
Mit dir mach' ich nicht mehr neu, mach' ich nich' (mach' ich nich')";"https://genius.com/Ok-kid-reparieren-lyrics";"Released October 19, 2018
Producers

    
      OK KID & Tim Tautorat
Writers

    
      Jonas (OK Kid), Jonas Schubert, Manuel Binder & 2 more
Mastered by

    
      Robin Schmidt
Mixed By

    
      Peter Schmidt"
"10";"OK KID";"Warten auf den starken Mann";"Sensation";"[Part 1]
Vielleicht denkt hier auch jemand mal an mich
Das Dorf, in dem ich wohne, ist zwar malerischDoch nicht, wenn man die Farben mischt
Sowas wird man wohl doch nochmal sagen dürfen
Ich fürchte michDass ein Minarett bald höher als die Kirche ist
Du hast mir doch gesagt, zu was das führt
Heute noch im Fernsehen, morgen schon vor meiner Tür
Ich bin nicht die hellste Kerze auf dem Baum, doch hab erkannt
Meine weichen Knie brauchen eine harte Hand
Hier spiel'n die Kinder immer noch ""Angst vor dem schwarzen Mann""
Meine Angst hat schwarz-rot-goldene Farben an
Ich steh' stramm für dich, steh mein' Mann für dichIrgendwann stell ich die Lügner an die Wand für dichWarten auf den starken Mann, ich liefer' mich aus
Du lässt meinen Sorgen freien Lauf

[Hook]
Gib mir bitte ein Gefühl, jaGib mir bitte ein Gefühl, jaGib mir einfach irgendeinsAuch wenn du mich belügstGlaub ich dir jedes Wort, denn du hast meinsGib mir bitte ein Gefühl, jaGib mir einfach irgendeinsNur nicht das Gefühl (nein, nein, nein)Ein Verlierer zu sein

[Part 2]
Wie schön, du hast uns etwas mitgebracht
Hass, Hass, hast du extra schön verpackt
Endlich hab ich auch mal was, endlich auch mal stark
Du fackelst nicht lang, du fackelst nur ab!
Raus auf die Straße, Junge, heute wird gekehrtEiner muss ja dafür sorgen, dass sich Unkraut nicht vermehrt
Ich glaube nur noch, was ich fühle
Meine Gewalt ist nur ein stummer Schrei nach Hieben!
Es fing an mit Montagsdemo, dann kam Petry, danach HeilHeil, das hab ich nie gesagt, nein, das redet ihr euch ein!
Warten auf den starken Mann, ich liefer mich aus
Du lässt meinen Sorgen freien Lauf

[Hook]
Gib mir bitte ein Gefühl, jaGib mir bitte ein Gefühl, jaGib mir einfach irgendeinsAuch wenn du mich belügstGlaub ich dir jedes Wort, denn du hast meinsGib mir bitte ein Gefühl, jaGib mir einfach irgendeinsNur nicht das Gefühl (nein, nein, nein)Ein Verlierer zu sein

[Outro]
Ich bin keinIch bin kein VerliererNein, ich bin kein Verlierer (nein, nein)Nein, ich bin kein Verlierer (nein)Nein, ich bin kein Verlierer (nein, nein, nein)Ich bin kein Verlierer, nein, nein (nein)Ich bin kein Verlierer, nein, neinIch bin kein Verlierer, nein, neinIch bin kein Verlierer, ich bin deinIch bin kein Verlierer, ich bin deinIch bin kein Verlierer, ich bin deinNein, ich bin kein Verlierer, ich bin deinNein, ich bin kein Verlierer, ich bin deinNein, ich bin kein Verlierer, ich bin deinNein, ich bin kein Verlierer, ich bin deinNein, ich bin kein Verlierer, ich bin deinNein, ich bin kein Verlierer, nein, nein";"https://genius.com/Ok-kid-warten-auf-den-starken-mann-lyrics";"Released October 19, 2018
Producers

    
      OK KID & Tim Tautorat
Writers

    
      Jonas (OK Kid), Jonas Schubert, Manuel Binder & 2 more
Mastered by

    
      Robin Schmidt
Mixed By

    
      Peter Schmidt"
