"";"artist";"title";"album";"text";"url";"metadata"
"1";"OK KID";"Blüte dieser Zeit";"Zwei";"[Songtext zu „Blüte dieser Zeit“]

[Part 1]
Alles fing an als wir 16 war'n
Lang bevor der 16-Tage-Bart in Mode war
Unsre ersten 16 Bars
Dieser Junge war nicht Tocotronic
Digital ist niemals besser als die Chronic (Niemals)Nicht gewusst wovon man redet, trotzdem Recht gehabt (Yeah, yeah, yeah)
Zieh'n, als gäb's kein Morgen mehr, der Nebel über'm Erdgeschoss lag
Uns egal, was dergroße Teichbringt, lieber in Pfützen baden
Als an der Oberfläche treibend nach Luft schnappen
Keine Moral in der Geschichte, außer, dass wir darauf Lust hatten
Wahrscheinlich nicht so schlau wie ihr
Schillers Faustnie gelesen,Larry-Clark-Filme zitiert
Streu'n auf, atmen ein
Teil'n das, was betrunkene Kinder so teil'n
Vielleicht das schönste, das uns bleibt
Brüder in Gedanken mit derBlüte dieser Zeit

[Hook]
Wir gießen Öl in das Feuer, streuen auf, atmen einZieh'n die Sache durch bis nichts mehr übrig bleibt
Und sie brennt immer noch, schau, sie brennt immer nochSie brennt immer noch, die Blüte dieser Zeit
Wir gießen Öl in das Feuer, streuen auf, atmen ein
Zieh'n die Sache durch bis nichts mehr übrig bleibt
Und sie brennt immer noch, schau, sie brennt immer noch
Sie brennt immer noch, die Blüte dieser Zeit

[Part 2]
Das ist kein Hoch auf uns, lieber unten mit den Jungs
Unter uns gesagt, jedes Jahr unser Jahr
Jeden Tag,damals nur Statisten, doch wir spielten sie lautUnsre Rolle names Hip-Hop inside out
Wickelten sie auf, wollten mehr,hörten ODB auf Tape
Danach rollten wir es roh in die OCB Papers
Unser Leben nicht viel mehr als Schall und Rauch
Doch den bestenTipdes Lebens selbst gebaut
Zogen ein, zogen aus, wohin wussten wir nicht
Doch unter'm Strich ging es auf, auch wenn es nur ein Bruchteil ist, von dem, was wir dachten, was bis heute bleibt
Brüder in Gedanken mit der Blüte dieser Zeit

[Hook]
Wir gießen Öl in das Feuer, streuen auf, atmen einZieh'n die Sache durch bis nichts mehr übrig bleibt
Und sie brennt immer noch, schau, sie brennt immer nochSie brennt immer noch, die Blüte dieser Zeit
Wir gießen Öl in das Feuer, streuen auf, atmen ein
Lass die Funken sprüh'n bis nichts mehr übrig bleibt
Und sie brennt immer noch, schau, sie brennt immer noch
Sie brennt immer noch, die Blüte dieser Zeit
Wir gießen Öl in das Feuer, streuen auf, atmen einZieh'n die Sache durch bis nichts mehr übrig bleibt
Und sie brennt immer noch, schau, sie brennt immer nochSie brennt immer noch, die Blüte dieser Zeit
Wir gießen Öl in das Feuer, streuen auf, atmen ein
Lass die Funken sprüh'n bis nichts mehr übrig bleibt
Und sie brennt immer noch, schau, sie brennt immer noch
Schau, sie brennt immer noch, die Blüte dieser Zeit";"https://genius.com/Ok-kid-blute-dieser-zeit-lyrics";"Released 2016
Distribution

    
      Sony Music Entertainment
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Label

    
      Four Music Productions
Featuring

    
      Frank Spilker & Megaloh
Producers

    
      OK KID, Splash! Mag & Sven Ludwig
Writers

    
      Jonas Schubert, Moritz Rech, OK KID & 2 more
Copyright ©

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment"
"2";"OK KID";"Ich kann alles";"Zwei";"[Verse 1]
Ich nehm' mein Ego, quetsch' es aus
Alle Tränen müssen raus
Betrunken von mir selbst, füll' leere Gläser wieder auf
Leere Gläser wieder aus
Selbst der Wasserwerfer kann mir nichts
Strahle so hell, dass alles regenbogenfarben ist
Wo die Nacht pulsiert, wo jeder was erwartet
Mich niemand wirklich kennt, wirklich niemand auf mich wartet

[Pre-Hook]
Weiß niemand, wo mein Herz schlägt?
Weiß niemand, wo mein Herz schlägt?
Und die Vögel, sie zwitschern immer noch das alte Lied
Ein zahmer singt von Freiheit, ein wilder Vogel fliegt
Und jeder Spruch klingt so wie tausende zuvor
Nicht mehr wert als nur ein Rauschen im Ohr

[Hook]
Mir egal, ich kann alles
Ich kann alles
Ich kann alles
Alles glänzt, was ab jetzt vor mir liegt
Ich kann alles
Ich kann alles
Ich kann alles
Bis ich aufschlag' beweis' ich, dass ich flieg'

[Verse 2]
Ich hab mir alles geglaubt, mir meine Lügen auch
Und dass die Lügen Lügen waren, glaub' ich mir jetzt auch
Wissen ersetzt denken nicht, weiß ich nicht, denke ich
Ich hab mich an mir verblendet, schrieb Geschichte nur in Blindenschrift
Wollte nicht so sein wie sie, wusste, was ich werden muss
Andere Leute werden groß, ich mach' mit dem werden Schluss
Und wenn mich jemand hasst, hab ich immer noch irgendwas
Das der jemand gerne hätte - alles richtig gemacht

[Pre-Hook]
Ich weiß wieder wo mein Herz schlägt
Ich weiß wieder wo mein Herz schlägt
Und die Vögel, sie zwitschern immer noch das alte Lied
Ein zahmer singt von Freiheit, ein wilder Vogel fliegt
Und jeder Spruch klingt so wie tausende zuvor
Nicht mehr wert als nur ein Rauschen im Ohr

[Hook]
Mir egal, ich kann alles
Ich kann alles
Ich kann alles
Alles glänzt, was ab jetzt vor mir liegt
Ich kann alles
Ich kann alles
Ich kann alles
Bis ich aufschlag' beweis' ich, dass ich flieg'

[Bridge]
Schau mich an, ich kann alles
Ich kann nicht viel, nein, alles
Wie viel ich verdien'? Alles!
Mein einziges Ziel? Alles!
Schau mich an, ich kann alles
Hab' mich entschieden gegen alle
Mach' meinen Frieden mit allen
Entschieden zu fliegen, bis ich falle

[Hook] x2
Ich kann alles
Ich kann alles
Ich kann alles
Alles glänzt, was ab jetzt vor mir liegt
Ich kann alles
Ich kann alles
Ich kann alles
Bis ich aufschlag' beweis' ich, dass ich flieg'";"https://genius.com/Ok-kid-ich-kann-alles-lyrics";"Released 2016
Distribution

    
      Sony Music Entertainment
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Label

    
      Four Music Productions
Featuring

    
      Frank Spilker & Megaloh
Producers

    
      OK KID, Splash! Mag & Sven Ludwig
Writers

    
      Jonas Schubert, Moritz Rech, OK KID & 2 more
Copyright ©

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment"
"3";"OK KID";"Gute Menschen";"Zwei";"[1. Strophe]
Ich sehe nur gute MenschenÜberall nur gute Menschen
Alles ist einfach, bist du einfach gestricktKein Knoten im Kopf, nur ein Faden am GenickUnd dann ab Richtung GlückseligkeitEin Leben im KorsettEin guter Mensch verdrängt was er nicht weiß

Damit sich gute Menschen nicht länger als Opfer fühlenLernen sie von Kindesbeinen an: Roboter spielen
Ellbogen raus und auf Opfer zielen
Nach oben buckeln, sich einen goldenen Cock verdienen
Nur glückliche Orangen in der SaftpresseSogar der Mettigel lacht in ihre Hackfresse
Ein guter Mensch muss tun, was ein guter Mensch tun mussLuxus und Ruhm, rumlutschen bis zum Schluss

[1. Hook] x2
Ich weiß nicht was ihr seht, ich seh' nur gute MenschenAlle lieben Kinder, alle gehen Blut spendenUnd das letzte was man hier noch vermisstIst die Antwort auf die Frage warum alles bleibt wie's ist

[2. Strophe]
Weiche Strafen für gewaltbereite Ausländer, no go
Nein sie sind keine Nazis, auch sie trinken Kaffee TogoAuch sie waren schon im Urlaub, wo es Schwarze gabUnd am Vatertag lief sogar Roberto BlancoDer ein wunderbarer Neger war, wo ist das Problem?
Kinderschänder müssen sterben, voll ok
Böhse Onkelz auf der Heckscheibe stehen
Mit Deutschlandfahnen schwenkend durch die Straße gehen
Alles nur gut gemeint, aus Angst um ihre BlutsbrüderSie sind das Volk, alles nur besorgte Wutbürger
Stammtisch-Modus, jetzt wird laut diskutiert
Schwarz, Rot, Grün, alles wirkt braun meliert
Was, was homophob? (nein, nein, nein, nein, nein)Sie sind da für kranke Menschen, auch Schwule kann man heilen
Eine Hand wäscht die andere rein
Brownies backen für die Hochzeit, Mohrenköpfe teilen
Und wenn im Sportlerheim die erste Strophe erklingt
Und das Brüderlein singt, ist das überhaupt nicht schlimm
Niemand schiebt hier irgendjemand ab
Alle lieben Aydin Döner – beste Soße der Stadt

[2. Hook]
Ich weiß nicht was ihr habt
Ich sehe nur gute Menschen, die nichts Böses wollen
Nein, die nur an unsere Zukunft denken
Und wahrscheinlich werden sie es nie verstehenWarum ich kotzen muss, wenn ich sie seh'

[1. Hook]
Ich weiß nicht was ihr habt, ich sehe nur gute MenschenAlle lieben Kinder, alle gehen Blut spendenUnd das letzte was man hier noch vermisstIst die Antwort auf die Frage warum alles bleibt wie's ist";"https://genius.com/Ok-kid-gute-menschen-lyrics";"Released 2016
Distribution

    
      Sony Music Entertainment
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Label

    
      Four Music Productions
Featuring

    
      Frank Spilker & Megaloh
Producers

    
      OK KID, Splash! Mag & Sven Ludwig
Writers

    
      Jonas Schubert, Moritz Rech, OK KID & 2 more
Copyright ©

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment"
"4";"OK KID";"Es ist wieder Februar";"Zwei";"[Verse 1]
Dein erstes Licht
Nur ein Tropfen auf den kalten Steinen
Du bist mein gehasster Freund
Mein geliebter Feind
Spendest weder Trost, noch Vitamin D
Wollte dich hier nie wieder sehn
Ich mach mir keinen Reim aus dir
Lass meine Fahne über dem Ofen zirkuliern
Gib dir ein Zeichen
Siehst du nicht den weißen Rauch?Ich hab mich entschieden, ich geb auf
Auf, dich zu hassen

[Pre-Chorus]
Du nimmst mich stolpernd an die Hand
Ich stopf die eingestarrten Löcher in der Wand

[Chorus]
Es ist wieder Februar
Ich hab gewusst, dass es stimmt
Bin endlich wieder da, wo es beginnt
Auch wenn dich hier fast niemand vermisst
Was wär das Jahr bloß ohne dich?Nichts, nichts, nichts, nichts [x2]

[Verse 2]
Herzlich Willkommen, du räudiger Hund
Du hässliches EtwasMein wundester PunktDer allerbeste Grund um alles einzureißenWarst nur gut darin, große Ziele klein zu falten
Und jetzt bist du wieder da
Das letzte was ich brauch
Das beste was ich hab
Deine Schönheit bleibt im Innersten verborgenNur was dich überlebt ist von Bedeutung für morgen

[Pre-Chorus]
Du nimmst mich stolpernd an die Hand
Ich stopf die eingestarrten Löcher in der Wand

[Chorus]
Es ist wieder Februar
Ich hab gewusst, dass es stimmt
Bin endlich wieder da, wo es beginnt
Auch wenn dich hier fast niemand vermisst
Was wär das Jahr bloß ohne dich?
Was hab ich dich verflucht
Deine 28 Tage zu Besuch
Endlich wieder Februar
Niemand lacht mir kälter ins Gesicht
Was wär das Jahr bloß ohne dich?

Nichts, nichts, nichts, nichts [x2]

[Bridge]
Zwischen Winterschlaf und Frühjahrsmüdigkeit
Trittst du mein Glück mit FüßenIch heb auf, was davon übrig bleibt
Kein Prosit der Gemütlichkeit in deinen ArmenNur ein Toast auf die Genügsamkeit mit kaltem Atem
Niemand Normales schreibt ein Lied über dich
Auch dies hier ist nicht mehr wertAls das, was du für mich bist
Mit dir tanz ich den Blues, so wie jedes Jahr
Niemand kann das besser als du
Februar

[Chorus]
Ich hab gewusst, dass es stimmt
Bin endlich wieder da, wo es beginnt
Auch wenn dich hier fast niemand vermisst
Was wär das Jahr bloß ohne dich?
Was hab ich dich verflucht
Deine 28 Tage zu Besuch
Endlich wieder Februar
Niemand lacht mir kälter ins Gesicht
Was wär das Jahr bloß ohne dich?

Nichts, nichts, nichts, nichts [x4]";"https://genius.com/Ok-kid-es-ist-wieder-februar-annotated";"Released 2016
Distribution

    
      Sony Music Entertainment
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Label

    
      Four Music Productions
Featuring

    
      Frank Spilker & Megaloh
Producers

    
      OK KID, Splash! Mag & Sven Ludwig
Writers

    
      Jonas Schubert, Moritz Rech, OK KID & 2 more
Copyright ©

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment"
"5";"OK KID";"Bank";"Zwei";"[Verse 1]
Ich reiß die Augen auf
Alles muss sich ändern
Die Blumen im Vorgarten
Der Ring an meinem Finger
Das alles gut wie immer
Wenn mich irgendjemand fragt
Und es eigentlich scheiß egal ist, was ich sag
Und ich danach ein Brechreiz verspür
Dann komm ich zu dir
Hast meinen Namen auf deiner Haut imprägniert
Namen kann man nicht radieren
Sie gehen nicht so schnell weg
Mir fällt kein Stein vom Herz
Hab mein Stein bei dir im Brett
Schau, wie sich der Regen perlt
Weichst niemals auf
Stehst da, wo es wehtut
Weichst niemals aus
Im goldenen Käfig, im Gestern gefang'
Ich schlag alles zu Trümmern, außer dir

[Chorus]
Denn du bist meine Bank
Mein doppelter Rücken
Mein Platz an der Sonne
Mein gutes Gewissen
Wenn du zerbrichst, dann bau ich dich wieder auf
Damit du mich wieder trägst, wenn ich dich brauch

Du bist meine Bank
An einem Ort, den wir Zuhause nenn'
Wo man dich nicht vergisst
Dort, wo man mich noch kennt
Dort, wo die Lichter brenn'
Bist du meine rechte Hand
Für immer einen Platz bei dir
Du bist meine Bank

[Chorus 2]
Du bist meine Bank
Mein doppelter Rücken
Mein Platz an der Sonne
Mein gutes Gewissen
Wenn du zerbrichst, dann bau ich dich wieder auf
Damit du mich wieder trägst, wenn ich dich brauch

[Outro]
Du bist meine Bank
Für immer einen Platz bei dir (x3)

Du bist meine Bank

Du bist meine Bank
Für immer einen Platz bei dir (x3)

Du bist meine Bank";"https://genius.com/Ok-kid-bank-lyrics";"Released 2016
Distribution

    
      Sony Music Entertainment
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Label

    
      Four Music Productions
Featuring

    
      Frank Spilker & Megaloh
Producers

    
      OK KID, Splash! Mag & Sven Ludwig
Writers

    
      Jonas Schubert, Moritz Rech, OK KID & 2 more
Copyright ©

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment"
"6";"OK KID";"5tes Rad am Wagen";"Zwei";"[Part 1: OK KID]
Früher musst ich lügen, damit ich besser dasteh'
Heute müsst ich lügen, wenn ich sag, dass ich nicht besser dasteh'
Vom Schluck in der Kurve zum Masterplan ""E""
Die ersten vier geplatzt
Galgenmännchen spielen, bis der Buchstabe passt
Mein Profil musste reifen
Auge um Auge, Zahnräder greifen
Und ich skippe sie weiter
Trittbrettfahrer wie Stacy Peralta
Fangen an zu biten, fangen an zu haten
Doch beißen nicht selten auf Schwermetallfelgen
Niemand hat mich je gewollt
Jetzt verbrenn' ich eure Wege aus Holz
Streu Asche auf das Haupt - Sache, dass es rollt
Nie mehr Songs über mein Leben in Moll

[Hook: OK KID & Megaloh]
Es rollt, es rollt, es rollt, es rollt, es rollt
Das fünfte Rad am Wagen, es rollt, es rollt
Muss mir nichts mehr beweisen
Die anderen drehen am Rad, meins dreht sich von alleine
Es rollt, es rollt, es rollt, es rollt, es rollt
Das fünfte Rad am Wagen, es rollt, es rollt
Schlafe ein, tanke voll
Steh auf und es rollt

[Part 2: Megaloh]
Sowas wie das fünfte Rad am Wagen, Mann
Die Maschine zweifelt, ob man vernünftig damit fahren kann
Gab 'ne harte Wendung, übernahm von da die Lenkung
Fahr die Parts wie 'n Benz und rolle ohne km/h-Begrenzung
Hab ihn nie gebraucht, den Popstarttraum - tiefer Glaube, Gottvertrauen
Dealte draußen - Hustler, operierte aus dem Kofferraum
Vom schwarzen Peter zum Chartsbetreter
Phrasenleger, Wagenheber, Kartenleser, Straßenfeger
Schreibe, weil ich weg will, meisterte den Rapskill
Wusste mehr, doch musste erst noch reifen für den Wechsel
Verdiene Cash mit Musik jetzt, diese Texte bluten es
Stinkstiefel, Vin Diesel - viel zu fast and furious
Sieh' mich vorbei an glänzenden Blitzern zieh'n
Drifte spielend, dicker, ich mach nie Männchen wie Michelin
Wurde zu 'nem Bleifuß mit 'nem vollen Tank
Kickdown, Hit Sound, zeig nur, wie es rollen kann

[Brigde]
(Es rollt, es rollt)
(Es rollt, es rollt)

[Hook: OK KID & Megaloh]
Es rollt, es rollt, es rollt, es rollt, es rollt
Das fünfte Rad am Wagen, es rollt, es rollt
Muss mir nichts mehr beweisen
Die anderen drehen am Rad, meins dreht sich von alleine
Es rollt, es rollt, es rollt, es rollt, es rollt
Das fünfte Rad am Wagen, es rollt, es rollt
Schlafe ein, tanke voll
Steh auf und es rollt";"https://genius.com/Ok-kid-5tes-rad-am-wagen-lyrics";"Released 2016
Distribution

    
      Sony Music Entertainment
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Label

    
      Four Music Productions
Featuring

    
      Frank Spilker & Megaloh
Producers

    
      OK KID, Splash! Mag & Sven Ludwig
Writers

    
      Jonas Schubert, Moritz Rech, OK KID & 2 more
Copyright ©

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment"
"7";"OK KID";"Bombay Calling";"Zwei";"[Part 1]
Ich bin dabei, ruft er mich an
Zwar nur noch atmen auf Pump, der Magen wund
Doch weiche Männer stehen jetzt stramm
Niemand lacht mich bitterer anPress' meine Lippen an den Flaschenhals-Rand
Man tut was man kannMan ist, was man trinkt
Mein Brot für die Welt, 47er Gin
Ich werde rot, wenn seine Stimme
Erklingt, als wär' ich peinlich berührt
Als wären diese Zeilen nicht von mir
Bombay Calling
Nur er hat es verdient für mich ghost zu writenAußer ihm schafft es niemand solche Songs zu schreiben
Ich glaub ihm alles was er sagtNur mit ihm zieht mein Atem durch die Nacht

[Hook]
Bombay Calling, Bombay Calling, Bombay Calling
Ruft er mich an, heb' ich ab
Egal was Morgan kann, egal was Hendrick's sagt
Nur mit ihm zieht mein Atem durch die Nacht
Bombay Calling, Bombay Calling, Bombay Calling
Ruft er mich an, werd' ich springen
Der Morgen heilt die Wunden, wie immer
Heute Nacht hat mein Leben wieder Gin
Bombay Calling

[Part 2]
Er hat keine Sympathie für das echte Leben
Nur ein Spiel, das schon am Anfang damit endet, sich den Rest zu geben
Nur er spielt die Symphonie so tragend
Die mich über alle anderen hebt heut' abend
Bombay Calling
London trocken in der Westentasche
Immer das gleiche Grinsen, immer die selbe Masche
Gegen ihn ist mein Kraut nicht gewachsen
Alle suchen nach dem Zeitgeist, meiner kommt aus der Flasche
Außer ihm weiß niemand wo ich heute bin
Ich hör nicht auf den Bauch, ich vertrau' dem sechsten Gin
Ich glaub ihm alles was er sagt, nur mit ihm zieht mein Atem durch die Nacht

[Hook]
Bombay Calling, Bombay Calling, Bombay Calling
Ruft er mich an, heb' ich ab
Egal was Morgan kann, egal was Hendrick's sagt
Nur mit ihm zieht mein Atem durch die Nacht
Bombay Calling, Bombay Calling, Bombay Calling
Ruft er mich an, werd' ich springen
Der Morgen heilt die Wunden, wie immer
Heute Nacht hat mein Leben wieder Gin
Bombay Calling

[Outro]
Bombay Calling
";"https://genius.com/Ok-kid-bombay-calling-lyrics";"Released 2016
Distribution

    
      Sony Music Entertainment
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Label

    
      Four Music Productions
Featuring

    
      Frank Spilker & Megaloh
Producers

    
      OK KID, Splash! Mag & Sven Ludwig
Writers

    
      Jonas Schubert, Moritz Rech, OK KID & 2 more
Copyright ©

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment"
"8";"OK KID";"Wisch & Weg";"Zwei";"[Verse 1]
Ja
Ja, ja
Ja, ja, du hast ja Recht
Die Welt ist zu komplexDu brauchst Aspirin
Ein großer Schluck und weg
Alle haben gute Laune
Wo ist deine Laune jetzt?
""C'est la vie"" heißt nichts anderes
Als alles läuft perfekt
Heißt wisch es einfach wegWerd los, was dich belastetWer das Kleine nicht begreiftKann das Große nicht vermasseln
Hat Vater schon gesagt
Und Vater war stabil
Nein, Vater will nicht wissen was du fühlst

[Chorus]
Und wenn die Angst an deinem Stuhl sägt
Dann kehrst du sie unter den Tisch
Sorgfalten kann man bügelnFür ein strahlendes Gesicht
Wisch und weg
Wisch und weg
Je weniger du siehst, desto leichter wird esWisch und wegWisch und wegSchließ deine Augen jetztSchließ deine Augen jetzt

[Verse 2]
Guten Morgen, wie gehts, Ignoranz?Guten Morgen, leichtes LebenWer zu viel überlegt ist unterlegen
Eine gute Tat für den da oben
Du willst Karma-Punkte zähln
Dein Status mit dem Regenbogen
Alle habens gesehn
Ja, Ja, ein Mensch wie du
Kann auch mal Peace zeigenKreativ wie deine FreundeHeute als Paris-ZeichenDann ist die Welt wieder im Gleichgewicht
Und Vater wieder stolz auf dich

[Chorus]
Und wenn die Angst an deinem Stuhl sägt
Dann kehrst du sie unter den Tisch
Sorgfalten kann man bügeln
Für ein strahlendes Gesicht
Wisch und weg
Wisch und weg
Je weniger du siehst, desto leichter wird es
Wisch und weg
Wisch und weg
Schließ deine Augen jetzt
Schließ deine Augen jetzt

[Bridge]
Und schon wieder alles weggewischt
Schau, wie du strahlst
Wenn der Dreck erst unterm Teppich ist
Hör lieber auf damitHör jetzt auf damitHör auf zu redenDenn sonst redet man noch über dichJa, ja, ich glaub an dich, JungeNur Idioten tragen Herzen auf der Zunge

Wisch und Weg
Ja, ja
Ja, ja
Wisch und Weg
Ja, ja
Ja, ja

[Chorus]
Und wenn die Angst an deinem Stuhl sägt
Dann kehrst du sie unter den Tisch
Sorgfalten kann man bügeln
Für ein strahlendes Gesicht
Wisch und weg
Wisch und weg
Je weniger du siehst, desto leichter wird es
Wisch und weg
Wisch und weg
Schließ deine Augen jetzt
Schließ deine Augen jetzt";"https://genius.com/Ok-kid-wisch-and-weg-lyrics";"Released 2016
Distribution

    
      Sony Music Entertainment
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Label

    
      Four Music Productions
Featuring

    
      Frank Spilker & Megaloh
Producers

    
      OK KID, Splash! Mag & Sven Ludwig
Writers

    
      Jonas Schubert, Moritz Rech, OK KID & 2 more
Copyright ©

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment"
"9";"OK KID";"U-Bahnstation";"Zwei";"[Verse 1]
Du warst schon lang nicht mehr bei dir
Du warst schon lange nicht mehr da
Wo du hingehörst
Wo niemand will, dass du so aussiehst
Wie die Menschen, die nichts erwarten
Außer Wagen Nummer 3
Mit ihrem Platz direkt am Fenster
Im geschlossenen Abteil
Niemand sitzt gern in der Mitte
Niemand redet geradeaus
Und wenn man sie lieb darum bittet
Stehen sie selbstverständlich auf
Mit ihrem Einbahn-Straßenticket
Sind die Neurosen schon gekauft
Dann stehen sie hinten in der Ecke
Und kommen so schnell nicht mehr da raus

[Chorus: Frank Spilker]
Dein Kopf ist eine U-Bahnstation
Dein Herz da, wo du wohnst
Und du schaust noch einmal nach
Was auf der Tafel steht
Komm, ich wart mit dir
Bis der nächste Zug nach Hause geht (x3)

[Verse 2]
Alle glauben nur, was sie wissen
Niemand weiß, was du jetzt denkst
Wenn sie morgens aufrecht sitzen
Ist der Tag bereits geschenkt
Und du wartest auf ein Zeichen
Ja, ein Zeichen, sehr elementar
Dann wären die Weichen schon gestellt
Dann könntest du nach Hause fahr'n
Da liegt ein Einbahn-Straßenticket
Und das gilt bis zu deiner Tür
Und wenn du sie dann nicht öffnest
Hast du nichts, außer Papier

[Chorus: Frank Spilker]
Dein Kopf ist eine U-Bahnstation
Dein Herz da, wo du wohnst
Und du schaust noch einmal nach
Was auf der Tafel steht
Komm, ich wart mit dir
Bis der nächste Zug nach Hause geht (x4)";"https://genius.com/Ok-kid-u-bahnstation-lyrics";"Released 2016
Distribution

    
      Sony Music Entertainment
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Label

    
      Four Music Productions
Featuring

    
      Frank Spilker & Megaloh
Producers

    
      OK KID, Splash! Mag & Sven Ludwig
Writers

    
      Jonas Schubert, Moritz Rech, OK KID & 2 more
Copyright ©

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment"
"10";"OK KID";"Kaffee Warm 3";"Zwei";"[Verse 1]
Du bist schon wieder bei mir
Niemand außer dirSchafft es besser, mit den Worten zu jonglieren
Sodass ich selber schon rotier bei jedem Satz
Du hast Recht, eigentlich ist alles gesagt
Und ich frag ob du bis morgen bleibstIch bin schon müdeEs wär schön, wenn du noch oben bleibst
Das alte Muster strickt sich leichtDoch frisst uns auf
Jeder Schmetterling von damalsNur noch Motten im Bauch

[Chorus]
Und wieder grüßt dasBauchgefühlUnd es sticht immer dann von der Seite
Wenn der Kopf schon auf dem Boden liegt
Und dann wird alles wieder aufgewühlt
Wieder nur ehrlich zu mir selbst, ich IdiotWenn es sich überhaupt nicht mehr lohnt

[Verse 2]
Wieso schaust du mich so an?
Als wär hier irgendetwas dran
Dass unsere Welt verändern kann
Ich kann's nicht
Frag mich, worauf du wartest
Du suchst nach deiner SchuldWarum der Kaffee nicht mehr warm ist
Wir haben es versucht
Hab den Filter aufgerissen
Im Kaffeesatz gesucht
Drei Jahre lang gewartet
Den Februar verflucht
Alles wieder aufgebrühtDoch nirgendwo warst du

[Chorus]
Und wieder grüßt das Bauchgefühl
Und es sticht immer dann von der Seite
Wenn der Kopf schon auf dem Boden liegt
Und dann wird alles wieder aufgewühlt
Wieder nur ehrlich zu mir selbst, ich Idiot
Wenn es sich überhaupt nicht mehr lohnt

Ich will nur, dass du weißt, dass ich weiß, was ich will (x20)";"https://genius.com/Ok-kid-kaffee-warm-3-lyrics";"Released 2016
Distribution

    
      Sony Music Entertainment
Copyright ©

    
      Four Music Productions
Phonographic Copyright ℗

    
      Four Music Productions
Label

    
      Four Music Productions
Featuring

    
      Frank Spilker & Megaloh
Producers

    
      OK KID, Splash! Mag & Sven Ludwig
Writers

    
      Jonas Schubert, Moritz Rech, OK KID & 2 more
Copyright ©

    
      Four Music Productions
Distribution

    
      Sony Music Entertainment"
