"","artist","title","album","text","url","metadata"
"1","Prinz Pi","Das Weite Land","Der herr der dinge","[Erzähler]
Vor langer, langer Zeit, in einem anderem LandWeit entfernt, aber doch näher als man denkt

[Verse: Prinz Pi]
Vor längst vergangenen Zeiten
In den von Nebelschwaden verhangenden Weiten
Erzählten die Alten, die Geschichte eines von sagenumwobenes Landes
Dessen Name selbst ihnen unbekannt ist
Es beginnt mit dem schweifenden BlickEines weisen, starken Adlers,er gleitet geschickt
Überdas Land aus den Sagen
Er steigt mit der Sonne auf am morgen, gleitet nieder am Abend
Soweit wie seine Schwingen ihn tragen
Teils ist sie Erde verbrannt, getränkt vom Blut und dem Tod
Teils eine Wüste aus Sand und Sonne, ihre Glut ist so rot
Teils grüne Wiesen, tiefe Wälder, deren grün ist so Dunkel
Dass Seen, wie blaue Juwelen tief darin funkeln
Teils Berge, bedeckt von Schnee, die stolzesten Gipfel
Teils Ebenen aus schwarzem Fels, mit kantigen Spitzen
Teils saftige Auen, durchzogen von Bächen
Mit Hein aus Eichen und kleinen Teichen, mit schwirrenden Wespen
Durch Dörfer und Gehöfte, zu Boden und Schlössern
Mit stolzen Mauern, in ihren Höfen steigen Ritter auf Rösser
In Mitten dieser magischen Welten, mit flatternden Flaggen auf Zelten
Beginnt die Geschichte eines tragischen Helden
Die alten Mütter tuscheln seit alten Zeiten
Von einem, dessen Weg übersät sei mit Steinen
Er geht ihn allein, geht in für alle, er ist alle in einem, einer für alle
Und endet am Ende doch in einer Falle
Er kämpft wie ein Löwe, gegen den Hass und das Böse
Und wird das Volk und das Land mit blanken Waffen erlösen
Die Rätsel erraten, die Ziele erreichen
Es sind immer die Gleichen Geschichten die die Weiber erzählen seit alten Zeiten

[Erzähler]
Das Schloss des Königs erhebt sich auf die prächtigste Weise
In der Mitte der mächtigsten und größten aller Städte des Reiches
Die höchsten seiner Türme weilen mit ihren Spitzen in den Wolken","https://genius.com/Prinz-pi-das-weite-land-lyrics","Released 2006
Writers

    
      Biztram & Prinz Pi
Distributor

    
      Sony Music Entertainment
Label

    
      Keine Liebe Records"
"2","Prinz Pi","Der Bote","Der herr der dinge","[Verse]
Der Blick nährt sich dem Königsschloss, mit Mauern bis zum Himmel
Im Galopp über die Brücke, ein Bote auf einem Schimmel
Er fliegt dahin wie ein Pfeil, die Hufe hallen in den Gassen
Er fliegt vorbei an den Wachen, stehend mit all ihren Waffen
Sein Banner ist das des Königs, er reitet durch's Schloss
Funken fliegen von den Hufen, von seinem Ross
Er stoppt vor der großen Treppe und springt aus dem Sattel
Zeigt das Siegel den Wachen und sie senken die Waffen
Er stürmt die Stufen hoch, zehn Männer öffnen den Thronsaal
Die goldene Halle des Königs und seines Hofstaats
Der Bote ist geblendet von Gold und den Juwelen
Es sind abertausend, kein Mensch könnte sie zählen
Der König sitzt auf seinem Thron, umgeben von seinen Gefährten
Hinter ihm sieht man die heiligen Gärten
Und zu seinen Füssen spielen weiße, braune, schwarze Hunde
Um ihn stehen seine Recken, man nennt sie die Tafelrunde","https://genius.com/Prinz-pi-der-bote-lyrics","Released 2006
Writers

    
      Biztram & Prinz Pi
Distributor

    
      Sony Music Entertainment
Label

    
      Keine Liebe Records"
"3","Prinz Pi","Im Thronsaal","Der herr der dinge","[Verse]
Tief in den Gängen, gekleidet in schwerem Samt
Blickt der König die optischen Symbole seiner Ehre an
Seit einem Streit mit seinem Prinzen, ist
Seine Sprache voller Finsternis
Er begrub ihn winterlich in einer Vision
Denn der setzte sich schon auf seinen eigenen Thron
Jetzt lebt er seinen Traum und sie ringen mit einander
Denn der Ring, der sie einst verband, brach auseinander
Der Bote fällt auf die Knie, erstattet Bericht
Sorgen überschatten des Königs Gesicht, als er Spricht
Ein unbekannter Dieb stahl den großen Diamant
Des Herrschers des Nordens, er entkam unerkannt
Dem Herrscher des Nordwestens, ebenfalls ein König
Stahl er einen großen Diamanten, der so schön ist
Dass sein Anblick dich verzaubert
Der Ritter mit der eisernen Maske, den er auch beraubt hat
Ist außer sich über den Verlust seiner Kette
Er tobt wie sonst, kein anderer recke
Der Kammerdiener bricht herein, erschreckt
Die Kronjuwelen – gestohlen – weg!

[Erzähler]
Der König beschließt seine Verbündeten um sich zu scharen
Und in den Krieg gegen die unbekannten Zauberer zu ziehen
Auf dem Fenstersims des großen Thronsaals sitzt ein weiser Adler
Der die interessanten Geschehnisse mit verfolgt hat","https://genius.com/Prinz-pi-im-thronsaal-lyrics","Released 2006
Writers

    
      Biztram & Prinz Pi
Distributor

    
      Sony Music Entertainment
Label

    
      Keine Liebe Records"
"4","Prinz Pi","Zur Altstadt","Der herr der dinge","[Verse]
Im Thronsaal vernimmt man überkippende Stimmen
Der Adler spreizt seine Schwingen und schwebt dann über die Zinnen
Ein Reiter galoppiert durch die engen Gassen der Altstadt
Mal links lang, mal rechts lang, ohne dass er einmal halt macht
Fluchende Mägde, dreckige Wege, gelbe Kloaken
Wie ein schwarzer Blitz dann hinunter, bis ins Viertel der Armen
Zu einer alten Spelunke, drei Gestalten schlafen betrunken
In der Gosse, halten in den Händen noch ihre halbvollen Humpen
Und er setzt sich auf dem Fenstersims nieder
Von drinnen hallen die Textfetzen ihrer trunkenen Lieder
In seinen feinen Ohren wieder","https://genius.com/Prinz-pi-zur-altstadt-lyrics","Released 2006
Writers

    
      Biztram & Prinz Pi
Distributor

    
      Sony Music Entertainment
Label

    
      Keine Liebe Records"
"5","Prinz Pi","Die Spelunke","Der herr der dinge","[Verse]
In der Schenke geht es lustig her, man tanzt schon auf den Tischen
Eine dralle blonde Magd setzt den Humpen an die Lippen
Zwei Gesellen zechen seit dem Morgen, als hätte ihr Krug ein Loch
Ihr Mund ist wie ein Scheunentor, die Gerste hat es zugestopft
Da sitzt ein fetter Edelmann, mit einem roten Umhang anEr blickt umher und trinkt nichts und fasst nur seinen Humpen an
Ein neues Fass wird reingerollt, ein Zechkumpan erleichtert sich
Die Hühner vor dem Fenster schreien, als dort ein dunkler Reiter istEr tritt die Tür, roter Umhang, kein Gesicht, nur schwarz darunter
Geht zum dicken Edelmann und der stößt schnell sein Maß hinunter
Gibt ihm etwas, nimmt etwas entgegen
Und wirft dem Wirt zwei goldene Dukaten zu
Eilt nach draußen, springt auf’s Pferd, knallt die Peitsche
Gibt seinem Hengst die Sporen in die Seite
Und zwei Saufbrüder retten ihre Haut durch einen Seitensprung

[Erzähler]

Der weise Adler hat auch hier geduldig auf dem Fenstersims
Das Geschehen mit seinen klugen Augen beobachtet. Nun bricht
Er auf, weg aus dieser Stadt","https://genius.com/Prinz-pi-die-spelunke-lyrics","Released 2006
Writers

    
      Biztram & Prinz Pi
Distributor

    
      Sony Music Entertainment
Label

    
      Keine Liebe Records"
"6","Prinz Pi","In das Dorf","Der herr der dinge","[Verse]
Die Trinklieder klingen aus
Der Adler breitet seine breiten Schwingen aus
Und fliegt aufs weite Land hinaus
Über nächtliche Hügel
Tragen ihn mächtige Flügel
Bei Morgenanbruch ist er imwestlichsten Süden
Hier liegt ein Dorf voller Edelmänner
Die hellsten Köpfe des Reiches
Sitzen im Gehäus und geniessen ein schnelles Tröpfchen von Maische
Dieser Teil vom Land ist ein Paradies
Wo ein klarer Bach durch die Auen und durch die Brücke desDorfangersfließt
Der Adler hat hier sein Horst
Nicht weit von einem kleinen Dorf
Alle die es jemals hierhin verschlägt, die bleiben auch dort

[Erzähler]
Zwischen immergrünen Wäldern liegt in der südwestlichenPeripherieein kleines DorfUmgeben von Seen, ist es ein friedliches Idyll, das seinesgleichen suchtViele Edelmänner und Frauen leben hier","https://genius.com/Prinz-pi-in-das-dorf-lyrics","Released 2006
Writers

    
      Biztram & Prinz Pi
Distributor

    
      Sony Music Entertainment
Label

    
      Keine Liebe Records"
"7","Prinz Pi","Das Prinzendorf","Der herr der dinge","[Erzähler]
Aus dieser Gegend stammen einige der tapfersten und stolzesten Recken des Reiches

[Verse]
Das Dorf zählt nur wenige Seelen die dort leben
Sie leben wie auf einem entfernten Planteten, ihr Leben
Doch die einst stolzen Häuser in Schutt und in Asche
Während die letzten schwelenden Balken im Feuer zerkrachen
Ringt sich einer Mutter elend das Leid aus dem Rachen
Nachts kamen Horden von Orks, die die Wachen nieder machten
Die Männer liefen zu den Waffen, doch zu spät
Im dunkeln der Nacht wurde einer nach dem anderen niedergemäht
Alles ist zerstört, wird nie wieder belebt
Ein Blume wird für jeden Kämpfer nieder gelegt
In den rauchenden Trümmern weinen Mütter
Die sich um Leichen ihrer enthaupteten Jünglingen kümmern
Ein staubiger Schimmer, ein Nebel des Todes
Eine Hand kämpft sich hervor, aus dem zertretenden Boden
Es ist der Prinz des Dorfes
Gerüstet mit einer klingenden Klinge des tönenden Wortes
Die Schönen des Dorfes krönten den Prinz zum Gewinner des Festes, des Dorfes
Der Beste des Dorfes sieht die Ruinen seines Lebens, hat alles feste verloren
Um ihm liegen die gefallenden Freunde
So junge Äste geschlagen von Bäumen
Ihre Schreie hallen in seinen Träumen
So jung werden die besten begraben
Von ihren geschändeten Schwestern
Die stolzesten Recken verendeten gestern
Er irrt durch die Trümmer seines Elternhauses
Er hat alles verloren, will nur weg, will los in die Welt hinaus
Will die Orte sehen
Will in den Schriften jedes Wort verstehen
Weiß es gibt nur einen Weg fort zu gehen
Und er spürt in sich ein Feuer entrachen, ein beben
Die Geister der alten Helden scheinen in seinen Rachen zu leben

[Erzähler]
Da das Dorf verwüstet wurde, beschließt der Prinz in die Weite zu ziehen
Er will die verantwortlichen zur Rechenschaft ziehen
Will sehen was er nur aus Legenden kennt
Schweren Herzens lassen die seinen ihn ziehen","https://genius.com/Prinz-pi-das-prinzendorf-lyrics","Released 2006
Writers

    
      Biztram & Prinz Pi
Distributor

    
      Sony Music Entertainment
Label

    
      Keine Liebe Records"
"8","Prinz Pi","Der Aufbruch","Der herr der dinge","[Verse]
Die alten weinen, seine schritte frei, kein Gepäck
Nur ein Beutel in dem Tabak für die Pfeife steckt
Ein rauchender Held macht sich auf in die Welt
Nachts bauen ihm Sterne ein Zelt
Die Beine laufen von selbst und die Welt ist so groß, ist ein einziges Spiel
Er spielt und gewinnt, er gewinnt viel zu viel
Im leichten Gepäck ein Buch gebunden in Leder
Um seine Abenteuer abends nieder zu schreiben, für später
Ein Beutel den ein Mädel genäht hat
Voller guter Wünsche und Kräuter nach Empfehlung der Väter
Die Schuhe laufen wie auf Luft, laufen auf Wolken
Und die Sonnenstrahlen scheinen seinen Schritten zu folgen
Während Worte seine Lippen vergolden und er sich weiter entfernt
Folgen die Schritten einem einzigen Stern
Am Wegrand lauern viel Halunken
Und in miesen Spelunken werden diese betrunken
Quaken wie Unken,haken sich ein und faseln betrunken
Wollen wie Raben Dingen die funkeln
Am Wegrand die hastigen vier Penetänzer
Eine alte Bäuerin mit dickem Hintern lehnt am Fenster
Die Lippen voller bissiger Sprüche am keifen
In der Stadt mit dem brüchigen Orgelpfeifen
Auf einem Frostacker Bauern,vollkommener Anfänger
Bruder Tak, mit dem Stock, hat viele AnhängerSchlägt sie alle auf einmal,der letzte echte Glaubensbruder
Der gekreuzigte Jakob weiht ein Haufen Luder
Im nächsten Dorf ein entlaufener Dackel
Apportierteineausgebrannte Fackel, setzt einen Haufen von Kacke
Ein Mann zählteins zwei, kommt auf seinen Händen an
Sagt, er sägte sich die Beine mit derSense an
Sie sprechen in Floskeln, sie rotzen beim Reden
Der Prinz denkt, der Herr möge diese Ochsen vergeben
All diese Gestalten sind um ihm wie ein Feindeskreis
Er geht weiter, weil er weiß bald naht sein Zeit
Aus den Dörfern und Städten zu dem großen Wald
Ein Humpen auf seinem Weg und es fließt aus seinem Hosenstall
Und er schreibt all dies in sein Buch
Auf seinen Händen zwei Wörter, ein Segen, ein Fluch

[Erzähler]
Nach der Wanderung durch die große Ebene
Erreicht der Prinz den Eingang zum dunklen Wald","https://genius.com/Prinz-pi-der-aufbruch-lyrics","Released 2006
Writers

    
      Biztram & Prinz Pi
Distributor

    
      Sony Music Entertainment
Label

    
      Keine Liebe Records"
"9","Prinz Pi","Der Dunkele Wald","Der herr der dinge","[Verse]
Der Eingang zu dem großen Wald sind blühende Linden
Die ihre Kronen zu einem von grün sprühenden Tor verbinden
Der Boden vom großen Wald ist weich, das Moos ein Teppich
Es wachsen ganz hohe Pilze, ihre Hüte bunt und fleckig
Goldene Strahlen strecken die Finger durch Zweige
Vögel zwitschern in den Bäumen, ein Reh springt aufgeschreckt zur Seite
Das Moos dämpft die Schritte
Es duftet nach Tannen und Frische
Unter einem Stamm kommt eine Schlange geschlichen
Der Wald ist ein lichtes grün, dann ein dichtes grün
Es verdichtet sich immer mehr, als würd es das Licht anziehen
Schmetterlinge spielen mit Strahlen, die durch das Laub sickern
Verschwinden immer mehr, jetzt wird das Laub dichter
Wo die dunklen Blätter seine letzten Reste aufwischen
Hört man in der ferne, wie Odem dichten Rauch zischen
Ein Gestank schlängelt sich durchs Dickicht wie Vipern
Ein Geräusch wie von scharrenden Glieder
Die Stämme stehen so dicht
Sie verdecken dem Prinzen die Sicht
Die Sonne fühlt sich hinter den Bäumen verängstigt, selbst hinters Licht
Der Gestank kommt näher und näher
Das Licht schickt nur vereinzelte Späher
Dann überspült ihn beißender Rauch wie ein Meer","https://genius.com/Prinz-pi-der-dunkele-wald-lyrics","Released 2006
Writers

    
      Biztram & Prinz Pi
Distributor

    
      Sony Music Entertainment
Label

    
      Keine Liebe Records"
"10","Prinz Pi","Räuberhauptmann","Der herr der dinge","[Verse]
Ein splittern von Holz, ein krachen von Kiefern
Dann rattelnde Glieder, Riesige wackelnde Kiefer
Eine mechanische Ratte, schmierige, schwankende Glieder
Ein eiernder Takt der Maschine, zwei lange Arme greifen dann nieder
Packen den Prinz, ziehen ihn hoch, halten ihn vor ihr Rattengesicht
Verdecken halb denRäuberhauptmann, der dort im Schatten sitzt
Er steuert die mechanische Monstrosität, sie töst und bebt
Während sich ihr Bein sich vom Boden lösen und hebt
In ihrer Hand der Held
Man meint das sie bei diesem halsbrecherischen Tanz doch fällt
Sie wankt und schwankt. Der Räuberhauptmann lacht und flucht
Er lebt im Untergrund, in einer Höhle, die man nachts besucht
Seine Worte prasseln auf den Helden
Untermalt von der ratternden Ratte rasselnde ketten
Er erzählt von den Waffen die er bauen will um die dunklen ZauberernDie das Land bedrohen, zu zerhauen
Er ist der Räuberhauptmann, der in die schlacht zieht
Weil er in dem Prinz eine macht sieht
Die seiner Armee zusätzliche Kraft gibt
Will er ihn in seine Höhle schleppen, er beschwört ihn
Erzählt seine Pläne, doch der Prinz überhört ihn
Er muss sich befreien, windet sich raus aus der Kralle
Schafft es heraus aus um aus der Kralle in das Laub zu fallen
Er rennt durch das Dickicht bis sein Gesicht von den Zweigen zerschlitzt ist
Die Heirat seiner Haut mit den Dornen liefert eine blutige Mitgift
Fliehenden Schrittes so schnell wie sein Herzschlag
Er taumelt durchs Gebüsch, wie Blätter an einem Herbsttag
Hinter sich hört er es Fauchen
Seine Beine laufen und laufen
Er stürzt durch den Rand des Waldes, endlich nach draußen

[Erzähler]
In der Ferne hört er noch lange die hölzerne Ratte des Räuberhauptmannes Rumoren. Sohehrihm diese Ideale auch schienen, er muss weiter. Am Fuß der Berge blickt er auf zu dem weißen Gletscher und suscht einen Weg zu dem Steilpass, um auf die andere Seite zu gelangen. Er macht sich an den Aufstieg","https://genius.com/Prinz-pi-rauberhauptmann-lyrics","Released 2006
Writers

    
      Biztram & Prinz Pi
Distributor

    
      Sony Music Entertainment
Label

    
      Keine Liebe Records"
