"";"artist";"title";"album";"text";"url";"metadata"
"1";"Prinz Pi";"Vorspiel";"Porno privat";"[Intro]
[Cut:] To the opening of the new world
To the opening of the new world
To the opening of the new world
To the opening of the new world
To the opening of the new world

Yea

[Verse: Prinz Porno]
In der Schule erzähln' Lehrer Lügen über Gott
Und deswegen merkte ich, sie gehören zum Komplott
Ich erkannte sie als Cyborgs, genetisch reduziert
Für die Arbeit in der Schule und auf Schwachsinn programmiert
Der wunde Punkt der Konstruktion war ein Schalter am Rücken
Ich benutzte meinen Fuß, um ihn unbemerkt zu drücken
Die vielen Todesfälle führten bald auf meine Spur
Man baute zwei Kontakte in die Zeiger meiner Uhr
Sie erzeugten Hologramme, wenn sie sich berührten
Diese führten mit der Zeit zu Paranoia-Stimulanz
Mein Schwanz trat in Aktion als ich schlief
Und zerfickte die Uhr an meinem Arm instinktiv
Ich verfluchte das System und erkannte die Maschine
Die mich täglich observierte in meiner Duschkabine
Ich zerhackte zehn Apfelsin' und fand in drei von ihn'
Jeweils eine Kamera und ein Mikrofon
Diese Kombination gab mir Grund zum Überlegen
Und deswegen lief ich unsicher am Abend durch die Gegend
An einem Baum blieb ich stehn' und zündete ihn an
Aber ich sah, dass PVC nur sehr schwer brenn' kann
Die ganze Stadt ist synthetisch, anorganisch und gesteuert
Von genetischen Idioten und andern' Ungeheuern
Ich lebe auf der Flucht und suche Lücken im System
Paranoid, schizophren ist das kleinere Problem
Aus Angst, entdeckt zu werden, empfahl ich den Moleküln'
Unsichtbar zu werden und keinen Schmerz zu fühln'
Ich deponiere meine Viren in den Köpfen von den Leuten
In den Speichern von Computern und den Ärschen aller Bräute
Mein Körper wird gelenkt von unsichtbaren Schnüren
Die nicht zu lösen sind und immer straight nach oben führen
Und der Typ, der sie bewegt, ist anscheind' oft besoffen
Oder weshalb breche ich mir sonst andauernd meine Knochen
Kein Problem, ich nehm' die Scheiße angenehm
Mein Leben ist zu billig, um es wirklich ernstzunehm'
Yo ich creepe durch die Straßen mit dem Abturn im Gepäck
Luft zu atmen ist wie Arbeit, deshalb rauch' ich Crack
Ich habe meinen Bruder im Supermarkt verloren
Meine drei kleinen Schwestern wurden gar nich' erst geboren
Die Wissenschaftler, die mich bauten, sagten mir, ich sei perfekt
Aber als was, weiß ich nicht, denn ich boxte und lief weg
Endlich raus aus der Fabrik kackte ich mir ein Gesicht
Um zu sehen, wie es ist, wenn man mit seiner Scheiße spricht
Der Unterschied ist sehr gering, jedenfalls zu vielen Leuten
Zu den meisten von euch MCs und zu eigentlich allen Bräuten
Eure Hip-Hop Nabelschnur wird durchtrennt von meiner Schere
Über einem See aus Blut ist mein Penis eine Fähre
Richtung gelobtes Land, Onanie-Therapie
Ist Strafarbeit für Opfer von MC-Blasphemie
Eine Kopie dieses Textes fliegt auf einem Satelliten
An Saturn und Mars vorbei in Richtung neue Gebiete
Außerirdische erkenn' das Potenzial meiner Rasse
Und schicken mir Champagner in einer Untertasse
Meine Überlegenheit gibt mir Grund zu Überlegen
Und weswegen bin ich eigentlich auf der Welt und noch am Leben
Ich zog in eine Schlacht und geriet in Turbulenzen
MCs redeten wie Nutten, aber sahen aus wie Menschen
In einem Laden auf dem Schlachtfeld kaufte ich eine Krawatte
Und unter großen Mühn' passte sie um meine Latte
Damit kandidiere ich als Staatssekretär
Ficke lachend im Senat und halte Hip-Hop populär
Bundeskanzler und Kollegen zahln' Respekt in mein Sparschwein
Ich chille offiziell und sauf' zufrieden den Etat klein

[Outro]
Yüa, Nigga
Yea";"https://genius.com/Prinz-pi-vorspiel-lyrics";"Released 1999
Producers

    
      Kick
Writers

    
      Prinz Pi"
"2";"Prinz Pi";"Unter Kontrolle";"Porno privat";"To the opening of the new world..

Yeah
In der Schule erzählen Lehrer Lügen über Gott
Und deswegen merkte ich sie gehören zum Komplott
Ich erkannte sie als Cyborgs, genetisch reduziert
Für die Arbeiten in der Schule und auf Schwachsinn programmiert
Der wunde Punkt der Konstruktion war ein Schalter im Rücken
Ich benutzte meinen Fuß um ihn unbemerkt zu drücken
Die vielen Todesfälle führten bald auf meine Spur
Man baute 2 Kontakte in die Zeiger meiner Uhr
Sie erzeugten Hologramme, wenn sie sich berührten
Diese führten mit der Zeit zu Paranoia-Stimulanz
Mein Schwanz trat in Aktion als ich schlief
Und zer****te die Uhr an meinem Arm instinktiv
Ich verfluchte das System und erkannte die Maschine
Die mich täglich observierte, in meiner Duschkabine
Ich zerhackte 10 Apfelsinen und fand in 3 von Ihnen
Jeweils eine Kamera und ein Mikrofon
Diese Kombination gab mir Grund zum Überlegen
Und deswegen lief ich unsicher am Abend durch die Gegend
An einem Baum blieb ich stehen und zündete ihn an
Aber ich sah das PVC nur sehr schwer brennen kann
Die ganze Stadt ist synthetisch, anorganisch und gesteuert
Von genetischen Idioten, und anderen Ungeheuern
Ich lebe auf der Flucht und suche Lücken im System
Paranoid-schizophren ist das kleinere Problem
Aus Angst entdeckt zu werden befahl ich den Molekülen
Unsichtbar zu werden und keinen Schmerz zu fühlen
Ich deponiere meine Viren in den Köpfen von den Leuten
In den Speichern von Computern und den Ärschen aller Bräute
Mein Körper wird gelenkt von unsichtbaren Schnüren
Die nicht zu lösen sind und immer straight nach oben führen
Und der Typ der sie bewegt ist anscheind oft besoffen
Oder weshalb brech ich mir sonst andauernd meine Knochen?
Kein Problem - Ich nehm die Scheisse angenehm
Mein Leben ist zu billig um es wirklich ernst zu nehmen
Jo ich creape durch die Straßen mit dem Abturn (??) im Gepäck
Luft zu atmen ist wie Arbeit - deswegen rauch ich Crack
Ich habe meinen Bruder im Supermarkt verloren
Meine drei kleinen Schwestern wurden gar nicht erst geboren, nigga
Wissenschaftler die mich bauten sagten mir ich sei perfekt
Aber als was weiß ich nicht, denn ich boxte und lief ich weg
Endlich raus aus der Fabrik kackte ich mir ein Gesicht
Um zu sehen wie es ist wie man mit seiner Scheisse spricht
Der Unterschied ist sehr gering, jedenfalls zu vielen Leuten
Zu den meisten von euch MCs und zu eigentlich allen Bräuten
Eure Hip-Hop Nabelschnur wird durchtrennt von meiner Schere
Über einem Land aus Blut ist mein Penis eine Fähre
Richtung Gelobtes Land - Onanie-Therapie
Ist Streifarbeit für Opfer von MC-Blasphemie
Eine Kopie dieses Textes fliegt auf einem Sateliten
An Saturn und Mars vorbei in Richtung neue Gebiete
Ausserirdische erkennen das Potential meiner Rasse
Und schicken mir Champagner in einer Untertasse
Meine Überlegenheit gibt mir Grund zum Überlegen
Und weswegen bin ich eigentlich auf der Welt und noch am Leben
Ich zog in eine Schlacht und geriet in Turbulenzen
MCs redeten wie *****n aber sahen aus wie Menschen
In einem Laden auf dem Schlachtfeld kaufte ich eine Krawatte
Und unter großen Mühen passte sie um meine Latte
Damit kandidiere ich als Staatssekretär
****e lachend im Senat und halte Hip-Hop populär
Bundeskanzler und Kollegen zahlen Respekt in mein Sparschwein
Ich chille offiziell, sauf zufrieden den Etat ein
Yeah, nigga, yeah";"https://genius.com/Prinz-pi-unter-kontrolle-lyrics";"Released 1999
Producers

    
      Kick
Writers

    
      Prinz Pi"
"3";"Prinz Pi";"Der kleine Prinz (Skit)";"Porno privat";"[Sample:]Ich schaute mir die Erscheinung mit großen, staunenden Augen an""Aber... was machst denn du da?""Ich habe mir die Augen gerieben und genau hingeschautUnd er versank in einer Träumerei, die lange dauerteIch zog ein Blatt Papier und einen Stift herausSo machte ich die Bekanntschaft des kleinen Prinzen";"https://genius.com/Prinz-pi-der-kleine-prinz-skit-lyrics";"Released 1999
Producers

    
      Kick
Writers

    
      Prinz Pi"
"4";"Prinz Pi";"Mondlied";"Porno privat";"Jo, ich seh mehr Sterne, als zehn Kaleidoskope
Etwas muss es doch geben irgendwo dort oben
Die Bäume wollen mir ihre Gedanken zufächeln
Und der Mond scheint mich auf seltsame Weise anzulächeln
Über allen Dächern meiner Stadt bin ich ganz alleine
Mit mir selber, meinen Gedanken und meinen Reimen, jo
Ich lass mich treiben und durch die Lüfte trudeln
Während unaufhörlich meine Melodien aus dem Walkman dudeln
Dunkle Mächte vernudeln mein tape und ich muss spulen
Also Bandsalat, keine Mucke mehr am Start
Ich weiß genau, was ich will, aber das war gestern
Ab heute ist mir kalt und ich ziehe meine Jacke fester
Dort oben beim Mars, Saturn oder Pluto
Wo sind Joda, Captain Kirk oder R2D2?
Wo sind all die Ufos von Akte-X geblieben
Ich würd so gerne mein Ticket zu den Sternen kriegen, jo
Ich will fliegen zu anderen Planeten
Zu geheimnisvollen Plätzen und uralten Städten
Also warte ich nicht und starte mentale Aggregate
Meine Gedanken sind Gebieter und die Schwerkraft ist ihr Sklave
Sie wird sich beugen, ich finde das überzeugend
Also steige ich auf um alles mal von oben zu beäugen
Aus der Luft bildet das Netz der Straßen eine Hieroglyphe
Vielleicht liegts auch einfach nur an der Perspektive
Wie die Oliven auf Pizzas liegen die Plätze
Am Ende von den Straßen wie die Punkte nach Sätzen
Die Stadt schreibt meine Texte ohne es selber zu wissen
Und ich dachte bisher ehrlich ich würde eine Muse küssen
Ich fliege noch ein Weilchen, doch der Boden wartet schon
Schließlich soll man, wenn man oben ist, auch mal wieder runter kommen
Also falle ich zurück auf das Dach von meinem Fenster
Mein Zimmer kommt mir vor wie mein eigener Geisel-Gangster
Ich renne auf die Straße, mitten in der Nacht
Die Strahlen des Mondes versorgen mich mit Macht
Ich schleiche um die Häuser, unauffällig wie ein Dieb
Wieso bin gerade ich immer unglücklich verliebt?
Was mir bleibt ist der Beat und mein Stift
Damit schreibe ich einen Text, der die Herzen aller Mädchen trifft
Die Titanic war ein Traum, hier kommt die Exxon Valdez
Und plötzlich stehe ich vor dem Eingang eines Waldes, darin hallt es
Mit den Stimmen von Nachtgetieren
Sie laufen, kriechen, flattern und gehen auf allen Vieren
Ich laufe durch den Wald und schlage mich durchs Dickicht
Alles wirkt gespenstisch, beleuchtet nur vom Mondlicht
Jetzt sehe ich den See und das Wasser, pures Silber
Ich laufe auf ihn zu und mein Herz schlägt wie ein Wilder
Am Ufer bleibe ich stehen und beim genauer hinsehen
Kann man kleine Feen auf dem Wasser spielen sehen
Mein Herz hört auf zu schlagen und beginnt zu ticken
Und zwar wie die Bombe, nach der alle Köpfe nicken
Was geschieht mit mir, was hab ich nur genommen?
Ist mir etwa mein Steak vom letzten Sonntag nicht bekommen?
Bin ich auf LSD, Kokain oder E, oder ist das etwa alles real was ich seh?
Durchs fliegen wird man nicht gerade klarer im Schädel
Langsam geht's mir besser und ich denk an alle Mädel
Ich denk an alle Jungs, ich denk an alle meine Freunde
Was ich so erlebe ist seltsam, auch wenn ich das nur träume
Der Wind streicht durch die Bäume, wie Geiger Violinen
Es kann schon mal passieren, dass sich zwei verlieben
Aber bei mir ist das meistens nur ein Monolog
Ich bin Prinz Porno der über eure Dächer flog
Langsam geht die Nacht zu Ende, doch ich habe eine Nachricht:
Brecht nicht zusammen wenn jemand euer Herz bricht!
Alles ist geplant, von jemand ganz weit oben
Die Grenze ist nicht sichtbar und wird täglich neu verschoben
Die Wahrheit kommt aus meinem Walkman, in Stereo
Und irgendwo liegt das Pendant zu Prinz Porno
Ich hab es noch nicht gefunden und bin täglich auf der Suche
Der Tortenheber ist am start für mein Stück vom Kuchen
Bleibt die große Frage, wer vergibt die Karten
Ich warte auf Herzdame um richtig durchzustarten
Irgendwo ist der Empfänger auf die Nachricht die ich sende
Vielleicht hört sie Gerade zu, doch der Traum ist jetzt zu Ende";"https://genius.com/Prinz-pi-mondlied-lyrics";"Released 1999
Producers

    
      Kick
Writers

    
      Prinz Pi"
"5";"Prinz Pi";"Die Industrie";"Porno privat";"Die... Die Industrie hat mir diesen Computer in den Kopf gebaut und seitdem
Seh ich manchmal verschwommen wenn ich nicht sehen soll was ich aber doch sehe
Aber wenn ich dann mein linkes Auge zuhalte...
Kann ich mit dem rechten deutlich erkennen was passiert";"https://genius.com/Prinz-pi-die-industrie-lyrics";"Released 1999
Producers

    
      Kick
Writers

    
      Prinz Pi"
"6";"Prinz Pi";"Keine Liebe";"Porno privat";"[Intro]
„Die Industrie hat mir diesen Computer in den Kopf gebaut und seitdem sehe ich manchmal verschwommen, wenn ich etwas nicht sehen soll, was ich aber dann doch sehe aberwenn ich dann mein linkes Auge zuhalte, kann ich mit dem rechten deutlich erkennen, was passiert“

[Part 1: Prinz Pi]
Ich reduzier mich auf das Minimum,selbst die Ärzte schauten dummDer Patient weiß Bescheid und bleibt trotz Hypnose stumm
Bevor sie mich holten, wusste ich, sie würden kommen
Jetzt sitze ich im Knast und werd jeden Tag vernommen
Wegen Bomben, die ich baute, nannten sie mich AttentäterTerrorist, Gegenläufer und VerräterAber später werden Menschen, die wie ich sind euch regierenUnd so sage ich mir täglich, nur den Glauben nicht verlieren
Es ist Rap-Einzelhaft in einem Knast ohne Musik
Und ich schlage eine Delle in die Zelle für den Beat
Dann fang ich an zu rappen bis der Aufseher schreitEr kann mich boxen, wie er will, ich sage weiter ich bin tight
YEAH-Also ritze ich die Texte in die WandUnd als sie das entlarven, brechen sie mir meine Hand
Deswegen merk ich sie mir und trainiere mein GedächtnisNur das, was nicht schlecht ist, wird Teil vom Rapvermächtnis
Alles was recht ist, warum sitz ich hinter Gittern
Prinz Pornobi-Wan Kenobi, letzter Jedi-Ritter
Sie geben Drogen in die Luft und Drogen in mein EssenUnd Drogen in jede von den Platten, die sie pressen
Untergrund ist Medizin, Rap Antidepressiva
Gegen Hiphop-HIV, auch bekannt als Viva
Wer will Liebeslieder und wer will tighte Raps
Ich will raus aus diesem Knast, mein Mikro, Geld und Sex

[Hook]Wie kann so etwas Gutes so falsch sein?Warum ist so etwas Schönes so schlecht?Weshalb gibt es auf der Welt keine Liebe?Und weswegen hab ich eigentlich immer recht?
Wie kann so etwas Gutes so falsch sein?Warum ist so etwas Schönes so schlecht?Weshalb gibt es auf der Welt keine Liebe?Und weswegen hab ich eigentlich immer recht?

[Part 2: Prinz Pi]
Die Welt wird kontrolliert von Rosenkreuzern und TriadenMafioso Majorlabels, Militärs und Syndikaten
Der Vatikan führt einen Krieg um KokainGegen CIA und Contras und natürlich Westberlin
Adolf Hitler seine Ufos kontrollieren die USA
Bill Gates ist nur ein Klon von Pablo Escobar
Eben weil ich zuviel wusste, wurde ich eingekerkert
Doch das Feuer in mir drin brennt mit jedem Tag stärker
Sie sagten, ich sei anormal, weil ich auf die Straße rannte
Und Mädels meinen Penis direkt in die Fresse rammte
Die ich nicht mal kannte und weil Häuser explodierten
Als Mitglieder meiner Crew mit MCs experimentierten
Eingeknastet mutiere ich von selbst zum Raproboter
Töte Majorlabel-MCsund vor allem Dida Dodder
Jeden Tag sterben Kinder, es gibt neue KriegeIch sehe Hass und Zerstörung,Berlin-West, keine Liebe
Zensur und RTL formten mich zum Psychopathen
Die Platten die ich hörte machten mich zum Mic-Soldaten
Und deshalb ist jetzt KO-Zeit angebrochen für euch OpferDie Devise lautet ""Hände weg vom Mic oder Kopf ab!""

[Hook]Wie kann so etwas Gutes so falsch sein?Warum ist so etwas Schönes so schlecht?Weshalb gibt es auf der Welt keine Liebe?Und weswegen hab ich eigentlich immer recht?
Wie kann so etwas Gutes so falsch sein?Warum ist so etwas Schönes so schlecht?Weshalb gibt es auf der Welt keine Liebe?Und weswegen hab ich eigentlich immer recht?

[Part 3: Prinz Pi]
MCs onanieren auf meine Tapes und publizierenDie Ergüsse als Kassetten, es ist whack-Rap satire
Um ein Pro zu sein, benötige ich ständig Contras
Sieh, Jason reitet ein bei allen Pussi-Pocahontas
Wonderbras und Silikon sollten Pflicht sein für GehirneDenn bis jetzt hat jeder Zweite von euch Scheiße in der Birne
Hier kommt Anti gegen Alles, ich misstraue auch mir selbst
Hauptsache ist du stirbst, egal durch wessen Schwert du fällst
Alle Hippies und Versager kommen ins Hiphop-Arbeitslager
""Untergrund"" zu sein heißt tot sein oder Krieg wie Intifada
Sie versuchen seit 10 Jahren, Geld für Atemluft zu nehmenDie Sonne ist jetzt tödlich und die Schuld trägt das System
Auf der Jagd nach Vitaminen stieß ich nur auf Rapbazillen
Ich bin körperlich so burner, dass die anderen MCs grillen
Humanoiden suchen Götter und MCs finden Rap
Meine Bibel hat sechs Worte: ""Ich bin tight, ihr seid wack!""

[Outro]
Yeah, yeah, Mikrokosmos, Rap-Soldaten, Untergrund bis zum Tod, nigga! Yeah, yeah, wir töten euch alle, yeah!

";"https://genius.com/Prinz-pi-keine-liebe-lyrics";"Released 1999
Producers

    
      Kick
Writers

    
      Prinz Pi"
"7";"Prinz Pi";"Schutzschild (Skit)";"Porno privat";"[Skit: Prinz Porno]
Prinz Porno ist so wie ein Schutzschild
Den man um sich aufbaut
Mit klar definierter äußerer Form
Es hilft die Leute von Außen abzuwehren
Die man nicht nach Innen lassen will
Man verhindert, dass Leute einem zu nahe kommen";"https://genius.com/Prinz-pi-schutzschild-skit-lyrics";"Released 1999
Producers

    
      Kick
Writers

    
      Prinz Pi"
"8";"Prinz Pi";"Jeden Tag";"Porno privat";"[Sample: Redman]Six million ways to die, so I choseSix million ways to die, so I chose

[Intro]
Yeah! Prinz Porno! Mikrokosmos! Rap-Label! Yeah!

[1. Strophe: Prinz Porno]
Yeah!
Yeah, hier kommt kein Liebeslied, damit wart' ich noch 'n bisschen. Aber wenn Du so willst, hier sind ein paar gerappte Küsschen
Die meisten schreiben Gedichte auf 'n Blatt
Aber ich mach' Dir 'n Track mit dem Sound meiner Stadt
Und falls ich mal nicht da bin, dann schmeiss mein Tape in's Deck. Denn wenn mein nie träumt, heisst das: Jungs, Hände weg!
Wer mal auf Wolke sieben chillt, kommt man ungern wieder runter
Vorher war alles schwarz/weiss, doch mit Dir wird's jetzt bunter
Auch wenn man's oft nicht glaubt, ich bin Romantiker
Nur verschick' ich keine Rosen, sondern Kopfnicker
Und der hier ist für Dich und sonst für niemand anderes
Fragen is es ""Die da"" machen nicht nur die Fantas
Prinz Porno hat die Antwort auf die Fragen gefunden
Und deswegen dreh' ich heute für mein Mädchen auf den Beat meine Runden

[Hook]
Jeden Tag auf der Suche nach dem Glück!
Stück für Stück kommen wir heran und irgendwann sind wir am Ziel!
Das Leben ist ein Spiel und ich rufe: Was geht?
Die Welt ist wie 'ne Platte, die sich dreht und dreht!
Jeden Tag auf der Suche nach dem Glück!
Stück für Stück kommen wir heran und irgendwann sind wir am Ziel!
Das Leben ist ein Spiel und ich rufe: Was geht?
Die Welt ist wie 'ne Platte, die sich dreht und dreht!

[2. Strophe: Prinz Porno]
99prozent aller Menschen sind Idioten
Und wenn Du mir nicht glaubst, check' die Fernseh-Einschaltquoten
Homo-Rap gehört verboten, es gibt vieles, was mich stört
Aber mein Tag is' gerettet, wenn die Nacht uns zwei gehört
Jeden Tag hören viele Leute die Texte, die ich schreibe
Aber alle bis auf einen, der is' nur für uns beide
Von dieser Kassette gibt es nur zwei Exemplare
Auf der ganzen Welt und deswegen besser gut verwahren
Eins für Dich, eins für mich und das reicht
Der Track is' wie ein Handy, das man immer erreicht
Selbst der grosse Teich is' nur'n kleines Stück
Der Boomerang-Effekt, was man loslässt, kommt zurück
So ist die Physik und so bleibt se noch 'ne Weile
Den Beweis dafür bring' ich für Dich auf meinen Zeilen

[Hook]
Jeden Tag auf der Suche nach dem Glück!
Stück für Stück kommen wir heran und irgendwann sind wir am Ziel!
Das Leben ist ein Spiel und ich rufe: Was geht?
Die Welt ist wie 'ne Platte, die sich dreht und dreht!
Jeden Tag auf der Suche nach dem Glück!
Stück für Stück kommen wir heran und irgendwann sind wir am Ziel!
Das Leben ist ein Spiel und ich rufe: Was geht?
Die Welt ist wie 'ne Platte, die sich dreht und dreht!

[3. Strophe: Prinz Porno]
Prinz Porno ist wie Superman und Friedrich wie Clark Kent
Du siehst, es hat 'nen Grund, wenn man mich schizophren nennt
Aber wer mich richtig kennt, kennt beide meiner Seelen
Sie haben das gleich Herz und deshalb muss man nicht wählen
Die Welt ist nicht Disney Land und ich nicht Mickey Maus
Wenn alle Köpfe nicken, dann ist das mein Applaus
Prinz Porno ganz privat is' 'ne neue Episode
Für mein Mädchen Nummer Eins mach' ich Wahnsinn mit Methode
Neuerdings steh' ich manchmal vor'm Spiegel und kriege Probleme damit, ob es tight is', was ich so anziehe
Ich liege nachts schlaflos auf meiner Matratze und schreibe Rap Gedichte in Gesellschaft meiner Katze
Ich bin Prinz Porno, Promolle Rap Crew, auf Platz Zwei ist das Mic und am Ersten bist Du!

[Hook]
Jeden Tag auf der Suche nach dem Glück!
Stück für Stück kommen wir heran und irgendwann sind wir am Ziel!
Das Leben ist ein Spiel und ich rufe: Was geht?
Die Welt ist wie 'ne Platte, die sich dreht und dreht!
Jeden Tag auf der Suche nach dem Glück!
Stück für Stück kommen wir heran und irgendwann sind wir am Ziel!
Das Leben ist ein Spiel und ich rufe: Was geht?
Die Welt ist wie 'ne Platte, die sich dreht und dreht!

[Outro]
Und dreht und dreht! Was geht? Was geht? Ihr versteht!
Yeah! Prinz Porno! Yeah! Neunundneunzig! Mikrokosmos Raplabel! Yeah! Für Vanessa! Yeah!

[Sample: Redman]Six million ways to die, so i chooseSix million ways to die, so i choose";"https://genius.com/Prinz-pi-jeden-tag-lyrics";"Released 1999
Producers

    
      Kick
Writers

    
      Prinz Pi"
"9";"Prinz Pi";"Mikrokosmos Weltweit";"Porno privat";"[Intro]

Yeah, yeah! Ihr seid wack!
Mikrokosmos weltweit!
Du bist wack!
Dein Demo ist wack!
Dein Label ist wack, yo!
Dein Produzent ist wack!
Dein Vater ist wack! Yeah!

[Part]

Doppel-P und Doppel-K sind wie doppeltes Debakel
Für Anti-HipHop Kraken mit Gegenrap-Tentakel
Aus der Liebe zu Musik wurde Hass auf Industrie
Mikrokosmos-Kompanie gegen Major-Hierarchie
Von der untersten Etage steigt das Feuer bis ins Penthouse
Porno gegen Panzer mit dem Mic als Panzerfaust
Wir laufen auf und fronten stark, übertrieben, aber ehrlich
Und was daran falsch sein soll, bleibt mir weiter unerklärlich
Das Kotelettenkollektiv, Hans Meiser und Rex Gildo
Ihr geht breitbeinig nach Hause auf Demo-Tape Dildo
Frauen hören meine Texte und halten sie für Scherze
Aber Porno Kid K.O. stopfen Mädels die Poperze
Bitte, wer waren die ersten, die den Mond betraten?
Los, sagt bloß, ihr glaubt ein paar schwarz-weiß Videos
In Hollywoodstudios schaffen teure Produzenten
Realität aus purem Dreck um den Rest der Welt zu blenden
Mit beiden Händen halt ich Puller und beginn zu strullern
Bis alle von euch Opfern von der Welt runterkullern
Mädels hören mein Tape und beginnen sich zu kitzeln
Ich bin Aggro-Rapper Sado gegen schwule Flowschnitzel
Mit Kid K.O. Symbiose, es ist Front gegen Homo
Rap Kollektiv, Madonna, Yoko Ono
Whitney Houston, Tyra Banks reisen an für meine Nüsse
Gebt mir Fünftausend Mark und Ihr dürft sie auch noch küssen
Yeah, MCs strotzen Dummheit, aber werden damit glücklich
Yo, Porno wirft das Mic auf den Boden, Neger bück dich
Keine Zeit für Zicken, weil keine Zeit für Bräute
Ich will massig Moneten und am liebsten auch noch Heute
Meine Beats sind Blutbad für Autos ohne Bässe
Porno HipHop-Bepanthen und Kid Kobra Wundkompresse
Im eignen Interesse, Finger weg vom R A P
Oder Uzi-Salven gratis von der Rückbank des Coupé
Ihr fresst LSD, hört mich rappen und sagt: ""Wasser!""
Aber Porno Sajid Nogga für alle Mullas Massa
Mein Rap ist wie Star Trek mit Fasern und beamen
Hände weg vom MKs Beats, denn auf den Snares liegen Minen
Rapper-Zombies werden gezüchtet und gemästet mit Kassetten
Um als Aggro-Rap-Soldaten jeden Feind totzurappen
Okay, Du darfst rappen, aber tu das bitte lautlos
MCs klauen Flows so wie Polen teure Autos
Stages sind wie Talkshows und du spielst Arabella
Eure Studios protzen Glanz, ich bin Untergrund wie Keller
Meine erste Gummipuppe bastelte ich aus Lego
Mit Noppen in der Fresse und boostete mein Ego
Kindheit, kleckern, kotzen und Eltern wollten helfen
Yo, ich fickte Peter Pan und alle seine Elfen
MCs tragen Texte und merken einen Satz
Battlezeit ist Samstagnacht um acht, Moritz-Platz

[Outro]

Yeah! Yeah! Mikrokosmos! Ich töte euch! Yeah!";"https://genius.com/Prinz-pi-mikrokosmos-weltweit-lyrics";"Released 1999
Producers

    
      Kick
Writers

    
      Prinz Pi"
"10";"Prinz Pi";"Nein (Skit)";"Porno privat";"Was? Wie? Du willst mir dein Auto schenken?
Ich rappe nicht auf deinem Tape. Niemals!
Ich ficke nicht deine Mutter. Ich brauche deine Mutter nicht
Nein du brauchst mir kein Geld zu geben
Nein, jetzt geh weg von meinem Puller
Nein, ich weiss dass ich tight bin
Was? Ich will deine kleine Schwester nicht ficken
Du darfst nicht auf meinem Demo featuren
Verpiss dich
Was? Wieso denn? Nein! Nein, ich will kein Geld für meine Raps
NEIN!";"https://genius.com/Prinz-pi-nein-skit-lyrics";"Released 1999
Producers

    
      Kick
Writers

    
      Prinz Pi"
