"","artist","title","album","text","url","metadata"
"1","Prinz Pi","Erstes Element","Radiumreaktion","[Cuts]

The devil dies, wait there is no Devil, I'm a rebel
Elevate to elven
The devil dies, wait there is no Devil, I'm a rebel
Elevate to elven

Now is that real, is it rap or is it Hip-Hop?
Now is that real, is it rap or is it Hip-Hop?
Now is that real, is it rap or is it Hip-Hop?
I-i-i-i-i-is it Hip-Hop?","https://genius.com/Prinz-pi-erstes-element-lyrics","Released 2002
Label

    
      Royal Bunker
Primary Artists

    
      Beatfabrik & Prinz Pi
Featuring

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Producers

    
      CV Scratch & Prinz Pi
Writers

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Label

    
      Royal Bunker"
"2","Prinz Pi","Picknick im Park (Rap ist Pt. 1)","Radiumreaktion","[Hook:]
Rap ist tückisch, doch macht mich glücklich
Ich zeige sicher nicht Rücksicht für behinderte Crews
Fick dich wir gehen zum Picknick in den Park
Und essen Rapper mit Senf
Meine Crew kämpft mit Intelligenz für Untergrund und gegen die Trends

[Verse 1:]
Ich bin wie ein Moog und kling erst ganz bei genügend Resonanz
Zeig' vier Finger in die Luftund schreiPanzDominanz
Wir laden Drums in der Angst verstörter Crews die sich uns beugen
Um aus ihrer Grundsubstanz neue Samples zu erzeugen
Mit Knüppeln und Keulen wir verbeulen Egos wie Pappe
PanzDominanz-Vollkontakt-Reim-Rap-Elite-Einheit-Attacke
Meine Flagge weht im Wind du bist blind wie ein Molch aus der Grotte
Meine Homies sind so down sie battlen meistens aus der Hocke
Ich stop Vermarktungs-strategien mit Tellerminen auf der Snare
Dein Rap beeindruckt mich sehr, wie eine Maus einen Bär
Mein Mund ist ein Gewehr das Worte lädt aus Magazinen die nie versiegen
Mein Rap bleibt unabweichlich in der Spur wie Schienen
Die meisten Flexer kennen das Wort über Ecken aus der Zeitschrift
Wenn ich so schreibe wie ich Reime schmilzt das Blei in meinem Bleistift
Es zeugt von Weitsicht unsere Tapes in Zehner-Packs zu horten
Unser Sound defragmentiert verklumpte Kinder Crews wie Norton
In Worten, ich bin so mackig, dass selbst Steve Jobs mich den Mac(k) nennt
Gegensätzlich bist du so Schmutz, dass man dich volkstümlich als Dreck kennt
Was man heute alles Rap nennt, kann ich nicht begreifen
Darum bleib ich profiliert und auf dem Boden wie Reifen

[Hook 2x]

[Verse 2:]
Rap ist wie Kriegspolitik alles hat sein Zielgebiet
Jeder hat sein Hauptquartier meines ist die Beatfabrik
Ich mach Musik wie Therapie auf der Couch, atme Rauch
Du bist auch ein Geschwür wie das Ding in meinem Bauch
Rap braucht keine Liebe, Rap braucht Beats mit lauten Drums
Rap braucht mehr Substanz, Rap braucht PanzDominanz
Ich bin verschanzt hinter Mauern und seh mit Bedauern
MCs sind Bauern, ich spiele mit Tower und setze euch matt
Mein Stift vergoldet das Blatt und ich press es zu einem Barren
Ich bin nicht zu Scherzen aufgelegt wie scharfe Knarren
Wir verharren in Posen mit Gangsigns, bei mir zu Hause hängt ein
Schild über dem Bett auf dem steht ""Hier pennt Rap""
Ich glaube Hip Hop braucht scheiße die auf Tapes das Band raucht
Du brauchst unser Tape und deine Freunde auch also kauft
Beatfabrik wir fahren los, Rap ist der Reisebus
Ich hab euch alle so sehr lieb, dass ich Steine schmeissen muss, Bitch","https://genius.com/Prinz-pi-picknick-im-park-rap-ist-pt-1-lyrics","Released 2002
Label

    
      Royal Bunker
Primary Artists

    
      Beatfabrik & Prinz Pi
Featuring

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Producers

    
      CV Scratch & Prinz Pi
Writers

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Label

    
      Royal Bunker"
"3","Prinz Pi","Herren der Welt","Radiumreaktion","[Intro]
Yeah!The boy is dangerous!You are connectedThis is a battle like we not think that we can win![???]Reconstruction complete...

[Verse 1]
Im Innern der Erde ist ein Land das durch Systeme von Milliarden von Spiegeln, die das Licht reflektierenIlluminiert wird,jeder stirbt der verrät wo einer der dreizehnEingänge liegt,durch die sie gehn, doch ihre ZeichenSind nur für Eingeweihte sichtbar.In jedem Schaltjahr kommen Zehn an die Oberfläche
Um sich mit Waffen aus Kristallen an der Welt zu rächen
Sie stechen Splitter in die Herzen der Bosse der Hochfinanz
Des globalen Kirchenkartells und der Nato-Allianz
Nicht ganz, aber fast wird das alles vertuschtVon dem Medienkomplott an dessen Schwanz die ganze Welt lutscht
Die Menschheit rutsch beharrlich von der Scheibe von der sie sagen, dass sie eine Kugel sei
Wobei sich freie Geister fragen
Warum in ihrem Magen die Larven einer Seuche
Auf Röntgenschirmen leuchten
Geklonte Viren aus feuchten
Sümpfen in Indien bedroh'n die Welt
Viele verschwinden
Noch mehr erblinden
Die Menschheit braucht Bunker im 21ten Jahrhundert!
Aber was mich wirklich wundert,sind die Massen von SignalenDie niemand sehen will weil die hypnotischen StrahlenAus TV, Radio und GSM-HandynetzenDie Gehirne zerweichen und die Synapsen zersetzen

[Hook]
Die wahren Herren dieser Welt, leben unter der ErdeSie sprechen lateinisch, und reisen auf Pferden
Mit Flügeln einem Horn, und goldenen Hufen
Sie rufen ""wir zerstören alles was wir erschufen!""

[2x]

[Verse 2]

Hinter Hochhausfassaden, und Reklamen in Leuchtfarben
Arbeiten Zwerge als Sklaven, sie landen mit Ballons und installieren Gehirnwaschautomaten
In den Hauptstädten der Erste-Welt-Staaten
Und fliegen wieder davon
Irgendwo im Vietkong zwischen Feldern von Mohn und Reis
Liegt in einer Pyramide der Eingang, von dem ich weiß
In einem steinernen Kreis, mit zwei gekreuzten Rosen
Großen Symbolen auf denen sich Monster Menschen holen
Um das Tor zu öffnen führt man einen Stab Uran zwischen
Die Lücken der zweiten Statue von rechts und mit einem Zischen
Öffnet sich ein Gang zu Welt der Wunder, unter der Schale
Das gelobte Land, das uns falsche Propheten versprachen
Sie brachen unsern Glauben und erstickten jede Hoffnung im Keim
Es ist gemein, aber dennoch nicht zu ändern
Unter Ozean und Ländern liegt das Land der alten Weisen
Tellurische Ströme die Kontinente zerreißenSind das Netz das sie spinnen.Wenn Leute verschwinden
Sucht man falsch bei den Ufos,denn das Böse liegt Innen!

[Hook]

[2x]

[Verse 3]

Vernichtet eure Implantate, denn jeder trägt sie im Nacken!
Kochendes Wasser zerstört sie und man kann sie auskacken
Panikattacken, Angst und synthetisches Glück
Lenken die Massen doch wer erleuchtet ist, wird davon verrückt
Es gibt keine Fremde Intilligenz, oder höheres Prinzip
Die Wahrheit liegt sechs Kilometer unter dem Zenit
Die Wächter der gläsernen Stadt Agatha beschützen hinter Siegeln
Das Geheimnis der Herkunft, der sieben Bibeln, wenn ich sage was ich weiß
Explodieren meine Lungen
Deshalb bleibe ich leise, und denke schei___

[Hook]

[3x]","https://genius.com/Prinz-pi-herren-der-welt-lyrics","Released 2002
Label

    
      Royal Bunker
Primary Artists

    
      Beatfabrik & Prinz Pi
Featuring

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Producers

    
      CV Scratch & Prinz Pi
Writers

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Label

    
      Royal Bunker"
"4","Beatfabrik","23 (Rap ist meine Schwester)","Radiumreaktion","[Hook] (x2)
Rap ist meine Schwester und ich schütze ihre Ehre
Soldaten unsrer Sorte schultern Mikros wie Gewehre
Salutieren, exerzieren, fokussieren und drücken ab
Laden nach, schießen nochmal, Nacht für Nacht auf der Jagd

[Part 1: Ben Salomo]
Fernab von Dogmen und absurden Gesetzen
Steppen die Meister in die Cypher um für die Wahrheit zu kämpfen
Die Zeiten ändern sich, während wir konstant bleiben
Unabhängig von Marketingstrategien und Bandbreiten
Ich checke die Szene, metzel und battle' all jene
Zu Boden, die es wagen schlecht über meine Loge zu reden
Ich hol mir den Segen Gottes und leg' die Karten auf den Tisch
Ben Salomo mit Beatfabrik, Illuminaten-Shit!

[Part 2: Smexer]
Mein Name ist blank und das schreibt immer anders, wenn überhaupt
Ich rahme ein Gold mit Illuminaten, das kein Standard überrollt
Wenn ich schon höre, für gewöhnlich habt ihr was ich sage gewusst
Fange ich an zu schreien und frage warum ich es immer wieder sagen muss!
Ich bin ehrlich, nur zu mir selbst, ein Produkt der Fabrik
An der Front, wie mein Team meine Subkultur schreibt die Beats
Beatfabrik, wir bleiben in Kämpfen, jetzt wo ganz Berlins rappt
Der Champagner dieser Krone schäumt mehr als alter Sekt

[Part 3: Kid Kobra]
Du bist in mein Augen leider Dreck und nicht real
Wie ein Geist, das heißt ich hör' dich nicht auch wenn du schreist!
Du bist vielleicht ein harter Typ, doch von innen weich
Du denkst wirklich deine und meine Crew wären ein bisschen gleich?
Wer hat deinen Verstand geklaut, dass du ernsthaft glaubst
Ich wäre down, geh zurück und recorde weiter mit Clowns!
Ich zertrampel deinen Traum, du willst rappen? lass mal schau'n
Bitch doch leider engst du Rap zu sehr ein wie ein Zaun
Ich lass Rap freien Lauf und nehme alles in Kauf
Ich hab zuviel Druck in mir und lass alles raus wie ein Schlauch
Ist mir egal, was du brauchst, komm her, du bekommst es auch
Ab heute hörst du Rap nicht mehr mit deinen Ohren, sonder mit deinem Bauch
Du willst fühlen, wie ich auch, ich bin niemand weit voraus
Ich bin nicht arrogant, ich kann nur keinem von euch vertrauen!

[Part 4: Asek]
Ihr seid pausenlos am biten, alles andere als Eisen
Ich schieß' mit flammenden Flows und treff' euch wie ein Blitz beim Scheißen
Ich kick meine Lines unaufhaltbar wie in alten Zeiten
Illuminaten, Beatfabrik sind am Mic und stapeln Leichen, yeah
Wir fahren auf unserer Schiene, kompromisslos wie ne Dampflok
Sind ne neue Generation, vom Bandog zu 'nem Maulkorb
Jeder Versuch uns aufzuhalten endet im Verderben
Ich lass Taten sprechen und schaff Hölle auf Erden

[Part 5: Prinz Porno]
PanzDominanz rupft dein Rap wie eine Gans
Asketisch wie ich lebe ernähre ich mich von Drums
Der Krampf den du Flow nennst bringt dich vorwärts - in den Müll
Rap ist wichtig für mein Leben wie für Pflanzen Chlorophyll
Beatfabrik-Alternative wir verfolgen dunkle Ziele
Wie Illuminaten im Zeichen der 2 vor der 3
Durch Rap bin ich fly, aber was ist die Matrix?
Ich umkreise als Kranich Beatfabrik meine Basis

[Hook] (x4)
Rap ist meine Schwester und ich schütze ihre Ehre
Soldaten unsrer Sorte schultern Mikros wie Gewehre
Salutieren, exerzieren, fokussieren und drücken ab
Laden nach, schießen nochmal, Nacht für Nacht auf der Jagd","https://genius.com/Beatfabrik-23-rap-ist-meine-schwester-lyrics","Released 2002
Label

    
      Royal Bunker
Primary Artists

    
      Beatfabrik & Prinz Pi
Featuring

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Producers

    
      CV Scratch & Prinz Pi
Writers

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Label

    
      Royal Bunker"
"5","Prinz Pi","Wake Up","Radiumreaktion","[Cuts] 4x

D-d-d-d-don't sleep!","https://genius.com/Prinz-pi-wake-up-lyrics","Released 2002
Label

    
      Royal Bunker
Primary Artists

    
      Beatfabrik & Prinz Pi
Featuring

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Producers

    
      CV Scratch & Prinz Pi
Writers

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Label

    
      Royal Bunker"
"6","Prinz Pi","Morgens","Radiumreaktion","[Part]

Es ist fünf Uhr früh am Morgen und ich gehe durch meine StraßeViel zu lange Nächte wie Tage, jetzt will ich nur noch schlafenAber während ich so gehe, wird alles ausgeblendetImmer dunkler wie ein Dimmer und die Welt um mich verschwindet
Nur noch Schwärze um mich rum und Stille, dann Gemurmel
In Sprachen die ich nicht spreche doch ein Wort erkenn ich, Porno
Da ein Spotlight auf mich weist
Das Licht, ich muss blinzeln und fühle mich beobachtet
Von tausenden Augen und Linsen
Ich schweb in der Mitte einer Arena auf einer Plattform mit Düsen
Die Masse erhebt sich von den Plätzen um die Kämpfer zu begrüßen
Ohrenbetäubender Lärm, von weit entfernten Sternen
Kamen Wesen jeder Rasse her um diesen Fight zu sehen
Der Champion der Galaxis baut sich auf vor mir mit tausend Gliedern
Drei Köpfen, Takt nickend, hassblickend, Gruß erwiedernd
Da kommt der Beat rein, mit Snares die mich zu Boden drücken
Der Gegner macht sich bereit, mir läufts kalt über den Rücken
Zehntausend Aliens nicken mit verschiedensten Körpern
Schreien in zehntausen Sprachen Sprüche die mich zum Kampf fordern
Das Alien vor mir entfaltet Dinger die ich für Arme halte
Fünf Meter lang sind, und sich in zwanzig Finger spalten
Geschärfte Krallen an allen, eine Riesenlunge, sie pumpt
Die Luft in drei Köpfe mit zehn Augen und jeweils einem Mund
Er rappt in einer Srache mit mehr Vokalen, Konsonanten und Frequenzen
Mit drei Stimmen geschuffelt, klar ist, dass sie mich bekämpfen
Seine Krallen schwingen wie Sensen, die Luft fängt an zu glitzern
Er fokussiert mich mit allen Augen und schießt auf mich mit Blitzen
Da kommen die ersten Feuerbälle! Und streifen mich am Arm
Mein Hemd zerreißt, und Blut fließt auf meine Haut, es wird warm
Sein Organ hart im Kanon mit sich selbst über den Beat
Reißt Löcher in die Luft aus der er neues Feuer zieht
Das Mic das in der Mitte steht, dreht sich um und schwenkt
An einem hydraulischen Gelenk bis es vor meiner Nase hängt
Ich sauge Luft ein und bemerke wie sich meine Glieder stärken
Meine Blicke verschärfen und meine Fäuste sich härten
Glied für Glied überzieht meinen Körper flüssiges Chrom
Und ich schwebe wild flexend vor diesem Mikrofon
Das Chrom pulst im Takt, gibt mir Kraft und ich schieße
Mit tausend Fäußten die sich spiegeln während sie das Monster prügeln
Je mehr Punchlines ich gebrauche umso tiefer ich tauche
Base und Snare seh ich vor mir das Monster aus Wunden rauchen
Umso mehr Schläge wir tauschen drück ich ihn zurück mit Feuerbällen
Laserstrahlen, Chrompunches und Plasmaschellen
Er kippt langsam um, das Mic wird rot, die Menge tobt
Ich spring rüber auf seine Plattform, und helfe ihm hoch
Unfassbarer Applaus, die ganze Galaxie im Haus
Er nickt nur als ich zu ihm sag, ey wir machen einen drauf
Sonderbar, Sonderbar, die Bar wo ich dann trinken war
Flüssiges Methylbier, manche Drinks stinken zwar
Knallen doch. Ich häng mit Wesen die meine Gedanken lesen
Und ich denke ""Ey! Ich sauf euch Wichser unter'n Tresen!""
Alienbitches mit zehn Titten und ann jeder sechzehn Nippel
Nicken zu meinen Geschichten während sie Blausäure kippen
Wir rauchen Kippen mit Plutogras, legen Lines Andromedas
Und zieh'n an Pfeifen vom Saturn mit irgendwelchem etwas
Kommt ein Typ mit elf Armen und zwei Mündern die mich fragen
Vielleicht könnte er auf ein Beatfabrik-Tape ein Autogramm haben
Ich sag ""Klaro mein Freund!"", wir machen Jams auf dem Pluto
Und er macht von uns beiden ein holographisches Foto
Noch ein letztes Lavabier, Promolle MC's mein Revier
Ist jede Bar von Westberlin bis zum Spiralnebel C4
Ich nicke ein im Barstuhl, und schnarfe mich zum Schlaf
Selbst im Traum bin ich noch knüll und seh' ein doppeltes Schaf
Da sagt eine Stimme die ich kenne, warum ich denn so penne
Ich öffne meine Augen und liege in Kick seinem Sessel
Im Beatfabrik-Keller, Smex und Kick liegen auch rum
Gucken auf den Power-Mac, dann schaun sie beide dumm
Viele Spuren an die sich niemand von uns dreien mehr erinnert:
Irgendwie war alles anders, aber dann doch wie immer...","https://genius.com/Prinz-pi-morgens-lyrics","Released 2002
Label

    
      Royal Bunker
Primary Artists

    
      Beatfabrik & Prinz Pi
Featuring

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Producers

    
      CV Scratch & Prinz Pi
Writers

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Label

    
      Royal Bunker"
"7","Prinz Pi","Nachtaktion","Radiumreaktion","Joooaaaa Beatfabri-iik..

[Part 1(Prinz Porno)]
3 MCs mit Zwangsjacken scharfe Waffen und nicht Attrapen
Lang wie die Hälse von Giraffen sind die Würste die wir kacken
Ich und meine Crew, wir bleiben true zu Suizid
Kamikaze ich zerhacke deinen Vertrag, Beatfabrik!
Ich will Krieg mit mir selber und fange an mich selbst zu schlagen
Schieße mir noch in den Kopf und steche mir die Messer in den Magen
Meine Freunde sagen dass ich gehen soll weil ich sie nur stresse
Ich nehme das Beil und hau mir damit solang in die Fresse bis sie platt ist
Der Junge der Text schreibt und danach das Blatt frisst
Und solang damit weitermacht bis er irgendwann völlig satt ist
Die Zeichen dieser Zeit stehen auf meiner Haut gebrannt
Wo sie noch da ist - Westberlin mein Vaterland!
Ich hab ne Kule in der Wand weil mein Kopf dagegen schlägt
Ich bin der, der sein Fleisch zerlegt und sich in die Knochen sägt
Ich horte seit 10 Jahren meine Popel und die Fäkalien
Aus dem Wasserhahn in meinem Bad fließt pures Zyankali
Warum ich rappe was ich rappe? weil ich bin wer ich bin!
Ich liege in der Badewanne und das Blut steht bis zu meim Kinn (blololo)
Ich weiß nicht warum ich noch lebe selbst der Teufel ist am schwitzen
Wenn mein Gehirn mutiert und die Augäpfel zerspritzen
Der Zombie aktiviert – NIGGA – durch deine Blicke
Ich esse deine Zunge bevor ich dich ZERFICKE

[Hook(Prinz Porno)] 2x

Wir suchen einen Körper für die Lebensform die wir
Vergewaltigte Schale des inneren Kerns von Rap nennen
Manche kennen sie als Konzentrat von purer Macht für Wesen die nicht Rap leben
Aber die meisten können sie nicht von uns trennen

[Part 2 (Kid Kobra)]

Die drei verrücktesten ins Mic beißenden auf alles scheissenden
Zeig mir einen von deinen Drecksflows und ich zerreiß dich Bitch
Ich bin so heiß auf dich dass ich Nächte lang drauf warte
Zitternd in mei'm Zimmer sitze und mein Kopf gegen die Wand schlage
In der einen Hand 'ne Granate ich bin suizidgefährdet
Doch ganz ehrlich, sperrt mich in ne Klapse ich bin zu gefährlich!
Schmerzen kenn ich nicht ich schneid mir in die Venen, um nur zu sehen
Was passiert doch nigga ich kann ohne Blut leben! Yeah
Und bin ich dein Freund, bin ich dein Bester
Bin ich dein Feind, bin ich dein Größter!
Charlie Reiz und Geiz sucht einen Platz in meinem Körper
Ich bin kranker Massenmörder, Psychopat, ich vergewaltige
Ehepaare, kleine Kinder, Tiere und auch Heilige
Ich steigere Flow und Hass und pack Leichenteile in einen Sack
Setz mich nackt dazu mit Knarre an der Schläfe und drück ab!

[Part 3 (Smexer)]

Drei Gründe die mich halten sind meinen Feinden Halt zu schenken
Das sind Falten von Gewalt und halbe Sachen zu ergänzen
Wenn ich renne steh ich auf mei'm Mic
Wenn alles schläft gibt’s einen der schreit
Mein Leben ist ein Album voll mit allem was die Welt verschweigt – bitch!
Das alles was nicht glänzt will ich nicht, würg
Bei euch ist klar für mich zählt Schlachten in verbaler Form
Ausrasten und in Wunden bohren
Mein erstes Wort war Suizid von dort wo man auch Hassen liebt
In Massen haben wir Reaktionen, wie Radium sind nicht einzuholen
Nun hör auf mich in meiner Form mein Wald in Bonnys Ranch geboren
Lass mich als Hund auf alles los was grundlos meiner Rasse droht

[Hook (Prinz Porno)]

[Part 4: (B-A-DI)]

Drei MCs wie Tiere, alle drei dicker Hodensack wie Stiere
Ihre funktionieren vergiss die tausend Bibeln
Ist das Standardgebet das deutsche [bohrengas] der um Gesundheit fleht
Wo ist das Gerät entweder will ich Boxen oder Fitness
Dann hol ich mir einen runter und komm drauf
Diskus ist scheisse wie Ziskusinform die mädchen stehen halt drauf
Schluss wie ein [Zivadi] ist in der Vergangenheit jetzt ist die Zeit
Der Rächer der schlechten Paaarties unsterblich als hätten sie vom Gral
Getrunken wir sind die Killer wie der Wal
Und sprühen Funken wie Drachen
Kauft mein Dope und zieht es durch den Rachen
Ich mag selbst Frauen mit flachen Brüsten
Wenn Samen in meine Mörserrohr aufrüsten
Von Berlin aus Bier franchiert Beatfabrik für Hosé
Rap Shit an die Küsten von Afrikas, and die Küsten Amerikas, an die Küsten Europas
Fick das was is los meine Wut ist riesengroß
Ich gehe ab wie DR. Zorn ich betäusche Horn in diese Welt geboren
Zu dope um wahr zu sein zu dope um klar zu sein
Hihiyeah für den Rest meines Lebens werde ich scheinen
Diggah, ihr nehmt Rücksicht? Auf keinen!","https://genius.com/Prinz-pi-nachtaktion-lyrics","Released 2002
Label

    
      Royal Bunker
Primary Artists

    
      Beatfabrik & Prinz Pi
Featuring

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Producers

    
      CV Scratch & Prinz Pi
Writers

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Label

    
      Royal Bunker"
"8","Prinz Pi","H_Eiskalt","Radiumreaktion","[Part 1]
Hallo Bitch, Du hast Tränen im Gesicht
Das ist cool! Du weißt, so was freut mich
Ich bin freundlich, warum sollte ich Dich hassen?
Vielleicht weil Du meinst, daß wir nicht zueinander passen?
Ich finde das fresh, außerdem hast Du recht
Ich kriege nichts auf die Reihe und verdiene zu wenig Cash
Du warst sehr rücksichtsvoll und standest hinter dem, was ich tat
Abgesehen von allem, was ich mag
Inzwischen find' ich auch, Rapmusik ist viel zu kindisch
Ich rede viel zu prollig. Sollte ich nicht?
Du benimmst Dich sehr erwachsen und bist überaus reif
Gegen Dich bin ich ein Nichts, Du warst viel zu gut für mich
Die Frauen, die sagen, sie wollen sich gerne mit mir treffen
Wollen eigentlich nix von mir und sind ja auch alle sehr hässlich
Ich weiß nicht, ob ich es raffe Dir diesen Track zu geben
Schließlich krieg' ich nix gebacken und verpeile mein Leben

[Hook: 2x]
Was mal neu war, wird alt
Und alles Heiße wird kalt
Alles Richtige falsch
Und Tränen schmecken nach Salz!
Ich bin jung, wütend und schlau
Ohne Geld und ohne Frau
Dafür weiß ich jetzt genau
Ich kann niemand vertrauen!

[Part 2]
Es ist nur ein neuer Tag
Ein neuer Rap auf dem Schlag
Mit meinem neuesten Paar Clarks
War ich spazieren im Park
Ich hab' mich gefragt, warum Du mich nicht mehr magst
Oder brauchst oder willst, ich hab' einen sehr guten Schlaf
Herzlichen Glückwunsch, Du hast Dich wirklich entwickelt
Du bist so wenig geil auf Geld wie der Halbmond eine Sichel
Ich finde, cool, Du bist genauso materialistisch
Wie das neunzig Grad bitchig
Ich glaube, du bist sehr glücklich
Und das Beste, ich auch
Ich hab' zwar Wut in meinem Bauch
Doch ich sammel' noch ein bisschen
Und dann lass' ich sie raus
Gib mir fünf und hau' rauf
Ich bin leider primitiv
Doch seit Du weg bist
Hab' ich endlich wieder Zeit für Beef

[Hook 2x]

[Part 3]
Willst Du wissen, was ich mache?Nicht daß es Dich interessiert!
Ich bin noch immer an mein' Mac und auf Grafik-Shit fixiert
Im Gegensatz zu Dir bin ich mit mir ganz zufrieden
Aber Du hast natürlich recht: Ich muss unbedingt studieren
Wie alle Deine Freunde, ich nehm' sie mir als gutes Beispiel
Schade, dass meine Eltern nicht annähernd so reich sind
Aber egal, demnächst trag' ich Ralph Lauren Uniformen
Wie neunzig Prozent von allen, die hier wohnen
Meine Freunde sind Proleten?
Das kann ja sein, aber letztlich
Sind sie die besten! Wer von uns beiden ist oberflächlich?
Du bist inzwischen wie meine Ex nach dem Abi
Nur hatte sie etwas mehr Busen, Style und Armani
Was aber eigentlich egal ist. Irgendwann sieht man sich wieder
Beim nächsten Mal zeig' ich für Dich meinen Mittelfinger auf Viva

[Hook 2x]","https://genius.com/Prinz-pi-h-eiskalt-lyrics","Released 2002
Label

    
      Royal Bunker
Primary Artists

    
      Beatfabrik & Prinz Pi
Featuring

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Producers

    
      CV Scratch & Prinz Pi
Writers

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Label

    
      Royal Bunker"
"9","Prinz Pi","Skitt","Radiumreaktion","[Cuts]

Did you wasteing time, can't be what I got
See I activate who's with them, and sounds
From the dirt to the skyline, I always find the most of what I got to keep the (?)","https://genius.com/Prinz-pi-skitt-lyrics","Released 2002
Label

    
      Royal Bunker
Primary Artists

    
      Beatfabrik & Prinz Pi
Featuring

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Producers

    
      CV Scratch & Prinz Pi
Writers

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Label

    
      Royal Bunker"
"10","Prinz Pi","High-Tech-Rapclick","Radiumreaktion","[Part 1]

Yüüah!
Ich steh für Rap wie drei mal sechs für Satan steht
Bei uns in Westberlin interessiert es niemand was in Hamburg geht
Kollege dein Tape zerdreht den Tonkopf und verwickelt sich
Erkennt von selbst, dass es Grind ist, und zerschnippelt sich
Ich seh das Toy in euch, HIV das Mic's verseucht
Vor ihrem Hass den Rücken beugt, und dann schwule Kinder zeugt
In Westberlin ticken die Uhrne wie Spuren von Snare und Highhat
Aus der Luft gesehen ist meine ganze Stadt ein Vortrack
Für dich: H und Crack, für mich: Base und Rap
Das Problem ist ich guck Viva und find eigentlich alles wack!
MTV fett Dreck, Rapdeutschland wack
Charts die Bomben der Nation Beatfabrik und Kiloharz
Ich mach mein Talent zu Rap, Cowboy, mit Mic als Colt
Die Industrie sind Alchemisten denn sie machen Dreck zu Gold
Elitär? oh yeah! Ich will Snares die nach Klatsch klingen
Wie die aufprallenden Körper von Selbstmördern die vom Dach springen
PanzDominanz, PrinzPorno und TommieGun
Bist du down mit Berlin West zeig das W mit deiner Hand
Sag ich bete zu Rap, Rapper machen Rap wie sie leben
Rap ist Degen in der Wildnis, den man braucht zum Überleben
Es ist geben und nehmen, Homie, beleb dich des Rappens
Weil Rappen ist wie Ficken und du lässt ihn immer stecken

[Hook] 2x

Hightech, sweep in, hasst Rap, Rap bunch
End Click, High-Volt, PandDominanz Rap-
Gang Epos, Starkmacht Monster Bros
Prinz Porno, Tommie Gun kifft für die Nigger Rows

[Part 2]

Manche sagen ich nehm den Mund zu voll mag sein
Aber mit Flows am Mic für meine PanschDominanz NiggaRows
Ich rappe weil ich finde deutscher Rap könnte so gut sein
Und deswegen steck ich weiter in jedes Tape Schweiß und Blut rein
Nicht zu trennen mit Eskapaden wie QB mit meinem Namen
Manche rappen mit dem Mic andere mit Farben
Doch vor allen Dingen haben wir Styles wie Buchstaben
Die hoch über der Stadt auf Rooftops aufragen!
Manche sagen dass ich am Mic scharfe Schusswaffen gebrauche
Nach'm Rappen qualmt mein Maul wie Knarren die aus'm Lauf rauchen
Montag rutertauchen mein Rap als mein Teleskop
Ich seh viele Rapper unterwegs auf dem Meer im Gummiboot
Luft raus, Crew tot! Prinz Porno Rap Uboot
Mit Tommie Gun als Steuermann Rapper geraten in Not
Meine Tracks sind für Crews Nachrichten, die Angst geben
Für die Info du hast Krebs und noch zwei Monate zu leben
Crews sind ehrlich stolz darauf emanzipiert zu sein
Nach Adam Riese ist eine Bunch am Mic auch zu viert allein
Ich Pitch mein Samples ein, Synthisizer Baseline
Spiele auf dem Keyboard meine Hook und Rap den Text ein
Solang bis meine Stimme schwillt in der Spinne das Mic vergrillt
Mic aus seiner Spinne springt und dann noch meine Stimme killt
Man sagt es kommt von überall wie schwerelos und Freifall
Du willst die Base gebounced? ey ich Sample den Urknall

[Hook] 2x

[Hook] 4x","https://genius.com/Prinz-pi-high-tech-rapclick-lyrics","Released 2002
Label

    
      Royal Bunker
Primary Artists

    
      Beatfabrik & Prinz Pi
Featuring

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Producers

    
      CV Scratch & Prinz Pi
Writers

    
      Asek, Ben Salomo, Kid Kobra & 4 more
Label

    
      Royal Bunker"
