"";"artist";"title";"album";"text";"url";"metadata"
"1";"Prinz Pi";"Das Mädchen vom Werbeplakat";"Rap mich am a";"[Refrain I]
Stella, sie ist das Mädchen vom Werbeplakat
Stella, sie ist das Mädchen aus der Stadt beim Ärmelkanal
Stella, sie fühlt sich der Ferne so nah
Stella das Mädchen, ihre Augen sind wie Sterne so klar

[1. Strophe]
Im Gedränge des Clubs, die Enge der MuffWo so manche Schönheit in der Menge verpufft
Da erkannte ich sie, tanzend und wild
Und die Zeit hielt an, gebannt in ein Bild
Umkreisten sie Farben und Strahlen von Licht
Der silberne Pinsel des Stroboskops malt ihr Gesicht
Glitzernde Augen, ich merk', ich schwärme beinah
Seh' sie tanzen und fühle mich den Sternen so nah
Sie ging mit Asche zum Berg, brachte Feuer ins Tal
So leuchtend, so nah, es is' alles erneuert, ich sah
Eine Göttin, ein Wunder,Angeberei Gottes
Er zeigt, was er kann mit ihr, ihr Blick ist so trotzig
Ein grauer Nikita-Kapuzenpullover
Und Augen so groß wie auf schmutzigem Koka
Ich kann sie nich' ansprechen, aus Mangel von AnlässenGott - wie mich all die anderen anätzen

[Refrain I] (2x)

[2. Strophe]
Sie trägt Absätze, die alle anderen herabsetzen
Ich will mich mit Stella in ein Pub setzen, Bier trinken
Von Tellern aus Pappe essen,ihr winkenAus dem Auto, wo das Radio nur Lieder spielt, die nach ihr klingen
Schreib' ihren Namen überall hin
Verliebte Schmierfinken verstehen auch Tierstimmen
Stella ist der Name, den ich mei'm Traum gegeben hab
Ob Metropole oder Eintausend-Seelen-KaffDu bist die erste der Stadt, der Hauptnerv der Nacht
Der Name am Heck meiner Jacht
Der Schatz, der versteckt unter Bettdecken is'
Der golden funkelnd, wenn man kurz vorm Wegpennen is'
Stella das Mädchen, Stella die Idee,Stella die Fee
Stella der Wind macht die Wellen im See
Stella Deluxe, Stella von Glück
Stella das X, völlig nach Stella verrückt

[Refrain I] (2x)

[3. Strophe]
Ich stand auf dem Gehweg, tausend Leute, die vorbeigingenSchultern, die mich streiften, sah sie ihren Chai trinken
Durch die Scheibe des Einstein-Cafés
Ich stand entspannt neben parkenden Maybach-Coupés
Sie stieg in den alten Käfer, in einem grün' ParkaStilsicher,braune Augen, die glüh'n wie Lava
Unnahbar, Frühstück bei TiffanyJetzt schon ein Klassiker, fast eine Hysterie
Sie stieg aus einer Jeans-Reklame in die Friedrichstraße
In die Wirklichkeit,ein Star wie ihr Name
Sie verschwand im Verkehr, ich fand sie nie mehr
Die Hände, die sie nie berührte, brannten so sehr
Meine Stadt erkannt' ich nich' mehr, ich such sie seitdem
Warum musste mir das Schicksal diesen Fluch auferlegen?
Warum erlaubte ihr Gott, so gut auszuseh'n?
Sie schafft es Dummes zu sagen, dabei klug auszuseh'n

[Refrain II]
Sie ist das Mädchen vom Werbeplakat
Sie ist das Mädchen aus der Stadt beim Ärmelkanal
Sie fühlt sich der Ferne so nah
Stella das Mädchen, ihre Augen sind wie Sterne so klar

Sie ist das Mädchen vom Werbeplakat
Sie ist das Mädchen aus der Stadt beim Ärmelkanal
Sie fühlt sich der Ferne so nah
Stella das Mädchen, ihre Augen sind wie Sterne so nah";"https://genius.com/Prinz-pi-das-madchen-vom-werbeplakat-lyrics";"Released 2007
Featuring

    
      50 Cent, Kid Kobra, Ludacris & 3 more
Producers

    
      Timbaland
Writers

    
      Kid Kobra & Prinz Pi
Label

    
      No Peanuts"
"2";"Prinz Pi";"Can’t tell me nothing RMX";"Rap mich am a";"[Part 1 (Prinz Pi)]

Hochgeklappter-Kragen-Style, Ku'damm-Parade-Style
Ihr seid nicht credibil durch das Tragen eines Arschgeweihs
Rap mich am A! Sie klauten uns die BuchstabenUnd das nur weil wir ein bisschen geflucht haben
Prinz Pi gegen Rapper mit dem Dipset-Flow
Die noch Mitglid sind im Fanclub von Tic-Tac-Toe
Seit den Fanta-4 ist vieles anders hier
Rap mich am A! und wir hol'n uns an der Tanke Bier

[Part 2 (Kanye West)]

La, la, la la
Wait 'til I get my money right

I had a dream I could buy my way to heaven
When I awoke, I spent that on a necklace
I told God I'd be back in a second
Man it's so hard not to act reckless
To whom much is given, much is tested
Get arrested guess until he get the message
I feel the pressure, under more scrutiny
And what I do, act more stupidly
Bought more jewelry, more Louis V
My Momma couldn't get through to me
The drama, people suing me
I'm on TV talking like it's just you and me
I'm just saying how I feel man
I ain't one of the Cosby's, I ain't go to Hillman
I guess the money should've changed him
I guess I should've forgot where I came from

[Hook: (Kanye West/ Young Jeezy)]
La, la, la la
Wait 'til I get my money right
La, la, la la
Then you can't tell me nothing, right?
Excuse me, was you saying something?
Uh uh, you can't tell me nothing
You can't tell me nothing
Uh uh, you can't tell me nothing

[Part 3 (Kanye West)]

Let up the suicide doors
This is my life homie, you decide yours
I know that Jesus died for us
But I couldn't tell ya who decide wars
So I parallel double parked that motherfucker sideways
Old folks talking bout back in my day
But homie this is my day
Class started 2 hours ago, oh am I late?
No, I already graduated
And you can live through anything if Magic made it
They say I talk with so much emphasis
Ooh they so sensitive
Don't ever fix your lips like collagen
And say something when you gon' end up apologing
Let me know if it's a problem then, aight man, holla then

[Hook: (Kanye West/ Young Jeezy)]

[Part 4 (Young Jeezy)]

Let the champagne splash
Let that man get cash
Let that man get past
He don't even stop to get gas
If he can move through the rumors
He can drive off of fumes cause
How he move in a room full of no's?
How he stay faithful in a room full of hoes?
Must be the pharaohs, he in tune with his soul
So when he buried in a tomb full of gold
Treasure, what's your pleasure?
Life is a, UH, depending how you dress her
So if the devil wear Prada, Adam Eve wear nada
I'm in between but way more fresher
With way less effort, cause when you try hard
That's when you die hard
Your homies looking like why God
When they reminisce over you, my God

[Hook: (Kanye West/ Young Jeezy)]";"https://genius.com/Prinz-pi-cant-tell-me-nothing-rmx-lyrics";"Released 2007
Featuring

    
      50 Cent, Kid Kobra, Ludacris & 3 more
Producers

    
      Timbaland
Writers

    
      Kid Kobra & Prinz Pi
Label

    
      No Peanuts"
"3";"Prinz Pi";"This is why I’m hot KISS FM exclusive";"Rap mich am a";"[Part]

Oh, was für eine kleine Welt
Da habt ihr euch auf die Frequenz auf der ich rappe gerade eingestellt
Und der Sommer war Tech dieses Jahr
Dafür bin ich dann im Herbst auf Rap mich am A!

[Outro]

Rap mich am A!, diese Woche mit Prinz Pi
Montag bis Freitag abends von neun bis zehn
Nur auf KISS FM";"https://genius.com/Prinz-pi-this-is-why-im-hot-kiss-fm-exclusive-lyrics";"Released 2007
Featuring

    
      50 Cent, Kid Kobra, Ludacris & 3 more
Producers

    
      Timbaland
Writers

    
      Kid Kobra & Prinz Pi
Label

    
      No Peanuts"
"4";"Prinz Pi";"This is why I’m hot RMX";"Rap mich am a";"[Intro]

Oh, was für eine kleine Welt
Da habt ihr euch auf die Frequenz auf der ich rappe grade eingestellt
Und der Sommer war Tech dieses Jahr
Dafür bin ich dann im Herbst auf Rap mich am A!

This is why I'm hot, This is why I'm hot
This is why, This is why, This is why I'm hot
This is why I'm hot, This is why I'm hot
This is why, This is why, This is why I'm hot

[Part 1 (Junior Reid)]

This is why we hot, this is why we hot
This is why we hot, this is why we hot, whoa oy wuy!!!
Di girls dem love we so we know seh we hot
Hot inna di charts, this is why we hot
Step inna di club a champagne we a pop
Serious mi serious and a chat we a chat
Di girls dem love we cau we top certain spots
This is why, this is why, this is why we hot
Di whole a Jamaica yes dem know seh we hot
Di whole America yes dem know seh we hot
Mr. Junior Reid come a bless this a chat
Blackout Movement so One Blood family ever hot
Number one record pon di billboard spot
This is why, this is why, this is why we hot

[Hook(M.I.M.S.)]

This is why I'm hot (Hot) This is why I'm hot (Hot)
This is why, this is why, this is why I'm hot (Hot)
This is why I'm hot (Hot) This is why I'm hot (Hot)
This is why, this is why, this is why I'm hot (Hot)
I'm hot cause I'm fly, you ain't cause you not (Not)
This is why, this is why, this is why I'm hot (Hot)
I'm hot cause I'm fly, you ain't cause you not (Mims!!!!)
This is why, this is why, this is why I'm hot

[Part 2 (Baby Cham)]
Wow wow!!! I got my clip to di rear of mi, punks live in fear of mi
Dudes on di block wid dem Glocks runnin scared of mi
I keep my tool near to mi, so don't just appear to mi
Neva touch my money no my money's near to mi
I'm in di club ballin in di V.I.P. booth
Shorty starrin at mi cause di kid's cute
This is why I'm hot you know it is di truth
She waan to get some lovin from a hardcore yute
So she made it very clear to mi whisper in my ear to mi
In har soft voice she seh hi in my ear to me
Chicks who neva dear to mi, bringin over beer to me
Girls throwin there underwear over here to me

[Hook(M.I.M.S.)]

[Pert 3 (M.I.M.S.)]
Now if you take the sun and multiply it's heat
Ten times over then what you find it's me
I ain't the reason why crack turn from cocaine
I light it up then burn slow on that propane
Yes I'm a don but not the Juan from Soul Train
Teflon don I'm a boss in my own frame
I could flip it if you need it I got it for real
If you don't see it then they probably ain't got it for sale
I got the East Coast bumpin me hard
I got the West Coast bumpin me hard
The Dirty South show me love I get aired out the trunk of they car
The Midwest like homey you large
So when I pull up in the car, with the invincible roof on the coupe
And them doors swing up homey all you hear is swoosh
That's a swish, I don't miss when I'm aimin for the shot
This is why, this is why, this is why, this is why I'm hot

[Part 4 (Prinz Pi)]

Oh, was für eine kleine Welt
Da habt ihr euch auf die Frequenz auf der ich rappe grade eingestellt
Und der Sommer war Tech dieses Jahr
Dafür bin ich dann im Herbst auf Rap mich am A!";"https://genius.com/Prinz-pi-this-is-why-im-hot-rmx-lyrics";"Released 2007
Featuring

    
      50 Cent, Kid Kobra, Ludacris & 3 more
Producers

    
      Timbaland
Writers

    
      Kid Kobra & Prinz Pi
Label

    
      No Peanuts"
"5";"Prinz Pi";"Forget about Dre KISS FM exclusive";"Rap mich am a";"[Part]

Sie hören meine Stimme jetzt auf KissFM
Eurolinguistisch programmiere ich die Kids mit Slang
Laborierte seit einigen Tagen mit Peilerman
Und ihr hängt an einem seidenen Faden wie Spiderman
Ich hab die Schere hier
Westberlin die Stadt die nicht bekannt ist für ihr Edelbier
Hier leben die Fädenzieher
Das ist alles andere als verwunderlich, wir generieren solche Kraft
Packen sie in Radiowellen, strahlen die aus auf 98.8

[Outro]

Rap mich am A! diese Woche mit Prinz Pi
Montag bis Freitag abends von neun bis zehn
Nur auf KISS FM";"https://genius.com/Prinz-pi-forget-about-dre-kiss-fm-exclusive-lyrics";"Released 2007
Featuring

    
      50 Cent, Kid Kobra, Ludacris & 3 more
Producers

    
      Timbaland
Writers

    
      Kid Kobra & Prinz Pi
Label

    
      No Peanuts"
"6";"Prinz Pi";"Forget about Dre RMX";"Rap mich am a";"[Part 1]

Sie hören meine Stimme jetzt auf KissFM
Eurolinguistisch programmiere ich die Kids mit Slang
Laborierte seit einigen Tagen mit Peilerman
Und ihr hängt an einem seidenen Faden wie Spiderman
Ich hab die Schere hier
Westberlin die Stadt die nicht bekannt ist für ihr Edelbier
Hier leben die Fädenzieher
Das ist alles andere als verwunderlich, wir generieren solche Kraft
Packen sie in Radiowellen, strahlen die aus auf 98.8

[Part 2 (Dr. Dre)]

Y'all know me, still the same O.G. but I been low-key
Hated on by most these niggas with no cheese
No deals and no G's
No wheels and no keys, no boats, no snowmobiles, and no skis
Mad at me cause I can finally afford to provide my family with groceries
Got a crib with a studio and it's all full of tracks
To add to the wall full of plaques
Hanging up in the office in back of my house like trophies
Did y'all think I'ma let my dough freeze, ho please
You better bow down on both knees
Who you think taught you to smoke trees
Who you think brought you the oldies
Eazy-E's, Ice Cubes, and D.O.C's
The Snoop D-O-double-G's
And the group that said motha fuck the police
Gave you a tape full of dope beats
To bump when you stroll through in your hood
And when your album sales wasn't doing too good
Who's the Doctor they told you to go see
Y'all better listen up closely
All you niggas that said that I turned pop
Or The Firm flopped
Y'all are the reason that Dre ain't been getting no sleep
So fuck y'all, all of y'all
If y'all don't like me, blow me
Y'all are gonna keep fucking around with me and turn me back to the old me

[Hook (Eminem)] (x2)
Now-a-days everybody wanna talk like they got somethin' to say
But nothin' comes out when they move their lips
Just a bunch of gibberish
And motherfuckers act like they forgot about Dre

[Part 3 (Eminem)]

So what do you say to somebody you hate
Or anyone tryna bring trouble your way
Wanna resolve things in a bloodier way
Just study a tape of N.W.A
One day I was walking by
With a Walkman on
When I caught a guy
Give me an awkward eye
And I strangled him up in the parking lot
With his Karl Kani
I don't give a fuck if it's dark or not
I'm harder than me tryna park a Dodge
When I'm drunk as fuck
Right next to a humongous truck in a two-car garage
Hoppin' out with two broken legs
Trying to walk it off
Fuck you too bitch, call the cops
I'ma kill you and them loud-ass motherfuckin' barking dogs
And when the cops came through
Me and Dre stood next to a burnt down house
With a can full of gas and a hand full of matches
And still weren't found out (right here)
From here on out it's the Chronic II
Starting today and tomorrow's anew
And I'm still loco enough to choke you to death with a Charleston Chew
Slim Shady, hotter than a set of twin babies
In a Mercedes Benz with the windows up
When the temp goes up to the mid-80s
Callin' men ladies, sorry, Doc, but I been crazy
There's no way that you can save me
It's okay, go with him Hailie (Dada)

[Hook (Eminem)] (x2)
Now-a-days everybody wanna talk like they got somethin' to say
But nothin' comes out when they move their lips
Just a bunch of gibberish
And motherfuckers act like they forgot about Dre
[Part 4 (Dr.Dre)]

If it was up to me, you motherfuckers would stop coming up to me
With your hands out looking up to me
Like you want something free
When my last CD was out, you wasn't bumping me
But now that I got this little company
Everybody wanna come to me like it was some disease
But you won't get a crumb from me
Cause I'm from the streets of Compton
I told 'em all, all them little gangstas
Who you think helped mold 'em all
Now you wanna run around talkin' bout guns like I ain't got none
What you think I sold 'em all, cause I stay well off
Now all I get is hate mail all day saying Dre fell off
What cause I been in the lab with a pen and a pad
Tryin' to get this damn label off
I ain't havin' that
This is the millennium of Aftermath
It ain't gonna be nothin' after that
So give me one more platinum plaque and fuck rap, you can have it back
So where's all the Mad Rappers at
It's like a jungle in this habitat
But all you savage cats
Know that I was strapped with gats
While you were cuddling a Cabbage Patch

[Hook (Eminem)] (x3)
Now-a-days everybody wanna talk like they got somethin' to say
But nothin' comes out when they move their lips
Just a bunch of gibberish
And motherfuckers act like they forgot about Dre";"https://genius.com/Prinz-pi-forget-about-dre-rmx-lyrics";"Released 2007
Featuring

    
      50 Cent, Kid Kobra, Ludacris & 3 more
Producers

    
      Timbaland
Writers

    
      Kid Kobra & Prinz Pi
Label

    
      No Peanuts"
"7";"Prinz Pi";"Vato KISS FM exclusive";"Rap mich am a";"[Part (Prinz Pi)]

Das Radio suckt, aber KISS ist da
Ich dreh es laut, denn es sagt mir: ""du bist ein Star""
Das Radio suckt, aber KISS ist da
Deutscher Rap suckt, aber ich bin da
Und zerstöre diesen King-Beat
Rapper sind gelb vor Neid wie die Bewohner von Springfield
Der KISS-Tower sagt: "" Pi übernehmen sie!""
Ich denk mir Dinge aus, und andere übernehmen sie
Mich plagt ein Hustle wie
Rack ich dass Equipment hier, ohne dass mich Basti sieht?
Der Dativ ist dem Genitiv sein Sozialarbeiter
Prinz Pi, KISS FM, und der Tag geht weiter

[Outro]

Rap mich am A!, diese Woche mit Prinz Pi
Montag bis Freitag abends von neun bis zehn
Nur auf KISS FM";"https://genius.com/Prinz-pi-vato-kiss-fm-exclusive-lyrics";"Released 2007
Featuring

    
      50 Cent, Kid Kobra, Ludacris & 3 more
Producers

    
      Timbaland
Writers

    
      Kid Kobra & Prinz Pi
Label

    
      No Peanuts"
"8";"Prinz Pi";"Vato";"Rap mich am a";"[Part 1 (Prinz Pi)]

Das Radio suckt, aber KISS ist da
Ich dreh es laut, denn es sagt mir: ""du bist ein Star""
Das Radio suckt, aber KISS ist da
Deutscher Rap suckt, aber ich bin da
Und zerstöre diesen King-Beat
Rapper sind gelb vor Neid wie die Bewohner von Springfield
Der KISS-Tower sagt: "" Pi übernehmen sie!""
Ich denk mir Dinge aus, und andere übernehmen sie
Mich plagt ein Hustle wie
Rack ich dass Equipment hier, ohne dass mich Basti sieht?
Der Dativ ist dem Genitiv sein Sozialarbeiter
Prinz Pi, KISS FM, und der Tag geht weiter

[Part 2 (Snoop Dogg)]

I was chillin, right around my way (way!)
21st eastside of the Beach
This motherfucker ran up on me
Talkin shit with his homies like he was a straight.. G
Askin where I'm from while he runnin up
Gangbang, my set on e'ry one of 'em (true)
Some things, sons they just won't change
Fools don't respect nuttin but the gangbang (bang!)
What's seen is what's saw, Dogg is the law
I have you niggas runnin like a marathon
Little G's tryna creep, on the East with it
Talkin 'bout they gon' get my chain and they gon' leave with it (nmm hmm!)
But they don't know once they get close
It's Tic-Tac Toe, three motherfuckers laid on the floor (watch out!)
Yeah, this happened yesterday
On the West they spray - I heard the ese say, he said...

[Hook (B-Real,Snoop Dogg)]
Vato, you won't believe what I saw
I saw these pack of guys and they act real hardand what they do?
They twist the fingers and said, ""You know who we are""
He said, ""I don't give a fuck, I'm Snoop Doggy Dogg""uh huh!
They keep buckin and it went too far
So Snoopy, he went straight to the trunk of his carand what he get?
He got his gun and they start runnin' hard
He started firing and then he just charged

[Break (Snoop Dogg)]
(BLAOWW!) Run nigga, run nigga!
(BLAOWW!) Duck nigga, duck nigga!
(BLAOWW!) Run, motherfucker run!
(BLAOWW!) Run, motherfucker run!

[Part 3 (Snoop Dogg)]
I didn't mean to hit what I hit
Now that's three motherfuckers dead now I ain't seen shit
But these niggas'll scream for plea
But for a G like me, it's just a case really you could see
I crack the Mac back and pop off rollin
And smack ya neck back, ya drop off, fallin
I haven't seen my momma in a week
And she ain't even ran her mouth about me
Fuck that, I ain't give a fuck about the law
Niggas say they wanna brawl, you would think that they were brawlers
Believing all the things that you never saw
In it y'all, been a Dogg, smoke you like a Menthol
You think you know? But this can't go
You think you'll blow? On my door? What the fuck yo!
See these niggas proceed to speed
So fulfill the need to leave or you'll hear my enemies goin...

[Hook]

[Break]

[Part 4 (Snoop Dogg)]
I wouldn't be the nigga that I am
If I didn't pop niggas in their mouth God... damn!
And Snoop'll keep one foot on the streets
And leave 'em covered in sheets, run with them niggas with the heat
You never seen a thug like dis
You never seen a dub like me
And I ain't weak for wanting peace
In fact I could be ""Beast of the East"" motherfucker!
I never hesitate to blaze (blaze!)
A nigga really tryna change his ways
We gotta move my team, cause my peoples
Is screaming that we need more for fun or it's illegal
Put the bang on the song, make it feel like a drive-by (drive-by!)
It's a shame but somebody's gotta die (die!)
They see it happens state-to-state
But when I'm mobbin L.A., all I hear the ese's say - they go...

[Hook]

[Break]

[Part 5 (Snoop Dogg, Pharrell Williams)]
Snoop Dogg, him bust gunshots
Skateboard P, they say him bust gunshots
DPG, them bust gunshots
BBC, you know them bust gunshots come again, now!
Snoop Dogg, him bust gunshots
Skateboard P, you know him bust gunshots come again, now!
BBC, them bust gunshots
DPGC, you know them bust gunshots come again, now!";"https://genius.com/Prinz-pi-vato-lyrics";"Released 2007
Featuring

    
      50 Cent, Kid Kobra, Ludacris & 3 more
Producers

    
      Timbaland
Writers

    
      Kid Kobra & Prinz Pi
Label

    
      No Peanuts"
"9";"Prinz Pi";"Roll out";"Rap mich am a";"[Intro]

Roll out

[Hook]

I got my twin Glock forties, cocked back
Me and my homies, so drop that
We rollin' on twenties, with the top back
So much money, you can't stop that

Twin Glock forties, cocked back
Me and my homies, so drop that
We rollin' on twenties, with the top back
So much money, you can't stop that

[Part 1 (Ludacris)]

Now, where'd you get that platinum chain
With them diamonds in it?
Where'd you get that mackin' Benz, with them windows tinted?
Who them girls, you be with, when you be ridin' through?
Man, I ain't got nothin' to prove, I paid my duce
Breakin' the rules, I shake fools, while I'm takin' a cruise
Tell me who's your weed man and how do you smoke so good?
You's a superstar, boy, why you still up in the hood?
What in the world is in that bag, what you got in that bag?
A couple of cans, a whoop ass, you did a good ass job
Of just eyein' me, spyin' me

[Hook]

[Part 2(Ludacris)]

Man, that car don't come out, until next year
Where in the fuck did you get it?
That's eighty thousand bucks gone
Where in the fuck did you spend it?
You must have eyes on your back
Cause you got money to the ceilin'
And the bigger the cap, the bigger the peelin'
The better I'm feelin', the more that I'm chillin'
Winnin', drillin' and killin' the feelin'
Now, who's that bucket naked cook, fixin' three course meals?
Gettin' goosebumps with her body tapped in six inch heels
What in the world is in that room, what you got in that room?
A couple of gats, a couple of knives, a couple of rappers
A couple of wives, now it's time to choose

[Hook]

[Verse 3 (Ludacris)]

Are you custom made, custom paid, or you just custom fitted?
Play station two up in the ride, is that Lorenzo kitted?
Is that your wife, your girlfriend or just your main bitch?
You take a pick, while I'm rubbin' the hips
Touchin' lips to the top of the dick and then whew
Now, tell me who's your housekeeper
And what you keep in your house?
What about diamonds and gold
Is that what you keep in your mouth?
What in the world is in that case, what you got in that case?
Get up out my face, you couldn't relate
Wait to take place at a similar pace, so shake, shake it

[Hook]

[Part 4 (Ludacris)]

Get out my business, my business
Stay the fuck up out my business
Cause these niggas all up in my shit
And it's my business, my business
Stay the fuck up out my business
Cause it's mine, oh, mine

My business, my business
Stay the fuck up out my business
Cause these niggas all up in my shit
And it's my business, my business
Stay the fuck up out my business
Cause it's mine, oh, mine

Timberland, Ludacris, Disturbing Tha Peace

[Part 5 (Prinz Pi)]

Sie hören meine Stimme jetzt auf KissFM
Eurolinguistisch programmiere ich die Kids mit Slang
Laborierte seit einigen Tagen mit Peilerman
Und ihr hängt an einem seidenen Faden wie Spiderman
Ich hab die Schere hier, Westberlin
Die Stadt die nicht bekannt ist für ihr Edelbier
Hier leben die Fädenzieher
Das ist alles andere als verwunderlich, wir generieren solche Kraft
Packen sie in Radiowellen, strahlen die aus auf 98.8";"https://genius.com/Prinz-pi-roll-out-lyrics";"Released 2007
Featuring

    
      50 Cent, Kid Kobra, Ludacris & 3 more
Producers

    
      Timbaland
Writers

    
      Kid Kobra & Prinz Pi
Label

    
      No Peanuts"
"10";"Prinz Pi";"Cold as Ice";"Rap mich am a";"[Intro (Foreigner)]
Cold... as... ice... (You know that you are)
Cold... as... ice... (You're cold as ice to me)
Cold... as... ice... (Ohh shit!!)

[Hook] 4x

You're as cold as ice
You're willing to sacrifice

[Part 1 (Billy Danze)]

I'd like to welcome mothafuckas to the back
Of the mind of Bill, see I'm for real
When delivering these M.O.P. tactics
I'll bury you bastards, I custom make caskets
The B.G. (Doja nigga) The Y.G. (Soldier nigga)
Even the O.G. (Cobra nigga) Told ya nigga
I may come, with my gun in my hand
To make sure you mothafuckas understand

[Part 2 (Lil' Fame)]

Pardon me! How the fuck you gon' start with me?
I'm a heavyweight in this game, you just spar with me
You get laced down, from your face down, drop your shit
Niggas thought M.O.P. stand for ""mop"" and shit
Don't... don't... don't... get it twisted
I told you that we top of the line designed realistic for instance
Mash Out Posse will come through and clear your ass out
Dump and air your ass out, chump, we cold

[Hook] 4x

[Part 3 (Billy Danze)]

A predicate gun buster, I passed all classes
One of the fastest at blasting flashes (Berk)
You seen my work, you know my steez
It's a slim chance that I'mma hesitate to squeeze, please
Money never made me, money never played me (No!!)
And Money bet' not make me wack his ass
Subtract his ass when I step through his hood
Fuck dropping you, I'm into stopping you for good

[Part 4 (Lil' Fame)]

Stop him if you could (You're as cold as ice)
And you'll be, stiff as a log in a suit looking nice
You's a sinner nigga (You're as cold as ice)
But you ain't cold enough to freeze hot slugs when they run up in ya
You ain't in my class nigga, I'm the last nigga
You gon' fuck around and get blast, sucka-ass nigga
The soul survivor, survivor sole
Nigga you roll and I roll, let's stroll, I told you that I'm cold

[Hook] 4x

[Part 5 (Prinz Pi)]

Adidas, Sammlertrieb, ohne meine Forum Geht nix
KISS Tower in Berlin, direkt neben dem Forum Steglitz
Schlossstraße, Bossnase, wenig' können nachvollziehen
Ich brauche ein' mattlakierten [???] Natogrün
Prinz Pi aus dem Kiss Tower und das Schloss rollt
Oben auf dem Fernsehturm, abschlagen, Crossgolf
Und der Ball schlägt ein, ihr wart kurz eingepennt
Berlin hat statt Spiderman einen der brennt, Peilerman!";"https://genius.com/Prinz-pi-cold-as-ice-lyrics";"Released 2007
Featuring

    
      50 Cent, Kid Kobra, Ludacris & 3 more
Producers

    
      Timbaland
Writers

    
      Kid Kobra & Prinz Pi
Label

    
      No Peanuts"
