artist;title;album;text;url;metadata
Puhdys;Alt wie ein Baum ’99;36 lieder aus 36 jahren;"Alt wie ein Baum möchte ich werden
Genau wie der Dichter es beschreibt
Alt wie ein Baum, mit einer Krone die weit-weit-weit-weit
Die weit über Felder zeigt

Alt wie ein Baum möchte ich werden
Mit Wurzeln die nie ein Sturm bezwingt
Alt wie ein Baum, der alle Jahre so weit-weit-weit-weit
Kühlende Schatten bringt

Alle meine Träume... fang' ich damit ein
Alle meine Träume... yeh yeh yeh
Zwischen Himmel und Erde zu sein
Zwischen Himmel und Erde zu sein";https://genius.com/Puhdys-alt-wie-ein-baum-99-lyrics;"Released 2005
Producers

    
      André Kuntze, Dieter Birr, Helmuth Rüssmann & 3 more
Writers

    
      Aram Khachaturian, Burkhard Brozat, Burkhard Lasch & 19 more"
Puhdys;Aufruf;36 lieder aus 36 jahren;"Willst Du gerade Furchen baun
Mußt Du nur nach vorne schaun
Auch wer stolpert wird doch gehn
Rückschau haltend bleibt man stehn

Drückt Dich auch ein Steinchen in den Schuh
Erzürne nicht, es zeigt Dir, daß Du gehst
Noch keine Zeit sich auszuruhn
Eh Du nicht ein Teil der Welt bezwingst

Linden blühen selten im April
Doch ist das kein Grund, daß Du gleich flennst
Immer hält Die schönste Zeit Dir still
Wenn Du sie beim rechten Namen nennst

Wenn das Jahr erst an den Füßen fror
Schaust vergebens Du nach Blüten aus
Aber warte nicht zum nächsten Flor!
Mal die Wände bunt in Deinem Haus!

Sieh ein Bahnhofsmensch gibt ein Signal
Und der Anschluß weht im Zug hinfort
Tröste Dich, zu Fuß geht jeder mal
Rennst Du gleich, ist es fast ein Sport";https://genius.com/Puhdys-aufruf-lyrics;"Released 2005
Producers

    
      André Kuntze, Dieter Birr, Helmuth Rüssmann & 3 more
Writers

    
      Aram Khachaturian, Burkhard Brozat, Burkhard Lasch & 19 more"
Puhdys;Bis ans Ende der Welt;36 lieder aus 36 jahren;"Sie war kaum 16, da war ein Mann
Als sie das erste Mal verlor
Und was er sagte, sie glaubte daran
An seine Sprüche, die er schwor
An seine Sprüche, die er schwor
Er nahm sie mit und er schickte sie fort
Sie war ihm wie ein Untertan
Sprach große Dinge, sie glaubte daran
An seine Sprüche, die er schwor
An seine Sprüche, die er schwor

Bis ans Ende der Welt waren die Worte aus Lügen erdacht
Bis ans Ende der Welt für ein paar Stunden auf Liebe gemacht
Bis ans Ende der Welt waren die Worte aus Lügen erdacht
Bis ans Ende der Welt für ein paar Stunden

Nun teilt ein andrer mit ihr seine Nacht
Der es vielleicht auch ehrlich meint

Doch sie spürt Kälte, liegt oft stundenlang wach
Denkt sie an die vergangne Zeit
Denkt sie an die Vergangenheit

Bis ans Ende der Welt waren die Worte aus Lügen erdacht
Bis ans Ende der Welt für ein paar Stunden auf Liebe gemacht
Bis ans Ende der Welt waren die Worte aus Lügen erdacht
Bis ans Ende der Welt für ein paar Stunden";https://genius.com/Puhdys-bis-ans-ende-der-welt-lyrics;"Released 2005
Producers

    
      André Kuntze, Dieter Birr, Helmuth Rüssmann & 3 more
Writers

    
      Aram Khachaturian, Burkhard Brozat, Burkhard Lasch & 19 more"
Puhdys;Das Buch;36 lieder aus 36 jahren;"Stell dir vor irgendwo gibt es einen planeten
Auf dem intelligente wesen leben
Sie sehen vielleicht genauso aus wie wir
Und auf diesem planeten gibt es bibliotheken voll mit büchern
Geschrieben von dichtern philosophen und wissenschaftlern
Und vielleicht wenn auf der welt der haß und die gier so groß werden daß nichts
Aber auch nichts mehr sie retten kann
Dann vielleicht gibt es dort auch ein buch das heißt der untergang der erde

Es wird über uns berichten über unser leben über unsern tod
Und über feuer das so groß war daß keine tränen es mehr löschen konnten
Bis hin zur letzten sekunde als die erde aufhörte zu existieren

Und aus zehnmilliarden augen ein trauerregen rann
Und ein tränenmeer das überlief
Und den letzten damm der hoffnung zerbrach

Ein schwebendes grab im all auf dem keine blume wächst
Die kontinente geschmolzen die meere verbrannt - ein schwarzer stein
Und welch bittere ironie nicht eine einzige waffe wird den toten planeten mehr bedrohen

Und aus zehnmilliarden augen ein trauerregen rann
Und ein tränenmeer das überlief
Und den letzten damm der hoffnung zerbrach

Und wer da will daß die erde nie mehr weint
Wer sich mit uns gegen strahlentod vereint
Der sorgt dafür daß dieses buch niemals erscheint

Denn die zehnmilliarden augen wolln die erde leben sehn
Sie soll heimat ohne ängste sein für die liebe und geborgenheit";https://genius.com/Puhdys-das-buch-lyrics;"Released 2005
Producers

    
      André Kuntze, Dieter Birr, Helmuth Rüssmann & 3 more
Writers

    
      Aram Khachaturian, Burkhard Brozat, Burkhard Lasch & 19 more"
Puhdys;Der Aussenseiter;36 lieder aus 36 jahren;"Als er geboren wurde, sah ihm keiner an, daß man von ihm sagt, er wird kein richtiger Mann
Schon sein Vater war ein Verlierer, dem alles schief ging und man sieht den Sohn in seinem Schatten steh'n
Verrufen, Verspottet, doch er schlägt nie zurück
Er sagt: Ich find allein mein Glück

Ja was kann er dafür, daß er nicht so ist wie Du, so wie Du
Ja was kann er dafür, daß er anders ist als Du
Ja was kann er dafür, daß er nicht so ist wie Du, so wie Du
Ja was kann er dafür, daß er anders ist als Du

Doch als die Jahren gingen kam er los davon, von dem Vorurteil, daß ihn fast umgebracht
Er stieg höher, immer höher doch seine Narben die verklagen Spießermoral
Verrufen, Verspottet, das wagt heut keiner mehr
Sein Weg war besser, er war schwer

Ja was kann er dafür, daß er nicht so ist wie Du, so wie Du
Ja was kann er dafür, daß er anders ist als Du
Ja was kann er dafür, daß er nicht so ist wie Du, so wie Du
Ja was kann er dafür, daß er anders ist als Du

Ja was kann er dafür, daß er nicht so ist wie Du, so wie Du
Ja was kann er dafür, daß er anders ist als Du
Ja was kann er dafür, daß er nicht so ist wie Du, so wie Du
Ja was kann er dafür, daß er anders ist als Du";https://genius.com/Puhdys-der-aussenseiter-lyrics;"Released 2005
Producers

    
      André Kuntze, Dieter Birr, Helmuth Rüssmann & 3 more
Writers

    
      Aram Khachaturian, Burkhard Brozat, Burkhard Lasch & 19 more"
Puhdys;Doch die Gitter schweigen;36 lieder aus 36 jahren;"Er dachte nur an das ganz große Ding
Doch die Gitter schweigen
Und er glaubte daran, dass es ihm gelingt
Das ganz große Ding
Das Leben ist kurz und der Tod viel zu lang
Doch die Gitter schweigen
Was ich brauche, nehme ich mir war sein Gesang
Sein Gesang
Und er gab sich brutal, für ihn zählte nur Geld
Doch die Gitter schweigen

Er wurde ganz klein, als man ihn dann gestellt
Nun sitzt er und heult sich die Augen fast aus
Doch die Gitter schweigen
Er weiß, was er macht, kommt er wieder raus
Kommt er erst wieder raus

Er dachte nur an das ganz große Ding
Doch die Gitter schweigen
Weil er glaubte, dass damit sein Leben anfing
Damit sein Leben anfing
Die falschen Freunde sind längst passé
Doch die Gitter schweigen

Und denkt er daran, dann tut es ihm weh
Ja dann tut es ihm weh";https://genius.com/Puhdys-doch-die-gitter-schweigen-lyrics;"Released 2005
Producers

    
      André Kuntze, Dieter Birr, Helmuth Rüssmann & 3 more
Writers

    
      Aram Khachaturian, Burkhard Brozat, Burkhard Lasch & 19 more"
Puhdys;Erinnerung;36 lieder aus 36 jahren;"Alles Glück ist nur ein Schatten
Wenn Du nicht mehr bei mir bist
Wenn von unser'n schönen Stunden
Nur Erinnerung übrig ist

Alles Glück ist nur ein Schatten
Wenn Dein Blick mich nicht mehr fängt
Wenn ich Deine Ferne fühle
Die die Kälte in mich senkt

Alles Glück ist nur ein Schatten
Wenn Dein Mund zu andern spricht
Wenn ich mich verloren glaube
Wie ein Spielzeug, das zerbricht

Alles Glück ist nur ein Schatten
Wenn es Dich nicht mehr enthält
Wenn der Zweifel wie ein Nebel
Mir den Weg zu Dir verstellt";https://genius.com/Puhdys-erinnerung-lyrics;"Released 2005
Producers

    
      André Kuntze, Dieter Birr, Helmuth Rüssmann & 3 more
Writers

    
      Aram Khachaturian, Burkhard Brozat, Burkhard Lasch & 19 more"
Puhdys;Ewig leben;36 lieder aus 36 jahren;"Alles fließt und geht vorbei auch wenn es gerade beginnt
Zeit wird alt - sterne kalt
Worte verwehen im wind

Auch wenn heut der erste tag vom Rest meines lebens ist
Sehn ich mich zurück auf vergangenes glück
Solang du nur bei mir bist

Denn ich will ewig leben
Und immer mehr von dir
Immer wieder und immer weiter mit dir

Denn ich will ewig leben
Und immer mehr von dir
Immer wieder und immer weiter mit dir

Alles fließt und geht vorbei auch wenn es gerade beginnt
Zeit wird alt - sterne kalt
Worte verwehen im wind

Denn ich will ewig leben
Und immer mehr von dir
Immer wieder und immer weiter mit dir";https://genius.com/Puhdys-ewig-leben-lyrics;"Released 2005
Producers

    
      André Kuntze, Dieter Birr, Helmuth Rüssmann & 3 more
Writers

    
      Aram Khachaturian, Burkhard Brozat, Burkhard Lasch & 19 more"
Puhdys;Frei wie der Wind;36 lieder aus 36 jahren;"Fliegen
Uralter Traum
Wunder in zeit und Raum
Fliegen konntest du's nicht
Tausendmal schon im Traum
Frei wie der Wind auf dem Meer

Leben nur ein einziges mal
Und dann in Ewigkeit still
Leben nur einen Stoßseufzer lang
Doch dann wenigstens so wie man will

Frei wie der Wind auf dem Meer
Frei wie der Wind auf dem Meer

Frei sein soll was da blüht
Wachsen und werden und sein
Nur höchstens mal aus liebe
Schränkt man sich selber ein

Frei wie der Wind auf dem Meer
Frei doch nicht so blind wie er

Frei wie der Wind auf dem Meer
Frei wie der Wind auf dem Meer

Yeah yeah wär ich so frei
Yeah yeah ich wär dabei

Frei wie der Wind auf dem Meer
Frei doch nicht so blind wie er";https://genius.com/Puhdys-frei-wie-der-wind-lyrics;"Released 2005
Producers

    
      André Kuntze, Dieter Birr, Helmuth Rüssmann & 3 more
Writers

    
      Aram Khachaturian, Burkhard Brozat, Burkhard Lasch & 19 more"
Puhdys;Halleluja;36 lieder aus 36 jahren;"Halleluja... luja... luja

Ein Engelshaar fiel auf die Welt
Genau auf mein Gesicht
Und als ich hoch zum Himmel sah
War nur Mondeslicht
Aber Engel nicht

Halleluja
Halleluja
Halleluja
Halle- halle- halleluja

Ein Engelschor kam an mein Ohr
So hell und glockenklar
Und als das Lied zu Ende war
War nur Mondeslicht
Und kein Engel mehr da

Halleluja
Halleluja
Irgendwo ein engel zu sein
Halleluja
Halle- halle- halleluja

Halleluja
Halleluja
Halleluja
Halleluja

Und Engelszungen sprachen zu mir:
Komm zu uns hoch, wir warten hier
Wenn du schon von Engeln träumst
Sollten wir uns kennenlernen
In der Schwerelosigkeit

Yeah

Halleluja
Halleluja
Irgendwo sind Engel zu sehn
Halleluja
Halle- halle- halleluja

Halleluja
Halleluja
Irgendwo ein engel zu sein
Halleluja
Halle- halle- halleluja

Halleluja
Halleluja
Irgendwo sind Engel zu sehn
Halleluja
Halle- halle- halleluja";https://genius.com/Puhdys-halleluja-lyrics;"Released 2005
Producers

    
      André Kuntze, Dieter Birr, Helmuth Rüssmann & 3 more
Writers

    
      Aram Khachaturian, Burkhard Brozat, Burkhard Lasch & 19 more"
