artist,title,album,text,url,metadata
Puhdys,Unser Schiff,Es war schon,"Auf unserm Schiff, sind wir zu Haus'
Werfen keine Anker, steigen nie aus
Die Fahrt ist lang, hört niemals auf
Wir nehmen Flauten und Stürme in Kauf

Und wir geh´n nicht von Bord
Nein wir gehen nicht fort
Bleiben hier an Bord

Und wenn das Meer dann unsere Geschichte erzählt
Vom Lachen, vom Lieben, vom Leben
Dann kann uns keine Macht dieses Wunder mehr nehmen
Das Lachen, das Lieben, das Leben
Uns hat es nicht umsonst gegeben

Wir waren berüchtigt, auf jedem Meer
Und manchmal treiben wir hilflos umher
Mal riss ein Segel, mal brach ein Mast
Mal haben wir den richtigen Kurs verpasst

Doch wir geh´n nicht von Bord
Nein wir gehen nicht fort
Bleiben hier an Bord

Und wenn das Meer dann unsere Geschichte erzählt
Vom Lachen, vom Lieben, vom Leben
Dann kann uns keine Macht dieses Wunder mehr nehmen
Das Lachen, das Lieben, das Leben
Uns hat es nicht umsonst gegeben",https://genius.com/Puhdys-unser-schiff-lyrics,"Released 2012
Producers

    
      Dieter Birr, Hardy Krech, Mark Nissen & 1 more
Writers

    
      Dieter Birr, Frank Ramond, Gerd Gerdes & 4 more"
Puhdys,Draußen warten die Sterne,Es war schon,"Du bleibst nicht für immer jung
Ein Leben dauert nicht ewig
Doch jeder Tag ist ein Geschenk
Mit Abenteuern für dich und mich

Vor dir noch so viel Zeit
Die Freiheit und die Ferne
Drinnen wartet Geborgenheit
Und draußen warten die Sterne

Abends wenn die Dunkelheit
Auf die Erde sinkt
Siehst du wie die Ewigkеit
Hoch am Himmel blinkt

Abends wenn diе Dunkelheit
Auf die Erde sinkt
Siehst du wie die Ewigkeit
Hoch am Himmel blinkt

Kopflos sein vor lauter Glück
Zum ersten Mal sagen: „Ich liebe dich“
Wirst traurig sein manchen Augenblick
Doch Tränen fließen nicht ewig

Vielleicht sagst du Auf Wiederseh´n
Willst hinaus in die Ferne
Dann denk an mich und bleib nicht steh´n
Denn draußen warten die Sterne

Abends wenn die Dunkelheit
Auf die Erde sinkt
Siehst du wie die Ewigkeit
Hoch am Himmel blinkt

Deinen Weg zeigt dir dein Herz
Es ist dein Lebenslicht
Und das brennt nur für dich

Abends wenn die Dunkelheit
Auf die Erde sinkt
Siehst du wie die Ewigkeit
Hoch am Himmel blinkt",https://genius.com/Puhdys-drauen-warten-die-sterne-lyrics,"Released 2012
Producers

    
      Dieter Birr, Hardy Krech, Mark Nissen & 1 more
Writers

    
      Dieter Birr, Frank Ramond, Gerd Gerdes & 4 more"
Puhdys,Es war schön,Es war schon,"Der Himmel grau und trist
Wo Du jetzt auch bist
Das, was war, scheint ewig lange her
Das war unser Spiel
Unser Vorhang fiel
Geschichte bleibt, die nimmt uns keiner mehr
Es ist schon lange her

Es war schön
Einfach schön
Endgültig vorbei, aber schön
Winde dreh'n, Menschen geh'n
Was war, kann uns keiner mehr neh'm
Denk an unsre Zeit, sie war schön

Liebe findet blind
Fällt irgendwo hin
Steht auf und geht
Der Traum von ihr bleibt da
Das Leben spielt auf Zeit
Kommt tötet und heilt
Das, was war, ist unveränderbar
Und mir wird wieder klar

Es war schön
Einfach schön
Endgültig vorbei, aber schön
Winde dreh'n, Menschen geh'n
Was war, kann uns keiner mehr neh'm
Denk an unsre Zeit, sie war schön
Sie war schön

Durch all die Freude und all die Tränen
Ich würd den Weg immer wieder mit dir geh'n

Es war schön
Einfach schön
Endgültig vorbei, aber schön
Winde dreh'n, Menschen geh'n
Was war, kann uns keiner mehr neh'm

Es war schön
Einfach schön
Endgültig vorbei, aber schön

Winde dreh'n, Menschen geh'n
Was war, kann uns keiner mehr neh'm
Denk an unsre Zeit, sie war schön",https://genius.com/Puhdys-es-war-schon-lyrics,"Released 2012
Producers

    
      Dieter Birr, Hardy Krech, Mark Nissen & 1 more
Writers

    
      Dieter Birr, Frank Ramond, Gerd Gerdes & 4 more"
Puhdys,Hoffnung,Es war schon,"Wie oft zweifeln wir im Leben
An der Liebe und am Glück
Wie oft geht der Blick ins Leere
Wir oft geht man nur zurück
Wie oft stellen wir uns Fragen
Die man nicht erklären kann
Wie oft fangen wir von vorne an

Wie viel unstillbare Tränen
Werden vor der Welt versteckt
Fließen hinter den Fassaden heimlich weg
Wie viel unhеilbare Wunden
Werdеn mit Schweigen zugedeckt

Doch es gibt ein Licht
Das niemals erlischt
Die Hoffnung bleibt
Die uns weiter treibt

Wie oft zweifeln wir im Leben
An der Gerechtigkeit
Wie lange können wir alles geben
Haben wir noch Zeit
Werden wir in späteren Jahren
Hoch erhobenen Hauptes geh´n
Oder würdelos im Schatten steh'n

Wie viel unstillbare Tränen
Werden vor der Welt versteckt
Fließen hinter den Fassaden heimlich weg
Wie viel unheilbare Wunden
Werden mit Schweigen zugedeckt

Doch es gibt ein Licht
Das niemals erlischt
Die Hoffnung bleibt
Die uns weiter treibt",https://genius.com/Puhdys-hoffnung-lyrics,"Released 2012
Producers

    
      Dieter Birr, Hardy Krech, Mark Nissen & 1 more
Writers

    
      Dieter Birr, Frank Ramond, Gerd Gerdes & 4 more"
Puhdys,Die Welt ist ein Wunder,Es war schon,"Ich sitz am Meer und mir fällt auf
Dass ich heut zufrieden bin
Ich habe alles, was ich brauch
Ich bin am Leben und lachen kann ich auch

Auf einmal ist das Meer noch schöner
Bin froh, dass du mich liebst
Entdecke Blumen, die ich vorher nie sah
Was für ein Glück, dass es mein Leben gibt

Meine Welt ist heut voller Harmonie
Voller Wunder und Magie
Die Welt ist ein Wunder
Die Welt ist ein Wunder
Da, wo ich jetzt bin
Gehöre ich hin
Und allеs hat seinen Sinn

Heut kann ich plötzlich allеs sehn
Was gestern dunkel war
Heut ist es hell und wunderschön
Heute ist, heut ist mein Himmel klar

Meine Welt ist heut voller Harmonie
Voller Wunder und Magie
Die Welt ist ein Wunder
Die Welt ist ein Wunder
Da, wo ich jetzt bin
Gehöre ich hin
Und alles hat seinen Sinn

Die Abendsonne leuchtet übers Meer
Ich wünschte, dass es jeden Tag so wär´

Meine Welt ist heut voller Harmonie
Voller Wunder und Magie
Die Welt ist ein Wunder
Die Welt ist ein Wunder
Da wo ich jetzt bin
Gehöre ich hin
Und alles hat seinen Sinn",https://genius.com/Puhdys-die-welt-ist-ein-wunder-lyrics,"Released 2012
Producers

    
      Dieter Birr, Hardy Krech, Mark Nissen & 1 more
Writers

    
      Dieter Birr, Frank Ramond, Gerd Gerdes & 4 more"
Puhdys,Wenn ein Mensch,Es war schon,"Wenn ein Mensch stirbt, fragt sich die Welt
Was nimmt er mit und was bleibt
Geht er zu früh oder wurde es Zeit
Hat er geliebt, getanzt, gelacht und geweint?

Wenn ein Mensch stirbt, fragt sich die Welt
Ging er in Würde in die ewige Ruh’
Hat er gekämpft, für die Gier seines Herrn
Oder für Freiheit in Ländern so fern?

Starb er aus Liebe, aus Hass oder Wut
Ging er in Furcht oder ging er voll Mut
Hat er vielleicht um Hilfe geschrien
War zum Schluss, in Gedanken, jemand bei ihm?

Wenn ein Mensch stirbt bleiben and’re zurück
Trauern, beweinen vergangenes Glück
Bleiben auf ihrem Weg kurz für ihn steh'n
Um ihn ein letztes Mal zu seh’n

Wenn ein Mensch stirbt bleiben and’re zurück
Trauern, beweinen vergangenes Glück
Bleiben auf ihrem Weg kurz für ihn steh'n
Bevor sie ohne ihn weitergeh’n",https://genius.com/Puhdys-wenn-ein-mensch-lyrics,"Released 2012
Producers

    
      Dieter Birr, Hardy Krech, Mark Nissen & 1 more
Writers

    
      Dieter Birr, Frank Ramond, Gerd Gerdes & 4 more"
Puhdys,Für dich lebe ich,Es war schon,"Ich will dein Leben erleben
In deiner Haut, in deiner Welt
Mich in deinen Träumen bewegen
So wie ein großer Held

Für dich lebe ich
All mein Fühlen treibt mich zu dir
Für dich leide ich
Wenn ich sterbe nach Verlangen nach dir

Langsam verrinnen die Tage
Ohne dich, schwer für mich
Siehst du die Last, die ich tragе
Spürst du es nicht

Für dich lebe ich
All mеin Schmerz ist nur durch dich
Auf dich warte ich
Weil mein Herz ohne dich zerbricht

Liebe kann göttlich und quälend sein
Unerfüllt und einsam
Liebe kann stark und unendlich sein
Unbeugsam

Für Dich kämpfe ich
Mit all meinem Mut, all meiner Glut
Für dich gebe ich
Meine Seele und mein rotes Blut

Liebe kann göttlich und quälend sein
Unerfüllt und einsam
Liebe kann stark und unendlich sein
Unbeugsam

Liebe kann göttlich und grausam sein
Unerfüllt und einsam
Liebe kann stark und unendlich sein
Unbeugsam",https://genius.com/Puhdys-fur-dich-lebe-ich-lyrics,"Released 2012
Producers

    
      Dieter Birr, Hardy Krech, Mark Nissen & 1 more
Writers

    
      Dieter Birr, Frank Ramond, Gerd Gerdes & 4 more"
Puhdys,Einfach leben,Es war schon,"Wir haben gemeinsam den Berg bestiegen
Und keine Wege warn uns zu weit
Vieles vergeht, doch wir sind geblieben
Und hör’n die Stimme, die in uns schreit

Wir woll’n
Ooo
Wir wollen einfach leben
Ooo
Wir wollen unsterblich sein
Ooo
Wir werden alles geben - jeden Tag
Doch heute feiern wir und werden nichts bereu’n

Wir sind bereit unser Herz zu geben
Und jeder Ton tut der Seele gut
Wir woll’n nicht viel, nur das volle Leben
Und diese Nacht gibt uns neuen Mut

Wir woll'n
Ooo
Wir wollen einfach Leben
Ooo
Wir wollen unsterblich sein
Ooo
Wir werden alles geben - jeden Tag
Doch heute feiern wir und werden nichts bereu'n

Vor uns das Tor in die Freiheit
Uns hält kein Schloss und kein Zaun
Heut' sind wir hier, können weit - weit
Über alle Hindernisse schau'n

Wir sind zusammen durch die Welt gezogen
Die Stimme ruft uns, wir sind da
Wir sind zusammen durch den Sturm geflogen
Doch heute Nacht ist der Himmel klar

Wir woll'n
Ooo
Wir wollen einfach Leben
Ooo
Wir wollen unsterblich sein
Ooo
Wir werden alles geben - jeden Tag
Doch heute feiern wir und werden nichts bereu'n",https://genius.com/Puhdys-einfach-leben-lyrics,"Released 2012
Producers

    
      Dieter Birr, Hardy Krech, Mark Nissen & 1 more
Writers

    
      Dieter Birr, Frank Ramond, Gerd Gerdes & 4 more"
Puhdys,Heut’ ist wieder so ein Tag,Es war schon,"Der Tag hat mich heut´ nicht erreicht
Obwohl er ist wie immer
Liegt es am Horoskop vielleicht
Kein guter Tag für Gewinner

Heut´ habe ich zu gar nichts Lust
Schon gar nicht zu verlier´n
Hätt´ ich das gestern schon gewusst
Dann wär´ ich heut´ nicht hier

Heut´ ist wieder so ein Tag
Da stell´ ich mir die Frage
Ist was ich tu´ auch alles richtig
Ist das auch wirklich alles wichtig?

Der Tag zieht sich heut endlos hin
Ich döse durch die Stunden
Keine Regung, kein Adrenalin
Nichts erlebt und nichts empfunden

Heut´ ist wieder so ein Tag
Da stell´ ich mir die Frage
Ist was ich tu´ auch alles richtig
Ist das auch wirklich alles wichtig?",https://genius.com/Puhdys-heut-ist-wieder-so-ein-tag-lyrics,"Released 2012
Producers

    
      Dieter Birr, Hardy Krech, Mark Nissen & 1 more
Writers

    
      Dieter Birr, Frank Ramond, Gerd Gerdes & 4 more"
Puhdys,Wieder zu Hause,Es war schon,"Wieder zu Hause, wieder bei dir
In deinem Herzen, in meinem Revier
Kann wieder atmen, mich regenerier´n
In deinen Armen, mein Leben reparier´n

Denn du bist meine Heimat
Heilende Oase meiner Seele
Denn du bist meinе Heimat
Heilendе Oase meiner Sehnsucht nach dir, nach meinem Revier

Ich lief durch die Wüste und hab mich verirrt
War kaum noch am Leben, hab nichts mehr gespürt
Dann kamen Zeichen, Zeichen von dir
Du hast mir vergeben, jetzt bin ich wieder hier

Denn du bist meine Heimat
Heilende Oase meiner Seele
Denn du bist meine Heimat
Heilende Oase meiner Sehnsucht nach dir, nach meinem Revier

Wieder zu Hause, wieder bei dir
In deinem Herzen, in meinem Revier

Denn du bist meine Heimat

Denn Du bist meine Heimat
Heilende Oase meiner Sehnsucht nach dir, nach meinem Revier",https://genius.com/Puhdys-wieder-zu-hause-lyrics,"Released 2012
Producers

    
      Dieter Birr, Hardy Krech, Mark Nissen & 1 more
Writers

    
      Dieter Birr, Frank Ramond, Gerd Gerdes & 4 more"
