artist;title;album;text;url;metadata
Puhdys;Susi Baby Twist;Raritaten besondere hits;"Ja so wie meine Susi tanzen kann doch keine Frau
Am Abend an der Bar, das weiß ich ganz genau
Das kann nur Susi, meine Susi ganz allein

Wir tanzen Susi Baby Twist
Susi Baby Twist Susi Baby Twist
Wir tanzen Susi Baby Twist
One! Two! Three! Four!
Susi Baby Twist

Die andern Männer schauen alle zu ihr hin
Sie haben nur noch diese eine Frau im Sinn
Aber Susi, meine Susi tanzt nur mit mir

Wir tanzen Susi Baby Twist
Susi Baby Twist Susi Baby Twist
Wir tanzen Susi Baby Twist
One! Two! Three! Four!
Susi Baby Twist

Beim Twist, da hält der ganze Saal den Atem an
Und jeder schaut, was meine Susi kann
Und ist der Tanz zu Ende, ruft der ganze Saal:
O Susi Baby tanze noch einmal!
Denn so wie meine Susi tanzt, das kann sonst keine Frau
Am Abend an der Bar, das weiß ich ganz genau
Das kann nur Susi, meine Susi ganz allein

Sie tanzen Susi Baby Twist
Susi Baby Twist Susi Baby Twist
Sie tanzen Susi Baby Twist
One! Two! Three! Four!
Susi Baby Twist

Let's go!

Beim Twist, da hält der ganze Saal den Atem an
Und jeder schaut, was meine Susi kann
Und ist der Tanz zu Ende, ruft der ganze Saal:
O Susi Baby tanze noch einmal!
Denn so wie meine Susi tanzt, das kann sonst keine Frau
Am Abend an der Bar, das weiß ich ganz genau
Das kann nur Susi, meine Susi ganz allein

Wir tanzen Susi Baby Twist
Susi Baby Twist Susi Baby Twist
Wir tanzen Susi Baby Twist
One! Two! Three! Four!
Susi Baby Twist

Susi Baby Twist";https://genius.com/Puhdys-susi-baby-twist-lyrics;"Released 1994
Producers

    
      Colin Richardson, Dieter Birr, Karl Heinz Ocasek & 1 more
Writers

    
      Aram Khachaturian, Burkhard Lasch, Colin Richardson & 16 more"
Puhdys;Aufruf;Raritaten besondere hits;"Willst Du gerade Furchen baun
Mußt Du nur nach vorne schaun
Auch wer stolpert wird doch gehn
Rückschau haltend bleibt man stehn

Drückt Dich auch ein Steinchen in den Schuh
Erzürne nicht, es zeigt Dir, daß Du gehst
Noch keine Zeit sich auszuruhn
Eh Du nicht ein Teil der Welt bezwingst

Linden blühen selten im April
Doch ist das kein Grund, daß Du gleich flennst
Immer hält Die schönste Zeit Dir still
Wenn Du sie beim rechten Namen nennst

Wenn das Jahr erst an den Füßen fror
Schaust vergebens Du nach Blüten aus
Aber warte nicht zum nächsten Flor!
Mal die Wände bunt in Deinem Haus!

Sieh ein Bahnhofsmensch gibt ein Signal
Und der Anschluß weht im Zug hinfort
Tröste Dich, zu Fuß geht jeder mal
Rennst Du gleich, ist es fast ein Sport";https://genius.com/Puhdys-aufruf-lyrics;"Released 1994
Producers

    
      Colin Richardson, Dieter Birr, Karl Heinz Ocasek & 1 more
Writers

    
      Aram Khachaturian, Burkhard Lasch, Colin Richardson & 16 more"
Puhdys;Geh dem Wind nicht aus dem Wege;Raritaten besondere hits;"Es ist dir zu laut -
Hast du Angst dass es knallt?
Dann gehrst du nicht mehr zu uns
Denn du bist viel zu alt
Lange schon ist nichts mehr los
Wir sind allein auf dem Musikfriedhof

Hey! Hey! Geh aus dem Weg!
Wir sind nur der Rest, doch wir bleiben stehn!

Von berall kommen wir her
Es gibt nichts, das uns verbindet
Wenn der erste Ton im Saal erschallt
Hat sich 'ne Wand gebildet
Wir brauchen immer frisches Blut
Komm zu uns und schrei mit Wut:

Hey! Hey! Geh aus dem Weg!
Wir sind nur der Rest, doch wir bleiben stehn!

Wir werden immer laut durch's Leben gehen
Alles andere ist uns egal
Vom Anfang blieb sehr wenig bestehn
Und nichts davon ist wahr
Doch darum geht es lngst nicht mehr
Vergiss den Frust und komm her

Hey! Hey! Geh aus dem Weg!
Wir sind nur der Rest, doch wir bleiben stehn!";https://genius.com/Puhdys-geh-dem-wind-nicht-aus-dem-wege-lyrics;"Released 1994
Producers

    
      Colin Richardson, Dieter Birr, Karl Heinz Ocasek & 1 more
Writers

    
      Aram Khachaturian, Burkhard Lasch, Colin Richardson & 16 more"
Puhdys;Steige nicht auf einen Baum;Raritaten besondere hits;"Steige nicht auf einen Baum
Wenn Du Fische suchst
Dumm, wenn Du den Spiegel an der Wand
Und nicht Dich verfluchst
Kalter Ofen, schlechtes Brot
Kalt ist auch der Tod

Neue Stiefel nützen nicht
Wenn die Hände klamm
Du wirst nie Trompete sein
Bläst Du auf dem Kamm
Küche, Kammer, enge Welt
So entsteht kein Held

Steige nicht auf einen Baum
Wenn Du Fische suchst
Dumm, wenn Du den Spiegel an der Wand
Und nicht Dich verfluchst
Küche, Kammer, enge Welt
So entsteht kein Held";https://genius.com/Puhdys-steige-nicht-auf-einen-baum-lyrics;"Released 1994
Producers

    
      Colin Richardson, Dieter Birr, Karl Heinz Ocasek & 1 more
Writers

    
      Aram Khachaturian, Burkhard Lasch, Colin Richardson & 16 more"
Puhdys;Finde den Weg durch’s Feuer;Raritaten besondere hits;"Ein Mann, ein Wort
Hab ich ihr am Montag früh gesagt
Und sie hat mir geglaubt
Einen langen Montag war ich sehr gefragt
Die Welt hat uns nicht gestört
Denn wir haben uns nur allein gehört

Ein Mann, ein Wort
Und ich hab sie ziemlich dicht berührt
Und da hat sie gefragt
Wozu so ein herrlicher Montag führt
Liegt man so ins Gras gestreckt
Doch ich hab es ihr damals gleich gesteckt

Finde den Weg durch's Feuer! Finde den Weg durch's Feuer!
Finde den Weg durch's Feuer! Finde den Weg durch's Feuer!

Ein Mann, ein Wort
Niemals wieder hab ich sie geseh'n
Viel mehr
Sieht man seitdem:
Mich nicht gerad'mit Lust zur Arbeit gehn
Denn sie war nicht übel, die Maid
Nur war es zur falschen Zeit

Finde den Weg durch's Feuer! Finde den Weg durch's Feuer!
Finde den Weg durch's Feuer! Finde den Weg durch's Feuer!";https://genius.com/Puhdys-finde-den-weg-durchs-feuer-lyrics;"Released 1994
Producers

    
      Colin Richardson, Dieter Birr, Karl Heinz Ocasek & 1 more
Writers

    
      Aram Khachaturian, Burkhard Lasch, Colin Richardson & 16 more"
Puhdys;Unser Lied ist euer Schrei;Raritaten besondere hits;"Denk ich an ein fernes Land, dann weiß ich und sag
Wer zu seinen Worten stand und wer übt Verrat

Chile! Chile!
Die Fesseln zerreiß, wirf sie ab!

Denk ich an ein fernes Land, dann weiß ich und sag
Wo das Morgen schon begann, bleibt nicht stehn das Rad

Chile! Chile!
Die Fesseln zerreiß, wirf sie ab!

Milch hat den Verstand gut genährt
Recht war mit Gesetzen geehrt
Arbeit gab's und wurde zu Wein
Kupfer warf einen roten Schein

Denk ich an ein fernes Land, dann weiß ich und sag
Freunde reichen Dir die Hand und es naht der Tag

Chile! Chile!
Die Fesseln zerreiß, wirf sie ab!

Anakonda traf hart der Schlag:
Keiner mehr den Indio trat
Wo ein Traum schon Leben gewann
Und wo seinem Mann stand ein Mann
Leben heißt es trotz der Gewalt
Hände sind zur Faust geballt
Unser Lied ist Euer Schrei
Chiles Volk kämpft und wird frei
Unser Lied ist Euer Schrei
Chiles Volk kämpft und wird frei
Unser Lied ist Euer Schrei
Chiles Volk kämpft und wird frei";https://genius.com/Puhdys-unser-lied-ist-euer-schrei-lyrics;"Released 1994
Producers

    
      Colin Richardson, Dieter Birr, Karl Heinz Ocasek & 1 more
Writers

    
      Aram Khachaturian, Burkhard Lasch, Colin Richardson & 16 more"
Puhdys;Wie ein Pfeil;Raritaten besondere hits;"Wie ein Pfeil zwischen Raum und Zeit
Jagt ein Zug durch die Unendlichkeit
Entführt in unbekannte Weiten
Funken sprühn, trommeln Tag und Nacht:
Sein Lied von Leben, sein Lied für jeden
An Alle

Fahrn! Fahrn! Fahrn!
Fahrn! Fahrn! Fahrn!

Bringt den feldern den Blütenwind
Heilt die Erde wo Narben sind
Auf seinem Weg gibt es kein Halten
Nimmt die Angst und die Einsamkeit
Und singt vom Leben, sein Lied für jeden
An Alle

Fahrn! Fahrn! Fahrn!
Fahrn! Fahrn! Fahrn!

Wie ein Pfeil zwischen Raum und Zeit
Jagt ein Zug Du bist es der ihn treibt
Voran in unbekannte Weiten
Funken sprühn, trommeln Tag und Nacht:
Sein Lied von Leben, sein Lied für jeden
An Alle

Fahrn! Fahrn! Fahrn!
Fahrn! Fahrn! Fahrn!
Fahrn! Fahrn! Fahrn!
Fahrn! Fahrn! Fahrn!";https://genius.com/Puhdys-wie-ein-pfeil-lyrics;"Released 1994
Producers

    
      Colin Richardson, Dieter Birr, Karl Heinz Ocasek & 1 more
Writers

    
      Aram Khachaturian, Burkhard Lasch, Colin Richardson & 16 more"
Puhdys;Erinnerung;Raritaten besondere hits;"Alles Glück ist nur ein Schatten
Wenn Du nicht mehr bei mir bist
Wenn von unser'n schönen Stunden
Nur Erinnerung übrig ist

Alles Glück ist nur ein Schatten
Wenn Dein Blick mich nicht mehr fängt
Wenn ich Deine Ferne fühle
Die die Kälte in mich senkt

Alles Glück ist nur ein Schatten
Wenn Dein Mund zu andern spricht
Wenn ich mich verloren glaube
Wie ein Spielzeug, das zerbricht

Alles Glück ist nur ein Schatten
Wenn es Dich nicht mehr enthält
Wenn der Zweifel wie ein Nebel
Mir den Weg zu Dir verstellt";https://genius.com/Puhdys-erinnerung-lyrics;"Released 1994
Producers

    
      Colin Richardson, Dieter Birr, Karl Heinz Ocasek & 1 more
Writers

    
      Aram Khachaturian, Burkhard Lasch, Colin Richardson & 16 more"
Puhdys;Kein Paradies;Raritaten besondere hits;"Kein Paradies stell ich mir vor
Wenn ich von Dir und mir erzähl
Kein Paradies doch vieles mehr
Was anders wird auf dieser Welt

Ich stell mir vor, es wird der Tag
Einmal so lang sein, wie ich mag
Und durch die Stille meiner Nacht
Dringt nie niemals mehr ein Schrei

Kein Paradies stell ich mir vor
Kein Leben voller Illusion
Mein Lied nimmt aus dem Tag das Wort
Und aus den Stunden seinen Ton

Ich stell mir vor, die Liebe zählt
Einmal viel mehr, als alles Geld
Und Deine Hände geben Mut
Für das, was sich allein nicht tut

Kein Paradies stell ich mir vor
Wenn ich von Dir und mir erzähl
Kein Paradies doch vieles mehr
Was anders wird auf dieser Welt";https://genius.com/Puhdys-kein-paradies-lyrics;"Released 1994
Producers

    
      Colin Richardson, Dieter Birr, Karl Heinz Ocasek & 1 more
Writers

    
      Aram Khachaturian, Burkhard Lasch, Colin Richardson & 16 more"
Puhdys;Wasser und Wein;Raritaten besondere hits;"Jeder Tag ist offen wie ein Krug
Und am Morgen leer, daß man ihn füllt
Hat man ihn am Abend voll genug
Wird der Durst der Träume gestillt

Einer schenkt Wasser, einer schenkt Wein
Tagtäglich sich ein
Einer schenkt Wasser, einer schenkt Wein
Tagtäglich sich ein

Jeder Tag hat Fragen, die wolln Antwort
Jeden Morgen neu, wenn man sich regt
Und die Antwort sei, daß man vorm Spiegel
Abends nicht die Augen niederschlägt

Einer schenkt Wasser, einer schenkt Wein
Tagtäglich sich ein
Einer schenkt Wasser, einer schenkt Wein
Tagtäglich sich ein

Jeder Tag ist offen wie ein Krug
Und am Morgen leer, daß man ihn füllt
Hat man ihn am Abend voll genug
Wird der Durst der Träume gestillt

Einer schenkt Wasser, einer schenkt Wein
Tagtäglich sich ein
Einer schenkt Wasser, einer schenkt Wein
Tagtäglich sich ein
Einer schenkt Wasser, einer schenkt Wein
Tagtäglich sich ein
Einer schenkt Wasser, einer schenkt Wein
Tagtäglich sich ein
Einer schenkt Wasser, einer schenkt Wein
Tagtäglich sich ein
Einer schenkt Wasser, einer schenkt Wein
Tagtäglich sich ein
Einer schenkt Wasser, einer schenkt Wein
Tagtäglich sich ein";https://genius.com/Puhdys-wasser-und-wein-lyrics;"Released 1994
Producers

    
      Colin Richardson, Dieter Birr, Karl Heinz Ocasek & 1 more
Writers

    
      Aram Khachaturian, Burkhard Lasch, Colin Richardson & 16 more"
