artist;title;album;text;url;metadata
Puhdys;Seelige Sehnsucht;Raritaten volume 2;"Sagt es Niemand nur den Weisen
Weil die Menge gleich vehöhnet?
Das Lebendige will ich preisen
Daß nach Flammentod sich sehnet

In der Liebesnächte Kühlung
Die dich zeugte, wo du zeugtest
Überfällt dich fremde Fühlung
Wenn die stille Kerze leuchtet

Seelige Sehnsucht
Seelige Sehnsucht

Nicht mehr bleibest du umfangen
In der Finsternis Beschattung
Und dich reißet neu Verlangen
Auf zu höherer Begattung

Seelige Sehnsucht
Seelige Sehnsucht

Keine Ferne macht dich schwierig
Kommst geflogen und gebannt
Und zuletzt des Lichts begierig
Bist du- Stimme liegt verbannt

Und solang du das nicht hast
Dieses Stirb und Werde
Bist du nur ein trüber Gast
Auf der dunklen Erde

Seelige Sehnsucht
Seelige Sehnsucht
Seelige Sehnsucht
Seelige Sehnsucht";https://genius.com/Puhdys-seelige-sehnsucht-lyrics;"Released 2004
Primary Artists

    
      Dieter Hertrampf, The Lords (Germany) & Puhdys
Producers

    
      André Kuntze, Dieter Birr, Karl Heinz Ocasek & 2 more
Writers

    
      Burkhard Lasch, Dieter Birr, Dieter Hertrampf & 7 more"
Puhdys;Ewig leben;Raritaten volume 2;"Alles fließt und geht vorbei auch wenn es gerade beginnt
Zeit wird alt - sterne kalt
Worte verwehen im wind

Auch wenn heut der erste tag vom Rest meines lebens ist
Sehn ich mich zurück auf vergangenes glück
Solang du nur bei mir bist

Denn ich will ewig leben
Und immer mehr von dir
Immer wieder und immer weiter mit dir

Denn ich will ewig leben
Und immer mehr von dir
Immer wieder und immer weiter mit dir

Alles fließt und geht vorbei auch wenn es gerade beginnt
Zeit wird alt - sterne kalt
Worte verwehen im wind

Denn ich will ewig leben
Und immer mehr von dir
Immer wieder und immer weiter mit dir";https://genius.com/Puhdys-ewig-leben-lyrics;"Released 2004
Primary Artists

    
      Dieter Hertrampf, The Lords (Germany) & Puhdys
Producers

    
      André Kuntze, Dieter Birr, Karl Heinz Ocasek & 2 more
Writers

    
      Burkhard Lasch, Dieter Birr, Dieter Hertrampf & 7 more"
Puhdys;Harley-Traum;Raritaten volume 2;"Afrika, Amerika - nur einmal seh'n
Den Tank zwischen den Knie'n
Viel zu jung und viel zu schnell
Plötzlich blieb die Uhr grausam für Ihn steh'n
Er hörte noch Sirenen, die seinetwegen schrie'n
Er spürte weder Zeit noch Raum
Ihm blieb nur der Harley-Traum

Afrika, Amerika - nur die Sehnsucht war schon da
Lange her, der Traum bleibt leer
Keine Abenteuer mehr
Er hört noch die Sirenen, die seinetwegen schrie'n
Die Musik in seinen Ohr'n
Hört er noch immer die Motor'n

Fliegen auf dem Highway durch Amerika
Fliegen auf dem Highway, er wär' so gerne da
Tanzen wie auf Wolken, schauen auf das Meer
Fliegen auf dem Highway, der Sonne hinterher

Ah, ah, ah, ah - der Sonne hinterher
Ah, ah, ah, ah - der Sonne hinterher
Ah, ah, ah, ah - der Sonne und dem Wind hinterher";https://genius.com/Puhdys-harley-traum-lyrics;"Released 2004
Primary Artists

    
      Dieter Hertrampf, The Lords (Germany) & Puhdys
Producers

    
      André Kuntze, Dieter Birr, Karl Heinz Ocasek & 2 more
Writers

    
      Burkhard Lasch, Dieter Birr, Dieter Hertrampf & 7 more"
The Lords (Germany);1992;Raritaten volume 2;"In nineteen-hundred and ninety-two
(C'mon let's get together)
We really would want to learn somethin' new
We'd really learn somethin' new

The dream of a worth livin' country for all
(C'mon let's get together)
Means freedom, respect, tolerance at all
Means tolerance at all

We shouldn't wait until '92
(C'mon let's get together)
There are a lot of things to do
A lot of things to do

Stop the conflict between left and right
(C'mon let's get together)
It's nothing more than a rearing fight
More than a rearing fight

C'mon let's sing together
Sing together now

C'mon let's sing together
Sing together now

Losing my health to realize our dream
(C'mon let's sing together)
Music means power you never have seen
Power you never have seen

C'mon let's sing together
Sing together now

C'mon let's sing together
Sing together now";https://genius.com/The-lords-germany-1992-lyrics;"Released 2004
Primary Artists

    
      Dieter Hertrampf, The Lords (Germany) & Puhdys
Producers

    
      André Kuntze, Dieter Birr, Karl Heinz Ocasek & 2 more
Writers

    
      Burkhard Lasch, Dieter Birr, Dieter Hertrampf & 7 more"
Puhdys;Magisches Licht;Raritaten volume 2;"Die Welt ist dunkel
Und spät am Abend
Der Ruf der Eule
Dich lockt bis tief in die Nacht

In deiner Seele
Ruht ein Geheimnis
Wie eine Quelle
Die deine Sehnsucht bewacht

Aus frühen Kindertagen
Blieb ein Schauer stiller Nächte zurück
Es brennt ein stummes Feuer
Immer wieder wie еin Nebel in dir

Du möchtest fliеgen
Zum Regenbogen
Und immer höher
In dieses magische Licht

Du möchtest fliegen
Zum Regenbogen
Und immer höher
In dieses magische Licht

Aus frühen Kindertagen
Blieb ein Schauer stiller Nächte zurück
Es brennt ein stummes Feuer
Immer wieder wie ein Nebel in dir

Das Licht am Abend
Kommt wie ein Nebel
Und dein Geheimnis
Gleitet vom Tag in die Nacht

Die deine Seele bewacht
Die deine Seele bewacht
Die deine Seele bewacht
Die deine Seele bewacht";https://genius.com/Puhdys-magisches-licht-lyrics;"Released 2004
Primary Artists

    
      Dieter Hertrampf, The Lords (Germany) & Puhdys
Producers

    
      André Kuntze, Dieter Birr, Karl Heinz Ocasek & 2 more
Writers

    
      Burkhard Lasch, Dieter Birr, Dieter Hertrampf & 7 more"
Puhdys;TV-Show;Raritaten volume 2;"Du bist der fernsehliebling der nation
Man kennt dich auch in der sowjetunion
Aber du du kennst und siehst mich leider nicht
Doch ich doch ich will dich
Doch leider nur in tv show und video
Tv show sterereo

Wie oft saß ich am fernseher entzückt
Und habe in gedanken dich geküßt
Doch du du interessierst dich leider nicht
Für mich doch ich will dich
Doch leider nur in tv show und video
Tv show sterereo

Mit andern hab ich selten rumgemacht
Und auch dabei hab ich an dich gedacht
Von meiner sehnsucht weißt du leider nichts
Doch ich doch ich will dich
Doch leider nur in tv show und video
Tv show sterereo";https://genius.com/Puhdys-tv-show-lyrics;"Released 2004
Primary Artists

    
      Dieter Hertrampf, The Lords (Germany) & Puhdys
Producers

    
      André Kuntze, Dieter Birr, Karl Heinz Ocasek & 2 more
Writers

    
      Burkhard Lasch, Dieter Birr, Dieter Hertrampf & 7 more"
Puhdys;Alpträume;Raritaten volume 2;"Ein erster goldener Schimmer
Dringt schwer nur durch die Dunkelheit
Nebel hüllt den Morgen ein
Noch is der Tag so weit

Es liegt das Land in tiefen Schlaf
Untern Mantel der Versunkenheit
Hier wird ein Traum zur Wirklichkeit
Yeah, yeah, yeah, yeah

Und Du wirst verfolgt
Von Wesen einer anderen Welt
Du kämpst um dein Lebеn
Als ein antiker Held

Fеrn deiner Sinne, der Wirklichkeit fern
Von Dämonen und Geistern bedroht
Stirbst du nun schon den dritten Tod
Yeah, yeah, yeah, yeah

Und dann schreckst du hoch
Erwacht durch deinen eigenen Schrei
Das Leid das dich so mitnahm
Das alles das ist nun vorbei

Das helle Licht - der Tag ist da
Im Traum gestorben und hier jetzt dem Leben nah
Und du lachst über dich
Denn es war nur ein Traum
Yeah, yeah, yeah, yeh

Das helle Licht - der Tag ist da
Im Traum gestorben und hier jetzt dem Leben nah
Und du lachst über dich
Denn es war nur ein Traum
Ha-ha-ha-ha-ha-ha-haa";https://genius.com/Puhdys-alptraume-lyrics;"Released 2004
Primary Artists

    
      Dieter Hertrampf, The Lords (Germany) & Puhdys
Producers

    
      André Kuntze, Dieter Birr, Karl Heinz Ocasek & 2 more
Writers

    
      Burkhard Lasch, Dieter Birr, Dieter Hertrampf & 7 more"
Dieter Hertrampf;Altes Mädchen;Raritaten volume 2;"Augen, so gütig und bilderschwer
Sie zeigt mir zitternd ihre Fotos her
Jahrzehnte erblühen in grauem Glanz
Sie steckt sich das Haar wie zum nächsten Tanz

Bunte Blüten
Leuchten weit
Bunte Blüten
Am Baum der Ewigkeit

Gebeugt von den Jahren und abgehärmt
Hat sie doch ein Lächeln, das mich wärmt
Ich seh' sie noch täglich spazierengeh'n
Als wollte sie aller Zeit widersteh'n

Bunte Blüten
Leuchten weit
Bunte Blüten
Am Baum der Ewigkeit

Bunte Blüten
Leuchten weit
Bunte Blüten
Am Baum der Ewigkeit

Bunte Blüten
Leuchten weit
Bunte Blüten
Am Baum der Ewigkeit

Bunte Blüten
Leuchten weit
Bunte Blüten
Am Baum der Ewigkeit";https://genius.com/Dieter-hertrampf-altes-madchen-lyrics;"Released 2004
Primary Artists

    
      Dieter Hertrampf, The Lords (Germany) & Puhdys
Producers

    
      André Kuntze, Dieter Birr, Karl Heinz Ocasek & 2 more
Writers

    
      Burkhard Lasch, Dieter Birr, Dieter Hertrampf & 7 more"
Dieter Hertrampf;Göttin der Nacht;Raritaten volume 2;"Unser erster Flug tief in die Nacht
Ein Höllenfeuer brannte in ein paar Stunden aus
Die Wellen aus dem Meer, deine magische Kraft
Die Augen strahlten hell, wie ein Licht der Stadt

Diese Kraft und dieser Bann lebte in uns fortan
Wir flogen zu den Sternen, wir tauchten bis zum Grund
Weit weg doch sehr nah, ein Wunder wurde wahr
Zwischеn Himmel und Meer, wir beide lеicht und schwer

Du bist meine Göttin der Nacht
Was hast du mit mir gemacht
Uuh, du meine Göttin der Nacht
Du mit deiner magischen Kraft

[?] der Gefühle vor
Alles was ich je versäumt empfinde ich mit dir
Weit weg doch sehr nah, ein Wunder wurde wahr
Zwischen Himmel und Meer, wir beide leicht und schwer

Du bist meine Göttin der Nacht
Was hast du mit mir gemacht
Uuh, du meine Göttin der Nacht
Du mit deiner magischen Kraft

Du bist meine Göttin der Nacht
Was hast du mit mir gemacht
Uuh, du meine Göttin der Nacht
Du mit deiner magischen Kraft";https://genius.com/Dieter-hertrampf-gottin-der-nacht-lyrics;"Released 2004
Primary Artists

    
      Dieter Hertrampf, The Lords (Germany) & Puhdys
Producers

    
      André Kuntze, Dieter Birr, Karl Heinz Ocasek & 2 more
Writers

    
      Burkhard Lasch, Dieter Birr, Dieter Hertrampf & 7 more"
Puhdys;Wut will nicht sterben;Raritaten volume 2;"Dieter Birr & Dieter Hertrampf:
Sag mir, wie weit willst Du geh'n
Willst Du ihn am Boden seh'n (Lindemann: Ja)
Willst Du daß er, vor Dir kniet
Willst Du daß er, um Gnade fleht

Rachegedanken von Demut gepeitscht
Du siehst und hörst nichts mehr
Deine kranken Gefühle
Geben ihm keine Chance
Deine Wut will nicht sterben
Nur dafür lebst Du noch

Du kannst, Du willst und wirst nie vergeben
Und Du verteufelst sein ganzes Leben
Treibst in den Wahnsinn von
Maßlosem Zorn, Vernichtung und Rache
Du bist zum Hassen gebor'n

Till Lindemann:
Meine Wut, will nicht sterben
Meine Wut, will nicht sterben
Meine Wut, stirbt nie

Dieter Birr & Dieter Hertrampf:
Deinen Hass rammst Du wie einen Stein
In ihn hinen o...

Till Lindemann:
Rammstein!

Dieter Birr & Dieter Hertrampf:
Hast ihn verfolgt, gejagt und verflucht
Und er hat kriechend das Weite gesucht

Du kannst, Du willst und wirst nie vergeben
Und Du verteufelst sein ganzes Leben
Treibst in den Wahnsinn von
Maßlosem Zorn, Vernichtung und Rache
Du bist zum Hassen gebor'n

Till Lindemann:
Meine Wut, will nicht sterben
Meine Wut, will nicht sterben
Meine Wut, stirbt nie

Dieter Birr & Dieter Hertrampf:
Du kannst, Du willst und wirst nie vergeben
Und Du verteufelst sein ganzes Leben
Treibst in den Wahnsinn von
Maßlosem Zorn, Vernichtung und Rache
Du bist zum Hassen gebor'n

Till Lindemann:
Meine Wut, will nicht sterben
Meine Wut, will nicht sterben
Meine Wut, stirbt nie

Ja!";https://genius.com/Puhdys-wut-will-nicht-sterben-lyrics;"Released 2004
Primary Artists

    
      Dieter Hertrampf, The Lords (Germany) & Puhdys
Producers

    
      André Kuntze, Dieter Birr, Karl Heinz Ocasek & 2 more
Writers

    
      Burkhard Lasch, Dieter Birr, Dieter Hertrampf & 7 more"
