artist,title,album,text,url,metadata
Puhdys,Totale Immunität,Zufrieden,"Niemals sterben
Nie alt werden
Ewig zeit und ewig jung
Niemals weinen
Niemals leiden
Und niemals enttäuschung

Utopische visionen
Utopische visionen
Ohne dunkle seelen
Niemals schmerzen fühlen

Nie versagen
Nie verzagen
Niemals angst und ewig stark
Nie verlieren
Niemals frieren
Niemals bluten, niemals schwach

Utopische visionen...

Totale immunität
Engel ohne fleisch und blut
Totale immunität
Dasein ohne seelenwut totale immunität

Engel ohne fleisch und blut
Totale immunität
Dasein ohne seelenwut

Niemals hassen
Nie verlassen
Und niemals einsamkeit
Niemals sterben
Nie alt werden
Ewige zufriedenheit

Totale immunität...",https://genius.com/Puhdys-totale-immunitat-lyrics,"Released May 28, 2001
Featuring

    
      Kathleen Oesterreich
Producers

    
      André Kuntze & Dieter Birr
Writers

    
      Dieter Birr, Eric Jeitner, Klaus Scharfschwerdt & 4 more"
Puhdys,Himmel voller Geigen,Zufrieden,"Manchmal streichelt wind die warme haut
Manchmal scheint das fremde so vertraut
Manchmal aber blst der wind uns klte in's gesicht
Und vertraute nhe sprt man nicht

Mal hngt der himmel voller geigen
Mal sind die sterne berhaupt nicht mehr zu seh'n
Mal kann man jeden berg besteigen
Und ber tiefe wasser geh'n

Manchmal fhlt man sich betrogen
Mal glaubt man unsterblich zu sein
Manchmal wird man selbst von gott belogen
Und engel sind auf einmal kalt wie stein

Mal hngt der himmel voller geigen
Mal sind die sterne berhaupt nicht mehr zu seh'n
Mal kann man jeden berg besteigen
Und ber tiefe wasser geh'n

Mal hngt der himmel voller geigen
Mal sind die sterne berhaupt nicht mehr zu seh'n
Mal kann man jeden berg besteigen
Und ber tiefe wasser geh'n",https://genius.com/Puhdys-himmel-voller-geigen-lyrics,"Released May 28, 2001
Featuring

    
      Kathleen Oesterreich
Producers

    
      André Kuntze & Dieter Birr
Writers

    
      Dieter Birr, Eric Jeitner, Klaus Scharfschwerdt & 4 more"
Puhdys,Damals in Berlin,Zufrieden,"Nie, nie sagte sie
Sie sagte nie - ich liebe dich
Nie, nie fragte sie
Sie fragte nie - sag liebst du mich

Doch das ist schon lange her
Schon so lange her

So sehr lange her
Und nie mehr war sie so sehr
Wie damals verliebt
Nie mehr und so sehr
So verliebt wie in ihn

Doch das sagte sie
Ihm leider nie

So sehr lange her
Und nie mehr war sie so sehr
Wie damals verliebt
Nie mehr und so sehr
So verliebt wie in ihn

Doch das sagte sie
Ihm leider nie

Sie hat ihn bis heut'
Nicht mehr geseh'n
Und sie bereut
Das sie damals verschwieg
Was sie fühlte für ihn, damals in Berlin

So sehr lange her
Und nie mehr war sie so sehr
Wie damals verliebt
Nie mehr und so sehr
So verliebt wie in ihn

Doch das sagte sie
Ihm leider nie",https://genius.com/Puhdys-damals-in-berlin-lyrics,"Released May 28, 2001
Featuring

    
      Kathleen Oesterreich
Producers

    
      André Kuntze & Dieter Birr
Writers

    
      Dieter Birr, Eric Jeitner, Klaus Scharfschwerdt & 4 more"
Puhdys,Zu wenig Zeit,Zufrieden,"Zeit
Wir haben viel zu wenig zeit
Wir haben uns viel zu sehr beeilt
Die zeit des lebens zu genieen

Zeit
Keiner wei wieviel noch bleibt
Und wieviel zeit man sich vertreibt
Um sich das leben zu versen

Neue zeiten, neuigkeiten
Wahrheiten und unwahrheiten
Zeiten gleiten weiter
Trbe oder heiter

Schlechte zeiten frust verbreiten
Bess're zeiten lust bereiten
Zeit ist geld
Und geld regiert die welt

Zeit
Wir haben viel zu wenig zeit
Wir haben uns viel zu sehr beeilt
Um dieses leben zu erleben

Zeit
Wir haben soviel zeit versumt
Und haben nur davon getrumt
Verlor'ne zeit neu zu erleben

Neue zeiten, neuigkeiten
Wahrheiten und unwahrheiten
Zeiten gleiten weiter
Trbe oder heiter

Schlechte zeiten frust verbreiten
Bess're zeiten lust bereiten
Zeit ist geld
Und geld regiert die welt

Neue zeiten, neuigkeiten
Wahrheiten und unwahrheiten
Zeiten gleiten weiter
Trbe oder heiter

Schlechte zeiten frust verbreiten
Bess're zeiten lust bereiten
Zeit ist geld
Und geld regiert die welt",https://genius.com/Puhdys-zu-wenig-zeit-lyrics,"Released May 28, 2001
Featuring

    
      Kathleen Oesterreich
Producers

    
      André Kuntze & Dieter Birr
Writers

    
      Dieter Birr, Eric Jeitner, Klaus Scharfschwerdt & 4 more"
Puhdys,Wüstensand,Zufrieden,"Oft bleibt nur noch Wüstensand
Wenn ein Tag zu ende ist
Und der Durst nach Freiheit brennt
Weil du nur noch wüste siehst

Nur noch grau in grau
Nur noch grau in grau

Auf nach Kalifornien
Den Horizont von hinten seh'n
Auf nach Kalifornien
Auf der Sonnenseite weitergeh'n

Oft bleibt nur noch Wüstensand
Wenn die liebe langsam stirbt
Und der Durst nach wärme brennt
Weil die wüste um dich stürmt

Nur noch grau in grau
Nur noch grau in grau

Auf nach Kalifornien
Den Horizont von hinten seh'n
Auf nach Kalifornien
Auf der Sonnenseite weitergeh'n

Hör' auf deine inn're stimme
Noch ist es nicht zu spät
Lass' deine träume leben
Eh sie der Wüstensand verweht

Auf nach Kalifornien
Den Horizont von hinten seh'n
Auf nach Kalifornien
Auf der Sonnenseite weitergeh'n",https://genius.com/Puhdys-wustensand-lyrics,"Released May 28, 2001
Featuring

    
      Kathleen Oesterreich
Producers

    
      André Kuntze & Dieter Birr
Writers

    
      Dieter Birr, Eric Jeitner, Klaus Scharfschwerdt & 4 more"
Puhdys,Es ist schön ein Mensch zu sein,Zufrieden,"Spießertum und sittenwächter
Krampf und kampf der geschlechter
Machos und emanzipation
Paschas und prostitution

Treueschwur und seitensprung
Stolz und erniedrigung
Körperkult und kokain
Seelenmedizin

Es ist schön ein mensch zu sein
Schön ein mensch zu sein

Huren und moralapostel
Weiße westen im bordell
Dreck'je wäsche vor der scheidung
Und deine eigne meinung - erfährst du aus der zeitung

Es ist schön ein mensch zu sein
Schön ein mensch zu sein

Liebe ist droge und droge ist sucht
Sucht ist wie feuer, wie feuer
Das alles verbrennt",https://genius.com/Puhdys-es-ist-schon-ein-mensch-zu-sein-lyrics,"Released May 28, 2001
Featuring

    
      Kathleen Oesterreich
Producers

    
      André Kuntze & Dieter Birr
Writers

    
      Dieter Birr, Eric Jeitner, Klaus Scharfschwerdt & 4 more"
Puhdys,Was du sagst,Zufrieden,"Du hast mich so oft belogen
Und ich habe schon erwogen
Meine liebe radikal zu reduzieren
Doch wenn ich bei dir liege
Vergess' ich jede lge
Und lass' alles, alles, alles mit mir passieren

Denn was du sagst
Das klingt so herrlich
Denn was du sagst
Ist so unentbehrlich fr mich
Ist so wie ein abenteuer
So geheimnisvoll
Denn was du sagst
Leider nicht ganz ehrlich

Ich hab' dir so oft vergeben
Und ich bin am berlegen
Soll ich bleiben oder soll ich einfach geh'n - na mal sehn

Denn was du sagst
Das klingt so herrlich
Denn was du sagst
Ist so unentbehrlich fr mich
Ist so wie ein abenteuer
So geheimnisvoll
Denn was du sagst
Leider nicht ganz ehrlich

Ich stehe wie im regen
Kann mich nicht mehr wehr'n dagegen
Wenn deine sen lgen wie kalte schauer auf meine seele fall'n

Denn was du sagst
Das klingt so herrlich
Denn was du sagst
Ist so unentbehrlich fr mich
Ist so wie ein abenteuer
So geheimnisvoll
Denn was du sagst
Leider nicht ganz ehrlich",https://genius.com/Puhdys-was-du-sagst-lyrics,"Released May 28, 2001
Featuring

    
      Kathleen Oesterreich
Producers

    
      André Kuntze & Dieter Birr
Writers

    
      Dieter Birr, Eric Jeitner, Klaus Scharfschwerdt & 4 more"
Puhdys,Stars,Zufrieden,"Wir brauchen keine stars aus amerika
Wir haben doch bei uns schon alles da
Doch wenn ihr mal jemand' braucht in amerika
Schicken wir euch einen ""big brother""-star

Westernhagen trägt armani
Lindenberg verbreitet panik
Tote hosen rentnerpunk
Ärzte schreiben bohlen krank

Prinzen waren mal ganz vorn
Und auch unser guildo horn
Blümchen fühlt sich so allein
Steigt jetzt bei knorkator ein

Alles klar - wozu noch superstars aus amerika?

Pur und petry schlagerklang
Rammstein machen raver krank
Gröni will sein herz zurück
Doch helge schneider spielt verrückt

Peter maffay lebt in spanien
Züchtet gurken und geranien
Siegel schreibt noch hin und wieder
Für die böhsen onkelz lieder

Alles klar - wozu noch superstars aus amerika?

Wir brauchen keine stars aus amerika
Wir haben doch bei uns schon alles da
Doch wenn ihr mal jemand' braucht in amerika
Schicken wir euch einen ""big brother""-star

Arbeiter- und bauernstaat
City, puhdys und karat
Überbleibsel der antike
Sozialistische musike

Xavier naidoo ist heilig
Predigt jetzt mit herbert dreilich
Ideal planen comeback
Covern nummern von roy black

Hardrock, neue deutsche welle
Hip hop, rapper, popkapelle
Punk und heavy metal sound
Gruftis aus dem underground

Schlager, lieder, liedermacher
Technobeats und discokracher
Modern rock und volksmusik
In der bundesrepublik

Wir brauchen keine stars aus amerika
Wir haben doch bei uns schon alles da
Doch wenn ihr mal jemand' braucht in amerika
Schicken wir euch einen ""big brother""-star

Wir brauchen keine stars aus amerika
Wir haben doch bei uns schon alles da
Doch wenn ihr mal jemand' braucht in amerika
Schicken wir euch einen ""big brother""-star",https://genius.com/Puhdys-stars-lyrics,"Released May 28, 2001
Featuring

    
      Kathleen Oesterreich
Producers

    
      André Kuntze & Dieter Birr
Writers

    
      Dieter Birr, Eric Jeitner, Klaus Scharfschwerdt & 4 more"
Puhdys,Ich hab’ ein Gefühl,Zufrieden,"Ich kann die blicke spür'n
Du schaust mir hinterher
Ich hab' so ein gefühl
Du willst noch mehr

Ich kann die sehnsucht seh'n
Und spür' sie auch in mir
Wie dick ist deine haut
Sag - wie nah bin ich dir

Du bist schön
Du bist schlau
Und ich hab' dich
Ich fühl' es genau
Täusch' ich mich in dir
Oder spielst du mit mir
Mal seh'n

Ich hab' das gefühl
Dich wie mich zu kennen
Ich hab' das gefühl
Dass da schon was war
Ich hab' das gefühl
In einem früheren leben
War'n wir ein paar
Du wirst lachen
Doch ich spüre solche sachen

Ich kann die hitze fühl'n
So cool bist nicht mal du
Ist das liebe, liebe pur
Oder träum' ich das nur

Du bist schön
Du bist schlau
Und ich hab' dich
Ich fühl' es genau
Täusch' ich mich in dir
Oder spielst du mit mir
Mal seh'n

Ich hab' das gefühl
Dich wie mich zu kennen
Ich hab' das gefühl
Das da schon was war
Ich hab' das gefühl
In einem früheren leben
War'n wir ein paar
Du wirst lachen
Doch ich spüre solche sachen

Ich hab' das gefühl...

Ich hab' das gefühl...",https://genius.com/Puhdys-ich-hab-ein-gefuhl-lyrics,"Released May 28, 2001
Featuring

    
      Kathleen Oesterreich
Producers

    
      André Kuntze & Dieter Birr
Writers

    
      Dieter Birr, Eric Jeitner, Klaus Scharfschwerdt & 4 more"
Puhdys,Geister,Zufrieden,"Vergangenheit hat mich geprgt
Mich hat der Teufel oft reingelegt
Und ich hab nur an Rache gedacht
Da hat mal jemand zu mir gesagt:

Weck deine Lebensgeister
Und blicke nie im Zorn zurck
Und schick die bsen Geister
Einfach in die Hlle zurck!

Ich war verbittert und hab geflucht
Und hab die Schuld nie bei mir gesucht
Vershnungszeichen ignoriert
Und fast vor Selbstmitleid krepiert

Weck deine Lebensgeister
Und blicke nie im Zorn zurck
Und schick die bsen Geister
Einfach in die Hlle zurck!

Treib, treib, treib die Geister
Treib, treib die bsen Geister
Treib, treib, treib die bsen Geister fort

Treib, treib, treib die Geister
Treib, treib die bsen Geister
Treib, treib, treib die bsen Geister fort

Treib, treib, treib die Geister
Treib, treib die bsen Geister
Treib, treib die bsen Geister fort

Weck deine Lebensgeister
Und blicke nie im Zorn zurck
Und schick die bsen Geister
Einfach in die Hlle zurck!",https://genius.com/Puhdys-geister-lyrics,"Released May 28, 2001
Featuring

    
      Kathleen Oesterreich
Producers

    
      André Kuntze & Dieter Birr
Writers

    
      Dieter Birr, Eric Jeitner, Klaus Scharfschwerdt & 4 more"
