"";"artist";"title";"album";"text";"url";"metadata"
"1";"Rammstein";"Wollt ihr das Bett in Flammen sehen?";"Herzeleid";"[Verse 1]Wollt ihr das Bett in Flammen sehen?Wollt ihr in Haut und Haaren untergehen?Ihr wollt doch auch den Dolch ins Laken steckenIhr wollt doch auch das Blut vom Degen lecken[Chorus]Rammstein!Rammstein![Verse 2]Ihr seht die Kreuze auf dem KissenIhr meint euch darf die Unschuld küssenIhr glaubt zu töten wäre schwerDoch wo kommen all die Toten her?[Chorus]Rammstein!Rammstein!Rammstein![Bridge]Sex ist eine SchlachtLiebe ist KriegSex ist eine Schlacht, jaLiebe ist KriegSex ist eine SchlachtLiebe ist KriegSex ist eine Schlacht, jaLiebe ist Krieg[Verse 1]Wollt ihr das Bett in Flammen sehen?Wollt ihr in Haut und Haaren untergehen?Ihr wollt doch auch den Dolch ins Laken steckenIhr wollt doch auch das Blut vom Degen lecken[Chorus]Rammstein!Rammstein!Rammstein!Rammstein!
[Outro]Rammstein! Rammstein! Rammstein!Rammstein! Rammstein! Rammstein!Rammstein! Rammstein! Rammstein!Rammstein! Rammstein! Rammstein!Rammstein! Rammstein! Rammstein!";"https://genius.com/Rammstein-wollt-ihr-das-bett-in-flammen-sehen-lyrics";"Released September 29, 1995
Copyright ©

    
      Motor Music
Phonographic Copyright <U+2117>

    
      Motor Music
Photography

    
      Praler
Artwork

    
      Praler
Design

    
      Dirk Rudolph
Label

    
      Slash Records & Motor Music
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Drums

    
      Christoph Schneider"
"2";"Rammstein";"Der Meister";"Herzeleid";"Lauft!Weil der Meister uns gesandtVerkünden wir den UntergangDer Reiter der BoshaftigkeitFüttert sein Geschwür aus NeidDie Wahrheit ist wie ein GewitterEs kommt zu dir du kannst es hörenEs kund zu tun ist ach so bitterEs kommt zu dir um zu zerstörenWeil die Nacht im Sterben lagVerkünden wir den jüngsten TagEs wird kein Erbarmen gebenLauft, lauft um euer LebenDie Wahrheit ist ein Chor aus WindKein Engel kommt um euch zu rächenDiese Tage eure letzten sindWie Stäbchen wird es euch zerbrechenEs kommt zu euch als das verderbenDie Wahrheit ist ein chor aus windKein engel kommt um euch zu rächenDiese Tage eure letzten sindWie stäbchen wird es euch zerbrechen";"https://genius.com/Rammstein-der-meister-lyrics";"Released September 29, 1995
Copyright ©

    
      Motor Music
Phonographic Copyright <U+2117>

    
      Motor Music
Photography

    
      Praler
Artwork

    
      Praler
Design

    
      Dirk Rudolph
Label

    
      Slash Records & Motor Music
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Drums

    
      Christoph Schneider"
"3";"Rammstein";"Weißes Fleisch";"Herzeleid";"[Intro]Weißes Fleisch![Verse 1]Du auf dem Schulhof, ich zum Töten bereitUnd keiner hier weiß von meiner EinsamkeitRote Striemen auf weißer HautIch tu dir weh und du jammerst laut[Verse 2]Jetzt hast du Angst und ich bin soweitMein schwarzes Blut versaut dir das Kleid[Chorus 1]Dein weißes Fleisch erregt mich so (Fleisch, Fleisch, Fleisch, Fleisch!)Ich bin doch nur ein Gigolo (Fleisch, Fleisch, Fleisch, Fleisch!)Dein weißes Fleisch erleuchtet mich (Fleisch, Fleisch, Fleisch, Fleisch!)[Verse 2]Mein schwarzes Blut und dein weißes FleischIch werd immer geiler von deinem GekreischDer Angstschweiß da auf deiner weißen StirnHagelt in mein krankes Gehirn[Chorus 2]Dein weißes Fleisch erregt mich so (Fleisch, Fleisch, Fleisch, Fleisch!)Ich bin doch nur ein Gigolo (Fleisch, Fleisch, Fleisch, Fleisch!)Mein Vater war genau wie ich (Fleisch, Fleisch, Fleisch!)Dein weißes Fleisch erleuchtet mich[Instrumental Bridge][Verse 3]Jetzt hast du Angst und ich bin soweitMein krankes Dasein nach Erlösung schreitDein weißes Fleisch wird mein Schafott-t-t-tIn meinem Himmel gibt es keinen Gott[Chorus 3]Dein weißes Fleisch erregt mich so (Fleisch, Fleisch, Fleisch, Fleisch!)Ich bin doch nur ein Gigolo (Fleisch, Fleisch, Fleisch, Fleisch!)Dein weißes Fleisch erleuchtet mich (Fleisch, Fleisch, Fleisch, Fleisch!)Mein Vater war genau wie ich (Fleisch, Fleisch, Fleisch, Fleisch!)Dein weißes Fleisch erregt mich so (Fleisch, Fleisch, Fleisch, Fleisch!)Ich bin ein trauriger Gigolo (Fleisch, Fleisch, Fleisch, Fleisch!)Dein weißes Fleisch erleuchtet (Fleisch, Fleisch, Fleisch!)Mich";"https://genius.com/Rammstein-weies-fleisch-lyrics";"Released September 29, 1995
Copyright ©

    
      Motor Music
Phonographic Copyright <U+2117>

    
      Motor Music
Photography

    
      Praler
Artwork

    
      Praler
Design

    
      Dirk Rudolph
Label

    
      Slash Records & Motor Music
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Drums

    
      Christoph Schneider"
"4";"Rammstein";"Asche zu Asche";"Herzeleid";"[Strophe 1]Warmer Körper (Warmer Körper)Heißes Kreuz (Heißes Kreuz)Falsches Urteil (Falsches Urteil)Kaltes Grab (Kaltes Grab)Auf dem Kreuze lieg ich jetztSie schlagen mir die Nägel einDas Feuer wäscht die Seele reinUnd übrig bleibt ein Mund vollAsche[Strophe 2]Ich komm wieder (Ich komm wieder)In zehn Tagen (Ich komm wieder)Als dein Schatten (Ich komm wieder)Und werd dich jagen (Ich komm wieder)Heimlich werd ich auferstehenUnd du wirst um Gnade flehenDann knie ich mich in dein GesichtUnd steck den Finger in die...[Refrain]AscheAscheAscheAscheAsche zu AscheAsche zu AscheAsche zu AscheUnd Staub zu Staub[Synth-Solo][Bridge]Heimlich werd ich auferstehenUnd du wirst um Gnade flehenDann knie ich mich in dein GesichtUnd steck den Finger in die...[Refrain]Asche zu AscheAsche zu AscheAsche zu AscheUnd Staub zu StaubAsche zu Asche (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Und Staub zu Staub (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Und Staub zu Staub (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Und Staub zu Staub (Staub, staub, staub, staub)
[Outro]Zu Staub, zu Staub (Staub, staub, staub, staub) (Ich komm wieder)Zu Staub, zu Staub (Staub, staub, staub, staub)Zu Staub, zu Staub (Staub, staub, staub, staub)Zu Staub, zu Staub (Staub, staub, staub, staub)Zu Staub, zu Staub (Staub, staub, staub, staub) (Ich komm wieder)Zu Staub, zu Staub (Staub, staub, staub, staub)Zu Staub, zu Staub (Staub, staub, staub, staub)Zu Staub, zu Staub, ja! (Staub, staub, staub, staub)";"https://genius.com/Rammstein-asche-zu-asche-lyrics";"Released September 29, 1995
Copyright ©

    
      Motor Music
Phonographic Copyright <U+2117>

    
      Motor Music
Photography

    
      Praler
Artwork

    
      Praler
Design

    
      Dirk Rudolph
Label

    
      Slash Records & Motor Music
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Drums

    
      Christoph Schneider"
"5";"Rammstein";"Seemann";"Herzeleid";"[Strophe 1]Komm in mein BootEin Sturm kommt aufUnd es wird NachtWo willst du hin?So ganz alleinTreibst du davonWer hält deine HandWenn es dichNach unten zieht?[Strophe 2]Wo willst du hin?So uferlosDie kalte SeeKomm in mein BootDer Herbstwind hältDie Segel straff[Refrain 1]Jetzt stehst du da an der LaterneMit Tränen im GesichtDas Tageslicht fällt auf die SeiteDer Herbstwind fegt die Straße leer[Strophe 3]Komm in mein BootDie Sehnsucht wirdDer SteuermannKomm in mein BootDer beste SeemannWar doch ich[Refrain 2]Jetzt stehst du da an der LaterneHast Tränen im GesichtDas Abendlicht verjagt die SchattenDie Zeit steht still und es wird Herbst[Strophe 4]Komm in mein BootDie Sehnsucht wirdDer Steuermann
Komm in mein BootDer beste SeemannWar doch ich[Refrain 2]Jetzt stehst du da an der LaterneHast Tränen im GesichtDas Feuer nimmst du von der KerzeDie Zeit steht still und es wird Herbst[Refrain 3]Sie sprachen nur von deiner MutterSo gnadenlos ist nur die NachtAm Ende bleib ich doch alleineDie Zeit steht stillUnd mir ist kalt";"https://genius.com/Rammstein-seemann-lyrics";"Released September 29, 1995
Copyright ©

    
      Motor Music
Phonographic Copyright <U+2117>

    
      Motor Music
Photography

    
      Praler
Artwork

    
      Praler
Design

    
      Dirk Rudolph
Label

    
      Slash Records & Motor Music
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Drums

    
      Christoph Schneider"
"6";"Rammstein";"Du riechst so gut";"Herzeleid";"[Songtext zu „Du riechst so gut“][Strophe 1](Der Wahnsinn)Ist nur eine schmale BrückeDie Ufer sind Vernunft und TriebIch steig' dir nachDas Sonnenlicht den Geist verwirrtEin blindes Kind das vorwärts kriechtWeil es seine Mutter riecht(Ich finde dich)Die Spur ist frisch und auf die BrückeTropft dein Schweiß dein warmes BlutIch seh' dich nichtIch riech' dich nur ich spüre DichEin Raubtier das vor Hunger schreitWittere ich dich meilenweit[Refrain]Du riechst so gut, du riechst so gut ich geh' dir hinterherDu riechst so gut, ich finde dichSo gut, so gut ich steig dir nachDu riechst so gut, gleich hab ich dich[Strophe 2](Jetzt hab ich dich)Ich warte bis es dunkel istDann fass ich an die nasse HautVerrate mich nichtOh siehst du nicht die Brücke brenntHör auf zu schreien und wehre dich nichtWeil sie sonst auseinander bricht[Refrain]Du riechst so gut, du riechst so gut ich geh' dir hinterherDu riechst so gut, ich finde dichSo gut, so gut ich steig dir nachDu riechst so gut, gleich hab ich dich[Instrumental Bridge][Refrain]Du riechst so gut, du riechst so gut ich geh' dir hinterherDu riechst so gut ich finde dichSo gut, so gut ich fass dich anDu riechst so gut, jetzt hab ich dich
[Outro]Du riechst so gut, du riechst so gut ich geh dir hinterher";"https://genius.com/Rammstein-du-riechst-so-gut-lyrics";"Released September 29, 1995
Copyright ©

    
      Motor Music
Phonographic Copyright <U+2117>

    
      Motor Music
Photography

    
      Praler
Artwork

    
      Praler
Design

    
      Dirk Rudolph
Label

    
      Slash Records & Motor Music
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Drums

    
      Christoph Schneider"
"7";"Rammstein";"Das alte Leid";"Herzeleid";"[Intro](Hallo, hallo)[Strophe 1]Aus der Bohne und in das LichtEin Wesen mich zu gehen drängtFür die selbe Sache und das alte LeidMeine Tränen mit Gelächter fängtUnd auf der Matte fault ein junger LeibWo das Schicksal seine Puppen lenktFür die selbe Sache und das alte LeidWeiß ich endlich hier wird nichts verschenkt[Bridge][Strophe 2]Aus der Bohne und in das NichtsWeiß jeder was am Ende bleibtDieselbe Sache und das alte LeidMich so langsam in den Wahnsinn treibtUnd auf der Matte tobt derselbe KriegMir immer noch das Herz versengtDieselbe Sache und das alte LeidWeiß nun endlich[Pre-Refrain]Ich will ficken[Refrain]Nie mehr (Ficken, ficken, ficken)Nie mehr das alte LeidNie mehrNie mehr das alte LeidNie mehrNie mehr das alte LeidNie mehrNie mehr das alte Leid[Strophe 3]Aus der Bohne und in das LichtEin Wesen mich zu gehen drängtFür die selbe Sache und das alte LeidMeine Tränen mit Gelächter fängtUnd auf der Matte fault ein junger LeibWo das Schicksal seine Puppen lenktFür die selbe Sache und das alte LeidWeiß ich endlich...[Refrain]Nie mehrNie mehr das alte LeidNie mehrNie mehr das alte LeidNie mehrNie mehr das alte LeidNie mehrNie mehr das alte LeidNie mehrNie mehr das alte LeidNie mehrNie mehr das alte LeidNie mehrNie mehr das alte LeidNie mehrNie mehr das alte Leid";"https://genius.com/Rammstein-das-alte-leid-lyrics";"Released September 29, 1995
Copyright ©

    
      Motor Music
Phonographic Copyright <U+2117>

    
      Motor Music
Photography

    
      Praler
Artwork

    
      Praler
Design

    
      Dirk Rudolph
Label

    
      Slash Records & Motor Music
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Drums

    
      Christoph Schneider"
"8";"Rammstein";"Heirate Mich";"Herzeleid";"[Intro]Man sieht ihn um die Kirche schleichenSeit einem Jahr ist er alleinDie Trauer nahm ihm alle SinneSchläft jede Nacht bei ihrem Stein[Strophe 1]Dort bei den Glocken schläft ein SteinUnd ich alleine kann ihn lesenUnd auf dem Zaun der rote HahnIst seiner Zeit dein Herz gewesenDie Furcht auf diesen Zaun gespießtGeh ich nun graben jede NachtZu sehen was noch übrig istVon dem Gesicht das mir gelacht[Refrain]Dort bei den Glocken verbring ich die NachtDort zwischen Schnecken ein einsames TierTagsüber lauf ich der Nacht hinterherZum zweitenmal entkommst du mirHeirate mich(Hei, hei, hei)Heirate mich(Hei, hei, hei)Heirate mich(Hei, hei, hei)Heirate mich(Hei, hei, hei)[Strophe 2]Mit meinen Händen grab ich tiefZu finden was ich so vermisstUnd als der Mond im schönsten KleidHab deinen kalten Mund geküsstIch nehm dich zärtlich in den ArmDoch deine Haut reißt wie PapierUnd Teile fallen von dir abZum zweitenmal entkommst du mir
[Refrain]Dort bei den Glocken verbring ich die NachtDort zwischen Schnecken ein einsames TierTagsüber lauf ich der Nacht hinterherZum zweitenmal entkommst du mirHeirate mich(Hey, hey, hey)Heirate mich(Hey, hey, hey)Heirate mich(Hey, hey, hey)Heirate mich(Hey, hey, hey)Heirate mich(Hey, hey, hey)Heirate mich(Hey, hey, hey)Heirate mich(Hey, hey, hey)Heirate mich(Hey, hey, hey)[Outro]So nehm ich was noch übrig istDie Nacht ist heiß und wir sind nacktZum Fluch der Hahn den Morgen grüßtIch hab den Kopf ihm abgehackt";"https://genius.com/Rammstein-heirate-mich-lyrics";"Released September 29, 1995
Copyright ©

    
      Motor Music
Phonographic Copyright <U+2117>

    
      Motor Music
Photography

    
      Praler
Artwork

    
      Praler
Design

    
      Dirk Rudolph
Label

    
      Slash Records & Motor Music
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Drums

    
      Christoph Schneider"
"9";"Rammstein";"Herzeleid";"Herzeleid";"Bewahret einander vor HerzeleidDenn kurz ist die Zeit die ihr beisammen seidDenn wenn euch auch viele Jahre vereinenEinst werden sie wie Minuten euch scheinenHerzeleidHerzeleidHerzeleidHerzeleidHerzeleidHerzeleidHerzeleidBewahret einander vor der ZweisamkeitHerzeleidHerzeleidHerzeleidHerzeleid";"https://genius.com/Rammstein-herzeleid-lyrics";"Released September 29, 1995
Copyright ©

    
      Motor Music
Phonographic Copyright <U+2117>

    
      Motor Music
Photography

    
      Praler
Artwork

    
      Praler
Design

    
      Dirk Rudolph
Label

    
      Slash Records & Motor Music
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Drums

    
      Christoph Schneider"
"10";"Rammstein";"Laichzeit";"Herzeleid";"[Strophe 1]Er liebt die MutterUnd von der SeiteDen Fisch gibt er ihr selbstDieser häutet sich vor leerem HodenDie alte Haut fällt auf den Boden[Strophe 2]Er liebt die SchwesterUnd von hintenDer Fisch frisst sich zum MundDie Kiemen blutig noch vom saugenAn den roten großen Augen[Refrain]LaichzeitLaichzeitLaichzeitLaichzeitLaichzeitLaichzeitLaichzeitEs ist Laichzeit[Strophe 3]Er liebt den HundOh Gott von obenDer Fisch jetzt mit der Zunge küsstSpeit tote Milch dir ins GesichtIhn anzufassen wagst du nicht[Refrain]LaichzeitLaichzeitLaichzeitLaichzeitLaichzeitÜberall FischmilchLaichzeitEs ist Laichzeit[Outro]Die Mutter hat das Meer geholtLaichzeit, LaichzeitDie Schwestern haben keine ZeitLaichzeit, LaichzeitDer Hund steht winkend am GestadeLaichzeit, LaichzeitDer Fisch braucht seine EinsamkeitLaichzeit";"https://genius.com/Rammstein-laichzeit-lyrics";"Released September 29, 1995
Copyright ©

    
      Motor Music
Phonographic Copyright <U+2117>

    
      Motor Music
Photography

    
      Praler
Artwork

    
      Praler
Design

    
      Dirk Rudolph
Label

    
      Slash Records & Motor Music
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Drums

    
      Christoph Schneider"
