"";"artist";"title";"album";"text";"url";"metadata"
"1";"Rammstein";"Engel";"Sehnsucht";"[Songtext zu „Engel“][Strophe 1: Till Lindemann]Wer zu Lebzeit gut auf ErdenWird nach dem Tod ein Engel werdenDen Blick gen Himmel fragst du dannWarum man sie nicht sehen kann[Refrain: Christiane ""Bobo"" Hebold & Till Lindemann]Erst wenn die Wolken schlafengeh'nKann man uns am Himmel seh'nWir haben Angst und sind alleinGott weiß ich will kein Engel sein[Strophe 2: Till Lindemann]Sie leben hinterm SonnenscheinGetrennt von uns unendlich weitSie müssen sich an Sterne krallen (Ganz fest)Damit sie nicht vom Himmel fallen[Refrain: Christiane ""Bobo"" Hebold & Till Lindemann]Erst wenn die Wolken schlafengeh'nKann man uns am Himmel seh'nWir haben Angst und sind alleinGott weiß ich will kein Engel seinGott weiß ich will kein Engel seinGott weiß ich will kein Engel sein[Interlude][Refrain: Christiane ""Bobo"" Hebold & Till Lindemann]Erst wenn die Wolken schlafengeh'nKann man uns am Himmel seh'nWir haben Angst und sind alleinGott weiß ich will kein Engel seinGott weiß ich will kein Engel seinGott weiß ich will kein Engel seinGott weiß ich will kein Engel seinGott weiß ich will kein Engel sein";"https://genius.com/Rammstein-engel-lyrics";"Released December 2, 2011
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini
Backing Vocals

    
      Paul Landers & Richard Z. Kruspe"
"2";"Rammstein";"Links 2 3 4";"Mutter";"[Songtext zu „Links 2 3 4“][Strophe 1]Kann man Herzen brechen?Können Herzen sprechen?Kann man Herzen quälen?Kann man Herzen stehlen?[Refrain]Sie wollen mein Herz am rechten Fleck, dochSeh' ich dann nach unten wegDa schlägt es linksLinks[Strophe 2]Können Herzen singen?Kann ein Herz zerspringen?Können Herzen rein sein?Kann ein Herz aus Stein sein?[Refrain]Sie wollen mein Herz am rechten Fleck, dochSeh' ich dann nach unten wegDa schlägt es linksLinksLinksLinksLinks zwo drei vierLinks zwo, links zwoLinks zwo drei vierLinksLinks zwo, links zwoLinks zwo drei vierLinksLinks zwo drei vier[Bridge]Kann man Herzen fragen?Ein Kind darunter tragen?Kann man es verschenken?Mit dem Herzen denken?Sie wollen mein Herz am rechten FleckDoch seh' ich dann nach unten wegDa schlägt es in der linken BrustDer Neider hat es schlecht gewusst
[Refrain]LinksLinksLinksLinksLinks zwo drei vierLinksLinks zwo drei vierLinks zwo, links zwoLinks zwo drei vierLinksLinks zwo, links zwoLinks zwo drei vierLinksLinks zwo, links zwoLinks zwo drei vierLinks zwo, links zwoLinks zwo drei vierLinks zwo, links zwoLinks zwo drei vierLinks zwo, links zwoLinks zwo drei vier";"https://genius.com/Rammstein-links-2-3-4-lyrics";"Released December 2, 2011
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini
Backing Vocals

    
      Paul Landers & Richard Z. Kruspe"
"3";"Rammstein";"Keine Lust";"Reise, Reise";"[Songtext zu „Keine Lust“][Strophe 1]Ich hab' keine LustIch hab' keine LustIch hab' keine LustIch hab' keine LustIch habe keine Lust mich nicht zu hassenHab' keine Lust mich anzufassenIch hätte Lust zu onanierenHab' keine Lust es zu probierenIch hätte Lust mich auszuziehenHab' keine Lust mich nackt zu sehen[Refrain]Ich hätte Lust mit großen TierenHab' keine Lust es zu riskierenHab' keine Lust vom Schnee zu gehenHab' keine Lust zu erfrieren[Strophe 2]Ich hab' keine LustIch hab' keine LustIch hab' keine LustNein ich hab keine LustIch hab' keine Lust etwas zu kauenDenn ich hab' keine Lust es zu verdauenHab' keine Lust mich zu wiegenHab' keine Lust im Fett zu liegen[Refrain]Ich hätte Lust mit großen TierenHab' keine Lust es zu riskierenHab' keine Lust vom Schnee zu gehenHab' keine Lust zu erfrierenIch bleibe einfach liegenUnd wieder zähle ich die FliegenLustlos fasse ich mich anUnd merke bald ich bin schon lange kalt[Bridge]So kalt, mir ist kaltSo kalt, mir ist kaltMir ist kaltSo kalt, mir ist kaltSo kalt, mir ist kaltSo kalt, mir ist kalt
[Outro]Ich hab' keine Lust";"https://genius.com/Rammstein-keine-lust-lyrics";"Released December 2, 2011
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini
Backing Vocals

    
      Paul Landers & Richard Z. Kruspe"
"4";"Rammstein";"Mein Teil";"Reise, Reise";"[Songtext zu „Mein Teil“][Intro]„Suche gut gebauten achtzehn- bis dreißigjährigen zum Schlachten“Der Metzgermeister[Strophe 1]Heute treff' ich einen HerrnDer hat mich zum Fressen gernWeiche Teile und auch harteStehen auf der Speisekarte[Pre-Refrain]Denn du bist was du isstUnd ihr wisst was es ist[Refrain]Es ist mein Teil – neinMein Teil – neinDa das ist mein Teil – neinMein Teil – nein[Strophe 2]Die stumpfe Klinge gut und rechtIch blute stark und mir ist schlechtMuss ich auch mit der Ohnmacht kämpfenIch esse weiter unter Krämpfen[Bridge]Ist doch so gut gewürztUnd so schön flambiertUnd so liebevoll auf Porzellan serviertDazu ein guter WeinUnd zarter KerzenscheinJa da lass ich mir ZeitEtwas Kultur muss sein[Pre-Refrain]Denn du bist was du isstUnd ihr wisst was es ist[Refrain]Es ist mein Teil – neinMein Teil – neinDenn das ist mein Teil – neinYes it's mein Teil – nein
[Strophe 3]Ein Schrei wird zum Himmel fahrenSchneidet sich durch EngelsscharenVom Wolkendach fällt FederfleischAuf meine Kindheit mit Gekreisch[Refrain]Es ist mein Teil – neinMein Teil – neinDa das ist mein Teil – neinMein Teil – neinEs ist mein Teil – neinMein Teil – neinDenn das ist mein Teil – neinYes it's mein Teil – nein";"https://genius.com/Rammstein-mein-teil-lyrics";"Released December 2, 2011
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini
Backing Vocals

    
      Paul Landers & Richard Z. Kruspe"
"5";"Rammstein";"Du hast";"Sehnsucht";"[Songtext zu „Du hast“][Strophe]Du, du hast, du hast michDu, du hast, du hast michDu, du hast, du hast michDu, du hast, du hast mich[Pre-Refrain]Du, du hast, du hast mich, du hast michDu hast mich gefragt, du hast mich gefragtDu hast mich gefragt und ich hab' nichts gesagt[Refrain]Willst du bis der Tod euch scheidetTreu ihr sein für alle Tage?(Ja) Nein(Ja) NeinWillst du bis der Tod euch scheidetTreu ihr sein für alle Tage?(Ja) Nein(Ja) Nein[Strophe]Du, du hast, du hast michDu, du hast, du hast mich[Pre-Refrain]Du, du hast, du hast mich, du hast michDu hast mich gefragt, du hast mich gefragtDu hast mich gefragt und ich hab' nichts gesagt[Refrain]Willst du bis der Tod euch scheidetTreu ihr sein für alle Tage?(Ja) Nein(Ja) NeinWillst du bis zum Tod der ScheideSie lieben auch in schlechten Tagen?(Ja) Nein(Ja) NeinWillst du bis der Tod euch scheidetTreu ihr sein(Ja) Nein(Ja) Nein";"https://genius.com/Rammstein-du-hast-lyrics";"Released December 2, 2011
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini
Backing Vocals

    
      Paul Landers & Richard Z. Kruspe"
"6";"Rammstein";"Du riechst so gut";"Herzeleid";"[Songtext zu „Du riechst so gut“][Strophe 1](Der Wahnsinn)Ist nur eine schmale BrückeDie Ufer sind Vernunft und TriebIch steig' dir nachDas Sonnenlicht den Geist verwirrtEin blindes Kind das vorwärts kriechtWeil es seine Mutter riecht(Ich finde dich)Die Spur ist frisch und auf die BrückeTropft dein Schweiß dein warmes BlutIch seh' dich nichtIch riech' dich nur ich spüre DichEin Raubtier das vor Hunger schreitWittere ich dich meilenweit[Refrain]Du riechst so gut, du riechst so gut ich geh' dir hinterherDu riechst so gut, ich finde dichSo gut, so gut ich steig dir nachDu riechst so gut, gleich hab ich dich[Strophe 2](Jetzt hab ich dich)Ich warte bis es dunkel istDann fass ich an die nasse HautVerrate mich nichtOh siehst du nicht die Brücke brenntHör auf zu schreien und wehre dich nichtWeil sie sonst auseinander bricht[Refrain]Du riechst so gut, du riechst so gut ich geh' dir hinterherDu riechst so gut, ich finde dichSo gut, so gut ich steig dir nachDu riechst so gut, gleich hab ich dich[Instrumental Bridge][Refrain]Du riechst so gut, du riechst so gut ich geh' dir hinterherDu riechst so gut ich finde dichSo gut, so gut ich fass dich anDu riechst so gut, jetzt hab ich dich
[Outro]Du riechst so gut, du riechst so gut ich geh dir hinterher";"https://genius.com/Rammstein-du-riechst-so-gut-lyrics";"Released December 2, 2011
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini
Backing Vocals

    
      Paul Landers & Richard Z. Kruspe"
"7";"Rammstein";"Ich will";"Mutter";"[Songtext zu „Ich Will“][Intro]Ich willIch willIch willIch willIch willIch willIch will[Strophe 1](Ich Will) Ich will dass ihr mir vertraut(Ich Will) Ich will dass ihr mir glaubt(Ich Will) Ich will eure Blicke spüren(Ich Will) jeden Herzschlag kontrollieren(Ich Will) Ich will eure Stimmen hören(Ich Will) Ich will die Ruhe stören(Ich Will) Ich will dass ihr mich gut seht(Ich Will) Ich will dass ihr mich versteht[Instrumental][Strophe 2](Ich Will) Ich will eure Phantasie(Ich Will) Ich will eure Energie(Ich Will) Ich will eure Hände sehen(Ich Will) in Beifall untergehen[Pre-Refrain]Seht ihr mich?Versteht ihr mich?Fühlt ihr mich?Hört ihr mich?[Refrain]Könnt ihr mich hören? (Wir hören dich)Könnt ihr mich sehen? (Wir sehen dich)Könnt ihr mich fühlen? (Wir fühlen dich)Ich versteh euch nichtKönnt ihr mich hören? (Wir hören dich)Könnt ihr mich sehen? (Wir sehen dich)Könnt ihr mich fühlen? (Wir fühlen dich)Ich versteh euch nicht[Bridge]Ich willIch willIch willIch will
[Pre-Refrain]Wir wollen dass ihr uns vertrautWir wollen dass ihr uns alles glaubtWir wollen eure Hände sehenWir wollen in Beifall untergehen, ja[Refrain]Könnt ihr mich hören? (Wir hören dich)Könnt ihr mich sehen? (Wir sehen dich)Könnt ihr mich fühlen? (Wir fühlen dich)Ich versteh euch nichtKönnt ihr uns hören? (Wir hören euch)Könnt ihr uns sehen? (Wir sehen euch)Könnt ihr uns fühlen? (Wir fühlen euch)Wir verstehen euch nicht[Outro]Ich willIch will";"https://genius.com/Rammstein-ich-will-lyrics";"Released December 2, 2011
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini
Backing Vocals

    
      Paul Landers & Richard Z. Kruspe"
"8";"Rammstein";"Mein Herz brennt";"Mutter";"[Songtext zu „Mein Herz brennt“][Intro]Nun, liebe Kinder, gebt fein AchtIch bin die Stimme aus dem KissenIch hab' euch etwas mitgebrachtHab' es aus meiner Brust gerissenMit diesem Herz hab' ich die MachtDie Augenlider zu erpressenIch singe bis der Tag erwachtEin heller Schein am Firmament[Refrain]Mein Herz brennt![Strophe 1]Sie kommen zu euch in der NachtDämonen, Geister, schwarze FeenSie kriechen aus dem KellerschachtUnd werden unter euer Bettzeug sehen[Pre-Refrain]Nun, liebe Kinder, gebt fein achtIch bin die Stimme aus dem KissenIch hab' euch etwas mitgebrachtEin heller Schein am Firmament[Refrain]Mein Herz brennt!Mein Herz brennt![Strophe 2]Sie kommen zu euch in der NachtUnd stehlen eure kleinen, heißen TränenSie warten bis der Mond erwachtUnd drücken sie in meine kalten Venen[Pre-Refrain]Nun liebe Kinder gebt fein achtIch bin die Stimme aus dem KissenIch singe bis der Tag erwachtEin heller Schein am Firmament[Refrain]Mein Herz brennt!Mein Herz brennt!Mein Herz brennt!Mein Herz brennt!
[Strophe 3]Mit diesem Herz hab' ich die MachtDie Augenlider zu erpressenIch singe bis der Tag erwachtEin heller Schein am Firmament[Instrumental Bridge][Refrain]Mein Herz brennt!Mein Herz brennt!Mein Herz brennt! (Mein Herz)Mein Herz brennt!(Mein Herz brennt!)(Mein Herz brennt!)";"https://genius.com/Rammstein-mein-herz-brennt-lyrics";"Released December 2, 2011
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini
Backing Vocals

    
      Paul Landers & Richard Z. Kruspe"
"9";"Rammstein";"Mutter";"Made in germany 1995 2011";"[Songtext zu „Mutter“][Strophe 1]Die Tränen greiser KinderscharIch zieh sie auf ein weißes HaarWerf in die Luft die nasse KetteUnd wünsch mir, dass ich eine Mutter hätteKeine Sonne die mir scheintKeine Brust hat Milch geweintIn meiner Kehle steckt ein SchlauchHab keinen Nabel auf dem Bauch[Refrain]Mutter, MutterMutter, Mutter[Strophe 2]Ich durfte keine Nippel leckenUnd keine Falte zum VersteckenNiemand gab mir einen NamenGezeugt in Hast und ohne SamenDer Mutter die mich nie geborenHab ich heute Nacht geschworenIch werd ihr eine Krankheit schenkenUnd sie danach im Fluss versenken[Refrain]Mutter, MutterMutter, MutterMutter, MutterMutter, Mutter[Hook]In ihren Lungen wohnt ein AalAuf meiner Stirn ein MuttermalEntferne es mit Messers KussAuch wenn ich daran sterben muss[Bridge]Mutter, MutterMutter, Mutter!
[Hook]In ihren Lungen wohnt ein AalAuf meiner Stirn ein MuttermalEntferne es mit Messers KussAuch wenn ich verbluten muss[Outro]MutterOh gib mir KraftMutter, MutterOh gib mir KraftMutter, MutterOh gib mir KraftMutter, MutterOh gib mir Kraft";"https://genius.com/Rammstein-mutter-lyrics";"Released December 2, 2011
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini
Backing Vocals

    
      Paul Landers & Richard Z. Kruspe"
"10";"Rammstein";"PUSSY";"Liebe Ist Für Alle Da";"[Songtext zu „PUSSY“][Strophe 1]Too big, too smallSize does matter, after allZu groß, zu kleinEr könnte etwas größer seinMercedes Benz und AutobahnAlleine in das Ausland fahrenReise Reise, FahrvergnügenIch will nur Spaß, mich nicht verlieben[Pre-Refrain]Just a little bitJust a little bitch[Refrain]You've got a pussy, I have a dick, ahSo what's the problem? Let's do it quickSo take me now before it's too late, life's too short, so I can't waitTake me now, oh, don't you see? I can't get laid in Germany[Strophe 2]Too short, too tallIt doesn't matter, one size fits allZu groß, zu kleinDer Schlagbaum sollte oben sein!Schönes Fräulein, Lust auf mehr?Blitzkrieg mit dem Fleischgewehr!Schnaps im Kopf, du holde BrautSteck Bratwurst in dein Sauerkraut[Pre-Refrain]Just a little bitBe my little bitch[Refrain]You've got a pussy, I have a dick, ahSo what's the problem? Let's do it quickSo take me now before it's too late, life's too short, so I can't waitTake me now, oh, don't you see? I can't get laid in Germany
[Bridge]Germany! Germany!You've got a pussy, I have a dick, ahSo what's the problem? Let's do it quickYou've got a pussy, I have a dick, ahSo what's the problem? Let's do it quick[Refrain]You've got a pussy, I have a dick, ahSo what's the problem? Let's do it quickSo take me now before it's too late, life's too short, so I can't waitTake me now, oh, don't you see? I can't get laid in Germany";"https://genius.com/Rammstein-pussy-lyrics";"Released December 2, 2011
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 4 more
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini
Backing Vocals

    
      Paul Landers & Richard Z. Kruspe"
