"";"artist";"title";"album";"text";"url";"metadata"
"1";"Rammstein";"DEUTSCHLAND";"RAMMSTEIN";"[Songtext zu „DEUTSCHLAND“]

[Strophe 1]
Du (Du hast, du hast, du hast, du hast)Hast viel geweint (Geweint, geweint, geweint, geweint)
Im Geist getrennt (Getrennt, getrennt, getrennt, getrennt)Im Herz vereint (Vereint, vereint, vereint, vereint)
Wir (Wir sind, wir sind, wir sind, wir sind)Sind schon sehr lang zusammen (Ihr seid, ihr seid, ihr seid, ihr seid)
Dein Atem kalt (So kalt, so kalt, so kalt, so kalt)Das Herz in Flammen (So heiß, so heiß, so heiß, so heiß)
Du (Du kannst, du kannst, du kannst, du kannst)
Ich (Ich weiß, ich weiß, ich weiß, ich weiß)
Wir (Wir sind, wir sind, wir sind, wir sind)
Ihr (Ihr bleibt, ihr bleibt, ihr bleibt, ihr bleibt)

[Refrain]
(Deutschland!) Mein Herz in FlammenWill dich lieben und verdammen(Deutschland!) Dein Atem kalt
So jung und doch so alt
(Deutschland!)

[Strophe 2]
Ich (Du hast, du hast, du hast, du hast)
Ich will dich nie verlassen (Ich weiß, ich weiß, ich weiß, ich weiß)
Man kann dich lieben (Du liebst, du liebst, du liebst, du liebst)Und will dich hassen (Du hast, du hast, du hast, du hast)
Überheblich, überlegen
Übernehmen, übergeben
Überraschen, überfallen
Deutschland, Deutschland über allen

[Refrain]
(Deutschland!) Mein Herz in FlammenWill dich lieben und verdammen(Deutschland!) Dein Atem kalt
So jung und doch so alt
(Deutschland!) Deine Liebe ist Fluch und Segen(Deutschland!) Meine Liebe kann ich dir nicht geben
(Deutschland!)

[Bridge]
Du
Ich
WirIhr
Du (Übermächtig, überflüssig)
Ich (Übermenschen, überdrüssig)
Wir (Wer hoch steigt, der wird tief fallen)
Ihr (Deutschland, Deutschland über allen)

[Refrain]
(Deutschland!) Dein Herz in FlammenWill dich lieben und verdammen(Deutschland!) Mein Atem kalt
So jung und doch so alt
(Deutschland!) Deine Liebe ist Fluch und Segen(Deutschland!) Meine Liebe kann ich dir nicht geben
(Deutschland!)";"https://genius.com/Rammstein-deutschland-lyrics";"Released May 17, 2019
Distribution

    
      Vertigo/Capitol
Producers

    
      Olsen Involtini & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Additional Production

    
      Tom Dalgety
Additional Programming

    
      Bazzazian
Additional Vocals

    
      Richard Z. Kruspe"
"2";"Rammstein";"RADIO";"RAMMSTEIN";"[Songtext zu „RADIO“]

[Strophe 1]
Wir durften nicht dazugehörenNichts sehen, reden oder hören
Doch jede Nacht für ein, zwei StundenBin ich dieser Welt entschwunden
Jede Nacht ein bisschen froh
Mein Ohr ganz nah am Weltempfänger

[Refrain]
Radio, mein Radio
Ich lass' mich in den Äther saugen
Meine Ohren werden Augen
Radio, mein Radio
So höre ich, was ich nicht seh'
Stille heimlichfernes Weh

[Strophe 2]
Wir durften nicht dazugehören
Nichts sehen, reden oder stören
Jenes Liedgut war verbotenSo gefährlich fremde Noten
Doch jede Nacht ein wenig froh
Mein Ohr ganz nah am Weltempfänger

[Refrain]
Radio, mein Radio
Ich lass' mich in den Äther saugen
Meine Ohren werden Augen
Radio, mein Radio (Mein Radio)
So höre ich, was ich nicht seh'
Stille heimlich fernes Weh

[Bridge]
Jede Nacht ich heimlich stiegAuf den Rücken der MusikLeg die Ohren an die Schwingen
Leise in die Hände singen
Jede Nacht und wieder flieg'
Ich einfach fort mit der Musik
Schwebe so durch alle RäumeKeine Grenzen, keine Zäune

[Interlude]
Radio, RadioRadio, Radio

[Refrain]
Radio, mein Radio (mein Radio)
Ich lass' mich in den Äther saugen
Meine Ohren werden Augen
Radio, mein Radio (mein Radio)
So höre ich, was ich nicht seh'
Stille heimlich fernes Weh";"https://genius.com/Rammstein-radio-lyrics";"Released May 17, 2019
Distribution

    
      Vertigo/Capitol
Producers

    
      Olsen Involtini & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Additional Production

    
      Tom Dalgety
Additional Programming

    
      Bazzazian
Additional Vocals

    
      Richard Z. Kruspe"
"3";"Rammstein";"ZEIG DICH";"RAMMSTEIN";"[Songtext zu „ZEIG DICH“]

[Intro: Chor]
Exmustamus, cruchifixus
Murisuri, extraspection
Exmustamus, cruchifixus
Lumine, extraspection
Exmustamus, cruchifixus
Murisuri, extraspection, extraspection

[Strophe 1: Till Lindemann]
Verlangen, verfluchen
Verdammen, Versuchung
Verdammnis versprechen
Verüben sie Verbrechen
Verheißung verkünden
Vergebung aller Sünden
Verbreiten und vermehren
Im Namen des Herren

[Bridge: Till Lindemann]
Zeig dich!Zeig dich!

[Strophe 2: Till Lindemann]
Verstecken,verzichten
Verbrennen und vernichten
Verhütung verboten
Verstreuen sie Gebote
Verfolgungverkünden
Vergebung der Sünden
Verbreiten, sich vermehren
Im Namen des Herren

[Bridge: Till Lindemann]
Zeig dich!Zeig dich!

[Refrain: Till Lindemann]
Zeig dich! Versteck dich nicht
Zeig dich!Wir verlieren das LichtZeig dich! Kein Engel in der NotKein Gott zeigt sich, der Himmel färbt sich rot

[Strophe 3: Till Lindemann]
Verfehlung verfolgenVerführung vergelten
Vergnügen verpöntVerlogen und verwöhnt
Aus Versehen sichAn Kindern vergehen
Verbreiten und vermehren
Im Namen des Herren

[Bridge: Till Lindemann]
Zeig dich!Zeig dich!

[Refrain: Till Lindemann]
Zeig dich! Versteck dich nicht
Zeig dich! Wir verlieren das LichtZeig dich! Kein Engel in der NotUnd kein Gott zeigt sich, der Himmel färbt sich rot

[Outro: Chor & Till Lindemann]
Exmustamus, cruchifixusMurisuri, extraspectionExmustamus, murisuriExtraspection, extraspectionZeig dich";"https://genius.com/Rammstein-zeig-dich-lyrics";"Released May 17, 2019
Distribution

    
      Vertigo/Capitol
Producers

    
      Olsen Involtini & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Additional Production

    
      Tom Dalgety
Additional Programming

    
      Bazzazian
Additional Vocals

    
      Richard Z. Kruspe"
"4";"Rammstein";"AUSLÄNDER";"RAMMSTEIN";"[Songtext zu „AUSLÄNDER“]

[Strophe 1]
Ich reise viel, ich reise gernFern und nah und nah und fernIch bin zuhause überallMeine Sprache: internationalIch mache es gern jedem rechtJa, mein Sprachschatz ist nicht schlecht
Ein scharfes Schwert im WortgefechtMit dem anderen Geschlecht

[Pre-Refrain]
Ich bin kein Mann für eine NachtIch bleibe höchstens ein, zwei Stunden
Bevor die Sonne wieder lachtBin ich doch schon längst verschwunden
Und ziehe weiter meine Runden

[Refrain]
Ich bin Ausländer (Ausländer)Mi amor, mon chériAusländer (Ausländer)Ciao, ragazza, take a chance on meIch bin Ausländer (Ausländer)Mon amour, <U+044F> <U+043B><U+044E><U+0431><U+043B><U+044E> <U+0442><U+0435><U+0431><U+044F>Ein Ausländer (Ausländer)Come on, baby, c'est, c'est, c'est la vie

[Strophe 2]
Andere Länder, andere Zungen
So hab' ich mich schon früh gezwungen
Dem Missverständnis zum VerdrussDass man Sprachen lernen muss
Und wenn die Sonne untergehtUnd man vor Ausländerinnen stehtIst es von Vorteil, wenn man dannSich verständlich machen kann

[Pre-Refrain]
Ich bin kein Mann für eine Nacht
Ich bleibe höchstens ein, zwei Stunden
Bevor die Sonne wieder lacht
Bin ich doch schon längst verschwunden
Und ziehe weiter meine Runden
Hahahahahaha

[Refrain]
Ich bin Ausländer (Ausländer)Mi amor, mon chériAusländer (Ausländer)Ciao, ragazza, take a chance on meIch bin Ausländer (Ausländer)Mon amour, <U+044F> <U+043B><U+044E><U+0431><U+043B><U+044E> <U+0442><U+0435><U+0431><U+044F>Ein Ausländer (Ausländer)Come on, baby, c'est, c'est, c'est la vie

[Outro]
Du kommen mit, ich dir machen gut
Du kommen mit, ich dir machen gut
Du kommen mit, ich dir machen gut";"https://genius.com/Rammstein-auslander-lyrics";"Released May 17, 2019
Distribution

    
      Vertigo/Capitol
Producers

    
      Olsen Involtini & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Additional Production

    
      Tom Dalgety
Additional Programming

    
      Bazzazian
Additional Vocals

    
      Richard Z. Kruspe"
"5";"Rammstein";"SEX";"RAMMSTEIN";"[Songtext zu „SEX“]

[Strophe 1]
Ich seh' dich an und mir wird schlecht
Überall das dralle Fleisch
Ich schau' dir tief in das Geschlecht
Und die Knie werden weich
Tausend Nadeln, das Verlangen
Will Geruch mit Händen fangen

[Pre-Refrain 1]
Weiß, das Hirn kriecht in die Venen
Und es singen die Sirenen
Eine Faust in meinem Bauch
Komm her, du willst es doch auch

[Refrain]
Sex! Komm zu mir
Meins ist deins und das in dir
Sex! Komm mit mir
Denn besser liederlich als wieder nicht
Wir leben nur einmal
Wir lieben das Leben

[Strophe 2]
Ich seh' dich an und mir ist schlecht
Häute fallen auf die Haut
Ich schau' dir tiefer ins Geschlecht
Leib und Brüste gut gebaut

[Pre-Refrain 2]
Es ist ein Beben, ist ein Schwingen
Und die Sirenen singen
Ein Verlangen unterm Bauch
Komm her, denn du willst es doch auch

[Refrain]
Sex! Komm zu mir
Meins ist deinsund das in dir
Sex! Komm mit mir
Denn besser liederlich als wieder nicht
Wir leben nur einmal
Wir lieben das Leben
Wir lieben die Liebe
Wir leben

[Post-Refrain]
Sex!
Hahahaha, ja

[Outro]
Wir leben nur einmal
Wir lieben das Leben
Wir lieben die Liebe
Wir leben weil Sex! (Sex, Sex, Sex)
Sex! (Sex, Sex, Sex)
Sex! (Sex, Sex, Sex)";"https://genius.com/Rammstein-sex-lyrics";"Released May 17, 2019
Distribution

    
      Vertigo/Capitol
Producers

    
      Olsen Involtini & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Additional Production

    
      Tom Dalgety
Additional Programming

    
      Bazzazian
Additional Vocals

    
      Richard Z. Kruspe"
"6";"Rammstein";"PUPPE";"RAMMSTEIN";"[Songtext zu „PUPPE“]

[Strophe 1]
Wenn Schwesterlein zur Arbeit mussSchließt mich im Zimmer einHat eine Puppe mir geschenktDann bin ich nicht alleinWenn Schwesterlein zur Arbeit mussFährt sie nicht mit der BahnIhr Schaffensplatz ist gar nicht weitIst gleich im Zimmer nebenan

[Bridge]
Am Himmel dunkle Wolken zieh'n
Ich nehme artig meine Medizin
Und warte hier im Daunenbeet
Bis die Sonne untergeht

[Strophe 2]
Sie kommen und sie gehen
Und manchmal auch zu zweit
Die späten Vögel singen
Und die Schwester schreit

[Bridge]
Am Himmel dunkle Wolken zieh'n
Ich nehme artig meine Medizin
Und warte hier im Daunenbeet
Bis die Sonne untergeht

[Refrain]
Und dann reiß' ich der Puppe den Kopf abDann reiß' ich der Puppe den Kopf abJa, ich beiß' der Puppe den Hals abEs geht mir nicht gutIch reiß' der Puppe den Kopf abJa, ich reiß' der Puppe den Kopf abUnd dann beiß' ich der Puppe den Hals abEs geht mir nicht gut, nein!

[Post-Refrain]
Dam-damDam-damDam-dam

[Strophe 3]
Wenn Schwesterlein der Arbeit frönt
Das Licht im Fenster rot
Ich sehe zu durchs Schlüsselloch
Und einer schlug sie tot

[Refrain]
Und jetzt reiß' ich der Puppe den Kopf abJa, ich reiß' der Puppe den Kopf abUnd dann beiß' ich der Puppe den Hals abJetzt geht es mir gut, ja!Ich reiße der Puppe den Kopf abJa, ich reiß' der Puppe den Kopf abUnd jetzt beiß' ich der Puppe den Hals abEs geht mir sehr gut, ja!

[Post-Refrain]
Dam-damDam-damDam-dam";"https://genius.com/Rammstein-puppe-lyrics";"Released May 17, 2019
Distribution

    
      Vertigo/Capitol
Producers

    
      Olsen Involtini & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Additional Production

    
      Tom Dalgety
Additional Programming

    
      Bazzazian
Additional Vocals

    
      Richard Z. Kruspe"
"7";"Rammstein";"WAS ICH LIEBE";"RAMMSTEIN";"[Songtext zu „WAS ICH LIEBE“]

[Strophe 1]
Ich kann auf Glück verzichtenWeil es Unglück in sich trägtMuss ich es vernichtenWas ich liebe, will ich richten

[Bridge]
Dass ich froh bin, darf nicht seinNein (Nein, nein)

[Strophe 2]
Ich liebe nicht, dass ich was liebe
Ich mag es nicht, wenn ich was mag
Ich freu' mich nicht, wenn ich mich freue
Weiß ich doch, ich werde es bereuen

[Bridge]
Dass ich froh bin, darf nicht sein
Wer mich liebt, geht dabei ein

[Refrain]
Was ich liebe
Das wird verderben
Was ich liebe
Das muss auch sterben, muss sterben

[Strophe 3]
So halte ich mich schadlos
Lieben darf ich nicht
Dann brauch' ich nicht zu leiden (Nein)
Und kein Herz zerbricht

[Bridge]
Dass ich froh bin, darf nicht sein
Nein (Nein, nein)

[Refrain]
Was ich liebe
Das wird verderben
Was ich liebe
Das muss sterben, muss sterben

[Bridge]
Auf Glück und Freude
Folgen Qualen
Für alles Schöne
Muss man zahlen, ja

[Refrain]
Was ich liebe
Das wird verderben
Was ich liebe
Das muss auch sterben, muss sterben
Was ich liebe";"https://genius.com/Rammstein-was-ich-liebe-lyrics";"Released May 17, 2019
Distribution

    
      Vertigo/Capitol
Producers

    
      Olsen Involtini & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Additional Production

    
      Tom Dalgety
Additional Programming

    
      Bazzazian
Additional Vocals

    
      Richard Z. Kruspe"
"8";"Rammstein";"DIAMANT";"RAMMSTEIN";"[Songtext zu „DIAMANT“]

[Strophe 1]
Du bist so schön, so wunderschönIch will nur dich, immer nur dich anseh'nDu lässt die Welt um mich verblassenKann den Blick nicht von dir lassen

[Pre-Refrain]
Und dieses Funkeln deiner AugenWill die Seele aus mir saugen

[Refrain]
Du bist schön wie ein Diamant
Schön anzuseh'n wie ein Diamant
Doch bitte lass mich geh'n

[Strophe 2]
Wie ein Juwel, so klar und rein
Dein feines Licht war mein ganzes Sein
Wollte dich ins Herzen fassen
Doch was nicht lieben kann, muss hassen

[Pre-Refrain]
Und dieses Funkeln deiner AugenWird die Seele aus mir saugen

[Refrain]
Du bist schön wie ein Diamant
Schön anzuseh'n wie ein Diamant
Doch bitte lass mich geh'n
Welche Kraft, was für ein Schein
Wunderschön wie ein Diamant
Doch nur ein Stein";"https://genius.com/Rammstein-diamant-lyrics";"Released May 17, 2019
Distribution

    
      Vertigo/Capitol
Producers

    
      Olsen Involtini & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Additional Production

    
      Tom Dalgety
Additional Programming

    
      Bazzazian
Additional Vocals

    
      Richard Z. Kruspe"
"9";"Rammstein";"WEIT WEG";"RAMMSTEIN";"[Songtext zu „WEIT WEG“]

[Strophe 1]
Niemand kann das Bild beschreibenGegen seine FensterscheibeHat er das Gesicht gepresstUnd hofft, dass sie das Licht anlässtOhne Kleid sah er sie nieDie Herrin seiner FantasieEr nimmt die Gläser vom Gesicht
Singt zitternd eine Melodie

[Interlude]

[Strophe 2]
Der Raum wird sich mit Mondlicht füllenLässt sie fallen, alle HüllenDer Anblick ist ihm sehr gewogenSpannt seine Fantasie zum BogenDer Atem stockt, das Herz schlägt wildMalt seine Farben in ihr BildSteht er da am FensterrandMit einer Sonne in der Hand

[Refrain]
Ganz nahSo weit weg von hierSo nahWeit, weit weg von dir
Ganz nah
So weit weg sind wir
So nah
Weit, weit weg von mir

[Bridge]
Wieder ist es MitternachtIch stehle uns das Licht der SonneWeil es immer dunkel istWenn der Mond die Sterne küsst

[Pre-Refrain]
Ganz nah
So nah

[Final Refrain]
Ganz nah
So weit weg von dir
So nah
So weit weg sind wir";"https://genius.com/Rammstein-weit-weg-lyrics";"Released May 17, 2019
Distribution

    
      Vertigo/Capitol
Producers

    
      Olsen Involtini & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Additional Production

    
      Tom Dalgety
Additional Programming

    
      Bazzazian
Additional Vocals

    
      Richard Z. Kruspe"
"10";"Rammstein";"TATTOO";"RAMMSTEIN";"[Strophe 1]
Ich trage einen Brief an mir
Die Worte brennen auf dem Papier
Das Papier ist me-meine Haut
Die Worte, Bilder, bunt und so laut

[Pre-Refrain]
Zeig mir deins, ich zeig' dir meins
Zeig mir deins, ich zeig' dir meins
Zeig mir deins, ich zeig' mir deins
Zeig mir deins, ich zeig' dir meins

[Refrain]
Wenn das Blut die Tinte küsst
Wenn der Schmerz das Fleisch umarmt
Ich zeige meine Haut
Bilder, die mir so vertraut
Aus der Nadel blaue Flut
In den Poren kocht das Blut

[Strophe 2]
Wer schön sein muss, der will auch leiden
Und auch der Tod kann uns nicht scheiden
Alle Bilder auf meiner Haut
Meine Kinder so, so vertraut

[Pre-Refrain]
Zeig mir deins, ich zeig' dir meins
Zeig mir deins, ich zeig' dir meins

[Refrain]
Wenn das Blut die Tinte küsst
Wenn der Schmerz das Fleisch umarmt
Ich zeige meine Haut
Bilder, die mir so vertraut
Aus der Nadel blaue Flut
In den Poren kocht das Blut

[Bridge]
Deinen Namen stech' ich mir
Dann bist du für immer hier
Aber wenn du uns entzweistSuch' ich mir jemand, der genauso heißt

[Refrain]
Wenn das Blut die Tinte küsst
Wenn der Schmerz das Fleisch umarmt
Ich liebe meine Haut
Bilder, die mir so vertraut
Aus der Nadel blaue Flut
In den Poren kocht das Blut";"https://genius.com/Rammstein-tattoo-lyrics";"Released May 17, 2019
Distribution

    
      Vertigo/Capitol
Producers

    
      Olsen Involtini & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Additional Production

    
      Tom Dalgety
Additional Programming

    
      Bazzazian
Additional Vocals

    
      Richard Z. Kruspe"
