"","artist","title","album","text","url","metadata"
"1","Rammstein","Feuerräder (Live Demo Version 1994)","Original Single Kollektion","[Strophe 1]
Leg mir das Halsband um
Dann geh ich auf die Knie
Und fang zu bellen an
Der Schmerz ist schön wie nie
Mach den Käfig auf
Hol mich ins Sternenreich

[Refrain]
Dort wo die Sterne waren
Drehn sich Feuerräder
Wir feiern eine Leidenschaft
Der Schmerz ist schön wie nie

[Strophe 2]
Komm tuh mir langsam weh
Leg mir die Ketten an
Und zieh die Knoten fest
Damit ich lachen kann
Mach den Käfig auf
Hol mich ins Sternenreich

[Refrain]
Dort wo die Sterne waren
Drehn sich Feuerräder
Wir feiern eine Leidenschaft
Der Schmerz ist schön wie nie

[Strophe 3]
Leg mir das Halsband um
Dann geh ich auf die Knie
Und fang zu bellen an
Der Schmerz ist schön wie nie

[Refrain]
Dort wo die Sterne waren
Drehn sich Feuerräder
Wir feiern eine Leidenschaft
Der Schmerz ist schön wie du

Dort wo die Sterne waren
Drehn sich Feuerräder
Wir feiern eine Leidenschaft
Der Schmerz ist schön wie nie

Dort wo die Sterne waren
Drehn sich Feuerräder
Wir feiern eine Leidenschaft
Der Schmerz ist schön wie du","https://genius.com/Rammstein-feuerrader-live-demo-version-1994-lyrics","Released April 23, 2015
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Emil Schult & 8 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Design

    
      Dirk Rudolph"
"2","Rammstein","Wilder Wein","Raritäten (1994   2012)","Wilder Wein - vor deinem SchlossWilder Wein - ich bin bereit
Man meldet Ankunft - nur für den KönigGott steh mir bei - und öffne deine ToreWilder Wein - und ganz langsamWilder Wein - so warm und feucht

Wilder Wein - vor deinem Schoss
Wilder Wein - es steht geschrieben
Tief im Wasser - kreuzt man nicht
Doch meine Lust - verlacht die Flügel
Wilder Wein - wie eine Taube
Wilder Wein - so nass und heiß

Wilder Wein - vor diesem DunkelWilder Wein - von Licht geheilt
Es bleibt verborgen - sonst könnten wir uns wehrenIch warte auf dich - am Ende der Nacht
Wilder Wein - nur eine TraubeWilder Wein - und bitter wie Schnee

Ich warte auf dich - am Ende der Nacht","https://genius.com/Rammstein-wilder-wein-lyrics","Released April 23, 2015
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Emil Schult & 8 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Design

    
      Dirk Rudolph"
"3","Rammstein","Das Modell","Original Single Kollektion","[Intro]
Mesdames et messieurs, nous avons l'honneur ce soir, de vous présenter la nouvelle collection de Rammstein

[Verse 1]
Sie ist ein Model und sie sieht gut aus
Ich nehm sie heut gerne mit zu mir nach Haus
Sie wirkt so kühl an sie kommt niemand ran
Doch vor der Kamera da zeigt sie was sie kann

[Verse 2]
Sie trinkt in Nachtclubs immer Sekt - korrekt
Und hat hier schon alle Männer abgecheckt
Im Scheinwerferlicht ihr junges Lächeln strahlt
Sie sieht gut aus und Schönheit wird bezahlt

[Verse 3]
Sie stellt sich zur Schau für das Konsumprodukt
Und wird von millionen Augen angeguckt
Ihr neues Titelbild ist einfach fabelhaft
Ich muss sie wiedersehen ich glaub sie hats geschafft","https://genius.com/Rammstein-das-modell-lyrics","Released April 23, 2015
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Emil Schult & 8 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Design

    
      Dirk Rudolph"
"4","Rammstein","Kokain","Original Single Kollektion","Sind die Freunde mir gewogen
Die weiße Fee spannt ihren BogenSchießt meiner Sorge ins Gesicht
Und aus den beiden Hälften bricht
Der Vater aller Spiegel

Er winkt mir und ich beug mich vor
Er flüstert leise in mein Ohr

Du bist das schönste Kind von allen
Ich halt dich wie mein eigen Blut
Du bist das schönste Kind von allen
In mir ist auch das Böse gut

Die Neugier meinen Traum verlängert
Die weiße Fee sie singt und lacht
Hat gewaltsam mich geschwängert
Und trächtig quält mich durch die Nacht
Der Vater aller Spiegel

Er winkt mir und ich beug mich vor
Er flüstert leise in mein Ohr

Du bist das schönste Kind von allen
Ich halt dich wie mein eigen Blut
Du bist das schönste Kind von allen
In mir ist auch das Böse gut

Und wie ich mich der Wehen wehre
Auf dem Kinderbett noch gehurt
Seh ich dabei zu wie ich gebäre
Und fress die eigne Nachgeburt

Du bist das schönste Kind...","https://genius.com/Rammstein-kokain-lyrics","Released April 23, 2015
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Emil Schult & 8 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Design

    
      Dirk Rudolph"
"5","Rammstein","Stripped","Raritaten 1994 2012","[Verse 1]
Come with me into the trees
We'll lay on the grass and let hours pass
Take my hand, come back to the land
Let's get away just for one day

[Chorus]
Let me see you stripped
Let me see you stripped

[Verse 2]
Metropolis has nothing on this
You're breathing in fumes, I taste when we kiss
Take my hand, come back to the land
Where everything's ours for a few hours

[Chorus]
Let me see you stripped
Let me see you stripped

[Post-Chorus]
Let me hear you make decisions without your television
Let me hear you speaking just for me

[Instrumental Break]

[Chorus]
Let me see you stripped
Let me see you stripped

[Post-Chorus]
Let me hear you make decisions without your television
Let me hear you speaking just for me

[Outro]
Let me see you stripped
Let me see you stripped
Let me see you stripped
Let me see you stripped","https://genius.com/Rammstein-stripped-lyrics","Released April 23, 2015
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Emil Schult & 8 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Design

    
      Dirk Rudolph"
"6","Rammstein","Halleluja","Raritäten (1994   2012)","Er ist fromm und sehr sensibel
An seiner Wand ein Bild des Herrn
Er wischt die Flecken von der Bibel
Das Abendmahl verteilt er gern

Er liebt die Knaben aus dem Chor
Sie halten ihre Seelen reinDoch Sorge macht ihm der TenorSo muss er ihm am nächsten seinAuf seinem Nachttisch still und stumm
Ein Bild des HerrnEr dreht es langsam um

[Hook]Wenn die Turmuhr zweimal schlägt (Halleluja)Faltet er die Hände zum Gebet (Halleluja)Er ist ohne Weib geblieben (Halleluja)So muss er seinen Nächsten lieben (Halleluja)

Der junge Mann darf bei ihm bleibenDie Sünde nistet überm BeinSo hilft er gern sie auszutreibenBei Musik und Kerzenschein

[Hook]

[Hook]Wenn die Turmuhr zweimal schlägt (Halleluja)Nimmt er den Junge ins Gebet (Halleluja)Er is der wahre Christ (Halleluja)Und weiss was Nächstenliebe ist (Halleluja)

Dreh dich langsam umDreh dich um","https://genius.com/Rammstein-halleluja-lyrics","Released April 23, 2015
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Emil Schult & 8 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Design

    
      Dirk Rudolph"
"7","Rammstein","Mutter (Vocoder Mix)","Raritäten (1994   2012)","Die Tränen greiser Kinderschar
Ich zieh sie auf ein weißes Haar
Werf in die Luft die nasse Kette
Und wünsch mir, dass ich eine Mutter hätte
Keine Sonne die mir scheint
Keine Brust hat Milch geweint
In meiner Kehle steckt ein Schlauch
Hab keinen Nabel auf dem Bauch

Mutter, Mutter
Mutter, Mutter

Ich durfte keine Nippel lecken
Und keine Falte zum Verstecken
Niemand gab mir einen Namen
Gezeugt in Hast und ohne Samen
Der Mutter die mich nie geboren
Hab ich heute Nacht geschworen
Ich werd ihr eine Krankheit schenken
Und sie danach im Fluss versenken

Mutter, Mutter
Mutter, Mutter
Mutter, Mutter
Mutter, Mutter

In ihren Lungen wohnt ein Aal
Auf meiner Stirn ein Muttermal
Entferne es mit Messers Kuss
Auch wenn ich daran sterben muss

Mutter, Mutter
Mutter, Mutter!

In ihren Lungen wohnt ein Aal
Auf meiner Stirn ein Muttermal
Entferne es mit Messers Kuss
Auch wenn ich verbluten muss

Mutter
Oh gib mir Kraft
Mutter, Mutter
Oh gib mir Kraft
Mutter, Mutter
Oh gib mir Kraft
Mutter, Mutter
Oh gib mir Kraft","https://genius.com/Rammstein-mutter-vocoder-mix-lyrics","Released April 23, 2015
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Emil Schult & 8 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Design

    
      Dirk Rudolph"
"8","Rammstein","5/4","Raritäten (1994   2012)","R-A-M-M-S-T-E-I-N","https://genius.com/Rammstein-5-4-lyrics","Released April 23, 2015
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Emil Schult & 8 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Design

    
      Dirk Rudolph"
"9","Rammstein","Mein Land","Raritaten 1994 2012","[Songtext zu „Mein Land“]

[Strophe 1]
Wohin gehst du? Wohin?Ich geh mit mir von Ost nach SüdWohin gehst du? Wohin?Ich geh mit mir von Süd nach WestWohin gehst du? Wohin?Ich geh mit mir von West nach Nord

[Refrain]
Da kommt er angeranntMit der Fahne in der HandMein LandMein Land
Du bist hier in meinem LandMein LandMein LandDu bist hier in meinem LandMein Land

[Strophe 2]
Wohin gehst du? Wohin?Ich geh mit mir von Nord nach OstWohin gehst du? Wohin?Ich geh mit mir von Ost nach WestWohin gehst du? Wohin?Ich geh von Land zu Land allein

[Refrain]
Und nichts und niemandLädt mich zu bleiben einMein LandMein Land
Du bist hier in meinem LandMein LandMein LandDu bist hier in meinem LandMeine Welle und mein StrandJa!

[Bridge]
Eine Stimme aus dem LichtFällt dem Himmel vom GesichtReisst den Horizont entzweiWohin gehst du?Hier ist nichts mehr frei
Das ist mein Land!Das ist mein LandDas ist mein Land

[Refrain]
Mein Land
Mein Land
Du bist hier in meinem LandMeine Welle und mein Strand
Mein Land
Mein Land
Du bist hier in meinem LandMeine Welle und mein Strand
Mein LandMein Land
Du bist hier in meinem Land
Meine Welle und mein Strand

[Outro]
Vertrieben! Mein LandVertreiben! Mein LandVergessen! Mein Land
Nirgends kann ich bleiben!
Mein Land","https://genius.com/Rammstein-mein-land-lyrics","Released April 23, 2015
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Emil Schult & 8 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Design

    
      Dirk Rudolph"
"10","Rammstein","Vergiss uns nicht","Raritaten 1994 2012","[Verse 1]
Als wir uns zusammen stecktenMit den Hüften, wie Insekten
Begann' mich selber zu versprühenUnd das Feld fing an zu blühen
Die Saat war gut und früh das Jahr
Doch der Boden nicht fruchtbar war

[Verse 2]
Der alte Schoß, wollt nicht mehr fangen
Und all die winzig kleinen Schlangen
Fielen durch das Lenden-Gitter
Und befreiten ein Gewitter

[Chorus 1]
Vergiss uns nicht
Weißt du noch im März?
Der Vater hat das Feld bestellt
Der Mutter brach das Herz

[Verse 3]
Die Kinder stiegen aus der Haut
Auf den Grund und sangen laut
Wo ich mich selber ausgesät
Ein Herz in toter Erde steht

[Chorus 1]

[Chorus 2/Outro]
Vergiss uns nicht
Weißt du noch im Mai?
Der Vater hat sein Herz verloren
Der Mutter brach's entzwei","https://genius.com/Rammstein-vergiss-uns-nicht-lyrics","Released April 23, 2015
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Emil Schult & 8 more
Bass

    
      Oliver Riedel
Copyright ©

    
      Motor Music
Design

    
      Dirk Rudolph"
