"","artist","title","album","text","url","metadata"
"1","Rammstein","Reise, Reise","Reise, Reise","[Songtext zu „Reise, Reise“]

[Strophe 1]
Auf den Wellen wird gefochten
Wo Fisch und Fleisch zur See geflochten
Der eine sticht die Lanz' im HeerDer andere wirft sie in das Meer
Ah - Ahoi

[Refrain]
Reise, Reise Seemann Reise
Jeder tut's auf seine Weise
Der eine stößt den Speer zum MannDer andere zum Fische dann
Reise, Reise Seemann Reise
Und die Wellen weinen leise
In ihrem Blute steckt ein SpeerBluten leise in das Meer

[Strophe 2]
Die Lanze muss im Fleisch ertrinken
Fisch und Mann zur Tiefe sinken
Wo die schwarze Seele wohnt
Ist kein Licht am Horizont
Ah - Ahoi

[Refrain]
Reise, Reise Seemann Reise
Jeder tut's auf seine Weise
Der eine stößt den Speer zum MannDer andere zum Fische dann
Reise, Reise Seemann Reise
Und die Wellen weinen leise
In ihrem Blute steckt ein SpeerBluten leise in das Meer

Reise, Reise

[Instrumental]

[Refrain]
Reise, Reise Seemann Reise
Und die Wellen weinen leise
In ihrem Herzen steckt ein Speer
Bluten sich am Ufer leer

[Outro]
Bluten sich am Ufer leer","https://genius.com/Rammstein-reise-reise-lyrics","Released September 27, 2004
Copyright ©

    
      Universal Music Group
Phonographic Copyright <U+2117>

    
      Universal Music Group
Label

    
      Universal Music Group
Photography

    
      Olaf Heine & Alex Brunner
Management

    
      Emanuel Fialik
Artwork

    
      Plantage & Alex Brunner
Featuring

    
      Viktoria Fersh
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Accordion

    
      Michael Kaden
Additional Vocals

    
      Viktoria Fersh"
"2","Rammstein","Mein Teil","Reise, Reise","[Songtext zu „Mein Teil“]

[Intro]
„Suche gut gebauten achtzehn- bis dreißigjährigen zum Schlachten“Der Metzgermeister

[Strophe 1]
Heute treff' ich einen Herrn
Der hat mich zum Fressen gern
Weiche Teile und auch harte
Stehen auf der Speisekarte

[Pre-Refrain]
Denn du bist was du isstUnd ihr wisst was es ist

[Refrain]
Es ist mein Teil – neinMein Teil – neinDa das ist mein Teil – neinMein Teil – nein

[Strophe 2]
Die stumpfe Klinge gut und recht
Ich blute stark und mir ist schlecht
Muss ich auch mit der Ohnmacht kämpfenIch esse weiter unter Krämpfen

[Bridge]
Ist doch so gut gewürztUnd so schön flambiertUnd so liebevoll auf Porzellan serviertDazu ein guter WeinUnd zarter KerzenscheinJa da lass ich mir ZeitEtwas Kultur muss sein

[Pre-Refrain]
Denn du bist was du isstUnd ihr wisst was es ist

[Refrain]
Es ist mein Teil – neinMein Teil – neinDenn das ist mein Teil – neinYes it's mein Teil – nein

[Strophe 3]
Ein Schrei wird zum Himmel fahren
Schneidet sich durch Engelsscharen
Vom Wolkendach fällt FederfleischAuf meine Kindheit mit Gekreisch

[Refrain]
Es ist mein Teil – neinMein Teil – neinDa das ist mein Teil – neinMein Teil – nein
Es ist mein Teil – neinMein Teil – neinDenn das ist mein Teil – neinYes it's mein Teil – nein","https://genius.com/Rammstein-mein-teil-lyrics","Released September 27, 2004
Copyright ©

    
      Universal Music Group
Phonographic Copyright <U+2117>

    
      Universal Music Group
Label

    
      Universal Music Group
Photography

    
      Olaf Heine & Alex Brunner
Management

    
      Emanuel Fialik
Artwork

    
      Plantage & Alex Brunner
Featuring

    
      Viktoria Fersh
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Accordion

    
      Michael Kaden
Additional Vocals

    
      Viktoria Fersh"
"3","Rammstein","Dalai Lama","Reise, Reise","[Songtext zu „Dalai Lama“]

[Strophe 1]
Ein Flugzeug liegt im AbendwindAn Bord ist auch ein Mann mit KindSie sitzen sicher sitzen warmUnd gehen so dem Schlaf ins Garn
In drei Stunden sind sie daZum Wiegenfeste der MamaDie Sicht ist gut der Himmel klar

[Pre-Refrain]
Weiter, weiter ins Verderben
Wir müssen leben bis wir sterben
Der Mensch gehört nicht in die Luft
So der Herr im Himmel ruft
Seine Söhne auf dem Wind
Bringt mir dieses Menschenkind

[Strophe 2]
Das Kind hat noch die Zeit verloren
Da springt ein Widerhall zu Ohren
Ein dumpfes Grollen treibt die Nacht
Und der Wolkentreiber lacht
Schüttelt wach die Menschenfracht

[Pre-Refrain]
Weiter, weiter ins Verderben
Wir müssen leben bis wir sterben
Und das Kind zum Vater spricht
Hörst du denn den Donner nicht
Das ist der König aller Winde
Er will mich zu seinem Kinde

[Refrain]
Aus den Wolken tropft ein Chor
Kriecht sich in das kleine Ohr
Komm hier, bleib hier
Wir sind gut zu dir
Komm hier, bleib hier
Wir sind Brüder dir

[Strophe 3]
Der Sturm umarmt die Flugmaschine
Der Druck fällt schnell in der Kabine
Ein dumpfes Grollen treibt die Nacht
In Panik schreit die Menschenfracht

[Pre-Refrain]
Weiter, weiter ins Verderben
Wir müssen leben bis wir sterben
Und zum Herrgott fleht das Kind
Himmel nimm zurück den Wind
Bring uns unversehrt zu Erden

[Refrain]
Aus den Wolken tropft ein Chor
Kriecht sich in das kleine Ohr
Komm her, bleib hier
Wir sind gut zu dir
Komm her, bleib hier
Wir sind Brüder dir

[Bridge]
Der Vater hält das Kind jetzt fest
Hat es sehr an sich gepresst
Bemerkt nicht dessen Atemnot
Doch die Angst kennt kein Erbarmen
So der Vater mit den Armen
Drückt die Seele aus dem Kind
Diese setzt sich auf den Wind und singt:

[Outro]
Komm her, bleib hier
Wir sind gut zu dir
Komm her, bleib hier
Wir sind Brüder dir","https://genius.com/Rammstein-dalai-lama-lyrics","Released September 27, 2004
Copyright ©

    
      Universal Music Group
Phonographic Copyright <U+2117>

    
      Universal Music Group
Label

    
      Universal Music Group
Photography

    
      Olaf Heine & Alex Brunner
Management

    
      Emanuel Fialik
Artwork

    
      Plantage & Alex Brunner
Featuring

    
      Viktoria Fersh
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Accordion

    
      Michael Kaden
Additional Vocals

    
      Viktoria Fersh"
"4","Rammstein","Keine Lust","Reise, Reise","[Songtext zu „Keine Lust“]

[Strophe 1]
Ich hab' keine LustIch hab' keine LustIch hab' keine LustIch hab' keine Lust
Ich habe keine Lust mich nicht zu hassenHab' keine Lust mich anzufassenIch hätte Lust zu onanierenHab' keine Lust es zu probierenIch hätte Lust mich auszuziehenHab' keine Lust mich nackt zu sehen

[Refrain]
Ich hätte Lust mit großen TierenHab' keine Lust es zu riskieren
Hab' keine Lust vom Schnee zu gehen
Hab' keine Lust zu erfrieren

[Strophe 2]
Ich hab' keine LustIch hab' keine LustIch hab' keine LustNein ich hab keine Lust
Ich hab' keine Lust etwas zu kauen
Denn ich hab' keine Lust es zu verdauen
Hab' keine Lust mich zu wiegen
Hab' keine Lust im Fett zu liegen

[Refrain]
Ich hätte Lust mit großen TierenHab' keine Lust es zu riskieren
Hab' keine Lust vom Schnee zu gehen
Hab' keine Lust zu erfrieren
Ich bleibe einfach liegen
Und wieder zähle ich die Fliegen
Lustlos fasse ich mich an
Und merke bald ich bin schon lange kalt

[Bridge]
So kalt, mir ist kaltSo kalt, mir ist kaltMir ist kaltSo kalt, mir ist kaltSo kalt, mir ist kaltSo kalt, mir ist kalt

[Outro]
Ich hab' keine Lust","https://genius.com/Rammstein-keine-lust-lyrics","Released September 27, 2004
Copyright ©

    
      Universal Music Group
Phonographic Copyright <U+2117>

    
      Universal Music Group
Label

    
      Universal Music Group
Photography

    
      Olaf Heine & Alex Brunner
Management

    
      Emanuel Fialik
Artwork

    
      Plantage & Alex Brunner
Featuring

    
      Viktoria Fersh
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Accordion

    
      Michael Kaden
Additional Vocals

    
      Viktoria Fersh"
"5","Rammstein","Los","Reise, Reise","[Songtext zu „Los“]

[Strophe 1]
Wir waren namenlosUnd ohne Lieder
Recht wortlosWaren wir nie wieder
Etwas sanglosSind wir immer noch
Dafür nicht klanglosMan hört uns doch
Nach einem WindstoßGing ein Sturm los
Einfach beispiellosEs wurde ZeitLos

[Strophe 2]
Sie waren sprachlosSo sehr schockiert
Und sehr ratlosWas war passiert
Etwas fassungslosUnd garantiertVerständnislosDas wird zensiert
Sie sagten grundlosSchade um die NotenSo schamlosDas gehört verbotenEs ist geistlosWas sie da probierenSo geschmacklosWie sie musizieren
Ist es hoffnungslos
Sinnlos
Hilflos
Sie sind gottlos

[Strophe 3]
Wir waren namenlos
Wir haben einen Namen
Waren wortlos
Die Worte kamen
Etwas sanglos
Sind wir immer noch
Dafür nicht klanglos
Das hört man doch
Wir sind nicht fehlerlos
Nur etwas haltlos
Ihr werdet lautlosUns nie los

[Strophe 1]
Wir waren namenlosUnd ohne Lieder
Recht wortlosWaren wir nie wieder
Etwas sanglosSind wir immer noch
Dafür nicht klanglosMan hört uns doch
Nach einem WindstoßGing ein Sturm los
Einfach beispiellosEs wurde ZeitLos

[Outro]
Wir waren los
Wir waren los","https://genius.com/Rammstein-los-lyrics","Released September 27, 2004
Copyright ©

    
      Universal Music Group
Phonographic Copyright <U+2117>

    
      Universal Music Group
Label

    
      Universal Music Group
Photography

    
      Olaf Heine & Alex Brunner
Management

    
      Emanuel Fialik
Artwork

    
      Plantage & Alex Brunner
Featuring

    
      Viktoria Fersh
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Accordion

    
      Michael Kaden
Additional Vocals

    
      Viktoria Fersh"
"6","Rammstein","Amerika","Amerika   Single","[Refrain]
We're all living in AmerikaAmerika ist wunderbarWe're all living in AmerikaAmerika, AmerikaWe're all living in AmerikaAmerika ist wunderbarWe're all living in AmerikaAmerika, Amerika

[Strophe 1]
Wenn getanzt wird, will ich führen (Ich, ich)Auch wenn ihr euch alleine drehtLasst euch ein wenig kontrollieren
Ich zeige (Ich) euch, wie's richtig gehtWir bilden einen lieben Reigen
Die Freiheit spielt auf allen GeigenMusik kommt aus dem Weißen Haus
Und vor Paris steht Micky Maus

[Refrain]
(We're all living in Amerika)We're all living in AmerikaAmerika ist wunderbarWe're all living in AmerikaAmerika, Amerika

[Strophe 2]
Ich kenne Schritte die sehr nützenUnd werde euch vor Fehltritt schützen
Und wer nicht tanzen will am SchlussWeiß noch nicht, dass er tanzen muss
Wir bilden einen lieben ReigenIch werde euch die Richtung zeigen
Nach Afrika kommt Santa ClausUnd vor Paris steht Micky Maus

[Refrain]
We're all living in AmerikaAmerika ist wunderbarWe're all living in AmerikaAmerika, Amerika
We're all living in AmerikaCoca-Cola, WonderbraWe're all living in AmerikaAmerika, Amerika

[Bridge]
This is not a love songThis is not a love songI don't sing my mother tongueNo, this is not a love song

[Gitarrensolo]

[Refrain]
We're all living in AmerikaAmerika ist wunderbarWe're all living in AmerikaAmerika, Amerika
We're all living in AmerikaCoca-Cola, sometimes warWe're all living in AmerikaAmerika, Amerika","https://genius.com/Rammstein-amerika-lyrics","Released September 27, 2004
Copyright ©

    
      Universal Music Group
Phonographic Copyright <U+2117>

    
      Universal Music Group
Label

    
      Universal Music Group
Photography

    
      Olaf Heine & Alex Brunner
Management

    
      Emanuel Fialik
Artwork

    
      Plantage & Alex Brunner
Featuring

    
      Viktoria Fersh
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Accordion

    
      Michael Kaden
Additional Vocals

    
      Viktoria Fersh"
"7","Rammstein","Moskau","Reise, Reise","[Songtext zu „Moskau“]

[Intro: Viktoria Fersh]
<U+042D><U+0442><U+043E> <U+043F><U+0435><U+0441><U+043D><U+044F> <U+043E> <U+0441><U+0430><U+043C><U+043E><U+043C> <U+043F><U+0440><U+0435><U+043A><U+0440><U+0430><U+0441><U+043D><U+043E><U+043C> <U+0433><U+043E><U+0440><U+043E><U+0434><U+0435> <U+0432> <U+043C><U+0438><U+0440><U+0435>. <U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>!

[Strophe 1: Till Lindemann andViktoria Fersh]
Diese Stadt ist eine DirneHat rote Flecken auf der StirnIhre Zähne sind aus GoldSie ist fett und doch so holdIhr Mund fällt mir zu TaleWenn ich sie dafür bezahleSie zieht sich aus doch nur für GeldDie Stadt die mich in Atem hält(<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>!)

[Refrain: Till andViktoria]
Moskau
<U+0420><U+0430><U+0437>, <U+0434><U+0432><U+0430>, <U+0442><U+0440><U+0438>!
Moskau
<U+041F><U+043E><U+0441><U+043C><U+043E><U+0442><U+0440><U+0438>!
<U+041F><U+0438><U+043E><U+043D><U+0435><U+0440><U+044B> <U+0442><U+0430><U+043C> <U+0438> <U+0442><U+0443><U+0442><U+041F><U+0435><U+0441><U+043D><U+0438> <U+041B><U+0435><U+043D><U+0438><U+043D><U+0443> <U+043F><U+043E><U+044E><U+0442>

[Strophe 2: Till andViktoria]
Sie ist alt und trotzdem schön
Ich kann ihr nicht widerstehen (<U+041D><U+0435> <U+043C><U+043E><U+0433><U+0443> <U+0443><U+0441><U+0442><U+043E><U+044F><U+0442><U+044C>)
Pudert sich die alte Haut
Hat sich die Brüste neu gebaut (<U+041F><U+043E><U+0441><U+0442><U+0440><U+043E><U+0438><U+043B><U+0430> <U+0432><U+043D><U+043E><U+0432><U+044C>)
Sie macht mich geil ich leide Qualen
Sie tanzt für mich ich muss bezahlen (<U+042F> <U+0434><U+043E><U+043B><U+0436><U+0435><U+043D> <U+043F><U+043B><U+0430><U+0442><U+0438><U+0442><U+044C>)
Sie schläft mit mir doch nur für GeldIst doch die schönste Stadt der Welt(<U+041F><U+043E><U+0435><U+0445><U+0430><U+043B><U+0438>!)

[Refrain: Till andViktoria]
Moskau
<U+0420><U+0430><U+0437>, <U+0434><U+0432><U+0430>, <U+0442><U+0440><U+0438>!
Moskau
<U+041F><U+043E><U+0441><U+043C><U+043E><U+0442><U+0440><U+0438>!
<U+041F><U+0438><U+043E><U+043D><U+0435><U+0440><U+044B> <U+0442><U+0430><U+043C> <U+0438> <U+0442><U+0443><U+0442><U+041F><U+0435><U+0441><U+043D><U+0438> <U+041B><U+0435><U+043D><U+0438><U+043D><U+0443> <U+043F><U+043E><U+044E><U+0442>
Moskau
<U+0420><U+0430><U+0437>, <U+0434><U+0432><U+0430>, <U+0442><U+0440><U+0438>!
Moskau
<U+041F><U+043E><U+0441><U+043C><U+043E><U+0442><U+0440><U+0438>!
<U+041F><U+0438><U+043E><U+043D><U+0435><U+0440><U+044B> <U+0442><U+0430><U+043C> <U+0438> <U+0442><U+0443><U+0442><U+041F><U+0435><U+0441><U+043D><U+0438> <U+041B><U+0435><U+043D><U+0438><U+043D><U+0443> <U+043F><U+043E><U+044E><U+0442>

[Post-Refrain: Till andViktoria]
<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>!
<U+041F><U+043E><U+0435><U+0445><U+0430><U+043B><U+0438>, <U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>!
<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>!
<U+0420><U+0430><U+0437>, <U+0434><U+0432><U+0430>, <U+0442><U+0440><U+0438>!

[Bridge: Till, Viktoria and together]
Ich sehe was, was du nicht siehst
<U+041A><U+043E><U+0433><U+0434><U+0430> <U+0442><U+044B> <U+043D><U+043E><U+0447><U+044C><U+044E> <U+043A><U+0440><U+0435><U+043F><U+043A><U+043E> <U+0441><U+043F><U+0438><U+0448><U+044C>
Ich sehe was, was du nicht siehst
<U+041A><U+043E><U+0433><U+0434><U+0430> <U+0442><U+044B> <U+043F><U+0440><U+0435><U+0434><U+043E> <U+043C><U+043D><U+043E><U+0439> <U+043B><U+0435><U+0436><U+0438><U+0448><U+044C>
Ich sehe was, was du nicht siehst
<U+041A><U+043E><U+0433><U+0434><U+0430> <U+0441><U+043E> <U+043C><U+043D><U+043E><U+044E> <U+0433><U+043E><U+0432><U+043E><U+0440><U+0438><U+0448><U+044C>
Ich sehe was, das siehst du nie
<U+0420><U+0430><U+0437>, <U+0434><U+0432><U+0430>, <U+0442><U+0440><U+0438>!

[Refrain: Till, Viktoria and together]
Moskau
<U+0420><U+0430><U+0437>, <U+0434><U+0432><U+0430>, <U+0442><U+0440><U+0438>!
Moskau
<U+041F><U+043E><U+0441><U+043C><U+043E><U+0442><U+0440><U+0438>!
<U+041F><U+0438><U+043E><U+043D><U+0435><U+0440><U+044B> <U+0442><U+0430><U+043C> <U+0438> <U+0442><U+0443><U+0442><U+041F><U+0435><U+0441><U+043D><U+0438> <U+041B><U+0435><U+043D><U+0438><U+043D><U+0443> <U+043F><U+043E><U+044E><U+0442>
Moskau
<U+0420><U+0430><U+0437>, <U+0434><U+0432><U+0430>, <U+0442><U+0440><U+0438>!
Moskau
<U+041F><U+043E><U+0441><U+043C><U+043E><U+0442><U+0440><U+0438>!
<U+041F><U+0438><U+043E><U+043D><U+0435><U+0440><U+044B> <U+0442><U+0430><U+043C> <U+0438> <U+0442><U+0443><U+0442><U+041F><U+0435><U+0441><U+043D><U+0438> <U+041B><U+0435><U+043D><U+0438><U+043D><U+0443> <U+043F><U+043E><U+044E><U+0442> (<U+041F><U+043E><U+0435><U+0445><U+0430><U+043B><U+0438>!)
Moskau
<U+0420><U+0430><U+0437>, <U+0434><U+0432><U+0430>, <U+0442><U+0440><U+0438>!
Moskau (<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>!)
<U+041F><U+043E><U+0441><U+043C><U+043E><U+0442><U+0440><U+0438>!
<U+041F><U+0438><U+043E><U+043D><U+0435><U+0440><U+044B> <U+0442><U+0430><U+043C> <U+0438> <U+0442><U+0443><U+0442><U+041F><U+0435><U+0441><U+043D><U+0438> <U+041B><U+0435><U+043D><U+0438><U+043D><U+0443> <U+043F><U+043E><U+044E><U+0442>
Moskau
<U+0420><U+0430><U+0437>, <U+0434><U+0432><U+0430>, <U+0442><U+0440><U+0438>!
Moskau
<U+041F><U+043E><U+0441><U+043C><U+043E><U+0442><U+0440><U+0438>!
<U+041F><U+0438><U+043E><U+043D><U+0435><U+0440><U+044B> <U+0442><U+0430><U+043C> <U+0438> <U+0442><U+0443><U+0442><U+041F><U+0435><U+0441><U+043D><U+0438> <U+041B><U+0435><U+043D><U+0438><U+043D><U+0443> <U+043F><U+043E><U+044E><U+0442> (<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>!)
(<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>!)","https://genius.com/Rammstein-moskau-lyrics","Released September 27, 2004
Copyright ©

    
      Universal Music Group
Phonographic Copyright <U+2117>

    
      Universal Music Group
Label

    
      Universal Music Group
Photography

    
      Olaf Heine & Alex Brunner
Management

    
      Emanuel Fialik
Artwork

    
      Plantage & Alex Brunner
Featuring

    
      Viktoria Fersh
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Accordion

    
      Michael Kaden
Additional Vocals

    
      Viktoria Fersh"
"8","Rammstein","Morgenstern","Reise, Reise","[Songtext zu „Morgenstern“]

[Strophe 1]
Sie ist hässlich, dass es grautWenn sie in den Himmel schaut
Dann fürchtet sich das LichtScheint ihr von unten ins Gesicht
So muss sie sich am Tag versteckenWill das Licht doch nicht erschrecken
Lebt im Schatten bis der Schein vergehtSieht einen Stern im Zwielicht prangen und flehtMal mir Schönheit auf die Wangen

[Refrain]
Morgenstern ach scheineAuf das Antlitz mein
Wirf ein warmes LichtAuf mein Ungesicht
Sag mir, ich bin nicht alleineHässlich, du bist hässlich
Du, du bist hässlich

[Strophe 2]
Ich bin allein zur Nacht gegangenDie späten Vögel nicht mehr sangen
Sah Sonnenkinder im Gewimmel und soRief ich in den gestirnten Himmel

[Refrain]
Morgenstern ach scheineAuf die Liebste meine
Wirf ein warmes LichtAuf ihr Ungesicht
Sag ihr sie ist nicht alleine
Morgenstern ach scheineAuf die Seele meine
Wirf ein warmes LichtAuf ein Herz das bricht
Sag ihr dass ich weineDenn du, du bist hässlichDu bist einfach hässlich
Der Mensch ist doch ein AugentierSchöne Dinge wünsch' ich mirDoch du, du bist nicht schön, nein

[Bridge]
Morgenstern erscheine
Morgenstern ach scheine

[Refrain]
Morgenstern ach scheineAuf die Liebste meine
Wirf ein warmes LichtAuf ihr Ungesicht
Sag ihr sie ist nicht alleine
Und der Stern will scheinenAuf die Liebste meine
Wärmt die Brust mir bebtWo das Leben schlägt
Mit dem Herzen sehenSie ist wunderschön","https://genius.com/Rammstein-morgenstern-lyrics","Released September 27, 2004
Copyright ©

    
      Universal Music Group
Phonographic Copyright <U+2117>

    
      Universal Music Group
Label

    
      Universal Music Group
Photography

    
      Olaf Heine & Alex Brunner
Management

    
      Emanuel Fialik
Artwork

    
      Plantage & Alex Brunner
Featuring

    
      Viktoria Fersh
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Accordion

    
      Michael Kaden
Additional Vocals

    
      Viktoria Fersh"
"9","Rammstein","Stein um Stein","Reise, Reise","[Songtext zu „Stein Um Stein“]

[Strophe 1]
Ich habe Pläne große PläneIch baue dir ein HausJeder Stein ist eine TräneUnd du ziehst nie wieder ausJa ich baue ein Häuschen dirHat keine Fenster keine TürInnen wird es dunkel seinDringt überhaupt kein Licht hinein

[Pre-Refrain]
Ja ich schaffe dir ein Heim
Und du sollst Teil des Ganzen sein

[Refrain]
Stein um SteinMauer ich dich einStein um SteinIch werde immer bei dir sein 

[Strophe 2]
Ohne Kleider ohne SchuhSiehst du mir bei der Arbeit zuMit den Füßen im ZementVerschönerst du das FundamentDraußen wird ein Garten seinUnd niemand hört dich schreien

[Refrain]
Stein um SteinMauer ich dich einStein um SteinIch werde immer bei dir seinIch werde immer bei dir sein

[Bridge]
Welch ein Klopfen welch ein HämmernDraußen fängt es an zu dämmernAlle Nägel stehen strammWenn ich sie in dein Leibholz Ramm –

[Refrain]
Stein
Stein um SteinMauer ich dich einStein um SteinMauer ich dich einStein um SteinMauer ich dich einStein um SteinUnd keiner hört dich schreien","https://genius.com/Rammstein-stein-um-stein-lyrics","Released September 27, 2004
Copyright ©

    
      Universal Music Group
Phonographic Copyright <U+2117>

    
      Universal Music Group
Label

    
      Universal Music Group
Photography

    
      Olaf Heine & Alex Brunner
Management

    
      Emanuel Fialik
Artwork

    
      Plantage & Alex Brunner
Featuring

    
      Viktoria Fersh
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Accordion

    
      Michael Kaden
Additional Vocals

    
      Viktoria Fersh"
"10","Rammstein","Ohne Dich","Reise, Reise","[Songtext zu „Ohne Dich“]

[Strophe 1]
Ich werde in die Tannen gehenDahin wo ich sie zuletzt gesehen
Doch der Abend wirft ein Tuch aufs Land
Und auf die Wege hinterm Waldesrand
Und der Wald er steht so schwarz und leer
Weh mir, oh weh,Und die Vögel singen nicht mehr

[Refrain]
Ohne dich kann ich nicht sein, Ohne dichMit dir bin ich auch allein, Ohne dich
Ohne dich zähl ich die Stunden ohne dichMit dir stehen die Sekunden, Lohnen nicht

[Strophe 2]
Auf den Ästen in den GräbenIst es nun still und ohne Leben
Und das Atmen fällt mir ach so schwerWeh mir, oh weh, und die Vögel singen nicht mehr

[Refrain]
Ohne dich kann ich nicht sein, Ohne dichMit dir bin ich auch allein, Ohne dich (Ohne dich)
Ohne dich zähl ich die Stunden ohne dichMit dir stehen die Sekunden, Lohnen nicht
Ohne dich
Ohne dich

[Bridge]
Und das Atmen fällt mir ach so schwerWeh mir, oh weh, Und die Vögel singen nicht mehr

[Refrain]
Ohne dich kann ich nicht sein, Ohne dichMit dir bin ich auch allein, Ohne dich (Ohne dich)
Ohne dich zähl ich die Stunden ohne dichMit dir stehen die Sekunden, Lohnen nicht
Ohne dich

[Outro]
Ohne dich
Ohne dich
Ohne dich
Ohne dich","https://genius.com/Rammstein-ohne-dich-lyrics","Released September 27, 2004
Copyright ©

    
      Universal Music Group
Phonographic Copyright <U+2117>

    
      Universal Music Group
Label

    
      Universal Music Group
Photography

    
      Olaf Heine & Alex Brunner
Management

    
      Emanuel Fialik
Artwork

    
      Plantage & Alex Brunner
Featuring

    
      Viktoria Fersh
Producers

    
      Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Oliver Riedel & 3 more
Accordion

    
      Michael Kaden
Additional Vocals

    
      Viktoria Fersh"
