"","artist","title","album","text","url","metadata"
"1","Rammstein","Reise, Reise","Reise, Reise","[Songtext zu „Reise, Reise“][Strophe 1]Auf den Wellen wird gefochtenWo Fisch und Fleisch zur See geflochtenDer eine sticht die Lanz' im HeerDer andere wirft sie in das MeerAh - Ahoi[Refrain]Reise, Reise Seemann ReiseJeder tut's auf seine WeiseDer eine stößt den Speer zum MannDer andere zum Fische dannReise, Reise Seemann ReiseUnd die Wellen weinen leiseIn ihrem Blute steckt ein SpeerBluten leise in das Meer[Strophe 2]Die Lanze muss im Fleisch ertrinkenFisch und Mann zur Tiefe sinkenWo die schwarze Seele wohntIst kein Licht am HorizontAh - Ahoi[Refrain]Reise, Reise Seemann ReiseJeder tut's auf seine WeiseDer eine stößt den Speer zum MannDer andere zum Fische dannReise, Reise Seemann ReiseUnd die Wellen weinen leiseIn ihrem Blute steckt ein SpeerBluten leise in das MeerReise, Reise[Instrumental][Refrain]Reise, Reise Seemann ReiseUnd die Wellen weinen leiseIn ihrem Herzen steckt ein SpeerBluten sich am Ufer leer
[Outro]Bluten sich am Ufer leer","https://genius.com/Rammstein-reise-reise-lyrics","Released November 17, 2006
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Martin L. Gore & 5 more
Accordion

    
      Michael Kaden
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini & Sven Helbig"
"2","Rammstein","Links 2 3 4","Mutter","[Songtext zu „Links 2 3 4“][Strophe 1]Kann man Herzen brechen?Können Herzen sprechen?Kann man Herzen quälen?Kann man Herzen stehlen?[Refrain]Sie wollen mein Herz am rechten Fleck, dochSeh' ich dann nach unten wegDa schlägt es linksLinks[Strophe 2]Können Herzen singen?Kann ein Herz zerspringen?Können Herzen rein sein?Kann ein Herz aus Stein sein?[Refrain]Sie wollen mein Herz am rechten Fleck, dochSeh' ich dann nach unten wegDa schlägt es linksLinksLinksLinksLinks zwo drei vierLinks zwo, links zwoLinks zwo drei vierLinksLinks zwo, links zwoLinks zwo drei vierLinksLinks zwo drei vier[Bridge]Kann man Herzen fragen?Ein Kind darunter tragen?Kann man es verschenken?Mit dem Herzen denken?Sie wollen mein Herz am rechten FleckDoch seh' ich dann nach unten wegDa schlägt es in der linken BrustDer Neider hat es schlecht gewusst
[Refrain]LinksLinksLinksLinksLinks zwo drei vierLinksLinks zwo drei vierLinks zwo, links zwoLinks zwo drei vierLinksLinks zwo, links zwoLinks zwo drei vierLinksLinks zwo, links zwoLinks zwo drei vierLinks zwo, links zwoLinks zwo drei vierLinks zwo, links zwoLinks zwo drei vierLinks zwo, links zwoLinks zwo drei vier","https://genius.com/Rammstein-links-2-3-4-lyrics","Released November 17, 2006
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Martin L. Gore & 5 more
Accordion

    
      Michael Kaden
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini & Sven Helbig"
"3","Rammstein","Keine Lust","Reise, Reise","[Songtext zu „Keine Lust“][Strophe 1]Ich hab' keine LustIch hab' keine LustIch hab' keine LustIch hab' keine LustIch habe keine Lust mich nicht zu hassenHab' keine Lust mich anzufassenIch hätte Lust zu onanierenHab' keine Lust es zu probierenIch hätte Lust mich auszuziehenHab' keine Lust mich nackt zu sehen[Refrain]Ich hätte Lust mit großen TierenHab' keine Lust es zu riskierenHab' keine Lust vom Schnee zu gehenHab' keine Lust zu erfrieren[Strophe 2]Ich hab' keine LustIch hab' keine LustIch hab' keine LustNein ich hab keine LustIch hab' keine Lust etwas zu kauenDenn ich hab' keine Lust es zu verdauenHab' keine Lust mich zu wiegenHab' keine Lust im Fett zu liegen[Refrain]Ich hätte Lust mit großen TierenHab' keine Lust es zu riskierenHab' keine Lust vom Schnee zu gehenHab' keine Lust zu erfrierenIch bleibe einfach liegenUnd wieder zähle ich die FliegenLustlos fasse ich mich anUnd merke bald ich bin schon lange kalt[Bridge]So kalt, mir ist kaltSo kalt, mir ist kaltMir ist kaltSo kalt, mir ist kaltSo kalt, mir ist kaltSo kalt, mir ist kalt
[Outro]Ich hab' keine Lust","https://genius.com/Rammstein-keine-lust-lyrics","Released November 17, 2006
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Martin L. Gore & 5 more
Accordion

    
      Michael Kaden
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini & Sven Helbig"
"4","Rammstein","Feuer frei!","Mutter","[Songtext zu „Feuer frei!“][Strophe 1]Getadelt wird wer Schmerzen kenntVom Feuer das die Haut verbrenntIch werf ein Licht in mein GesichtEin heißer Schrei, feuer frei![Refrain]Bäng bängBäng bäng[Strophe 2]Geadelt ist wer Schmerzen kenntVom Feuer das in Lust verbrenntEin Funkenstoß in ihren SchoßEin heißer Schrei, feuer frei![Refrain]Bäng bängBäng bängFeuer frei!Bäng bängBäng bängFeuer frei![Strophe 3]Gefährlich ist wer Schmerzen kenntVom Feuer das den Geist verbrennt (Bäng bäng)Gefährlich das gebrannte KindMit Feuer das vom Leben trenntEin heißer Schrei (Bäng bäng), feuer frei![Bridge]Dein GlückIst nicht mein GlückIst mein UnglückDein GlückIst nicht mein GlückIst mein Unglück[Refrain]Bäng bängBäng bängFeuer frei!Bäng bängBäng bängFeuer frei!Bäng bängBäng bängFeuer frei!Bäng bäng","https://genius.com/Rammstein-feuer-frei-lyrics","Released November 17, 2006
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Martin L. Gore & 5 more
Accordion

    
      Michael Kaden
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini & Sven Helbig"
"5","Rammstein","Asche zu Asche","Herzeleid","[Strophe 1]Warmer Körper (Warmer Körper)Heißes Kreuz (Heißes Kreuz)Falsches Urteil (Falsches Urteil)Kaltes Grab (Kaltes Grab)Auf dem Kreuze lieg ich jetztSie schlagen mir die Nägel einDas Feuer wäscht die Seele reinUnd übrig bleibt ein Mund vollAsche[Strophe 2]Ich komm wieder (Ich komm wieder)In zehn Tagen (Ich komm wieder)Als dein Schatten (Ich komm wieder)Und werd dich jagen (Ich komm wieder)Heimlich werd ich auferstehenUnd du wirst um Gnade flehenDann knie ich mich in dein GesichtUnd steck den Finger in die...[Refrain]AscheAscheAscheAscheAsche zu AscheAsche zu AscheAsche zu AscheUnd Staub zu Staub[Synth-Solo][Bridge]Heimlich werd ich auferstehenUnd du wirst um Gnade flehenDann knie ich mich in dein GesichtUnd steck den Finger in die...[Refrain]Asche zu AscheAsche zu AscheAsche zu AscheUnd Staub zu StaubAsche zu Asche (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Und Staub zu Staub (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Und Staub zu Staub (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Asche zu Asche (Staub, staub, staub, staub)Und Staub zu Staub (Staub, staub, staub, staub)
[Outro]Zu Staub, zu Staub (Staub, staub, staub, staub) (Ich komm wieder)Zu Staub, zu Staub (Staub, staub, staub, staub)Zu Staub, zu Staub (Staub, staub, staub, staub)Zu Staub, zu Staub (Staub, staub, staub, staub)Zu Staub, zu Staub (Staub, staub, staub, staub) (Ich komm wieder)Zu Staub, zu Staub (Staub, staub, staub, staub)Zu Staub, zu Staub (Staub, staub, staub, staub)Zu Staub, zu Staub, ja! (Staub, staub, staub, staub)","https://genius.com/Rammstein-asche-zu-asche-lyrics","Released November 17, 2006
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Martin L. Gore & 5 more
Accordion

    
      Michael Kaden
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini & Sven Helbig"
"6","Rammstein","Morgenstern","Reise, Reise","[Songtext zu „Morgenstern“][Strophe 1]Sie ist hässlich, dass es grautWenn sie in den Himmel schautDann fürchtet sich das LichtScheint ihr von unten ins GesichtSo muss sie sich am Tag versteckenWill das Licht doch nicht erschreckenLebt im Schatten bis der Schein vergehtSieht einen Stern im Zwielicht prangen und flehtMal mir Schönheit auf die Wangen[Refrain]Morgenstern ach scheineAuf das Antlitz meinWirf ein warmes LichtAuf mein UngesichtSag mir, ich bin nicht alleineHässlich, du bist hässlichDu, du bist hässlich[Strophe 2]Ich bin allein zur Nacht gegangenDie späten Vögel nicht mehr sangenSah Sonnenkinder im Gewimmel und soRief ich in den gestirnten Himmel[Refrain]Morgenstern ach scheineAuf die Liebste meineWirf ein warmes LichtAuf ihr UngesichtSag ihr sie ist nicht alleineMorgenstern ach scheineAuf die Seele meineWirf ein warmes LichtAuf ein Herz das brichtSag ihr dass ich weineDenn du, du bist hässlichDu bist einfach hässlichDer Mensch ist doch ein AugentierSchöne Dinge wünsch' ich mirDoch du, du bist nicht schön, nein[Bridge]Morgenstern erscheineMorgenstern ach scheine
[Refrain]Morgenstern ach scheineAuf die Liebste meineWirf ein warmes LichtAuf ihr UngesichtSag ihr sie ist nicht alleineUnd der Stern will scheinenAuf die Liebste meineWärmt die Brust mir bebtWo das Leben schlägtMit dem Herzen sehenSie ist wunderschön","https://genius.com/Rammstein-morgenstern-lyrics","Released November 17, 2006
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Martin L. Gore & 5 more
Accordion

    
      Michael Kaden
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini & Sven Helbig"
"7","Rammstein","Mein Teil","Reise, Reise","[Songtext zu „Mein Teil“][Intro]„Suche gut gebauten achtzehn- bis dreißigjährigen zum Schlachten“Der Metzgermeister[Strophe 1]Heute treff' ich einen HerrnDer hat mich zum Fressen gernWeiche Teile und auch harteStehen auf der Speisekarte[Pre-Refrain]Denn du bist was du isstUnd ihr wisst was es ist[Refrain]Es ist mein Teil – neinMein Teil – neinDa das ist mein Teil – neinMein Teil – nein[Strophe 2]Die stumpfe Klinge gut und rechtIch blute stark und mir ist schlechtMuss ich auch mit der Ohnmacht kämpfenIch esse weiter unter Krämpfen[Bridge]Ist doch so gut gewürztUnd so schön flambiertUnd so liebevoll auf Porzellan serviertDazu ein guter WeinUnd zarter KerzenscheinJa da lass ich mir ZeitEtwas Kultur muss sein[Pre-Refrain]Denn du bist was du isstUnd ihr wisst was es ist[Refrain]Es ist mein Teil – neinMein Teil – neinDenn das ist mein Teil – neinYes it's mein Teil – nein
[Strophe 3]Ein Schrei wird zum Himmel fahrenSchneidet sich durch EngelsscharenVom Wolkendach fällt FederfleischAuf meine Kindheit mit Gekreisch[Refrain]Es ist mein Teil – neinMein Teil – neinDa das ist mein Teil – neinMein Teil – neinEs ist mein Teil – neinMein Teil – neinDenn das ist mein Teil – neinYes it's mein Teil – nein","https://genius.com/Rammstein-mein-teil-lyrics","Released November 17, 2006
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Martin L. Gore & 5 more
Accordion

    
      Michael Kaden
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini & Sven Helbig"
"8","Rammstein","Stein um Stein","Reise, Reise","[Songtext zu „Stein Um Stein“][Strophe 1]Ich habe Pläne große PläneIch baue dir ein HausJeder Stein ist eine TräneUnd du ziehst nie wieder ausJa ich baue ein Häuschen dirHat keine Fenster keine TürInnen wird es dunkel seinDringt überhaupt kein Licht hinein[Pre-Refrain]Ja ich schaffe dir ein HeimUnd du sollst Teil des Ganzen sein[Refrain]Stein um SteinMauer ich dich einStein um SteinIch werde immer bei dir sein   [Strophe 2]Ohne Kleider ohne SchuhSiehst du mir bei der Arbeit zuMit den Füßen im ZementVerschönerst du das FundamentDraußen wird ein Garten seinUnd niemand hört dich schreien[Refrain]Stein um SteinMauer ich dich einStein um SteinIch werde immer bei dir seinIch werde immer bei dir sein[Bridge]Welch ein Klopfen welch ein HämmernDraußen fängt es an zu dämmernAlle Nägel stehen strammWenn ich sie in dein Leibholz Ramm –
[Refrain]SteinStein um SteinMauer ich dich einStein um SteinMauer ich dich einStein um SteinMauer ich dich einStein um SteinUnd keiner hört dich schreien","https://genius.com/Rammstein-stein-um-stein-lyrics","Released November 17, 2006
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Martin L. Gore & 5 more
Accordion

    
      Michael Kaden
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini & Sven Helbig"
"9","Rammstein","Los","Reise, Reise","[Songtext zu „Los“][Strophe 1]Wir waren namenlosUnd ohne LiederRecht wortlosWaren wir nie wiederEtwas sanglosSind wir immer nochDafür nicht klanglosMan hört uns dochNach einem WindstoßGing ein Sturm losEinfach beispiellosEs wurde ZeitLos[Strophe 2]Sie waren sprachlosSo sehr schockiertUnd sehr ratlosWas war passiertEtwas fassungslosUnd garantiertVerständnislosDas wird zensiertSie sagten grundlosSchade um die NotenSo schamlosDas gehört verbotenEs ist geistlosWas sie da probierenSo geschmacklosWie sie musizierenIst es hoffnungslosSinnlosHilflosSie sind gottlos[Strophe 3]Wir waren namenlosWir haben einen NamenWaren wortlosDie Worte kamenEtwas sanglosSind wir immer nochDafür nicht klanglosDas hört man dochWir sind nicht fehlerlosNur etwas haltlosIhr werdet lautlosUns nie los
[Strophe 1]Wir waren namenlosUnd ohne LiederRecht wortlosWaren wir nie wiederEtwas sanglosSind wir immer nochDafür nicht klanglosMan hört uns dochNach einem WindstoßGing ein Sturm losEinfach beispiellosEs wurde ZeitLos[Outro]Wir waren losWir waren los","https://genius.com/Rammstein-los-lyrics","Released November 17, 2006
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Martin L. Gore & 5 more
Accordion

    
      Michael Kaden
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini & Sven Helbig"
"10","Rammstein","Du riechst so gut","Herzeleid","[Songtext zu „Du riechst so gut“][Strophe 1](Der Wahnsinn)Ist nur eine schmale BrückeDie Ufer sind Vernunft und TriebIch steig' dir nachDas Sonnenlicht den Geist verwirrtEin blindes Kind das vorwärts kriechtWeil es seine Mutter riecht(Ich finde dich)Die Spur ist frisch und auf die BrückeTropft dein Schweiß dein warmes BlutIch seh' dich nichtIch riech' dich nur ich spüre DichEin Raubtier das vor Hunger schreitWittere ich dich meilenweit[Refrain]Du riechst so gut, du riechst so gut ich geh' dir hinterherDu riechst so gut, ich finde dichSo gut, so gut ich steig dir nachDu riechst so gut, gleich hab ich dich[Strophe 2](Jetzt hab ich dich)Ich warte bis es dunkel istDann fass ich an die nasse HautVerrate mich nichtOh siehst du nicht die Brücke brenntHör auf zu schreien und wehre dich nichtWeil sie sonst auseinander bricht[Refrain]Du riechst so gut, du riechst so gut ich geh' dir hinterherDu riechst so gut, ich finde dichSo gut, so gut ich steig dir nachDu riechst so gut, gleich hab ich dich[Instrumental Bridge][Refrain]Du riechst so gut, du riechst so gut ich geh' dir hinterherDu riechst so gut ich finde dichSo gut, so gut ich fass dich anDu riechst so gut, jetzt hab ich dich
[Outro]Du riechst so gut, du riechst so gut ich geh dir hinterher","https://genius.com/Rammstein-du-riechst-so-gut-lyrics","Released November 17, 2006
Producers

    
      Carl-Michael Herlöfsson, Jacob Hellner & Rammstein
Writers

    
      Christian Lorenz, Christoph Schneider, Martin L. Gore & 5 more
Accordion

    
      Michael Kaden
Arranged By [Choir]

    
      Sven Helbig
Arranged By [String Arrangements]

    
      Olsen Involtini & Sven Helbig"
